default
闘技場へ行く,前往競技場
いや、どうもおれはせっかちでね、\nたらたらと人の話を聞くのが苦手なんだ。\nパッと全部飛ばしたいね。,怎麼說，反正我就是急性子。\n不習慣慢慢聽人說話。\n真想一口氣全跳過啊。
イベントのスキップについて,關於跳過事件
スキップ操作,跳過劇情
会話や演出などは、右クリックを押すことでスキップできます。右クリックを離したときスキップは解除されます。,可以按滑鼠右鍵跳過演出跟對話。放開右鍵時會取消跳過功能。
会話や演出などは、二本指で画面に触れることでスキップできます。指を離したときスキップは解除されます。,以兩根手指觸控螢幕可以跳過演出跟對話。手指放開可以解除跳過功能。
兵士であるわたしたちはカードマスターであることもありますが、\n多くは非カードマスターです。,雖然我們士兵也會負責卡片玩家的工作，\n但是大多數人都並非卡片玩家。
人数で言えば、カードマスターより非カードマスターの方が多いため、\n犯罪なども普通の人間が犯す数の方が多いのです。\nだからこそ非力な我々であっても兵士が務まります。,如果單看人數，非卡片玩家的人比卡片玩家要多得多，\n因此犯罪也是一般人的數量較多。\n也因此無力的我們也能擔任士兵。
カードマスターや強力な魔物が暴れている場合には、\nギルドに依頼をしてカードマスターを派遣してもらいます。,如果有卡片玩家或魔物作亂時，\n會讓公會派遣卡片玩家前來解決。
雑務は我々がこなし、\n難易度の高いものだけカードマスターさんにお任せする形ですね。\nマスターのみなさんにはいつも助けられています。,而雜務則有我們來處理，\n也就是只將困難的部分交給卡片玩家的形式。\n我們真的一直受到各位卡片玩家的幫助。
なんでしょう？,請問是？
もちろんです！,當然要！
僕だって腕に自信はありますよ！,以我的實力當然沒問題！
なるほど、ありがとうございます！,我了解了謝謝妳！
なるほど、わかりました。,我了解了
そうなんですか？,是這樣子嗎？
