default
看守ヤツメ,Jailer Yatsume
男なら男らしく、\nこのおっぱいとかお尻で気持ちよくなってればいいのに。\n何人かカモにしてきたけど鼻を伸ばさなかった男はあんたぐらいよ。,If you're a man; act like one and enjoy these breasts and hips; like you should. I've fooled plenty of men; but you're about the only one who didn't fall for my tricks.
（んー・・・？なんかめちゃくちゃおっぱい見てるわね。\nこいつ、鉄格子越しで安全だからって、油断してんのかな？）,(Hmm...? He's totally staring at my breasts though. I wonder if he's letting his guard down because he feels safe behind these iron bars?)
（わざとらしく揺らしてやったらどうなるかな？\nよいっしょっと❤）,(I wonder what'll happen if I give them a deliberate bounce? Here we go~❤)
うう・・・❤❤,Ohh...❤❤
（ぷっ❤わかりやす❤）,(Pfft.❤ So predictable~❤)
ねー、そんなにわたしのおっぱい気になる？\nチンポおっきくなってるのこっからでも分かるんだけど❤,Hey~❤ Are you really that interested in my breasts? I can see your cock getting bigger even from all the way over here~❤
牢屋越しに囚人のおっぱい見て勃起させるとか、\nいい趣味してんね。へんたーい❤\nくすくすくす❤,Getting hard from looking at a prisoner's breasts through jail bars... You've got some pretty specific kinks. You pervert!❤ *Giggle*❤
へんたいのアンタにいいこと教えてあげよっか❤\nここの看守のヤツメはさ、\n決まった時間にいつも休憩を取るんだよね～。,Should I tell you something good; Pervert?❤ You see; the guards here always take their breaks at the same time.
その時間にここに来れば、\nあんたにもっと「エロいこと」が待ってるかもよ❤,If you visit me then; something more 'naughty' might be waiting for you.❤
あんたあのヤツメに信頼してもらってるんでしょ？\n休憩時間中でも入るぐらいできるよね～。,You're pretty trusted by Yatsume; aren't you? You should be able to get in even during break time; right?~❤
ふふふ❤それじゃまた来るのを待ってるから。\nあ、そうそう、エロいことしてほしいなら「差し入れ」持ってきてね。\nんじゃまたねー❤,Fufu.❤ I'll be waiting for you. Oh; that's right; if you want those 'naughty things' to happen; make sure to bring some gifts; okay? See you later~❤
