default
闘技場ファンの男,Male Colosseum Fan
守護者の人たちが集まって実力を競う機会なんて、\nこの大会ぐらいしかないから仕方ないとは思うけど、\nでもやっぱり治安が悪くなるのはちょっと怖いわよね。,It can't really be helped; since the tournament is one of the few opportunities for guardians to gather and compete; but still; it's a bit scary how public safety just deteriorates; don't you think?
知ってる？西の町にいたそれなりの人数の盗賊団が、\n一人のBランクカードマスターに壊滅させられたんですって。,Did you know? A considerable number of bandits in the western town were wiped out by a single B-rank cardmaster.
たった一人で何十人も倒してしまうなんて、\n上位ランクのカードマスターってやっぱりすごいのね。\n尊敬しちゃうわ。,To take down dozens of them all by themself... Upper-ranked cardmasters are really something else; huh? I can't help but admire them.
そろそろ大会も佳境ね。\n10年に1度のこのカード大会、ランクが大きく変動するから、\n新しく名を上げた人もいれば、逆に名声を失ってしまった人もいる。,The tournament is nearing its peak. This once-a-decade tournament always sees significant rank fluctuations; so while some have risen to fame; others have lost their reputation.
あなたは大きく名を上げた部類ね。\n無敗のルーキーって名前を、今じゃモルゲンで知らない人はいないわ。,You're one of the ones who've been able to really make a name for themselves. The title "undefeated rookie" is now known by just about everyone in Morgen.
大会が終わったら、\n守護者に任命されてどこか領地を与えられたりするのかしら。\nすごいわね。ほんと夢のある話。,When the tournament's over; do you think you'll be appointed as a guardian and given a territory somewhere? That would be amazing; don' you think? I'm sure it'd be a dream come true for you.
最近どうもカードの流通がおかしい気がするな。\n大会中はマスターがたくさんいるから、\n多少カードパックが値上がりするのは分かるんだが・・・。,Recently; I feel like the card distribution has gotten a little strange. During the tournament; there are a lot of masters; so I understand that card packs might increase in price a bit...
それにしてもそもそも普通のパックの流入量が減っているような？\n品薄なカードパックに目をつければ、\n商機がころがっていそうだぜ。,Still; it seems like the flow of regular packs is slowing; doesn't it? If we keep an eye on the scarce card packs; there might be a business opportunity rolling in.
ほぉー、おぬしが無敗のルーキーか。\nFランクから一気にBランクにあがって、\nそのうえBランクでも勝ったというじゃないか。すごいのう。,Oh; so you're the undefeated rookie. I hear you jumped from F-rank to B-rank in one go. They even say you've already won a B-rank match. Impressive.
闘技場には長いこと通っておるが、\nあんたほどの躍進を見たのは初めてかもしれんの。\nいやあ、長生きはするもんじゃな。,I've been frequenting the colosseum for a long time; but I don't think I've ever seen someone rise as quickly as you. Living a long life has its perks; I suppose.
ねーねー、ほら見て！\n無敗のルーキーさんが主役になった本がね、\nそこで売ってたの！,Hey; hey; look! There's a book with the undefeated rookie as the main character being sold over there!
お兄さんが山にこもって修行してた話とか、\nドラゴン20匹を退治した話とかのってるんだよ。,There's a story about how he secluded himself in the mountains to train; and another about how he defeated 20 dragons!
え？僕はそんなことしてない？\nうそだー。だって本に書いてあるもん。\nお兄さんが忘れちゃっただけだよ、きっと。,Huh? You didn't do any of that? That's not true. It's written in the book. You must have just forgotten.
サキュバスカードかぁ。\nリュカ商会が売り出していたけど、\n使うのどうしようかしら。,A succubus card; huh? I saw the Ryuka Trading Company selling them; but I'm not sure if I should buy some or not..
普通のモンスターと同じぐらいの戦闘力があって、\nそのうえ異性相手だとかなり強力なのよね。\n同性のモンスター相手にも快楽攻撃や魅了はけっこう効くみたいだし…,They're combat power is similar to an ordinary monster; and it's pretty powerful against male opponents on top of that. They're pleasure attacks and charms seem to work pretty well against other female monsters; too...
でも試合では無敗のルーキーが普通に勝ってたしなぁ…。\n男相手にあれじゃあ、やっぱり買う価値はないのかしら。\nうーん。,But the undefeated rookie keeps winning his matches... If they don't even work that well against male opponents; maybe they're really not worth buying. Hmm...
サキュバスというのは得体のしれん魔物じゃのう。\n現れて10年は経つが、\n快楽などというふざけた手段でこうも人間が押されるとは。,The succubi are pretty mysterious creatures; aren't they? It's been ten years since they first appeared; and it's still hard to believe humans could be so easily overwhelmed by a tactic as ridiculous as pleasure.
聞けば、わしらのような老人であっても、\nサキュバスを目にすると快楽に呑まれてしまうらしい。\n性別年齢を問わず本能を直接刺激してくるということなのじゃろう。,I've heard that even old folks aren't safe from their wiles. It seems that regardless of gender or age; they manage to stimulate the human senses.
生き物である以上、性欲からは逃れられん。\n実に厄介な相手じゃのう。,As long as we're warm-blooded creatures; we can't escape sexual desire. Truly a tricky opponent.
うわあ、無敗のルーキーだ！！\nすげー、本物だ！,Wow; it's the undefeated rookie!! Amazing; you're the real deal!
こんどAランクの昇格戦に出るんだろ！\n俺ぜったい見に行くぜ。こづかい全部使ってチケット買うんだ！,You're going to be in the A-rank promotion match next time; right? I'm definitely gonna be watching; even if I ahve to spend all my allowance on a ticket!
なんだろう、体がむずむずする・・・。,I don't know why; but my body feels restless...
体が熱いというかなんというか。\n魔力が体からあふれ出しそうな、変な感じ・・・。,It's kinda... hot; or something. It feels strange; like my magical power is about to overflow from my body...
んー、昨日サキュバスカードで男マスターをこてんぱんに負かして、\n魔力を搾りすぎたかしら？\n魔力の過剰摂取って体に悪いんだっけ。不安になってきちゃった。,Hmm; did I squeeze too much magical power out of the male master with my succubus card yesterday? Is excessive intake of magical power bad for the body? I'm starting to feel anxious.
いよいよ大会もクライマックスということで、\n兵士たちにもここ数日非番が与えられています。,Finally; the tournament is reaching its apex; and the soldiers have been given a few days off to enjoy it.
持ち場を離れて大丈夫かと思うかもしれませんが、\nモルゲンの街には巨大な結界が張ってあり、\n外から魔族が侵入する際には非常に時間がかかります。,I know what you're thinking. Is it really okay for me to leave my post? The city of Morgen is protected by a massive barrier. It takes a considerable amount of time for demons to breach it from the outside.
街に近づいた段階で警報がなり、\nそこから急いで現場に急行しても間に合うというわけです。,And the moment they get near the city; an alarm sounds; giving us guards plenty of time to rush to the scene.
この街の結界は古代の魔導装置を利用して作られており、\n魔導王妃と呼ばれる偉大な王女が開発した装置が、\n何百年の時を経て今も使われているそうです。,The barrier's created using an ancient magical device developed by a great ruler known as the Magical Queen. Rumor says it's been in use for hundreds of years now.
話によればさらに強力な結界装置もあって、\nそれを作動させると物理的な攻撃も含めて\n街を完全に守るのだそうですよ。,According to the story; there's actually an even more powerful barrier device that; when activated; completely protects the city against all attacks; magical or physical!
カードバトルは奥が深い…。\n闘技場での戦いからは学ぶことばかりです。,Card battles are incredibly complex... There's so much to learn from the fights in the colosseum.
カードには色々な属性がありますが、\nDランク以上のマスターの場合、\n使用する属性を１つに限定しているマスターが多いみたいですね。,Cards have various attributes; but it seems that many of the masters D-rank and above tend to limit themselves to using just one; doesn't it?
やはり属性サポートの強力なカードが使えるのが大きいのでしょう。\nしかし、属性に頼り切っていると、オクタ選手のような\n相手の属性を変えるカードに足元をすくわれることもあります。,It makes sense since being able to use powerful cards that support specific attributes is really helpful. If you rely too much on attributes; however; you might find yourself at a disadvantage against cards like the ones Octa uses; which can change the opponent's attribute.
属性変化のカードは希少ですから使い手は多くありません。\nしかし、一応そういう妨害も頭に入れたうえでデッキを組むのは\n重要かもしれませんね。,Cards that change attributes are rare; so there aren't many masters who use them. Still; it might be useful to keep such disruptions in mind when building a deck; don't you think?
「オーバーキル」という言葉を知っていますか？\n相手モンスターにとどめを刺す際に、\nHP以上にダメージを与えて倒すことを「オーバーキル」といいます。,Have you heard the term 'overkill' before? It refers to dealing more damage than the target has HP left to finish it off.
例えば相手のＨＰが800ポイントのとき、\n魔法カードで300ダメージを与え、その後攻撃力800のモンスターで\n攻撃したら、完全に魔法カードが１枚無駄になっています。,For example; if the opponent's HP is 800; and you deal 300 damage with a magic card before attacking with a monster that has 800 attack; then your magic card was a total waste!
そんなバカなことはしないと思うかもしれませんが、\n相手モンスターが複数いたりすると、\nけっこうこの手のプレイングミスは起こりがちです。,You might think that no one would make such a stupid mistake; but when your opponent has multiple monsters; these kinds of misplays can happen pretty easily.
こちらの与えられるダメージと相手のＨＰを正確に把握し、\n攻撃手段を効率よく分配できるかどうかは、\n強いカードマスターになる鍵ですね。,Accurately understanding the opponent's HP and the damage you can deal so you can efficiently distribute it is key to becoming a strong cardmaster; don't you think?
デッキ枚数を何枚にするか、というのは\nマスターにとって永遠のテーマです。\n一見、カードを入れるだけ入れた方が強いように見えますが…,Deciding how many cards to include in your deck is an eternal question for a master to answer. At first glance; it seems like having more cards would make your deck stronger...
実のところデッキ枚数は少ない方が強いのではないか\nという説が今は有力ですね。\nなぜなら余計なカードを引く確率が減るからです。,But in practice; the theory that a stronger deck actually has fewer cards is currently gaining traction; since it reduces the probability of drawing something unnecessary.
最も強いカードだけでデッキを組めば、\n強いカードだけを引くことができます。\nそこそこ強いカードは入れるだけ邪魔になるというわけです。,If you build a deck with only the strongest cards; you'll only ever draw strong cards. Cards that are kind of strong just get in the way at that point.
ただしデッキ内に特定のカードが無いと効果が不発になるものもあり、\nそうしたカードを安定させるにはある程度の枚数も必要でしょう。\n限界まで切り詰めるか少し余裕を持たせるか。中々難しいところですね,However; there are certain cards whose effects become ineffective if certain other specific cards aren't in the deck with them; and to keep these cards strong; a certain number of them may be necessary. It's a tough decision whether to cut down to the limit or allow a bit of leeway; don't you think?
デッキの枚数が少ない方が強いのなら、\n最強のカード１枚だけを入れたデッキが最強かもしれません。,If having fewer cards in the deck makes it stronger; then in theory a deck with just the single strongest card might be the most powerful deck ever.
とはいえ、「デッキケース」の魔道具は\nある程度の枚数のカードを入れないと効果を発揮しません。\n最低20枚は入れないといけないので、１枚デッキは組めないわけです,That said; the 'deck case' magical tool doesn't work unless you put a certain number of cards in it. You need at least 20 cards; so you can't make a one-card deck.
「デッキケース」に入れて事前に魔力を充填しておかないと\nカードは連発して使えないので、\nいたしかたないところではありますね。,If you don't put enough cards in the 'deck case' and charge them with magical power in advance; you won't be able to use them repeatedly; so it's pretty unavoidable; huh?
デッキケースは遺跡からよく発掘され、広く使われていますが、\n謎の多い魔道具です。入れたカードが自動でシャッフルされるのも、\n魔力の充填が効率よくなるからだと言われています。,Deck cases are often excavated from ruins and are widely used; but they're still a pretty mysterious magical tool. It's said that the cards placed inside are automatically shuffled because it makes charging them with magical power more efficient.
強いカード10枚ぐらいでデッキを組めて、\nさらに事前に山札を並べておければ最高なのですが…。\nそううまい話はないようです。,If you could build a deck with about ten strong cards and maybe even arrange the draw pile in advance; you might be unstoppable... But it's just not that easy I guess.
カードにはアドバンテージという考え方があります。\nアドバンテージというのは「どれぐらい有利になったか」\nみたいな意味ですね。,In battle; cards have a concept called 'advantage'. 'Card advantage' means 'how much more favorable a card makes your situation;' does that make sense?
例えば、手札を１枚捨てて発動する魔法カードで、\n山札からカードを１枚引くとしたらどうでしょう。\n１枚を捨てて１枚を引いているので一見損も得もないようですが、,For example; if you use a spell card that requires you to discard one card from your hand to draw one card from your deck; it might seem like you're neither gaining nor losing anything since you're discarding one card to just draw another. However...
実はその魔法カード自体も使い捨てているので、\n２枚のカードで１枚のカードをドローしていることになります。\nこの場合、２対１交換になっているので１枚の損ですね。,Since the magic card itself is also a one-time use; you are effectively using two cards to draw just one. In this case; it's a 2-for-1 exchange; resulting in a loss of one card; understand?
手札を１枚捨ててカードを2枚ドローすれば、２対２交換で損得なし。\n３枚のカードを引けるなら２対３交換で１枚の得です。,If you discard one card from your hand and draw two cards; it's a 2-for-2 exchange; resulting in no gain or loss. If you can draw three cards; it's a 2-for-3 exchange; resulting in a one-card gain.
このように発動したカードもコストに含めて考えて、\n消費したコストに対してどのぐらいのメリットが得られるか計算すると\n強いカードが見極められるようになりますよ。,By considering the played card as part of the cost and calculating the benefits gained against the cost you pay; you'll be able to identify which cards are especially strong!
デッキ圧縮という考え方をご存じでしょうか。,Are you familiar with the concept of deck thinning?
例えば、\n「デッキからカードを１枚引く」というカードがあったとします。\n１枚使って１枚引くだけですから一見無意味なカードです。,As an example; let's say you have a card that says; 'draw one card from your deck.' At first glance; it seems like a pointless card since you use one card to draw one card.
しかし、デッキを強いカードだけで固めるという目的からすると、\nこのカードは非常に強力です。,However; looking at it with the goal of filling your deck with only the strongest cards; this card is actually extremely powerful.
例えばこのカードを３枚入れるだけで、20枚のデッキではなく、\n実質17枚だけのカードでデッキを組むことができます。\nつまり強いカードだけでデッキを固められるというわけです。,For example; by including three of this card; you can effectively create a deck with only 17 cards instead of 20; meaning more strong cards and less filler.
１対１交換をするカードにはこうした使い道もあるので、\n知っているとデッキ構築の幅が広がりますね。,Since cards that can be exchanged one-for-one can be used like that; knowing about them can really broaden your deck-building options; don't you think?
墓地リソースという言葉を知っていますか？,Do you know the term 'graveyard resource'?
カードには自分の墓地のカードをコストにして発動するものがあります。\nまた墓地のカードを復活させたり、手札に戻すカードもあります。,Some cards can be activated using cards from your own graveyard as a cost. There are even cards that can revive other cards from the graveyard or return them to your hand.
そうしたカードのことを考えると、\n墓地もひとつの資源、重要なリソースだという考え方が、\n「墓地リソース」ですね。,If you use cards like those; the graveyard becomes another resource; and a pretty important resource at that. That is what we call 'graveyard resource'; understand?
墓地をフル活用するデッキの使い手は\n「墓地は第二の手札だ」と豪語する人もいるとか。\nそれぐらい墓地は重要なのです。,Some masters whose decks fully utilize the graveyard boast that 'their graveyard is a second hand'. That's how important the graveyard can be.
自分のデッキからカードを直接墓地へ送るカードがありますが、\nそうしたカードと墓地を再利用するカードを組み合わせると\n意外と強力なコンボになったりしますよ。,Cards that send other cards directly from your deck to the graveyard might seem weak; but when you combine those with cards that reuse the graveyard; it can become an unexpectedly powerful combo!
コンボカードについて考えるのはカードバトルの醍醐味です。,Thinking about combo cards is the essence of card battles.
多くの場合、\n特定のカードがないと発動できないような強い制約のあるカードは\n強力な効果を持っています。,In many cases; cards with strong restrictions that can't be activated without other specific cards often have powerful effects.
しかしだからといって、考えなしにデッキに入れると、\n手札事故を引き起こしかねません。コンボ用のカードがそろわなければ\n何の役にも立たないカードになってしまうからです。,However; if you put them in your deck carelessly; you might run into some issues with your hand. If you don't have the combo cards ready; they can become totally useless!
コンボカードを活かすためには、ドローカードを追加で入れたり、\n属性やレベルでデッキからサーチするようなカードを入れると、\n動きが安定しますね。,To make the most of combo cards; try adding draw cards or cards that search your deck by attribute or level to help make your deck more consistent; okay?
強力なカードと潤滑油になるようなカード、\nそのどちらもが強いデッキを作るうえでは欠かせないと言えるでしょう。,Powerful cards and the commbo cards that fuel them... Both are essential for building a strong deck.
「メタカード」というのをご存じでしょうか。,Do you know what a 'meta card' is?
メタカードは特定の種類のデッキに対してよく刺さるカードのことで\n例えば魔法の「武装放棄」がそうですね。,A meta card is a card that works especially well against specific types of decks; such as the spell 'Abandon Weapons.'
このカードはわずか500のLPコストで、\n相手の装備カードをすべて破壊してしまいます。\n１枚で最大３枚破壊できるわけですから、きわめて強力です。,This card; at the small cost of 500 LP; can destroy all of the opponent's equipped cards. Since it can destroy up to three of their cards for just one of your own; it's extremely powerful.
しかし一方で、装備カードを使わない相手に対しては\nまったく役に立たないカードでもあります。,On the other hand; it's completely useless against opponents who don't use equipment cards.
事前に相手のデッキの情報を集め、メタカードをデッキに入れておく。\nそういうしたたかな戦術も\nカードマスターとして勝ち上がっていくには大事なのかもしれません。,Try to gather information about your opponent's deck in advance and include meta cards in your own. Such shrewd tactics might be crucial for rising through the cardmaster ranks.
おや、あなたは「武装放棄」を持っていないのですか？\nあまりレアなカードでもありませんし、\nわたしの手持ちで余っている１枚を差し上げましう。,Oh; you don't have 'Abandon Weapons' yet? It's not that rare of a card; why don't I give you this extra one I have from my collection.
あなたもいよいよBランクですか。\n本当にたいしたものです。,So you've finally reached B-rank? That's really impressive.
わたしは闘技場を観戦し、\n本で多くを学んでカードバトルの腕を磨いてきました。,I've been watching fights in the colosseum and studying a bunch of books hoping to hone my card battle skills.
しかし昨今の快楽攻撃の流行のせいで、\nいくら知識があっても、女性モンスター相手に\n全く歯が立たなくなってしまったのです。,Because of the recent increase in pleasure attacks; though; no matter how much knowledge I have; I've become completely powerless against female monsters.
無敗のルーキー、あなたの精神力を尊敬しますよ。\nわたしにもはや教えられることはありません。\nぜひその手でＢランクの栄光をつかみ取ってください！ I'm really impressed by your mental fortitude; Undefeated Rookie. There's nothing more I can teach you. Please; go and grasp the glory of B-rank with your own two hands!
この国は大きく分けて4つのエリアがあります。\nカードマスターの街モルゲンがあり、穀倉地帯でもある南部。,This country is roughly divided into four areas. In the south; there's the city of Morgen; home of the cardmasters. The southern region is used mostly for agriculture.
山がちながら鉱物資源に恵まれた西部。\n海に開かれており、小さな島との交易もある東部。,The western region is mountainous and rich in mineral resources. The eastern region is open to the sea and engages in trade with small islands.
そして魔族領に接しており王都もある北部です。\n北部には獣人たちの村落もあるそうですね。,And then there's the northern region; which borders the demon territory; and also holds the royal capital. I've heard there are villages of beastmen in the northern region as well.
かつては北の地にもっと広い領土があったのですが、\nサキュバスたちの侵攻により多くの村落が奪われてしまいました。\n王都の結界の力で、なんとか今は食い止めているにすぎません。,There used to be a much larger territory in the northern lands; but many villages were taken when the succubi invaded. Thanks to the barrier around the royal capital; we're managing to hold them off for now; but just barely.
この事態をなんとかするためにも、\n若い我々が努力しないといけませんね。無敗のルーキーを見習って、\nわたしも日夜修行に励んでいます。,To address this situation; young masters like us have to make a real effort. So I'm following your example and dedicating myself to training day and night.
カードパックは基本的に\n遺跡から出る発掘品やモンスターが落とすアイテムの中に入っています。\nしかし・・・,Card packs are items that are excavated from ruins or dropped by monsters. However...
どういった原理でカードの中に魔法や生物が封じ込められているのかは\nいまだに謎が多くほとんどわかっていません。,The principle by which spells and monsters are sealed within these cards remains largely a mystery we've barely even begun to understand.
ある学説によれば、カードの中のモンスターたちは、\nマスターと前世でつながりがあったものたちであり、\n召喚されて命令に従うのはそのつながりを感じるからだと言います。,According to a certain theory; the monsters within the cards had a special connection with their master in a past life; and they obey commands upon being summoned because they feel that connection.
カードパックを開いたとき\n人によってどんなカードが顕現するか違うため、\nこのようなロマンチック？な学説も出ているわけですね。,When you open a card pack; the cards that manifest differ from person to person; which I suppose is why such a romantic theory has emerged.
わたしとしては一種の契約魔術のようなものだと思っていますが、\nその仕組みが解明されるようになるのは、\nもっとずっと先のことになりそうです。,I think of it as a kind of contract magic; but it seems like it'll be a long time before the mechanisms behind it are fully understood.
ちなみに魔法カードやトラップカードは、\n色々なマスターがパックを開けたときに同じカードが出ることがあります。,By the way; magic cards and trap cards can sometimes appear as the same card when different masters open their packs.
このように理性を持たないカードは人を選ばず出ることから、\n先ほど紹介したような、理性のあるカードは前世のつながりがあるのでは\nという突飛な説が生まれたわけです。,It's the fact that non-sentient cards appear no matter who opens a pack that led to the outlandish theory I mentioned earlier that sentient cards might have connections to past lives.
モンスターたちが所持している道具の中には、\n我々の生活の中ではあまり見られないものも多くあります。,Among the tools possessed by monsters; there are many that are rarely seen in our daily lives.
例えば一部のモンスターが所持している「銃」がそうですね。\n火の魔法を込めて、小さな石の弾や鉄の弾を飛ばす、\n魔法の小型杖です。,For example; some monsters carry 'guns' -small; magical staves that shoot tiny stone or iron projectiles infused with fire magic.
彼らや彼女らは有用な道具だと主張するのですが、\n普通に魔法で火球を飛ばした方が威力もあり、筒の中で繊細な火魔術の\nコントロールがいるあの道具は、あまり有用性がわかりません。,Some claim it's a useful tool; but casting a fireball with regular magic is much more powerful; and the tool requires delicate control of fire magic within the tube; so I don't know how useful it really is.
コントロール能力さえ高ければ魔力消費を抑えられるのは\nメリットにあげられるのかもしれませんね。,I suppose if you can control the magical energy; I suppose being able to reduce magic power consumption could be considered an advantage; right?
魔族領への侵攻のための兵を王都で集めているようですね。\nサキュバス相手となると今のわたしでは\n行ったところで敵の養分になってしまうだけでしょう。,Looks like they're gathering troops in the royal capital for an invasion of the demon realm. If I were to face a succubus now; I would just end up as food for the enemy.
これはせめてもの行為です。\n無敗のルーキー、あなたにカードを１枚託します。,This is the least I can do. Undefeated rookie; I entrust you with this card.
『{%%40333}』を手に入れた！,Obtained {%%40333}!
わたしが持っている中でも一番レアリティの高いカードです。\nあなたならきっと役に立てることもできるでしょう。,It's the rarest card I have. I'm sure you could put it to good use.
しかし、わたしだってあなたの背を追うばかりではありません。\n必ずや快楽攻撃を克服して、サキュバスにも打ち勝ってみせますよ！,However; I'm not just going to let myself trail behind you. I'll definitely overcome pleasure attacks and defeat the succubi!
わたしが託したカードは、\nデッキから魔法カードを加えることのできる汎用的なカードです。,The card I entrusted to you is a versatile card that allows you to add a spell card from your deck to your hand.
しかし、魔術師モンスターを強化する効果もついているので、\n魔術師カードと共に使えば更なる効果を発揮できるでしょう。,However; it also has the effect of enhancing magician monsters; so if you use it with magician cards; it'll be even stronger.
もし使い道がなければ売ってしまってもかまいません。\nそのときはあなたが魔族領に行くときの、路銀にでも変えてください！,If you can't really use it; feel free to sell it. If you did that; you could exchange it for travel expenses when you go to the demon realm!
やぁやぁ、いらっしゃい。\nここでは闘技場の人気ランカーたちのグッズを売ってるよ。,Hey there; welcome! I sell merchandise from popular colosseum fighters here!
あの有名なモルゲン学園のエリートBランカー、メロディや\nシルヴィアのサイン色紙に・・・。,We have signed autograph boards from the famous elite B-rankers from Morgen Academy; Melody and Sylvia...
モンスターを１枚も使わずに戦う、\n「百器使い」ムサシ選手の武器をモデルにした\n模造刀なんてのもあるよ。,There's even a replica sword modeled after the weapon of Musashi; the 'Toolkit Tyrant'; who fights without using a single monster!
おや、アンタもよく見るとカードマスターだね。\nこれから試合かい？\nそれならほら、この色紙にサインをしておくれよ。,Oh; looking closer; you're a cardmaster too; aren't you? Are you heading to a match? In that case; here; sign this for me!
アンタがもし有名になったら高く売れるかもしれないだろ。\n代わりにほら、珍しいカードをあげよう。,If you get famous; I could probably sell it for a decent price. In exchange; I'll give you a rare card.
サインを書いた,Sign
サインを書かなかった,Don't sign
おお、ありがとう！\nアンタ気前がいいね。きっとこれから大成するよ。,Oh wow; thanks! You're pretty generous; aren't you? I'm sure you'll achieve great things from here on out!
ほらこれがお礼のカードだ。\n他のマスターから「いらない」ってんでもらったんだが、\nうまく活用してやってくれ。,Here; this is a thank-you card. I got it from another master who said they didn't need it. Make good use of it.
{%%40208}を手に入れた！,Obtained {%%40208}!
むむ、けちだねー、アンタ。\nそんなんじゃ大成しないよ。,Hmm; you're a stingy one; aren't you? With that attitude; you'll never get far!
まあいいや、それなら代わりに何か買っていっておくれよ。\nえ？荷物になるからいらない？\n残念だねー、こんなにいい商品ばかりなのに。,Well; never mind. In that case; why don't you buy something instead? Huh? You don't want it because it would just weigh you down? That's too bad; considering how great these products are.
モルゲン学園のエリートBランカー、\nメロディ嬢やシルヴィア嬢のサイン色紙に・・・。,Step on up and buy autographs from Melody and Sylvia; the elite B-rankers of Morgen Academy...
おや、アンタはさっきのカードマスターじゃないか。\nさっきはサインをありがとうよ。,Oh; you're the cardmaster from earlier; aren't you? Thanks again for the autograph!
最近は女マスターばっかり強いけど、\nアンタならきっと勝ち上がっていけるよ。\nあたしの目に間違いはない。がんばりな。,Recently; all the strong masters have mostly been female; but I have faith you can rise to the top! My eyes don't make mistakes. Keep it up.
おや、アンタはさっきのカードマスターじゃないか。\nなんだい、サインを書いてくれる気になったのかい？,Oh; aren't you that cardmaster from earlier? What; are you in the mood to give me an autograph now?
サインを書いてあげた,Give an autograph
サインを書いてあげなかった,Don't give an autograph
ほらこれがお礼のカードだ。\n他のマスターからいらないっていうんでもらったんだが、\nうまく活用してやってくれ。,Here; this is a thank-you card. I got it from another master who said they didn't need it. Put it to good use.
なんだい。ひやかしならほら、帰っておくれ。\nあとでこのカードが欲しくなって後悔しても知らないよ。,What is it? If you're just here to mock me; then go on; get out. Don't come crying later if you end up wanting that card!
蜘蛛使いの看守、ヤツメ選手のかっこいいブーツに、\n獣使いの猫マスター、ネネコ選手の毛玉。,I have the spider-handling guard Yatsume's cool boots; and the beast-handling cat master Neneko's furball.
それにほら、いま話題の新人ルーキーのサインもあるよ。\n買った、買った。安いよ。,And look; I even have the signature of the upcoming rookie everyone's talking about! Step up and get it! Nice and cheap!
おや、アンタは当のルーキーさまじゃないか。\nわたしがにらんだとおり、\nあんたはさっそく初勝利をあげてくれたね。,Oh hey; aren't you the rookie everyone's talking about? Just as I suspected; you've already secured your first victory; haven't you?
ほら、またサインを書いておくれよ。\nあんたのサインわりと人気があるんだ。\n代わりにまた珍しいカードをあげるからさ。,Here; write your signature again. Your autograph's pretty popular right now. In return; I'll give you another rare card.
おお、ありがとう！\nいやぁさすがは期待の新人だね。\nやっぱり上に行くやつは太っ腹だよ。性格がいいね。,Oh; thank you! Wow; as expected from a promising rookie. Those destined to rise to the top are always so generous! You have a good heart; don't you?
ほらこれがお礼のカードだ。\n自分の体にキノコを生やすカードだよ。何に使うんだろうね。\nまあうまく使ってやっておくれ。,Here; this is a thank-you card. It makes mushrooms grow on your body. I'm not really sure what it's for; but make sure to put it to good use.
{%%40327}を手に入れた！,Obtained {%%40327}!
なんだい。一回勝ったぐらいで有名人気取りかい。\n気前のよかったアンタが、\nケチになっちゃうなんて、わたしゃ悲しいね。,What's up? Just because you won once; you think you're too famous for autographs now? It's sad to see someone who used to be so generous become so stingy; don't you think?
何も買わないなら帰っておくれ。\nこの珍しいカードもほかの人に売っちまうよ。,If you're not going to buy anything; then just go home. I'll sell this rare card to someone else!
おや、自分のサインがどれぐらい売れてるのか見に来たのかい？\nまあまだ一勝だからね。\n闘技場のマニアがちょっと買ってくぐらいだよ。,Oh; did you come to see how much your signature is selling for? Well; you've still only won once. Only a few colosseum enthusiasts buy it!
だけどアンタはきっと勝つね。勝ちまくってくれれば\nサインの値段は２倍にも１０倍にもなるんだ。\n楽しみにしてるから、がんばっておくれよ。,But you'll definitely keep winning; right? If you keep winning; the price of your autograph will double; or maybe even increase tenfold. I'm looking forward to it; so do your best!
おや、なんだい、期待の新人さまじゃないか。\n気が変わったのかい。\nサインを書いてくれれば、この珍しいカードをあげるよ。,Oh; what do we have here? The promising rookie. Have you changed your mind? If you sign this; I'll give you that rare card I offered earlier!
「妖精の酒場」のミレーヌ選手のお店への地図に、\nそこの食事一覧が書いたメニューもあるよ。,I have a map to Mylene's bar; the 'Fairy Tavern'; along with a menu listing the meals served there!
お、このサインが欲しいって？お目が高いねお客さん。\nはい、買った買った。\nありがとね。,Oh; you want this autograph? You've got good taste; my friend. Alright; alright; I'll sell it to you. Thank you very much.
・・・おや、また会ったね。おかげさんで中々盛況だよ。\nあんたのサインも今ちょうど売れたところさ。\n２連勝したんで少しは名前が売れてきたのかね。,...Oh; we meet again; huh? Thanks to you; business is pretty good! Your autograph just sold; too. Maybe your name is starting to get some recognition after two consecutive wins; eh?
ほら、またサインを書いておくれよ。\n代わりにまた珍しいカードをあげるからさ。,Here; write your autograph again! In return; I'll give you another rare card.
おお、ありがとう！\nいやぁさすがは期待の新人だね。\nあんたほど優しい男をわたしゃ知らないよ。,Oh; thank you! Wow; you really earned your title of promising rookie. I don't know any other man as kind as you!
ほらこれがお礼のカードだ。\nあんまり役に立たない猫のゴーレムだそうだよ。\nちょっと攻撃力を上げてくれるとか。まあうまく使ってやっておくれ。,Here; this is a thank-you card. It's a cat golem that doesn't really do much; but it might boost your attack power a bit. Make good use of it.
{%%40234}を手に入れた！,Obtained {%%40234}!
なんだい。今日はけちだね。\nなにか機嫌でも悪いのかい。,What's up? You're being stingy today. Are you in a bad mood or something?
・・・おや、また会ったね。\n猫ゴーレムが入らないって言われてもわたしにゃどうしようもないよ。\nわたし自身はカードを使えないしね。,...Oh; we meet again. If they say cat golems aren't allowed; there's nothing I can do about it. I can't use the card myself; you know?
捨てるに忍びないからってんでわたしにくれるんだろうね。\nまあ色々変わったカードがあるからこれからも\nサインのお代にあげるよ。楽しみにしてな。,They probably gave it to me because they can't bear to throw it away. Anyway; I have various other unique cards; so I'll continue giving them to you as payment for your signature! Look forward to it.
おや、なんだい、けちな新人さまじゃないか。\n気が変わったのかい。\nサインを書いてくれれば、この珍しいカードをあげるよ。,Oh; what's this? Aren't you the stingy newbie? Changed your mind; have you? If you sign; I'll give you that rare card!
