default
巨乳アラクネ,Large Breasted Arachne
脚をぷるぷる震えさせちゃってかわいい❤\nどう？わたしたちに服従してよかったでしょう？,Your legs are trembling; so cute.❤ How is it? Aren't you glad you submitted to us?
はひぃ、{自分}様ぁ・・・❤あうう、きもちいいっ❤❤,Hahiii; {自分}-sama...❤ Auu; it feels so good.❤❤
くすくす❤素直にまた「様」付けで呼んじゃって、\nあなたも完全に、快楽にからめとられてしまったわね❤,*giggle*~❤ You wholeheartedly called me "-sama" again. You're too far gone in bliss.❤
もう我慢しなくていいのよ❤\nあなたはわたしたちに服従して、\nすべてを差し出すことを自分で選んだの。,There's no need to keep up appearances anymore.❤ You've chosen to submit and give all of yourself to us.
だから魔力を出してしまうことも、全然こらえなくていいの❤\n貢げるだけ貢いでしまって、それでいいのよ❤,So you don't have to hold back your magic power anymore.❤ It's fine to just share as much of it as you can.❤
ほらほらほら❤わたしの巨乳にチンポを飲み込まれて、\n快楽のうねりで全部吐き出させてあげる❤,Come on; go on.❤ Your dick will be swallowed in my huge breasts; and I'll make you spurt it all out in a wave of bliss.❤
根元から先っぽまで、ねっとり絡みつくやわらかぁいおっぱい❤\nこすられるまま、誘われるまま、\nあなたのエナジーを出してしまいなさい❤,From the base to your tip; these soft breasts will wrap around you.❤ Let them rub against you; tempt you; and release all your energy.❤
あふぅ、あへぇっ❤{自分}さまぁ、ああっ、ああっ❤❤,Afuu; aheee~❤ {自分}-sama; aah; aaaah~❤❤
まだまだ出るでしょう？ほらほらほら❤,You still have more; right? Come on; come on.❤
はひぃっ・・・❤きもちよすぎるっ・・・❤\nああ、{自分}さまぁ、{自分プレイヤー}さまぁ・・・❤❤,Hahiii...❤ It feels so good...❤ Aaah; {自分プレイヤー}-sama...❤❤
こうして僕は何度も精を搾り取られ、彼女たちに屈服する気持ちよさをしっかりと刻み込まれてしまった。そしてそのまま気絶し、闘技場で初めての敗北を味わってしまったのだった。,My semen is milked countless times; and the pleasure from submitting to them is deeply imprinted in my heart. I pass out; tasting defeat for the first time in the arena.
次の日,The Next Day
うう・・・。,Uu...
僕はふらふらとした足取りで、ヤツメ様が看守をしているというこの街の牢獄に向かっていた。,With unsteady legs; I stagger towards the city prison where Yatsume-sama works as a prison guard.
ふ、誰かと思えば昨日のルーキーか。\n負けた次の日にまた会いに来るとは、\n昨日の快楽がよほど忘れられなかったと見える。,Well well; if it isn't the rookie from yesterday. Coming to see me again the very next day after you lost; seems you can't forget the pleasure you felt yesterday.
無敗のせいで純朴だった貴様には、\nわたしの与えた快楽は刺激が強すぎたようだな❤,I guess my stimulation was too much for you; who'd never had your cherry popped thanks to your winning streak.❤
だがいまわたしは仕事中だ。\n貴様はそこで仕事が終わるのを待っているといい。\n夜になったら、ゆっくりと相手をしてやろう…❤,But I'm working right now. You can sit over there and wait until I'm done. I'll show you a good time tonight...❤
あうう・・・❤わかりました、{自分プレイヤー}さまぁ・・・❤,Auu...❤ Understood; {自分プレイヤー}-sama...❤
ククク❤まだ何も言っていないのに、自分から「様」付けか。\nすっかり調教されてしまったな❤,*giggle*~❤ I haven't even said anything yet; and you're already calling me "-sama'. Looks like you've been tamed by me.❤
従順な犬は嫌いではない❤\nそこでいい子におすわりしていろ。マゾルーキー❤,I don't dislike obedient dogs.❤ Just be a good boy and sit there; Maso Rookie~❤
ふぅ、今日の仕事もこれで終わりか。\nおやどうやらいい子に「待て」ができていたようだな❤,Phew; that's it for today's work. Oya? Seems you've been an obedient boy. You've learned to "wait".❤
あとでわたしの家に呼んでやるが、\nいまはすぐにでも魔力補給をしたい気分だ。\nお前もそうだろう？そんなにズボンを膨らませて❤まったく。,I'll invite you to my house in a moment; but for now; I feel like I need to replenish my magic. Don't you agree? There's something bulging in your pants.❤ Tsk tsk tsk.
{自分}を召喚。\n一緒にお前を可愛がってやろう❤,Come forth; {自分}. Let's give him plenty of love together.❤
うふふ❤昨日はパイズリで散々してあげたのにまだ足りなかったのね❤,Ufufu~❤ I just gave you a paizuri yesterday; but it seems that wasn't enough.❤
今日は少し趣向を変えて、こんなプレイはどうかしら…❤,Today; let's switch things up a little and try doing this...❤
顔を覆う{自分}の胸と、わたしのブーツの足コキ❤\nマゾな貴様にとっては天国だろう？,My breasts smothering our face as I give you a footjob with my boots;❤ it must feel like heaven for a masochist like you; right?
おや、もう腰が震え出した❤\n試合の時も挟まれてすぐ果てたが、やはり早漏だな❤,Oya? Your hips are already shaking.❤ You came quickly from getting pinched during our match; are you a premature ejaculator?❤
出したければさっさと出せ❤\nほら❤,If you want to let it go; you can't hold it back anymore;❤ go ahead.❤
わたしも、ぱふぱふ❤,I'll just; puff puff~❤
ひあっ、ああっ・・・❤こんな、すごいっ❤はひぃ・・・❤,Hyaaa; aah...❤ This; amazing~❤ Hahiii...❤
看守の任務は威圧のためにモンスターを連れながら行うからな。\n一日中モンスターを出しておくのはなかなかに骨が折れる。,We prison guards use monsters in our duty to intimidate the prisoners. Keeping them out all day is exhausting.
貴様の良質な魔力は、いい回復剤だ❤\n従順で、若い男で、魔力の質もいい。\nクク、なかなかいい下僕が手に入ったな❤,Your high-quality magic power is a great replenisher.❤ You're obedient; young; and you have quality magic power. *giggle* I've acquired a wonderful servant.❤
わたしもけっこうお気に入り❤\n反応がかわいいもの❤,I like him too;❤ his reactions are so cute.❤
今もおっぱいに甘えてふにゃあってなって、\nくすくす、昨日戦った相手とは思えないわね❤\n少しぱふぱふしてあげれば、ほらまた出しちゃう❤,Even now; he's still being pampered by my soft breasts. *giggle* It's hard to believe this is the same guy I was fighting yesterday.❤ If I just give him a bit of puff puff; look; he came again.❤
あひぃ、{自分プレイヤー}さま、{自分}さまぁ・・・❤\nきもちいいですっ・・・❤あへぇあ・・・❤❤,Ahiii; {自分プレイヤー}-sama; {自分}-sama...❤ It feels so good...❤ Aheeaah...❤❤
僕は完全に二人の虜になってしまった。彼女たちの与える快楽はとても甘美で、彼女たちに服従しながら魔力を搾り取られるこの関係に、僕はすっかりはまり込んでしまったのだ。,I'm completely lost in their trance. They're injecting me with such sweet pleasure; I'm completely immersed in this relationship of submitting to them; letting them drain my magical energy. 
{自分プレイヤー}さまは僕が従順である限り、僕を可愛がってくれる。牢屋の看守室だけではなく、{自分プレイヤー}さまの家にも呼んでいただき、そこで複数のアラクネたちに快楽を与えられることもあった。,{自分プレイヤー}-sama will love me so long as I'm obedient. I'm invited not only to the prison guard's office; but even to {自分プレイヤー}-sama's house; where I'm pleasured by several arachnes.
僕は{自分}さまや{自分プレイヤー}さまに魔力をささげるために、日中は魔力をほとんど使わないようになった。当然、修行もバトルもいままで通りにはいかず、戦績はどんどん落ちて行った。,In order to dedicate my magic power to {自分}-sama and {自分プレイヤー}-sama; I use very little of it during the day. Naturally; my training and battles don't go as well as before; and my performance steadily declines.
しかし、そんなことよりも彼女たちに尽くせることの方が僕にとっては大きな喜びだった。ペニスに快楽を与えられることだけではなく、彼女の前で膝をつき、下僕のようにふるまうこと自体に、次第に強い喜びを覚えるようになっていった。,But the joy I feel serving them is far greater. I feel a strong sense of satisfaction; not only from the pleasure being given to my penis; but also from kneeling before them and being their slave.
もはや無敗のルーキーと呼ばれていたころの強い意志に満ちた目は、主人公にはない。女性に負けることを受け入れ、なぐさみものにされて喜んでしまうみじめな奴隷の姿がそこにはあった。,The hero no longer has the fierce; determined eyes he once had when he was called the Unstoppable Rookie. Now; he's just a pathetic slave who embraces losing to women and enjoys being used as a plaything.
こうして妹を救うためにAランクを目指していた主人公の物語は、一匹のアラクネに魅了され蜘蛛使いのマスターの魔力補給の道具になって、その幕を閉じたのだった。,Thus; the story of our hero; who strove to achieve A-rank and save his sister; comes to an end. Seduced by an arachne; he becomes a magical power supply source to the spider-tamer master.
