default
カクテルフェアリー・シトラス,雞尾酒仙精・柑橘
しかし、そんな無理な散財が続くはずもなく、あっという間に僕の所持金は底をついてしまった。魔力を頻繁に彼女たちにささげているせいで、バトルの成績も段々と悪くなっていった。,しかし、そんな無理な散財が続くはずもなく、あっという間に僕の所持金は底をついてしまった。魔力を頻繁に彼女たちにささげているせいで、バトルの成績も段々と悪くなっていった。
危険な仕事や怪しい契約に手を出して何とか金を手に入れているが、果たしてこの生活をいつまで維持することができるのだろうか。,危険な仕事や怪しい契約に手を出して何とか金を手に入れているが、果たしてこの生活をいつまで維持することができるのだろうか。
こうして小さな妖精の虜となった僕は、昇格の道を手放し、その場暮らしの生活へと転落した。僕の冒険はフェアリーの貢ぎ奴隷としてその幕を閉じたのだった。,こうして小さな妖精の虜となった僕は、昇格の道を手放し、その場暮らしの生活へと転落した。僕の冒険はフェアリーの貢ぎ奴隷としてその幕を閉じたのだった。
んー…。マスターに攻撃しろって言われたけど、めんどくさいなぁ。\nてきとうに手で触ってればいいかしら。,んー…。マスターに攻撃しろって言われたけど、めんどくさいなぁ。\nてきとうに手で触ってればいいかしら。
カリの張り出しているところを、手でしこしこ、しゅこしゅこ…。\nん、こんなので気持ちいいの？簡単ね。,カリの張り出しているところを、手でしこしこ、しゅこしゅこ…。\nん、こんなので気持ちいいの？簡単ね。
あまり長く飛ぶのは疲れるわ。あなたのペニスの上で休ませて？\nよいしょ…。,あまり長く飛ぶのは疲れるわ。あなたのペニスの上で休ませて？\nよいしょ…。
ただで居座るのも悪いし、ほら、お礼。\n竿のところを片手でなでなでしといてあげる。\nわたしが休んでいる間、気持ちよくなっていいわよ。,ただで居座るのも悪いし、ほら、お礼。\n竿のところを片手でなでなでしといてあげる。\nわたしが休んでいる間、気持ちよくなっていいわよ。
ふわぁ～。戦うのってめんどくさくてあくびが出ちゃう。\nおちんちんいじめるのなんて、適当でいいよね。,ふわぁ～。戦うのってめんどくさくてあくびが出ちゃう。\nおちんちんいじめるのなんて、適当でいいよね。
こんなに何もしないで勝てるなんて、\n闘技場のときはまぐれ勝ちだったのかな？\nマスターくんが理性の弱い男の子でよかった❤,こんなに何もしないで勝てるなんて、\n闘技場のときはまぐれ勝ちだったのかな？\nマスターくんが理性の弱い男の子でよかった❤
他の人も同じぐらい簡単に負けてくれるといいなぁ❤\n戦わないで済むし。みんなおっぱいでオナニーしていいよ❤,他の人も同じぐらい簡単に負けてくれるといいなぁ❤\n戦わないで済むし。みんなおっぱいでオナニーしていいよ❤
何もしてないのに勝手に負けてくれてありがと❤\n対戦相手がみんなこれぐらい楽だといいのに❤,何もしてないのに勝手に負けてくれてありがと❤\n対戦相手がみんなこれぐらい楽だといいのに❤
妖精のものぐさ手コキ,妖精のものぐさ手コキ
妖精のものぐさ乳誘惑,妖精のものぐさ乳誘惑
なんでも,なんでも
