default
ヤツメ,雅次
ふ、もう出たのか？\nわたしのふとももは気持ちよかっただろう？,ふ、もう出たのか？\nわたしのふとももは気持ちよかっただろう？
何も言わなくても\nそのバカみたいな蕩け顔を見ればよく分かる❤\n恍惚としてずいぶん気に入ったようじゃないか。マゾ豚め❤,何も言わなくても\nそのバカみたいな蕩け顔を見ればよく分かる❤\n恍惚としてずいぶん気に入ったようじゃないか。マゾ豚め❤
ううっ…❤我慢できない…❤,ううっ…❤我慢できない…❤
ふふ、試合前の言葉はどうした？\nまだ始まってほとんど時間が経っていないというのに、\n手を上下に動かして…❤,ふふ、試合前の言葉はどうした？\nまだ始まってほとんど時間が経っていないというのに、\n手を上下に動かして…❤
実に情けないな。このマゾ豚が❤,実に情けないな。このマゾ豚が❤
ふふ、どうした？\nまだ始まってほとんど時間が経っていないというのに、\n手を上下に動かしてシコシコと…❤,ふふ、どうした？\nまだ始まってほとんど時間が経っていないというのに、\n手を上下に動かしてシコシコと…❤
ふふ、試合前の言葉はどうした？\nあんなに生意気なことを言っておきながら、\n戦闘を放棄してシコシコ扱きだすとは…❤,ふふ、試合前の言葉はどうした？\nあんなに生意気なことを言っておきながら、\n戦闘を放棄してシコシコ扱きだすとは…❤
ふふ、どうした？\nわたしと「いい勝負をする」んじゃなかったのか❤\n戦闘を放棄してシコシコ扱きだすとは…❤,ふふ、どうした？\nわたしと「いい勝負をする」んじゃなかったのか❤\n戦闘を放棄してシコシコ扱きだすとは…❤
ふふ、わたしの前に近寄ってきて何をするのかと思えば、\nまさかオナニーをしだすとはな。,ふふ、わたしの前に近寄ってきて何をするのかと思えば、\nまさかオナニーをしだすとはな。
自分のマスターのことはいいのか？\nこの裏切り者のマゾ豚が❤,自分のマスターのことはいいのか？\nこの裏切り者のマゾ豚が❤
うぐぅっ・・❤❤,うぐぅっ・・❤❤
ふん、こう言われても扱く手を止めることができないのか。\nお前の屈服する様を眺めているのもいいが、\nそうだな。こういうのはどうだ❤,ふん、こう言われても扱く手を止めることができないのか。\nお前の屈服する様を眺めているのもいいが、\nそうだな。こういうのはどうだ❤
ひざまずけ。\n頭を踏んでやろう❤,ひざまずけ。\n頭を踏んでやろう❤
あっ、ああっ、だめぇっ・・❤❤,あっ、ああっ、だめぇっ・・❤❤
はひぃっ・・・❤❤,はひぃっ・・・❤❤
くすくす❤まさか頭を踏まれただけで出すとはな。\nこの早漏め❤,くすくす❤まさか頭を踏まれただけで出すとはな。\nこの早漏め❤
欲望を抑える理性もなく、快楽に弱く早漏❤\n弱点だらけで、\nずいぶん救いがないじゃないか。期待のルーキー❤くくく❤,欲望を抑える理性もなく、快楽に弱く早漏❤\n弱点だらけで、\nずいぶん救いがないじゃないか。期待のルーキー❤くくく❤
所詮男のモンスターなどその程度だ。\nサキュバスどころか人間のカードマスターの快楽にすら\n脳を支配される。,所詮男のモンスターなどその程度だ。\nサキュバスどころか人間のカードマスターの快楽にすら\n脳を支配される。
あるいはマスターの理性を反映しているのかもな。\n期待のルーキー、お前もここに来て\nわたしに頭を踏まれてみるか？ククク❤,あるいはマスターの理性を反映しているのかもな。\n期待のルーキー、お前もここに来て\nわたしに頭を踏まれてみるか？ククク❤
あぐ、はひぃっ・・❤❤,あぐ、はひぃっ・・❤❤
くくく❤たやすく四つん這いにされてしまったな。\nわたしの足など、手で防げばよかっただろうに。,くくく❤たやすく四つん這いにされてしまったな。\nわたしの足など、手で防げばよかっただろうに。
頭を踏まれても、手を離すこともできず、\n必死にシコシコ、シコシコ❤\nマゾ豚は腕すら自由に動かせぬらしい❤,頭を踏まれても、手を離すこともできず、\n必死にシコシコ、シコシコ❤\nマゾ豚は腕すら自由に動かせぬらしい❤
どうだ？わたしに頭を踏まれ、\n四つん這いで扱き続けるなど屈辱だろう？\n悔しければ、ほら、歯向かってみせろ❤,どうだ？わたしに頭を踏まれ、\n四つん這いで扱き続けるなど屈辱だろう？\n悔しければ、ほら、歯向かってみせろ❤
お前の反応を見る限り、屈辱感よりも、\n快感の方が勝っているようだがな。\nぐちゅぐちゅと情けない音を出して、そんなに気持ちいいか？マゾ豚め❤,お前の反応を見る限り、屈辱感よりも、\n快感の方が勝っているようだがな。\nぐちゅぐちゅと情けない音を出して、そんなに気持ちいいか？マゾ豚め❤
うぐ、ううっ・・❤❤止めないとだめなのにっ❤ああっ❤❤,うぐ、ううっ・・❤❤止めないとだめなのにっ❤ああっ❤❤
ふふ、いつ見ても男という生き物は哀れだな。\nみな心の奥底にマゾの性質を持ち、\n虐げられ、見下されるほどに興奮してしまう❤,ふふ、いつ見ても男という生き物は哀れだな。\nみな心の奥底にマゾの性質を持ち、\n虐げられ、見下されるほどに興奮してしまう❤
お前もそうだ。口ではダメだなんだといいながら、\n体は喜びに打ち震えている❤\n試合の勝利も無敗の記録もすべて捨てて、わたしへの服従を望んでいる❤,お前もそうだ。口ではダメだなんだといいながら、\n体は喜びに打ち震えている❤\n試合の勝利も無敗の記録もすべて捨てて、わたしへの服従を望んでいる❤
そら。お前の望む通り、\nわたしへの服従を誓わせてやろう。\n靴で頭をぐりぐりと踏み抜いてやる❤,そら。お前の望む通り、\nわたしへの服従を誓わせてやろう。\n靴で頭をぐりぐりと踏み抜いてやる❤
踏まれた瞬間に射精しろ❤\nそれが服従の合図だ。\nほらほらほら！,踏まれた瞬間に射精しろ❤\nそれが服従の合図だ。\nほらほらほら！
あへぇ・・・❤❤,あへぇ・・・❤❤
ふん。実に他愛ない。\n無敗のルーキーなどと言われている男がこの程度とはな。,ふん。実に他愛ない。\n無敗のルーキーなどと言われている男がこの程度とはな。
靴で踏まれて喜んでいるマゾ豚が❤\nわたしに勝てると少しでも思ったこと、\n地に伏して反省するといい。ククク❤,靴で踏まれて喜んでいるマゾ豚が❤\nわたしに勝てると少しでも思ったこと、\n地に伏して反省するといい。ククク❤
ククク❤自分のマスターを裏切り、\n敵のマスターに忠誠を誓いながら射精してしまったな❤\n屈服させられる喜びはたまらんものだろう？,ククク❤自分のマスターを裏切り、\n敵のマスターに忠誠を誓いながら射精してしまったな❤\n屈服させられる喜びはたまらんものだろう？
他のやつらもさっさと降参するといい。\n期待のルーキー、お前もここに来て\nわたしに頭を踏まれてみるか？ククク❤,他のやつらもさっさと降参するといい。\n期待のルーキー、お前もここに来て\nわたしに頭を踏まれてみるか？ククク❤
ううっ…❤だめなのに…❤,ううっ…❤だめなのに…❤
ふん、ほんとに踏まれに来るとはな。\n試合前の勇ましい言葉はどうした？,ふん、ほんとに踏まれに来るとはな。\n試合前の勇ましい言葉はどうした？
わたしをなかせるのではなかったか？\nわたしの目には、お前が情けなく豚のように鳴いている姿しか\n目に見えないがな❤ククク❤,わたしをなかせるのではなかったか？\nわたしの目には、お前が情けなく豚のように鳴いている姿しか\n目に見えないがな❤ククク❤
ふん、ほんとに踏まれに来るとはな。\nわたしと「いい勝負をする」んじゃなかったのか❤\n戦闘を放棄してシコシコ扱きだすとは…❤,ふん、ほんとに踏まれに来るとはな。\nわたしと「いい勝負をする」んじゃなかったのか❤\n戦闘を放棄してシコシコ扱きだすとは…❤
ふふ、またオナニーか。仲間ともども仲のいいことだ。\n敵の前でシコシコ❤シコシコ❤\n主人の命令も耳に入らず、裏切って快楽にふけりおって❤,ふふ、またオナニーか。仲間ともども仲のいいことだ。\n敵の前でシコシコ❤シコシコ❤\n主人の命令も耳に入らず、裏切って快楽にふけりおって❤
こう言われても扱く手を止めることができないのか。\n誰もかれも、実に情けない❤,こう言われても扱く手を止めることができないのか。\n誰もかれも、実に情けない❤
お前もさっきのやつと同じ様に、はっきりと上下関係を教え込んでやる。\nわたしに踏まれてひざまずけ。\nこの雑魚が❤,お前もさっきのやつと同じ様に、はっきりと上下関係を教え込んでやる。\nわたしに踏まれてひざまずけ。\nこの雑魚が❤
くすくす❤まさかお前も頭を踏まれただけで出したのか？\nこの早漏どもめ❤,くすくす❤まさかお前も頭を踏まれただけで出したのか？\nこの早漏どもめ❤
ほう、お前は頭を踏まれただけで射精はしないんだな❤\n少しは我慢強いようだ。,ほう、お前は頭を踏まれただけで射精はしないんだな❤\n少しは我慢強いようだ。
頭を踏まれ四つん這いにされてしまっている時点で、\nどのみち変態だがな❤\nほらほら！わたしの足など、手で防げばよかっただろうに。,頭を踏まれ四つん這いにされてしまっている時点で、\nどのみち変態だがな❤\nほらほら！わたしの足など、手で防げばよかっただろうに。
どうだ？仲間と同じように、\n四つん這いにされ頭を踏まれて扱き続けるなど、\n屈辱だろう？悔しいだろう？,どうだ？仲間と同じように、\n四つん這いにされ頭を踏まれて扱き続けるなど、\n屈辱だろう？悔しいだろう？
それともお前たちはこんな風に見下されて、\nそれで喜んでしまうのか？\nほらほらほら❤,それともお前たちはこんな風に見下されて、\nそれで喜んでしまうのか？\nほらほらほら❤
うぐ、ううっ・・❤❤あへぇっ・・・❤❤,うぐ、ううっ・・❤❤あへぇっ・・・❤❤
ふふ、足の下で恍惚とした表情を浮かべおって、\nこのマゾ豚が❤,ふふ、足の下で恍惚とした表情を浮かべおって、\nこのマゾ豚が❤
わたしの足は別にお前の脳に直接触れているわけではないのだぞ？\nそれなのに、まるで脳みそごと支配されたかのような、\n間抜けな蕩け顔だ❤,わたしの足は別にお前の脳に直接触れているわけではないのだぞ？\nそれなのに、まるで脳みそごと支配されたかのような、\n間抜けな蕩け顔だ❤
チンポからも扱くたびにぐちゅぐちゅぐちゅと、\n今にも出しそうな音をさせている❤\nククク❤わたしに踏んでもらえてそんなに気持ちいいのか❤,チンポからも扱くたびにぐちゅぐちゅぐちゅと、\n今にも出しそうな音をさせている❤\nククク❤わたしに踏んでもらえてそんなに気持ちいいのか❤
お前もさっきのやつと同様に、\nわたしに服従を誓わせてやろう。,お前もさっきのやつと同様に、\nわたしに服従を誓わせてやろう。
次、足を押し付けた瞬間に射精しろ❤\nそれが服従の合図だ。\nほら！さっさと果てろ、マゾ豚❤,次、足を押し付けた瞬間に射精しろ❤\nそれが服従の合図だ。\nほら！さっさと果てろ、マゾ豚❤
あぐぅ、はひぃ・・・❤❤,あぐぅ、はひぃ・・・❤❤
あっ・・・❤あああっ❤もうっ・・・❤,あっ・・・❤あああっ❤もうっ・・・❤
おやおや、自分から屈服するとは、なかなかいい奴隷根性じゃないか❤\n見下ろされながらみじめに扱くのは気持ちよかったか？\nこのマゾ豚が❤,おやおや、自分から屈服するとは、なかなかいい奴隷根性じゃないか❤\n見下ろされながらみじめに扱くのは気持ちよかったか？\nこのマゾ豚が❤
お前が靴にかけた精液はほら踏みにじってやろう❤\nククク、子種をこんな目にあわされているというのに、\n何をさらに勃起させているんだ❤変態め❤,お前が靴にかけた精液はほら踏みにじってやろう❤\nククク、子種をこんな目にあわされているというのに、\n何をさらに勃起させているんだ❤変態め❤
あっ・・・❤あああっ❤がまんできないっ・・・❤,あっ・・・❤あああっ❤がまんできないっ・・・❤
ふ、お前もわたしに屈服か。\nそんなに負けるところを見ていてほしかったか？\nこのマゾ豚が❤,ふ、お前もわたしに屈服か。\nそんなに負けるところを見ていてほしかったか？\nこのマゾ豚が❤
男という生き物は、上から見下ろしてやるだけで勝手に果てるのだから、\n実に滑稽だ❤女に服従するために生まれてきたかのようだな。ククク❤,男という生き物は、上から見下ろしてやるだけで勝手に果てるのだから、\n実に滑稽だ❤女に服従するために生まれてきたかのようだな。ククク❤
クク、お前もただのマゾ豚だったな❤\nわたしの足で踏みつけられて、気持ちよかったか？ヘンタイ❤,クク、お前もただのマゾ豚だったな❤\nわたしの足で踏みつけられて、気持ちよかったか？ヘンタイ❤
わたしの脚に挟みこまれて、男が耐えられるはずもない❤\nお前もただのマゾ豚に過ぎなかったな、新人マスター❤\nククク❤,わたしの脚に挟みこまれて、男が耐えられるはずもない❤\nお前もただのマゾ豚に過ぎなかったな、新人マスター❤\nククク❤
ふ、足にわざわざかけるとはな、この変態め❤\n靴にめがけてしこしこしこしこ、実に滑稽だったぞ。ククク❤,ふ、足にわざわざかけるとはな、この変態め❤\n靴にめがけてしこしこしこしこ、実に滑稽だったぞ。ククク❤
闘技場とうって変わって、今日はずいぶんブヒブヒ鳴くじゃないか❤\n踏まれただけでこんなに出して、\nお前もマゾに目覚めてきたようだな。ククク❤,闘技場とうって変わって、今日はずいぶんブヒブヒ鳴くじゃないか❤\n踏まれただけでこんなに出して、\nお前もマゾに目覚めてきたようだな。ククク❤
わたしの脚に挟みこまれれば、\nさすがの無敗のルーキーも耐えられないか❤\nこの感触を覚えてマゾに堕ちないように気をつけろよ？ククク❤,わたしの脚に挟みこまれれば、\nさすがの無敗のルーキーも耐えられないか❤\nこの感触を覚えてマゾに堕ちないように気をつけろよ？ククク❤
決着ー！！勝者は{自分}選手！,決着ー！！勝者は{自分}選手！
無敗のルーキーもここでついに敗北！\nまさかの開始直後のオナニーで自滅してしまいました！,無敗のルーキーもここでついに敗北！\nまさかの開始直後のオナニーで自滅してしまいました！
最後は頭をふみつけられながら、\n四つん這いで射精！\nこれはちょっと恥ずかしい決着です！,最後は頭をふみつけられながら、\n四つん這いで射精！\nこれはちょっと恥ずかしい決着です！
無敗のルーキーもここでついに敗北！\nヤツメ選手の鋭い目に射貫かれて心を狂わされてしまったのか、\n自らオナニーで敗北してしまいました！,無敗のルーキーもここでついに敗北！\nヤツメ選手の鋭い目に射貫かれて心を狂わされてしまったのか、\n自らオナニーで敗北してしまいました！
果敢な攻めによって、あと少しまでヤツメ選手を追い詰めたのですが、\n最後まで理性を保つことはできなかったようです！,果敢な攻めによって、あと少しまでヤツメ選手を追い詰めたのですが、\n最後まで理性を保つことはできなかったようです！
最後は頭をふみつけられながら、\n四つん這いで射精！\n上下関係をはっきり分からされる決着になりました！,最後は頭をふみつけられながら、\n四つん這いで射精！\n上下関係をはっきり分からされる決着になりました！
ヤツメ選手の巧みな足さばきに\n{主人公}選手、あえなく陥落！\n糸に絡め取られたまま、抵抗もできず搾り取られてしまいました！,ヤツメ選手の巧みな足さばきに\n{主人公}選手、あえなく陥落！\n糸に絡め取られたまま、抵抗もできず搾り取られてしまいました！
それにしてもあっけない幕切れです。\n胸の大きいマスターを次々破ってきた{主人公}選手ですが、\n足こそが弱点だったのかもしれません！,それにしてもあっけない幕切れです。\n胸の大きいマスターを次々破ってきた{主人公}選手ですが、\n足こそが弱点だったのかもしれません！
あの鋭い目で射すくめられながらの足コキは、\nMな男に効果ばつぐん！まだ射精の余韻が抜けないのか\n{主人公}選手、びくびくと痙攣しています！,あの鋭い目で射すくめられながらの足コキは、\nMな男に効果ばつぐん！まだ射精の余韻が抜けないのか\n{主人公}選手、びくびくと痙攣しています！
ヤツメ選手の肉厚なふとももに挟まれて、脚を動かすこと数往復！\n{主人公}選手、糸から逃れることもできず、\nそのまま射精してしまいました！,ヤツメ選手の肉厚なふとももに挟まれて、脚を動かすこと数往復！\n{主人公}選手、糸から逃れることもできず、\nそのまま射精してしまいました！
多くの男性マスターを敗北に追い込んできたヤツメ選手のふとももは、\nまるで犯罪者が処される断頭台！\n{主人公}選手も耐え切れなかったようです！,多くの男性マスターを敗北に追い込んできたヤツメ選手のふとももは、\nまるで犯罪者が処される断頭台！\n{主人公}選手も耐え切れなかったようです！
ヤツメ選手の巧みな足さばきに\n{主人公}選手、あえなく陥落！\nほとんど抵抗もできず搾り取られてしまいました！,ヤツメ選手の巧みな足さばきに\n{主人公}選手、あえなく陥落！\nほとんど抵抗もできず搾り取られてしまいました！
ヤツメ選手の肉厚なふとももに挟まれて、脚を動かすこと数往復！\n{主人公}選手、耐え切れず射精してしまいました！,ヤツメ選手の肉厚なふとももに挟まれて、脚を動かすこと数往復！\n{主人公}選手、耐え切れず射精してしまいました！
ヤツメ選手のふとももはまるで犯罪者が処される断頭台！\n多くの男性マスターを敗北に追い込んできましたが、\n{主人公}選手も耐え切れなかった！,ヤツメ選手のふとももはまるで犯罪者が処される断頭台！\n多くの男性マスターを敗北に追い込んできましたが、\n{主人公}選手も耐え切れなかった！
それにしてもあっけない幕切れです。\n胸の大きいマスターを次々破ってきた{主人公}選手ですが、\n脚こそが弱点だったのかもしれません！,それにしてもあっけない幕切れです。\n胸の大きいマスターを次々破ってきた{主人公}選手ですが、\n脚こそが弱点だったのかもしれません！
ふん、たわいもない。\nずいぶんと早い敗北だったな。,ふん、たわいもない。\nずいぶんと早い敗北だったな。
ふん、たわいもない。\n所詮は男、わたしの敵ではなかったな。,ふん、たわいもない。\n所詮は男、わたしの敵ではなかったな。
今もまだこんなに勃起させて、この恥知らずめ。\nお前は敗北したんだぞ？悔し涙のひとつも流したらどうだ。\nククク❤,今もまだこんなに勃起させて、この恥知らずめ。\nお前は敗北したんだぞ？悔し涙のひとつも流したらどうだ。\nククク❤
そういうとヤツメは僕のペニスにブーツを押し当て、軽くグリグリと擦ってきた。,そういうとヤツメは僕のペニスにブーツを押し当て、軽くグリグリと擦ってきた。
射精したばかりで敏感な部分を、絶妙な力加減で刺激されて、僕は情けなく喘ぎ声をもらしてしまう。,射精したばかりで敏感な部分を、絶妙な力加減で刺激されて、僕は情けなく喘ぎ声をもらしてしまう。
あぐぅっ・・・❤,あぐぅっ・・・❤
ふふ、試合前に大言壮語していたわりに\nなんとも情けないな。\n結局わたしに豚のように鳴かされているじゃないか❤,ふふ、試合前に大言壮語していたわりに\nなんとも情けないな。\n結局わたしに豚のように鳴かされているじゃないか❤
ふふ、試合前に格好つけていたわりに\nなんとも情けないな。\n結局わたしに豚のように鳴かされているじゃないか❤,ふふ、試合前に格好つけていたわりに\nなんとも情けないな。\n結局わたしに豚のように鳴かされているじゃないか❤
うぅっ、それはぁ・・・❤あぐぅ・・・❤,うぅっ、それはぁ・・・❤あぐぅ・・・❤
口もきけずにどうした？\n足で踏まれれば、反論の言葉もつぶされてしまうのか？\nほらほらほら！,口もきけずにどうした？\n足で踏まれれば、反論の言葉もつぶされてしまうのか？\nほらほらほら！
やめっ、あひぃ・・・❤❤,やめっ、あひぃ・・・❤❤
ふん、情けない。\n女に足ひとつで屈服させられるとは、\n実に浅ましいな。このマゾ豚が❤,ふん、情けない。\n女に足ひとつで屈服させられるとは、\n実に浅ましいな。このマゾ豚が❤
このまま、まずは一回射精させるとしようか。\nほら、さっさと果てろマゾ❤,このまま、まずは一回射精させるとしようか。\nほら、さっさと果てろマゾ❤
そう言ってヤツメは僕のペニスを踏みにじる。乱暴に見えて男のツボを知り尽くしたその動きに、僕はどんどん射精感を高められてしまう。,そう言ってヤツメは僕のペニスを踏みにじる。乱暴に見えて男のツボを知り尽くしたその動きに、僕はどんどん射精感を高められてしまう。
うぐ、ううっ、こんな簡単にぃ…❤,うぐ、ううっ、こんな簡単にぃ…❤
あっ、ああっ、だめ、耐えられないっ❤❤あひぃっ❤❤❤,あっ、ああっ、だめ、耐えられないっ❤❤あひぃっ❤❤❤
ふっ、蕩けた顔で何がダメだ。\nイケ❤雑魚❤,ふっ、蕩けた顔で何がダメだ。\nイケ❤雑魚❤
男を操ることなど容易いな。\nそれにしても…。,男を操ることなど容易いな。\nそれにしても…。
クク❤女の足蹴にされて、していい顔ではないぞ。\nうっとりした顔でこちらを見て。\nまるで媚びる犬のようじゃないか。,クク❤女の足蹴にされて、していい顔ではないぞ。\nうっとりした顔でこちらを見て。\nまるで媚びる犬のようじゃないか。
ほら、お前の魔力がカラカラになるまで、\nさらに搾り取ってやろう。,ほら、お前の魔力がカラカラになるまで、\nさらに搾り取ってやろう。
お前もわたしに魔力を奪われて、うれしいだろう？\n無敗のルーキー❤,お前もわたしに魔力を奪われて、うれしいだろう？\n無敗のルーキー❤
ヤツメはカードを使用すると、僕の体に蜘蛛の糸が絡みついてきた。２回も射精し力の入らない僕は、抵抗できないまま中空に吊り上げられてしまう。,ヤツメはカードを使用すると、僕の体に蜘蛛の糸が絡みついてきた。２回も射精し力の入らない僕は、抵抗できないまま中空に吊り上げられてしまう。
あう、やめ、やめて…。,あう、やめ、やめて…。
ふふ、いいねだり方をするじゃないか。\n犬のように媚びた目でそう言われると、\n少し愛着も湧くものだ。,ふふ、いいねだり方をするじゃないか。\n犬のように媚びた目でそう言われると、\n少し愛着も湧くものだ。
せめてもの情けだ。ほら、全体を糸で包んでやろう。,せめてもの情けだ。ほら、全体を糸で包んでやろう。
こうすれば外からお前の姿は見えまい。\nお前が屈辱を感じるのは、わたしに対してだけで十分だからな。,こうすれば外からお前の姿は見えまい。\nお前が屈辱を感じるのは、わたしに対してだけで十分だからな。
さあ、処刑の開始だ。\nわたしのふとももに挟まれて、\n悦楽に顔をゆがめるといい❤,さあ、処刑の開始だ。\nわたしのふとももに挟まれて、\n悦楽に顔をゆがめるといい❤
はぐぅうっ、すごいっ、あううっ・・・・❤❤,はぐぅうっ、すごいっ、あううっ・・・・❤❤
ふとももに締め付けられただけで、\nそんな声をあげるのか。,ふとももに締め付けられただけで、\nそんな声をあげるのか。
万力のような圧力もそうだが、\nふとももの肌ざわりも、なかなかのものだろう？,万力のような圧力もそうだが、\nふとももの肌ざわりも、なかなかのものだろう？
普段から日の当たらない牢屋での勤務だ。\nそのうえ蜘蛛たちの糸には美肌効果もあるからな。\n肌の質は他のカードマスターにも褒められることが多い❤,普段から日の当たらない牢屋での勤務だ。\nそのうえ蜘蛛たちの糸には美肌効果もあるからな。\n肌の質は他のカードマスターにも褒められることが多い❤
こうやって押しつぶしているだけでも、\nお前のような早漏マゾは射精してしまうだろうが、\nほら、ちゃんと動かしてやろう。,こうやって押しつぶしているだけでも、\nお前のような早漏マゾは射精してしまうだろうが、\nほら、ちゃんと動かしてやろう。
わたしの美肌と柔らかいふとももにこすられて、\n天国のような気持ちよさを味わえ❤,わたしの美肌と柔らかいふとももにこすられて、\n天国のような気持ちよさを味わえ❤
ほらほらほら❤,ほらほらほら❤
あう、あううっ❤❤きもちいいっ、きもちいいぃ・・・❤❤,あう、あううっ❤❤きもちいいっ、きもちいいぃ・・・❤❤
すっかり素直になったな。\n無敗のルーキー❤,すっかり素直になったな。\n無敗のルーキー❤
いやせっかくだから名前で呼んでやろうか。\nたしか{主人公}と呼ばれていたな。,いやせっかくだから名前で呼んでやろうか。\nたしか{主人公}と呼ばれていたな。
どうだ？女に屈服するのは気持ちいいか？\n{主人公}…❤,どうだ？女に屈服するのは気持ちいいか？\n{主人公}…❤
凛とした声でヤツメは僕の耳元に囁いた。どこか愛情を感じるその声に、僕の体は喜びを感じてしまう。,凛とした声でヤツメは僕の耳元に囁いた。どこか愛情を感じるその声に、僕の体は喜びを感じてしまう。
この愛情は男女の愛情ではない、どちらかというと犬や猫に向けるようなそんな可愛がり方だ。,この愛情は男女の愛情ではない、どちらかというと犬や猫に向けるようなそんな可愛がり方だ。
そんな風に名前を呼ばれるなんて、屈辱的でたまらないはずなのに、強い快楽の中、名前をささやかれて脳が蕩けそうになってしまう。,そんな風に名前を呼ばれるなんて、屈辱的でたまらないはずなのに、強い快楽の中、名前をささやかれて脳が蕩けそうになってしまう。
はうぅ・・・❤❤❤,はうぅ・・・❤❤❤
おやおや。どうやら名前を呼ばれるのが\nお気に召したようだ。,おやおや。どうやら名前を呼ばれるのが\nお気に召したようだ。
手足を縛られ、\nふとももで一方的に魔力を搾りだされているというのに、\nたかだか名前を呼ばれるだけでそんな風に目をとろんとさせるとは。,手足を縛られ、\nふとももで一方的に魔力を搾りだされているというのに、\nたかだか名前を呼ばれるだけでそんな風に目をとろんとさせるとは。
このマゾ豚はよほどペットに向いた性根のようだな❤\nなあ、{主人公}…❤,このマゾ豚はよほどペットに向いた性根のようだな❤\nなあ、{主人公}…❤
ううっ❤はへぇっ・・・❤❤❤,ううっ❤はへぇっ・・・❤❤❤
ふふ、また名前を呼んだら腰が跳ねたぞ。\nよかったな、こんな恥ずかしいところを観客に見られなくて。,ふふ、また名前を呼んだら腰が跳ねたぞ。\nよかったな、こんな恥ずかしいところを観客に見られなくて。
ほらほら、\nわたしにペットのように扱われる喜びをしっかり感じながら、\nさっさと射精してしまえ。,ほらほら、\nわたしにペットのように扱われる喜びをしっかり感じながら、\nさっさと射精してしまえ。
激しくパンパンとふとももを叩きつけられて、耐えられんだろう？\nお前のチンポが出たり入ったりするたびに\n本物の女性器以上の締め付けで脳が震えるだろう？,激しくパンパンとふとももを叩きつけられて、耐えられんだろう？\nお前のチンポが出たり入ったりするたびに\n本物の女性器以上の締め付けで脳が震えるだろう？
我慢など無駄だ。\nイケ❤{主人公}❤,我慢など無駄だ。\nイケ❤{主人公}❤
あうっ、あへぇ、きもちいいっ・・・❤❤❤,あうっ、あへぇ、きもちいいっ・・・❤❤❤
どろどろの精液がまたこんなに出た。\nこれだけ搾り取られているというのに、よく出すものだ。,どろどろの精液がまたこんなに出た。\nこれだけ搾り取られているというのに、よく出すものだ。
どうだ、{主人公}。\nわたしに服従するのは、至上の喜びだと思わんか？\nもしお前が望むなら・・・。,どうだ、{主人公}。\nわたしに服従するのは、至上の喜びだと思わんか？\nもしお前が望むなら・・・。
お前のことをわたしのペットにしてやろう。,お前のことをわたしのペットにしてやろう。
なに、別に金を貢がせたりするわけではない。\nわたしが仕事で疲れたあとに、\nわたしの脚をもんだり・・・。,なに、別に金を貢がせたりするわけではない。\nわたしが仕事で疲れたあとに、\nわたしの脚をもんだり・・・。
魔力の補給がてら、\nわたしに精を差し出すだけの関係だ。\n搾精はもちろんわたしのストレス発散もかねているがな。,魔力の補給がてら、\nわたしに精を差し出すだけの関係だ。\n搾精はもちろんわたしのストレス発散もかねているがな。
お前の魔力、お前の反応、\nどれも悪くない。\n特別にペットにしてやろうというわけだ。,お前の魔力、お前の反応、\nどれも悪くない。\n特別にペットにしてやろうというわけだ。
どうする、{主人公}…❤\n嫌なら、嫌と言え。\nもしペットになりたいのであれば・・・。,どうする、{主人公}…❤\n嫌なら、嫌と言え。\nもしペットになりたいのであれば・・・。
わたしの手の平に口づけをしろ。\nそれが服従の合図だ。,わたしの手の平に口づけをしろ。\nそれが服従の合図だ。
あう、あうう、ぼくは・・・。,あう、あうう、ぼくは・・・。
こんな提案受けるべきでないに決まっている。だけど、射精した後もゆるやかに動かされ続けるヤツメのふとももと、彼女の透き通るような声を聞いていると頭に靄がかかったようになってしまう。,こんな提案受けるべきでないに決まっている。だけど、射精した後もゆるやかに動かされ続けるヤツメのふとももと、彼女の透き通るような声を聞いていると頭に靄がかかったようになってしまう。
彼女に縛られ、すべてを掌握されたこの状況が、ずっと続いてほしいと思ってしまう。鋭い目で射すくめるように僕を見つめるヤツメ。その目を見ているうちに僕は・・・。,彼女に縛られ、すべてを掌握されたこの状況が、ずっと続いてほしいと思ってしまう。鋭い目で射すくめるように僕を見つめるヤツメ。その目を見ているうちに僕は・・・。
ほら、口づけをしろ。\n手をお前の口元に運んでやろう。,ほら、口づけをしろ。\n手をお前の口元に運んでやろう。
手袋を外してやる。わたしの素肌にキスすることを許そう。\nさあ、わたしのペットになれ。{主人公}❤,手袋を外してやる。わたしの素肌にキスすることを許そう。\nさあ、わたしのペットになれ。{主人公}❤
あううっ…❤おねがい、します、ヤツメさまぁ…❤❤,あううっ…❤おねがい、します、ヤツメさまぁ…❤❤
そういって僕はヤツメの手の甲に口づけをしてしまった。ヤツメはそんな僕を見て、くっくと笑っている。,そういって僕はヤツメの手の甲に口づけをしてしまった。ヤツメはそんな僕を見て、くっくと笑っている。
まったく。快楽にほだされて\nこのような決断をするとは。\nずいぶんと簡単な男だな。お前は。,まったく。快楽にほだされて\nこのような決断をするとは。\nずいぶんと簡単な男だな。お前は。
まあ、いい。ペットになったからには、\nちゃんと可愛がってやろう。\n{主人公}❤,まあ、いい。ペットになったからには、\nちゃんと可愛がってやろう。\n{主人公}❤
あっ…❤ああっ…❤❤ヤツメさま、ヤツメさまぁ…❤❤,あっ…❤ああっ…❤❤ヤツメさま、ヤツメさまぁ…❤❤
