default
下級堕天使,低階墮天使
息を吹きかけられるの、そんなによかった？\nおちんちんに当たるたびに女の子みたいな声をあげて、\nすごくみっともなかったよ❤くすくす❤,息を吹きかけられるの、そんなによかった？\nおちんちんに当たるたびに女の子みたいな声をあげて、\nすごくみっともなかったよ❤くすくす❤
ふふ、素直な反応❤\nわたしの甘いキスで、へろへろになるまで骨抜きにされて、\nすっかりわたしの虜になっちゃったね❤くすくす❤,ふふ、素直な反応❤\nわたしの甘いキスで、へろへろになるまで骨抜きにされて、\nすっかりわたしの虜になっちゃったね❤くすくす❤
ふふ、素直な反応❤\nわたしに踏まれて、天使の素肌で骨抜きにされて、\nすっかりわたしの虜になっちゃったね❤くすくす❤,ふふ、素直な反応❤\nわたしに踏まれて、天使の素肌で骨抜きにされて、\nすっかりわたしの虜になっちゃったね❤くすくす❤
天使の羽でさわさわされて、おちんちんは膝でぐりぐり❤\nあれがそんなによかったの？\nくすくす❤ほんとマゾなのね❤,天使の羽でさわさわされて、おちんちんは膝でぐりぐり❤\nあれがそんなによかったの？\nくすくす❤ほんとマゾなのね❤
息を吹きかけられただけでそんな蕩けた顔しちゃうんだ❤\n甘い息で骨抜きにされて、\nすっかりわたしの虜になっちゃったね❤くすくす❤,息を吹きかけられただけでそんな蕩けた顔しちゃうんだ❤\n甘い息で骨抜きにされて、\nすっかりわたしの虜になっちゃったね❤くすくす❤
ほら、そんなカッコ悪いお兄さんの命、\nもういらないでしょ？\nわたしが奪い取ってあげる。,ほら、そんなカッコ悪いお兄さんの命、\nもういらないでしょ？\nわたしが奪い取ってあげる。
あぐぅっ❤,あぐぅっ❤
蹴とばされて、寝転ばされてるのに、\nずいぶん嬉しそうな声をあげるんだ❤,蹴とばされて、寝転ばされてるのに、\nずいぶん嬉しそうな声をあげるんだ❤
こうやってぐりぐりされるの大好きなんだよね❤\nへんたい❤,こうやってぐりぐりされるの大好きなんだよね❤\nへんたい❤
くすくす❤人間ってほんと下等生物❤\n自立して生きることより、服従することを\nこんなに喜んじゃうんだもん。,くすくす❤人間ってほんと下等生物❤\n自立して生きることより、服従することを\nこんなに喜んじゃうんだもん。
自分が敵わないものに媚びて、何もかも捧げる。\nそれに「信仰」なんて、たいそうな名前を付けて喜ぶ❤\nそんなみっともない生き方に「救い」があると思う？,自分が敵わないものに媚びて、何もかも捧げる。\nそれに「信仰」なんて、たいそうな名前を付けて喜ぶ❤\nそんなみっともない生き方に「救い」があると思う？
あるのはせいぜい、強者に弄ばれてみじめに終わる、\nむなしい結末だけ❤,あるのはせいぜい、強者に弄ばれてみじめに終わる、\nむなしい結末だけ❤
ちょうどそう、生命エネルギーを全部吸われて、\n干からびさせられようとしてる、あなたみたいにね❤\nほらほら❤,ちょうどそう、生命エネルギーを全部吸われて、\n干からびさせられようとしてる、あなたみたいにね❤\nほらほら❤
あっ❤あっ❤ああっ❤,あっ❤あっ❤ああっ❤
誰かの足に踏みにじられて、あなたの人生は終わるの❤\nね、悲しい終わり方でしょう？,誰かの足に踏みにじられて、あなたの人生は終わるの❤\nね、悲しい終わり方でしょう？
それにしては、ずいぶんと恍惚とした顔をしているけれど❤\n搾り殺されるかもしれないのに、バカみたい❤,それにしては、ずいぶんと恍惚とした顔をしているけれど❤\n搾り殺されるかもしれないのに、バカみたい❤
わたしの素肌、うっとりしちゃうぐらい気持ちいいんだよね❤\n踏まれてむぎゅむぎゅってつぶされて、\nそのたびに頭真っ白になるぐらい感じちゃうんでしょ？,わたしの素肌、うっとりしちゃうぐらい気持ちいいんだよね❤\n踏まれてむぎゅむぎゅってつぶされて、\nそのたびに頭真っ白になるぐらい感じちゃうんでしょ？
マゾのあなたにとってはこの終わり方が一番なのかも。\n盗賊団を止めることもできず、サキュバス化の治療法も分からず、\n何の目的も果たせていないけれど・・・,マゾのあなたにとってはこの終わり方が一番なのかも。\n盗賊団を止めることもできず、サキュバス化の治療法も分からず、\n何の目的も果たせていないけれど・・・
女の子の足に踏んでもらえれば、それで大満足。\nくすくす❤空っぽすぎる頭でうらやましいね❤\nおちんちんさえ気持ちよければ人生なんてどうでもいいんだ❤,女の子の足に踏んでもらえれば、それで大満足。\nくすくす❤空っぽすぎる頭でうらやましいね❤\nおちんちんさえ気持ちよければ人生なんてどうでもいいんだ❤
ほらほらほら❤あなたのエナジーまた上がってきたよ。\nおちんちんの根元が膨らんで、段々上の方にのぼってきて・・・❤,ほらほらほら❤あなたのエナジーまた上がってきたよ。\nおちんちんの根元が膨らんで、段々上の方にのぼってきて・・・❤
イク瞬間は強く踏んでほしいでしょ？\nちゃんと踏みにじってあげる❤\nさっさとエナジー出していいよ❤マーゾ❤,イク瞬間は強く踏んでほしいでしょ？\nちゃんと踏みにじってあげる❤\nさっさとエナジー出していいよ❤マーゾ❤
あぐぅっ❤あへぇあっ❤,あぐぅっ❤あへぇあっ❤
ふふ、お漏らし止まらないね❤\nもっと出していいよ❤,ふふ、お漏らし止まらないね❤\nもっと出していいよ❤
あう、あうう・・・❤きもちいいぃ・・・❤,あう、あうう・・・❤きもちいいぃ・・・❤
くすくす❤もうだいぶやつれてるのに、\nまだまだ踏んでほしそうな顔してる❤,くすくす❤もうだいぶやつれてるのに、\nまだまだ踏んでほしそうな顔してる❤
死にそうなところまで射精させるとね、\n魔力があんまり精液に溶けなくなって、\nサキュバス以外、これ以上はなかなかエナジーを搾り取れなくなるの。,死にそうなところまで射精させるとね、\n魔力があんまり精液に溶けなくなって、\nサキュバス以外、これ以上はなかなかエナジーを搾り取れなくなるの。
でもちょっと裏技があって、ほら、＜癒しの光＞♪,でもちょっと裏技があって、ほら、＜癒しの光＞♪
こうやっておちんちんの周りにだけヒールをかけるんだよ。\nそうすると体がまだまだ元気があるって勘違いして、\n精液にまた魔力を溶かすようになるの。,こうやっておちんちんの周りにだけヒールをかけるんだよ。\nそうすると体がまだまだ元気があるって勘違いして、\n精液にまた魔力を溶かすようになるの。
元気になっているのは、おちんちんの周りだけなのにね❤\n男の体って単純にできてるから、騙すのも簡単❤,元気になっているのは、おちんちんの周りだけなのにね❤\n男の体って単純にできてるから、騙すのも簡単❤
回復して搾り取ってを繰り返せば、\nおちんちんの周り以外、どんどんやつれていくの。こうすれば\nサキュバスじゃなくても人間を搾り殺せるんだよ❤すごいでしょ❤,回復して搾り取ってを繰り返せば、\nおちんちんの周り以外、どんどんやつれていくの。こうすれば\nサキュバスじゃなくても人間を搾り殺せるんだよ❤すごいでしょ❤
ねえ、搾り殺されるって聞いて怖い？\nもうやめてほしい？,ねえ、搾り殺されるって聞いて怖い？\nもうやめてほしい？
あう、あう、それはぁ・・・・❤,あう、あう、それはぁ・・・・❤
ほら、教えてよ❤\n足でぺちぺち軽くおちんちんをはたいてあげる。\nもっかい踏んでほしいなら、腰を一回突き出すの。,ほら、教えてよ❤\n足でぺちぺち軽くおちんちんをはたいてあげる。\nもっかい踏んでほしいなら、腰を一回突き出すの。
それを合図に、むぎゅって足裏を押し当ててあげる❤\nヘコって腰が動いたら、あなたはおしまい。\nそのままぐりぐり足コキされたら、今度こそ死んじゃうかもね❤,それを合図に、むぎゅって足裏を押し当ててあげる❤\nヘコって腰が動いたら、あなたはおしまい。\nそのままぐりぐり足コキされたら、今度こそ死んじゃうかもね❤
えい、足先でぺちぺち♪ぺちぺち♪\nBランクマスターくんはどうしてほしいのかなー❤,えい、足先でぺちぺち♪ぺちぺち♪\nBランクマスターくんはどうしてほしいのかなー❤
はひぃ、あっ、あっ、だめ・・・❤とまらないっ・・・❤❤,はひぃ、あっ、あっ、だめ・・・❤とまらないっ・・・❤❤
ぷぷっ、腰をへこへこぉって動かしちゃって、\nそんなに踏んでほしいんだ❤,ぷぷっ、腰をへこへこぉって動かしちゃって、\nそんなに踏んでほしいんだ❤
じゃあ、踏んであげるよ❤\nさっさと死んじゃえ、下等生物❤,じゃあ、踏んであげるよ❤\nさっさと死んじゃえ、下等生物❤
あは、回復させたのもあるけど、\nすっごく固いね❤\n死ぬまで搾ってもらえるって思って興奮しちゃった？,あは、回復させたのもあるけど、\nすっごく固いね❤\n死ぬまで搾ってもらえるって思って興奮しちゃった？
わたしみたいなかわいい天使に看取ってもらえるんだもん❤\nうれしいよねー❤,わたしみたいなかわいい天使に看取ってもらえるんだもん❤\nうれしいよねー❤
わたし的にはとってもみじめな終わり方だと思うけれど、\n下等生物的には幸せなんでしょ？\nくすくす❤人間って頭おかしい❤,わたし的にはとってもみじめな終わり方だと思うけれど、\n下等生物的には幸せなんでしょ？\nくすくす❤人間って頭おかしい❤
それじゃ、バイバイ❤\n安らかに眠ってね❤\nくすくすくす・・・❤,それじゃ、バイバイ❤\n安らかに眠ってね❤\nくすくすくす・・・❤
あぐっ、あっ、あっ、ああっ❤❤❤きもちいっ❤あひぃっ❤,あぐっ、あっ、あっ、ああっ❤❤❤きもちいっ❤あひぃっ❤
ふふ、気絶しちゃった。\n自分は死ぬんだって思いながら射精したのかな。\n残念だけど、マスターもうるさいし、そこまでひどいことはしないよ。,ふふ、気絶しちゃった。\n自分は死ぬんだって思いながら射精したのかな。\n残念だけど、マスターもうるさいし、そこまでひどいことはしないよ。
ほらヒール。ちゃんと治してあげる❤\nだいぶきつく搾ったから\n性癖歪んじゃって、そこは治らないかもだけどね❤くすくす❤,ほらヒール。ちゃんと治してあげる❤\nだいぶきつく搾ったから\n性癖歪んじゃって、そこは治らないかもだけどね❤くすくす❤
その後、僕は気が付くと、村の宿屋のベッドの上にいた。どうやら死ぬ寸前まで搾られたあと、解放されここまで運ばれたようだ。,その後、僕は気が付くと、村の宿屋のベッドの上にいた。どうやら死ぬ寸前まで搾られたあと、解放されここまで運ばれたようだ。
宿屋の主人の説明によると、盗賊の一人が僕を運んできたらしい。村の人が逆らえないのを知って、隠れもせずに僕を運び込んできたという。ふてぶてしいものだ。,宿屋の主人の説明によると、盗賊の一人が僕を運んできたらしい。村の人が逆らえないのを知って、隠れもせずに僕を運び込んできたという。ふてぶてしいものだ。
盗賊たちが我がもの顔で村から食べ物や金品を奪って、こんなのはやっぱりおかしい。僕は魔力の回復を待って、再度ネクロに挑んだのだった。,盗賊たちが我がもの顔で村から食べ物や金品を奪って、こんなのはやっぱりおかしい。僕は魔力の回復を待って、再度ネクロに挑んだのだった。
懲りないのね。でも、もうあなたは絶対に勝てないと思うわよ？\nほら、{自分}を召喚。,懲りないのね。でも、もうあなたは絶対に勝てないと思うわよ？\nほら、{自分}を召喚。
くすくす❤わたしの顔を見た途端、前かがみになっちゃってる❤\nそんな状態でカードを使えるの？,くすくす❤わたしの顔を見た途端、前かがみになっちゃってる❤\nそんな状態でカードを使えるの？
ほら見て。あなたを散々に搾り取ったわたしの足裏❤\nここでまたおちんちん踏んでほしいんでしょ？,ほら見て。あなたを散々に搾り取ったわたしの足裏❤\nここでまたおちんちん踏んでほしいんでしょ？
あぅ、はぅうう・・・・❤,あぅ、はぅうう・・・・❤
あは、足裏見せただけで地面に突っ伏しちゃうんだ❤\nもしかして軽くイっちゃった？\n手に持ってたカードも全部落として、マスター失格だね❤,あは、足裏見せただけで地面に突っ伏しちゃうんだ❤\nもしかして軽くイっちゃった？\n手に持ってたカードも全部落として、マスター失格だね❤
もう気持ちよくなることで頭いっぽいだよね。\nそれじゃあ、わたしの足に服従のキスをして？\nそうしたら踏んであげる。,もう気持ちよくなることで頭いっぽいだよね。\nそれじゃあ、わたしの足に服従のキスをして？\nそうしたら踏んであげる。
そうそう、いい子だね❤\nくすくす❤小さな女の子にひざまづいてキスをして、\nとってもみっともない❤,そうそう、いい子だね❤\nくすくす❤小さな女の子にひざまづいてキスをして、\nとってもみっともない❤
服従のご褒美に、死ぬ寸前までまたイかせてあげる❤\nもしかしたら死んじゃうかもしれないけれど、\nふふ、別にいいよね、それぐらい❤くすくすくす・・・❤,服従のご褒美に、死ぬ寸前までまたイかせてあげる❤\nもしかしたら死んじゃうかもしれないけれど、\nふふ、別にいいよね、それぐらい❤くすくすくす・・・❤
その後、{主人公}は村に戻ってこなかった。盗賊の用心棒ネクロに連れ去られたのか、それともそのまま搾り殺されてしまったのか、誰も知らない。,その後、{主人公}は村に戻ってこなかった。盗賊の用心棒ネクロに連れ去られたのか、それともそのまま搾り殺されてしまったのか、誰も知らない。
こうして主人公の物語は、盗賊退治に失敗し、堕天使の少女の手によって、その幕を閉じたのだった。,こうして主人公の物語は、盗賊退治に失敗し、堕天使の少女の手によって、その幕を閉じたのだった。
理性を振り絞ってとどめを刺した,理性を振り絞ってとどめを刺した
動くことができなかった,動くことができなかった
言われるまま寝転んでしまった,言われるまま寝転んでしまった
