default
ギガントゴーレム,巨大魔像
あひぃぃ…❤❤❤,あひぃぃ…❤❤❤
クク❤どうだ？これが全身パイズリだ、\n先ほどの快感が児戯に思えるほどだろう？,クク❤どうだ？これが全身パイズリだ、\n先ほどの快感が児戯に思えるほどだろう？
どんな男もわたしの全身パイズリの前には屈服するしかない❤\n抵抗なんて諦めて無様に搾られろ❤,どんな男もわたしの全身パイズリの前には屈服するしかない❤\n抵抗なんて諦めて無様に搾られろ❤
ああああ…っ❤❤❤,ああああ…っ❤❤❤
ふ、早いな❤\nだがまだ足りんぞ❤,ふ、早いな❤\nだがまだ足りんぞ❤
さらに強くパイズリしてやる❤\nエナジーを吐き出し続けろ❤ほらほらほら❤,さらに強くパイズリしてやる❤\nエナジーを吐き出し続けろ❤ほらほらほら❤
自分の体より大きなおっぱいに挟まれてイき続けろ❤❤❤,自分の体より大きなおっぱいに挟まれてイき続けろ❤❤❤
あひぃ…うぁああぁ❤❤❤,あひぃ…うぁああぁ❤❤❤
おっと、これ以上搾ってしまうと危ないか、,おっと、これ以上搾ってしまうと危ないか、
もっともお前の心はおっぱいに屈服してしまったから、\nカードマスターとしては死んでしまったかもしれないがな❤,もっともお前の心はおっぱいに屈服してしまったから、\nカードマスターとしては死んでしまったかもしれないがな❤
女性モンスターに全身をパイズリされ、限界までエナジー放出してしまった僕は、おっぱいの監獄から解放されると同時に意識を手放した…。,女性モンスターに全身をパイズリされ、限界までエナジー放出してしまった僕は、おっぱいの監獄から解放されると同時に意識を手放した…。
攻撃する,攻擊她
攻撃しない,不攻擊
