default
バスティスライム,波霸史萊姆
どうする？挟まれたい？\nほらほらぁ、もみもみするおっぱい見ながら考えてぇ・・・❤,如何啊？想被夾嗎？\n思考吧，看著我揉弄自己奶子的動作思考吧……❤。
あっ、ああっ❤えろすぎるよぉ・・❤,啊、啊啊❤！太色情了……❤！
おねが、い・・・❤挟んで、挟んでぇ・・・❤,拜、託妳……❤，夾我、夾我啊……❤。
くすくす❤蕩け顔でおねだりできて、\nえらいねー❤,嗯哼哼❤，一臉發情得求我呢❤。\n很乖喔❤。
やっぱりあなた、ペットの素質があるよ❤\nおちんちんふりふりさせて、ご主人さまにおねだりできて、\nとってもいいこ❤,果然你很適合當寵物呢よ❤。\n讓小弟弟以硬梆梆的模樣求主人幹，你真是乖孩子呢❤。
ほらぁ、おっぱいでイかせてあげる❤\nまた気持ちいいパイズリ天国、楽しもうねー❤,那麼，用奶子讓你射喔❤，\n好好享受舒服的奶子天堂吧❤。
これからは、わたしのことご主人さまって呼ぶんだよ。\nちゃんと言えるかなー❤,從現在開始要稱呼我為主人喔。\n是乖孩子就要確實叫喔❤。
はひぃっ❤おっぱいきもちいいですっ❤ああっ、ご主人さまぁ・・❤,哈咿❤，奶子好爽❤，啊啊、主人……❤。
うふふ❤ずりずりしてあげるねー❤,嗚呼呼❤，接下來是開始揉喔❤。
力の強いあなたたちと、\nおっぱいが大きいだけのわたしたちと、\nどっちが上なのかよくわかったでしょ？,腕力強大的你們，\n跟只有奶子大的我，\n這兩邊比起來誰比較強應該已經很清楚了嗎？
男の子は筋肉ムキムキでも、\nおちんちんが弱いから、\nおっぱいにはかないませーん❤,男人就算把肌肉鍛鍊到極致，小弟弟還是不夠強的，\n完全不是奶子的對手❤。
その証拠にカードマスターのあなたも、\nおっぱいひとつでモンスターにいいようにされて、\n逆にペットに堕ちちゃった❤,證據就是身為卡片玩家的你，\n也被一對奶子幹得死死的，\n甚至還被幹成寵物了呢❤。
これまでモンスターをあごで使ってきたんでしょ？\n立場がひっくり返っちゃったねー❤,你至今都是一直都在使喚怪獸做事情不是嗎？\n現在雙方立場完全顛倒了喔❤。
おちんちんズリズリされてれば\nそれだけでいいんだもんね❤\n商人さんを守らなきゃとか、妹さん？を助けに行かなきゃとか、,只要小弟弟能被奶子夾起來幹就好❤。\n不管是商人還是那個……妹妹？你原本不是還很想救他們的嗎？
やりたいこともやらなきゃいけないことも、\nぜーんぶおっぱいに塗り替えられちゃったね❤\nくす❤くすくす❤,想做的事情跟不得不做的事情，\n全部都被塗成奶子的顏色了喔❤，\n嗯哼哼❤，啊哈哈哈哈❤。
あう、あうううっ❤,啊嗚、啊嗚嗚嗚嗚❤！
ほらぁ、カードマスターとしての人生に、バイバイしちゃお？\nおっぱいにどぴゅどぴゅーって射精して、\n今日からキミはサキュバスのペットだよ❤,你身為卡片玩家的人生已經結束了喔。\n接下來就是對著這個奶子射精，然後從今天開始改當魅魔的寵物❤。
あっ、ああっ❤ご主人さまぁ❤,啊、啊啊❤！主人啊啊啊❤！
ほら、イケ、イケ❤人間やめろ❤\n射精して堕ちちゃえ❤\nスライムおっぱいに負けて、ぜーんぶ出しちゃえ❤びゅるるる～❤,射吧、射吧❤，放棄當人吧❤！\n趕快射精墮落吧❤！\n敗給史萊姆奶子將一切射出來吧❤！
あっ、あぐっ❤❤あっ、ああっっ・・・❤,啊、啊咕❤❤！啊、啊啊啊……❤！
うふふ❤死んじゃう一歩手前まで搾っちゃった。\nこの子、あんまりエナジーおいしいからつい食べ過ぎちゃう。,嗚呼呼❤把他榨到再一下就要死的程度了。\n這孩子的能量太美味不小心就吃過頭了。
あ、マスター。\nわたしねー、この子飼いたいんだけどいい？,啊、主人。\n我想養這孩子，可以嗎？
え？邪魔になる？そんなこと言わないでよー、\nエナジーすっごくおいしいんだよー。,欸？會礙事？請不要這麼說嘛，他的能量真的很好吃的說。
こうして主人公は、最初の戦闘でパイズリが得意な上級スライムに負け、気絶するまで精を搾られてしまった。,就這樣主角在最初的戰鬥中就敗給擅長乳交的上級史萊姆，並被榨精榨到昏厥。
その後、彼女たちの隠れ家まで連れていかれた主人公は、すっかり快楽の虜となってしまい、逃げることも抵抗することもなく魔力を搾り取られ、良質なエナジータンクとして彼女たちに飼われることになった。,然後他被帶回史萊姆魅魔少女的藏身處，成為快感的俘虜，被當作優質的能量瓶來飼養。
人間としての食事は行商人を襲って手にいれた果物などが与えられ、ときにはサキュバスの少女の命令にしたがって、行商人を襲う手伝いまでさせられた。,做為人類的飼料被允許吃旅行商人帶著的水果，有時候也會被魅魔少女命令攻擊其他旅行商人。
故郷の村を襲った憎いサキュバスの手先になって働く日々。ふと我に返り良心がズキズキと痛むこともあったが、そんな日も{自分}の与えるパイズリ快楽ですぐに何も考えられなくなった。,他成為了自己憎恨的襲擊故鄉的魅魔的爪牙。有時會因為回神而苛責自己，但那時候{自分}的乳交又會讓他除了快感以外什麼也不能思考。
妹を探すはずだった冒険は、あっけなくスライムモンスターの手によってその幕を閉じた。その後、主人公の行方を知るものは誰もいなかったという・・・。,應該踏上尋找妹妹冒險的主角，就這樣立刻在史萊姆怪獸的攻擊下落幕了。在那之後再也沒有人看見他的身影……。
無視して攻撃した,無視並攻擊她
我慢できずに武器を捨ててしまった,爽到受不了乾脆丟下武器
