default
オクトパスレディ,章魚女郎
愉快そうな様子で勝ち誇るオクトパスレディ。上半身を揺らしながら高笑いをしている。,愉快そうな様子で勝ち誇るオクトパスレディ。上半身を揺らしながら高笑いをしている。
あ…………。,あ…………。
………………うぅ❤,………………うぅ❤
そんな彼女の豊満な肉体を下から見上げていると、先ほど彼女にイかされてしまったばかりにも関わらず再びペニスが大きくなり始めてしまった。,そんな彼女の豊満な肉体を下から見上げていると、先ほど彼女にイかされてしまったばかりにも関わらず再びペニスが大きくなり始めてしまった。
いけないことだと理解しつつも、あまりにも刺激的な彼女のボディラインから目をそらすことができない。,いけないことだと理解しつつも、あまりにも刺激的な彼女のボディラインから目をそらすことができない。
ふふ、どうしたの？そんなに見つめて…❤\n私のこと好きになってしまったのかしら？,ふふ、どうしたの？そんなに見つめて…❤\n私のこと好きになってしまったのかしら？
わたしの美貌も罪なものね。立っているだけで男の理性を翻弄して、\n期待のルーキーに自分からオナニーさせて\n負けに追い込んじゃうんですもの。くすくす❤,わたしの美貌も罪なものね。立っているだけで男の理性を翻弄して、\n期待のルーキーに自分からオナニーさせて\n負けに追い込んじゃうんですもの。くすくす❤
足で踏みつけただけであなたをを虜にしてしまう❤\nふふ、わたしも罪な女ね。,足で踏みつけただけであなたをを虜にしてしまう❤\nふふ、わたしも罪な女ね。
触手で弄ぶだけで男を虜にしてしまう…❤\nふふ、わたしも罪な女ね。,触手で弄ぶだけで男を虜にしてしまう…❤\nふふ、わたしも罪な女ね。
上級モンスターと渡り合えるぐらいの相手でも、\n体を押し付けるだけで射精させてそのうえ虜にしてしまうなんて…❤\nわたしも罪な女ね。くすくす❤,上級モンスターと渡り合えるぐらいの相手でも、\n体を押し付けるだけで射精させてそのうえ虜にしてしまうなんて…❤\nわたしも罪な女ね。くすくす❤
ほら、地面にひれ伏しなさい。\nスケベな男なんて全員、\nこのわたしの美貌の前に服従するのがお似合いなのよ❤,ほら、地面にひれ伏しなさい。\nスケベな男なんて全員、\nこのわたしの美貌の前に服従するのがお似合いなのよ❤
あう……っ！？❤,あう……っ！？❤
射精したばかりなのに足を押し返すぐらい固い…❤\n自分を負かした相手のカラダを見上げて、\nこんなに大きくしてしまったのでしょう？,射精したばかりなのに足を押し返すぐらい固い…❤\n自分を負かした相手のカラダを見上げて、\nこんなに大きくしてしまったのでしょう？
あなたのマゾな精神性、カードマスター向きじゃないわね。\nだって「マスター」というより「奴隷」か「ペット」がお似合いだもの❤,あなたのマゾな精神性、カードマスター向きじゃないわね。\nだって「マスター」というより「奴隷」か「ペット」がお似合いだもの❤
ねえ、期待のルーキーさん？\n地面に横たわってわたしにお腹を向けて、\n足でこんな風にかわいがられるのがお望みなのよね？ほら…❤,ねえ、期待のルーキーさん？\n地面に横たわってわたしにお腹を向けて、\n足でこんな風にかわいがられるのがお望みなのよね？ほら…❤
あっ、んあ……っ❤,あっ、んあ……っ❤
くすくす❤ 犬ころみたいにかわいらしい声を上げてしまって❤\nとっても情けない❤\n自分を負かした敵にかんたんに欲情してしまう、浅ましいオスね❤,くすくす❤ 犬ころみたいにかわいらしい声を上げてしまって❤\nとっても情けない❤\n自分を負かした敵にかんたんに欲情してしまう、浅ましいオスね❤
いやらしい男の子は、わたしが躾けてあげなければね❤\nほらほら❤\n足の裏でちょっときつく踏まれても気持ちいいのでしょう？へんたい❤,いやらしい男の子は、わたしが躾けてあげなければね❤\nほらほら❤\n足の裏でちょっときつく踏まれても気持ちいいのでしょう？へんたい❤
やめ……っ❤ ん、くぅ…っ❤,やめ……っ❤ ん、くぅ…っ❤
あははは❤\n口ではやめてって言いながら、\n足コキ激しくされて喜んじゃってるじゃない❤,あははは❤\n口ではやめてって言いながら、\n足コキ激しくされて喜んじゃってるじゃない❤
服従するのがうれしいのよね❤わたしに見下ろされて踏みつけられて、\nそれなのに全身がゾクゾクして…❤\n観客がいて恥ずかしいのに、喘ぎ声が止められないぐらい気持ちいい❤,服従するのがうれしいのよね❤わたしに見下ろされて踏みつけられて、\nそれなのに全身がゾクゾクして…❤\n観客がいて恥ずかしいのに、喘ぎ声が止められないぐらい気持ちいい❤
ほら、このまま、とどめを刺してあげるわ。\nズボンの中に情けなく精液ぶちまけなさい❤\n観客みんなの前で、男のプライドごと精液と吐き出しちゃうの❤,ほら、このまま、とどめを刺してあげるわ。\nズボンの中に情けなく精液ぶちまけなさい❤\n観客みんなの前で、男のプライドごと精液と吐き出しちゃうの❤
ぐりぐりぐりぐり❤\nほら❤ わたしのつま先で射精しろ、ヘンタイ❤,ぐりぐりぐりぐり❤\nほら❤ わたしのつま先で射精しろ、ヘンタイ❤
あ、う……❤ うぁ………っ❤,あ、う……❤ うぁ………っ❤
う、あぁぅ……❤,う、あぁぅ……❤
ふっ………………❤他愛ない❤\nもう気絶しちゃったわ❤,ふっ………………❤他愛ない❤\nもう気絶しちゃったわ❤
ふぅ、やっぱり強いわね。{自分}。\nあなたのおかげで無事勝てたわ。\nカードに戻りなさい。,ふぅ、やっぱり強いわね。{自分}。\nあなたのおかげで無事勝てたわ。\nカードに戻りなさい。
上級モンスターにこれだけ快感を刻み付けられたら、\nもうわたしに勝つことはできないだろうし。\n新人くんもかわいそうに。ふふふ・・・❤,上級モンスターにこれだけ快感を刻み付けられたら、\nもうわたしに勝つことはできないだろうし。\n新人くんもかわいそうに。ふふふ・・・❤
薄れ行く意識のなか、勝者を告げる司会者のアナウンスがかすかに聞こえ、オクタを称える観客たちの歓声を遠くに聞きながら僕は気絶してしまった。,薄れ行く意識のなか、勝者を告げる司会者のアナウンスがかすかに聞こえ、オクタを称える観客たちの歓声を遠くに聞きながら僕は気絶してしまった。
それから後日。,それから後日。
ふふふ❤またクエスト達成の手柄をわたしにくれるの？\nあなたも早くランクを上げたいだろうに、いつも悪いわね。,ふふふ❤またクエスト達成の手柄をわたしにくれるの？\nあなたも早くランクを上げたいだろうに、いつも悪いわね。
それじゃ、ほら。お礼に稽古をつけてあげる。\nDランクの先輩マスターとして、こんなに面倒を見てあげて、\nわたしってやさしいなー。ぷっ、くすくす❤,それじゃ、ほら。お礼に稽古をつけてあげる。\nDランクの先輩マスターとして、こんなに面倒を見てあげて、\nわたしってやさしいなー。ぷっ、くすくす❤
また会ったわね、変態❤\n触手に足におっぱい❤\n今日はいったい、どこに負けちゃうのかしら❤,また会ったわね、変態❤\n触手に足におっぱい❤\n今日はいったい、どこに負けちゃうのかしら❤
あっ、はうぅ……❤　あ………っ❤,あっ、はうぅ……❤　あ………っ❤
オクトパスレディの美貌に敗れた僕は、彼女にすっかり服従してしまった。,オクトパスレディの美貌に敗れた僕は、彼女にすっかり服従してしまった。
彼女に見下ろされ馬鹿にされながら、足や触手、胸でかわいがってもらうことが自分の生きる意味になってしまったのだ。,彼女に見下ろされ馬鹿にされながら、足や触手、胸でかわいがってもらうことが自分の生きる意味になってしまったのだ。
オクタさんはオクトパスレディを簡単には召喚してくれない。僕は自分の成長につながらない雑務同然のクエストをこなしては、その成果だけをオクタさんに譲りつづけた。,オクタさんはオクトパスレディを簡単には召喚してくれない。僕は自分の成長につながらない雑務同然のクエストをこなしては、その成果だけをオクタさんに譲りつづけた。
クエスト報酬のお金とランクポイントは、自分の手元には少しも入らない。ただただ時間を空費してはオクタさんに貢ぎ、今のランクに甘んじるだけの日々。そこにAランクを目指していたかつての姿はなく、,クエスト報酬のお金とランクポイントは、自分の手元には少しも入らない。ただただ時間を空費してはオクタさんに貢ぎ、今のランクに甘んじるだけの日々。そこにAランクを目指していたかつての姿はなく、
僕はオクトパスレディの心酔者としてすべてを忘れ、あとの人生を過ごすのだった,僕はオクトパスレディの心酔者としてすべてを忘れ、あとの人生を過ごすのだった
蛸令嬢の触手愛撫,蛸令嬢の触手愛撫
蛸令嬢の踏みつけ,蛸令嬢の踏みつけ
蛸令嬢のパイズリ,蛸令嬢のパイズリ
なんでも,なんでも
目を背けてとどめを刺した,別開視線並擊倒她
釘付けになってしまった,視線根本移不開
惑わされずにとどめを刺した,沒有被迷惑成功擊倒她
胸の感触に思考を止めてしまった,胸部觸感讓人無法思考
