default
死をふりまくもの,散佈死亡者
あは、見てみて手がどろどろ～❤\n殺されちゃうかもしれないのに、わたしの手コキに負けちゃったんだ❤\nシコシコにすぐ負けて、よわーい❤くすくす❤,あは、見てみて手がどろどろ～❤\n殺されちゃうかもしれないのに、わたしの手コキに負けちゃったんだ❤\nシコシコにすぐ負けて、よわーい❤くすくす❤
ぷぷっ、おまんこに入れる前に射精しちゃってる❤\n中に入れるの想像したら我慢できなかった？\n童貞くんっておちんちん弱いんだねー。くすくす❤,ぷぷっ、おまんこに入れる前に射精しちゃってる❤\n中に入れるの想像したら我慢できなかった？\n童貞くんっておちんちん弱いんだねー。くすくす❤
僕より少し背の低い、闇をまとった妖精モンスターに敗れた僕は、エナジーを奪われ意識がもうろうとなっていた。,僕より少し背の低い、闇をまとった妖精モンスターに敗れた僕は、エナジーを奪われ意識がもうろうとなっていた。
あううっ・・・❤,あううっ・・・❤
くすくす❤わたしみたいな下級モンスターに負けちゃうなんて、\n正義のカードマスターくんは弱いねー❤\n盗賊を退治に来たんでしょ？それなのに・・・。,くすくす❤わたしみたいな下級モンスターに負けちゃうなんて、\n正義のカードマスターくんは弱いねー❤\n盗賊を退治に来たんでしょ？それなのに・・・。
おちんちん我慢できなくなって、\nわたしにバカにされながら、マゾシコオナニー❤\n正義の心を自爆シコシコでぴゅっぴゅっしちゃった♪,おちんちん我慢できなくなって、\nわたしにバカにされながら、マゾシコオナニー❤\n正義の心を自爆シコシコでぴゅっぴゅっしちゃった♪
チラ見えするふとももに見とれてる間に、おちんちんをパックン❤\n間抜けチンポを太ももに捕まえられて、\nむぎゅむぎゅ扱かれて逆転負けしちゃった❤,チラ見えするふとももに見とれてる間に、おちんちんをパックン❤\n間抜けチンポを太ももに捕まえられて、\nむぎゅむぎゅ扱かれて逆転負けしちゃった❤
エア手コキ見せつけてあげたら、言われるがまま棒立ち❤\nチンポを両手でシコシコ、ぐりぐりってされて、\nあっけなく手の平に射精しちゃった❤,エア手コキ見せつけてあげたら、言われるがまま棒立ち❤\nチンポを両手でシコシコ、ぐりぐりってされて、\nあっけなく手の平に射精しちゃった❤
足で踏んでちょっとコスってあげたら、それだけで射精❤\nマゾチンポ弱すぎて、悪いモンスターに簡単に屈服させられちゃった❤,足で踏んでちょっとコスってあげたら、それだけで射精❤\nマゾチンポ弱すぎて、悪いモンスターに簡単に屈服させられちゃった❤
手で握ってちょっとコスってあげたら、それだけで射精❤\nマゾチンポ弱すぎて、悪いモンスターに簡単に屈服させられちゃった❤,手で握ってちょっとコスってあげたら、それだけで射精❤\nマゾチンポ弱すぎて、悪いモンスターに簡単に屈服させられちゃった❤
上にまたがってちょっと擦ってあげたら、それだけで射精❤\nマゾチンポ弱すぎて、偽物エッチで簡単に屈服させられちゃった❤,上にまたがってちょっと擦ってあげたら、それだけで射精❤\nマゾチンポ弱すぎて、偽物エッチで簡単に屈服させられちゃった❤
ねえねえ、悔しくないの？\nほらぁ、あなたをイかせた、わるぅーいおくちだよ？\nこの口でマゾって言われて興奮しちゃうの？きゃはは❤,ねえねえ、悔しくないの？\nほらぁ、あなたをイかせた、わるぅーいおくちだよ？\nこの口でマゾって言われて興奮しちゃうの？きゃはは❤
そういって{自分}は僕の耳元で「マーゾ」とささやいてくる。体をびくんとさせてもおかまいなしに、何度もマゾと繰り返し甘く罵倒され脳がどうにかなってしまいそうだ。,そういって{自分}は僕の耳元で「マーゾ」とささやいてくる。体をびくんとさせてもおかまいなしに、何度もマゾと繰り返し甘く罵倒され脳がどうにかなってしまいそうだ。
ねえねえ、悔しくないの？\nほらぁ、あなたをイかせた、わるぅーいおててだよ？\nきゃはは❤,ねえねえ、悔しくないの？\nほらぁ、あなたをイかせた、わるぅーいおててだよ？\nきゃはは❤
そういって{自分}は僕に手の平を見せつけてきた。空中で筒を作って前後に動かし、いやらしく僕にアピールしてくる。,そういって{自分}は僕に手の平を見せつけてきた。空中で筒を作って前後に動かし、いやらしく僕にアピールしてくる。
ねえねえ、悔しくないの？\nほらぁ、あなたをイかせた、わるぅーい足だよ？\nきゃはは❤,ねえねえ、悔しくないの？\nほらぁ、あなたをイかせた、わるぅーい足だよ？\nきゃはは❤
そういって{自分}は僕に足裏を見せつけてきた。空中で何かを擦っているかのように上下に動かし、いやらしく僕にアピールしてくる。,そういって{自分}は僕に足裏を見せつけてきた。空中で何かを擦っているかのように上下に動かし、いやらしく僕にアピールしてくる。
ねえねえ、悔しくないの？\nほらぁ、あなたをイかせた、わるぅーいふとももだよ？\nきゃはは❤,ねえねえ、悔しくないの？\nほらぁ、あなたをイかせた、わるぅーいふとももだよ？\nきゃはは❤
そういって{自分}は自分の指をふとももにあてがって僕に見せつけてきた。スカートの上から指を押し当て、ふとももの間に挟んですりすりと動かし、いやらしく僕にアピールしてくる。,そういって{自分}は自分の指をふとももにあてがって僕に見せつけてきた。スカートの上から指を押し当て、ふとももの間に挟んですりすりと動かし、いやらしく僕にアピールしてくる。
ねえねえ、悔しくないの？\nほらぁ、あなたをイかせた、わるぅーい腰ふりだよ？\nきゃはは❤,ねえねえ、悔しくないの？\nほらぁ、あなたをイかせた、わるぅーい腰ふりだよ？\nきゃはは❤
そういって{自分}はわざとらしく腰を前後にくねらせて見せた。あん、あんと棒読みの喘ぎ声をあげて、僕の方をにやにやとバカにしながら見つめてくる。,そういって{自分}はわざとらしく腰を前後にくねらせて見せた。あん、あんと棒読みの喘ぎ声をあげて、僕の方をにやにやとバカにしながら見つめてくる。
あう、あうう・・・❤くそぉ・・・❤,あう、あうう・・・❤くそぉ・・・❤
ぷぷっ、悔しいのに、こんな挑発でまた感じちゃうね❤\nおちんちんがびくびくびく♪\nBランクの正義のマスターさん、よわぁい❤,ぷぷっ、悔しいのに、こんな挑発でまた感じちゃうね❤\nおちんちんがびくびくびく♪\nBランクの正義のマスターさん、よわぁい❤
ねえ、その興奮してるおちんちん、どうしてほしい？\nこのまま何もしないで、洞窟から解放してほしい？\nそ、れ、と、も・・・❤,ねえ、その興奮してるおちんちん、どうしてほしい？\nこのまま何もしないで、洞窟から解放してほしい？\nそ、れ、と、も・・・❤
もう一回どびゅぅって射精したい？\nほら、おちんちんの頭を手でなでながら聞いてあげる❤\n正直に答えて～❤どうしてほしいのかな～❤,もう一回どびゅぅって射精したい？\nほら、おちんちんの頭を手でなでながら聞いてあげる❤\n正直に答えて～❤どうしてほしいのかな～❤
やめ、ああっ❤すりすりしないでっ❤❤はうぅ❤❤,やめ、ああっ❤すりすりしないでっ❤❤はうぅ❤❤
んーやめてほしいの？ほんとに？\nこのおちんちんは、いいこいいこってされて、\nすっごくうれしそうに見えるけどなー❤,んーやめてほしいの？ほんとに？\nこのおちんちんは、いいこいいこってされて、\nすっごくうれしそうに見えるけどなー❤
ま、いいや。それじゃやめてあげる。\nはい、おしまーい。,ま、いいや。それじゃやめてあげる。\nはい、おしまーい。
あ、ああ・・・・。うぐぅっ・・・❤,あ、ああ・・・・。うぐぅっ・・・❤
きゃはは❤手を止めたのに、腰がへこへこしてる～❤\n手の平が恋しくて、腰を前に突き出してるのかなー❤\n残念だけどそこに手の平はありませーん❤,きゃはは❤手を止めたのに、腰がへこへこしてる～❤\n手の平が恋しくて、腰を前に突き出してるのかなー❤\n残念だけどそこに手の平はありませーん❤
マスターくんが意地を張らなければ、\nいまごろ先っぽすりすりしてもらえてたのにねー❤空気に向かって\nへこへこしても気持ちよくなれないよ～。あーん、かわいそー❤,マスターくんが意地を張らなければ、\nいまごろ先っぽすりすりしてもらえてたのにねー❤空気に向かって\nへこへこしても気持ちよくなれないよ～。あーん、かわいそー❤
くっ、ううぅ❤う、うう・・・❤,くっ、ううぅ❤う、うう・・・❤
ねえねえどうする？\nおちんちんの先っぽなでてほしい？\nなでながら根元を一緒にシコシコしてあげてもいいよ❤,ねえねえどうする？\nおちんちんの先っぽなでてほしい？\nなでながら根元を一緒にシコシコしてあげてもいいよ❤
そうだなー。\n「僕はもう盗賊団に逆らいません」って大きな声で言ったら、\nやってあげようかなー❤,そうだなー。\n「僕はもう盗賊団に逆らいません」って大きな声で言ったら、\nやってあげようかなー❤
さっきまではタダで触ってくれたのにって？\nふふ、そんなのわたしの気分次第だからねー。\nマスター君が素直にならないから、特別サービスは終わっちゃったの❤,さっきまではタダで触ってくれたのにって？\nふふ、そんなのわたしの気分次第だからねー。\nマスター君が素直にならないから、特別サービスは終わっちゃったの❤
ねえどうする？おちんちんの先っぽ、\nまたなでなでしてほしい？\n妖精の手で気持ちよくされて、あへあへぇって射精したい？,ねえどうする？おちんちんの先っぽ、\nまたなでなでしてほしい？\n妖精の手で気持ちよくされて、あへあへぇって射精したい？
ううっ・・・❤それはぁ・・・❤,ううっ・・・❤それはぁ・・・❤
・・・・くすくす❤,・・・・くすくす❤
あっ、やめて、そんな近くで手を動かさないでっ・・・❤❤ああっ❤,あっ、やめて、そんな近くで手を動かさないでっ・・・❤❤ああっ❤
ぷぷっ❤手をくぼませて、亀頭の近くに持ってきたただけで、\n面白いぐらいおちんちんビクビクしちゃうね❤\nでもぉ、あなたがちゃんと宣言しない限り、絶対触ってあげないよ？,ぷぷっ❤手をくぼませて、亀頭の近くに持ってきたただけで、\n面白いぐらいおちんちんビクビクしちゃうね❤\nでもぉ、あなたがちゃんと宣言しない限り、絶対触ってあげないよ？
おちんちんを頑張って揺らしてもムダ❤\nあとちょっと届かない場所で、手の平を動かして焦らしてあげる❤\nほらぁ、当たりそうで当たらないねー❤もどかしいねー❤,おちんちんを頑張って揺らしてもムダ❤\nあとちょっと届かない場所で、手の平を動かして焦らしてあげる❤\nほらぁ、当たりそうで当たらないねー❤もどかしいねー❤
ああん❤なでてあげたら気持ちいいだろうなー❤\nシコシコされたら、おちんちん幸せになっちゃうのになー❤\nわたしの手コキ超うまいのになー❤きゃははは❤,ああん❤なでてあげたら気持ちいいだろうなー❤\nシコシコされたら、おちんちん幸せになっちゃうのになー❤\nわたしの手コキ超うまいのになー❤きゃははは❤
ううっ❤ううっ・・・❤❤,ううっ❤ううっ・・・❤❤
くす❤欲望と我慢がぶつかりあって、\nぐずぐずになっちゃったその顔。\nわたし大好き❤,くす❤欲望と我慢がぶつかりあって、\nぐずぐずになっちゃったその顔。\nわたし大好き❤
手の平をひらひらされてるだけで、\n男の子がしちゃいけない顔にされちゃうね❤\nねーねー、我慢汁ばっかり出ててもったいないよー❤,手の平をひらひらされてるだけで、\n男の子がしちゃいけない顔にされちゃうね❤\nねーねー、我慢汁ばっかり出ててもったいないよー❤
焦らされて我慢汁が出ちゃってるその先っぽ❤\nローションみたいにぬるぬるだから、\n手コキされたら最高に気持ちいいのに❤,焦らされて我慢汁が出ちゃってるその先っぽ❤\nローションみたいにぬるぬるだから、\n手コキされたら最高に気持ちいいのに❤
どうする？このまま頭おかしくなるまで、\nおちんちんのそばで、手の平ひらひらされる？\nそれともぉ、かっこわるーくおねだりしちゃう？,どうする？このまま頭おかしくなるまで、\nおちんちんのそばで、手の平ひらひらされる？\nそれともぉ、かっこわるーくおねだりしちゃう？
お、おねがい・・・❤,お、おねがい・・・❤
うんうん、つづけて❤,うんうん、つづけて❤
僕は、盗賊団にもう逆らいませんっ❤❤\nだから、おねがいしますっ❤はやく・・・❤❤,僕は、盗賊団にもう逆らいませんっ❤❤\nだから、おねがいしますっ❤はやく・・・❤❤
ぷぷっ、ちょろ❤,ぷぷっ、ちょろ❤
ほらほらほら❤\nあなたが正義心を捨てておねだりした手コキだよー❤,ほらほらほら❤\nあなたが正義心を捨てておねだりした手コキだよー❤
きゃはは、触ったとたんチンポ喜びすぎ❤\n超うれしそうじゃん❤,きゃはは、触ったとたんチンポ喜びすぎ❤\n超うれしそうじゃん❤
我慢汁ぬりこまれてたまんない？\nそうだよねー。ずっと焦らしてたもんねー❤\n待ち焦がれて敏感になってるよねー❤,我慢汁ぬりこまれてたまんない？\nそうだよねー。ずっと焦らしてたもんねー❤\n待ち焦がれて敏感になってるよねー❤
ほらほらぁ❤さっさと一発出しちゃいなよー❤\nわたしに屈服するのが気持ちいいって、\n体に教え込んであげる❤,ほらほらぁ❤さっさと一発出しちゃいなよー❤\nわたしに屈服するのが気持ちいいって、\n体に教え込んであげる❤
マスター君はねー、盗賊の悪いモンスターにイかされて、\n下級モンスターに力の差を分からされちゃうの❤\nそんなの恥ずかしいよねー、でもおちんちんきもちいよねー❤,マスター君はねー、盗賊の悪いモンスターにイかされて、\n下級モンスターに力の差を分からされちゃうの❤\nそんなの恥ずかしいよねー、でもおちんちんきもちいよねー❤
先っぽからびゅって出すの、我慢できないよねー❤\nきゃははは❤ほらぁ、とどめに手の平をぐりぐりぐり～❤,先っぽからびゅって出すの、我慢できないよねー❤\nきゃははは❤ほらぁ、とどめに手の平をぐりぐりぐり～❤
はぅ、はぐぅっ❤❤ああっ❤こんなの、むりっ❤❤❤,はぅ、はぐぅっ❤❤ああっ❤こんなの、むりっ❤❤❤
いいよー、わたしの手の平に負けちゃえ❤\n根元も小刻みにシコシコしてあげるから、精液押し出されちゃえ❤\nイケ❤イケ❤まーぞ❤,いいよー、わたしの手の平に負けちゃえ❤\n根元も小刻みにシコシコしてあげるから、精液押し出されちゃえ❤\nイケ❤イケ❤まーぞ❤
あっ、あっ、だめ止めてっ❤❤❤いま、びんかんだからっ❤❤,あっ、あっ、だめ止めてっ❤❤❤いま、びんかんだからっ❤❤
きゃはは❤きこえませーん❤\nなにか言いたいことがあれば、そのうるさい喘ぎ声止めてから言えば～？,きゃはは❤きこえませーん❤\nなにか言いたいことがあれば、そのうるさい喘ぎ声止めてから言えば～？
射精したあとも、手の平で亀頭こすられまくって、\nチンポバカになっていいよ～❤\n体中の水分全部もらしちゃうまで遊んであげる❤,射精したあとも、手の平で亀頭こすられまくって、\nチンポバカになっていいよ～❤\n体中の水分全部もらしちゃうまで遊んであげる❤
うりうりうりうり～❤\nきゃはははは❤びくびくしすぎ～❤\nもっと喘いで、全部出して、このまま死んじゃってもいいよ～❤,うりうりうりうり～❤\nきゃはははは❤びくびくしすぎ～❤\nもっと喘いで、全部出して、このまま死んじゃってもいいよ～❤
はぐっ、あぐぅ❤❤あっ、ああっ❤❤また出るぅっ❤❤\nああああっ❤❤,はぐっ、あぐぅ❤❤あっ、ああっ❤❤また出るぅっ❤❤\nああああっ❤❤
ぷぷぷ、見てよ。床がびちょびちょ❤\n途中から精液だけじゃなくて、潮も吹いちゃってたね❤,ぷぷぷ、見てよ。床がびちょびちょ❤\n途中から精液だけじゃなくて、潮も吹いちゃってたね❤
潮を吹くなんて女の子みたい❤\nかっこわるーい❤,潮を吹くなんて女の子みたい❤\nかっこわるーい❤
あひ、あへぇ・・・・❤❤,あひ、あへぇ・・・・❤❤
あは❤芋虫みたいに床にねそべって、\nもぞもぞもぞって痙攣することしかできないね❤,あは❤芋虫みたいに床にねそべって、\nもぞもぞもぞって痙攣することしかできないね❤
それじゃあ、おちんちんの先っちょに、\n面白いことしてあげる❤\nえい…♪,それじゃあ、おちんちんの先っちょに、\n面白いことしてあげる❤\nえい…♪
その後、目を覚ますと僕は村の宿屋にいた。宿屋の主人に聞いたところ、気絶した状態で盗賊が僕をここまで担いできたらしい。,その後、目を覚ますと僕は村の宿屋にいた。宿屋の主人に聞いたところ、気絶した状態で盗賊が僕をここまで担いできたらしい。
村の人が逆らえないのを知って、隠れもせずに僕を運び込んできたのだろう。ふてぶてしいものだ。,村の人が逆らえないのを知って、隠れもせずに僕を運び込んできたのだろう。ふてぶてしいものだ。
・・・ん？,・・・ん？
何か下半身に違和感がある。ズボンを脱いで確かめてみると、なんと自分のペニスに見慣れない紋様が刻まれていた。,何か下半身に違和感がある。ズボンを脱いで確かめてみると、なんと自分のペニスに見慣れない紋様が刻まれていた。
紫色をしたその紋様は、ちょうど先端の部分に刻まれている。あの妖精のモンスターに気絶している間に何かされたのだろうか。,紫色をしたその紋様は、ちょうど先端の部分に刻まれている。あの妖精のモンスターに気絶している間に何かされたのだろうか。
いや、今はとにかく、盗賊退治が先決だ。一回は負けてしまったが、相手のデッキだってある程度分かった。次こそは勝てるはずだ。,いや、今はとにかく、盗賊退治が先決だ。一回は負けてしまったが、相手のデッキだってある程度分かった。次こそは勝てるはずだ。
僕は魔力の回復を待って、再度ネクロに挑んだのだった。,僕は魔力の回復を待って、再度ネクロに挑んだのだった。
ふふ、懲りないのね❤\nでも、そんなおちんちんでどう戦うつもりなのかしら。,ふふ、懲りないのね❤\nでも、そんなおちんちんでどう戦うつもりなのかしら。
出なさい。{自分}を召喚。,出なさい。{自分}を召喚。
あー、「盗賊団に逆らわない」って約束したのに悪い子だねー。\n悪い子には、ほら、指を鳴らしてパチン♪,あー、「盗賊団に逆らわない」って約束したのに悪い子だねー。\n悪い子には、ほら、指を鳴らしてパチン♪
なっ、はぐぅうっ❤❤❤,なっ、はぐぅうっ❤❤❤
ぷぷぷ❤おちんちんを両手でおさえて倒れ込んじゃった❤\nねー、急に先っぽが気持ちよくなってびっくりしたよねー。,ぷぷぷ❤おちんちんを両手でおさえて倒れ込んじゃった❤\nねー、急に先っぽが気持ちよくなってびっくりしたよねー。
マスターくんのおちんちんには呪いが刻んであるんだよ❤\nわたしがねー、こうやって手の平を\n空中でぐりぐりぐりって動かすだけで・・・❤,マスターくんのおちんちんには呪いが刻んであるんだよ❤\nわたしがねー、こうやって手の平を\n空中でぐりぐりぐりって動かすだけで・・・❤
あっ❤ああっ❤❤だめ、やめてぇ・・・❤❤,あっ❤ああっ❤❤だめ、やめてぇ・・・❤❤
きゃはは♪いつでもマスター君のおちんちんをいじめられるの。\n先っぽの紋様が光ってるでしょ？\nわたしの手の平とおんなじ感触、感じちゃうからすごいよねー❤,きゃはは♪いつでもマスター君のおちんちんをいじめられるの。\n先っぽの紋様が光ってるでしょ？\nわたしの手の平とおんなじ感触、感じちゃうからすごいよねー❤
こういうこともできるよ。指で小さい輪っかを作って、\n先っぽをしこしこしこ～❤\n高速手コキしてあげるー❤,こういうこともできるよ。指で小さい輪っかを作って、\n先っぽをしこしこしこ～❤\n高速手コキしてあげるー❤
はぐぅっ❤❤あぎぃっ❤❤あっ、あっ、ああっ❤❤❤,はぐぅっ❤❤あぎぃっ❤❤あっ、あっ、ああっ❤❤❤
あはは、まだバトルはじまったばっかりなのに、\nもう射精しちゃった❤\nわたしエア手コキしてるだけなのに❤,あはは、まだバトルはじまったばっかりなのに、\nもう射精しちゃった❤\nわたしエア手コキしてるだけなのに❤
マスターくんよわーい❤\nきゃははは❤,マスターくんよわーい❤\nきゃははは❤
うう、あううぅ・・・❤こんなはずじゃ・・・❤,うう、あううぅ・・・❤こんなはずじゃ・・・❤
くす❤直接触らなくて責めれるから～、\nマスターくんがモンスターを出しても防げないし、\nこの先もう絶対勝てないと思うなー❤,くす❤直接触らなくて責めれるから～、\nマスターくんがモンスターを出しても防げないし、\nこの先もう絶対勝てないと思うなー❤
正義のマスター君は、おちんちんに首輪をつけられちゃったの。\nいつでも、おちんちんに「負けろ」って命令できちゃう首輪❤\nほらほらぁ、またカラカラになるまで搾っちゃうよー❤,正義のマスター君は、おちんちんに首輪をつけられちゃったの。\nいつでも、おちんちんに「負けろ」って命令できちゃう首輪❤\nほらほらぁ、またカラカラになるまで搾っちゃうよー❤
あうぅっ❤❤やめてっ❤❤先っぽばっかりっ❤❤\nああっ、こわれるっ、こわれちゃうっ❤❤あひいっ❤❤,あうぅっ❤❤やめてっ❤❤先っぽばっかりっ❤❤\nああっ、こわれるっ、こわれちゃうっ❤❤あひいっ❤❤
その後、僕は{自分}にこってりと搾りとられ、また盗賊の根城から追い出されたのだった。,その後、僕は{自分}にこってりと搾りとられ、また盗賊の根城から追い出されたのだった。
コテンパンに負けた僕は、このままではまずいと思い、モルゲンに戻って他のマスターの助けを借りようかと考えた。しかし、いざ実行に移そうとすると・・・,コテンパンに負けた僕は、このままではまずいと思い、モルゲンに戻って他のマスターの助けを借りようかと考えた。しかし、いざ実行に移そうとすると・・・
突然自分のペニスに刺激が走り、先端を彼女の手でなでられるような快感が襲ってきて、一歩も動けなくなってしまった。,突然自分のペニスに刺激が走り、先端を彼女の手でなでられるような快感が襲ってきて、一歩も動けなくなってしまった。
どうやら僕が盗賊団に不利益になるようなことをしようとすると、紋様が反応し、快感を与えてくるらしい。亀頭を手の平で執拗になでられるような刺激の中では、まともに歩くこともできず、言葉も発せなくなり、馬車を借りてモルゲンに行くことすらできない始末だった。,どうやら僕が盗賊団に不利益になるようなことをしようとすると、紋様が反応し、快感を与えてくるらしい。亀頭を手の平で執拗になでられるような刺激の中では、まともに歩くこともできず、言葉も発せなくなり、馬車を借りてモルゲンに行くことすらできない始末だった。
そのうえ紋様の刺激だけでは、なぜか射精をすることができず、先端を弄ばれるじんじんとした快感だけが日々積もっていった。,そのうえ紋様の刺激だけでは、なぜか射精をすることができず、先端を弄ばれるじんじんとした快感だけが日々積もっていった。
数日後,数日後
あう、あうう・・・❤おねがい、します・・・❤❤イかせてぇ・・・❤❤,あう、あうう・・・❤おねがい、します・・・❤❤イかせてぇ・・・❤❤
ぷぷっ、首輪に引っ張られて、\nわんちゃんみたいにおねだりに来ちゃったね❤,ぷぷっ、首輪に引っ張られて、\nわんちゃんみたいにおねだりに来ちゃったね❤
マスターくんにはこれから盗賊団の子分として働いてもらうよ？\nいいよね？おちんちん、我慢できないもんね？,マスターくんにはこれから盗賊団の子分として働いてもらうよ？\nいいよね？おちんちん、我慢できないもんね？
ううっ・・・❤❤おねがい・・・❤なんでもするからぁ・・・❤❤,ううっ・・・❤❤おねがい・・・❤なんでもするからぁ・・・❤❤
きゃはは♪下級モンスター相手に、服従しちゃってちょろーい❤\nそれじゃこれからよろしくねー。\nＢランクマスターあらため、盗賊団のしたっぱくん❤,きゃはは♪下級モンスター相手に、服従しちゃってちょろーい❤\nそれじゃこれからよろしくねー。\nＢランクマスターあらため、盗賊団のしたっぱくん❤
その後僕はネクロの子分になり、盗賊団の用心棒として死ぬまで働いた。こうして僕の物語は、妖精に快楽の首輪をつけられ、その幕を閉じたのだった。,その後僕はネクロの子分になり、盗賊団の用心棒として死ぬまで働いた。こうして僕の物語は、妖精に快楽の首輪をつけられ、その幕を閉じたのだった。
邪妖精の手コキ,邪妖精の手コキ
邪妖精のからかい,邪妖精のからかい
視線を外して攻撃した,視線を外して攻撃した
ふとももから目が離せなかった,ふとももから目が離せなかった
理性をふりしぼって攻撃した,理性をふりしぼって攻撃した
足を止めてしまった,足を止めてしまった
