default
ポイズンラミア,魅毒拉米亞
そんなに私にエナジーを捧げたいの？それなら直ぐに射精するのは許さないから❤一回の射精で全部エナジーを出せるように我慢しましょうね❤,そんなに私にエナジーを捧げたいの？それなら直ぐに射精するのは許さないから❤一回の射精で全部エナジーを出せるように我慢しましょうね❤
ああっ…❤むりっ…❤むりぃ・・・❤,ああっ…❤むりっ…❤むりぃ・・・❤
泣きそうな顔をしてもダメ❤先走りでお腹がぬるぬるになって気持ち良くてもダメ❤,泣きそうな顔をしてもダメ❤先走りでお腹がぬるぬるになって気持ち良くてもダメ❤
射精したら負けちゃうのよ❤それでも射精したいの？勝負より気持ちいいことが大切なんだ❤本当に情けくて最低な人❤,射精したら負けちゃうのよ❤それでも射精したいの？勝負より気持ちいいことが大切なんだ❤本当に情けくて最低な人❤
あなたにここで戦う資格なんてないわ。深呼吸して❤た～っぷり肺の奥までわたしのフェロモンでいっぱいにして、イキなさい❤,あなたにここで戦う資格なんてないわ。深呼吸して❤た～っぷり肺の奥までわたしのフェロモンでいっぱいにして、イキなさい❤
ううっ、強いのね。あなた…。,ううっ、強いのね。あなた…。
でも、ふふ、わたしの毒の息を吸って、\nもうふらふらって感じかしら…。\n目がぼんやりしてきてるわよ。,でも、ふふ、わたしの毒の息を吸って、\nもうふらふらって感じかしら…。\n目がぼんやりしてきてるわよ。
わたしの毒はただ体を蝕むだけじゃないの。\n肺の中から脳に回って、吸った相手のことをほんの少し発情させる。\nわたしのことを好きにさせる…❤,わたしの毒はただ体を蝕むだけじゃないの。\n肺の中から脳に回って、吸った相手のことをほんの少し発情させる。\nわたしのことを好きにさせる…❤
でも、ふふ、さっきしゃぶってあげたから、\nもうふらふらって感じかしら…。\n目がぼんやりしてきてるわよ。,でも、ふふ、さっきしゃぶってあげたから、\nもうふらふらって感じかしら…。\n目がぼんやりしてきてるわよ。
あなたの粘膜を通して、わたしの毒を送ったの。\nフェラをしながらじんわりと流し込むように、ね。,あなたの粘膜を通して、わたしの毒を送ったの。\nフェラをしながらじんわりと流し込むように、ね。
わたしの毒はただ体を蝕むだけじゃないわ。\n肺の中から脳に回って、吸った相手のことをほんの少し発情させる。\nわたしのことを好きにさせる…❤,わたしの毒はただ体を蝕むだけじゃないわ。\n肺の中から脳に回って、吸った相手のことをほんの少し発情させる。\nわたしのことを好きにさせる…❤
でも、ふふ、谷間のフェロモンを受けて、\nもうふらふらって感じかしら…。\n目がぼんやりしてきてるわよ。,でも、ふふ、谷間のフェロモンを受けて、\nもうふらふらって感じかしら…。\n目がぼんやりしてきてるわよ。
わたしの吐く息と体から出るフェロモンには\n蛇の毒が含まれているわ。\nそれを呼吸で吸い込めば、あなんたの体に毒が回る。,わたしの吐く息と体から出るフェロモンには\n蛇の毒が含まれているわ。\nそれを呼吸で吸い込めば、あなんたの体に毒が回る。
わたしの毒はただ体を蝕むだけじゃないのよ。\n肺の中から脳に回って、吸った相手のことをほんの少し発情させる。\nわたしのことを好きにさせる…❤,わたしの毒はただ体を蝕むだけじゃないのよ。\n肺の中から脳に回って、吸った相手のことをほんの少し発情させる。\nわたしのことを好きにさせる…❤
う、ううっ・・・・❤,う、ううっ・・・・❤
わたしの顔を見ていると、心臓がどくどくするでしょう？\nあなたはわたしのことが好きなの…。\nだから目を合わせているだけで、頭がふわふわしてきちゃう。,わたしの顔を見ていると、心臓がどくどくするでしょう？\nあなたはわたしのことが好きなの…。\nだから目を合わせているだけで、頭がふわふわしてきちゃう。
ねえ、おねがい❤攻撃をやめて？\nわたしあなたに倒されたくないわ。\n攻撃をやめてくれれば、そうね、キスをしてあげる。,ねえ、おねがい❤攻撃をやめて？\nわたしあなたに倒されたくないわ。\n攻撃をやめてくれれば、そうね、キスをしてあげる。
ベールをめくって、口と口をぴったりとつけて、\nその状態で甘い毒の息を吹き込むの。\nとっても素敵な甘い夢が見れるわよ…❤,ベールをめくって、口と口をぴったりとつけて、\nその状態で甘い毒の息を吹き込むの。\nとっても素敵な甘い夢が見れるわよ…❤
ほら、逃げちゃだめ。\nわたしに食べられてくれるわよね？,ほら、逃げちゃだめ。\nわたしに食べられてくれるわよね？
これで形勢逆転❤もう離さないわ❤\nこのままあなたを毒の息でおぼれさせてあげる。\nまずはおっぱいでしっかり頭を固定して…❤,これで形勢逆転❤もう離さないわ❤\nこのままあなたを毒の息でおぼれさせてあげる。\nまずはおっぱいでしっかり頭を固定して…❤
むにゅむにゅむにゅ❤\n顔がおっぱいに埋もれて気持ちいいでしょう❤,むにゅむにゅむにゅ❤\n顔がおっぱいに埋もれて気持ちいいでしょう❤
でもそれだけだと逃げられちゃう。\nだから、ふぅ～❤ふぅ～❤\nおっぱいの谷間、わたしの毒息で満たしてあげる❤,でもそれだけだと逃げられちゃう。\nだから、ふぅ～❤ふぅ～❤\nおっぱいの谷間、わたしの毒息で満たしてあげる❤
そうそう❤大きく息を吸って・・・❤\nとろーんとしたいい顔になってきたわね❤\nもっともーっと吸いなさい❤そうしたらとっても素直になれるから❤,そうそう❤大きく息を吸って・・・❤\nとろーんとしたいい顔になってきたわね❤\nもっともーっと吸いなさい❤そうしたらとっても素直になれるから❤
ああ・・・❤気持ちいい・・・❤\nああ、だめなのに、すき、はうぅう・・・❤,ああ・・・❤気持ちいい・・・❤\nああ、だめなのに、すき、はうぅう・・・❤
好きな人にエナジーを捧げる自滅オナニー、気持ち良かったわね❤\n必死にオナニーをする姿はとても面白かったわよ、くすくす❤,好きな人にエナジーを捧げる自滅オナニー、気持ち良かったわね❤\n必死にオナニーをする姿はとても面白かったわよ、くすくす❤
わたしに抱き着かれたら、みな恍惚としながらイってしまうの❤\nあなたも幸せそうな顔をして倒れてるわね❤くすくす❤,わたしに抱き着かれたら、みな恍惚としながらイってしまうの❤\nあなたも幸せそうな顔をして倒れてるわね❤くすくす❤
わたしのフェラに耐えれるはずがないもの❤エナジーたっぷりの精液、美味しかったわよ❤くすくす,わたしのフェラに耐えれるはずがないもの❤エナジーたっぷりの精液、美味しかったわよ❤くすくす
ふふふ❤わたしの勝ちよ。\nこれでCランク昇格戦の権利はわたしのものね。,ふふふ❤わたしの勝ちよ。\nこれでCランク昇格戦の権利はわたしのものね。
自分からラミアに興奮して自爆して負けちゃうんですもの❤\nずいぶん楽に勝たせてもらったわ。助かっちゃう。,自分からラミアに興奮して自爆して負けちゃうんですもの❤\nずいぶん楽に勝たせてもらったわ。助かっちゃう。
ラミアの胸は気持ちよかったかしら？\n蛇に絡みつかれて逃げられる男はいない。\n期待のルーキーくんも同じだったわね❤,ラミアの胸は気持ちよかったかしら？\n蛇に絡みつかれて逃げられる男はいない。\n期待のルーキーくんも同じだったわね❤
ラミアのフェラは気持ちよかったでしょう？\n蛇の舌に絡めとられて、耐えられる男は少ないの。\nあまり気落ちしないことよ。,ラミアのフェラは気持ちよかったでしょう？\n蛇の舌に絡めとられて、耐えられる男は少ないの。\nあまり気落ちしないことよ。
さて、ただ権利をもらうだけじゃ悪いから、\nちょっとはお礼をあげる。\n行きなさい、ポイズンラミア。,さて、ただ権利をもらうだけじゃ悪いから、\nちょっとはお礼をあげる。\n行きなさい、ポイズンラミア。
というわけで、マスターの命令よ。\nあなたのエナジー搾り取らせてもらうわね。,というわけで、マスターの命令よ。\nあなたのエナジー搾り取らせてもらうわね。
大丈夫、マスターもこれは「お礼」だって言っているし、\nふらふらになるまで搾ったりしないわ。\n射精させるのはたった一回だけ。,大丈夫、マスターもこれは「お礼」だって言っているし、\nふらふらになるまで搾ったりしないわ。\n射精させるのはたった一回だけ。
ほら、とっびきり濃いキスでイかせてあげる❤\nんちゅ、じゅるる…❤,ほら、とっびきり濃いキスでイかせてあげる❤\nんちゅ、じゅるる…❤
んっ、んむぅ❤あひぃっ・・・・❤,んっ、んむぅ❤あひぃっ・・・・❤
ふふ、蛇の舌が口の中に入り込んでくるの、すごいでしょ？\n童貞のあなたには刺激が強すぎるかしら。\nたっぷり蹂躙してあげる❤,ふふ、蛇の舌が口の中に入り込んでくるの、すごいでしょ？\n童貞のあなたには刺激が強すぎるかしら。\nたっぷり蹂躙してあげる❤
ほら、あなたもどんどん顔がとろけてきた…❤\nんっちゅ、ちゅっ、ちゅう❤,ほら、あなたもどんどん顔がとろけてきた…❤\nんっちゅ、ちゅっ、ちゅう❤
あう、あううっ、んむぅ❤はへぇあっ・・・・❤,あう、あううっ、んむぅ❤はへぇあっ・・・・❤
んっちゅ❤ちゅぱ❤ あっという間に骨抜きね❤\nわたしのキス、人間なんかとは全然違うでしょう？,んっちゅ❤ちゅぱ❤ あっという間に骨抜きね❤\nわたしのキス、人間なんかとは全然違うでしょう？
長い舌がねっとり絡みついてきて、\n舌も歯茎もわけがわからないぐらい気持ちよくされて、\nそのうえ口からは甘い毒の息がほんのりただよってくる❤,長い舌がねっとり絡みついてきて、\n舌も歯茎もわけがわからないぐらい気持ちよくされて、\nそのうえ口からは甘い毒の息がほんのりただよってくる❤
ここが闘技場でよかったわね。\nもし実戦で魔物にいきなりこんなキスされていたら、\n腰から下が快感でとろけて、立っていられなくなるもの❤,ここが闘技場でよかったわね。\nもし実戦で魔物にいきなりこんなキスされていたら、\n腰から下が快感でとろけて、立っていられなくなるもの❤
ほら、とどめ・・・❤\nあなたの肺の中に直接わたしの毒の息を吹き込んであげる❤,ほら、とどめ・・・❤\nあなたの肺の中に直接わたしの毒の息を吹き込んであげる❤
キスでとろかされた脳みそに、\nラミアの甘い毒が流し込まれて、\nふふ、きっと理性がどろどろに溶けてしまうわね❤,キスでとろかされた脳みそに、\nラミアの甘い毒が流し込まれて、\nふふ、きっと理性がどろどろに溶けてしまうわね❤
さあ、イきなさい。\nんちゅ、ふぅー・・・❤,さあ、イきなさい。\nんちゅ、ふぅー・・・❤
はひ、あっ、あふあぁぁ・・・❤,はひ、あっ、あふあぁぁ・・・❤
んっちゅ、ぷはぁっ・・・❤\nあらあら、一回の射精でどれだけ出すのかしら❤,んっちゅ、ぷはぁっ・・・❤\nあらあら、一回の射精でどれだけ出すのかしら❤
はう、あううっ・・・❤,はう、あううっ・・・❤
ポイズンラミアから解放された僕はあまりの快感で立っていることができず、その場にくずれおちてしまった。,ポイズンラミアから解放された僕はあまりの快感で立っていることができず、その場にくずれおちてしまった。
これでお礼はおしまい❤気持ちよかったでしょ？\nそれじゃ、またいつか戦う機会があれば楽しみましょうね。\nちゅっ❤,これでお礼はおしまい❤気持ちよかったでしょ？\nそれじゃ、またいつか戦う機会があれば楽しみましょうね。\nちゅっ❤
僕に向かって投げキッスをすると、そのままポイズンラミアはパトラと一緒に去っていった。,僕に向かって投げキッスをすると、そのままポイズンラミアはパトラと一緒に去っていった。
その後、僕はしばらく放心状態で身動きできず、闘技場のスタッフに肩をゆさぶられるまで、ボーっとした顔で座りほうけていた。,その後、僕はしばらく放心状態で身動きできず、闘技場のスタッフに肩をゆさぶられるまで、ボーっとした顔で座りほうけていた。
試合に負けた悔しさはいつの間にかすっかり霧散してしまっており、ポイズンラミアのキスのこと以外、何も頭に残っていなかった。,試合に負けた悔しさはいつの間にかすっかり霧散してしまっており、ポイズンラミアのキスのこと以外、何も頭に残っていなかった。
それからしばらくして。,それからしばらくして。
あら、数日ぶりね。この間の試合は楽しかったわ。,あら、数日ぶりね。この間の試合は楽しかったわ。
わたしはギルドでクエストを受けに来たのだけれど、\nあなたもクエストかしら？,わたしはギルドでクエストを受けに来たのだけれど、\nあなたもクエストかしら？
・・・・。,・・・・。
え？あの子とのキスのことが忘れられない？\nそれでわたしを探していた？\nそう・・・❤,え？あの子とのキスのことが忘れられない？\nそれでわたしを探していた？\nそう・・・❤
ぷっ、くすくす❤ずいぶん可愛らしいのね。\n期待のルーキーくんなのに、キスでイかされただけで、\n敵のモンスターにすっかり惚れちゃったんだ？,ぷっ、くすくす❤ずいぶん可愛らしいのね。\n期待のルーキーくんなのに、キスでイかされただけで、\n敵のモンスターにすっかり惚れちゃったんだ？
あはは、そんなにウブだとこの先大変よ。\nDランク上位にまで上り詰める実力者なのに、\nその辺はやっぱり年相応って感じかしら。ふふふ❤,あはは、そんなにウブだとこの先大変よ。\nDランク上位にまで上り詰める実力者なのに、\nその辺はやっぱり年相応って感じかしら。ふふふ❤
受付カウンターの向こうから、受付さんが怪訝そうな目で僕のことを見ている。知り合いもいるなかでバカにされて笑われて、顔が真っ赤になってしまう。,受付カウンターの向こうから、受付さんが怪訝そうな目で僕のことを見ている。知り合いもいるなかでバカにされて笑われて、顔が真っ赤になってしまう。
いいわよ。あとであの子を呼び出して、相手させてあげる。\n外でちょっと待ってなさい。,いいわよ。あとであの子を呼び出して、相手させてあげる。\n外でちょっと待ってなさい。
ここなら、人目につかないわね。\nそれじゃあ出なさい、ポイズンラミア。,ここなら、人目につかないわね。\nそれじゃあ出なさい、ポイズンラミア。
んふふ。またキスされたくなったの？\nわたしに毒を飲まされたのに、わたしのこと好きになっちゃったんだ。,んふふ。またキスされたくなったの？\nわたしに毒を飲まされたのに、わたしのこと好きになっちゃったんだ。
そういうことみたいね。\nほら、同意もあることだし、彼からエナジーを奪うといいわ。,そういうことみたいね。\nほら、同意もあることだし、彼からエナジーを奪うといいわ。
わたしからすればクエスト前に魔力の補給ができてラッキーよね。\nあなたのエナジー、かなり高濃度の魔力を含んでいるみたいだから、\n自分から分けてもらえるならけっこうありがたいの。,わたしからすればクエスト前に魔力の補給ができてラッキーよね。\nあなたのエナジー、かなり高濃度の魔力を含んでいるみたいだから、\n自分から分けてもらえるならけっこうありがたいの。
もちろんこうやって吸われていたら、\nあなた自身の修行はできなくなると思うけれど…。\n別にいいのよね？ふふふ❤,もちろんこうやって吸われていたら、\nあなた自身の修行はできなくなると思うけれど…。\n別にいいのよね？ふふふ❤
ほら、おいで・・・❤\nキスだけじゃなくてハグもしてあげる❤,ほら、おいで・・・❤\nキスだけじゃなくてハグもしてあげる❤
顔をおっぱいに埋められて気持ちいいでしょ？\n谷間に向かって、息をふぅー・・・❤,顔をおっぱいに埋められて気持ちいいでしょ？\n谷間に向かって、息をふぅー・・・❤
ふぐぅ、あふぁ・・・・❤,ふぐぅ、あふぁ・・・・❤
唇が恋しくなったら顔を上げてね。\nキスでたっぷり甘やかしてあげるから❤,唇が恋しくなったら顔を上げてね。\nキスでたっぷり甘やかしてあげるから❤
ああ、ラミアさん、好き、好きぃ・・・❤あひぃ・・・・❤,ああ、ラミアさん、好き、好きぃ・・・❤あひぃ・・・・❤
くす❤好きって言いながら顔を上げてキスのおねだりしちゃってる❤\nそれじゃあ蛇舌の濃厚なキス、また楽しませてあげる❤\nんっ、じゅるるぅ❤,くす❤好きって言いながら顔を上げてキスのおねだりしちゃってる❤\nそれじゃあ蛇舌の濃厚なキス、また楽しませてあげる❤\nんっ、じゅるるぅ❤
こうして僕はポイズンラミアのキスにすっかり骨抜きにされてしまい、彼女に搾り取られることが生きる意味になってしまった。,こうして僕はポイズンラミアのキスにすっかり骨抜きにされてしまい、彼女に搾り取られることが生きる意味になってしまった。
パトラさんと約束をして、闘技場の試合前やクエストの前などに、魔力をポイズンラミアに搾りつくされる日々。,パトラさんと約束をして、闘技場の試合前やクエストの前などに、魔力をポイズンラミアに搾りつくされる日々。
急ぎのときはカードから出てきた彼女がいきなり僕の頭を押さえ、そのままキスを開始する。何の前戯もなしに、それでも一分も経たずに射精に追い込まれてしまう。,急ぎのときはカードから出てきた彼女がいきなり僕の頭を押さえ、そのままキスを開始する。何の前戯もなしに、それでも一分も経たずに射精に追い込まれてしまう。
連日、持てる魔力を全て彼女に捧げていては、冒険者を続けることができるはずもなく、闘技場でもクエストでもまともな活躍はできなくなった。,連日、持てる魔力を全て彼女に捧げていては、冒険者を続けることができるはずもなく、闘技場でもクエストでもまともな活躍はできなくなった。
それでも彼女の息を体に取り込むたび、彼女のことがますます好きになり、もはやポイズンラミアから離れることはできそうになかった。,それでも彼女の息を体に取り込むたび、彼女のことがますます好きになり、もはやポイズンラミアから離れることはできそうになかった。
こうして下級の蛇モンスターの魔力タンクに堕ちた僕の冒険は、終わりを迎えたのだった。,こうして下級の蛇モンスターの魔力タンクに堕ちた僕の冒険は、終わりを迎えたのだった。
勝負なんて忘れてこのまま射精しましょう？とっても気持ちいいはずよ❤,勝負なんて忘れてこのまま射精しましょう？とっても気持ちいいはずよ❤
前は勝てた相手なのに、\n誘惑に負けてオナニーしてしまうなんてマスター失格ね。\nわたしのマスターに昇格戦の権利を譲ればよかったのに。くすくす❤,前は勝てた相手なのに、\n誘惑に負けてオナニーしてしまうなんてマスター失格ね。\nわたしのマスターに昇格戦の権利を譲ればよかったのに。くすくす❤
好きな人にエナジーを捧げる自滅オナニー、気持ち良かったわね❤\nそのままどんどんわたしにはまって、\n毒に蝕まれるみたいに堕落していっていいのよ❤,好きな人にエナジーを捧げる自滅オナニー、気持ち良かったわね❤\nそのままどんどんわたしにはまって、\n毒に蝕まれるみたいに堕落していっていいのよ❤
恍惚の巻きつきぱふぱふ,恍惚の巻きつきぱふぱふ
蛇の妖艶フェラ,蛇の妖艶フェラ
なんでも,なんでも
理性を振り絞ってとどめを刺した,以全身理性來擊倒她
彼女に見とれて動けなかった,看她看到愣住動彈不得
