default
メルティスライム,嬌柔史萊姆
うわー❤ わたしの手の中にこんなにたっぷり❤\n二回目でもどぴゅどぴゅーってすっごく濃いの出せたね～❤,嗚哇❤竟然在我的手中射這麼多❤。\n都已經是第二次了還射得這麼濃耶～❤。
こんなに中出しして、\nロリコンおちんちん、わたしのこと大好きなんだね❤\nぷっ、くすくす❤,竟然中出這麼多，\n這根蘿莉控雞雞一定很喜歡我吧。\n嗯哼哼❤。
ねえ、マスターくんは、いっぱい精液出せて満足できた？\nそれともぉ・・・❤,欸，卡片玩家哥哥，射這麼多精液有爽到了嗎？\n還是說……？
うぅ❤ もっとぉ・・・❤\n最後までしてぇ・・・❤\nメルティスライムさまぁ❤❤❤,嗚嗚❤！ 再來……❤。\n讓我做到最後……❤。\n嬌柔史萊姆大人❤❤❤！
きゃはは❤言うと思った♪\n心配しなくても、まだまだチンポは離してあげない❤\nぬちゅぬちゅ動かして、またすぐに射精させてあげるよ❤,呀哈哈❤就知道你會這麼說。\n別擔心啦，我還沒打算離開你老二❤。\n但是我這隻黏稠手掌的黏液，還是可以讓你馬上射精❤。
ちゃ～んと『最期まで』、搾り取ってあげるからね❤\nロリコンでぇ、マゾのぉ、ザコマスターくん❤,我會真的把你榨精『榨到死』，蘿莉控、Ｍ男、廢物卡片玩家❤。
このあとも、僕は数えきれないほど 繰り返し精を搾り取られた。,在這之後我被榨取了我多到數不清的精液。
竿をはげしく扱かれて射精し、カリ首ばかりを擦られて射精し、ペニスをやわらかく握られる感触だけで漏らすように甘く射精し・・・。,肉棒被激烈手淫後射精，光是龜頭被摩擦就射精。陰莖被柔軟的手掌握住就會舒服得射精……。
ペニスを襲う快感は凄まじく、途中から完全に夢見心地だった。絶頂するたびに、メルティスライムのことがどんどん魅力的に見えて、まるで女神でも見ているかのように思えた。,給予陰莖的快感太過刺激，到一半時已經感覺自己是在做夢。每次射精就會越感覺嬌柔史萊姆很漂亮，到最後已經把她看成了女神。
快楽が頭のすべてを占めて、僕は何をしようとしていたのか、どこに向かっていたのか、何もかも忘れてエナジーを吐き出し続ける。,快感佔據了整個腦袋，我應該要做什麼，要前往何處，全部隨著能量的射出而忘記了。
しかし、そんな甘いひと時がいつまでも続くはずもなく、だんだんと体が干からびていき、腕に力が入らなくなっていった。,但是這美妙的感覺不可能永遠下去，漸漸的我的身體被完全榨乾，全身上下也完全使不上力。
くすくす❤体はもうボロボロ…❤\nでも、全然苦しくないね❤,嗯哼哼❤，身體已經要壞掉了❤。\n但是完全不痛苦呢❤。
サキュバスに搾り取られて逝けるなんて、\nとっても幸せなことなんだよ❤\n,被魅魔榨乾死去可是非常幸福的喔❤。\n
スライムオナホでぐちゅぐちゅされると\n何度でもおちんちんイっちゃう❤\nかわいい、かわいい素直なチンポ❤,只要被史萊姆自慰套弄濕，\n不管幾次都能射❤。\n好可愛、好可愛的雞雞啊❤。
ほら、わたしの手にもっとエナジー吐き出して❤\nロリコンチンポ、ぐちゅぐちゅ犯されて、\nあんたの命を、全部全部、射精するの❤,繼續，在我的手中吐出能量❤。\n你這根蘿莉控雞雞不斷被幹，\n然後把生命、全部、一切都射精出來❤。
きゃはは❤\n止まらないね。イっちゃうね❤\n逝って終わっちゃうね❤ほら、イケ❤マーゾ❤,呀哈哈❤，\n停不下來呢。射了呢❤。\n射了就要死掉了呢❤。快點，給我射❤，Ｍ～男❤。
耳をくすぐるようなメルティスライムの笑い声を最後に、僕は完全に意識を手放した。,我的意識隨著嬌柔史萊姆美麗的笑聲消失了。
護衛していた商人がこのあとどうなったかの定かではない。こうして僕の人生は、小さな体をしたスライムのモンスターによって、あっけなくその幕を閉じたのだった。,我應該護衛的商人後來不知道怎麼樣了。就這樣我的人生就在嬌小身體的史萊姆怪獸下悲慘地閉幕了。
彼女を振り払い、とどめを刺した,甩開並擊倒她
体を動かすことができなかった,整個身體動彈不得
