default
ピンクスライム,粉紅史萊姆
女の子の武器はね、おっぱいだけじゃないんだよ。ふとももだって男の子をメロメロにしちゃう立派な武器。,女孩子的武器可不是只有胸部而已喔。大腿也是一個可以魅惑男孩子的強大武器呢。
ここでおちんちんをぎゅーってしてあげれば、気持ちいいお肉の感触で、男の子なんて瞬殺なんだから♪,用這個緊緊夾住雞雞後，就可以用豐滿肉塊的觸感把男孩子給秒殺喔。
ほらほら、上下にかるく動かして扱いてあげる❤むちむちしたふとももの感触、楽しんでね？,我先慢慢上下擺動，好好享受豐滿大腿的觸感吧。
あっ、あああっ・・・❤,啊、啊啊……！
くすくす❤声出ちゃってるね❤これぐらいの刺激も我慢できないんだ。よわーい❤,嗯哼哼❤都叫出聲音來了，這點程度的刺激也忍不了嗎？好弱～喔❤。
まだまだ軽めに動かしただけだよ？下級モンスターの手加減ふとももコキで喘がされちゃってさ。,我還只是輕輕動而已喔。哥哥竟然會被低星怪獸的弱弱大腿交幹到嬌喘呢。
魔力を見る感じ、わたしなんかよりずっと強いよね。まだ新米っぽいけど、実力はけっこうありそうな感じがするもん。,從魔力量還看，哥哥應該比我強很多才對。雖然還是新人，但是實力感覺很強才對。
でも、おちんちんはよわよわ❤おかげで、わたしみたいな下級モンスターでも、ふとももシコシコで簡単に勝てちゃう♪,但是雞雞卻很弱。所以就算是我這種低星怪獸，也可以靠大腿輕鬆打贏你。
あっちを見てよ。さっきまでお兄さんが護衛をしていた商人さんが、わたしのマスターに食べられちゃってるよ？,你看那邊。哥哥護衛的商人正在被我的主人吃掉呢。
きっとすぐに干からびるまでエナジーを吸い取られちゃう。助けにいかなくていいのかなー❤,他肯定會馬上被吸走能量完全榨乾喔。躺著不救他真的可以嗎？
カードマスターなら・・・、ふとももの間でおちんちん気持ちいいよぉーってしてる場合じゃないよね。うふふ❤,如果是個人類卡片玩家的話，已經不是把雞雞擺在史萊姆的大腿間享受的時候了喔。嗯哼哼❤。
ううっ…。はやく助けにいかないとっ、あううぅ・・・❤,嗚嗚……。不快點去救他不行，啊嗚嗚……。
あはは。言っていることはカッコいいけど、体動いてないよ？気持ちよくて力はいらないのかなー❤,啊哈哈。說出來的台詞很帥氣沒錯啦，但是身體沒在動喔。感覺太爽了所以身體完全動不了呢。
頑張って射精を我慢していれば、吸われた分のエナジーも回復して、わたしを振り払えるようになるかもしれない・・・。,如果你能在這裡忍耐不射精的喔，等待你被我吸走的能量自然回復的話，說不定就能甩開我了呢。
だからほら、射精しないように頑張って？わたしってそんなに力強くないしね。,所以以現在要努力忍耐不射精喔。我又沒有那麼強。
あなたはカードマスターなんだもん。悪いスライムのふとももになでなでされてぇ、おちんちんがむずむずしちゃっても、いっぱい我慢しなきゃだめだよ❤,而你可是個卡片玩家喔。就算是被壞壞史萊姆的大腿幹，雞雞好舒服好興奮，也必須要想辦法忍耐才行喔。
こんな風にぎゅーってしながら、ふとももをにゅこにゅこ動かされても、耐えないとね・・・❤,但是被我這樣子幹，大腿緊密貼著擺動的話，根本就忍不住對不對？
うっ、うあっ・・・❤こんなのっ・・・❤,嗚、嗚啊……！這樣子我……！
気持ちよぎてっ・・・❤ああっ・・・❤❤,好爽……！啊啊……！
うふふ。気持ちよくて、我慢できないよねー❤おちんちんを精液がどんどん登ってきちゃう。,嗯哼哼❤感覺超爽，根本忍耐不住呢。雞雞裡面的精液已經逐漸湧上來了呢。
見て。ふとももが往復するたびに、あなたの腰がふるえちゃってる。精液出したくて腰の動き抑えられないんだね。,看啊。我的大腿每來回一次，你的腰就會更加顫抖起來。這就是想射出精液導致腰的動作根本停不下來的關係喔。
カードマスターなのに、誰も守れないで、どぴゅどぴゅーって射精しちゃうね❤ふふ、いいんだよ。,明明是個人類卡片玩家，卻誰也保護不了，只會在敵對女孩子的大腿中興奮射精。
ほら、ほら、ほら・・・❤もっと早くしてあげる。,我的大腿動作速度加快，讓你被幹得更爽喔。
最後はぎゅってしめてあげよっか。押しつぶされて気持ちいいと思うよ。,最後會狠狠收緊幹你。讓你感受到被壓壞的快感。
ほら、ふとももの中でいっちゃえ❤雑魚マスター❤,給我在我的大腿中射吧，垃圾卡片玩家❤。
あっ、あああっ・・・❤❤,啊、啊啊啊……！
あは、どぴゅどぴゅって、こぼれるぐらい出てる。エナジーおいしいー♪,啊哈，射到現在還不停，你到底還能射多少啊。能量好美味喔。
商人さんを守るための大事なエナジー悪者に奪われちゃったね。こんなに出したらまたしばらく動けないだろうなー。ほんとに射精してよかったのかなー。,為了保護商人而生的能量被壞蛋給奪走了喔。射這麼多出來又要更長時間不能動了呢。可以射精真是太好了呢。
ふふ、後悔してる？でもそんなとろけ顔で後悔しても、全然そんな風には見えない。,嗯哼哼，後悔射精了嗎？但是你那副爽臉看起來一點也沒有後悔的樣子呢。
むしろもっともっと気持ちよくしてほしいって、そうおねだりしているみたい。くすくす❤,不如說那正在求敵對女孩子讓自己射更多呢。嗯哼哼❤。
さてさて次の射精は耐えられるかなー。一回で終わりじゃないよ。あなたがカラカラになっちゃうまで搾ってあげる。,那麼距離下一次射精你能忍多久呢？啊？當然不可能一次就結束喔。我要把你榨到全身乾扁扁喔。
わたしがとどめをさしたご褒美に、マスターに最後までエナジー吸っていいって言われているからね。あは、楽しみー❤,我主人說做為打倒你的獎勵，我可以把你全身的能量都吸乾呢。啊哈哈，好開心喔。
ううっ・・・❤❤,嗚嗚……。
あはは、搾り取られるって聞いて、おちんちんびくんってしちゃったね❤興奮しちゃったんだ？,啊哈哈，聽到可以被榨到乾扁扁，雞雞興奮得抖起來了，有這麼興奮嗎？
死んじゃうかもしれないのに、気持ちいい射精のあとじゃ、怖いのより楽しみなのが勝っちゃうんだ❤男の子って本当にバカみたい。くすくす❤,被這樣榨說不定會死人，但是還是會覺得可以舒服射精真是太棒了，把恐怖感給完全忘掉了呢。男孩子真的全都是笨蛋呢。嗯哼哼❤。
ほら、ふとももをゆっくりにゅこにゅこ・・・❤,大腿繼續幹你喔……。
スライムのローションをさっきよりも多くしてあげる。ぬるぬるで気持ちいいでしょ？,史萊姆潤滑液也塗得比剛才還要多。這樣子會感覺很舒服對吧？
我慢なんてしなくていいよ。このまま命が枯れちゃうまで、何度も何度も気持ちいい射精しよ？,完全不需要忍耐喔。我會讓你舒服射精，只到你的生命乾扁扁。
ふとももに包まれて、天国まで行っちゃおうよ。ほおら・・・❤,被大腿包覆住爽到天堂去吧。嗯哼哼……❤。
あっ、ああっ、気持ちいい・・・❤,啊、啊啊、好舒服喔……！
ふふ、動かなくなっちゃった。,嗯呼呼，已經不會動了呢。
さいごまで幸せそうな顔だったね。こんな風に終われるなら、十分いい終わり方でしょ？,到最後還是一臉幸福的樣子呢。以這種狀態結束是非常棒的感覺對吧？
こうして主人公は、最初の戦闘でスライムのモンスターに負け、命が干からびるまで精を吸い取られた。,就這樣主角在第一次的戰鬥中就敗給史萊姆怪獸，被榨乾精氣生命耗盡。
妹を探すはずだった冒険は、あっけなく下級モンスターの手によってその幕を閉じ、,尋找妹妹的冒險，就這樣立刻在低星怪獸的手中結束了。
その後、彼の行方を知るものは誰もいなかったという・・・。,之後再也沒有人看見他的身影。
ローションぬるぬる手コキ,潤滑液手交
ぷるぷるスライムももコキ,彈嫩史萊姆腿交
なんでも,隨便做就行
無視してとどめを刺す,無視並擊倒她
少しだけなら・・・,如果只有一下下的話……
もっと扱いてぇ・・・❤,繼續幹我……
扱くのをやめてくれと頼んだ,拜託她停下來
