default
エルル,艾露露
ふふふ。やっぱりわたしの方が強かったわね。\nサキュバスに勝てる実力だってあるはずなのに、\nただの人間に気持ちよくされて情けなく射精…❤,嗯哼哼。果然還是我比較強呢。\n明明擁有可以戰勝魅魔的實力，\n卻會被普通的人類弄到舒服射精……❤。
とってもみっともないと思うわ。くすくす❤,這還真是好丟人喔。嗯哼哼❤。
そうだ。あなたが少しは我慢できるように、わたしが稽古つけてあげましょうか。,想到了。為了讓你增加一點耐力，我來幫你訓練吧。
稽古…？,訓練……？
そう、稽古❤わたしの体を使って{&呼び方}を気持ちよくしてあげるの。きみはそれを頑張って我慢するってわけ。,對，訓練❤。我用我的身體來讓你的{&呼び方}舒服起來。而你要拼命忍耐下來。
例えばこの手を使っておちんちんを…。,例如說當我用這手來幹這根小雞雞的時候……。
そういうと彼女は指先でペニスをつーっと撫で上げた。ゾクゾクとした快感が体を走り、僕は思わず体をビクンと震わせてしまう。,她這樣說著指腹朝著陰莖摸上來。麻痺般的快感流遍全身，我的身體忍不住顫抖起來。
こんな風にかわいがってあげようかなーってね。手袋でなでられて、けっこう気持ちいいでしょ？,用這種感覺疼愛你好了。被手套撫摸的話一定毀感覺很舒服對吧？
{&呼び方}が望むなら、いまからシコシコしてあげて、我慢の練習、させてあげる。どうする？やってみる？,只要{&呼び方}想要的話，我現在就幫你做，做忍耐的練習喔。怎麼辦？要做嗎？
ううっ…、それは…❤,嗚嗚……，這個……。
ただし、有料だからね。手でしてほしいなら1回{$cost}ゴールド❤,但是是要錢的喔。想要我用手幫你一次要{$cost}金幣❤。
わたしに気持ちいい特訓してもらえるんだから、お金を払うのは当然よね？ふふ、さあ早く決めなさい？,要我幫你做舒服的特訓，那當然是要錢的喔。嗯哼哼，趕快決定吧。
格上の相手に気持ちいい特訓してもらえるんだから、お金を払うのは当然よね？ふふ、さあ早く決めなさい？,想要高階級的我幫你做舒服的特訓，付錢是理所當然的吧。嗯哼哼，趕快決定吧。
エルルは手で筒を作ると意味ありげに上下に動かして僕に見せつけてくる。さっき射精させられたばかりだというのに目を逸らすことができない…,艾露露將手做成筒狀上下給我看，眼神還很刻意得看著我。因為我剛射精，沒辦法迴避不看她……
僕は・・・・。,我想要……。
あらそう。残念。,啊這樣啊。好遺憾。
せっかくこの雑魚なチンポ、鍛えてあげようと思ったのになぁ…❤,難得我想幫你鍛鍊這根廢物雞雞的說……❤。
エルルはそう言うと勃起したペニスに狙いを定め、指でその先端をわしゃわしゃと弄んできた。,艾露露說著手指瞄準我勃起的陰莖，朝其龜頭處揉下去。
ひあっ❤ああっ❤❤❤,咿啊！啊啊！
あはは、弱っちくてかわいい❤,啊哈哈，好弱好可愛喔❤。
ま、{&呼び方}は{&呼び方}らしく、せいぜい頑張りなさい。じゃあねー。,嗯哼哼，{&呼び方}就該像{&呼び方}的樣子，努力加油吧。再見了。
あううっ・・・・❤,啊嗚嗚……❤。
主人公はエルルの手コキに弱くなってしまった…,主角對艾露露的手交抵抗力下降了……。
あは、これぐらいの誘惑でお金払っちゃうんだ。すなおー❤,啊哈，被這種程度的誘惑就想要付錢了呢。好單純❤。
って、{&呼び方}{$cost}G持っていないじゃん。,啊、{&呼び方}身上根本就沒有{$cost}G呢。
はぁ、それで「手で気持ちよくしてほしい」とか都合よすぎ。,啊哈哈，這樣子還說「想要妳用手幫我舒服」真是太過分了呢。
わたしの手で気持ちよくしてもらいたいなら…。,想要我用手來幫你舒服的話……。
エルルはそう言うとペニスの先端を指先でわしゃわしゃと弄んできた。,艾露露說著手指的指腹在我的龜頭上擺弄。
はい、ここでおしまい。続きはちゃんとお金を持ってくること。いいわね？ふふふ…。,停，手交沒了。想要繼續就得要帶錢過來。懂了嗎？嗯哼哼……。
はひぃっ・・・・❤,哈咿……❤。
それじゃお金ももらったことだし、"特訓"してあげる。,這樣子我才能拿到錢，你也能得到「特訓」喔。
さっきから握ってほしそうにビクビクしているチンコ、この手でぎゅって握って…。,你那根想被我握而不斷顫抖的老二，就讓我用這隻手握住……。
シコシコスタート❤,開始手淫❤。
あっ…❤ああっ…❤,啊……、啊啊……❤。
んふふ、ゆっくりな手コキなのにずいぶん気持ちよさそうね。,嗯哼哼，明明是緩慢的手淫你卻一臉很舒服的樣子。
女モンスターにエッチなことされたことはあっても、普通の女の子に手コキしてもらったことなんてあんまりないでしょ？,雖然會被女性怪獸做色色的事情，但是沒什麼機會被普通的女孩子手交對吧？
精液には魔力がたっぷり溶けだしているから、男のカードマスターと戦う時にはエッチな技は効果抜群❤だから、みんなけっこう練習するのよ。,精液裡面含有大量的能量，跟男性玩家對戰時使用性感攻擊的效果會非常強烈，因此大家都在練這些攻擊喔。
基本テクとして、手のひらにゆるーく魔力をまとわせながら、軽くシコシコ❤これだけで男の子は悲鳴をあげちゃう。,作為基本技巧，將魔力纏繞在手掌上，輕輕套弄，光這樣男孩子就會發出哀號聲了。
悲鳴っていうか喜びの声かな？勝負に負けそうになっているのに、うれしいよぉ、気持ちいいよぉって声をあげてよがっちゃうの。,啊，與其說是哀號不如說是嬌喘聲吧？畢竟明明輸了對戰卻很開心，是舒服到叫出來的那種聲音呢。
あなたもそうよね？お金出してまでシコシコしてほしいって思っちゃったんだもんね？,你也一樣對吧？都會想出錢拜託別人用手幫你弄了呢。
あうっ…❤それはぁ…❤,啊嗚……那是因為……。
別に言い訳しなくてもいいのよ。言い訳されても面倒くさいだけだし。,不用找藉口啦。我聽你的藉口也只會感覺很煩而已❤。
さっさとチンコしこられて、お金を貢いでくれればそれでオッケー。,只要把老二放著給我幹，然後把錢貢獻給我就行了。
ほら、もう金玉がきゅってなって、限界が来てる。射精しちゃうんでしょ？ゆるい手コキに負けてあっという間に敗北しちゃう。,感覺到了嗎？你的蛋蛋已經在收縮，到達臨界點了。這是想射精了對吧？敗給女孩子的溫柔手交，一下子就敗北了呢。
男ってそういうものよ。くすくす❤,男孩子就是這種東西呢。嗯哼哼❤。
ねえ、どうする？我慢するための特訓なんだし、ここで手コキストップしてあげてもいいわよ。お願いするなら、やめてあげる。,欸，你想怎麼樣呢？畢竟這是訓練忍耐能力的特訓，所以要我停止手交也沒問題。要是你拜託我我就停手。
{&呼び方}はこれからの戦いのために、気持ちいいのを我慢しないといけないんでしょ？ほら早く言いなさい？,為了{&呼び方}從今以後的戰鬥，必須得學會忍耐快感才行喔。所以快點說吧。
あっ…❤ううっ…❤手コキを、やめ…❤,啊……，嗚嗚……請停止……❤。
はーい、ここでスピードアップ❤,好的，那麼我加快速度喔。
あっ❤ああっ❤❤❤だめ、これっ、あああっ…❤,啊❤、啊啊❤❤❤、不行、這樣子、啊啊啊……❤。
あはは、口で"ストップ"も言えないなんてなさけなーい❤,啊哈哈，連表面應付一句「停止」都沒辦法好難看喔。
この程度の快感でしゃべれなくなるようじゃ、特訓したって意味ないわね。,連這種程度的快感都可以讓你爽到說不出話來，已經沒有特訓的必要了呢。
{&呼び方}、もういいわよ。ここからは快感に身を任せても。,{&呼び方}，乾脆就這樣吧。接下來就任由快感侵犯吧。
もう特訓は終わり。あとはわたしの手で気持ちよくなることだけ考えるの…❤,特訓已經結束了。接下來只要思考怎樣被我的手摸得很舒服就好……。
さあ、腰を突き出して。一番気持ちいい格好でわたしにシコられなさい。そしてみっともなく射精する…❤,來，把腰挺起來。用你最舒服的姿勢來讓我幹。然後丟人的在我面前射精……❤。
ほら、ほら、ほら…❤カリ首をしごいて、とどめをさしてあげる。,啊～你快要被我幹到射了呢❤接下來我集中摸龜頭，給你最後一擊。
思いっきり腰へこらせて、みじめに射精しろ。低級マスター❤,給我無意識地用力挺腰，丟人得射精吧。低階玩家❤。
あうっ❤ああっ❤❤❤,啊嗚❤！啊啊啊❤❤❤！
あは、こんなに手袋をべとべとにしちゃって出し過ぎよ。よいっしょと…。,啊哈，竟然把我整個手套射得這麼黏稠也射太多了。嘿呦……。
はい、魔法で元通り。精液をエナジーに変えられない一般人なら、服に射精されると洗濯するのもけっこう大変なのよ？,搞定，我用魔法清掉了。如果是無法將精液轉化成能量的一般人的話，想要洗被射精的衣服一定很累吧？
って、そんなアヘ顔じゃ、わたしの言葉なんて聞こえないか。,啊，你都翻白眼了，一定根本聽不到我在說什麼呢。
手コキされただけで蕩け顔しちゃって、ほんと{ランク名}級ってよわいわ。くすくす❤,只是被手交就爽成一臉蠢樣，{ランク名}階真的有夠弱耶。嗯哼哼❤。
手コキされただけで蕩け顔しちゃって、{ランク名}級になってもまだまだよわいままなのね。くすくす❤,只是被手交就爽成這樣，就算是{ランク名}階也還是很弱呢。嗯哼哼❤。
まあそれなりに高いお金くれたし、もうちょい搾ってあげるわ。ここからはサービスよ。,不過你給我的錢很多，我再榨你一下好了。從現在開始就是特別服務喔。
あっ❤いま敏感でっ❤ひああっ❤,啊❤！現在很敏感❤！咿啊啊❤！
敏感な方が気持ちいいでしょ？ほらほらほら…❤,嗯？敏感的時候比較舒服吧？嗯哼哼……❤。
エルルに特訓をつけてもらった僕は、彼女の与える快感が忘れられなくなっていた。,被艾露露給特訓的我，再也忘不了她給予的快感。
彼女に何回戦いを挑んでも、空中で軽く手コキのまねをされるだけで腰砕けになってしまい、もうカードを召喚するどころではない状態にさせられてしまった。,不管挑戰她多少次，她只要在我面前做出假裝手交的動作就能讓我腿軟，變成連卡片都無法召喚的狀態。
足止め投げキッス,止步飛吻
みっちり着衣パイズリ,緊緻穿衣乳交
腰砕け手コキ,腿軟手交
なんでも,隨便做就好
冒険をあきらめますか？,要放棄冒險嗎？
あきらめる,放棄
あきらめない,不放棄
手でしてほしいとお願いした,拜託她用手幫自己弄
特訓を断った,拒絕接受特訓
