default
フラワー,葉花
キノコちゃんたちを守るために、手札を1枚捨てて永続魔法カード発動！{使用カード}！,キノコちゃんたちを守るために、手札を1枚捨てて永続魔法カード発動！{使用カード}！
植物モンスターが自分の場にいるなら、あなたのモンスターは召喚してもすぐには攻撃できなくなるよ。,植物モンスターが自分の場にいるなら、あなたのモンスターは召喚してもすぐには攻撃できなくなるよ。
足止めして弱らせちゃうね。手札を1枚捨てて永続魔法カード発動！{使用カード}！,足止めして弱らせちゃうね。手札を1枚捨てて永続魔法カード発動！{使用カード}！
{使用カード}を発動！デッキからランダムに３枚墓地へ送るね！,{使用カード}を発動！デッキからランダムに３枚墓地へ送るね！
{使用カード}を発動！デッキのカードを墓地へ３枚送るねー。,{使用カード}を発動！デッキのカードを墓地へ３枚送るねー。
{使用カード}を発動！自分の場にほかのモンスターがいないとき地属性の下級モンスターを復活できるよ。,{使用カード}を発動！自分の場にほかのモンスターがいないとき地属性の下級モンスターを復活できるよ。
{使用カード}を発動！自分の場にほかのモンスターがいないとき地属性モンスターを墓地から復活！,{使用カード}を発動！自分の場にほかのモンスターがいないとき地属性モンスターを墓地から復活！
{使用カード}を発動！キノコモンスターのレベル×{$downValue}ポイント相手の攻撃力をダウンさせるよー。,{使用カード}を発動！キノコモンスターのレベル×{$downValue}ポイント相手の攻撃力をダウンさせるよー。
{使用カード}を発動！キノコモンスターのレベル×{$downValue}ポイントだけ相手の力をダウン！,{使用カード}を発動！キノコモンスターのレベル×{$downValue}ポイントだけ相手の力をダウン！
植物モンスターが攻撃されたとき、墓地の地属性カード２枚をコストにカードを発動！相手の攻撃力を半分にするよ！,植物モンスターが攻撃されたとき、墓地の地属性カード２枚をコストにカードを発動！相手の攻撃力を半分にするよ！
レベル４以下の植物モンスターが墓地へ送られたとき、{使用カード}を発動！手札を１枚捨ててそのカードを復活！,レベル４以下の植物モンスターが墓地へ送られたとき、{使用カード}を発動！手札を１枚捨ててそのカードを復活！
装備魔法カード発動！{使用カード}！,装備魔法カード発動！{使用カード}！
魔法カードを発動！{使用カード}！,魔法カードを発動！{使用カード}！
トラップカードを発動するね！{使用カード}！,トラップカードを発動するね！{使用カード}！
カードをセット。,カードをセット。
カードを伏せるね。,カードを伏せるね。
いいことしてあげるねー❤{防御カード}を攻撃！,いいことしてあげるねー❤{防御カード}を攻撃！
気持ちよくしてあげる❤{防御カード}を攻撃！,気持ちよくしてあげる❤{防御カード}を攻撃！
行くよ！{使用カード}で{防御カード}を攻撃！,行くよ！{使用カード}で{防御カード}を攻撃！
むむむ、なにもできないなー。ターンエンド。,むむむ、なにもできないなー。ターンエンド。
手札がきびしいなー。ターンエンド。,手札がきびしいなー。ターンエンド。
ターン終了。,ターン終了。
わたしのターンはおしまい。ターンエンド,わたしのターンはおしまい。ターンエンド
これでおしまい。ターンエンド。,これでおしまい。ターンエンド。
えー、気持ちよくなろうよぉ❤もったいなーい❤,えー、気持ちよくなろうよぉ❤もったいなーい❤
きみの上にまたがってー、スカートの中におちんちんをごしょうたーい❤,きみの上にまたがってー、スカートの中におちんちんをごしょうたーい❤
ほらほら、パンツをたくさんこすりつけちゃうよ？おちんちんすぐに負けたくなっちゃうでしょ？くすくす❤,ほらほら、パンツをたくさんこすりつけちゃうよ？おちんちんすぐに負けたくなっちゃうでしょ？くすくす❤
スカートの中に興味ある？ほら、ぴらってめくって見せたりしてぇー❤,スカートの中に興味ある？ほら、ぴらってめくって見せたりしてぇー❤
あはは、反応かわいいー❤目が釘付けじゃん❤命がかかった戦いの最中なのにパンツなんかに見とれちゃうんだ❤,あはは、反応かわいいー❤目が釘付けじゃん❤命がかかった戦いの最中なのにパンツなんかに見とれちゃうんだ❤
ほら、こっちおいで～❤おちんちん、ここにたくさんこすりつけていいよ❤パンツに向かって腰ふりへこへこしてぇ、気持ちよくなろ？くすくす❤,ほら、こっちおいで～❤おちんちん、ここにたくさんこすりつけていいよ❤パンツに向かって腰ふりへこへこしてぇ、気持ちよくなろ？くすくす❤
騎乗位みたいに上にまたがって搾り取ってあげる❤ほら、上に乗っちゃうよ？,騎乗位みたいに上にまたがって搾り取ってあげる❤ほら、上に乗っちゃうよ？
あは、押し倒されているのに抵抗よわーい♪サキュバスに気持ちいいことされるって思ったら体動かなくなっちゃったのかなぁ❤,あは、押し倒されているのに抵抗よわーい♪サキュバスに気持ちいいことされるって思ったら体動かなくなっちゃったのかなぁ❤
挿入はしないで腰をこすりつけるだけでイかせてあげる❤童貞のまま射精して、死んじゃえ❤死んじゃえ❤くすくす❤,挿入はしないで腰をこすりつけるだけでイかせてあげる❤童貞のまま射精して、死んじゃえ❤死んじゃえ❤くすくす❤
ほらほら、上にまたがって素股でいじめてあげる❤こうやって腰をくねらせてっと…❤,ほらほら、上にまたがって素股でいじめてあげる❤こうやって腰をくねらせてっと…❤
あは、仲間のマスターが後ろで戦っているのに、おちんちんガチガチにされちゃうねー❤やってるのはただのエッチのまねごと❤こんなので勃起しちゃうんだー❤,あは、仲間のマスターが後ろで戦っているのに、おちんちんガチガチにされちゃうねー❤やってるのはただのエッチのまねごと❤こんなので勃起しちゃうんだー❤
童貞くんにはわたしの腰の動き、気持ちよすぎるもんねー❤ちょうど来てほしいところに刺激が来て、おちんちんとろけちゃいそうだもんね❤くすくす❤,童貞くんにはわたしの腰の動き、気持ちよすぎるもんねー❤ちょうど来てほしいところに刺激が来て、おちんちんとろけちゃいそうだもんね❤くすくす❤
いいよぉ、そのまま夢心地のまま、仲間のマスターも裏切って、気持ちいいお射精しちゃおうね。きゃはは❤,いいよぉ、そのまま夢心地のまま、仲間のマスターも裏切って、気持ちいいお射精しちゃおうね。きゃはは❤
あは、あっという間におちんちんガチガチにされちゃったねー❤サキュバス相手にエッチのまねごと❤こんなので勃起しちゃうんだー❤,あは、あっという間におちんちんガチガチにされちゃったねー❤サキュバス相手にエッチのまねごと❤こんなので勃起しちゃうんだー❤
本番なんてしなくてもおちんちんこすってあげれば楽勝みたい❤ほおら、あなたのマスターのことなんて、わたしのテクニックで忘れさせてあげる❤くすくす❤,本番なんてしなくてもおちんちんこすってあげれば楽勝みたい❤ほおら、あなたのマスターのことなんて、わたしのテクニックで忘れさせてあげる❤くすくす❤
おっぱいで挟んであげるね❤好きでしょ？パイズリ❤,おっぱいで挟んであげるね❤好きでしょ？パイズリ❤
ほら、挟まれたとたん、おちんちんすっごく喜んでるじゃん❤悪いサキュバス相手なのにおっぱい１つでガチガチになっちゃうんだもん❤ちょろいなー❤,ほら、挟まれたとたん、おちんちんすっごく喜んでるじゃん❤悪いサキュバス相手なのにおっぱい１つでガチガチになっちゃうんだもん❤ちょろいなー❤
でも、わたしちょろいの大好きだよ❤ちょろマゾおちんちん、たくさんズリズリしてあげるからぁ、さっさとイっちゃってねー❤,でも、わたしちょろいの大好きだよ❤ちょろマゾおちんちん、たくさんズリズリしてあげるからぁ、さっさとイっちゃってねー❤
村娘に化けて男の人から精を吸ってたんだけどね、やっぱり胸がおっきいから、ここで吸ってあげると喜ぶ人が多いんだぁ❤,村娘に化けて男の人から精を吸ってたんだけどね、やっぱり胸がおっきいから、ここで吸ってあげると喜ぶ人が多いんだぁ❤
みんなね、こんな風に挟んじゃえば、あへぇ❤ってすぐにバカみたいな声しかあげられなくなるの。あなたも顔がとろけてきてるね❤くすくす❤,みんなね、こんな風に挟んじゃえば、あへぇ❤ってすぐにバカみたいな声しかあげられなくなるの。あなたも顔がとろけてきてるね❤くすくす❤
ねえ、後ろで戦っている仲間の女の子が気になる？でも、こっちに集中した方がいいよ。,ねえ、後ろで戦っている仲間の女の子が気になる？でも、こっちに集中した方がいいよ。
ほら、わたしのおっぱいに集中して？服の上からでもわかる大きなおっぱい❤これを今からサービスでぇ…❤,ほら、わたしのおっぱいに集中して？服の上からでもわかる大きなおっぱい❤これを今からサービスでぇ…❤
がっつり谷間見せつけちゃう❤あは、目が釘付けー♪かわいいじゃん❤マスターくんはこのおっぱいでパイズリしてあげたらどんな声で鳴くのかなぁ❤くすくす❤,がっつり谷間見せつけちゃう❤あは、目が釘付けー♪かわいいじゃん❤マスターくんはこのおっぱいでパイズリしてあげたらどんな声で鳴くのかなぁ❤くすくす❤
ねえ見て見て？服の上からでもわかる大きなおっぱい❤これを今からサービスでぇ…❤,ねえ見て見て？服の上からでもわかる大きなおっぱい❤これを今からサービスでぇ…❤
がっつり谷間見せつけちゃう❤あは、目が釘付けー♪キミはこのおっぱいでパイズリしてあげたらどんな声で鳴くのかなぁ❤楽しみー❤,がっつり谷間見せつけちゃう❤あは、目が釘付けー♪キミはこのおっぱいでパイズリしてあげたらどんな声で鳴くのかなぁ❤楽しみー❤
パイズリで気持ちよくイかせてあげるね❤,パイズリで気持ちよくイかせてあげるね❤
わたしのパイズリってさー、叩きつけるみたいにやるから、普通より激しいらしいんだよね。でもおっぱいがとってもやわらかいからこれですっごく気持ちいいの❤,わたしのパイズリってさー、叩きつけるみたいにやるから、普通より激しいらしいんだよね。でもおっぱいがとってもやわらかいからこれですっごく気持ちいいの❤
マスターくんもこすられるたびに喘ぎ声出ちゃってる❤くすくす❤仲間の女の子に届くぐらい大きな喘ぎ声出しちゃって恥ずかしいー❤,マスターくんもこすられるたびに喘ぎ声出ちゃってる❤くすくす❤仲間の女の子に届くぐらい大きな喘ぎ声出しちゃって恥ずかしいー❤
パイズリで気持ちよくイかせてあげるね❤よいっしょっと…❤,パイズリで気持ちよくイかせてあげるね❤よいっしょっと…❤
キミは何回耐えられるかなぁ❤仲間に届くぐらい大きな喘ぎ声出しちゃっていいよー❤ほらほらほらぁ❤,キミは何回耐えられるかなぁ❤仲間に届くぐらい大きな喘ぎ声出しちゃっていいよー❤ほらほらほらぁ❤
くすくす❤おねがいきもちよくしてくださいって\nサキュバスに言っちゃうんだ❤\nわたしなんて楽勝なんじゃなかったの？,くすくす❤おねがいきもちよくしてくださいって\nサキュバスに言っちゃうんだ❤\nわたしなんて楽勝なんじゃなかったの？
谷間をちょっと見せられただけで頭の中がクラクラ❤\nエッチなことしか考えられなくさせられちゃったね❤,谷間をちょっと見せられただけで頭の中がクラクラ❤\nエッチなことしか考えられなくさせられちゃったね❤
男の子ってやっぱり弱い❤\nほらほらぁ、なにしてほしいか言っていいよー❤\nあっちの仲間にも聞こえるように大きな声でおねだりしようねー。くすくす❤,男の子ってやっぱり弱い❤\nほらほらぁ、なにしてほしいか言っていいよー❤\nあっちの仲間にも聞こえるように大きな声でおねだりしようねー。くすくす❤
くすくす❤おねがいきもちよくしてくださいって\nサキュバスに言っちゃうんだ❤\nいいのかなー、そんなこと頼んで❤,くすくす❤おねがいきもちよくしてくださいって\nサキュバスに言っちゃうんだ❤\nいいのかなー、そんなこと頼んで❤
向こうではあなたの仲間が一生懸命戦ってるのに、\nおちんちん我慢できなくなっちゃって、みっともなくおねだり❤\nあの女の子がかわいそー❤,向こうではあなたの仲間が一生懸命戦ってるのに、\nおちんちん我慢できなくなっちゃって、みっともなくおねだり❤\nあの女の子がかわいそー❤
ほら、何をしてほしいか言ってごらん❤\nあの女の子がしてくれないようなこと、たくさんしてあげるよ❤,ほら、何をしてほしいか言ってごらん❤\nあの女の子がしてくれないようなこと、たくさんしてあげるよ❤
マスターくんが頑張って戦ってるのに、\n命令を聞かないで敵に向かっておねだり❤\nすっごくカッコ悪いね❤,マスターくんが頑張って戦ってるのに、\n命令を聞かないで敵に向かっておねだり❤\nすっごくカッコ悪いね❤
ほら、何をしてほしいか教えてよ❤\n他の仲間がうらやましくなっちゃうぐらい、\nいっぱい気持ちよくしてあげる❤,ほら、何をしてほしいか教えてよ❤\n他の仲間がうらやましくなっちゃうぐらい、\nいっぱい気持ちよくしてあげる❤
へぇー、おっぱいでしてほしいんだ❤\nやっぱり谷間ちらっと見せたのが効いちゃったの？\nほら❤,へぇー、おっぱいでしてほしいんだ❤\nやっぱり谷間ちらっと見せたのが効いちゃったの？\nほら❤
あなたが見惚れたこのおっぱいで挟んであげるね❤\nバカな男の子のエナジー、ぜーんぶ吸い取ってあげる❤,あなたが見惚れたこのおっぱいで挟んであげるね❤\nバカな男の子のエナジー、ぜーんぶ吸い取ってあげる❤
ふぅーん、おっぱいでしてほしいんだ❤\nサキュバスのおっぱいは気持ちいいよぉ❤\nたくさんズリズリしてエナジー吸いつくしてあげる❤,ふぅーん、おっぱいでしてほしいんだ❤\nサキュバスのおっぱいは気持ちいいよぉ❤\nたくさんズリズリしてエナジー吸いつくしてあげる❤
あは、わたしに上からまたがってほしいの？\nいいよ、上で腰を振って、あなたのことアンアン喘がせてあげる❤,あは、わたしに上からまたがってほしいの？\nいいよ、上で腰を振って、あなたのことアンアン喘がせてあげる❤
あん❤おっぱいがあなたの精液でいっぱい❤\nわたしのパイズリは気持ちよかった？マスターくんが\n吸い殺されるかもしれないのに、たっぷり楽しんじゃったね❤,あん❤おっぱいがあなたの精液でいっぱい❤\nわたしのパイズリは気持ちよかった？マスターくんが\n吸い殺されるかもしれないのに、たっぷり楽しんじゃったね❤
ふふ、エナジーもおいしい～❤\nこれで体力全回復❤他の男の子もみんなわたしがイかせてあげる❤,ふふ、エナジーもおいしい～❤\nこれで体力全回復❤他の男の子もみんなわたしがイかせてあげる❤
あん❤どぴゅどぴゅうってたくさん出てる❤\nわたしとのエッチ気持ちよかった？\nま、ナカには入ってないんだけど❤,あん❤どぴゅどぴゅうってたくさん出てる❤\nわたしとのエッチ気持ちよかった？\nま、ナカには入ってないんだけど❤
おねだりして勝手に負けちゃうような人、\nエッチのまねで十分だよね❤\nんふふ、エナジーおいしい～❤,おねだりして勝手に負けちゃうような人、\nエッチのまねで十分だよね❤\nんふふ、エナジーおいしい～❤
{使用カード}を守備。,{使用カード}を守備。
むむむ、思ったよりやるなぁ。男の子なのに…。,むむむ、思ったよりやるなぁ。男の子なのに…。
後ろで仲間が戦っているから負ける訳にはいかない？あはは、かっこいいセリフだけど…。,後ろで仲間が戦っているから負ける訳にはいかない？あはは、かっこいいセリフだけど…。
おちんちん、こんなにおっきくしてたら説得力ないなー、えいっ❤,おちんちん、こんなにおっきくしてたら説得力ないなー、えいっ❤
ほら、簡単に捕まえられちゃった❤勃起しているから動きがちぐはぐ♪ズボンの中パンパンだと動きづらいもんね。,ほら、簡単に捕まえられちゃった❤勃起しているから動きがちぐはぐ♪ズボンの中パンパンだと動きづらいもんね。
パイズリしてほしいからおっきくしてたんでしょ❤うりうりー❤,パイズリしてほしいからおっきくしてたんでしょ❤うりうりー❤
ううっ…❤そんなこと…❤,ううっ…❤そんなこと…❤
腰から溶けちゃいそうなぐらい気持ちいいでしょ？このままじっとしてて❤そうすれば望んだ通り、とっても気持ち良いパイズリをしてあげるからね❤,腰から溶けちゃいそうなぐらい気持ちいいでしょ？このままじっとしてて❤そうすれば望んだ通り、とっても気持ち良いパイズリをしてあげるからね❤
そんなー、人間の男に負けるなんて・・・。,そんなー、人間の男に負けるなんて・・・。
力が抜けちゃったね？なら、はじめるよー❤,力が抜けちゃったね？なら、はじめるよー❤
うはぁっ…❤❤,うはぁっ…❤❤
なさけない声、出ちゃったねー❤仲間がいるのに欲望に負けて受けるパイズリは気持ちいいー？,なさけない声、出ちゃったねー❤仲間がいるのに欲望に負けて受けるパイズリは気持ちいいー？
聞くまでもないかー❤こーんなに大きな喘ぎ声、でちゃってるもんねー❤,聞くまでもないかー❤こーんなに大きな喘ぎ声、でちゃってるもんねー❤
あうっ…❤あっ❤きもち、よすぎて…❤,あうっ…❤あっ❤きもち、よすぎて…❤
あはは、もうおっぱいにメロメロだね❤せっかく頑張ってわたしを追い詰めたのに、ざんねんでしたー❤,あはは、もうおっぱいにメロメロだね❤せっかく頑張ってわたしを追い詰めたのに、ざんねんでしたー❤
でもしょうがないよね❤男の子はおっきいおっぱいが大好きだもんね❤パイズリされたいよーって思うのが普通だもん♪,でもしょうがないよね❤男の子はおっきいおっぱいが大好きだもんね❤パイズリされたいよーって思うのが普通だもん♪
仲間の女の子が戦ってるのに欲望に負けちゃった❤わかるように大きな喘ぎ声、聞かせてあげたらー？,仲間の女の子が戦ってるのに欲望に負けちゃった❤わかるように大きな喘ぎ声、聞かせてあげたらー？
ちょっと！なにやってるのよ！早く抜け出しなさ・・・きゃあ！,ちょっと！なにやってるのよ！早く抜け出しなさ・・・きゃあ！
隙ありです❤,隙ありです❤
ほら、仲間の女の子がピンチだよ？助けてあげなくていいのかなー？,ほら、仲間の女の子がピンチだよ？助けてあげなくていいのかなー？
喘ぐばっかりで返事もできない❤なさけなーい❤これからもっと激しくしちゃうけどいつまで我慢できるかな❤,喘ぐばっかりで返事もできない❤なさけなーい❤これからもっと激しくしちゃうけどいつまで我慢できるかな❤
あうっ❤これっ❤これっ、だめっ❤,あうっ❤これっ❤これっ、だめっ❤
くすくす❤ダメなんて言ってるくせに腰が浮いてるよー❤ガチガチのおちんちん、もっと気持ち良くして欲しいんだよね？,くすくす❤ダメなんて言ってるくせに腰が浮いてるよー❤ガチガチのおちんちん、もっと気持ち良くして欲しいんだよね？
気持ちよくしてもらえるなら、後ろで戦ってる仲間のことなんてどうでもいいだ。マスターくん、さいてー❤そんな裏切りおちんちんに…。,気持ちよくしてもらえるなら、後ろで戦ってる仲間のことなんてどうでもいいだ。マスターくん、さいてー❤そんな裏切りおちんちんに…。
おもいっきりズリズリしてあげる❤ほら❤パンッ❤パンッ❤って、おっぱいを叩きつけるようなパイズリ❤,おもいっきりズリズリしてあげる❤ほら❤パンッ❤パンッ❤って、おっぱいを叩きつけるようなパイズリ❤
凄くおっきな喘ぎ声がでちゃってるね❤マスターくん、仲間の女の子になさけなーい声を聞かれながら、イっちゃえっ❤,凄くおっきな喘ぎ声がでちゃってるね❤マスターくん、仲間の女の子になさけなーい声を聞かれながら、イっちゃえっ❤
あっ、あああっ…❤,あっ、あああっ…❤
わー❤すごい量の射精。全然止まる気配がないよ。エナジーたっぷりの精液、たくさんでてるね♪,わー❤すごい量の射精。全然止まる気配がないよ。エナジーたっぷりの精液、たくさんでてるね♪
パイズリに負けちゃう裏切り射精。そんなに気持ち良かった？これで私の勝ち❤,パイズリに負けちゃう裏切り射精。そんなに気持ち良かった？これで私の勝ち❤
最後の最後で誘惑に負けちゃうマスターくんのお陰だよ。ざんねんでした❤,最後の最後で誘惑に負けちゃうマスターくんのお陰だよ。ざんねんでした❤
マスターとの絆があれば誘惑に負けることはない？あはは、かっこいいセリフだけど…。,マスターとの絆があれば誘惑に負けることはない？あはは、かっこいいセリフだけど…。
ほら、簡単に捕まえちゃった❤パイズリしてほしいからおっきくしてたんでしょ❤,ほら、簡単に捕まえちゃった❤パイズリしてほしいからおっきくしてたんでしょ❤
えー、じゃあなんでおっきくなってるのかなー❤こうやって挟んでるだけで、おちんちんガチガチになってるのに❤本当は期待してるんでしょ？ほら、おっぱいでぎゅ～❤,えー、じゃあなんでおっきくなってるのかなー❤こうやって挟んでるだけで、おちんちんガチガチになってるのに❤本当は期待してるんでしょ？ほら、おっぱいでぎゅ～❤
このままじっとしてて❤そうすれば望んだ通り、とっても気持ち良いパイズリをしてあげるから❤,このままじっとしてて❤そうすれば望んだ通り、とっても気持ち良いパイズリをしてあげるから❤
そんなー、私のおっぱいから逃れるなんて・・・。,そんなー、私のおっぱいから逃れるなんて・・・。
なさけない声、出ちゃったねー❤欲望に負けて受けるパイズリは気持ちいいー？,なさけない声、出ちゃったねー❤欲望に負けて受けるパイズリは気持ちいいー？
マスターとの絆があれば誘惑に負けない、なんて嘘ばっかり❤本当はパイズリされたかったって認めたら？,マスターとの絆があれば誘惑に負けない、なんて嘘ばっかり❤本当はパイズリされたかったって認めたら？
喘ぐばっかりで返事もできないね❤なさけなーい❤これからもっと激しくしちゃうけどいつまで我慢できるかな❤,喘ぐばっかりで返事もできないね❤なさけなーい❤これからもっと激しくしちゃうけどいつまで我慢できるかな❤
あーあ❤何度も頷いちゃってなさけなーい❤マスターとの絆なんてやっぱり嘘だったんだ❤,あーあ❤何度も頷いちゃってなさけなーい❤マスターとの絆なんてやっぱり嘘だったんだ❤
なら、おもいっきりズリズリしてあげる❤ほら❤パンッ❤パンッ❤って、おっぱいを叩きつけるようなパイズリ❤,なら、おもいっきりズリズリしてあげる❤ほら❤パンッ❤パンッ❤って、おっぱいを叩きつけるようなパイズリ❤
凄くおっきな喘ぎ声がでちゃってるね❤マスターくんとの絆なんて捨てて、イっちゃえっ❤,凄くおっきな喘ぎ声がでちゃってるね❤マスターくんとの絆なんて捨てて、イっちゃえっ❤
キミのお陰で傷も治ったし、仕切り直しだね❤次は誰の精液を貰っちゃおうかなー♪,キミのお陰で傷も治ったし、仕切り直しだね❤次は誰の精液を貰っちゃおうかなー♪
マスターとの絆があれば誘惑に負けることはない？あはは、さっき負けちゃった人も同じこと言ってたけど…。,マスターとの絆があれば誘惑に負けることはない？あはは、さっき負けちゃった人も同じこと言ってたけど…。
キミもおちんちん、こんなにおっきくしてたら説得力ないなー、えいっ❤,キミもおちんちん、こんなにおっきくしてたら説得力ないなー、えいっ❤
ほら、簡単に捕まえちゃった❤パイズリしてほしいからおっきくしてたんでしょ❤それとも仲間がパイズリされてるのを見て羨ましくなっちゃった？,ほら、簡単に捕まえちゃった❤パイズリしてほしいからおっきくしてたんでしょ❤それとも仲間がパイズリされてるのを見て羨ましくなっちゃった？
えー、じゃあなんでおっきくなってるのかなー❤こうやって挟んでるだけで、おちんちんガチガチになってるのに❤キミも本当は期待してるんでしょ？ほら、おっぱいでぎゅ～❤,えー、じゃあなんでおっきくなってるのかなー❤こうやって挟んでるだけで、おちんちんガチガチになってるのに❤キミも本当は期待してるんでしょ？ほら、おっぱいでぎゅ～❤
このままじっとしてて❤そうすればさっきの人と同じように、とっても気持ち良いパイズリをしてあげるから❤,このままじっとしてて❤そうすればさっきの人と同じように、とっても気持ち良いパイズリをしてあげるから❤
気持ちよさそーな声、出ちゃったねー❤やっぱり羨ましかったんだ❤どーお？わたしのパイズリは気持ちいいー？,気持ちよさそーな声、出ちゃったねー❤やっぱり羨ましかったんだ❤どーお？わたしのパイズリは気持ちいいー？
あはは、もうおっぱいにメロメロだね❤キミもせっかく頑張ってわたしを追い詰めたのに、ざんねんでしたー❤,あはは、もうおっぱいにメロメロだね❤キミもせっかく頑張ってわたしを追い詰めたのに、ざんねんでしたー❤
マスターとの絆があれば誘惑に負けない、なんてやっぱり嘘なんだよ❤パイズリされたいって素直に言ったら？,マスターとの絆があれば誘惑に負けない、なんてやっぱり嘘なんだよ❤パイズリされたいって素直に言ったら？
喘ぐばっかりで返事もできないんだ❤なさけないねー❤これからもっと激しくしちゃうけどいつまで我慢できるかな❤,喘ぐばっかりで返事もできないんだ❤なさけないねー❤これからもっと激しくしちゃうけどいつまで我慢できるかな❤
あーあ❤何度も頷いちゃって❤素直になれてえらいねー。マスターとの絆なんて嘘だって証明できたね❤,あーあ❤何度も頷いちゃって❤素直になれてえらいねー。マスターとの絆なんて嘘だって証明できたね❤
ほら、おもいっきりズリズリしてあげる❤パンッ❤パンッ❤って、おっぱいを叩きつけるようなパイズリだよ❤,ほら、おもいっきりズリズリしてあげる❤パンッ❤パンッ❤って、おっぱいを叩きつけるようなパイズリだよ❤
凄くおっきな喘ぎ声がでちゃってるね❤マスターくんのことなんて忘れて、イっちゃえっ❤,凄くおっきな喘ぎ声がでちゃってるね❤マスターくんのことなんて忘れて、イっちゃえっ❤
わー❤キミもすごい量。全然止まる気配がないよ。エナジーたっぷりの精液、たくさんでてるね♪,わー❤キミもすごい量。全然止まる気配がないよ。エナジーたっぷりの精液、たくさんでてるね♪
キミのお陰でまた傷も治ったし、まだまだ戦えそう❤次は誰の精液を貰っちゃおうかなー♪,キミのお陰でまた傷も治ったし、まだまだ戦えそう❤次は誰の精液を貰っちゃおうかなー♪
ううっ・・・。,ううっ・・・。
あは❤わたしの大きいおっぱい見てたら我慢できなくなっちゃった？,あは❤わたしの大きいおっぱい見てたら我慢できなくなっちゃった？
我慢なんてする必要ないんだよー？おっぱい見ながら好きなだけシコシコしていいの❤ ほら、片手だけじゃなくて両手でおちんちん握って、シコシコ❤シコシコ❤,我慢なんてする必要ないんだよー？おっぱい見ながら好きなだけシコシコしていいの❤ ほら、片手だけじゃなくて両手でおちんちん握って、シコシコ❤シコシコ❤
あ、ああっ…❤,あ、ああっ…❤
本当に始めちゃった❤なさけなーい❤ちょろすぎー❤後ろで仲間が戦ってるのにいいのかなー？おーい、そっちのマスターさん聞こえるー？くすくす❤,本当に始めちゃった❤なさけなーい❤ちょろすぎー❤後ろで仲間が戦ってるのにいいのかなー？おーい、そっちのマスターさん聞こえるー？くすくす❤
へ！？あんた、ちょっとなにやってるのよ！サキュバス相手に死ぬ気なの！？,へ！？あんた、ちょっとなにやってるのよ！サキュバス相手に死ぬ気なの！？
あの子もああ言ってるよ？それでも止められないんだ❤,あの子もああ言ってるよ？それでも止められないんだ❤
サキュバス相手に自滅オナニー。自分だけじゃなくて仲間のことも危険にさらしちゃう裏切りシコシコ❤気持ちいいもんねー❤,サキュバス相手に自滅オナニー。自分だけじゃなくて仲間のことも危険にさらしちゃう裏切りシコシコ❤気持ちいいもんねー❤
人間の男ってほんとおもしろい❤ほらぁ、もっと止められなくしてあげる❤,人間の男ってほんとおもしろい❤ほらぁ、もっと止められなくしてあげる❤
はあ、はぁっ…❤うぅ…❤,はあ、はぁっ…❤うぅ…❤
わたしの胸の谷間❤チョロマゾマスターくんには刺激が強すぎるかなー❤,わたしの胸の谷間❤チョロマゾマスターくんには刺激が強すぎるかなー❤
あは、手のしごく速さあがってるー❤いいよー、その調子でシコシコしようね❤後ろの仲間にぐちゅぐちゅ音が聞こえるくらい激しくして❤,あは、手のしごく速さあがってるー❤いいよー、その調子でシコシコしようね❤後ろの仲間にぐちゅぐちゅ音が聞こえるくらい激しくして❤
だめっ、早く正気に戻って！その手を止めるのよ！くっ！,だめっ、早く正気に戻って！その手を止めるのよ！くっ！
あらら、よそ見しているからスライムちゃんの攻撃をくらっちゃった。お仲間のマスターさん、かわいそー❤,あらら、よそ見しているからスライムちゃんの攻撃をくらっちゃった。お仲間のマスターさん、かわいそー❤
くすくす❤それでも手止まらないんだ。おっぱい見ながらシコシコ気持ちいい❤夢中になりすぎて仲間の声も聞こえてない❤,くすくす❤それでも手止まらないんだ。おっぱい見ながらシコシコ気持ちいい❤夢中になりすぎて仲間の声も聞こえてない❤
特別サービスだよ❤谷間に集中して、じっと見つめて❤ほらほらほら❤,特別サービスだよ❤谷間に集中して、じっと見つめて❤ほらほらほら❤
あっ❤あっ❤もう…❤,あっ❤あっ❤もう…❤
あはは、よわよわおちんちん気持ちいいね❤早くシコシコしないと谷間が見えなくなっちゃうぞー❤,あはは、よわよわおちんちん気持ちいいね❤早くシコシコしないと谷間が見えなくなっちゃうぞー❤
って、もうどうせ射精しちゃうか❤ほら、谷間にだしていいよー❤マスターくんのエナジー、わたしのおっぱいに捧げちゃお❤,って、もうどうせ射精しちゃうか❤ほら、谷間にだしていいよー❤マスターくんのエナジー、わたしのおっぱいに捧げちゃお❤
ほら❤谷間をゆさゆさゆさ❤ちゃ～んと谷間を狙って❤精液、だして❤,ほら❤谷間をゆさゆさゆさ❤ちゃ～んと谷間を狙って❤精液、だして❤
はひぃっ…❤,はひぃっ…❤
あはは❤すごい量❤後ろで仲間が戦ってるのに、裏切りオナニー❤気持ち良かった？マスターくん❤,あはは❤すごい量❤後ろで仲間が戦ってるのに、裏切りオナニー❤気持ち良かった？マスターくん❤
谷間を見せてるだけなのに、勝手にシコシコしてエナジーを捧げてくれるなんて、本当にチョロい❤,谷間を見せてるだけなのに、勝手にシコシコしてエナジーを捧げてくれるなんて、本当にチョロい❤
