default
爆乳バニー,爆乳兔女郎
心のバリアを解いて、\nバニーガールの全力パイズリ受けてどうだった？\n脳みそどろどろになっちゃうぐらい気持ちよかった？,心のバリアを解いて、\nバニーガールの全力パイズリ受けてどうだった？\n脳みそどろどろになっちゃうぐらい気持ちよかった？
ほら、たっぷり声をあげながら射精しなさい❤\n周りの仲間によく聞こえるように、\nたくさん喘いでおっぱいに出しちゃいなさい❤,ほら、たっぷり声をあげながら射精しなさい❤\n周りの仲間によく聞こえるように、\nたくさん喘いでおっぱいに出しちゃいなさい❤
ぱちゅんぱちゅんって音がなるように激しくしてあげる❤\nわたしのおっぱいに負けちゃえ❤\n強いマスターくん❤,ぱちゅんぱちゅんって音がなるように激しくしてあげる❤\nわたしのおっぱいに負けちゃえ❤\n強いマスターくん❤
ぱちゅんぱちゅんって音がなるように激しくしてあげる❤\nわたしのおっぱいに負けちゃえ❤\n強いモンスターくん❤,ぱちゅんぱちゅんって音がなるように激しくしてあげる❤\nわたしのおっぱいに負けちゃえ❤\n強いモンスターくん❤
あぎぃっ❤❤あへぇっ、あっ❤ああっ❤❤でるぅっ❤❤,あぎぃっ❤❤あへぇっ、あっ❤ああっ❤❤でるぅっ❤❤
はへぇっ・・❤❤,はへぇっ・・❤❤
くす❤あっという間におっぱいで陥落ね❤\n強い強いマスターくんが、\nアヘアへのとろけがおになっちゃった❤,くす❤あっという間におっぱいで陥落ね❤\n強い強いマスターくんが、\nアヘアへのとろけがおになっちゃった❤
ちゃんと強い意志を持たないとダメよ？\nま、Ｃランクの男マスターたちもみんなこのおっぱいに負けちゃったけど❤\nくすくす❤,ちゃんと強い意志を持たないとダメよ？\nま、Ｃランクの男マスターたちもみんなこのおっぱいに負けちゃったけど❤\nくすくす❤
くす❤あっという間におっぱいで陥落ね❤\n強い強いモンスターくんが、\nアヘアへのとろけがおになっちゃった❤,くす❤あっという間におっぱいで陥落ね❤\n強い強いモンスターくんが、\nアヘアへのとろけがおになっちゃった❤
今の声を聞いてたら、他の人も興味が出ちゃうでしょう？\nって、うふふ❤みんな前かがみになっちゃってる❤\nかわいい反応するのね❤,今の声を聞いてたら、他の人も興味が出ちゃうでしょう？\nって、うふふ❤みんな前かがみになっちゃってる❤\nかわいい反応するのね❤
あぁん❤上級モンスターのわたしを追い詰めるなんて、\nあなたもとっても強いのね❤,あぁん❤上級モンスターのわたしを追い詰めるなんて、\nあなたもとっても強いのね❤
強い相手ばっかりで、さすがは無敗のルーキーくんって感じだわ。\nでも、あなたもさっきの人と同じ末路をたどるのよ❤,強い相手ばっかりで、さすがは無敗のルーキーくんって感じだわ。\nでも、あなたもさっきの人と同じ末路をたどるのよ❤
ほらぁ、つよーいあなたに特別サービス❤\nVIPルームでしかやっていない、パイズリご奉仕してあげる❤,ほらぁ、つよーいあなたに特別サービス❤\nVIPルームでしかやっていない、パイズリご奉仕してあげる❤
くす❤パイズリって聞いて、\nチンポ反応しちゃってる❤,くす❤パイズリって聞いて、\nチンポ反応しちゃってる❤
さっきの人の見てたものね。喘ぎ声を抑えられなくなって、\nとろとろの蕩け顔にされちゃう爆乳パイズリ❤\nあなたもされてみたいんでしょ？,さっきの人の見てたものね。喘ぎ声を抑えられなくなって、\nとろとろの蕩け顔にされちゃう爆乳パイズリ❤\nあなたもされてみたいんでしょ？
ほら見てぇん❤\n両手でぎゅって押し上げて、ずりずりずり❤,ほら見てぇん❤\n両手でぎゅって押し上げて、ずりずりずり❤
ほらぁん、そのまま見とれてなさい❤\nゆっくりおっぱいをおろしてチンポを谷間の中に入れてあげる❤\n天国をたっぷり味合うといいわ❤,ほらぁん、そのまま見とれてなさい❤\nゆっくりおっぱいをおろしてチンポを谷間の中に入れてあげる❤\n天国をたっぷり味合うといいわ❤
パイズリに負けた自分のモンスターがうらやましくて、\n自分も攻撃をやめちゃう、わるぅいマスターくん❤\nずりずりされたくて、ずっとチンポ我慢してたのかしら❤,パイズリに負けた自分のモンスターがうらやましくて、\n自分も攻撃をやめちゃう、わるぅいマスターくん❤\nずりずりされたくて、ずっとチンポ我慢してたのかしら❤
それでは、VIPルームサービスのお時間で～す❤\n当カジノ最高のご奉仕をお楽しみくださぁい❤\nうふぅん❤,それでは、VIPルームサービスのお時間で～す❤\n当カジノ最高のご奉仕をお楽しみくださぁい❤\nうふぅん❤
腰が落ちるのに合わせて、おっぱいも上からだっぱん❤急降下♪\nチンポをずりゅうって、しごいてあげちゃう❤,腰が落ちるのに合わせて、おっぱいも上からだっぱん❤急降下♪\nチンポをずりゅうって、しごいてあげちゃう❤
さっき仲間が喘いでた理由が分かった？\n男が抗えるはずない、圧倒的な気持ちよさでしょ？\nほらほらほらぁ❤,さっき仲間が喘いでた理由が分かった？\n男が抗えるはずない、圧倒的な気持ちよさでしょ？\nほらほらほらぁ❤
あはん❤わたしを追い詰めたくせに、もう出しちゃうの？\nほんと男ってパイズリによわぁい❤,あはん❤わたしを追い詰めたくせに、もう出しちゃうの？\nほんと男ってパイズリによわぁい❤
マスターなんだからちゃんと強い意志を持たないとダメよ？\nま、このおっぱいに挟まれて耐えられた男っていないんだけど❤\nくすくす❤,マスターなんだからちゃんと強い意志を持たないとダメよ？\nま、このおっぱいに挟まれて耐えられた男っていないんだけど❤\nくすくす❤
くす❤あなたもあっという間におっぱいで陥落ね❤\n強い強いモンスターくんが、\nアヘアへのとろけがおになっちゃった❤,くす❤あなたもあっという間におっぱいで陥落ね❤\n強い強いモンスターくんが、\nアヘアへのとろけがおになっちゃった❤
こんなに何人も仲間がやられてたら、みんなムラムラしちゃうわよね？\nうふふ❤ガチガチに勃起させて前かがみになっちゃってる❤\nそんな状態で勝てるのかしら❤,こんなに何人も仲間がやられてたら、みんなムラムラしちゃうわよね？\nうふふ❤ガチガチに勃起させて前かがみになっちゃってる❤\nそんな状態で勝てるのかしら❤
くす❤おっぱいを乗せられただけで負けちゃうなんて、\nとっても恥ずかしい負け方ね❤,くす❤おっぱいを乗せられただけで負けちゃうなんて、\nとっても恥ずかしい負け方ね❤
期待のルーキーなんて呼ばれてるのに、\nシコシコして自滅して、結局はただのスケベな男❤\nくすくす❤理性よわぁい❤,期待のルーキーなんて呼ばれてるのに、\nシコシコして自滅して、結局はただのスケベな男❤\nくすくす❤理性よわぁい❤
くす❤オナニー気持ちよかったかしら？\n勝手に自滅しちゃった、スケベなマスターくん❤\nくすくす❤,くす❤オナニー気持ちよかったかしら？\n勝手に自滅しちゃった、スケベなマスターくん❤\nくすくす❤
うふふ❤まだ顔がとろーんってしてる❤\nパイズリされてよっぽど幸せだったみたいね❤\nくすくす❤,うふふ❤まだ顔がとろーんってしてる❤\nパイズリされてよっぽど幸せだったみたいね❤\nくすくす❤
あは、ぱふぱふされただけで射精しちゃったんだ～❤\nマスターくん、ちょろーい❤\nくすくす❤,あは、ぱふぱふされただけで射精しちゃったんだ～❤\nマスターくん、ちょろーい❤\nくすくす❤
ふふ、おっぱい乗せて甘くささやかれて、\nそれで射精しちゃうなんて、\nずいぶん早漏なのね❤チンポよわぁい❤,ふふ、おっぱい乗せて甘くささやかれて、\nそれで射精しちゃうなんて、\nずいぶん早漏なのね❤チンポよわぁい❤
胸がとびきり大きいバニーガールに負けた僕は、エナジーを吸われて闘技場の地面に膝をついていた。,胸がとびきり大きいバニーガールに負けた僕は、エナジーを吸われて闘技場の地面に膝をついていた。
決着ー！！勝者は{自分プレイヤー}選手！,決着ー！！勝者は{自分プレイヤー}選手！
バニーガールの上級モンスターを前にして、\n期待のルーキーもついに陥落！\n男ではやはりキャミー選手には勝てないのか！,バニーガールの上級モンスターを前にして、\n期待のルーキーもついに陥落！\n男ではやはりキャミー選手には勝てないのか！
おおっと、ふらふらとしながら\n{主人公}選手立ち上がろうとしています！\nしかし、そこにバニーモンスターが覆いかぶさる！,おおっと、ふらふらとしながら\n{主人公}選手立ち上がろうとしています！\nしかし、そこにバニーモンスターが覆いかぶさる！
ああ、がっちり膝上パイズリの体勢に持ち込まれてしまいました！\n果たしてルーキーはここから逃げ出すことができるのでしょうか！,ああ、がっちり膝上パイズリの体勢に持ち込まれてしまいました！\n果たしてルーキーはここから逃げ出すことができるのでしょうか！
うふふ❤盛り上がってるところ悪いけれど、\nわたしのパイズリから逃げられる男の子なんていないわ❤,うふふ❤盛り上がってるところ悪いけれど、\nわたしのパイズリから逃げられる男の子なんていないわ❤
それも一回射精しちゃって魔力のバリアが張れなくなったあなたじゃ、\n絶対にこの快感から逃げられない❤\nね、そうでしょ？ほらほらほら❤,それも一回射精しちゃって魔力のバリアが張れなくなったあなたじゃ、\n絶対にこの快感から逃げられない❤\nね、そうでしょ？ほらほらほら❤
はひぃっ・・・❤❤きもちいいっ❤❤おっぱいぃ・・・❤❤,はひぃっ・・・❤❤きもちいいっ❤❤おっぱいぃ・・・❤❤
くすくす❤チンポだぱんだぱんってしごかれて、\nすっかり夢見心地ね❤,くすくす❤チンポだぱんだぱんってしごかれて、\nすっかり夢見心地ね❤
すごいでしょう？わたしのおっぱい❤\n大きすぎて柔らかすぎるから、チンポをぱふぱふするだけで\n普通のパイズリよりもずっと気持ちよくできちゃうの❤,すごいでしょう？わたしのおっぱい❤\n大きすぎて柔らかすぎるから、チンポをぱふぱふするだけで\n普通のパイズリよりもずっと気持ちよくできちゃうの❤
昇格戦をしてたことなんて、もう頭の中にない❤\nあるのはわたしのパイズリで気持ちよくなることだけ❤,昇格戦をしてたことなんて、もう頭の中にない❤\nあるのはわたしのパイズリで気持ちよくなることだけ❤
ほら、まだ１分もパイズリしていないのに、\nチンポが射精の準備始めちゃってる。\nわたしの気持ちよすぎるパイズリに降参しようとしちゃってる❤,ほら、まだ１分もパイズリしていないのに、\nチンポが射精の準備始めちゃってる。\nわたしの気持ちよすぎるパイズリに降参しようとしちゃってる❤
いいのよ、出しても❤\nもう失うものなんてないわ。\nあってもプライドぐらいかしら。,いいのよ、出しても❤\nもう失うものなんてないわ。\nあってもプライドぐらいかしら。
みんなが見てる前で、\nおねえさんに一方的にパイズリで喘がされちゃえば、\nあなたの誇りはボロボロ❤恥ずかしくて街を歩けなくなっちゃう。,みんなが見てる前で、\nおねえさんに一方的にパイズリで喘がされちゃえば、\nあなたの誇りはボロボロ❤恥ずかしくて街を歩けなくなっちゃう。
でも別にいいでしょう？\nだって、ほら、こんなに気持ちいいんですもの❤\n爆乳をぎゅって寄せて、小刻みにたぱたぱたぱ♪,でも別にいいでしょう？\nだって、ほら、こんなに気持ちいいんですもの❤\n爆乳をぎゅって寄せて、小刻みにたぱたぱたぱ♪
あっあっ、それダメぇ…❤でる、でちゃうっ❤❤,あっあっ、それダメぇ…❤でる、でちゃうっ❤❤
はぁーい、２本目お射精、イッちゃいまぁす❤\n谷間の中で、どぴゅどぴゅ～❤\nくすくす❤,はぁーい、２本目お射精、イッちゃいまぁす❤\n谷間の中で、どぴゅどぴゅ～❤\nくすくす❤
あへぇあっ・・・❤,あへぇあっ・・・❤
うふふ❤まだまだどんどん行くわよ。,うふふ❤まだまだどんどん行くわよ。
次は乳圧高めにして、\nぱふぅんってしながら搾り取ってあげる❤,次は乳圧高めにして、\nぱふぅんってしながら搾り取ってあげる❤
チンポの中から強制的に精液搾り取られて、\n全身をつよーい快感が走り回って、\nきっと天国みたいに気持ちいいわ❤,チンポの中から強制的に精液搾り取られて、\n全身をつよーい快感が走り回って、\nきっと天国みたいに気持ちいいわ❤
あぐっ、あぎぃっ❤❤あへぇえっ❤❤❤,あぐっ、あぎぃっ❤❤あへぇえっ❤❤❤
ふふ、変な喘ぎ声❤\n男の子がただのバニーガールにこんなに喘がされて、\nとってもカッコ悪いわ❤,ふふ、変な喘ぎ声❤\n男の子がただのバニーガールにこんなに喘がされて、\nとってもカッコ悪いわ❤
魔力の大きさとか、筋力の強さとか何も関係ないのよね。\nおっぱいが大きければ、それが男の子相手には一番強い❤\n新進気鋭のルーキーくんも簡単に骨抜きにできちゃう❤,魔力の大きさとか、筋力の強さとか何も関係ないのよね。\nおっぱいが大きければ、それが男の子相手には一番強い❤\n新進気鋭のルーキーくんも簡単に骨抜きにできちゃう❤
あは、うそ、もうチンポ膨らんできた❤\nまだ３０秒ぐらいよ？３回目なのに、\nそんなにすぐ出しちゃうんだ❤,あは、うそ、もうチンポ膨らんできた❤\nまだ３０秒ぐらいよ？３回目なのに、\nそんなにすぐ出しちゃうんだ❤
わたしのパイズリ、よっぽど気に行ってくれたみたいね。\nあなたのチンポすっかりわたしのおっぱいにメロメロみたい❤,わたしのパイズリ、よっぽど気に行ってくれたみたいね。\nあなたのチンポすっかりわたしのおっぱいにメロメロみたい❤
ねえ、どうなの？あなたはわたしのおっぱい好き？\n敵のモンスターだけど、\nこのおっぱいでずっとずっといじめてほしい？,ねえ、どうなの？あなたはわたしのおっぱい好き？\n敵のモンスターだけど、\nこのおっぱいでずっとずっといじめてほしい？
あひぃっ、ああっ、すき、すきだからぁ❤❤,あひぃっ、ああっ、すき、すきだからぁ❤❤
もっと、もっとぉ・・・❤❤ずっと、やめないでぇ❤ああっ・・・❤,もっと、もっとぉ・・・❤❤ずっと、やめないでぇ❤ああっ・・・❤
だいじょうぶよ。30秒で射精しても、\nそのあともずっとぱふぱふパイズリしてあげる❤,だいじょうぶよ。30秒で射精しても、\nそのあともずっとぱふぱふパイズリしてあげる❤
あなたのエナジーおいしいから、\nカラカラになるまで搾りとってあげるわ❤,あなたのエナジーおいしいから、\nカラカラになるまで搾りとってあげるわ❤
それじゃ、愛の告白ももらったところで、\n３発目イっちゃいましょうか。\n根元にぎゅうぅって押し付けてぇ・・・❤,それじゃ、愛の告白ももらったところで、\n３発目イっちゃいましょうか。\n根元にぎゅうぅって押し付けてぇ・・・❤
中身を搾りだすみたいに、\n先っぽまでゆっくりあげて、むぎゅむぎゅう～❤,中身を搾りだすみたいに、\n先っぽまでゆっくりあげて、むぎゅむぎゅう～❤
はひぃっ、あっ、ああっ、でるぅ❤❤,はひぃっ、あっ、ああっ、でるぅ❤❤
あはんとっても濃いわ❤\nおっぱいの中がもっともっとぐちゅぐちゅになっちゃう❤,あはんとっても濃いわ❤\nおっぱいの中がもっともっとぐちゅぐちゅになっちゃう❤
すべりがよくなったおっぱいで、ほら、ほら❤\n気絶するまで\nわたしのパイズリサービス楽しんでねー❤,すべりがよくなったおっぱいで、ほら、ほら❤\n気絶するまで\nわたしのパイズリサービス楽しんでねー❤
{自分}にカラカラになるまで搾り取られた僕は、そのまま闘技場の医務室のベッドに運び込まれた。,{自分}にカラカラになるまで搾り取られた僕は、そのまま闘技場の医務室のベッドに運び込まれた。
気絶から目を覚ますと、布団の上に「VIPサービス請求書」と書かれた紙が置かれていた。目が飛び出るほどの金額が書かれたその紙を見て、ふざけるなと僕はふつふつと怒りを覚えたが・・・。,気絶から目を覚ますと、布団の上に「VIPサービス請求書」と書かれた紙が置かれていた。目が飛び出るほどの金額が書かれたその紙を見て、ふざけるなと僕はふつふつと怒りを覚えたが・・・。
それから数日後,それから数日後
は～い、ひさしぶりね。マゾマスター❤\nサービス代の徴収に来たわ。,は～い、ひさしぶりね。マゾマスター❤\nサービス代の徴収に来たわ。
え？そんなもの払うわけがないって？\nふーん。そう❤,え？そんなもの払うわけがないって？\nふーん。そう❤
＜{自分}＞を召喚。,＜{自分}＞を召喚。
あはん、会いたかったわ、マスターくん❤,あはん、会いたかったわ、マスターくん❤
マスターくぅん❤おねがぁい❤\nお金払ってぇ❤\nぱふぱふってしながら説得してあげるからぁ❤,マスターくぅん❤おねがぁい❤\nお金払ってぇ❤\nぱふぱふってしながら説得してあげるからぁ❤
はぐっ、や、やめ…❤❤,はぐっ、や、やめ…❤❤
ええ～？やめていいの？\nあなたの大好きなおっぱいだよ？\nほらぁ、ぱふぱふ～❤,ええ～？やめていいの？\nあなたの大好きなおっぱいだよ？\nほらぁ、ぱふぱふ～❤
あっ、ああっ、これダメぇ・・・❤❤あひぃっ・・・❤,あっ、ああっ、これダメぇ・・・❤❤あひぃっ・・・❤
バニーガールのぱふぱふサービスを５分間ほど受けた僕は、すっかりふにゃふにゃの骨抜きにされてしまった。,バニーガールのぱふぱふサービスを５分間ほど受けた僕は、すっかりふにゃふにゃの骨抜きにされてしまった。
谷間から解放された時には、目にハートを浮かべ、バニーガールに向かって好きという言葉をうわごとのように繰り返している始末。,谷間から解放された時には、目にハートを浮かべ、バニーガールに向かって好きという言葉をうわごとのように繰り返している始末。
脳はしびれたように何も考えられず、気が付けば彼女に言われるがまま、サービス代と称する高額なお金も払ってしまっていた。,脳はしびれたように何も考えられず、気が付けば彼女に言われるがまま、サービス代と称する高額なお金も払ってしまっていた。
そうそう。払うお金はここに入れるのよ。\n谷間の中にずぼってお金をさしこんじゃうの❤,そうそう。払うお金はここに入れるのよ。\n谷間の中にずぼってお金をさしこんじゃうの❤
あはぁん❤よくできました～❤\nくすくす❤お金を取られたのにそんな蕩け顔しちゃって、\nおっぱいの感触が気持ちよかった？,あはぁん❤よくできました～❤\nくすくす❤お金を取られたのにそんな蕩け顔しちゃって、\nおっぱいの感触が気持ちよかった？
それとも、好きな女の子に貢ぐことに幸福感を覚えちゃったのかしら❤\nわたしにはまって、もっともっと貢いでくれると、\nとってもうれしいわ❤,それとも、好きな女の子に貢ぐことに幸福感を覚えちゃったのかしら❤\nわたしにはまって、もっともっと貢いでくれると、\nとってもうれしいわ❤
チップをもらった分、ちょっとサービスしてあげる❤\nまずはマスターくんのほっぺに、ちゅっ❤,チップをもらった分、ちょっとサービスしてあげる❤\nまずはマスターくんのほっぺに、ちゅっ❤
そして、おちんちんに・・・♪\n３回だけ、ぱふぱふぱふ❤,そして、おちんちんに・・・♪\n３回だけ、ぱふぱふぱふ❤
あっ、あっ、ああっ❤すき、すきぃっ・・・❤❤❤,あっ、あっ、ああっ❤すき、すきぃっ・・・❤❤❤
こうしてバニーガールの与えてくれる快楽にすっかりはまってしまった僕は、それ以降自分からキャミーのもとにお金を貢ぎに行くようになってしまった。,こうしてバニーガールの与えてくれる快楽にすっかりはまってしまった僕は、それ以降自分からキャミーのもとにお金を貢ぎに行くようになってしまった。
お金を貢いでも毎回{自分}を召喚してもらえるわけではない。レアカードを渡したり、おいしいお菓子を渡したりしてキャミーの機嫌がいいときだけ召喚してもらえる。そんな素っ気ない対応をされても、僕は{自分}の胸の感触が忘れられず、何度も何度も金品を貢ぎ続けた。,お金を貢いでも毎回{自分}を召喚してもらえるわけではない。レアカードを渡したり、おいしいお菓子を渡したりしてキャミーの機嫌がいいときだけ召喚してもらえる。そんな素っ気ない対応をされても、僕は{自分}の胸の感触が忘れられず、何度も何度も金品を貢ぎ続けた。
せいぜい５回に１回だろうか、たまに召喚してもらえたときは、{自分}にたっぷり魔力を搾り取ってもらった。ぱふぱふやパイズリはもちろん、授乳手コキのようなこともしてもらえて、僕はますます彼女にのめりこんでいった。,せいぜい５回に１回だろうか、たまに召喚してもらえたときは、{自分}にたっぷり魔力を搾り取ってもらった。ぱふぱふやパイズリはもちろん、授乳手コキのようなこともしてもらえて、僕はますます彼女にのめりこんでいった。
彼女が与えてくれる快感はあまりに甘美で、とてもこの先彼女から離れられそうにない。修行もおろそかになり、ただ彼女に貢ぐことだけを考えて有り金も時間もすべて費やしてしまうようになった。,彼女が与えてくれる快感はあまりに甘美で、とてもこの先彼女から離れられそうにない。修行もおろそかになり、ただ彼女に貢ぐことだけを考えて有り金も時間もすべて費やしてしまうようになった。
当然、そんな状態で戦績を残せるはずもなく、無敗だったこれまでとは対照的に、Dランクのふつうのマスターにすら全く勝てなくなってしまった。,当然、そんな状態で戦績を残せるはずもなく、無敗だったこれまでとは対照的に、Dランクのふつうのマスターにすら全く勝てなくなってしまった。
Aランクになって妹を助けに行くという目的を忘れ、ただただ女性モンスターに入れ込み無為に時間を使う日々。こうして僕の冒険は、バニーガールの貢ぎ奴隷としてその幕を閉じたのだった。,Aランクになって妹を助けに行くという目的を忘れ、ただただ女性モンスターに入れ込み無為に時間を使う日々。こうして僕の冒険は、バニーガールの貢ぎ奴隷としてその幕を閉じたのだった。
くすくす❤反応がかわいい～❤\n{ランク名}ランクになってもまだ女の子のおっぱいでそんな反応しちゃうんだ❤,くすくす❤反応がかわいい～❤\n{ランク名}ランクになってもまだ女の子のおっぱいでそんな反応しちゃうんだ❤
うふふ❤なぁに？\n勝負の途中なのに、\nわたしにおねだりしちゃうんだ。,うふふ❤なぁに？\n勝負の途中なのに、\nわたしにおねだりしちゃうんだ。
昇格戦で勝てた相手なのに、\nただエロいだけのバニーガールの前で、チンポしこしこしこ❤,昇格戦で勝てた相手なのに、\nただエロいだけのバニーガールの前で、チンポしこしこしこ❤
あなたのマスターが恥をかくことになるのに、\nただエロいだけのバニーガールの前で、チンポしこしこしこ❤,あなたのマスターが恥をかくことになるのに、\nただエロいだけのバニーガールの前で、チンポしこしこしこ❤
もっとぱふぱふしてぇ…❤,もっとぱふぱふしてぇ…❤
そ、そんな誘惑には乗らない！,そ、そんな誘惑には乗らない！
理性を振り絞って攻撃した,理性を振り絞って攻撃した
身動きできなくなってしまった,身動きできなくなってしまった
