default
淫魔化キャロル,魅魔卡蘿兒
ふらふらになってるアンタなんてたいして役に立たないだろうけど、\nせめて一太刀仲間に攻撃してね？\n分かった？ほら、おっぱいゆさゆさ～❤,ふらふらになってるアンタなんてたいして役に立たないだろうけど、\nせめて一太刀仲間に攻撃してね？\n分かった？ほら、おっぱいゆさゆさ～❤
はひぃっ、がんばりますっ❤おっぱい、おっぱいぃ・・・❤,はひぃっ、がんばりますっ❤おっぱい、おっぱいぃ・・・❤
きゃはは、脳みそおっぱいに支配されてあわれだねー❤\n男がサキュバスのおっぱいに勝てるわけないって分かった？\nザーコ❤,きゃはは、脳みそおっぱいに支配されてあわれだねー❤\n男がサキュバスのおっぱいに勝てるわけないって分かった？\nザーコ❤
あは、そんなふらふらの攻撃じゃ当たらないよ❤\nアンタ、おっぱいが弱点だもんね❤\n強がってるけど爆乳見せつけられて理性が限界なんでしょ？,あは、そんなふらふらの攻撃じゃ当たらないよ❤\nアンタ、おっぱいが弱点だもんね❤\n強がってるけど爆乳見せつけられて理性が限界なんでしょ？
チンポギンギンにさせて、へっぴり腰で攻撃して、\nきゃはは、すっごく間抜け❤\nアンタが追いつけない遠くから、エアパイズリで挑発してあげる❤,チンポギンギンにさせて、へっぴり腰で攻撃して、\nきゃはは、すっごく間抜け❤\nアンタが追いつけない遠くから、エアパイズリで挑発してあげる❤
うりうり～、おっぱいゆさゆさ❤ばるんばるん❤\n攻撃したけりゃここまでおいで～❤\nフル勃起のおっぱいマゾ❤前かがみでまともに歩けないねー❤,うりうり～、おっぱいゆさゆさ❤ばるんばるん❤\n攻撃したけりゃここまでおいで～❤\nフル勃起のおっぱいマゾ❤前かがみでまともに歩けないねー❤
あう、ううっ❤くそぉ・・・❤このっ❤,あう、ううっ❤くそぉ・・・❤このっ❤
はーい、またはずれ❤おっぱいマゾなんて怖くない❤\nだってめっちゃ遅いんだもん❤\nそのうえ谷間に視線吸われて、狙いもブレブレ❤このへたっぴ❤,はーい、またはずれ❤おっぱいマゾなんて怖くない❤\nだってめっちゃ遅いんだもん❤\nそのうえ谷間に視線吸われて、狙いもブレブレ❤このへたっぴ❤
ねーねー、無駄な抵抗なんてやめてさ、\nわたしで気持ちよくなっちゃえば？\nこのおっぱいで挟まれたら、絶対気持ちいいよ❤,ねーねー、無駄な抵抗なんてやめてさ、\nわたしで気持ちよくなっちゃえば？\nこのおっぱいで挟まれたら、絶対気持ちいいよ❤
ギンギンになったそのチンポ、爆乳に全部飲み込まれてさぁ、\nあは、想像したら脚がガクガクしてきちゃうね❤\n期待してるのバレバレ❤,ギンギンになったそのチンポ、爆乳に全部飲み込まれてさぁ、\nあは、想像したら脚がガクガクしてきちゃうね❤\n期待してるのバレバレ❤
それじゃそこでじっとしてな❤\nアタシから近づいて、谷間の中にチンポ迎えに行ってあげる❤,それじゃそこでじっとしてな❤\nアタシから近づいて、谷間の中にチンポ迎えに行ってあげる❤
げふっ、嘘でしょ…。まだそんなスピードが出せるなんて…。,げふっ、嘘でしょ…。まだそんなスピードが出せるなんて…。
きゃうっ！ううっ、理性強すぎ…。,きゃうっ！ううっ、理性強すぎ…。
はい、捕まえた❤\n勃起チンポが邪魔すぎて動けなかった？\n違うよね、挟まれたくて足止めちゃったんだよね❤,はい、捕まえた❤\n勃起チンポが邪魔すぎて動けなかった？\n違うよね、挟まれたくて足止めちゃったんだよね❤
サキュバスの前で欲望に流された男の末路なんて決まってるの❤\n搾り取られて、干からびて死んじゃうんだよ❤\nほら❤,サキュバスの前で欲望に流された男の末路なんて決まってるの❤\n搾り取られて、干からびて死んじゃうんだよ❤\nほら❤
わたしの超デカいおっぱいに挟まれて、\nさっさと死んじゃえ、ザーコ❤,わたしの超デカいおっぱいに挟まれて、\nさっさと死んじゃえ、ザーコ❤
ぷっ、挟まれたばっかりなのに、もう射精の準備始めちゃってる❤\n焦らしてたからすっごい気持ちいいでしょ？\n気持ちよすぎてチンポ溶けそうなんじゃない？,ぷっ、挟まれたばっかりなのに、もう射精の準備始めちゃってる❤\n焦らしてたからすっごい気持ちいいでしょ？\n気持ちよすぎてチンポ溶けそうなんじゃない？
我慢なんてさせてあげない❤\nさっさと出してわたしを回復させてよ。ほらほらほら❤,我慢なんてさせてあげない❤\nさっさと出してわたしを回復させてよ。ほらほらほら❤
はひぃっ・・・❤❤,はひぃっ・・・❤❤
はい、楽勝❤\nサキュバスのおっぱいでチンポ瞬殺されちゃったね❤\n快感強すぎて腰抜けちゃった？くすくす❤,はい、楽勝❤\nサキュバスのおっぱいでチンポ瞬殺されちゃったね❤\n快感強すぎて腰抜けちゃった？くすくす❤
腰が抜けても関係ないよ。どうせもう体動けなくなるし❤\nエナジー吸われてあっという間に干からびて。\n気持ちよく殺してもらえてよかったね❤くすくす❤,腰が抜けても関係ないよ。どうせもう体動けなくなるし❤\nエナジー吸われてあっという間に干からびて。\n気持ちよく殺してもらえてよかったね❤くすくす❤
あは、一発出しただけじゃまだ死なないんだ❤\nそれじゃ死ぬまでいじめてあげるね❤\nオナ猿ザコマスター❤きゃはは♪,あは、一発出しただけじゃまだ死なないんだ❤\nそれじゃ死ぬまでいじめてあげるね❤\nオナ猿ザコマスター❤きゃはは♪
おっぱいマゾってあわれだねー。\n勝てそうな勝負でもおっぱいに見惚れて負けちゃうんだもん❤\nぷっ、くすくす❤,おっぱいマゾってあわれだねー。\n勝てそうな勝負でもおっぱいに見惚れて負けちゃうんだもん❤\nぷっ、くすくす❤
ぷぷっ、おっぱい揺らしてるだけで逆転勝利♪\n男ってチョロすぎでしょ❤,ぷぷっ、おっぱい揺らしてるだけで逆転勝利♪\n男ってチョロすぎでしょ❤
あんっ、すっごい量が谷間に出てる❤\nわたしのパイズリテクどうだった？\nチンポメロメロにされてすぐ負けちゃったね❤きゃはは♪,あんっ、すっごい量が谷間に出てる❤\nわたしのパイズリテクどうだった？\nチンポメロメロにされてすぐ負けちゃったね❤きゃはは♪
あはは、どぴゅどぴゅエナジー出しちゃった❤\nおっぱいで顔を挟まれて簡単に昇天❤\nサキュバスおっぱいの力、よく分かった？ザーコ❤,あはは、どぴゅどぴゅエナジー出しちゃった❤\nおっぱいで顔を挟まれて簡単に昇天❤\nサキュバスおっぱいの力、よく分かった？ザーコ❤
ぷっ、楽勝すぎ❤\n憎いサキュバスが相手だっていうのにこれだもん❤,ぷっ、楽勝すぎ❤\n憎いサキュバスが相手だっていうのにこれだもん❤
わたしのおっぱいそんなにヤバかった？\nすっごいとろけ顔でびゅくびゅく射精しちゃってさ、\nこのマーゾ❤,わたしのおっぱいそんなにヤバかった？\nすっごいとろけ顔でびゅくびゅく射精しちゃってさ、\nこのマーゾ❤
あううっ・・・❤くそぉ・・・❤,あううっ・・・❤くそぉ・・・❤
サキュバス化した生意気キャロルが僕をにやにやと見下ろしている。僕はなんとか体に力を入れようとするが、まったく力が入らない。,サキュバス化した生意気キャロルが僕をにやにやと見下ろしている。僕はなんとか体に力を入れようとするが、まったく力が入らない。
彼女の胸が与えたあまりに強烈な快感がまだ腰に残っている。僕の脚はぷるぷると震え、地面に尻もちをついたまま立ち上がることもできなかった。,彼女の胸が与えたあまりに強烈な快感がまだ腰に残っている。僕の脚はぷるぷると震え、地面に尻もちをついたまま立ち上がることもできなかった。
きゃはは、なにその脚の動き。どんだけだよ❤\nサキュバスになって、わたしヤバいぐらい強くなってるじゃん❤,きゃはは、なにその脚の動き。どんだけだよ❤\nサキュバスになって、わたしヤバいぐらい強くなってるじゃん❤
元からおっぱいおっきかったけどさー、\n今じゃ超爆乳になって、おっぱいひとつでアンタの頭より大きいよ。\nヤバくないこのデカさ❤,元からおっぱいおっきかったけどさー、\n今じゃ超爆乳になって、おっぱいひとつでアンタの頭より大きいよ。\nヤバくないこのデカさ❤
Bランクで、無敗だった男を瞬殺❤\nアタシのマスターがずっとアンタに追いつけないのを悩んでたけど、\nぷぷっ、こんな簡単な話だったんだね❤,Bランクで、無敗だった男を瞬殺❤\nアタシのマスターがずっとアンタに追いつけないのを悩んでたけど、\nぷぷっ、こんな簡単な話だったんだね❤
サキュバスになっちゃえば、男なんてみんなザコ❤\nデカちち揺らしてちょっと遊んでやれば、\n簡単に倒せちゃう❤あーん、チョロすぎ❤,サキュバスになっちゃえば、男なんてみんなザコ❤\nデカちち揺らしてちょっと遊んでやれば、\n簡単に倒せちゃう❤あーん、チョロすぎ❤
{主人公}さん、ダメです！諦めないで！\nそんなサキュバスの快楽になんか負けちゃダメ！,{主人公}さん、ダメです！諦めないで！\nそんなサキュバスの快楽になんか負けちゃダメ！
妹さんのためにこれまで頑張ってきたんでしょう！\n憎い仇のサキュバスに、負けてどうするんですか！\n{主人公}さん！,妹さんのためにこれまで頑張ってきたんでしょう！\n憎い仇のサキュバスに、負けてどうするんですか！\n{主人公}さん！
向こうで受付さんと他のカードマスターたちの声がする。僕に向かって何か励ましの言葉のようなものを投げかけている。,向こうで受付さんと他のカードマスターたちの声がする。僕に向かって何か励ましの言葉のようなものを投げかけている。
しかし、受付さんの声すら、僕には夢うつつのようにしか聞こえていなかった。目の前でゆっくりと波打っているキャロルの胸に視線を吸われ、思考はもやがかったように何も考えられない。,しかし、受付さんの声すら、僕には夢うつつのようにしか聞こえていなかった。目の前でゆっくりと波打っているキャロルの胸に視線を吸われ、思考はもやがかったように何も考えられない。
ああ・・・、見ているだけなのに、また体が気持ちよくなってくる。快感がじんわりとせりあがってきて全身に回り、脳の奥まで痺れるようになってしまう。,ああ・・・、見ているだけなのに、また体が気持ちよくなってくる。快感がじんわりとせりあがってきて全身に回り、脳の奥まで痺れるようになってしまう。
ぷっ、アンタ、仲間の呼びかけも聞かないでおっぱい見てるの？\nあははは、そんなにあたしのおっぱいが忘れられないんだ❤,ぷっ、アンタ、仲間の呼びかけも聞かないでおっぱい見てるの？\nあははは、そんなにあたしのおっぱいが忘れられないんだ❤
いいよ、もっかいやってあげる❤\n最低のおっぱいマゾのアンタを、\nあたしのサキュバスおっぱいで気持ちよくしてあげる❤,いいよ、もっかいやってあげる❤\n最低のおっぱいマゾのアンタを、\nあたしのサキュバスおっぱいで気持ちよくしてあげる❤
いいよ、今度は直接挟んであげる❤\n最低のおっぱいマゾのアンタを、\nあたしのサキュバスおっぱいでバカみたいにアヘらせてあげる❤,いいよ、今度は直接挟んであげる❤\n最低のおっぱいマゾのアンタを、\nあたしのサキュバスおっぱいでバカみたいにアヘらせてあげる❤
あっちのやつらが見ている前でさぁ、\nカッコ悪ーい喘ぎ声上げながら、\nおっぱいでエナジー搾り取られな？えい❤,あっちのやつらが見ている前でさぁ、\nカッコ悪ーい喘ぎ声上げながら、\nおっぱいでエナジー搾り取られな？えい❤
あひっっ、あっ❤あっ❤ああっ❤,あひっっ、あっ❤あっ❤ああっ❤
キャロルの胸を見て限界まで勃起していた僕のペニスは、巨大な胸に丸ごと飲み込まれてしまった。柔らかいのにぎゅうっと圧力たっぷりに包み込んできて、腰が溶けそうに気持ちがいい。ペニスから訳が分からないほどの快感が流れ込んでくる。,キャロルの胸を見て限界まで勃起していた僕のペニスは、巨大な胸に丸ごと飲み込まれてしまった。柔らかいのにぎゅうっと圧力たっぷりに包み込んできて、腰が溶けそうに気持ちがいい。ペニスから訳が分からないほどの快感が流れ込んでくる。
うあっ❤ああっ❤これっ、気持ちよすぎてぇっ❤あああっ❤,うあっ❤ああっ❤これっ、気持ちよすぎてぇっ❤あああっ❤
ぷっ、挟んだだけで射精してるし❤\nチンポ弱っ❤,ぷっ、挟んだだけで射精してるし❤\nチンポ弱っ❤
あー、違うか。あたしのおっぱいが強すぎるんだね❤\nBランクマスターを瞬殺するぐらい強くなって\nアンタのちっぽけなチンポなんて、簡単に蹂躙できちゃうみたい❤,あー、違うか。あたしのおっぱいが強すぎるんだね❤\nBランクマスターを瞬殺するぐらい強くなって\nアンタのちっぽけなチンポなんて、簡単に蹂躙できちゃうみたい❤
挟んだだけでアンタを天国送りにしちゃったおっぱい、\n本気で動かしてやったら、どうなるのかな？\nほらほらほらぁ❤,挟んだだけでアンタを天国送りにしちゃったおっぱい、\n本気で動かしてやったら、どうなるのかな？\nほらほらほらぁ❤
あぐ❤あひっ❤あっ、あああっ❤\nだめっ、これっ❤❤おかしくなるっ❤あああっ❤,あぐ❤あひっ❤あっ、あああっ❤\nだめっ、これっ❤❤おかしくなるっ❤あああっ❤
くすくす❤めっちゃ大声出すじゃん❤\nこの場所、洞窟みたいになってるから声が響きまくりなんだけど、\n恥ずかしくないの？,くすくす❤めっちゃ大声出すじゃん❤\nこの場所、洞窟みたいになってるから声が響きまくりなんだけど、\n恥ずかしくないの？
あっちの仲間に声聞かれちゃうね❤\nみんなを守るはずの、強ーいＢランクマスターさまが、\n女のおっぱいであんあん、あんあん❤喘ぎまくってバカみたい❤,あっちの仲間に声聞かれちゃうね❤\nみんなを守るはずの、強ーいＢランクマスターさまが、\n女のおっぱいであんあん、あんあん❤喘ぎまくってバカみたい❤
あは、何人か絶望して泣き崩れちゃってるよ？\n中には戦おうとしてる子もいるけど、\nぷぷっ、わたしのマスターには勝てないだろうねー❤,あは、何人か絶望して泣き崩れちゃってるよ？\n中には戦おうとしてる子もいるけど、\nぷぷっ、わたしのマスターには勝てないだろうねー❤
もしもアンタがおっぱいに耐えてたら、\n結果は違ったかもしれないけど。\n頼みの綱がこれじゃ、あの子たちもみんなやられちゃう❤,もしもアンタがおっぱいに耐えてたら、\n結果は違ったかもしれないけど。\n頼みの綱がこれじゃ、あの子たちもみんなやられちゃう❤
あーあー、パイズリなんかに負けなければよかったのに❤\nとんでもなく気持ちよくても、\nチンポこらえて射精我慢すればよかったのに❤,あーあー、パイズリなんかに負けなければよかったのに❤\nとんでもなく気持ちよくても、\nチンポこらえて射精我慢すればよかったのに❤
ほらほらほら❤こんな風に\nだぱんだぱんって激しくパイズリされてもさぁ、\nイクの我慢してみなよ❤,ほらほらほら❤こんな風に\nだぱんだぱんって激しくパイズリされてもさぁ、\nイクの我慢してみなよ❤
おっぱいでチンポ溶けちゃう？\nぷぷっ、腰をふるわせてアヘアへ言いながらよだれ垂らして、\n少しは抵抗してみせろっての❤,おっぱいでチンポ溶けちゃう？\nぷぷっ、腰をふるわせてアヘアへ言いながらよだれ垂らして、\n少しは抵抗してみせろっての❤
ほら、おっぱいで脳みそどろどろになっちゃったマゾは、\nさっさとイケ❤\nサキュバス様にエナジー吸い取られろ❤きゃははは♪,ほら、おっぱいで脳みそどろどろになっちゃったマゾは、\nさっさとイケ❤\nサキュバス様にエナジー吸い取られろ❤きゃははは♪
あぐぅっ❤あっ、あああっ❤❤とまらないっ❤\nきもちいいっ❤きもちいいっ❤❤,あぐぅっ❤あっ、あああっ❤❤とまらないっ❤\nきもちいいっ❤きもちいいっ❤❤
エナジー吸い取られて、どんどん干からびてんの気づいてる？\nしおしおになって、もうアンタ死にかけだよ❤\nサキュバスに射精してんだから当たり前だよね❤,エナジー吸い取られて、どんどん干からびてんの気づいてる？\nしおしおになって、もうアンタ死にかけだよ❤\nサキュバスに射精してんだから当たり前だよね❤
それでも「きもちいい」しか言えないんだ❤\n「死にたくない」でも、「仲間を助けなきゃ」でもなくて、\n最後の言葉は「きもちいい」なんだ❤,それでも「きもちいい」しか言えないんだ❤\n「死にたくない」でも、「仲間を助けなきゃ」でもなくて、\n最後の言葉は「きもちいい」なんだ❤
きゃはは、おっぱいマゾって救えないね❤\nほらぁ、何度でも気持ちいいって言いながら、\nそのまま死んじゃえ❤おっぱいに全部食べられちゃえ❤,きゃはは、おっぱいマゾって救えないね❤\nほらぁ、何度でも気持ちいいって言いながら、\nそのまま死んじゃえ❤おっぱいに全部食べられちゃえ❤
修行して身に着けてきたアンタの魔力、谷間に挟みつぶされちゃえよ❤\nほらほらほらぁ❤,修行して身に着けてきたアンタの魔力、谷間に挟みつぶされちゃえよ❤\nほらほらほらぁ❤
あは、完全に動かなくなっちゃった❤\nもうおしまいかな？干からびて体もかさかさになってる。\nエナジーおいしかったぁ❤,あは、完全に動かなくなっちゃった❤\nもうおしまいかな？干からびて体もかさかさになってる。\nエナジーおいしかったぁ❤
わたしがルーキーくんと遊んでる間に、\nあっちの連中も片付いたみたい❤,わたしがルーキーくんと遊んでる間に、\nあっちの連中も片付いたみたい❤
ただでさえ実力差があるのに、\nルーキーくんのせいで魔力がずっと送られてるんだもん。\n勝てるわけないよね。きゃはは♪,ただでさえ実力差があるのに、\nルーキーくんのせいで魔力がずっと送られてるんだもん。\n勝てるわけないよね。きゃはは♪
薄暗い地下通路の中、僕はサキュバスに精を吸いつくされて命を落としてしまった。一緒にいた下級のマスターたちは、エルルに敗北し、女性はサキュバスに変えられ、男性はその場で干からびるまで吸い取られた。,薄暗い地下通路の中、僕はサキュバスに精を吸いつくされて命を落としてしまった。一緒にいた下級のマスターたちは、エルルに敗北し、女性はサキュバスに変えられ、男性はその場で干からびるまで吸い取られた。
こうして僕の物語は、サキュバス化した一体のモンスターによって、みじめに吸い殺されてその幕を閉じたのだった。,こうして僕の物語は、サキュバス化した一体のモンスターによって、みじめに吸い殺されてその幕を閉じたのだった。
理性を振り絞って攻撃した,理性を振り絞って攻撃した
深い谷間から目が離せなかった,深い谷間から目が離せなかった
目を閉じて集中し全力で攻撃した,目を閉じて集中し全力で攻撃した
理性が飛んで身動きできなかった,理性が飛んで身動きできなかった
