default
ロリ巨乳サキュバス,羅莉巨乳魅魔
お兄さんのおかげで体力は全回復❤\nつよぉいマスターのはずなのに、わたしみたいな\nおっぱい大きいだけのサキュバスに負けちゃったね。くすくす❤,お兄さんのおかげで体力は全回復❤\nつよぉいマスターのはずなのに、わたしみたいな\nおっぱい大きいだけのサキュバスに負けちゃったね。くすくす❤
お兄さんのおかげで体力は全回復❤\nもっともっと他の人もおっぱいでメロメロにしちゃうよー❤,お兄さんのおかげで体力は全回復❤\nもっともっと他の人もおっぱいでメロメロにしちゃうよー❤
ううっ…❤おっぱい、エロすぎ…❤,ううっ…❤おっぱい、エロすぎ…❤
あ❤　お兄さんもシコシコ始めちゃうんだ❤\n目の前でおっぱいぷるぷるしてもらうのが羨ましかったのかな～❤,あ❤　お兄さんもシコシコ始めちゃうんだ❤\n目の前でおっぱいぷるぷるしてもらうのが羨ましかったのかな～❤
さっきは頑張って我慢したのにね～、\nおちんちんイライラ、我慢できなくなっちゃったね～❤,さっきは頑張って我慢したのにね～、\nおちんちんイライラ、我慢できなくなっちゃったね～❤
いいよいいよ❤　しょうがないもんね❤\n目の前であんなサービスされてるの見てたら、\nおっぱいが大好きな人にはたまらないもんね❤,いいよいいよ❤　しょうがないもんね❤\n目の前であんなサービスされてるの見てたら、\nおっぱいが大好きな人にはたまらないもんね❤
ほらほら❤　もっと見せてあげるから～❤\n前かがみになったところ、じっくり見てぇ～❤,ほらほら❤　もっと見せてあげるから～❤\n前かがみになったところ、じっくり見てぇ～❤
もう武器なんて持ちたくないよーって\n手の平が言うこと聞かなくなっちゃうの❤\nおっぱいに手を支配されちゃう❤,もう武器なんて持ちたくないよーって\n手の平が言うこと聞かなくなっちゃうの❤\nおっぱいに手を支配されちゃう❤
そしてね、だんだん手以外のところもおっぱいの気持ちよさにしびれて\n何も考えられなくなって・・・。アヘアへ言いながら\nおっぱい揉んでるだけでとろ～ってエナジーお漏らししちゃう❤,そしてね、だんだん手以外のところもおっぱいの気持ちよさにしびれて\n何も考えられなくなって・・・。アヘアへ言いながら\nおっぱい揉んでるだけでとろ～ってエナジーお漏らししちゃう❤
くすくす❤そうやってイクの気持ちよさそうだよね～❤\nでもお兄さんはダメー❤\nおっぱいじゃなくて、自分のおちんちん握ってお漏らししようね～❤,くすくす❤そうやってイクの気持ちよさそうだよね～❤\nでもお兄さんはダメー❤\nおっぱいじゃなくて、自分のおちんちん握ってお漏らししようね～❤
ほらおちんちんから手が離せなくなるように、\nとってもエッチなオカズだよ～❤\nおっぱいゆさゆさ～❤あはーん❤,ほらおちんちんから手が離せなくなるように、\nとってもエッチなオカズだよ～❤\nおっぱいゆさゆさ～❤あはーん❤
うあっ、はぅううっ❤エロすぎるっ❤❤,うあっ、はぅううっ❤エロすぎるっ❤❤
くすくす❤おっぱいを揉んだり、おっぱいに挟んでもらったり、\n色んな気持ちよくなるやり方があるのにね。\nそれなのに自分の手でイっちゃうなんてかわいそー❤,くすくす❤おっぱいを揉んだり、おっぱいに挟んでもらったり、\n色んな気持ちよくなるやり方があるのにね。\nそれなのに自分の手でイっちゃうなんてかわいそー❤
せめて気持ちよ～くお漏らしできるように、\nたくさん揺らしてあげるね～❤,せめて気持ちよ～くお漏らしできるように、\nたくさん揺らしてあげるね～❤
ほらほらぁ、おっぱい見て❤\n揺れに合わせてしこしこ❤しこしこ❤\nそうそう上手だねー❤,ほらほらぁ、おっぱい見て❤\n揺れに合わせてしこしこ❤しこしこ❤\nそうそう上手だねー❤
あは、腰がガクガクガクって震えてる❤\n谷間見ながらのしこしこオナニー、\n気持ちよすぎてもう射精しちゃうんだ❤,あは、腰がガクガクガクって震えてる❤\n谷間見ながらのしこしこオナニー、\n気持ちよすぎてもう射精しちゃうんだ❤
我慢しなくていいよ～❤\nはやくわたしのおっぱいに精液ちょうだぁーい❤\n勝手に負けて、わたしの体力回復させて～❤きゃはは♪,我慢しなくていいよ～❤\nはやくわたしのおっぱいに精液ちょうだぁーい❤\n勝手に負けて、わたしの体力回復させて～❤きゃはは♪
やぁん、たっぷり谷間にかかってる～❤\nおっぱいオカズにシコシコ射精❤こんなに飛ばすなんて\nもう死んじゃってもいいってぐらい興奮しちゃった？,やぁん、たっぷり谷間にかかってる～❤\nおっぱいオカズにシコシコ射精❤こんなに飛ばすなんて\nもう死んじゃってもいいってぐらい興奮しちゃった？
お兄さんのおかげで体力は全回復❤\n元気になった分、\nもっともっと他の人もおっぱいでメロメロにしちゃうよー❤,お兄さんのおかげで体力は全回復❤\n元気になった分、\nもっともっと他の人もおっぱいでメロメロにしちゃうよー❤
うう、このままじゃやられちゃう・・・。\nお兄さん、とっても我慢強いんだね。,うう、このままじゃやられちゃう・・・。\nお兄さん、とっても我慢強いんだね。
おちんちんは我慢したくないようって言ってるのに。\nそんなにおっきくして苦しくないのかなぁ・・・。,おちんちんは我慢したくないようって言ってるのに。\nそんなにおっきくして苦しくないのかなぁ・・・。
ほら、よ～く見て❤　ふか～い谷間❤\nこの中におちんちん入れて、腰を振ったら絶対気持ちいいよ？,ほら、よ～く見て❤　ふか～い谷間❤\nこの中におちんちん入れて、腰を振ったら絶対気持ちいいよ？
わたしはちっちゃくて力よわいし、\nお兄さんならちょっとくらい楽しんでも\n大丈夫だと思うんだけどなぁ・・・❤,わたしはちっちゃくて力よわいし、\nお兄さんならちょっとくらい楽しんでも\n大丈夫だと思うんだけどなぁ・・・❤
そう、ちょっとだけ。ちょっとだけだよ❤\nおちんちんの先っちょを、少しだけ\nこの気持ちよさそうなところに入れるの❤,そう、ちょっとだけ。ちょっとだけだよ❤\nおちんちんの先っちょを、少しだけ\nこの気持ちよさそうなところに入れるの❤
ぬぷぬぷーって谷間をかき分けて、おちんちん気持ちよくなろ？\nほら、わたしは後ろで両手を組んで待っててあげる❤\nここにおちんちん入れていいんだよ～❤くすくす❤,ぬぷぬぷーって谷間をかき分けて、おちんちん気持ちよくなろ？\nほら、わたしは後ろで両手を組んで待っててあげる❤\nここにおちんちん入れていいんだよ～❤くすくす❤
あううっ、おっぱいにも負けないなんて意思が強いよぉ・・・。,あううっ、おっぱいにも負けないなんて意思が強いよぉ・・・。
あは、腰をヘコヘコしながらこっちにやってきた❤\nすごく面白い動きだねー❤\nきゃはは❤,あは、腰をヘコヘコしながらこっちにやってきた❤\nすごく面白い動きだねー❤\nきゃはは❤
うんうん別にいいんだよ❤おっぱいの前で\nおちんちんおかしくなっちゃうのは、男の子なら普通のことだから❤\nほら、わたしの柔らかおっぱいにおいで～❤ずぷずぷって挿入～❤,うんうん別にいいんだよ❤おっぱいの前で\nおちんちんおかしくなっちゃうのは、男の子なら普通のことだから❤\nほら、わたしの柔らかおっぱいにおいで～❤ずぷずぷって挿入～❤
あは、悩んでるみたいだけど、\n腰がゆっくりおっぱいに向けて動いちゃってるよ❤,あは、悩んでるみたいだけど、\n腰がゆっくりおっぱいに向けて動いちゃってるよ❤
ほら、わたしが一歩だけ前に出れば、\nこれでおちんちんに当っちゃうね～❤\nあは、この距離になったら腰の動き止められなくなっちゃうんだ❤,ほら、わたしが一歩だけ前に出れば、\nこれでおちんちんに当っちゃうね～❤\nあは、この距離になったら腰の動き止められなくなっちゃうんだ❤
腰がカクカクって動いて、はい、自分から挿入～❤\n自分からおっぱいまで来れて偉いねー❤くすくす❤,腰がカクカクって動いて、はい、自分から挿入～❤\n自分からおっぱいまで来れて偉いねー❤くすくす❤
はぐううっ❤これ、やばい・・・❤❤,はぐううっ❤これ、やばい・・・❤❤
あん❤谷間のところでぴくぴく震えてる❤\nでもぉ、まだまだ、こんなのたいしたことないんだよ❤\nほら、体をゆさゆさって揺らしてあげる❤,あん❤谷間のところでぴくぴく震えてる❤\nでもぉ、まだまだ、こんなのたいしたことないんだよ❤\nほら、体をゆさゆさって揺らしてあげる❤
おっぱいでおちんちんの先っぽ、もみくちゃにされちゃえ❤,おっぱいでおちんちんの先っぽ、もみくちゃにされちゃえ❤
あっ、あっ、だめっ❤はひぃい❤,あっ、あっ、だめっ❤はひぃい❤
くすくす❤喘ぎ声あげちゃってなさけなーい❤\nでもわたし、ちゃんと約束守ってるでしょ？\n手は後ろに組んだまま、お兄さんの好きなようにさせてるだけだよ❤,くすくす❤喘ぎ声あげちゃってなさけなーい❤\nでもわたし、ちゃんと約束守ってるでしょ？\n手は後ろに組んだまま、お兄さんの好きなようにさせてるだけだよ❤
おちんちんだって、先っぽしかおっぱいに入らないように、\n上手に場所を調整して、そこだけおっぱいでズリズリしてるんだ～❤\nえへへ、先っぽだけいじめるの上手でしょ❤,おちんちんだって、先っぽしかおっぱいに入らないように、\n上手に場所を調整して、そこだけおっぱいでズリズリしてるんだ～❤\nえへへ、先っぽだけいじめるの上手でしょ❤
ん～なになに？先っぽばっかりだと、じれったい？\nえー、そんなふうに腰をぐんぐん突いてもダメだよ～❤\n羽根でふわって飛んで、ほら先っぽしか入らないように調整♪,ん～なになに？先っぽばっかりだと、じれったい？\nえー、そんなふうに腰をぐんぐん突いてもダメだよ～❤\n羽根でふわって飛んで、ほら先っぽしか入らないように調整♪
きゃははは❤おっぱいの奥で気持ちよくなりたいのに、\n亀さんしかいじめてもらえないねー❤\n先っぽだけずりずりずり❤おちんちんどうにかなっちゃいそうだねー❤,きゃははは❤おっぱいの奥で気持ちよくなりたいのに、\n亀さんしかいじめてもらえないねー❤\n先っぽだけずりずりずり❤おちんちんどうにかなっちゃいそうだねー❤
ねー、わたしに降参するって言ったら、\nずぷって入れてあげよっか❤\nおちんちんの根元までぜーんぶこのおっぱいに挟まれるの❤,ねー、わたしに降参するって言ったら、\nずぷって入れてあげよっか❤\nおちんちんの根元までぜーんぶこのおっぱいに挟まれるの❤
どうする？\nサキュバスさまぁ僕の負けです～って降参しちゃう？,どうする？\nサキュバスさまぁ僕の負けです～って降参しちゃう？
うぁ、そこだめっ、おっぱいが絡みついてぇっ❤❤,うぁ、そこだめっ、おっぱいが絡みついてぇっ❤❤
ああっ、サキュバス、さまぁ・・・❤こうさん、こうさんですっ❤❤\nおねがい、なかで挟んでっ❤,ああっ、サキュバス、さまぁ・・・❤こうさん、こうさんですっ❤❤\nおねがい、なかで挟んでっ❤
きゃはは、よく言えました～❤\nそれじゃ、おちんちんを根元までずっぷん❤,きゃはは、よく言えました～❤\nそれじゃ、おちんちんを根元までずっぷん❤
ほらほらほらぁ❤\nサキュバスおっぱいでぇ、先っぽ以外ももみくちゃにされて、\n気持ちよーく天国にイっちゃえ❤,ほらほらほらぁ❤\nサキュバスおっぱいでぇ、先っぽ以外ももみくちゃにされて、\n気持ちよーく天国にイっちゃえ❤
おっぱいでおちんちん全部こすられたら、\nお射精の我慢なんてできないでしょ？\n谷間の奥に、びゅーーって出していいよ～❤きゃはは❤,おっぱいでおちんちん全部こすられたら、\nお射精の我慢なんてできないでしょ？\n谷間の奥に、びゅーーって出していいよ～❤きゃはは❤
あひぃぃっ❤あっ、ああっ、サキュバスさまぁ❤きもちいいっ❤,あひぃぃっ❤あっ、ああっ、サキュバスさまぁ❤きもちいいっ❤
あは❤胸の中がお兄さんのエナジーでどろどろ～❤\n腰をぐんって突き出して、おっぱいの一番奥で\n気持ちいいお漏らししちゃったね❤,あは❤胸の中がお兄さんのエナジーでどろどろ～❤\n腰をぐんって突き出して、おっぱいの一番奥で\n気持ちいいお漏らししちゃったね❤
でもでも、わかってる？\nお兄さんはさっきまでわたしに勝てそうだったんだよ？それなのに\n先っぽだけじゃ止められなくなって、どぴゅーって負けちゃったの❤,でもでも、わかってる？\nお兄さんはさっきまでわたしに勝てそうだったんだよ？それなのに\n先っぽだけじゃ止められなくなって、どぴゅーって負けちゃったの❤
くすくす❤おっぱいになんか入れなければよかったのにねー❤\nあはは❤人間の男の子ってほんとおっぱいによわーい❤,くすくす❤おっぱいになんか入れなければよかったのにねー❤\nあはは❤人間の男の子ってほんとおっぱいによわーい❤
うう、またやられちゃいそう・・・。\nお兄さんも、とっても我慢強いのね。,うう、またやられちゃいそう・・・。\nお兄さんも、とっても我慢強いのね。
わたしはちっちゃくて非力だし、\nお兄さんならちょっとくらい楽しんでも大丈夫だと思うけどなぁ・・・❤,わたしはちっちゃくて非力だし、\nお兄さんならちょっとくらい楽しんでも大丈夫だと思うけどなぁ・・・❤
さっきのお兄さんより強いお兄さんなら途中で止めれるはずだから、\n一回だけ試してみてもいいと思うけど❤,さっきのお兄さんより強いお兄さんなら途中で止めれるはずだから、\n一回だけ試してみてもいいと思うけど❤
わたしは後ろで両手を組んでるだけ❤\nおっぱいを突き出して待ってるから、お兄さんが挿乳してぇ・・・❤,わたしは後ろで両手を組んでるだけ❤\nおっぱいを突き出して待ってるから、お兄さんが挿乳してぇ・・・❤
ううっ、やられちゃった・・・。,ううっ、やられちゃった・・・。
はうっ・・・❤　すごい・・・❤,はうっ・・・❤　すごい・・・❤
サキュバスのおっぱいだもん、当然でしょ❤\nほら❤　一番奥まで差し込んでぇ❤,サキュバスのおっぱいだもん、当然でしょ❤\nほら❤　一番奥まで差し込んでぇ❤
そうしたら腰を引いて❤　そうそう❤\n好きなだけおっぱいにへこへこ腰を押し付けていいよぉ❤,そうしたら腰を引いて❤　そうそう❤\n好きなだけおっぱいにへこへこ腰を押し付けていいよぉ❤
はぁ、はぁ❤　おっぱい、おっぱい❤,はぁ、はぁ❤　おっぱい、おっぱい❤
あぁん❤　おっぱい両手で掴まれちゃった❤\nやぁん❤　サキュバスなのにお兄さんに好き勝手されちゃってる～❤,あぁん❤　おっぱい両手で掴まれちゃった❤\nやぁん❤　サキュバスなのにお兄さんに好き勝手されちゃってる～❤
ねぇ、止めなくていいの？\n一回だけ、試しにするだけって言ってたのに❤\nわたしは何回でもいいけどさ❤,ねぇ、止めなくていいの？\n一回だけ、試しにするだけって言ってたのに❤\nわたしは何回でもいいけどさ❤
（くすくす❤　おっぱいに夢中になっちゃった❤\nもう射精するまでへこへこするだけのお猿さん❤　きゃはは❤）,（くすくす❤　おっぱいに夢中になっちゃった❤\nもう射精するまでへこへこするだけのお猿さん❤　きゃはは❤）
ああ・・・❤　気持ちいいよぉ・・・❤,ああ・・・❤　気持ちいいよぉ・・・❤
あ～あ❤あとちょっとで勝てたのに堕ちちゃった❤\nサキュバスのおっぱいに自分から挿乳したら終わりなのに、バカみたい❤,あ～あ❤あとちょっとで勝てたのに堕ちちゃった❤\nサキュバスのおっぱいに自分から挿乳したら終わりなのに、バカみたい❤
うりうり❤　両手でおっぱいを押さえながらずりずり～❤\nこれくらいの快楽でへこへこ止めないでよ～。お兄さん強いんだから❤,うりうり❤　両手でおっぱいを押さえながらずりずり～❤\nこれくらいの快楽でへこへこ止めないでよ～。お兄さん強いんだから❤
おちんちん、おっぱいに負けないように我慢して❤\nたくさん我慢した方が気持ち良くなれるし、\nわたしもエナジーたくさん欲しいから溜めて、溜めて❤,おちんちん、おっぱいに負けないように我慢して❤\nたくさん我慢した方が気持ち良くなれるし、\nわたしもエナジーたくさん欲しいから溜めて、溜めて❤
あっ、あっ❤　はへ…❤　も、もう…❤,あっ、あっ❤　はへ…❤　も、もう…❤
お兄さんってば力は強いのに、おちんちんはよわよわね❤\nそれじゃあ最後にぎゅうぅぅっておっぱい押し付けてあげる❤,お兄さんってば力は強いのに、おちんちんはよわよわね❤\nそれじゃあ最後にぎゅうぅぅっておっぱい押し付けてあげる❤
いつでも出していいよ～❤　お兄さんのエナジーちょうだい❤\n思いっきりおっぱいの中に射精しちゃえ～❤\nむぎゅむぎゅむにゅ～❤❤,いつでも出していいよ～❤　お兄さんのエナジーちょうだい❤\n思いっきりおっぱいの中に射精しちゃえ～❤\nむぎゅむぎゅむにゅ～❤❤
あああ…❤,あああ…❤
あん❤　おっぱいの奥まで精液届いてる❤\nたくさん出したね～。気持ち良かった？,あん❤　おっぱいの奥まで精液届いてる❤\nたくさん出したね～。気持ち良かった？
お兄さんがエナジーをたくさんくれたから傷が回復したよ❤　くすくす❤,お兄さんがエナジーをたくさんくれたから傷が回復したよ❤　くすくす❤
おっぱいが大好きなお兄さんばっかりで楽ちん❤\n他のお兄さんもパイズリで気持ち良くしてあげるからエナジーちょうだい❤,おっぱいが大好きなお兄さんばっかりで楽ちん❤\n他のお兄さんもパイズリで気持ち良くしてあげるからエナジーちょうだい❤
なんにもしてないのに、ひとりでシコシコ❤\nおっぱいが大きいだけで勝てちゃうんだもん。楽勝すぎ～❤,なんにもしてないのに、ひとりでシコシコ❤\nおっぱいが大きいだけで勝てちゃうんだもん。楽勝すぎ～❤
サキュバスさまぁって言えて偉かったね～❤\nとっても情けない声でかわいかったよ。くすくす❤,サキュバスさまぁって言えて偉かったね～❤\nとっても情けない声でかわいかったよ。くすくす❤
あは、見てみて～。噴水みたいにどぴゅーって出てる❤\nすごい勢いで顔にかかっちゃった❤,あは、見てみて～。噴水みたいにどぴゅーって出てる❤\nすごい勢いで顔にかかっちゃった❤
おっぱい気持ちよかったね～、強ーいマスターさん❤\nま、わたしのおっぱいの方が強かったみたいだけど。くすくす❤,おっぱい気持ちよかったね～、強ーいマスターさん❤\nま、わたしのおっぱいの方が強かったみたいだけど。くすくす❤
くすくす❤おちんちんに触ってもらえてないのにぃ、\n気持ちよ～くどぴゅどぴゅ～っておもらししちゃったね❤,くすくす❤おちんちんに触ってもらえてないのにぃ、\n気持ちよ～くどぴゅどぴゅ～っておもらししちゃったね❤
おっぱいでふにゃふにゃにされて\nおちんちんの栓もゆるんじゃったのかなー❤\n下級モンスターに負けて、かっこわるーい❤くすくす❤,おっぱいでふにゃふにゃにされて\nおちんちんの栓もゆるんじゃったのかなー❤\n下級モンスターに負けて、かっこわるーい❤くすくす❤
決着ー！！勝者はリュカ・シャルロット選手！,決着ー！！勝者はリュカ・シャルロット選手！
まさか、まさかの結末です！\nあの無敗のルーキーが、ぽっと出の「名誉」Ｂランクに敗北！！,まさか、まさかの結末です！\nあの無敗のルーキーが、ぽっと出の「名誉」Ｂランクに敗北！！
レアなサキュバスカードが大量に投入されたシャルロット選手のデッキ、\nこれがその力ということなのでしょうか！,レアなサキュバスカードが大量に投入されたシャルロット選手のデッキ、\nこれがその力ということなのでしょうか！
結局、ものを言うのは実力よりも財力なのか！\n下馬評を覆しての勝利に、シャルロット選手、にんまりと得意顔です！\nうおー、これは悔しい！立ってくれ、われらの無敗のルーキー！,結局、ものを言うのは実力よりも財力なのか！\n下馬評を覆しての勝利に、シャルロット選手、にんまりと得意顔です！\nうおー、これは悔しい！立ってくれ、われらの無敗のルーキー！
きゃはは❤\nだってさ、聞こえる？無敗のルーキーくん❤\nみんなが「立てー」「負けるなー」って応援してるわよ❤,きゃはは❤\nだってさ、聞こえる？無敗のルーキーくん❤\nみんなが「立てー」「負けるなー」って応援してるわよ❤
あなたの「実力」を見せてみたら？\nわたしみたいな、上級モンスターも召喚できないような小娘に、\n最強の無敗のルーキーが負けるなんて、ありえないものね♪,あなたの「実力」を見せてみたら？\nわたしみたいな、上級モンスターも召喚できないような小娘に、\n最強の無敗のルーキーが負けるなんて、ありえないものね♪
まして、こんなちんちくりのサキュバスに負けるなんて、\nぷぷっ、最強が聞いてあきれるわ❤,まして、こんなちんちくりのサキュバスに負けるなんて、\nぷぷっ、最強が聞いてあきれるわ❤
うぐうぅ・・・❤くそぉ・・・❤,うぐうぅ・・・❤くそぉ・・・❤
やぁん、悔しがってにらんでるぅ❤こわーい❤\nなんてね♪フル勃起させながら真面目な顔されても\nバカみたいなだけだっての❤,やぁん、悔しがってにらんでるぅ❤こわーい❤\nなんてね♪フル勃起させながら真面目な顔されても\nバカみたいなだけだっての❤
ほら、{自分}、そこの男をもっと辱めてあげなさい❤\nわたしたちの商品がどれだけ優れているか、\nお客さんにもっとデモンストレーションしてあげるのよ。,ほら、{自分}、そこの男をもっと辱めてあげなさい❤\nわたしたちの商品がどれだけ優れているか、\nお客さんにもっとデモンストレーションしてあげるのよ。
はぁい、マスターのおおせのままに～♪\nねーねー、サキュバスに負けちゃった男の子がどうなるか知ってる？\nカラカラになって搾り殺されるか～・・・,はぁい、マスターのおおせのままに～♪\nねーねー、サキュバスに負けちゃった男の子がどうなるか知ってる？\nカラカラになって搾り殺されるか～・・・
二度とサキュバスに逆らえなくなるように、\n徹底的に「勝てない」ってことを教え込まれちゃうんだよ❤,二度とサキュバスに逆らえなくなるように、\n徹底的に「勝てない」ってことを教え込まれちゃうんだよ❤
ロリコンお兄さんもー、\nわたしに立場の違いをてっていてきに教え込まれちゃうの。\nそんなの嫌かな～？嫌だよねー。,ロリコンお兄さんもー、\nわたしに立場の違いをてっていてきに教え込まれちゃうの。\nそんなの嫌かな～？嫌だよねー。
あは、いまさら怖くなってあとずさってる～。\nでもぉ、うしろに進むのは許しませーん。\nえい、おっぱい、だぷ～ん❤,あは、いまさら怖くなってあとずさってる～。\nでもぉ、うしろに進むのは許しませーん。\nえい、おっぱい、だぷ～ん❤
あっ、ああっ、えろいぃ・・・❤❤,あっ、ああっ、えろいぃ・・・❤❤
ほらぁ見てぇ❤さっきお兄さんが負けちゃった、\nさいきょうのおっぱいだよ～❤,ほらぁ見てぇ❤さっきお兄さんが負けちゃった、\nさいきょうのおっぱいだよ～❤
前かがみになって谷間見せるだけでー、\n逃げてたお兄さんの足がすとーっぷ❤\nあうあう言っておっぱいに見とれることしかできなくなっちゃうねー❤,前かがみになって谷間見せるだけでー、\n逃げてたお兄さんの足がすとーっぷ❤\nあうあう言っておっぱいに見とれることしかできなくなっちゃうねー❤
おちんちんも勃起しちゃってビンビン～♪\nはやくこのおっぱいに近づきたいよ～って\nびくんびくんして尻尾振っちゃってる～❤,おちんちんも勃起しちゃってビンビン～♪\nはやくこのおっぱいに近づきたいよ～って\nびくんびくんして尻尾振っちゃってる～❤
きゃはは❤かっこわるいねー❤\nでもおっぱいエッチすぎて、目が離せないんだよねー❤,きゃはは❤かっこわるいねー❤\nでもおっぱいエッチすぎて、目が離せないんだよねー❤
こっち来ておっぱい見ちゃおうよ～❤\n顔を近づけておっぱい見たら、きもちいいよ～❤\nザコのお兄さん♪きゃはは❤,こっち来ておっぱい見ちゃおうよ～❤\n顔を近づけておっぱい見たら、きもちいいよ～❤\nザコのお兄さん♪きゃはは❤
あうう、おっぱい・・・❤❤,あうう、おっぱい・・・❤❤
ぷぷっ、ほんとに行くんだ❤\n悔しさとか情けなさとか、サキュバスにおっぱい揺らされたら、\nぜんぶ吹き飛んじゃうのね❤,ぷぷっ、ほんとに行くんだ❤\n悔しさとか情けなさとか、サキュバスにおっぱい揺らされたら、\nぜんぶ吹き飛んじゃうのね❤
お客のみなさーん、見て下さーい❤\nこれが我が商会で扱っているサキュバスカードの実力です❤\nあの最強のルーキーも、下級モンスターでメロメロ♪,お客のみなさーん、見て下さーい❤\nこれが我が商会で扱っているサキュバスカードの実力です❤\nあの最強のルーキーも、下級モンスターでメロメロ♪
才能がないって諦めてたカードマスターのみなさんも、\n強力なサキュバスカードを使えば、まだまだ活躍できますよー！\n明日から当会で発売しますので、ぜひぜひー！,才能がないって諦めてたカードマスターのみなさんも、\n強力なサキュバスカードを使えば、まだまだ活躍できますよー！\n明日から当会で発売しますので、ぜひぜひー！
くすくす❤\nサキュバスカードを使う人がいまよりもっと増えたら、\nザコルーキーくんは困っちゃうよねぇ❤,くすくす❤\nサキュバスカードを使う人がいまよりもっと増えたら、\nザコルーキーくんは困っちゃうよねぇ❤
だって、わたしみたいにおっぱいの大きい子がいっぱい増えて、\nその辺のＦランクマスターとかにもぜんぜん勝てなくなっちゃうよ❤,だって、わたしみたいにおっぱいの大きい子がいっぱい増えて、\nその辺のＦランクマスターとかにもぜんぜん勝てなくなっちゃうよ❤
ほらぁ、サキュバスカードの人気が出ないように、\nエッチなのはガマンガマン❤,ほらぁ、サキュバスカードの人気が出ないように、\nエッチなのはガマンガマン❤
おっぱいを顔の近くで揺らされてもぉ❤\nエッチなこと考えちゃだめ～♪\nゆさゆさゆさぁ❤,おっぱいを顔の近くで揺らされてもぉ❤\nエッチなこと考えちゃだめ～♪\nゆさゆさゆさぁ❤
はう、はううっ、むり、こんなのエロすぎてぇ・・・❤❤,はう、はううっ、むり、こんなのエロすぎてぇ・・・❤❤
きゃはは❤自分でしこしこ始めちゃった❤\n今日まで一回も負けないで頑張ってきたのに、\nわたしのおっぱいでぜーんぶ棒に振っちゃうね❤,きゃはは❤自分でしこしこ始めちゃった❤\n今日まで一回も負けないで頑張ってきたのに、\nわたしのおっぱいでぜーんぶ棒に振っちゃうね❤
おっぱい見ながらおちんちんさわるの気持ちいいねー❤\n顔の近くで揺らされて、甘ぁい匂いがいっぱいして、\n頭の中ふわふわ～❤なにも考えられない❤,おっぱい見ながらおちんちんさわるの気持ちいいねー❤\n顔の近くで揺らされて、甘ぁい匂いがいっぱいして、\n頭の中ふわふわ～❤なにも考えられない❤
ねー、お兄さんはもう二度とわたしに勝てないよねー。\nだって、おっぱい揺らされただけで負けちゃうんだもん❤\nそんなので勝てるわけないよ♪,ねー、お兄さんはもう二度とわたしに勝てないよねー。\nだって、おっぱい揺らされただけで負けちゃうんだもん❤\nそんなので勝てるわけないよ♪
武器を構えてもー、前かがみになるだけで、\n勝負おしまーい❤\nおちんちんシコシコすることしかできなくされちゃう❤,武器を構えてもー、前かがみになるだけで、\n勝負おしまーい❤\nおちんちんシコシコすることしかできなくされちゃう❤
こんな柔らかいだけのお肉にぃ、\nお兄さんは負けちゃうんだよー❤\nきゃはは❤ざーこ❤ざーこ❤ゆさゆさ～♪,こんな柔らかいだけのお肉にぃ、\nお兄さんは負けちゃうんだよー❤\nきゃはは❤ざーこ❤ざーこ❤ゆさゆさ～♪
ううっ、うううっ・・・❤❤,ううっ、うううっ・・・❤❤
おちんちん触られないで女の子に負けるの、くせになっちゃお❤\nほらぁ、とどめに、おっぱい寄せ上げてぇ～❤,おちんちん触られないで女の子に負けるの、くせになっちゃお❤\nほらぁ、とどめに、おっぱい寄せ上げてぇ～❤
はぁーい、だっぷん♪\n重たーいおっぱいの揺れを見せられてぇ、\n脳みそ壊れちゃえ❤ざーこ❤,はぁーい、だっぷん♪\n重たーいおっぱいの揺れを見せられてぇ、\n脳みそ壊れちゃえ❤ざーこ❤
はひぃっ、だめ、だめぇっ、ああっ❤❤,はひぃっ、だめ、だめぇっ、ああっ❤❤
きゃはは❤シコシコ全速力～❤\nイケイケだーせ❤\nおっぱいめがけて射精❤びゅるるるぅ❤,きゃはは❤シコシコ全速力～❤\nイケイケだーせ❤\nおっぱいめがけて射精❤びゅるるるぅ❤
おちんちんシコシコ止まらないねー❤\n何回出しても、どんどん精液が出てきてぇー\nいくらでもおもらしできちゃう❤,おちんちんシコシコ止まらないねー❤\n何回出しても、どんどん精液が出てきてぇー\nいくらでもおもらしできちゃう❤
サキュバスおっぱいで脳みそおかしくされて、\nおちんちん壊れちゃったねー❤\nほらほらぁもっとシコってぇ❤死んじゃうぐらい出せ出せ～❤,サキュバスおっぱいで脳みそおかしくされて、\nおちんちん壊れちゃったねー❤\nほらほらぁもっとシコってぇ❤死んじゃうぐらい出せ出せ～❤
くす❤びゅーびゅー、びゅーびゅーいっぱい出して、\nもう動かなくなっちゃった❤,くす❤びゅーびゅー、びゅーびゅーいっぱい出して、\nもう動かなくなっちゃった❤
試合を見てた人たち、みんなお兄さんに呆れちゃってるね❤\nああ、無敗のルーキーってただのロリコンマゾだったんだぁって\n失望した目でみんな見てる。,試合を見てた人たち、みんなお兄さんに呆れちゃってるね❤\nああ、無敗のルーキーってただのロリコンマゾだったんだぁって\n失望した目でみんな見てる。
おちんちんがついているせいで、こんな風になっちゃってかわいそー。\nくすくす❤,おちんちんがついているせいで、こんな風になっちゃってかわいそー。\nくすくす❤
