default
お嬢様サキュバス,千金魅魔
こうなったらやけくそよ。\nほら、見なさい。わたしのスカート。\n今からめくってあなたにわたしの下着を見せてあげる❤,こうなったらやけくそよ。\nほら、見なさい。わたしのスカート。\n今からめくってあなたにわたしの下着を見せてあげる❤
こんな誘惑で攻撃が止まるわけなんてないけど・・・。\nってあら？意外と葛藤してる？ふふ、\nとどめを刺す前にわたしのパンツちょっと見たいなって思ってるんだ❤,こんな誘惑で攻撃が止まるわけなんてないけど・・・。\nってあら？意外と葛藤してる？ふふ、\nとどめを刺す前にわたしのパンツちょっと見たいなって思ってるんだ❤
いいわよ。わたしはここから一歩も動かないわ。\nあなたはとどめの前に、好きなだけ女の子のパンツを楽しめばいい❤\nね、悪い話ではないでしょう？,いいわよ。わたしはここから一歩も動かないわ。\nあなたはとどめの前に、好きなだけ女の子のパンツを楽しめばいい❤\nね、悪い話ではないでしょう？
じっとして、そこでわたしの脚を見ていなさい❤くすくす❤,じっとして、そこでわたしの脚を見ていなさい❤くすくす❤
きゃん！あうう、足が止まったからいけると思ったのに・・・。,きゃん！あうう、足が止まったからいけると思ったのに・・・。
ふふ、悩んで一歩も動けなくなるなんて、\nずいぶんとかわいいいじゃない。さっきまで\nあんなに怖い顔をしてたのに、ずいぶんと情けない顔になったわね❤,ふふ、悩んで一歩も動けなくなるなんて、\nずいぶんとかわいいいじゃない。さっきまで\nあんなに怖い顔をしてたのに、ずいぶんと情けない顔になったわね❤
ふふ、コクンって頷いちゃって、\nそれはわたしのパンツを見たいってこと？\n強い戦士であっても結局性欲には流されちゃうのね❤,ふふ、コクンって頷いちゃって、\nそれはわたしのパンツを見たいってこと？\n強い戦士であっても結局性欲には流されちゃうのね❤
ほら、お待ちかねのパンチラよ。\nゆっくり片手でスカートをたくし上げてあげる❤\n好きなだけ見るといいわ。くすくすくす❤,ほら、お待ちかねのパンチラよ。\nゆっくり片手でスカートをたくし上げてあげる❤\n好きなだけ見るといいわ。くすくすくす❤
はうぅうっ・・・❤,はうぅうっ・・・❤
ふふ、こんな刺激ぐらいまだ耐えられるわよね？\nなにせわたしを追い詰めたぐらいだもの。\nちょっとパンツを見せたぐらいで負けたりしないはず。,ふふ、こんな刺激ぐらいまだ耐えられるわよね？\nなにせわたしを追い詰めたぐらいだもの。\nちょっとパンツを見せたぐらいで負けたりしないはず。
ううっ、だめ、もうっ・・・❤ああっ❤,ううっ、だめ、もうっ・・・❤ああっ❤
え？あは、もうイっちゃうの？\nパンツ見せられただけなのに？\nあんっ❤❤,え？あは、もうイっちゃうの？\nパンツ見せられただけなのに？\nあんっ❤❤
はへぇっ・・・❤,はへぇっ・・・❤
くすくすくす❤まさかこんなすぐ出しちゃうなんて、\nわたし、平民のおちんちんの弱さを侮っていたみたい。\n本当に弱いのね❤そんなにパンツが気に入った？,くすくすくす❤まさかこんなすぐ出しちゃうなんて、\nわたし、平民のおちんちんの弱さを侮っていたみたい。\n本当に弱いのね❤そんなにパンツが気に入った？
なんにしてもこれで体力は回復❤\nこの調子なら多少のダメージは怖がる必要もないのかも。\nだってまたパンツを見せればいいわけだし。ぷっ、くすくす❤,なんにしてもこれで体力は回復❤\nこの調子なら多少のダメージは怖がる必要もないのかも。\nだってまたパンツを見せればいいわけだし。ぷっ、くすくす❤
だから、もっとじーって見ていいのよ❤\n強いあなたなら、わたしのパンツを見ても、\n理性を保ってまだまだ戦えるわ❤,だから、もっとじーって見ていいのよ❤\n強いあなたなら、わたしのパンツを見ても、\n理性を保ってまだまだ戦えるわ❤
ほら、一回わざとスカートを降ろして、\nもういっかいぴらり❤\nくす、こうやってチラチラ見せられるのがいいのよね❤,ほら、一回わざとスカートを降ろして、\nもういっかいぴらり❤\nくす、こうやってチラチラ見せられるのがいいのよね❤
あは、ぴら、ぴらってするたびに、\nおちんちんがびくん、びくんって大きく動いちゃってる❤\nとっても分かりやすくて素直なチンポ❤,あは、ぴら、ぴらってするたびに、\nおちんちんがびくん、びくんって大きく動いちゃってる❤\nとっても分かりやすくて素直なチンポ❤
「素直」って言われてそんな嬉しそうな顔をしちゃって、\n別に褒めてないのよ❤むしろバカにしてるの❤\nああ、あなた変態だからバカにされた方がうれしいのかしら❤,「素直」って言われてそんな嬉しそうな顔をしちゃって、\n別に褒めてないのよ❤むしろバカにしてるの❤\nああ、あなた変態だからバカにされた方がうれしいのかしら❤
うぐ、そんなことは・・・❤ううっ・・・❤,うぐ、そんなことは・・・❤ううっ・・・❤
ふふ、そうはいってもそんなにおちんちん反応させてたら\n説得力ないわ。\nパンチラと罵倒、どっちもうれしそうじゃない❤,ふふ、そうはいってもそんなにおちんちん反応させてたら\n説得力ないわ。\nパンチラと罵倒、どっちもうれしそうじゃない❤
ねえ、そろそろおちんちん限界なんじゃない？\nわたしに何度もパンツを見せられて、\nムラムラがどんどん貯まっていって、今にも溢れだしそうなんでしょ❤,ねえ、そろそろおちんちん限界なんじゃない？\nわたしに何度もパンツを見せられて、\nムラムラがどんどん貯まっていって、今にも溢れだしそうなんでしょ❤
ほらそろそろわたしにとどめを刺さなくていいの？\nわたしのパンツを見るのをやめて、\n攻撃再開しなくいいのかしら。ぴらっ❤ちらっ❤,ほらそろそろわたしにとどめを刺さなくていいの？\nわたしのパンツを見るのをやめて、\n攻撃再開しなくいいのかしら。ぴらっ❤ちらっ❤
あひぃ、ううっ❤もうっ・・・❤,あひぃ、ううっ❤もうっ・・・❤
くすくす❤武器を振り上げる気配はなさそうね。\nそれどころか、おちんちんが射精の準備始めちゃってる❤\nパンチラに負けて、降参寸前❤,くすくす❤武器を振り上げる気配はなさそうね。\nそれどころか、おちんちんが射精の準備始めちゃってる❤\nパンチラに負けて、降参寸前❤
小さい女の子にくすくす笑われながら、\nみっともなく負けるの気持ちいいわよ❤\nほら、とどめにもう一回❤ちらっ❤,小さい女の子にくすくす笑われながら、\nみっともなく負けるの気持ちいいわよ❤\nほら、とどめにもう一回❤ちらっ❤
あうう、はへぇ・・・・❤❤,あうう、はへぇ・・・・❤❤
んふふ、どろどろの精液にエナジーがたっぷり溶けてる❤\n受けてたダメージもこれで回復ね❤,んふふ、どろどろの精液にエナジーがたっぷり溶けてる❤\n受けてたダメージもこれで回復ね❤
それにしても、すごく間抜けな顔❤\nパンチラなんかで逆転されて、少しは悔しがったらどうなのかしら。\nくすくす❤,それにしても、すごく間抜けな顔❤\nパンチラなんかで逆転されて、少しは悔しがったらどうなのかしら。\nくすくす❤
わたしに臣従して、最後には自らエナジーを差し出して敗北❤\n人間のマスターではサキュバスには勝てないってこと\nよく理解できたかしら❤くすくす❤,わたしに臣従して、最後には自らエナジーを差し出して敗北❤\n人間のマスターではサキュバスには勝てないってこと\nよく理解できたかしら❤くすくす❤
わたしにオナニー手伝ってもらえてよかったわね❤\nほら、手に精液がべっとり❤\nあなたの濃い魔力、ありがたくもらっておくわ。,わたしにオナニー手伝ってもらえてよかったわね❤\nほら、手に精液がべっとり❤\nあなたの濃い魔力、ありがたくもらっておくわ。
ちゃんと攻撃すれば、か弱いわたしぐらい倒せたでしょうに。\n人間の男はほんの短い時間ですら、欲情を抑ええられないのかしら。\n浅ましいわ❤くすくす❤,ちゃんと攻撃すれば、か弱いわたしぐらい倒せたでしょうに。\n人間の男はほんの短い時間ですら、欲情を抑ええられないのかしら。\n浅ましいわ❤くすくす❤
ずいぶんカッコ悪い負け方しちゃったわね。\nこんな布切れひとつで射精しゃうなんて、\nほんと人間の男ってバカな生き物❤,ずいぶんカッコ悪い負け方しちゃったわね。\nこんな布切れひとつで射精しゃうなんて、\nほんと人間の男ってバカな生き物❤
くすくす❤小さいおっぱいに押し付けられながらの手コキ、\nずいぶん気持ちよかったようね❤\nこんなに出して、このロリコン❤,くすくす❤小さいおっぱいに押し付けられながらの手コキ、\nずいぶん気持ちよかったようね❤\nこんなに出して、このロリコン❤
くすくす❤遠隔手コキでなすすべなく搾り取られちゃったわね❤\nこんな小さな手にすら勝てないなんて、\nBランクマスターもたいしたことないわ❤,くすくす❤遠隔手コキでなすすべなく搾り取られちゃったわね❤\nこんな小さな手にすら勝てないなんて、\nBランクマスターもたいしたことないわ❤
くす❤踏まれて喜んじゃって、このヘンタイ❤\nロリコンマゾのエナジーで足がドロドロよ❤\nこんなに濃いの出すなんてよっぽど気持ちよかったのね❤,くす❤踏まれて喜んじゃって、このヘンタイ❤\nロリコンマゾのエナジーで足がドロドロよ❤\nこんなに濃いの出すなんてよっぽど気持ちよかったのね❤
くすくす❤ちゅってしてあげたのと同時に射精しちゃった❤\n根元からしこしこしこーって精液押し出されて、\n全然耐えられなかったわね❤人間って弱い❤,くすくす❤ちゅってしてあげたのと同時に射精しちゃった❤\n根元からしこしこしこーって精液押し出されて、\n全然耐えられなかったわね❤人間って弱い❤
あは、攻撃やめて本当にシコって射精しちゃった❤\nパンチラひとつで脳みそバカにされて、\nくすくす、男ってあわれな生き物ね❤,あは、攻撃やめて本当にシコって射精しちゃった❤\nパンチラひとつで脳みそバカにされて、\nくすくす、男ってあわれな生き物ね❤
ふふ❤投げキスされただけで、そんなに出しちゃうんだ。\n平民チンポ弱すぎよ。くすくす❤,ふふ❤投げキスされただけで、そんなに出しちゃうんだ。\n平民チンポ弱すぎよ。くすくす❤
決着ー！！勝者はリュカ・シャルロット選手！,決着ー！！勝者はリュカ・シャルロット選手！
まさかあの無敗のルーキーが名誉Ｂランクに敗北してしまうとは！！\n衝撃の結末に会場中がどよめています！,まさかあの無敗のルーキーが名誉Ｂランクに敗北してしまうとは！！\n衝撃の結末に会場中がどよめています！
レアなサキュバスカードが大量に投入されたシャルロット選手のデッキ、\nこれがその力ということなのでしょうか！,レアなサキュバスカードが大量に投入されたシャルロット選手のデッキ、\nこれがその力ということなのでしょうか！
くすくす❤あなたが負けたこと、\n会場のみんなが驚いているわ。\nでも、そんなに驚くことじゃないわよね。だって・・・❤,くすくす❤あなたが負けたこと、\n会場のみんなが驚いているわ。\nでも、そんなに驚くことじゃないわよね。だって・・・❤
サキュバスが人間の男に勝つなんて、当たり前のことですもの。\nほら・・・❤,サキュバスが人間の男に勝つなんて、当たり前のことですもの。\nほら・・・❤
負けたばかりなのに、あなたのチンポはビンビン❤\nまたサキュバスに搾ってもらうことしか頭にないわ。,負けたばかりなのに、あなたのチンポはビンビン❤\nまたサキュバスに搾ってもらうことしか頭にないわ。
たとえ、みなの期待を裏切ろうが、\nこうやって扱いてほしいんでしょう？,たとえ、みなの期待を裏切ろうが、\nこうやって扱いてほしいんでしょう？
ううっ、やめろ・・・❤,ううっ、やめろ・・・❤
あら、ほんとにやめてほしいの？\nチンポはそう言っていないみたいだけど。くすくす❤,あら、ほんとにやめてほしいの？\nチンポはそう言っていないみたいだけど。くすくす❤
あっ、早く動かされたらっ❤❤あっ、ああっ❤,あっ、早く動かされたらっ❤❤あっ、ああっ❤
気持ちよさそうな声❤\n小さい女の子にいいように喘がされてみっともないわ❤,気持ちよさそうな声❤\n小さい女の子にいいように喘がされてみっともないわ❤
でもほら、あなたが言うようにちゃんとやめてあげる。\n平民のお願いを聞き入れるなんて、\nわたしって優しいでしょ？,でもほら、あなたが言うようにちゃんとやめてあげる。\n平民のお願いを聞き入れるなんて、\nわたしって優しいでしょ？
うあっ、あう、ううっ・・❤❤,うあっ、あう、ううっ・・❤❤
うふふ、変な声をあげて、\nもしかしてもうイキそうだったのかしら。\n手でちょっといじめてあげただけでずいぶんと弱いチンポね❤,うふふ、変な声をあげて、\nもしかしてもうイキそうだったのかしら。\n手でちょっといじめてあげただけでずいぶんと弱いチンポね❤
それでどうする？あなたが望むなら、解放してあげてもいいわよ。\nそのヒクヒクさせているものをそのままにして、\n回れ右して会場を立ち去りなさい。,それでどうする？あなたが望むなら、解放してあげてもいいわよ。\nそのヒクヒクさせているものをそのままにして、\n回れ右して会場を立ち去りなさい。
もしまたしごいて欲しいのなら、\nふふ、そこで棒立ちになっていればいいわ。\n何も選ばずただ流されればいいの。簡単でしょ❤,もしまたしごいて欲しいのなら、\nふふ、そこで棒立ちになっていればいいわ。\n何も選ばずただ流されればいいの。簡単でしょ❤
あ、ああ・・・。ぼくは・・・。,あ、ああ・・・。ぼくは・・・。
そのとき会場にいるファンの人たちの姿が目に入った。そうだ、僕に期待してくれている人たちがいる。ファン以外にも師匠や他の人だって…。妹を救うためにも、こんなところでみっともなく快楽に流されるわけにはいかない！,そのとき会場にいるファンの人たちの姿が目に入った。そうだ、僕に期待してくれている人たちがいる。ファン以外にも師匠や他の人だって…。妹を救うためにも、こんなところでみっともなく快楽に流されるわけにはいかない！
ぼくは、お前には屈しないっ、だから・・・。,ぼくは、お前には屈しないっ、だから・・・。
はい、時間切れ❤,はい、時間切れ❤
あひぃっ❤あっ、あっ、そんなっ❤ああうぅっ❤❤,あひぃっ❤あっ、あっ、そんなっ❤ああうぅっ❤❤
考えてる時間が長いのよ。\n１０秒も２０秒も悩んじゃって、待ちくたびれたわ。\n断るつもりがあるのなら、さっさとしなさい。,考えてる時間が長いのよ。\n１０秒も２０秒も悩んじゃって、待ちくたびれたわ。\n断るつもりがあるのなら、さっさとしなさい。
戦場でそれだけ棒立ちになっていたら、\n一方的に嬲られて当然でしょう？\n今だって同じよ。逆に２０秒も待ってあげて寛大なぐらいだわ❤,戦場でそれだけ棒立ちになっていたら、\n一方的に嬲られて当然でしょう？\n今だって同じよ。逆に２０秒も待ってあげて寛大なぐらいだわ❤
ああ、そうそう。本気で腰を引けば、\nこの召喚ゲートからは逃げられるから、\nもし脱出する気があるならそうしなさい。といっても・・・❤,ああ、そうそう。本気で腰を引けば、\nこの召喚ゲートからは逃げられるから、\nもし脱出する気があるならそうしなさい。といっても・・・❤
むしろ快楽をねだって腰を突き出しているようでは、\nとうてい脱出は無理だと思うけど。\nくすくす❤,むしろ快楽をねだって腰を突き出しているようでは、\nとうてい脱出は無理だと思うけど。\nくすくす❤
うっ❤ううっ、みんな見てるのにっ❤ああっ、きもちよくてっ❤❤,うっ❤ううっ、みんな見てるのにっ❤ああっ、きもちよくてっ❤❤
あら先っぽがパンパンね。もう射精しちゃうの？\nほら、その張り詰めた先っぽをわたしの小さな手で、\nシコシコ扱いていじめてあげる❤,あら先っぽがパンパンね。もう射精しちゃうの？\nほら、その張り詰めた先っぽをわたしの小さな手で、\nシコシコ扱いていじめてあげる❤
カリ首の出っ張ったところ、ここが一番弱いのよね❤\n小さな指の強い締め付けで、\n中身を搾りだされてしまいなさい❤ふふふ❤,カリ首の出っ張ったところ、ここが一番弱いのよね❤\n小さな指の強い締め付けで、\n中身を搾りだされてしまいなさい❤ふふふ❤
あっ、あっ、ああっ❤こんなのむりっ、もうっ❤❤,あっ、あっ、ああっ❤こんなのむりっ、もうっ❤❤
平民のマゾチンポからわたしにエナジー献上なさい❤\nあなたは小さな女の子の小さな手に弄ばれて、\n一方的に負けるのよ。ほら❤ほらほら❤,平民のマゾチンポからわたしにエナジー献上なさい❤\nあなたは小さな女の子の小さな手に弄ばれて、\n一方的に負けるのよ。ほら❤ほらほら❤
ふふ、なかなか良質な精液ね。\n精液の質だけは、さすがはBランクマスターというところかしら。,ふふ、なかなか良質な精液ね。\n精液の質だけは、さすがはBランクマスターというところかしら。
あなたのこと、せっかくだからわたしの精液奴隷にしてあげる。\nうれしいでしょう？この手でまた可愛がってもらえるのよ。\nくすくす❤,あなたのこと、せっかくだからわたしの精液奴隷にしてあげる。\nうれしいでしょう？この手でまた可愛がってもらえるのよ。\nくすくす❤
そう言って彼女は、地面に横たわる僕の額に、軽く口づけをした。,そう言って彼女は、地面に横たわる僕の額に、軽く口づけをした。
唇の当たった箇所がじんじんとうずき、何かがすぅーっと染み込んでいくような感覚がする。脳が奥までしびれるような心地よさの中、僕は気絶し、意識を手放したのだった。,唇の当たった箇所がじんじんとうずき、何かがすぅーっと染み込んでいくような感覚がする。脳が奥までしびれるような心地よさの中、僕は気絶し、意識を手放したのだった。
それから数日後,それから数日後
僕は闘技場での初めての敗北のあと、快楽に負けてしまった自分の弱さを反省し、再び修行に励んでいた。,僕は闘技場での初めての敗北のあと、快楽に負けてしまった自分の弱さを反省し、再び修行に励んでいた。
大量に搾り取られた魔力もようやく元通りになり、カードの使用も問題なくできるようになった。精神力を鍛え直して、いずれあのマスターにもリベンジをしたいところだ。,大量に搾り取られた魔力もようやく元通りになり、カードの使用も問題なくできるようになった。精神力を鍛え直して、いずれあのマスターにもリベンジをしたいところだ。
よし、今日は街にバトルをしに行こう。,よし、今日は街にバトルをしに行こう。
（ん・・・？なにか体の感じが変なような・・・。）,（ん・・・？なにか体の感じが変なような・・・。）
下半身に妙な感覚を感じかと思うと、ズボンの中がわずかに発光した。僕は驚いてズボンの中を見ると、なんと自分のペニスが光のゲートのようなものに飲み込まれている。,下半身に妙な感覚を感じかと思うと、ズボンの中がわずかに発光した。僕は驚いてズボンの中を見ると、なんと自分のペニスが光のゲートのようなものに飲み込まれている。
びっくりしたのも束の間、不意にペニスを誰かに触られている感覚が走った。,びっくりしたのも束の間、不意にペニスを誰かに触られている感覚が走った。
なっ、この感触っ❤もしかしてこの間のっ❤❤,なっ、この感触っ❤もしかしてこの間のっ❤❤
うあっ、指が、からみついてきてっ❤ああっ、きもちいっ❤あっ、あっ❤,うあっ、指が、からみついてきてっ❤ああっ、きもちいっ❤あっ、あっ❤
どこかに召喚されているペニスを、誰かの指がなまめかしく扱き上げてくる。この指の動き、気持ちよさ、おそらく闘技場で戦ったあのサキュバスだ。,どこかに召喚されているペニスを、誰かの指がなまめかしく扱き上げてくる。この指の動き、気持ちよさ、おそらく闘技場で戦ったあのサキュバスだ。
そんなことを考えているのも束の間、みるみるうちに射精感が高められていく。男のツボを知り尽くしたその手の動きに、僕は全く抗うことができない。,そんなことを考えているのも束の間、みるみるうちに射精感が高められていく。男のツボを知り尽くしたその手の動きに、僕は全く抗うことができない。
うあっ、指の動きが早くなって❤だめっ、そんな先っぽをっ❤あひぃっ❤❤,うあっ、指の動きが早くなって❤だめっ、そんな先っぽをっ❤あひぃっ❤❤
はぁ、はぁ・・・❤ううっ・・・❤,はぁ、はぁ・・・❤ううっ・・・❤
ゲートの向こうで何回か射精し、最後に先端に残った精液が、ちゅぱっと唇のような感触に吸い出される。,ゲートの向こうで何回か射精し、最後に先端に残った精液が、ちゅぱっと唇のような感触に吸い出される。
僕は誰もいない宿屋で、床に倒れ伏しながらその快感に喘ぐことしかできなかった。,僕は誰もいない宿屋で、床に倒れ伏しながらその快感に喘ぐことしかできなかった。
この現象はきっと先日戦ったサキュバスのせいに違いないと思った僕は、リュカ商会の店舗を訪ねていた。,この現象はきっと先日戦ったサキュバスのせいに違いないと思った僕は、リュカ商会の店舗を訪ねていた。
商会の店頭は多くのお客さんでにぎわっていた。僕をダシにして宣伝したサキュバスのカードが、飛ぶように売れているようだ。,商会の店頭は多くのお客さんでにぎわっていた。僕をダシにして宣伝したサキュバスのカードが、飛ぶように売れているようだ。
僕が訪ねてきたというのを聞いて、店の奥からリュカ・シャルロットが出てきた。事情を話すと、ああ、そのことね、と分かっていた風の反応を返す。,僕が訪ねてきたというのを聞いて、店の奥からリュカ・シャルロットが出てきた。事情を話すと、ああ、そのことね、と分かっていた風の反応を返す。
あなたが負けたとき、あの子に支配のマークを付けられていたでしょ？\nたぶんあれの効果だと思うわ。,あなたが負けたとき、あの子に支配のマークを付けられていたでしょ？\nたぶんあれの効果だと思うわ。
といってもわたし自身、\nサキュバスの子たちの力を全部把握しているわけじゃないのよね。\nま、いいじゃない、気持ちよくしてもらえるなら。,といってもわたし自身、\nサキュバスの子たちの力を全部把握しているわけじゃないのよね。\nま、いいじゃない、気持ちよくしてもらえるなら。
いつでもサキュバスに触ってもらえるのよ。\n男にとって夢のような話じゃない。\nくすくす❤,いつでもサキュバスに触ってもらえるのよ。\n男にとって夢のような話じゃない。\nくすくす❤
え？それじゃ困るって？\nまったく、わがままね。それなら直接交渉しなさい。\nわたしは忙しいの。,え？それじゃ困るって？\nまったく、わがままね。それなら直接交渉しなさい。\nわたしは忙しいの。
{自分}を召喚、えい！,{自分}を召喚、えい！
あら、わざわざ訪ねてきたの？\n朝は精液をごちそうさま❤\nなかなかいい朝食だったわ。,あら、わざわざ訪ねてきたの？\n朝は精液をごちそうさま❤\nなかなかいい朝食だったわ。
ああ、そっか説明しないままだったものね。驚かせちゃったのかしら。\nあなたの体はわたしのものになったの。\nわたしが望めばいつでもあなたの体の一部を召喚できるのよ。,ああ、そっか説明しないままだったものね。驚かせちゃったのかしら。\nあなたの体はわたしのものになったの。\nわたしが望めばいつでもあなたの体の一部を召喚できるのよ。
わたしがカードの中にいるときでも呼び出せるから、\nふふ、ちょっとお腹が空いたなーって時には便利ね❤\nすぐ射精するから搾るのも楽だし。くすくすくす❤,わたしがカードの中にいるときでも呼び出せるから、\nふふ、ちょっとお腹が空いたなーって時には便利ね❤\nすぐ射精するから搾るのも楽だし。くすくすくす❤
・・・・。,・・・・。
ふーん、修行をしたいからやめてほしいの。\nそんなのわたし知らないわ。\nなんで平民の都合を高貴なわたしが気にしないといけないのかしら。,ふーん、修行をしたいからやめてほしいの。\nそんなのわたし知らないわ。\nなんで平民の都合を高貴なわたしが気にしないといけないのかしら。
ちなみに服従の証はあなたが心から屈服した時にしか刻めないの。\nつまり、闘技場で負けたとき、確かにあなたは\nわたしにすべてを差し出したいって思っていたのよ。,ちなみに服従の証はあなたが心から屈服した時にしか刻めないの。\nつまり、闘技場で負けたとき、確かにあなたは\nわたしにすべてを差し出したいって思っていたのよ。
もしこの契約を解除してほしいなら、\nわたしを倒してみなさい。そうすれば臣従は解除されるわ。\nま、弱いあなたにそんなことができればだけど❤,もしこの契約を解除してほしいなら、\nわたしを倒してみなさい。そうすれば臣従は解除されるわ。\nま、弱いあなたにそんなことができればだけど❤
だって、ほら・・・❤,だって、ほら・・・❤
やめてくれっていう話をしているはずなのに、\nさっきからチンポギンギンにしてるじゃない❤,やめてくれっていう話をしているはずなのに、\nさっきからチンポギンギンにしてるじゃない❤
わたしの体を見て、わたしの声を聞いて、\nそんなにムラムラしちゃったの？\n節操がないのね。このロリコン❤,わたしの体を見て、わたしの声を聞いて、\nそんなにムラムラしちゃったの？\n節操がないのね。このロリコン❤
あっ、ああっ、だめっ・・・❤だめなのにっ・・・❤,あっ、ああっ、だめっ・・・❤だめなのにっ・・・❤
くすくす❤ロリコンは言うことが口だけね。\nカードを使って下級モンスター１体ぐらい倒せばいいじゃない❤,くすくす❤ロリコンは言うことが口だけね。\nカードを使って下級モンスター１体ぐらい倒せばいいじゃない❤
チンポ扱かれて気持ちよくて、\n呪文を十分に唱えることもできない。\nただ腰を突きだしてみっともなくチンポ差し出すだけ❤,チンポ扱かれて気持ちよくて、\n呪文を十分に唱えることもできない。\nただ腰を突きだしてみっともなくチンポ差し出すだけ❤
サキュバスに向かってチンポ差し出せば、\nエナジー搾り取られることなんて、分かり切ってることなのに❤\nほら・・・❤,サキュバスに向かってチンポ差し出せば、\nエナジー搾り取られることなんて、分かり切ってることなのに❤\nほら・・・❤
さっさと果てなさい❤ロリコン❤,さっさと果てなさい❤ロリコン❤
あひっ、激しくされたらっ、ああっ❤❤,あひっ、激しくされたらっ、ああっ❤❤
ふふ、ほんと口ほどにもない❤\n精液の質がいいだけの、ただのマゾ豚ね❤,ふふ、ほんと口ほどにもない❤\n精液の質がいいだけの、ただのマゾ豚ね❤
あなたはもうカードマスターなんてやめてしまえばいいのよ。\n体の中で作られた魔力に生命力、\n全部わたしに捧げるためだけに生きなさい❤それがあなたの人生よ❤,あなたはもうカードマスターなんてやめてしまえばいいのよ。\n体の中で作られた魔力に生命力、\n全部わたしに捧げるためだけに生きなさい❤それがあなたの人生よ❤
分かったなら、射精して返事なさい。\nほらほらほら❤,分かったなら、射精して返事なさい。\nほらほらほら❤
あぎぃっ❤❤あっ、ああっ❤❤,あぎぃっ❤❤あっ、ああっ❤❤
ふ、他愛もない。\n立場の差が分かったかしら。くすくすくす❤,ふ、他愛もない。\n立場の差が分かったかしら。くすくすくす❤
こうして{自分}に徹底的に搾り取られた僕は、彼女の快楽の前に完全に屈してしまった。,こうして{自分}に徹底的に搾り取られた僕は、彼女の快楽の前に完全に屈してしまった。
彼女に絶対に勝てないと心から分からされただけではない、彼女が与える快楽に対してすっかり虜になってしまったのだ。,彼女に絶対に勝てないと心から分からされただけではない、彼女が与える快楽に対してすっかり虜になってしまったのだ。
当然、魔力を好きに搾り取られたら、カードを使った修行などできるはずがない。僕はバトルをほとんどできなくなり、腕前もどんどん落ちて行った。それでも。,当然、魔力を好きに搾り取られたら、カードを使った修行などできるはずがない。僕はバトルをほとんどできなくなり、腕前もどんどん落ちて行った。それでも。
彼女の手で時折可愛がってもらえる、そのことが僕にとって一番の生きる意味になっていた。ほかのことなどすべてどうでもよくなってしまった。,彼女の手で時折可愛がってもらえる、そのことが僕にとって一番の生きる意味になっていた。ほかのことなどすべてどうでもよくなってしまった。
彼女は僕をおもちゃ程度にしか思っていないので、たまに扱くだけ扱いたあとに射精をせずに解放されることがあった。,彼女は僕をおもちゃ程度にしか思っていないので、たまに扱くだけ扱いたあとに射精をせずに解放されることがあった。
その場合、射精をしたくて悶絶する僕の耳が彼女の口元に召喚され、わざとらしく、くすくす、くすくすと笑い声だけを聞かせて、僕を弄び楽しむのだった。,その場合、射精をしたくて悶絶する僕の耳が彼女の口元に召喚され、わざとらしく、くすくす、くすくすと笑い声だけを聞かせて、僕を弄び楽しむのだった。
お嬢さまの遊び道具にされ、ただただ彼女の都合のいい存在として生きるだけの日々。彼女のあっせんでリュカ商会にタダ働き同然の奴隷として雇われて、僕は死ぬまでそこで働くことになった。,お嬢さまの遊び道具にされ、ただただ彼女の都合のいい存在として生きるだけの日々。彼女のあっせんでリュカ商会にタダ働き同然の奴隷として雇われて、僕は死ぬまでそこで働くことになった。
こうして無敗を誇っていた最強のルーキーは、下級モンスターのサキュバスに魅了され、その下僕として人生を終えた。サキュバスたちから妹を救うはずだった彼の物語は、逆にサキュバスの奴隷となってその幕を閉じたのだった。,こうして無敗を誇っていた最強のルーキーは、下級モンスターのサキュバスに魅了され、その下僕として人生を終えた。サキュバスたちから妹を救うはずだった彼の物語は、逆にサキュバスの奴隷となってその幕を閉じたのだった。
わたしを守るモンスターの壁が多くて、もう無理だって思っちゃった？\n平民にふさわしい意志の弱さね。\n勝てない相手にはすぐこびへつらう、それでこそ平民よ❤,わたしを守るモンスターの壁が多くて、もう無理だって思っちゃった？\n平民にふさわしい意志の弱さね。\n勝てない相手にはすぐこびへつらう、それでこそ平民よ❤
くすくす❤遠隔手コキでなすすべなく搾り取られちゃったわね❤\nこんな小さな手にすら勝てないなんて、\n{ランク名}ランクマスターもたいしたことないわ❤,くすくす❤遠隔手コキでなすすべなく搾り取られちゃったわね❤\nこんな小さな手にすら勝てないなんて、\n{ランク名}ランクマスターもたいしたことないわ❤
理性を振り絞ってとどめを刺した,理性を振り絞ってとどめを刺した
彼女の提案に心惹かれてしまった,彼女の提案に心惹かれてしまった
