default
サキュバス少女,魅魔少女
でも、あなたのマスターがかわいそう。大事な従者だと思っていたのに、サキュバスのキス一つで裏切られて・・・❤,不過你的主人好可憐喔。他把你當作重要的手下，但你卻因為魅魔的一個吻而背叛。
こんな風に、ちゅっちゅってほっぺたにキスされただけで、主従関係捨てちゃうんですもん❤,小女生跟你說想親親臉，就可以讓你放棄主人呢❤。
はうぅっ・・・❤,哈嗚……。
うふふ❤ほっぺたのキス、とっても気持ちよさそうですね。,嗯呼呼❤被親臉的感覺很舒服呢。
おちんちんを扱く手がどんとん早くなって、甘えるみたいにじーっとわたしの顔見ちゃって、かわいいです❤,握住小雞雞的手也越來越快了，還一臉發情的看著人家的臉，好可愛喔❤
直接キスして欲しいですか？こうやって唇を顔に近づけて、んっちゅ・・・❤,想要直接吻嗎？要人家像這樣靠近你的臉，啾❤？
ふふ、まだお預けですよ。今はキスをするまねっこ。唇と唇がくっつきそうな距離で、何回もちゅって音を立ててあげます❤,嗯呼呼，不給你。我只做假接吻。在唇與唇的極近距離，發出啾❤的聲音來勾引你的性慾。
あなたがイく瞬間になったら、たっぷり唇にキスしてあげますからね❤,只有在你射的瞬間，才會疊上你唇親下去喔❤。
ほら、ちゅっ❤んっちゅ❤ちゅ❤,你聽。啾❤啾❤啾❤。
あっ、あっ、ああっ・・・❤,啊、啊、啊啊……。
んふふ❤すっごく興奮しちゃってる❤敵の女の子に唇でからかわれながらするオナニー、くせになっちゃいそうですね。,嗯呼呼❤你超興奮的耶，被敵方女孩子的嘴唇嘲弄的同時還可以自慰，你是不是有這種性癖啊。
にやにや笑われながら、ちゅぱちゅぱいっている唇の音に合わせて、シコシコ、シコシコ・・・❤,被女孩子嘲笑的同時，配合人家啾啾啾的唇聲來套弄，上下上下上下……。
とってもみじめなはずなのに、腰がびくびくしちゃってて、かわいいです❤,明明是超丟人的感覺，手淫卻完全停不下來，好可愛喔❤。
もうあと数回しごけば出ちゃいそうですね❤出したらダメなのに、マスターのこと裏切って、敵を回復させちゃう裏切りおもらし・・・❤,再手淫幾下就要射了喔，但是不可以射喔，因為那會讓敵人回復，是背叛主人的行為喔❤。
いいですよ。負けちゃってください❤ちっちゃな女の子に負けちゃう幸せ、唇にたっぷり刻みつけてあげます。んっちゅ❤,但是人家說你可以射喔。可以射精敗北喔❤敗給一個小女生的幸福感，會從嘴唇烙印在你身上喔。啾❤。
あは❤すごい量です。キスしてあげただけなのに、精液がこんなにたくさん・・・❤,啊哈哈❤好驚人的量喔。只是被小女生接吻，就有這麼大量的精液耶。
他のお兄さんたちもこっちに来ていいですよ。自分から負けてくれるなら、ご褒美のキス、してあげますからね❤,其他的哥哥們也可以過來喔。只要你願意自己敗北的話，就給你接吻做為獎勵喔。
わたしの勝ちですね❤オナニーしながらのキス、気持ちよかったですか？,是人家贏了呢❤，一邊自慰一邊接吻是不是很爽啊？
足が精液でどろどろ❤みっともなくおねだりして負けて恥ずかしいですね。ふふふ♪,腳下都沾滿精液了呢❤，求小女生幫自己射精敗北好丟臉喔。嗯呼呼。
キス、気持ちよかったですか？わたしの勝ちですね❤,接吻是不是很舒服啊？這麼一來是人家贏了喔❤。
スライム使いのサキュバスは、主人公が動けなくなったのを見ると、そばにいた商人に手下のスライムたちを差し向けた。,以史萊姆戰鬥的魅魔，在看見我不動了以後，便命令手下的史萊姆攻擊旁邊的商人。
サキュバスの魔力を受けていつの間にか魅了されていた商人は、逃げることもできずすぐにスライムたちに捕まり、全身を彼女たちに包み込まれていった。,受到魅魔的魔力影響，商人被魅惑，連逃走都沒有辦法就被史萊姆們抓住，全身被她們給包覆住。
スライム越しにくぐもった嬌声が聞こえ始める。彼もまた身動きができなくなるまで搾り取られてしまうのだろう。,透過史萊姆可以聽見商人被蓋在黏液下的嬌喘聲。可以想像他將會被搾到身體動彈不得。
僕はその様子を、快感にしびれぼんやりとした頭の中で、ただ見ていることしかできなかった。,我的腦袋被快感給麻痺，只能看著事情發生而什麼也不能做。
くううっ・・。こんなはずじゃ・・・。,咕嗚嗚……。不該這樣的……。
くすくす❤何がこんなはずじゃないんですか？みっともなくわたしにイかされたばっかりなのに・・・❤,嗯呼呼❤什麼不該這樣啊？剛剛不是還在發出丟人的嬌喘聲高潮的嗎？
いまさら落ち着いてもカッコ悪いだけですよ。エッチな攻撃に負けちゃった、護衛のカードマスターさん❤,現在才冷靜下來也是只剩下丟人的感覺而已喔。敗給色色攻擊的護衛卡片玩家大哥。
あ、もしかして一回射精してスッキリしたから、そんな冷静なことを言い出したんでしょうか。,啊，不過你是因為射精一次後才有辦法冷靜說話的吧？
そんな余裕はすぐなくなりますよ。ほら、わたしの脚を見てください。,那種冷靜很快也會消失的喔。來，看人家的腳。
ピンク色でどろっとしているでしょう？わたし、体の一部をスライムに変えられるんです。,有粉紅色的黏液對吧？人家可以把身體的一部分變成史萊姆喔。
この特別な足で、人間じゃ絶対ありえない快感をたっぷり教えてあげますね❤えいっ・・・❤,所以可以用這隻特別的腳教會你一種人類絕對沒辦法體驗到的快感喔❤，嘿呀……❤。
あひぃっ❤また踏まれてぇっ、スライムがっ、ああっ❤❤,啊啊！又被踩了！被史萊姆、啊啊！
あひぃっ❤なにこれっ、どうなって・・・❤スライムがっ、ああっ❤❤,啊咿！這是什麼！怎麼會！史萊姆、啊啊！
うふふ❤かかとでぐちゅぐちゅしごかれるの、気持ちいいですか？,嗯呼呼❤被腳跟上的黏液上幹的感覺很爽對不對？
お兄さんのおちんちんを踏んづけてあげているだけですよ。ただし、かかとのところで呑み込んじゃいましたけど❤,人家只是踩踏大哥的小雞雞而已喔。只是腳跟會把大哥的一部分給吞噬就是❤。
ふつうなら踏んづけられたら痛いのに、体を一部スライムにしてあげれば、こんなこともできるんです。まるでおまんこに入れているみたいでしょ？,本來被踐踏應該會很痛的，但是只要把身體一部分給史萊姆化，就可以達到這種效果喔。簡直就像是在插入小穴一樣對不對？
こんな風に雑に上下に動かしているだけで、ほら、ほら、ほら・・・❤お兄さんの顔どんどんとろけちゃいますね❤,所以只要這樣隨便上下踩動，嘿呀、嘿呀、嘿呀❤，大哥就會一臉爽翻的樣子呢❤。
自分より小さな女の子にガシガシっておちんちんを踏みつけられて、そのたびに喘いじゃってる。ふふ、気持ち悪いです❤ほんとうに変態です❤,被比自己還要嬌小的小女生給亂踩小雞雞，還每被踩一下就嬌喘一聲。嗯呼呼，這感覺好噁心喔❤，簡直就是變態❤。
あうっ❤うっ、ああっ❤絡みついてくるっ❤❤気持ちいいっ❤,啊嗚！嗚、啊啊！黏上來了！好舒服喔！
サキュバスに踏みつけられるの、病みつきになっちゃいそうですか？,要染上被魅魔踩踏會興奮的性癖了嗎？
人間はサキュバスに吸われるために生きている・・・。サキュバスに実際に会ってみると、そのことがよくわかるでしょう？,人類就是為了被魅魔吸食而生的存在……。實際體驗過一次魅魔後，有沒有理解這個事實了呢？
サキュバスにおちんちんを一度いじめられたら、絶対に逆らえなくなっちゃう。気持ちよくて気持ちよくて、何もかも差し出しちゃうんです。,只要被魅魔虐過一次小雞雞後，就會再也無法抵抗魅魔。感覺好爽好舒服，為了快感什麼都會交出來。
あなたが修行して身につけた、それなりに強い魔力も、ぜんぶサキュバス様に献上するためのもの。そうですよね？,你從修行中得來的強大魔力，全部都會用來獻給高等生物的魅魔喔。你正在這麼做對吧？
ち、ちがっ・・・❤あっ❤あひっ、あああっ❤,不、不是……！啊、啊咿、啊啊啊！
うふふ、そんなに喘いでいたら反論なんて出来るわけないじゃないですか❤,嗯呼呼❤叫成那樣根本沒辦法反駁呢。
違うと思うなら、その声を抑えてみてください。踏まれて喜んじゃうようなマゾなおちんちんを、勃起させないように頑張ってみてください❤,如果覺得不是的話，大哥要先想辦法停止嬌喘喔。然後還要努力讓那根被踩會興奮的被虐雞雞停止勃起喔。
じゃないと、わたしにはもっと踏んでほしいですって訴えているようにしか見えません❤くすくす❤,不然啊，人家只會覺得他根本在說我還想被踩呢，嗯呼呼❤。
もし違うと言うのなら、もう踏むのやめていいんでしょうか？ねえ、正直に言ってください。,如果你能認真說自己不是這樣的話，人家可以停止踩你喔。來，老實說，你喜不喜歡被踩？
そ、それはっ・・・❤うっ❤ううっ❤,那、那個我……！嗚、嗚嗚！
あは、言えないんだ。ほら、ほらほらほら❤こうやってぐりぐりされるのが気持ちいいんですよね。踏みつけられて喜んで、馬鹿みたいに感じちゃうんですよね。,啊哈哈，說不出來呢。感受我腳跟的力道，你就是被這樣子羞辱還會爽的喔。
あがっ、あぐっ❤❤あっ、ああっっ・・・❤,啊嘎、啊咕！啊、啊啊啊……！
あはは、もう人の言葉もしゃべれませんね❤カードマスターだろうと踏んでしまえばただのマゾ豚さんです❤みっともなく鳴くことしかできない。,啊哈哈，已經不會說人話了呢。就算是卡片玩家只要被踩就會變成一隻被虐豬，只能發出丟人的叫聲呢。
さあ、どうぞ。最後に盛大に射精していいですよ。わたしにあなたの大事なエナジー、全部捧げてください❤,好的。最後來一發特大號的射精。把你重要的能量全部獻給人家。
ほらほらほら・・・❤,做為獎勵人家也會狠狠踩你喔……嗯呼呼❤。
あひぃっ❤❤あっ、だめ、あああっ・・・❤,啊咿！啊、不行、啊啊……！
はい、おしまい❤ごちそうさまでした。,射精完畢❤，感謝你的招待。
結構おいしかったし、どこかに連れ帰ってもよかったんですけど、ここは人間の国ですしね。,味道很棒，好想帶回家養，但是這裡畢竟是人類國家呢。
さて、なくなりかけてたエナジーも補給できたし、さっさと隠れましょう。任務、任務っと・・・。,那麼好不容易補充了快耗光的能量，趕快繼續躲起來吧。還有重要的任務呢……。
こうして主人公は、最初の戦闘でスライム使いの淫魔に負け、命が干からびるまで精を吸い取られた。,就這樣主角在第一次戰鬥中就敗給史萊姆牌組的魅魔，被吸走精氣搾乾生命。
妹を探すはずだった冒険は、自分よりもずっと年下の少女にあっけなく踏みにじられてその幕を閉じ、,原本應該要展開的尋找妹妹的冒險，就在遠比自己嬌小的少女的踩踏下悲慘得落幕了。
その後、彼の行方を知るものは誰もいなかったという。,之後，再也沒有人看見他的身影。
なんだろう？少女のそばに近寄った,怎麼了嗎？決定靠近少女
怪しい。少女から距離を取った,很奇怪。決定跟少女保持距離
彼女を振り払い、とどめを刺した,甩開並攻擊她
あまりの快感に体から力が抜けてしまった,快感過於劇烈全身酥麻了
