default
死神少女,死神少女
わたしさっきからチンポには一回も触れてないのだけど、\nそれなのにこんなドロドロになるまで射精させられちゃうわね❤,わたしさっきからチンポには一回も触れてないのだけど、\nそれなのにこんなドロドロになるまで射精させられちゃうわね❤
ほら、魂を今度はふとももで挟んであげる❤\nむぎゅうって押しつぶされて、昇天してしまいなさい❤,ほら、魂を今度はふとももで挟んであげる❤\nむぎゅうって押しつぶされて、昇天してしまいなさい❤
あひぃ、あっ、ああっ・・・・❤,あひぃ、あっ、ああっ・・・・❤
全身があたたかい感触につつまれて幸せよね❤\nわたしのむっちりしたふとももに挟まれて、\nチンポもたまらなく気持ちいいでしょ？,全身があたたかい感触につつまれて幸せよね❤\nわたしのむっちりしたふとももに挟まれて、\nチンポもたまらなく気持ちいいでしょ？
この状態でふとももをすりすり擦り合わせたらどうなると思う？\nもうだいぶ壊れちゃってるあなたの心、\nきっと、もっとぐずぐずになって取り返しがつかなくなるわ❤,この状態でふとももをすりすり擦り合わせたらどうなると思う？\nもうだいぶ壊れちゃってるあなたの心、\nきっと、もっとぐずぐずになって取り返しがつかなくなるわ❤
でも、キスで骨抜きにされて、魂を抜かれた時点で、\nこうなることは決まっていたの。\nキスなんかで蕩けてしまった、弱いあなたのせいね❤,でも、キスで骨抜きにされて、魂を抜かれた時点で、\nこうなることは決まっていたの。\nキスなんかで蕩けてしまった、弱いあなたのせいね❤
ほら、ふとももをぎゅって寄せながら、\n左右交互にすりすりすり❤\n魂を押しつぶしてあげる❤,ほら、ふとももをぎゅって寄せながら、\n左右交互にすりすりすり❤\n魂を押しつぶしてあげる❤
全身をふとももにこすられて、つぶされて、\nチンポもむぎゅうって気持ちよく圧迫されて、\n天国を味わいなさい❤,全身をふとももにこすられて、つぶされて、\nチンポもむぎゅうって気持ちよく圧迫されて、\n天国を味わいなさい❤
あへ、あひぃ、あっ、あっ、ああぁ・・・・❤,あへ、あひぃ、あっ、あっ、ああぁ・・・・❤
射精しても止めてあげない❤\nほらほらほら・・・・❤,射精しても止めてあげない❤\nほらほらほら・・・・❤
くすくす❤そろそろ打ち止めね。\nそれじゃ魂を味見して・・・❤舌で、んっ、れろー❤,くすくす❤そろそろ打ち止めね。\nそれじゃ魂を味見して・・・❤舌で、んっ、れろー❤
あは、魔力が濃いだけじゃなくて、わたしへの好意がたっぷり溶けてて\nすごくおいしい❤,あは、魔力が濃いだけじゃなくて、わたしへの好意がたっぷり溶けてて\nすごくおいしい❤
あんなに雑に扱われて、快感を叩きこまれただけなのに、\nわたしのこと好きになっちゃってたんだ❤\n男の子って気持ちよくされたら簡単に好きになっちゃうのね。うふふ❤,あんなに雑に扱われて、快感を叩きこまれただけなのに、\nわたしのこと好きになっちゃってたんだ❤\n男の子って気持ちよくされたら簡単に好きになっちゃうのね。うふふ❤
魂は飲み込んじゃダメよ。\nその子はいったん解放しておくわ。,魂は飲み込んじゃダメよ。\nその子はいったん解放しておくわ。
これだけコテンパンにしてあげれば、\nもう私たちには敵わないって学習するでしょう。\nそれで十分よ。,これだけコテンパンにしてあげれば、\nもう私たちには敵わないって学習するでしょう。\nそれで十分よ。
ふふ、相変わらずマスターは優しいわね。\nあなたも感謝しなさい。ネクロ以外のマスターだったら、\nあなたこのまま死んでるわよ❤,ふふ、相変わらずマスターは優しいわね。\nあなたも感謝しなさい。ネクロ以外のマスターだったら、\nあなたこのまま死んでるわよ❤
その後、僕は気が付くと、村の宿屋のベッドの上にいた。どうやら死ぬ寸前まで搾られたあと、解放されここまで運ばれたようだ。,その後、僕は気が付くと、村の宿屋のベッドの上にいた。どうやら死ぬ寸前まで搾られたあと、解放されここまで運ばれたようだ。
死神の少女に魂を取られたときの記憶があいまいだ。しかし、途方もなく気持ちよくされたことだけは覚えている。あまりの快感に体がまだジンジンとうずくようだ。,死神の少女に魂を取られたときの記憶があいまいだ。しかし、途方もなく気持ちよくされたことだけは覚えている。あまりの快感に体がまだジンジンとうずくようだ。
ううっ・・・❤起きたばかりなのに・・・❤,ううっ・・・❤起きたばかりなのに・・・❤
僕はその快感を思い出すと、ムラムラしてたまらなくなってしまった。しかし、かといってどうすることもできない。とにかく今は魔力を回復させないと・・・。,僕はその快感を思い出すと、ムラムラしてたまらなくなってしまった。しかし、かといってどうすることもできない。とにかく今は魔力を回復させないと・・・。
あら？コノハちゃんの弟子くん、もう来たの？\n昨日の今日じゃない。まだ魔力が回復してないでしょう？,あら？コノハちゃんの弟子くん、もう来たの？\n昨日の今日じゃない。まだ魔力が回復してないでしょう？
ううっ・・・❤僕はぁ・・・・❤,ううっ・・・❤僕はぁ・・・・❤
ふふ、そっか。再戦に来たんじゃなくて、\n我慢できなくなっちゃったのね❤,ふふ、そっか。再戦に来たんじゃなくて、\n我慢できなくなっちゃったのね❤
おちんちんを大きくさせて、内股でぷるぷるしながらカードを構えて、\nそんな状態で「戦いに来た」っていうのは無理があるわ。,おちんちんを大きくさせて、内股でぷるぷるしながらカードを構えて、\nそんな状態で「戦いに来た」っていうのは無理があるわ。
ほら、今{自分}を召喚してあげるから、そこで待っていなさい。\n上級召喚のための生贄を準備してっと・・・♪,ほら、今{自分}を召喚してあげるから、そこで待っていなさい。\n上級召喚のための生贄を準備してっと・・・♪
出なさい、{自分}。,出なさい、{自分}。
くすくす❤ずいぶん早い再会になったわね。\n魂はちゃんと返してあげたのに、\nあなたの心は勝手にわたしに囚われてしまったみたい❤,くすくす❤ずいぶん早い再会になったわね。\n魂はちゃんと返してあげたのに、\nあなたの心は勝手にわたしに囚われてしまったみたい❤
また甘いキスで魂を抜いてほしい？\nそれとも魂は抜かずに\nあなたのチンポを直接気持ちよくしてあげようかしら。,また甘いキスで魂を抜いてほしい？\nそれとも魂は抜かずに\nあなたのチンポを直接気持ちよくしてあげようかしら。
ああ、そうそう。ただで搾ってあげるのは前回までよ。\n今回からはそうね、何かしらの対価をもらうわ。,ああ、そうそう。ただで搾ってあげるのは前回までよ。\n今回からはそうね、何かしらの対価をもらうわ。
例えば、まずはギルドに嘘の報告をしてもらおうかしら。\n「僕が盗賊を退治しました」って報告をしてくるの。\nそうすれば余計な追手が差し向けられることもないでしょ？,例えば、まずはギルドに嘘の報告をしてもらおうかしら。\n「僕が盗賊を退治しました」って報告をしてくるの。\nそうすれば余計な追手が差し向けられることもないでしょ？
ううっ、そんな悪いことするわけには・・・。,ううっ、そんな悪いことするわけには・・・。
ん？ほんとにいいの？,ん？ほんとにいいの？
そう言って{自分}は自分の指をふとももの間に挟んで見せた。そのままわざとらしく見せつけるように、ゆっくりとふとももをすり合わせてくる。,そう言って{自分}は自分の指をふとももの間に挟んで見せた。そのままわざとらしく見せつけるように、ゆっくりとふとももをすり合わせてくる。
あっ、あっ、ああっ・・・❤❤,あっ、あっ、ああっ・・・❤❤
おねがい、します・・・❤きもちよくして・・・❤なんでも、するから・・・❤❤,おねがい、します・・・❤きもちよくして・・・❤なんでも、するから・・・❤❤
くすくす❤いいわよ、ほら・・・❤\nまたキスで魂を抜いてあげる❤,くすくす❤いいわよ、ほら・・・❤\nまたキスで魂を抜いてあげる❤
このキスであなたは正しい人間としての道を踏み外すの。\nこれまでのあなたは死んで、わたしたちの下僕に生まれ変わるのよ❤,このキスであなたは正しい人間としての道を踏み外すの。\nこれまでのあなたは死んで、わたしたちの下僕に生まれ変わるのよ❤
さあ、気持ちよく逝きましょう？うふふふ❤,さあ、気持ちよく逝きましょう？うふふふ❤
ギルドには盗賊討伐成功の知らせがもたらされた。コノハはそれを聞いて弟子の姿を探したが、すでにギルドから立ち去ったあとだったという。,ギルドには盗賊討伐成功の知らせがもたらされた。コノハはそれを聞いて弟子の姿を探したが、すでにギルドから立ち去ったあとだったという。
その後、主人公の行方を知る者は誰もいない。ネクロにかどわかされ、盗賊たちと共にどこかで堕落した生活を送っているのか、それとも廃人になるまで搾り取られてしまったのか・・・。,その後、主人公の行方を知る者は誰もいない。ネクロにかどわかされ、盗賊たちと共にどこかで堕落した生活を送っているのか、それとも廃人になるまで搾り取られてしまったのか・・・。
こうして主人公の物語は、その幕を閉じたのだった。,こうして主人公の物語は、その幕を閉じたのだった。
はへぇっ・・・❤,はへぇっ・・・❤
ちょっと、ちょっと。魂を食べちゃったらダメじゃない。\nコノハちゃんの弟子くんが廃人になって壊れちゃうわよ。,ちょっと、ちょっと。魂を食べちゃったらダメじゃない。\nコノハちゃんの弟子くんが廃人になって壊れちゃうわよ。
ほら、{自分}、魂は返してもらうわよ。,ほら、{自分}、魂は返してもらうわよ。
あん、残念。とてもおいしい魂だから、\nこのまま取り込んであげたかったのに。,あん、残念。とてもおいしい魂だから、\nこのまま取り込んであげたかったのに。
まあでも、もう無理じゃないかな。\nその子、魂を直接いじられる快感を覚えちゃったから・・・❤,まあでも、もう無理じゃないかな。\nその子、魂を直接いじられる快感を覚えちゃったから・・・❤
きっと普通の生活には戻れないわよ。ふふふ❤,きっと普通の生活には戻れないわよ。ふふふ❤
あへぇっ、あっ、ああ・・・❤,あへぇっ、あっ、ああ・・・❤
はぁ、せっかくだからわたしの子分にでもしようと思ってたのに、\nここまで壊れちゃうと無理かしら。,はぁ、せっかくだからわたしの子分にでもしようと思ってたのに、\nここまで壊れちゃうと無理かしら。
まあいいわ。そろそろこの村を根城にするのも、\n村の生活が壊れてよくなさそうだし、\nこの子を連れて別の村に向かいましょう。,まあいいわ。そろそろこの村を根城にするのも、\n村の生活が壊れてよくなさそうだし、\nこの子を連れて別の村に向かいましょう。
ゆっくり治療していけば少しはよくなるでしょう。\nわたしのモンスターたちって、\n優秀だけど後の処理がめんどうなのがたまに傷よね・・・。,ゆっくり治療していけば少しはよくなるでしょう。\nわたしのモンスターたちって、\n優秀だけど後の処理がめんどうなのがたまに傷よね・・・。
それからしばらくして。,それからしばらくして。
うう・・・。ここは・・・。,うう・・・。ここは・・・。
あら・・・。もしかして意識が戻った？\nよかったぁ。バトルから2週間以上経つけど、\nあなたずっとうわごとばかり言ってたのよ。,あら・・・。もしかして意識が戻った？\nよかったぁ。バトルから2週間以上経つけど、\nあなたずっとうわごとばかり言ってたのよ。
そういってネクロはほっと胸をなでおろしている。盗賊の用心棒をやっているような悪いカードマスターだが、僕のことは本気で心配してくれていたようだ。,そういってネクロはほっと胸をなでおろしている。盗賊の用心棒をやっているような悪いカードマスターだが、僕のことは本気で心配してくれていたようだ。
魂の治療ってかなり繊細なの。\n死神ちゃんがつけた影響を少しずつ取り除いて、\n人格が壊れないように丁寧に丁寧に作業しないといけなかったわ。,魂の治療ってかなり繊細なの。\n死神ちゃんがつけた影響を少しずつ取り除いて、\n人格が壊れないように丁寧に丁寧に作業しないといけなかったわ。
でも、おかげで元通りね。\nコノハちゃんの弟子くん、これからよろしくね❤\nわたしと盗賊の用心棒として仲良く過ごしていきましょ？,でも、おかげで元通りね。\nコノハちゃんの弟子くん、これからよろしくね❤\nわたしと盗賊の用心棒として仲良く過ごしていきましょ？
ぐう、ふざけるな・・・。,ぐう、ふざけるな・・・。
僕はふらふらとしながら立ち上がる。2週間も寝たきりだったのであれば、体はだいぶ衰えているはずだ。だが、立てないほどではない。無理やり力を入れて立ち上がると、僕はネクロに向けてカードを構えた。,僕はふらふらとしながら立ち上がる。2週間も寝たきりだったのであれば、体はだいぶ衰えているはずだ。だが、立てないほどではない。無理やり力を入れて立ち上がると、僕はネクロに向けてカードを構えた。
ふふ。バトルできるぐらい元気になってくてうれしいけれど、\n生意気なのはダメね。\nまた実力の差を教えてあげる❤,ふふ。バトルできるぐらい元気になってくてうれしいけれど、\n生意気なのはダメね。\nまた実力の差を教えてあげる❤
ほら、もうあなたの盤面がぼろぼろよ？\nわたしは、２体のモンスターをコストに{自分}を上級召喚！,ほら、もうあなたの盤面がぼろぼろよ？\nわたしは、２体のモンスターをコストに{自分}を上級召喚！
ひさしぶりね。元気になったみたいでよかったじゃない❤,ひさしぶりね。元気になったみたいでよかったじゃない❤
あっ、あっ、ああっ・・・・❤❤,あっ、あっ、ああっ・・・・❤❤
ふふ、なに？わたしの顔を見ただけで、\n前かがみになって崩れおちちゃうの？,ふふ、なに？わたしの顔を見ただけで、\n前かがみになって崩れおちちゃうの？
わたしにされたこと、いくらか記憶には残ってるのね。ふふふ❤\nわたしに魂をもぐもぐされて、体中おかしいぐらい気持ちよくされて、\nそのせいでずいぶん長いこと寝込ませちゃったみたい❤,わたしにされたこと、いくらか記憶には残ってるのね。ふふふ❤\nわたしに魂をもぐもぐされて、体中おかしいぐらい気持ちよくされて、\nそのせいでずいぶん長いこと寝込ませちゃったみたい❤
ごめんね？おわびにほら・・・❤,ごめんね？おわびにほら・・・❤
あなたのこと椅子にしながら、同時に魂も弄んであげる❤,あなたのこと椅子にしながら、同時に魂も弄んであげる❤
うあっ、ああっ❤❤❤あひぃ、きもち、あへぇっ❤❤,うあっ、ああっ❤❤❤あひぃ、きもち、あへぇっ❤❤
この格好だとあなたの首を簡単に刈り落とせるわ。\nまあ、首を刈ってもとれるのは魂だけだけど・・・❤,この格好だとあなたの首を簡単に刈り落とせるわ。\nまあ、首を刈ってもとれるのは魂だけだけど・・・❤
ほらまた簡単に魂取られちゃった。\nこれを両手で揉んで・・・❤こねて・・・❤,ほらまた簡単に魂取られちゃった。\nこれを両手で揉んで・・・❤こねて・・・❤
うふふ、さっそく体全部で反応してる❤\nでも今度はわたしにのしかかられてるから、そこまで暴れられないわね❤\n痙攣してもかえってふとももにチンポ抜き差ししちゃうだけ❤,うふふ、さっそく体全部で反応してる❤\nでも今度はわたしにのしかかられてるから、そこまで暴れられないわね❤\n痙攣してもかえってふとももにチンポ抜き差ししちゃうだけ❤
それじゃこの魂を・・・。,それじゃこの魂を・・・。
食べちゃダメよ。分かってるわよね。,食べちゃダメよ。分かってるわよね。
はいはい。そんなことしないわよ。ちょっと舐めるだけ。\nほら、れろー・・・❤,はいはい。そんなことしないわよ。ちょっと舐めるだけ。\nほら、れろー・・・❤
あひ、あぅ、あへぇ・・・❤❤,あひ、あぅ、あへぇ・・・❤❤
くすくす❤出し過ぎよ。部屋の床をこんなに汚しちゃって❤\nね、わたしにかないっこないって分かったでしょ？,くすくす❤出し過ぎよ。部屋の床をこんなに汚しちゃって❤\nね、わたしにかないっこないって分かったでしょ？
それに２回もされて、{自分}が与える快楽がどれほどのものかも、\nすっかり身に染みてしまったんじゃない？\nわたしたちのもとを離れて、本当にいいのかしら。,それに２回もされて、{自分}が与える快楽がどれほどのものかも、\nすっかり身に染みてしまったんじゃない？\nわたしたちのもとを離れて、本当にいいのかしら。
あうう、それはぁ・・・・❤,あうう、それはぁ・・・・❤
ねえ、もうモルゲンなんかには戻らないで、\nこれからはずっと一緒に盗賊の用心棒をして暮らしましょ？,ねえ、もうモルゲンなんかには戻らないで、\nこれからはずっと一緒に盗賊の用心棒をして暮らしましょ？
あなたにとってはそれが一番幸せなはずよ❤\nほら、もうあなたの魂も、わたしから離れたくないって言ってるわ。,あなたにとってはそれが一番幸せなはずよ❤\nほら、もうあなたの魂も、わたしから離れたくないって言ってるわ。
そう言って{自分}は僕のへその下あたりを撫でた。ただ指がお腹を這っているだけなのに、体の深いところにじわっと快感が広がって、頭の中が幸福感でいっぱいになってしまう。,そう言って{自分}は僕のへその下あたりを撫でた。ただ指がお腹を這っているだけなのに、体の深いところにじわっと快感が広がって、頭の中が幸福感でいっぱいになってしまう。
ね、わたしたちのために働いて？おねがい❤,ね、わたしたちのために働いて？おねがい❤
あ、ああっ、あああ・・・・❤❤わかり、ましたぁ・・・・❤❤,あ、ああっ、あああ・・・・❤❤わかり、ましたぁ・・・・❤❤
ぼくは、あなたのために・・・❤❤はひぃ・・・❤❤,ぼくは、あなたのために・・・❤❤はひぃ・・・❤❤
くすくす❤うれしいわ。\nほら、ご褒美のくちづけ❤,くすくす❤うれしいわ。\nほら、ご褒美のくちづけ❤
あ、気を付けないとわたしのキスって魂を吸い取っちゃうことがあるから、\nちゃんと力を入れておいてね。\nんっちゅ・・・❤,あ、気を付けないとわたしのキスって魂を吸い取っちゃうことがあるから、\nちゃんと力を入れておいてね。\nんっちゅ・・・❤
あへぇ・・・・❤❤,あへぇ・・・・❤❤
こうして僕は死神少女の言いなりになり、ネクロさんと一緒に盗賊の用心棒をすることになった。,こうして僕は死神少女の言いなりになり、ネクロさんと一緒に盗賊の用心棒をすることになった。
はじめは良心が痛んだが、実際にやってみると根城に攻めてきた人の相手をするだけで、直接略奪の現場を目にするわけではない。段々と自分が悪いことをしているかどうかの自覚もまひしてきて、次第に何も感じなくなっていった。,はじめは良心が痛んだが、実際にやってみると根城に攻めてきた人の相手をするだけで、直接略奪の現場を目にするわけではない。段々と自分が悪いことをしているかどうかの自覚もまひしてきて、次第に何も感じなくなっていった。
それどころかネクロさんに闇の魔術について教えてもらいながら、修行もつけてもらい、充実感すら感じてしまう日々。ネクロさんの気が乗った時には、{自分}を召喚して僕にご褒美をくれることもあった。,それどころかネクロさんに闇の魔術について教えてもらいながら、修行もつけてもらい、充実感すら感じてしまう日々。ネクロさんの気が乗った時には、{自分}を召喚して僕にご褒美をくれることもあった。
ほとんど二人で引きこもって日々を過ごし、盗賊たちから渡される食事でぜいたくに暮らし、僕は堕落したこの生活にすっかり浸りきってしまったのだった。,ほとんど二人で引きこもって日々を過ごし、盗賊たちから渡される食事でぜいたくに暮らし、僕は堕落したこの生活にすっかり浸りきってしまったのだった。
こうして主人公の物語は、盗賊退治に失敗したまま、敵のモンスターの与える快楽の虜になって、その幕を閉じたのだった。,こうして主人公の物語は、盗賊退治に失敗したまま、敵のモンスターの与える快楽の虜になって、その幕を閉じたのだった。
視線を外して攻撃した,視線を外して攻撃した
パンツに視線を吸い寄せられてしまった,パンツに視線を吸い寄せられてしまった
