default
猫又,貓妖
マゾはマゾらしく、\n見下されたら蕩け顔になるように、\nしっかり調教してやるのにゃ♪,マゾはマゾらしく、\n見下されたら蕩け顔になるように、\nしっかり調教してやるのにゃ♪
猫又、行くのにゃ！\n魔力がすっからかんになるまで搾って、メロメロにしてやるのにゃ！,猫又、行くのにゃ！\n魔力がすっからかんになるまで搾って、メロメロにしてやるのにゃ！
はあ～い❤\nそれじゃあ早速❤にゃは～ん❤,はあ～い❤\nそれじゃあ早速❤にゃは～ん❤
猫又は僕の側に近寄ると、なまめかしく腰をくねらせ、耳元に脳がとろけるような甘い声をささやいてきた。,猫又は僕の側に近寄ると、なまめかしく腰をくねらせ、耳元に脳がとろけるような甘い声をささやいてきた。
ああぁぁ・・・❤,ああぁぁ・・・❤
ああっと、{主人公}選手！\nネネコ選手のしもべに見惚れています！,ああっと、{主人公}選手！\nネネコ選手のしもべに見惚れています！
あでやかな姿に惑わされてしまったのか！\n隙だらけです！これはいけない！,あでやかな姿に惑わされてしまったのか！\n隙だらけです！これはいけない！
にゃはは❤簡単に魅了されすぎだにゃ❤\n猫又がえっちなポーズをとっただけなのに情けないにゃあ❤\nわたしの弟もお前に幻滅すること間違いなしだにゃん❤,にゃはは❤簡単に魅了されすぎだにゃ❤\n猫又がえっちなポーズをとっただけなのに情けないにゃあ❤\nわたしの弟もお前に幻滅すること間違いなしだにゃん❤
隙だらけね❤\nそんなだから、ほら。\n簡単にチンポが尻尾に包まれちゃったわよ❤,隙だらけね❤\nそんなだから、ほら。\n簡単にチンポが尻尾に包まれちゃったわよ❤
あ、あうぅ・・・❤,あ、あうぅ・・・❤
うふふ❤気持ち良すぎて膝がガクガクしてるわね❤\n立っているのが辛いなら後ろに倒れちゃいましょう・・・❤,うふふ❤気持ち良すぎて膝がガクガクしてるわね❤\n立っているのが辛いなら後ろに倒れちゃいましょう・・・❤
寝転がった方がチンポに集中できて気持ちいいわよ？\nねぇ❤自分の心に素直になって❤\nゆ～っくり、しゅこ、しゅこ、しゅこ❤,寝転がった方がチンポに集中できて気持ちいいわよ？\nねぇ❤自分の心に素直になって❤\nゆ～っくり、しゅこ、しゅこ、しゅこ❤
はへぇ、あっ、あ・・❤,はへぇ、あっ、あ・・❤
そう、ゆっくり、ゆっくり腰を下ろして、\nそのまま地面にごろーん❤,そう、ゆっくり、ゆっくり腰を下ろして、\nそのまま地面にごろーん❤
くすくす❤ほんとに言われるがまま寝転んじゃうのね。\nお腹を見せるのは動物にとって降伏と同じよ？,くすくす❤ほんとに言われるがまま寝転んじゃうのね。\nお腹を見せるのは動物にとって降伏と同じよ？
でも、ふふ、寝転がった方が気持ちいいでしょう・・・❤\nわたしにお腹を見せて降伏するの、やみつきになっちゃうかしら。,でも、ふふ、寝転がった方が気持ちいいでしょう・・・❤\nわたしにお腹を見せて降伏するの、やみつきになっちゃうかしら。
あんっ❤チンポで返事して、正直なんだから。\n尻尾を押し返すぐらい固い…♪,あんっ❤チンポで返事して、正直なんだから。\n尻尾を押し返すぐらい固い…♪
次は腰を突き出してみて・・・？\n尻尾の上下の動きに合わせて、いち、に。いち、に❤\nくすくす❤どう？もっと気持ちいいでしょ・・・❤,次は腰を突き出してみて・・・？\n尻尾の上下の動きに合わせて、いち、に。いち、に❤\nくすくす❤どう？もっと気持ちいいでしょ・・・❤
はぁっ❤はぁっ❤,はぁっ❤はぁっ❤
ふわふわの尻尾でチンポをきゅっ❤きゅっ❤\nわたしの尻尾、人間のおまんこよりもずっと気持ちいいの。\n繊細な締まりも自由自在❤,ふわふわの尻尾でチンポをきゅっ❤きゅっ❤\nわたしの尻尾、人間のおまんこよりもずっと気持ちいいの。\n繊細な締まりも自由自在❤
竿をしこしこ❤\n亀頭をしゅりしゅり❤\nあなたの弱いところ、ぜんぶ擦ってあげる❤,竿をしこしこ❤\n亀頭をしゅりしゅり❤\nあなたの弱いところ、ぜんぶ擦ってあげる❤
だからほら・・・。もっともっと腰を突き上げて❤\nそうそう、えらいじゃない♪\nあなたに合わせて上下にしこしこ❤,だからほら・・・。もっともっと腰を突き上げて❤\nそうそう、えらいじゃない♪\nあなたに合わせて上下にしこしこ❤
うふふ❤どんどんお汁が出てくる❤そろそろ限界？\n地面に寝転んで、尻尾相手に腰振って、\nみんなが見てる場所で出しちゃうんだ❤,うふふ❤どんどんお汁が出てくる❤そろそろ限界？\n地面に寝転んで、尻尾相手に腰振って、\nみんなが見てる場所で出しちゃうんだ❤
う、うあっ❤もう、うぐぅっ、がまんできないっ❤,う、うあっ❤もう、うぐぅっ、がまんできないっ❤
いいわよ❤\nこのまま尻尾おまんこに射精して❤\n全部こぼさないように、ぴったり尻尾で包み込んであげる・・・❤,いいわよ❤\nこのまま尻尾おまんこに射精して❤\n全部こぼさないように、ぴったり尻尾で包み込んであげる・・・❤
うあああっ❤,うあああっ❤
はっ❤あぁぁ・・・❤,はっ❤あぁぁ・・・❤
凄い量ね❤尻尾から溢れてきちゃってる・・・。\nそれにエナジーも沢山溶け込んで・・・❤\nん、美味し❤,凄い量ね❤尻尾から溢れてきちゃってる・・・。\nそれにエナジーも沢山溶け込んで・・・❤\nん、美味し❤
どう？わたしに搾ってもらって気持ちよかった？\nそう、うっとりした目でうなずいて、\nかわいいのね❤,どう？わたしに搾ってもらって気持ちよかった？\nそう、うっとりした目でうなずいて、\nかわいいのね❤
でも、周りの人たちはどう思うかしら？\nくすくす❤,でも、周りの人たちはどう思うかしら？\nくすくす❤
にゃはは♪へこへこ腰振って情けなかったにゃあ♪\nほら、周りを見るにゃ。尻尾にメロメロなおまえを皆が見てるにゃ。,にゃはは♪へこへこ腰振って情けなかったにゃあ♪\nほら、周りを見るにゃ。尻尾にメロメロなおまえを皆が見てるにゃ。
男じゃサキュバスには勝てないし、女のマスターにも勝てないのにゃ。\nにゃはは♪お前は弟にとって、いい教材になったにゃ❤,男じゃサキュバスには勝てないし、女のマスターにも勝てないのにゃ。\nにゃはは♪お前は弟にとって、いい教材になったにゃ❤
んー、まだチンポ勃起させて、\n続きをしてほしそうだにゃ。\nでもこれ以上サービスしてやる義理もないのにゃ。,んー、まだチンポ勃起させて、\n続きをしてほしそうだにゃ。\nでもこれ以上サービスしてやる義理もないのにゃ。
残念だけど、今回はここまでね。\nきっとまた会うことになると思うし・・・またね？ちゅ❤,残念だけど、今回はここまでね。\nきっとまた会うことになると思うし・・・またね？ちゅ❤
う、うう・・・❤,う、うう・・・❤
悠然と去るネネコの背中を、僕は猫又にキスされた頬を手で押さえながら見送ることしかできなかった。,悠然と去るネネコの背中を、僕は猫又にキスされた頬を手で押さえながら見送ることしかできなかった。
痴態を観客に見られた事が恥ずかしくて、僕は大急ぎで闘技場を後にする。この屈辱は再試合を挑み、勝利することでしかそそげない。,痴態を観客に見られた事が恥ずかしくて、僕は大急ぎで闘技場を後にする。この屈辱は再試合を挑み、勝利することでしかそそげない。
そう思い、修練に励もうとするのだが。ふとした時、僕は猫又のあでやかな姿を思い浮かべて、股間を膨らませてしまい、修業に集中できなくなっていた。,そう思い、修練に励もうとするのだが。ふとした時、僕は猫又のあでやかな姿を思い浮かべて、股間を膨らませてしまい、修業に集中できなくなっていた。
キスをされた頬を意識してしまい、猫又の姿を思い浮かべる日々が続き、そして・・・。,キスをされた頬を意識してしまい、猫又の姿を思い浮かべる日々が続き、そして・・・。
む、数日ぶりだにゃ。\nおまえもクエストかにゃ？,む、数日ぶりだにゃ。\nおまえもクエストかにゃ？
あれだけ恥をかいたのに、まだ上を目指すつもりかにゃ。\nまぁ、好きにするといいにゃ。わたしには関係のないことだにゃ。,あれだけ恥をかいたのに、まだ上を目指すつもりかにゃ。\nまぁ、好きにするといいにゃ。わたしには関係のないことだにゃ。
・・・・！,・・・・！
にゃ？あれから全く集中できない？\nふとした時に猫又の姿が思い浮かぶ？\nわたしが何かしたんじゃないかって？,にゃ？あれから全く集中できない？\nふとした時に猫又の姿が思い浮かぶ？\nわたしが何かしたんじゃないかって？
ふぅむ・・・。\n（特になにも感じないにゃ。単にたぶらかされただけ。男は単純だにゃあ）,ふぅむ・・・。\n（特になにも感じないにゃ。単にたぶらかされただけ。男は単純だにゃあ）
わたしにはわからないにゃ。\n本人に直接聞いてみるしかないにゃ。\n外で待ってろにゃ。,わたしにはわからないにゃ。\n本人に直接聞いてみるしかないにゃ。\n外で待ってろにゃ。
・・・・。,・・・・。
ひらひらと手を振るネココの言う通り、僕は路地裏に向かった。,ひらひらと手を振るネココの言う通り、僕は路地裏に向かった。
それじゃあ、呼んでやるにゃ。\n猫又、来るにゃ！,それじゃあ、呼んでやるにゃ。\n猫又、来るにゃ！
はぁい。やっぱりまた会ったわね・・・❤\nどうしたのかしら？目が合っただけで顔が真っ赤よ・・・？,はぁい。やっぱりまた会ったわね・・・❤\nどうしたのかしら？目が合っただけで顔が真っ赤よ・・・？
おまえ、気づいているかにゃ？\n猫又を見た瞬間、ギンギンになったにゃ。,おまえ、気づいているかにゃ？\n猫又を見た瞬間、ギンギンになったにゃ。
本当はわかっているんじゃないかにゃ？\nわたしに声をかけたのはもう一度猫又に会いたかっただけだにゃ。,本当はわかっているんじゃないかにゃ？\nわたしに声をかけたのはもう一度猫又に会いたかっただけだにゃ。
全く、これからクエストなのに無駄な力を使ったにゃ。\nおまえは責任を取ってエナジーを寄越すにゃ❤,全く、これからクエストなのに無駄な力を使ったにゃ。\nおまえは責任を取ってエナジーを寄越すにゃ❤
うふふ❤ほら、おいで・・・❤\nあなたが見惚れたエッチな身体でメロメロにしてあげる・・・❤,うふふ❤ほら、おいで・・・❤\nあなたが見惚れたエッチな身体でメロメロにしてあげる・・・❤
抱きしめられただけで気持ちいいでしょう？\n肌と肌が触れ合って、そこから吸精される快楽は、どうかしら❤,抱きしめられただけで気持ちいいでしょう？\n肌と肌が触れ合って、そこから吸精される快楽は、どうかしら❤
ああ、あぁ・・・・❤,ああ、あぁ・・・・❤
顔を胸に埋めて、わたしの香りをたっぷり吸って、\n穏やかな快楽に溺れてちょうだい❤その後に、\n胸でも、尻尾でも、あなたの好きなところで搾ってあげるわ・・・❤,顔を胸に埋めて、わたしの香りをたっぷり吸って、\n穏やかな快楽に溺れてちょうだい❤その後に、\n胸でも、尻尾でも、あなたの好きなところで搾ってあげるわ・・・❤
猫又さん、好きぃ・・・❤好きぃ・・・・❤,猫又さん、好きぃ・・・❤好きぃ・・・・❤
こうして僕は猫又にすっかり骨抜きにされてしまい、彼女に精を捧げることで幸せを感じるようになってしまった。,こうして僕は猫又にすっかり骨抜きにされてしまい、彼女に精を捧げることで幸せを感じるようになってしまった。
ギルドや闘技場でたまにネネコと出会うたび、僕は猫又を召喚してもらい、代わりにエナジーを搾り取られた。,ギルドや闘技場でたまにネネコと出会うたび、僕は猫又を召喚してもらい、代わりにエナジーを搾り取られた。
始めはめんどくさそうな顔をしていたネネコだったが、僕のエナジーがとても良質だと気づくと、それ以降は積極的に僕に声をかけてくるようになった。,始めはめんどくさそうな顔をしていたネネコだったが、僕のエナジーがとても良質だと気づくと、それ以降は積極的に僕に声をかけてくるようになった。
ある時はクエスト終わりに、ある時は闘技場での試合のあとに、失った魔力を補充するために、僕は便利な存在として扱われた。,ある時はクエスト終わりに、ある時は闘技場での試合のあとに、失った魔力を補充するために、僕は便利な存在として扱われた。
ネネコと会っていないときでも、いつも猫又のことが頭に浮かび、僕は修行やバトルに集中できなくなった。そんな状態ではまともな戦績を残せるはずもなく、無敗の男性ルーキーはもはやよくある女に負けた男性マスターとして、人々の記憶からも忘れられていった。,ネネコと会っていないときでも、いつも猫又のことが頭に浮かび、僕は修行やバトルに集中できなくなった。そんな状態ではまともな戦績を残せるはずもなく、無敗の男性ルーキーはもはやよくある女に負けた男性マスターとして、人々の記憶からも忘れられていった。
こうして猫のモンスターにたぶらかされた僕の冒険は、ここで幕を閉じたのだった。,こうして猫のモンスターにたぶらかされた僕の冒険は、ここで幕を閉じたのだった。
{ランク名}ランクマスターがお尻に射精したくてオナニー❤\nあなたのしもべが簡単にたぶらかされた理由、分かった気がするわ・・・❤,{ランク名}ランクマスターがお尻に射精したくてオナニー❤\nあなたのしもべが簡単にたぶらかされた理由、分かった気がするわ・・・❤
勝負を投げ出してお尻に射精・・・❤\nもしこの場を見られたら\nあなたのファンは落胆しちゃうでしょうね、くすくす❤,勝負を投げ出してお尻に射精・・・❤\nもしこの場を見られたら\nあなたのファンは落胆しちゃうでしょうね、くすくす❤
吸精のパイズリ,吸精のパイズリ
二股の尻尾コキ,二股の尻尾コキ
なんでも,なんでも
胸から視線を離してとどめを刺した,從胸部上把視線抽離並擊倒她
おっぱいに見惚れてしまった,看胸部看到恍神
