default
魅惑のマーメイド,魅音美人魚
ほら、あなたのその固いペニスを胸に押し付けなさい❤\nそうそう、へっぴり腰でヘコヘコしてとってもみじめね❤,ほら、あなたのその固いペニスを胸に押し付けなさい❤\nそうそう、へっぴり腰でヘコヘコしてとってもみじめね❤
でもそれじゃ気持ちよさも半減でしょう？\n中途半端で時間がかかるのも嫌だし、\nわたしのパイズリでしっかり抜いてあげるわ❤,でもそれじゃ気持ちよさも半減でしょう？\n中途半端で時間がかかるのも嫌だし、\nわたしのパイズリでしっかり抜いてあげるわ❤
人魚の体で天国を味わいなさい❤ほら、ほら❤,人魚の体で天国を味わいなさい❤ほら、ほら❤
うあっ、やわらかい❤おっぱいがゆさゆさってこすれてっ❤\nはひぃ❤きもちいいっ❤,うあっ、やわらかい❤おっぱいがゆさゆさってこすれてっ❤\nはひぃ❤きもちいいっ❤
くすくす❤わたしのパイズリそんなに気に入っちゃった？\n全身をびくんびくんって跳ねさせて、快感でのけぞっちゃってる❤\nまるで陸に上がった魚みたいね❤,くすくす❤わたしのパイズリそんなに気に入っちゃった？\n全身をびくんびくんって跳ねさせて、快感でのけぞっちゃってる❤\nまるで陸に上がった魚みたいね❤
わたしに向かって歩いてきている間、\nずっとこうされたいって妄想していたんでしょう？\n大きな胸でむちゃくちゃに犯してほしいって❤,わたしに向かって歩いてきている間、\nずっとこうされたいって妄想していたんでしょう？\n大きな胸でむちゃくちゃに犯してほしいって❤
願いが叶ってよかったわね❤\nまあ本当のあなたの願いは、\n勝ってBランクに行くことだったんでしょうけど❤,願いが叶ってよかったわね❤\nまあ本当のあなたの願いは、\n勝ってBランクに行くことだったんでしょうけど❤
でも今では、こっちの方が大事よね❤ほら、ほら、ほら❤,でも今では、こっちの方が大事よね❤ほら、ほら、ほら❤
うふふ❤おっぱいを大きく揺らされるの気持ちいい？\nだぷんだぷんって波打って、ちっぽけなあなたのペニスじゃ、\n荒波にもまれて顔を出すこともできないわね❤,うふふ❤おっぱいを大きく揺らされるの気持ちいい？\nだぷんだぷんって波打って、ちっぽけなあなたのペニスじゃ、\n荒波にもまれて顔を出すこともできないわね❤
パイズリの動きを少し激しくしただけなのに、\n谷間の中で先っぽが膨らんでもう射精しそうになってる❤\nおっぱいをかき分けようとしてる感触、ちょっとだけ感じるわ❤,パイズリの動きを少し激しくしただけなのに、\n谷間の中で先っぽが膨らんでもう射精しそうになってる❤\nおっぱいをかき分けようとしてる感触、ちょっとだけ感じるわ❤
このぷくぅって膨らんでるところをこすられると気持ちいいのよね？\nほらほらほらぁ❤,このぷくぅって膨らんでるところをこすられると気持ちいいのよね？\nほらほらほらぁ❤
あはは、大きな喘ぎ声❤\n闘技場の場でみんなに見られているのにいいのかしら❤\nねえねえ、恥ずかしくないの？くすくすくす❤,あはは、大きな喘ぎ声❤\n闘技場の場でみんなに見られているのにいいのかしら❤\nねえねえ、恥ずかしくないの？くすくすくす❤
よくない、よくないけどっ❤\nああ、きもちよくてっ❤声もきれいでっ、あひぃっ❤,よくない、よくないけどっ❤\nああ、きもちよくてっ❤声もきれいでっ、あひぃっ❤
歌声もプレゼントして、もっと頭の中を狂わせてあげるわね❤\nささやくような甘い声でラブソングを歌ってあげる❤\n（ら～❤ら～❤）,歌声もプレゼントして、もっと頭の中を狂わせてあげるわね❤\nささやくような甘い声でラブソングを歌ってあげる❤\n（ら～❤ら～❤）
うああっ、耳が、しあわせでぇ❤はひぃ、あひぃっ❤,うああっ、耳が、しあわせでぇ❤はひぃ、あひぃっ❤
はへぇ、きもちいい、きもちよすぎるぅ❤あぅう❤,はへぇ、きもちいい、きもちよすぎるぅ❤あぅう❤
うふふ❤出すだけ出したら気絶しちゃったわ❤\n男を眠らせるなら、子守唄を歌うまでもないわね❤,うふふ❤出すだけ出したら気絶しちゃったわ❤\n男を眠らせるなら、子守唄を歌うまでもないわね❤
それにしても、んっ、やっぱりこの精液おいしい❤\n魔力がこんなに濃く溶けてる精液ははじめてかも❤,それにしても、んっ、やっぱりこの精液おいしい❤\n魔力がこんなに濃く溶けてる精液ははじめてかも❤
あーあ、これだけ魔力が良質なら、\nしっかり頑張ればBランクだって目指せたかもしれないのに。\nもったいないわね❤くすくすくす❤,あーあ、これだけ魔力が良質なら、\nしっかり頑張ればBランクだって目指せたかもしれないのに。\nもったいないわね❤くすくすくす❤
その後、僕は闘技場の医務室で目を覚ました。部屋の外で受付さんと師匠が待っていてくれたが、今日は疲れも残っているだろうから反省会はまた明日しようということで、その日は分かれたのだった。,その後、僕は闘技場の医務室で目を覚ました。部屋の外で受付さんと師匠が待っていてくれたが、今日は疲れも残っているだろうから反省会はまた明日しようということで、その日は分かれたのだった。
翌日,翌日
僕は師匠と待ち合わせをして、テラスのあるレストランで食事をしていた。朝食を食べながら、師匠が昨日の反省点を教えてくれる。,僕は師匠と待ち合わせをして、テラスのあるレストランで食事をしていた。朝食を食べながら、師匠が昨日の反省点を教えてくれる。
師匠はこのあと僕をカードショップに連れて行って、デッキを強化するカードを見繕ってくれるそうだ。あんなにみっともない負け方をしたのに、師匠は本当に優しい。,師匠はこのあと僕をカードショップに連れて行って、デッキを強化するカードを見繕ってくれるそうだ。あんなにみっともない負け方をしたのに、師匠は本当に優しい。
ん・・・？あれは昨日の無敗のルーキー？\n横にいるのは、あの男の師匠だというコノハさんでしょうか。,ん・・・？あれは昨日の無敗のルーキー？\n横にいるのは、あの男の師匠だというコノハさんでしょうか。
（たまたま通りかかっただけですが・・・\nそうだ❤ちょっと面白いことしちゃいましょう。うふふ❤）,（たまたま通りかかっただけですが・・・\nそうだ❤ちょっと面白いことしちゃいましょう。うふふ❤）
それでカードを使うときの魔力の込め方だけど、\n少し雑になっているところがあるから\nそこをこう改良して・・・。,それでカードを使うときの魔力の込め方だけど、\n少し雑になっているところがあるから\nそこをこう改良して・・・。
（ふむふむ。さすが師匠。\nん・・・？何か聞こえるような。）,（ふむふむ。さすが師匠。\nん・・・？何か聞こえるような。）
（これは、歌・・・？\nあ、この声・・・❤もしかして・・・❤）,（これは、歌・・・？\nあ、この声・・・❤もしかして・・・❤）
それでデッキの中身だけれど、って、\n弟子、あなたちゃんと話を聞いてる？\nおーい、こっちを見なさい。,それでデッキの中身だけれど、って、\n弟子、あなたちゃんと話を聞いてる？\nおーい、こっちを見なさい。
わっ、立ち上がって急にどうしたの。\nえ？用を思い出した？\n師匠を置いてどこに行くのよ、わわっ。,わっ、立ち上がって急にどうしたの。\nえ？用を思い出した？\n師匠を置いてどこに行くのよ、わわっ。
・・・・。行っちゃったわ。\nなんなのよもう。,・・・・。行っちゃったわ。\nなんなのよもう。
くすくす❤狙い通りこっちに来ましたね❤\nお師匠さんは放っておいていいんですか？,くすくす❤狙い通りこっちに来ましたね❤\nお師匠さんは放っておいていいんですか？
師匠の退屈な話なんかより、わたしの歌を聞いていたいのよね❤,師匠の退屈な話なんかより、わたしの歌を聞いていたいのよね❤
あは、こくこく必死にうなずいてる❤\n大事な弟子を人魚にかどわかされて、あなたの師匠もかわいそうね❤,あは、こくこく必死にうなずいてる❤\n大事な弟子を人魚にかどわかされて、あなたの師匠もかわいそうね❤
この声を側で聴きたかったのよね？\nら～❤ら～❤ら～❤,この声を側で聴きたかったのよね？\nら～❤ら～❤ら～❤
あううぅ・・・❤,あううぅ・・・❤
耳に唇が触れそうな距離で、脳をとろけさせるようなきれいな歌声を聞かされる。さっきまで師匠とまじめな話をしていたのに、その内容は歌に洗い流されるように消えてしまって、いまはもう目の前の彼女のこと以外何も考えられない。,耳に唇が触れそうな距離で、脳をとろけさせるようなきれいな歌声を聞かされる。さっきまで師匠とまじめな話をしていたのに、その内容は歌に洗い流されるように消えてしまって、いまはもう目の前の彼女のこと以外何も考えられない。
くすくす❤恍惚とした顔を浮かべてます❤\n{自分}の歌声にもう夢中ですね❤,くすくす❤恍惚とした顔を浮かべてます❤\n{自分}の歌声にもう夢中ですね❤
別にあなたにちょっかいをかけなくてもよかったんですが、\n何だか面白そうだったのでつい❤\nせっかく呼んだことですし、魔力補給もさせてもらいますね❤,別にあなたにちょっかいをかけなくてもよかったんですが、\n何だか面白そうだったのでつい❤\nせっかく呼んだことですし、魔力補給もさせてもらいますね❤
{自分}、可愛がってあげていいですよ❤\nまだ朝ですが、一日動けなくなるぐらい搾り取っちゃいなさい❤,{自分}、可愛がってあげていいですよ❤\nまだ朝ですが、一日動けなくなるぐらい搾り取っちゃいなさい❤
それじゃあ、あなたの大好きなこのおっぱいでまたしてあげるわね❤,それじゃあ、あなたの大好きなこのおっぱいでまたしてあげるわね❤
うふふ❤挟まれただけで腰が震えちゃってる❤\nこのまま置いておいても、\nこの振動だけで勝手に射精するんじゃないかしら❤,うふふ❤挟まれただけで腰が震えちゃってる❤\nこのまま置いておいても、\nこの振動だけで勝手に射精するんじゃないかしら❤
でも、そんなまだるっこしいことをする必要はないわね❤\n朝ごはん代わりに、さくっと搾り取ってあげる❤,でも、そんなまだるっこしいことをする必要はないわね❤\n朝ごはん代わりに、さくっと搾り取ってあげる❤
昨日の今日だけれど、おちんちん、こうやってしてほしかったのよね❤\n負けたことの反省なんてどうでもよくて、\nまたパイズリされたいって考えてたんでしょう？,昨日の今日だけれど、おちんちん、こうやってしてほしかったのよね❤\n負けたことの反省なんてどうでもよくて、\nまたパイズリされたいって考えてたんでしょう？
違う？今度は勝とうと本気で思ってた？\nふふふ❤本当かしら❤\nそれなら歌につられないで、パイズリだって断ればいいのに❤,違う？今度は勝とうと本気で思ってた？\nふふふ❤本当かしら❤\nそれなら歌につられないで、パイズリだって断ればいいのに❤
ほらおっぱいの中でもうチンポが膨らんでる❤\nわたしのパイズリを楽しみにしていた証拠だわ❤\n我慢汁もどんどん出てきて、すっかり谷間がベトベト❤,ほらおっぱいの中でもうチンポが膨らんでる❤\nわたしのパイズリを楽しみにしていた証拠だわ❤\n我慢汁もどんどん出てきて、すっかり谷間がベトベト❤
お師匠さんとの反省会を邪魔しちゃったおわびに、\nおっぱいの中でおちんちんに「反省会」してあげるわね❤\n次は勝てるように、しっかりお勉強しましょう❤ぷっ、くす、くすくすくす❤,お師匠さんとの反省会を邪魔しちゃったおわびに、\nおっぱいの中でおちんちんに「反省会」してあげるわね❤\n次は勝てるように、しっかりお勉強しましょう❤ぷっ、くす、くすくすくす❤
僕はカラカラになるまで搾り取られたあと、路地裏にそのまま放置された。エナジーを失って体を動かすことができず、１時間ほどしてからようやく動けるようになり、這うようにして宿屋に戻ったのだった。,僕はカラカラになるまで搾り取られたあと、路地裏にそのまま放置された。エナジーを失って体を動かすことができず、１時間ほどしてからようやく動けるようになり、這うようにして宿屋に戻ったのだった。
この出来事以降、僕はすっかり{自分}の与える快楽の虜になってしまい、その後何度彼女と戦っても決して勝つことはできなかった。,この出来事以降、僕はすっかり{自分}の与える快楽の虜になってしまい、その後何度彼女と戦っても決して勝つことはできなかった。
それどころか、{自分プレイヤー}が魔力を必要としているときに、彼女の歌声で誘い出されて、使い勝手のいい魔力タンクのような扱いを受けるようになってしまった。頻繁に魔力を搾り取られ、当然修行やバトルにも支障が出るようになった。,それどころか、{自分プレイヤー}が魔力を必要としているときに、彼女の歌声で誘い出されて、使い勝手のいい魔力タンクのような扱いを受けるようになってしまった。頻繁に魔力を搾り取られ、当然修行やバトルにも支障が出るようになった。
もはや闘技場で連勝していたときの実力は僕にはない。{自分}以外の女性モンスターが相手でも、快楽攻撃に耐えられなくなり、すぐに射精してしまう。修行が不十分なため、カードの召喚や発動もしばしば失敗するようになってしまった。,もはや闘技場で連勝していたときの実力は僕にはない。{自分}以外の女性モンスターが相手でも、快楽攻撃に耐えられなくなり、すぐに射精してしまう。修行が不十分なため、カードの召喚や発動もしばしば失敗するようになってしまった。
こうして僕の戦績はみるみる悪化し、ついにはDランクにまで落ちていくことになる。当然魔族領に行くことなどできず、妹を救うための冒険は、その目的を果たせぬまま終わってしまったのだった。,こうして僕の戦績はみるみる悪化し、ついにはDランクにまで落ちていくことになる。当然魔族領に行くことなどできず、妹を救うための冒険は、その目的を果たせぬまま終わってしまったのだった。
無敗のルーキー敗れる！　Ｂランクの壁は高かったー！,無敗のルーキー敗れる！　Ｂランクの壁は高かったー！
く、つ、つよい・・・。,く、つ、つよい・・・。
{主人公}さんもお強かったですよ❤\n今まで戦った男の人の中では一番かもしれません❤\nそれに魔力も・・・❤,{主人公}さんもお強かったですよ❤\n今まで戦った男の人の中では一番かもしれません❤\nそれに魔力も・・・❤
（エッチな戦法が効かなかったら危なかったかも。\nそうだ、魔力の補給をしなきゃ・・・❤）,（エッチな戦法が効かなかったら危なかったかも。\nそうだ、魔力の補給をしなきゃ・・・❤）
{主人公}さんはまだまだ修行が足りないみたいですね❤\nでも魔力の質はピカイチかも・・・❤,{主人公}さんはまだまだ修行が足りないみたいですね❤\nでも魔力の質はピカイチかも・・・❤
（エッチな戦法に弱い時点でわたしの相手じゃありませんでした❤\nそうだ、魔力の補給をしなきゃ・・・❤）,（エッチな戦法に弱い時点でわたしの相手じゃありませんでした❤\nそうだ、魔力の補給をしなきゃ・・・❤）
えっと、それじゃあ消耗した分、魔力をいただきたいのですが、\n{主人公}さん、いいですか？\nいやなら無理にとは言いません。マーメイド、お願いします❤,えっと、それじゃあ消耗した分、魔力をいただきたいのですが、\n{主人公}さん、いいですか？\nいやなら無理にとは言いません。マーメイド、お願いします❤
任せて～❤\nそれじゃあ大人しく横になりましょうね～❤,任せて～❤\nそれじゃあ大人しく横になりましょうね～❤
勝者には魔力をメロディ選手が魔力補充の権利を使うようです。\n{主人公}選手は耐えるしかありません。,勝者には魔力をメロディ選手が魔力補充の権利を使うようです。\n{主人公}選手は耐えるしかありません。
く、くそ・・・。,く、くそ・・・。
師匠たちの前で情けない姿を見せる訳にはいかない。\n僕は心を強く持ち、なるべく反応しないように決めた。,師匠たちの前で情けない姿を見せる訳にはいかない。\n僕は心を強く持ち、なるべく反応しないように決めた。
押し倒して、おっぱいでおちんちんを挟んであげる❤,押し倒して、おっぱいでおちんちんを挟んであげる❤
ぱっふん❤おちんちん、全部埋まっちゃったわね❤\nどうかしら？わたしのおっぱい、気持ちいい？,ぱっふん❤おちんちん、全部埋まっちゃったわね❤\nどうかしら？わたしのおっぱい、気持ちいい？
・・・っ。,・・・っ。
んふふ❤口は閉じててもチンポは正直ね❤\n嬉しいよ～ってお汁がでちゃっているもの❤,んふふ❤口は閉じててもチンポは正直ね❤\n嬉しいよ～ってお汁がでちゃっているもの❤
パイズリされても声、我慢できるのかしら❤\nむにゅむにゅ❤ずりずり❤,パイズリされても声、我慢できるのかしら❤\nむにゅむにゅ❤ずりずり❤
・・・っ❤・・・ぅっ❤,・・・っ❤・・・ぅっ❤
直ぐにお汁で谷間がぬるぬるになっちゃった❤\nお陰でパイズリしやすいわ❤くすくす❤,直ぐにお汁で谷間がぬるぬるになっちゃった❤\nお陰でパイズリしやすいわ❤くすくす❤
上下にゆっくり、ゆっさ❤ゆっさ❤\nチンポがおっぱいに埋まってるから、\n少し揺らすだけで気持ちいいでしょう？,上下にゆっくり、ゆっさ❤ゆっさ❤\nチンポがおっぱいに埋まってるから、\n少し揺らすだけで気持ちいいでしょう？
敏感な先っぽも、カチカチの竿も、\n全部同時にむにゅむにゅ❤\n歯を食いしばって堪えちゃって、可愛い❤,敏感な先っぽも、カチカチの竿も、\n全部同時にむにゅむにゅ❤\n歯を食いしばって堪えちゃって、可愛い❤
パイズリの快楽に腰が浮きそうになるのを僕は必至に堪える。\n声を我慢しなくてはならないほど気持ち良いのが逆に助かった。,パイズリの快楽に腰が浮きそうになるのを僕は必至に堪える。\n声を我慢しなくてはならないほど気持ち良いのが逆に助かった。
このまま直ぐに射精してしまえば魔力補充は終わりだ。\nあと少しの辛抱だ、と羞恥を感じながらも自身を鼓舞する。,このまま直ぐに射精してしまえば魔力補充は終わりだ。\nあと少しの辛抱だ、と羞恥を感じながらも自身を鼓舞する。
勝ったはずのメロディの方が戸惑いを覚えてしまうほど\n淡々とした搾精に闘技場の興奮も冷め始めていた。,勝ったはずのメロディの方が戸惑いを覚えてしまうほど\n淡々とした搾精に闘技場の興奮も冷め始めていた。
も～うっ、つまらな～い。\nせっかく情けな～い姿が見れると思ったのに～・・・。,も～うっ、つまらな～い。\nせっかく情けな～い姿が見れると思ったのに～・・・。
（ど、どうしよう・・・。そうだ❤）\nマーメイド、た～っぷり魔力を貰いましょう❤\nアレ、お願いします❤,（ど、どうしよう・・・。そうだ❤）\nマーメイド、た～っぷり魔力を貰いましょう❤\nアレ、お願いします❤
くすくす❤わかったわ❤\nねぇ、あなた知ってる？\n射精できないのって、と～っても気持ち良くて、苦しいってこと❤,くすくす❤わかったわ❤\nねぇ、あなた知ってる？\n射精できないのって、と～っても気持ち良くて、苦しいってこと❤
言ってる意味が分からないかしら？\nうふふ❤それじゃあ体験させてあげるわ❤,言ってる意味が分からないかしら？\nうふふ❤それじゃあ体験させてあげるわ❤
んんっ❤,んんっ❤
パイズリ、激しくしてあげる❤\nゆっさゆっさ❤ゆっさゆっさ❤\n早漏チンポはもう限界ね❤,パイズリ、激しくしてあげる❤\nゆっさゆっさ❤ゆっさゆっさ❤\n早漏チンポはもう限界ね❤
びくびくして射精するつもり満々❤\nだ・け・ど❤射精したらだ～め❤,びくびくして射精するつもり満々❤\nだ・け・ど❤射精したらだ～め❤
ぅぅっ❤　なっ！？,ぅぅっ❤　なっ！？
間違いなく絶頂したはずなのに射精できず、僕は目を見開いてしまう。,間違いなく絶頂したはずなのに射精できず、僕は目を見開いてしまう。
今、イッたでしょ～❤\nなのに射精できないなんて、不思議ね～❤\nうりうり～❤おっぱいでもっとずっちゃお❤,今、イッたでしょ～❤\nなのに射精できないなんて、不思議ね～❤\nうりうり～❤おっぱいでもっとずっちゃお❤
んひぃ❤な、なんでぇ❤,んひぃ❤な、なんでぇ❤
あなたが気づかないうちに魅了をかけたの❤\nだから私が許さない限り、イクことはできても射精はできないわよ❤,あなたが気づかないうちに魅了をかけたの❤\nだから私が許さない限り、イクことはできても射精はできないわよ❤
そ、そんな❤んあぁ❤,そ、そんな❤んあぁ❤
一回イったから亀頭がもっと敏感になったのかしら❤\nおっぱいを浮かしてゆさゆさ❤\n敏感亀さんを集中攻撃よ❤,一回イったから亀頭がもっと敏感になったのかしら❤\nおっぱいを浮かしてゆさゆさ❤\n敏感亀さんを集中攻撃よ❤
うふふ❤腰が跳ねちゃった❤\nもう声も我慢できないみたいね❤\nアンアンって可愛い声が漏れちゃってる❤,うふふ❤腰が跳ねちゃった❤\nもう声も我慢できないみたいね❤\nアンアンって可愛い声が漏れちゃってる❤
素直に反応してくれるとわたしもやりがいがあるわ❤\n身体を捻って左右にむにゅむにゅ❤これもいいのね❤,素直に反応してくれるとわたしもやりがいがあるわ❤\n身体を捻って左右にむにゅむにゅ❤これもいいのね❤
や、やめ❤ああ、ああぁぁ❤,や、やめ❤ああ、ああぁぁ❤
やぁ～ん❤情けない声出てるぅ～❤,やぁ～ん❤情けない声出てるぅ～❤
びくびくして面白～い❤もっとやっちゃえ～❤,びくびくして面白～い❤もっとやっちゃえ～❤
声援には応えないと、ね❤\n思いっきりパン、パン❤パン、パン❤\n腰におっぱいを叩きつけましょう❤,声援には応えないと、ね❤\n思いっきりパン、パン❤パン、パン❤\n腰におっぱいを叩きつけましょう❤
おっぱいの中でチンポ、すっごい暴れてる❤\n白いの出したいよ～って言ってるみたい❤\nでもまだダメよ❤,おっぱいの中でチンポ、すっごい暴れてる❤\n白いの出したいよ～って言ってるみたい❤\nでもまだダメよ❤
イクと敏感になるのは魔力が溜まっているからなの❤\n何回も射精させるより一回で済ませる方が楽だからーー,イクと敏感になるのは魔力が溜まっているからなの❤\n何回も射精させるより一回で済ませる方が楽だからーー
あ、またイクの？いいわよ❤\n射精は出来ないけどね～❤,あ、またイクの？いいわよ❤\n射精は出来ないけどね～❤
あああぁぁぁ❤,あああぁぁぁ❤
えっと、どこまで話したかしら？\nそうそう、一回で済ませる方が楽だから、\nあなたの限界までチンポに魔力を溜めるの❤,えっと、どこまで話したかしら？\nそうそう、一回で済ませる方が楽だから、\nあなたの限界までチンポに魔力を溜めるの❤
声を堪えて、直ぐに出して終わろうとしたでしょう？\nそんなつまらない事を考えるからオシオキされてるのよ❤,声を堪えて、直ぐに出して終わろうとしたでしょう？\nそんなつまらない事を考えるからオシオキされてるのよ❤
って、あら？どうしたの❤\n腰をへこへこさせておっぱいにチンポすりつけて❤\n射精したくて堪らないって顔をしてるけど❤,って、あら？どうしたの❤\n腰をへこへこさせておっぱいにチンポすりつけて❤\n射精したくて堪らないって顔をしてるけど❤
お、お願い❤もう、イカせてぇ❤,お、お願い❤もう、イカせてぇ❤
涙まで浮かべちゃって、可愛い❤\nそうね、その顔と声に免じてこれで許してあげる❤,涙まで浮かべちゃって、可愛い❤\nそうね、その顔と声に免じてこれで許してあげる❤
さぁ敏感チンポに意識を集めて❤\n谷間から精液が噴き出すくらい、たくさん出して❤\n少なかったらもう一回よ？,さぁ敏感チンポに意識を集めて❤\n谷間から精液が噴き出すくらい、たくさん出して❤\n少なかったらもう一回よ？
はい、びゅっ❤　びゅっ❤　びゅ～っ❤,はい、びゅっ❤　びゅっ❤　びゅ～っ❤
あ、あああっ❤ひぃっああああ❤,あ、あああっ❤ひぃっああああ❤
お・・・❤う・・・❤ひぃ・・・❤,お・・・❤う・・・❤ひぃ・・・❤
ああん❤３回分の濃厚な魔力がこもった精液・・・❤\n本当に溢れるくらい出してくれたのね❤\nそんなに射精止め、良かったのかしら❤,ああん❤３回分の濃厚な魔力がこもった精液・・・❤\n本当に溢れるくらい出してくれたのね❤\nそんなに射精止め、良かったのかしら❤
・・・あら、気を失ってるわ。\nちょっとやり過ぎたかしら、くすくす❤,・・・あら、気を失ってるわ。\nちょっとやり過ぎたかしら、くすくす❤
わぁ、凄い上質な魔力ですね❤\n流石は期待のルーキーさん。・・・これっきりは惜しいかもしれないです❤,わぁ、凄い上質な魔力ですね❤\n流石は期待のルーキーさん。・・・これっきりは惜しいかもしれないです❤
意識を失った僕は、その後闘技場の医務室で目を覚ました。真っ先に芽生えたのは、マーメイドにイカせてと懇願する無様なところを、受付さんと師匠に見られた羞恥心だった。,意識を失った僕は、その後闘技場の医務室で目を覚ました。真っ先に芽生えたのは、マーメイドにイカせてと懇願する無様なところを、受付さんと師匠に見られた羞恥心だった。
ごっそりと魔力を奪われてしまい、フラつく足で医務室を出る。ここまで魔力を失ったのは初めだ。そのうえ長くパイズリをされ続けたせいでチンコがジンジンして内股になってしまう。,ごっそりと魔力を奪われてしまい、フラつく足で医務室を出る。ここまで魔力を失ったのは初めだ。そのうえ長くパイズリをされ続けたせいでチンコがジンジンして内股になってしまう。
痛むチンコは嫌でも僕に射精止めを思い出させる。どんどん敏感になるチンコを大きくて柔らかなおっぱいでズラれる快楽はこれ以上がないと思えるほど鮮烈なもので。,痛むチンコは嫌でも僕に射精止めを思い出させる。どんどん敏感になるチンコを大きくて柔らかなおっぱいでズラれる快楽はこれ以上がないと思えるほど鮮烈なもので。
宿に帰っても、翌朝になっても、受付さんに慰められリベンジ頑張ってくださいと応援されても、師匠と特訓をしても、頭と体にこべりついた記憶をふとした時に思い出してしまう。,宿に帰っても、翌朝になっても、受付さんに慰められリベンジ頑張ってくださいと応援されても、師匠と特訓をしても、頭と体にこべりついた記憶をふとした時に思い出してしまう。
その反面、強すぎる快楽を知ったせいかイキ難くなり、Ｃランクのマスターには前より楽に勝てるようになった。しかし。,その反面、強すぎる快楽を知ったせいかイキ難くなり、Ｃランクのマスターには前より楽に勝てるようになった。しかし。
は～い❤どっぴゅん❤,は～い❤どっぴゅん❤
あひっ❤ああああ❤,あひっ❤ああああ❤
くすくす❤あっという間に出ちゃったわね❤早漏さん❤,くすくす❤あっという間に出ちゃったわね❤早漏さん❤
あ、あぁ・・・❤,あ、あぁ・・・❤
マーメイドを前にするとたちまち射精してしまう身体になってしまっていた。,マーメイドを前にするとたちまち射精してしまう身体になってしまっていた。
またも瞬殺！！勝者はメロディ選手！,またも瞬殺！！勝者はメロディ選手！
これで何度目でしょう！{主人公}選手、メロディ選手のマーメイドに手も足も出ません！,これで何度目でしょう！{主人公}選手、メロディ選手のマーメイドに手も足も出ません！
今日も私の勝ちですね❤\nそれじゃあ、早速魔力をいただきましょう❤,今日も私の勝ちですね❤\nそれじゃあ、早速魔力をいただきましょう❤
もうすっかり恒例になっちゃったわね❤\nわたしに射精管理して欲しくて挑戦してるんじゃない❤,もうすっかり恒例になっちゃったわね❤\nわたしに射精管理して欲しくて挑戦してるんじゃない❤
んああ❤おおぉぉ❤❤,んああ❤おおぉぉ❤❤
今日もいっぱい溜めて、溜めて❤\nまとめて搾り取ってあげるわ❤くすくす❤,今日もいっぱい溜めて、溜めて❤\nまとめて搾り取ってあげるわ❤くすくす❤
こうして僕はメロディ選手に挑んでは返り討ちにあい、マーメイドに魔力を搾られ続ける日々を送るようになる。,こうして僕はメロディ選手に挑んでは返り討ちにあい、マーメイドに魔力を搾られ続ける日々を送るようになる。
それは僕がマーメイドに弱いと公言している事に他ならない。他のマスターがマーメイドを使うようになれば、僕は負けが続きランクも下がっていく。,それは僕がマーメイドに弱いと公言している事に他ならない。他のマスターがマーメイドを使うようになれば、僕は負けが続きランクも下がっていく。
すっかり落ちぶれた僕はいつしか冒険者ギルドに足を運ぶのを辞めてしまった。こうして僕の冒険は終わってしまったのだ。,すっかり落ちぶれた僕はいつしか冒険者ギルドに足を運ぶのを辞めてしまった。こうして僕の冒険は終わってしまったのだ。
誘惑に抗いとどめを刺した,誘惑に抗いとどめを刺した
横になった,横になった
