default
ミレーヌ,米蓮
あは、すっかり棒立ちね。\nバトル開始前からおっぱいに見とれて、されるがまま❤,あは、すっかり棒立ちね。\nバトル開始前からおっぱいに見とれて、されるがまま❤
そのままじっとしていなさい。\nパイズリで追い討ちして、このまま終わらせてあげる❤,そのままじっとしていなさい。\nパイズリで追い討ちして、このまま終わらせてあげる❤
あは、すっかり棒立ちね。\nおっぱいフェチのあなたは、もうメロメロみたい❤,あは、すっかり棒立ちね。\nおっぱいフェチのあなたは、もうメロメロみたい❤
そのままじっとしていなさい。\nもっともっとパイズリしてあげる❤,そのままじっとしていなさい。\nもっともっとパイズリしてあげる❤
あら、もう出ちゃうんだ❤\nまだ１ターン目なのに、あんっ❤,あら、もう出ちゃうんだ❤\nまだ１ターン目なのに、あんっ❤
ん、もう出ちゃう？\nいいわよ、ほらおっぱいぎゅー❤,ん、もう出ちゃう？\nいいわよ、ほらおっぱいぎゅー❤
うふ❤わたしのおっぱいにあっさり陥落しちゃったわね❤\n腰が抜けるぐらいパイズリ上手だったでしょ？くすくす❤,うふ❤わたしのおっぱいにあっさり陥落しちゃったわね❤\n腰が抜けるぐらいパイズリ上手だったでしょ？くすくす❤
あん、逃げなくていいのに…。\nこのままイっちゃうまで楽しみましょうよ❤,あん、逃げなくていいのに…。\nこのままイっちゃうまで楽しみましょうよ❤
おっぱいの中に出すの、とっても気持ちいいわよ？\nくすくす❤,おっぱいの中に出すの、とっても気持ちいいわよ？\nくすくす❤
やん、そんな振り払わなくてもいいじゃない。\nただパイズリしてあげてるだけなのに…❤,やん、そんな振り払わなくてもいいじゃない。\nただパイズリしてあげてるだけなのに…❤
逃げなければおっぱいの間で気持ちよくイけたのよ？\nああん、もったいない❤,逃げなければおっぱいの間で気持ちよくイけたのよ？\nああん、もったいない❤
どう？わたしのおっぱい、とろけるみたいじゃない？,どう？わたしのおっぱい、とろけるみたいじゃない？
うふふ、ずりずりってするたびにかわいい声出してる❤,うふふ、ずりずりってするたびにかわいい声出してる❤
お姉さんのおっぱいで気持ちよくなっていいのよ？,お姉さんのおっぱいで気持ちよくなっていいのよ？
わたしパイズリには自信があるの❤骨抜きにしてあげる❤,わたしパイズリには自信があるの❤骨抜きにしてあげる❤
おっぱいに搾り取られちゃいましょ？ほらほらほら❤,おっぱいに搾り取られちゃいましょ？ほらほらほら❤
おちんちん耐えられる？無理なら降参しちゃっていいのよ❤,おちんちん耐えられる？無理なら降参しちゃっていいのよ❤
逃げる気力なんて、おっぱいで全部奪ってあげる❤,逃げる気力なんて、おっぱいで全部奪ってあげる❤
おっぱい見たらみんな鼻の下を伸ばすの❤あなたももうメロメロね❤,おっぱい見たらみんな鼻の下を伸ばすの❤あなたももうメロメロね❤
おちんちんを丸ごと包んで、ずりずり❤たぷたぷ❤,おちんちんを丸ごと包んで、ずりずり❤たぷたぷ❤
ねえ、もうバトルは終わりにしましょ？このおっぱいに出しちゃいなさい❤,ねえ、もうバトルは終わりにしましょ？このおっぱいに出しちゃいなさい❤
くすくす❤抵抗する力が弱くなってる❤気持ちよくて逃げられないのよね❤,くすくす❤抵抗する力が弱くなってる❤気持ちよくて逃げられないのよね❤
イクぎりぎりまでお姉さんのサービスを楽しんでいいわよ❤ほら、ずりずりずり♪,イクぎりぎりまでお姉さんのサービスを楽しんでいいわよ❤ほら、ずりずりずり♪
マスターの命令よりもわたしのパイズリの方が大事よね❤くすくす❤,マスターの命令よりもわたしのパイズリの方が大事よね❤くすくす❤
あはん、強いモンスターのはずなのに、おっぱいに負けそうになってる❤,あはん、強いモンスターのはずなのに、おっぱいに負けそうになってる❤
あなたがイっても他の人が頑張ってくれるわ❤谷間に出しちゃっていいのよ❤,あなたがイっても他の人が頑張ってくれるわ❤谷間に出しちゃっていいのよ❤
あっ、ああっ・・・。,あっ、ああっ・・・。
あら、わたしの前に膝をついてどうしたの？\nんふふ、{主人公}くんのおっぱいを見る目がこわいわ❤,あら、わたしの前に膝をついてどうしたの？\nんふふ、{主人公}くんのおっぱいを見る目がこわいわ❤
分かってるわよ❤\nオナニーしたくて我慢できなくなっちゃったのよね。\nまだ{現在ターン}ターン目なのに、ぷっ、くすくす❤,分かってるわよ❤\nオナニーしたくて我慢できなくなっちゃったのよね。\nまだ{現在ターン}ターン目なのに、ぷっ、くすくす❤
ごめんなさい、笑ったらかわいそうよね。\n強いって噂だったから身構えてたのに、\nあまりにもおっぱいに弱くて、ふふふっ。,ごめんなさい、笑ったらかわいそうよね。\n強いって噂だったから身構えてたのに、\nあまりにもおっぱいに弱くて、ふふふっ。
試合前もわたしの谷間に見とれてたし、\nそんなにおっぱい好きなんだ。\n{主人公}くんはまだおっぱい離れできていない赤ちゃんなのかしら。,試合前もわたしの谷間に見とれてたし、\nそんなにおっぱい好きなんだ。\n{主人公}くんはまだおっぱい離れできていない赤ちゃんなのかしら。
ちょっと露出が高い服を着ているだけで、\nおっぱいにメロメロになって勝手にシコシコ❤\nおちんちんを触る手が忙しくてカードも持てなくなっちゃう❤,ちょっと露出が高い服を着ているだけで、\nおっぱいにメロメロになって勝手にシコシコ❤\nおちんちんを触る手が忙しくてカードも持てなくなっちゃう❤
そんなにこのおっぱいが良かった？\nわたし、胸には自信があるけれど、谷間見ただけでメロメロになって\n{現在ターン}ターン目に自滅しちゃう人なんてあなたが初めてよ。,そんなにこのおっぱいが良かった？\nわたし、胸には自信があるけれど、谷間見ただけでメロメロになって\n{現在ターン}ターン目に自滅しちゃう人なんてあなたが初めてよ。
ちょっと露出が高い服を着ているだけなのに…❤\n勝手におっぱいでムラムラして必死にシコシコ❤\n手がふさがってカードも持てなくなっちゃうなんて。くすくす❤,ちょっと露出が高い服を着ているだけなのに…❤\n勝手におっぱいでムラムラして必死にシコシコ❤\n手がふさがってカードも持てなくなっちゃうなんて。くすくす❤
ううっ…❤だめなのにっ…❤,ううっ…❤だめなのにっ…❤
ダメならオナニー止めればいいじゃない❤\nそんな強がり言っていないで、\nおっぱい見てシコリたいですって素直になれば？,ダメならオナニー止めればいいじゃない❤\nそんな強がり言っていないで、\nおっぱい見てシコリたいですって素直になれば？
そうだわ。あなたにサービスしてあげる❤\n「おっぱい見せてください」って素直におねがいすれば、\nわたしの生おっぱい、見せてあげてもいいわよ？,そうだわ。あなたにサービスしてあげる❤\n「おっぱい見せてください」って素直におねがいすれば、\nわたしの生おっぱい、見せてあげてもいいわよ？
え、あっ…❤生おっぱい、ううっ…❤,え、あっ…❤生おっぱい、ううっ…❤
あは、迷っている、迷っている♪\nかわいい反応するわね❤,あは、迷っている、迷っている♪\nかわいい反応するわね❤
ほらぁ、このえろーい谷間見なさい？\n服越しに見てるだけでもムラムラしちゃってたまらない\nえろーいおっぱいよ❤,ほらぁ、このえろーい谷間見なさい？\n服越しに見てるだけでもムラムラしちゃってたまらない\nえろーいおっぱいよ❤
おっぱい見てたら、シコシコやめられないんでしょ？\nあん❤早く決めないと、\nおちんちん我慢できなくて射精して負けちゃ～う❤,おっぱい見てたら、シコシコやめられないんでしょ？\nあん❤早く決めないと、\nおちんちん我慢できなくて射精して負けちゃ～う❤
くすくす❤どうする？期待のルーキーくん❤\n生おっぱい見せてって頼んじゃう？,くすくす❤どうする？期待のルーキーくん❤\n生おっぱい見せてって頼んじゃう？
ほら…❤\nあなたからはっきり敗北を宣言するの。\nおねだり、言えるわよね？,ほら…❤\nあなたからはっきり敗北を宣言するの。\nおねだり、言えるわよね？
ううっ…❤おっぱい、見せてください…❤,ううっ…❤おっぱい、見せてください…❤
よく言えました❤\nいいわよ。ほら、見なさい❤,よく言えました❤\nいいわよ。ほら、見なさい❤
あっ、あっ❤すごいっ、はぅううっ…❤,あっ、あっ❤すごいっ、はぅううっ…❤
くすくす❤おっぱい見せられてすぐにイっちゃうんだ❤,くすくす❤おっぱい見せられてすぐにイっちゃうんだ❤
おっぱいめがけてこんなに飛ばして、\n谷間が濃いのでどろどろになっちゃったわ❤\nよほど気持ちよかったみたいね。,おっぱいめがけてこんなに飛ばして、\n谷間が濃いのでどろどろになっちゃったわ❤\nよほど気持ちよかったみたいね。
始まって{現在ターン}で終わるなんて、ふふっ、\nとっても簡単な試合だったわよ。\nくすくす❤,始まって{現在ターン}で終わるなんて、ふふっ、\nとっても簡単な試合だったわよ。\nくすくす❤
ふーん、我慢するんだ。えらいわね❤,ふーん、我慢するんだ。えらいわね❤
それならほら、たくさん褒めてあげる。\nお顔をハグして、えらいえらい❤,それならほら、たくさん褒めてあげる。\nお顔をハグして、えらいえらい❤
あうっ、ふぁあ・・・❤,あうっ、ふぁあ・・・❤
くすくす❤顔をおっぱいに埋められて\n扱くの早くなっちゃうわね❤,くすくす❤顔をおっぱいに埋められて\n扱くの早くなっちゃうわね❤
あと少しでイキそうだったところに\nおっぱいでぱふぱふされるのはどう？\n気持ちいい？蕩けちゃう？,あと少しでイキそうだったところに\nおっぱいでぱふぱふされるのはどう？\n気持ちいい？蕩けちゃう？
強がらずにわたしのおっぱいに甘えていいのよ❤\nほら、シコシコしてるおちんちん気持ちいい❤\nもうびゅっびゅっしちゃう❤我慢なんてできない❤,強がらずにわたしのおっぱいに甘えていいのよ❤\nほら、シコシコしてるおちんちん気持ちいい❤\nもうびゅっびゅっしちゃう❤我慢なんてできない❤
イク、イっちゃう❤\nあん、あん❤手が止まらない❤出ちゃう❤出ちゃう❤\nくすくす❤イキなさい、期待のルーキーくん❤びゅーっ❤,イク、イっちゃう❤\nあん、あん❤手が止まらない❤出ちゃう❤出ちゃう❤\nくすくす❤イキなさい、期待のルーキーくん❤びゅーっ❤
あひぃっ・・・・❤,あひぃっ・・・・❤
うふふ❤ぱふぱふされてすぐにイっちゃったわね。,うふふ❤ぱふぱふされてすぐにイっちゃったわね。
分かったでしょ？\nおっぱいの前で強がっても無意味なの。\n男の子はこうされたらすぐに負けちゃうのよ❤,分かったでしょ？\nおっぱいの前で強がっても無意味なの。\n男の子はこうされたらすぐに負けちゃうのよ❤
いくつになっても甘えたがりが多くてこまっちゃうわよね。\nあなたももう子供じゃないんだからこれぐらい耐えなくちゃ。\nくすくす❤,いくつになっても甘えたがりが多くてこまっちゃうわよね。\nあなたももう子供じゃないんだからこれぐらい耐えなくちゃ。\nくすくす❤
んふふ、とうとう我慢の限界になっちゃった？\nあとちょっとでわたしを倒せそうなのに、\nおちんちん触りたいの我慢できなくなっちゃったわね。,んふふ、とうとう我慢の限界になっちゃった？\nあとちょっとでわたしを倒せそうなのに、\nおちんちん触りたいの我慢できなくなっちゃったわね。
勝負を捨ててしこしこ♪しこしこ♪\nふふ、もうこうなったら止まらないわ。,勝負を捨ててしこしこ♪しこしこ♪\nふふ、もうこうなったら止まらないわ。
ほら追い討ちに\nおっぱいを顔の近くで見せてあげる❤,ほら追い討ちに\nおっぱいを顔の近くで見せてあげる❤
はううっ・・・・❤,はううっ・・・・❤
あん❤しごくの早すぎよ❤\nおっぱいを間近で見せられて興奮しちゃう？,あん❤しごくの早すぎよ❤\nおっぱいを間近で見せられて興奮しちゃう？
勝てそうな勝負を捨てて、わざわざ負けることを選んだのだもの。\nいいわよ、わたしのおっぱいをたっぷり楽しみなさい❤,勝てそうな勝負を捨てて、わざわざ負けることを選んだのだもの。\nいいわよ、わたしのおっぱいをたっぷり楽しみなさい❤
あなたがしごくのに合わせて\nおっぱいたぷたぷ揺らしてあげる❤ほら、ほら、ほら❤,あなたがしごくのに合わせて\nおっぱいたぷたぷ揺らしてあげる❤ほら、ほら、ほら❤
くすくす❤気持ちよさそうな射精❤\nわたしのおっぱい最高のオカズだったでしょ？,くすくす❤気持ちよさそうな射精❤\nわたしのおっぱい最高のオカズだったでしょ？
{主人公}くん、\n強かったけど最後はわたしのおっぱいの方が勝っちゃったわね。\nうぶな男の子相手にこの格好は刺激が強すぎたかしら♪,{主人公}くん、\n強かったけど最後はわたしのおっぱいの方が勝っちゃったわね。\nうぶな男の子相手にこの格好は刺激が強すぎたかしら♪
あら、もじもじしちゃってどうしたの？\nあ、もしかしてオナニーしたくなっちゃった？,あら、もじもじしちゃってどうしたの？\nあ、もしかしてオナニーしたくなっちゃった？
うふふ❤わたしのおっぱい見てたら\nムラムラ抑えられなくなっちゃったのね❤\nかわいい❤,うふふ❤わたしのおっぱい見てたら\nムラムラ抑えられなくなっちゃったのね❤\nかわいい❤
期待のルーキーなんて言われていても、\n結局は若い男の子。こんなに大きいおっぱい見てたら\n興奮しちゃうのも仕方ないわ。,期待のルーキーなんて言われていても、\n結局は若い男の子。こんなに大きいおっぱい見てたら\n興奮しちゃうのも仕方ないわ。
ほら、{主人公}くん、\n好きなだけわたしの谷間をオカズにしていいのよ。\nもっと近くで見せてあげる❤,ほら、{主人公}くん、\n好きなだけわたしの谷間をオカズにしていいのよ。\nもっと近くで見せてあげる❤
くすくす❤扱くの早すぎよ❤\n顔につきそうな距離でおっぱい見せられて興奮しちゃう？,くすくす❤扱くの早すぎよ❤\n顔につきそうな距離でおっぱい見せられて興奮しちゃう？
頑張れば勝てたかもしれない試合を捨てて、\nお姉さんのおっぱいでシコシコ❤シコシコ❤\nぞくぞくしちゃうぐらい気持ちいいのよね❤,頑張れば勝てたかもしれない試合を捨てて、\nお姉さんのおっぱいでシコシコ❤シコシコ❤\nぞくぞくしちゃうぐらい気持ちいいのよね❤
わたしからのサービスよ。\nあなたが扱くのに合わせておっぱいたぷたぷ揺らしてあげる❤\nほら、ほら、ほら❤,わたしからのサービスよ。\nあなたが扱くのに合わせておっぱいたぷたぷ揺らしてあげる❤\nほら、ほら、ほら❤
くすくす❤気持ちよさそうな射精❤\nエナジーたっぷり溶けた精液をこんなに出して、\nわたしのおっぱいそんなによかったのかしら。,くすくす❤気持ちよさそうな射精❤\nエナジーたっぷり溶けた精液をこんなに出して、\nわたしのおっぱいそんなによかったのかしら。
うふふ…❤マスターの言うこと聞かないででオナニー始めちゃうのね❤\nおっぱいに負けちゃうなんてダメなモンスター❤,うふふ…❤マスターの言うこと聞かないででオナニー始めちゃうのね❤\nおっぱいに負けちゃうなんてダメなモンスター❤
ご主人様のことを裏切ってでも、この谷間が見たかったんでしょ？\nほら、もっと近くで見せてあげる❤,ご主人様のことを裏切ってでも、この谷間が見たかったんでしょ？\nほら、もっと近くで見せてあげる❤
ううっ…❤,ううっ…❤
わたしに負けちゃう人ってやっぱりおっぱいに弱い人が多いのよね。\nフェアリーたちの攻撃には頑張って耐えるのに、横でカードを使っているわたしのおっぱいを見て、勝手に興奮して負けちゃうの。,わたしに負けちゃう人ってやっぱりおっぱいに弱い人が多いのよね。\nフェアリーたちの攻撃には頑張って耐えるのに、横でカードを使っているわたしのおっぱいを見て、勝手に興奮して負けちゃうの。
普段からお客さんによく見られるおっぱいだけれど、みんなほんと好きよね。そんなにいいものかしら？,普段からお客さんによく見られるおっぱいだけれど、みんなほんと好きよね。そんなにいいものかしら？
例えばこうやって、飲み物をテーブルに置く時みたいに前かがみになると…❤,例えばこうやって、飲み物をテーブルに置く時みたいに前かがみになると…❤
あっ…❤すごいっ・・・❤,あっ…❤すごいっ・・・❤
そうそう、あなたみたいにみーんな目が谷間にくぎ付けになっちゃうのよね。女のお客さんでも見ちゃうし、男のお客さんなんてもう間抜けな顔でとろーんと見とれちゃっているわ。,そうそう、あなたみたいにみーんな目が谷間にくぎ付けになっちゃうのよね。女のお客さんでも見ちゃうし、男のお客さんなんてもう間抜けな顔でとろーんと見とれちゃっているわ。
お店じゃオナニーはできないけど、勃起している客も多いのよ❤あなたはラッキーよね。そんなみんなが見とれるようなおっぱいをオカズにできるんですもの❤,お店じゃオナニーはできないけど、勃起している客も多いのよ❤あなたはラッキーよね。そんなみんなが見とれるようなおっぱいをオカズにできるんですもの❤
いや、ま、ほんとは試合中もオナニーしちゃダメなんだけどね。ふふふ❤,いや、ま、ほんとは試合中もオナニーしちゃダメなんだけどね。ふふふ❤
うっ…❤もう、あううっ❤,うっ…❤もう、あううっ❤
あら。もう射精しちゃう？谷間見てるだけでつよーいはずのモンスターがわたしに負けちゃうんだ❤,あら。もう射精しちゃう？谷間見てるだけでつよーいはずのモンスターがわたしに負けちゃうんだ❤
いいわよ。ただおっぱいが大きいだけのお姉さんに負けなさい。観客が見ているところで谷間に向けて情けなく射精しちゃうのよ❤,いいわよ。ただおっぱいが大きいだけのお姉さんに負けなさい。観客が見ているところで谷間に向けて情けなく射精しちゃうのよ❤
くすくす❤精液で谷間がどろどろ❤これを吸収して体力回復っと。,くすくす❤精液で谷間がどろどろ❤これを吸収して体力回復っと。
わたしのおっぱいオカズにしたければ、他の子も来ていいのよ。{主人公}くんもムラムラしているなら、いらっしゃい❤やさしく射精させてあげる❤,わたしのおっぱいオカズにしたければ、他の子も来ていいのよ。{主人公}くんもムラムラしているなら、いらっしゃい❤やさしく射精させてあげる❤
あら、ほんとにオナニーしちゃうんだ。んふふ、{主人公}くんも手下に負けずおっぱい好きなのね❤,あら、ほんとにオナニーしちゃうんだ。んふふ、{主人公}くんも手下に負けずおっぱい好きなのね❤
まだ{現在ターン}ターン目なのに、仲間ともども相手マスターの谷間でオナニー。ぷっ、くすくす❤,まだ{現在ターン}ターン目なのに、仲間ともども相手マスターの谷間でオナニー。ぷっ、くすくす❤
ごめんなさい、笑ったらかわいそうよね。強いって噂だったから身構えてたのに、あまりにもおっぱいに弱くて、ふふふっ。,ごめんなさい、笑ったらかわいそうよね。強いって噂だったから身構えてたのに、あまりにもおっぱいに弱くて、ふふふっ。
試合前もわたしの谷間に見とれてたし、根っからのおっぱいフェチ❤{主人公}くんはまだおっぱい離れできていない赤ちゃんなのかしら。,試合前もわたしの谷間に見とれてたし、根っからのおっぱいフェチ❤{主人公}くんはまだおっぱい離れできていない赤ちゃんなのかしら。
ちょっと露出が高い服を着ているだけで、おっぱいにメロメロになって勝手にシコシコ❤おちんちんを触る手が忙しくてカードも持てなくなっちゃう。くすくす❤,ちょっと露出が高い服を着ているだけで、おっぱいにメロメロになって勝手にシコシコ❤おちんちんを触る手が忙しくてカードも持てなくなっちゃう。くすくす❤
そんなにこのおっぱいが良かった？わたし、胸には自信があるけれど、おっぱい見るだけでメロメロになって{現在ターン}ターン目に自滅しちゃう人なんてあなたが初めてよ。,そんなにこのおっぱいが良かった？わたし、胸には自信があるけれど、おっぱい見るだけでメロメロになって{現在ターン}ターン目に自滅しちゃう人なんてあなたが初めてよ。
ちょっと露出が高い服を着ているだけなのに…❤勝手におっぱいでムラムラして必死にシコシコ❤おちんちんを触る手が忙しくてカードも持てなくなっちゃうなんて。くすくす❤,ちょっと露出が高い服を着ているだけなのに…❤勝手におっぱいでムラムラして必死にシコシコ❤おちんちんを触る手が忙しくてカードも持てなくなっちゃうなんて。くすくす❤
ダメならオナニー止めればいいじゃない❤そんな強がり言っていないで、僕もおっぱい見てシコリたいですって素直になれば？,ダメならオナニー止めればいいじゃない❤そんな強がり言っていないで、僕もおっぱい見てシコリたいですって素直になれば？
そうだわ。あなたにサービスしてあげる❤「おっぱい見せてください」って素直におねがいすれば、わたしの生おっぱい、見せてあげてもいいわよ？,そうだわ。あなたにサービスしてあげる❤「おっぱい見せてください」って素直におねがいすれば、わたしの生おっぱい、見せてあげてもいいわよ？
そう、生おっぱい❤あなたの手下も見れなかった生おっぱい❤,そう、生おっぱい❤あなたの手下も見れなかった生おっぱい❤
くすくす❤どうする？早くしないとおちんちん我慢できなくて射精して負けちゃうわよ、期待のルーキーくん❤,くすくす❤どうする？早くしないとおちんちん我慢できなくて射精して負けちゃうわよ、期待のルーキーくん❤
観客の中にはあなたのファンもいるんじゃないかしら。その人たちのこと裏切って、わたしのおっぱい見るためにおねだりしちゃう？,観客の中にはあなたのファンもいるんじゃないかしら。その人たちのこと裏切って、わたしのおっぱい見るためにおねだりしちゃう？
生おっぱいが見たいなら、ほら…❤あなたからはっきり敗北を宣言するの。おねだり、言えるわよね？,生おっぱいが見たいなら、ほら…❤あなたからはっきり敗北を宣言するの。おねだり、言えるわよね？
よく言えました❤いいわよ。ほら、見なさい❤,よく言えました❤いいわよ。ほら、見なさい❤
くすくす❤おっぱい見せられてすぐにイっちゃうんだ❤ほんとにおっぱいに弱いのね❤谷間が濃いのでどろどろになっちゃった❤,くすくす❤おっぱい見せられてすぐにイっちゃうんだ❤ほんとにおっぱいに弱いのね❤谷間が濃いのでどろどろになっちゃった❤
こんなにあっさり終わるなんて始める前は思いもしなかったわ。とっても簡単な試合だったわね。くすくす❤,こんなにあっさり終わるなんて始める前は思いもしなかったわ。とっても簡単な試合だったわね。くすくす❤
それならほら、たくさん褒めてあげる。お顔をハグして、えらいえらい❤,それならほら、たくさん褒めてあげる。お顔をハグして、えらいえらい❤
くすくす❤顔をおっぱいに埋められて、シコシコするの早くなっちゃうわね❤あと少しでイキそうだったところにおっぱいでぱふぱふされるのはどう？,くすくす❤顔をおっぱいに埋められて、シコシコするの早くなっちゃうわね❤あと少しでイキそうだったところにおっぱいでぱふぱふされるのはどう？
強がらずにわたしのおっぱいに甘えていいのよ❤ほら、おちんちん気持ちいい❤もうびゅっびゅっしちゃう❤我慢なんてできない❤ぱふぱふ❤ぱふぱふ❤,強がらずにわたしのおっぱいに甘えていいのよ❤ほら、おちんちん気持ちいい❤もうびゅっびゅっしちゃう❤我慢なんてできない❤ぱふぱふ❤ぱふぱふ❤
うふふ❤ぱふぱふされてすぐにイっちゃったわね。分かったでしょ？おっぱいの前で強がっても無意味なの。男の子はこうされたらすぐに負けちゃうのよ❤,うふふ❤ぱふぱふされてすぐにイっちゃったわね。分かったでしょ？おっぱいの前で強がっても無意味なの。男の子はこうされたらすぐに負けちゃうのよ❤
いくつになっても甘えたがりが多くてこまっちゃうわよね。あなたも子供じゃないんだからこれぐらい耐えなくちゃ。くすくす❤,いくつになっても甘えたがりが多くてこまっちゃうわよね。あなたも子供じゃないんだからこれぐらい耐えなくちゃ。くすくす❤
んふふ、とうとう我慢の限界になっちゃった？あとちょっとでわたしを倒せそうなのに、おちんちん触りたいの我慢できなくなっちゃったわね。,んふふ、とうとう我慢の限界になっちゃった？あとちょっとでわたしを倒せそうなのに、おちんちん触りたいの我慢できなくなっちゃったわね。
仲間がわたしのおっぱいで気持ちよくなっているのを見て、自分もしこしこ♪しこしこ♪ふふ、もうこうなったら止まらないわ。,仲間がわたしのおっぱいで気持ちよくなっているのを見て、自分もしこしこ♪しこしこ♪ふふ、もうこうなったら止まらないわ。
ほら追い討ちにおっぱいを顔の近くで見せてあげる❤,ほら追い討ちにおっぱいを顔の近くで見せてあげる❤
くすくす❤扱くの早すぎよ❤おっぱいを間近で見せられて興奮しちゃう？,くすくす❤扱くの早すぎよ❤おっぱいを間近で見せられて興奮しちゃう？
あなたが見たかったこの爆乳おっぱい❤仲間がしこっているのを見てうらやましかったのよね？シコシコできてよかったじゃない❤,あなたが見たかったこの爆乳おっぱい❤仲間がしこっているのを見てうらやましかったのよね？シコシコできてよかったじゃない❤
期待のルーキーなのに、勝てそうな勝負を捨てて、おちんちんのムラムラに負けちゃった❤いいのよ、今度別の試合を頑張ればいいわ。今はわたしのおっぱいをたっぷり楽しみなさい❤,期待のルーキーなのに、勝てそうな勝負を捨てて、おちんちんのムラムラに負けちゃった❤いいのよ、今度別の試合を頑張ればいいわ。今はわたしのおっぱいをたっぷり楽しみなさい❤
あなたが扱くのに合わせておっぱいたぷたぷ揺らしてあげる❤ほら、ほら、ほら❤,あなたが扱くのに合わせておっぱいたぷたぷ揺らしてあげる❤ほら、ほら、ほら❤
くすくす❤気持ちよさそうな射精❤エアパイズリですぐに出しちゃった❤わたしのおっぱい最高のオカズだったでしょ？,くすくす❤気持ちよさそうな射精❤エアパイズリですぐに出しちゃった❤わたしのおっぱい最高のオカズだったでしょ？
{主人公}くん、とっても強かったけど最後はわたしのおっぱいの方が勝っちゃったわね。うぶな男の子相手にこの格好は刺激が強すぎたかしら♪,{主人公}くん、とっても強かったけど最後はわたしのおっぱいの方が勝っちゃったわね。うぶな男の子相手にこの格好は刺激が強すぎたかしら♪
あら、もじもじしちゃってどうしたの？あ、もしかしてあなたもオナニーしたくなっちゃった？,あら、もじもじしちゃってどうしたの？あ、もしかしてあなたもオナニーしたくなっちゃった？
うふふ❤来ていいわよとは言ったけど、ほんとに来ちゃうんだ。おっぱいオナニーしたくて我慢できなくなっちゃったのね❤かわいい❤,うふふ❤来ていいわよとは言ったけど、ほんとに来ちゃうんだ。おっぱいオナニーしたくて我慢できなくなっちゃったのね❤かわいい❤
期待のルーキーなんて言われていても、結局は若い男の子。こんなに大きいおっぱい見てたら興奮しちゃうのも仕方ないわ。,期待のルーキーなんて言われていても、結局は若い男の子。こんなに大きいおっぱい見てたら興奮しちゃうのも仕方ないわ。
ほら、{主人公}くん、好きなだけわたしの谷間をオカズにしていいのよ。もっと近くで見せてあげる❤,ほら、{主人公}くん、好きなだけわたしの谷間をオカズにしていいのよ。もっと近くで見せてあげる❤
くすくす❤扱くの早すぎよ❤顔につきそうな距離でおっぱい見せられて興奮しちゃう？,くすくす❤扱くの早すぎよ❤顔につきそうな距離でおっぱい見せられて興奮しちゃう？
頑張れば勝てたかもしれない試合を捨てて、お姉さんのおっぱいでシコシコ❤シコシコ❤ぞくぞくしちゃうぐらい気持ちいいわよね❤,頑張れば勝てたかもしれない試合を捨てて、お姉さんのおっぱいでシコシコ❤シコシコ❤ぞくぞくしちゃうぐらい気持ちいいわよね❤
わたしからのサービスよ。あなたが扱くのに合わせておっぱいたぷたぷ揺らしてあげる❤ほら、ほら、ほら❤,わたしからのサービスよ。あなたが扱くのに合わせておっぱいたぷたぷ揺らしてあげる❤ほら、ほら、ほら❤
{主人公}くん、けっこう頑張ってたけど最後はわたしのおっぱいの方が勝っちゃったわね。うぶな男の子相手にこの格好は刺激が強すぎたかしら♪,{主人公}くん、けっこう頑張ってたけど最後はわたしのおっぱいの方が勝っちゃったわね。うぶな男の子相手にこの格好は刺激が強すぎたかしら♪
うふふ…❤あなたもマスターの言うこと聞かないででオナニー始めちゃうのね❤おっぱいに負けちゃうなんてダメなモンスター❤,うふふ…❤あなたもマスターの言うこと聞かないででオナニー始めちゃうのね❤おっぱいに負けちゃうなんてダメなモンスター❤
マスターを裏切ってでもこの谷間が見たかったんでしょ？ほら、もっと近くで見せてあげる❤,マスターを裏切ってでもこの谷間が見たかったんでしょ？ほら、もっと近くで見せてあげる❤
くすくす❤シコシコする手が早い❤みんなおっぱいに負けちゃうわね。どれだけ強い力を持っていても、自分でシコって負けちゃうならそんな力は無意味❤,くすくす❤シコシコする手が早い❤みんなおっぱいに負けちゃうわね。どれだけ強い力を持っていても、自分でシコって負けちゃうならそんな力は無意味❤
あなたもおっぱいに自分から負けて、敵のマスターに大事なエナジーを提供しちゃっている。,あなたもおっぱいに自分から負けて、敵のマスターに大事なエナジーを提供しちゃっている。
さっきの子みたいにあなたもわたしの前かがみの谷間見たい？ほらこうやって、飲み物をテーブルに置く時みたいに前かがみになると…❤,さっきの子みたいにあなたもわたしの前かがみの谷間見たい？ほらこうやって、飲み物をテーブルに置く時みたいに前かがみになると…❤
ああっ…❤すごいっ・・・❤,ああっ…❤すごいっ・・・❤
ほら、あなたの目も谷間にくぎ付け❤これだけ大きいと女のお客さんでも見ちゃうし、男のお客さんなんてもう間抜けな顔でとろーんと見とれちゃっているのよ。,ほら、あなたの目も谷間にくぎ付け❤これだけ大きいと女のお客さんでも見ちゃうし、男のお客さんなんてもう間抜けな顔でとろーんと見とれちゃっているのよ。
あなたはラッキーよね。そんなみんなが見とれるようなおっぱいをオカズにできるんですもの❤,あなたはラッキーよね。そんなみんなが見とれるようなおっぱいをオカズにできるんですもの❤
