default
試験官（ハンター）,考官（獵人）
例えばこうやって前屈みになって強調するのはどう？体を左右に揺らしてあげれば、谷間がゆっさゆっさって揺れてエッチだよね。,例如說我這樣身體向前彎曲來強調胸部……然後左右搖晃身體，乳溝也會跟著晃動感覺很色對吧。
くすくす。おっぱいから目が離せないみたい。戦闘を忘れて、一生懸命シコシコシコシコ。気持ちいいねー❤,嗯哼哼。你視線無法從胸部一開了。忘掉戰鬥變得只會摸雞雞吧。那會很舒服喔❤
もう出ちゃいそうなのかな？シコシコ止められなくて、試験落ちちゃうね。自分から負けちゃうね❤,要射出來了嗎？不停止自慰的話，考核就會失敗喔。會變成你自己自慰輸掉喔❤。
ふふ。あなたもオナニーしちゃうの？今試験中だよ？,嗯哼哼。你也要來自慰嗎？現在在考核當中喔。
マスターのランクアップがかかった大事な試験だっていうのに、みんなしてわたしの前にやってきてシコシコ始めちゃうなんて…❤ぷぷぷ❤,明明這是你們主人重要的升階考核，卻一個個走到我面前開始自慰……❤嗯哼哼❤。
あなたもわたしのおっぱい見てたらムラムラ抑えられなくなっちゃった？モンスターのくせに情けないなー❤,你也看見我的胸部後就興奮得受不了了嗎？明明是怪獸卻很沒用呢❤。
たしかにガッツリ露出しているけどさ、これぐらいの谷間で動揺してちゃ、サキュバスの相手なんて無理。おっぱいだってサキュバスの方がずっと大きいし…。,確實我穿得很露，但是這種程度就動搖的話，是打不贏魅魔的喔。畢竟魅魔的胸部遠比我大呢……。
え？わざわざ揺らさないでくれって？うそだー、あなたもうれしいくせに。,欸？叫我不要故意搖給你看？你亂講，明明就看得很開心。
ねえねえ。次々オナニーで仲間が負けていくのってどんな気持ち？他の仲間がオナニーしてたから自分もやりたいって我慢できなくなっちゃった？,欸欸。看著同伴們一個個過來自慰的感覺如何？看同伴都在自慰是不是自己也變得想做快要忍不住了呢？
くすくす❤情けないよねー。おっぱい１つで戦意喪失して、どんどん降参しちゃうんだもん。,嗯哼哼❤，好沒用喔。被一對胸部弄到鬥志全失，一個個投降了耶。
ほら、笑われてシコシコ早くなってきた。もう出ちゃいそうなんでしょ？オナニー止められなくて、おっぱいに負けちゃうね❤,哎呀，被嘲笑後手淫速度又變快了。已經要射出來了嗎？完全沒辦法停止自慰，要敗北胸部了耶❤。
谷間寄せてあげるから、ここに出していいよ❤びゅーっていっぱいかけちゃえ❤,我擠乳溝給你看，來射出來吧❤，把我的乳溝射滿吧❤。
こんな調子で大丈夫？こんなに自爆ばっかりしていたら、すぐに全滅して試験に落ちちゃうんじゃない？くすくす❤,這樣下去真的可以嗎？都只會這樣自爆的話，就會全滅然後考核失敗喔。嗯哼哼❤。
試験は残念ながら不合格。おっぱいでオナニーなんてしちゃうんだから、当たり前だよね？くすくす❤,很遺憾，考核的結果是不通過。畢竟你都對著我胸部自慰了，這結果是理所當然的吧。嗯哼哼❤。
ふふ、手にたっぷり出しちゃったねー。それじゃまたの機会をお待ちしてまーす。,嗯哼哼，你在我的手上射了好多出來喔。那麼等你下次來挑戰喔。
あん❤胸の間に出しすぎだよー。新人マスターくんにはわたしのおっぱいは気持ちよすぎたかなー。,啊哈❤。你在我胸部上射太多了啦。新人卡片玩家你啊，也射太爽了吧。
勝負に負け動けなくなった僕は、試験官の女性の前で膝をついていた。,輸了對戰而無法動彈的我，在女性考官面前跪倒在地上。
うふふ、わたしの勝ちだね。受付ちゃんが期待しているって言ってたから楽しみだったんだけど、思ったほどじゃないのかな？,嗯哼哼，是我贏了呢。因為櫃台小姐說是備受矚目的新人所以我還很期待，但是沒有想像中的厲害呢。
言っとくけど、わたし本気出してないよ？これ初心者向けの試験だし。,姑且說一下，我沒有拿出實力戰鬥喔。畢竟這是對新人的考核呢。
ううっ…。,嗚嗚……。
カードの使い方はうまいみたいだけど、エッチなことにまだ全然慣れてないって感じだよね。,雖然使用卡片的方面已經很熟練，但是對色色的事情完全沒有抵抗力的樣子呢。
わたしのおっぱい見てたら、勝手にオナニーして自爆しちゃうしさ。くすくす❤,看見我的胸部的話，就開始自慰最後自爆了。嗯哼哼❤。
手でシコシコしてあげたら簡単に射精しちゃったしさ。くすくす❤,幫你手交就可以輕鬆讓你射精耶。嗯哼哼❤。
おっぱいで挟んであげたら、蕩け顔ですぐに射精しちゃったしさ。くすくす❤,被我用胸部夾住，就會一臉爽樣射精了。嗯哼哼❤。
それじゃ、ま、バトルに使った分の魔力だけ、あなたから搾らせてもらうね。よいっしょっと…❤,那麼，嗯……接下來從你那榨走我在對戰中用掉的魔力好了。嘿咻……❤。
わざわざおっぱいでオナニーしたぐらいだもんねー❤挟まれたかったんでしょ？,你都會想要用這胸部來自慰了，應該也很想被夾吧❤。
おっぱいは気持ちいい？わたしどちらかという手コキよりこっちの方が得意なんだ。,我的胸部夾起來很舒服對不對？跟我的手淫技術比起來，我比較擅長這邊的技巧喔。
手コキでイっちゃうあなたにはたぶん耐えられないと思うなー。くすくす❤。,光是手淫就能射的你應該忍不住吧。嗯哼哼❤。
さっきも出したこのおっぱいで、すぐにまたイかせてあげる❤うりうりー❤,就用剛剛才讓你射的這對胸部來再讓你射一次❤。
おっぱいがむにゅうって腰を上がってきて、おちんちんがそれに飲み込まれて…❤すごーくエッチでしょ？,胸部彈動的同時我扭動腰部，把你的小雞雞完全吞噬在自己的胸部當中……❤這畫面很色情對吧？
パイズリしやすいように、わたし、服のところに隙間をあけてるの。たいがいの男の人には効果抜群なんだよ❤,為了方面乳交，我穿這種胸前有開口的衣服喔。只要碰到男人效果都非常好呢❤。
おっぱいで挟んで、擦り上げて…。こうしてあげると気持ちよすぎて腰がふるえてきちゃうよね。くすくす❤,用胸部夾起來，上下搓動……。這樣子做你就會爽到身體不斷顫抖呢。嗯哼哼❤。
あっ…❤ああっぁ…❤すごいっ…❤やわらかくてぇ❤,啊啊……❤，啊啊啊……❤，好舒服……❤，好柔軟❤。
柔らかい？そっかー、うれしいなぁ❤,很柔軟嗎？這樣啊，我很高興喔❤。
たくさん楽しんでいいんだよ。どうせ勝負はもう終わったんだし、あとは気持ちよーく負けちゃうだけ。,你能夠舒服真是太好了。反正對戰也結束了，現在你只需要繼續舒服敗北就行了。
おっぱいに挟まれて、男の子の弱点でおっぱいのやわらかさをたーっぷり味わって、それでわたしに魔力を出しておしまい❤,讓男孩子的弱點被胸部夾住，盡情享受你最愛的柔軟胸部的觸感，然後射出能量給我❤。
ほら、おちんちんの感触に集中して？あなたが快感に喘げば喘ぐだけ、魔力が精液に溶けていくから…。,來吧，把你的意識集中在小雞雞的觸感上。你越是有感覺嬌喘越大聲，溶在精液的能量就會越多。
ちなみに、魔力をたくさん溶かした方が射精するときは気持ちいいらしいよ？女のわたしには分からないけど、魔力を込めた分だけ感覚が敏感になっちゃうからかな？,順便一提，射出含有大量能量的精液特別舒服喔。我是女性所以不太清楚，不過好像是因為其中的魔力含量提昇讓感覺變得很敏感的樣子。
あは、言われてちょっと魔力を込めたでしょ？すっかり期待しちゃって、このえっちー❤,啊哈哈，被我這樣子說你的魔力就流進來了呢。看來你真的很喜歡這樣呢，好色喔❤。
あっ…❤ち、ちがっ…❤,啊……❤，不、不是……❤。
別にいいんだよ。いまは試験中じゃないし、わたしのおっぱいの感触しっかり味わっちゃえばいいじゃん❤,沒關係啦。考核已經結束了，仔細享受我的胸部觸感是沒問題的喔❤。
あんまりわたしのおっぱいにメロメロにされたら、この先試験に勝てなくなっちゃうかもしれないけど…❤ま、それは知ったことじゃないし❤,被我的胸部給徹底魅惑的話，你就會沒辦法通過我的考核……❤，不過那才不關我的事情❤。
うりうりー❤おっぱいでいっぱいこすられて、とろとろになるまで気持ちよくなっちゃえ❤,我只管幹你❤，我要用胸部狠狠幹你，讓你舒服到死❤。
あっ❤ああっ❤❤❤だめ、これっ、あああっ…❤,啊❤！啊啊❤❤❤！不行、這個、啊啊啊……❤！
あはは、もう射精しちゃうね❤それじゃ、終わりにぎゅーってしてあげるから、閉じてる谷間にどぷって出しちゃっていいよ。,啊哈哈，已經射精了呢❤。那麼我最後會緊緊壓住乳溝，讓你在緊閉的乳溝中用力射出來。
イっちゃえ、新人マスターくん❤気持ちいい気持ちいい乳内射精で、わたしに魔力渡しちゃえ❤むぎゅー❤,射吧，新人卡片玩家❤。在舒服的乳內射精中把你的能量獻給我吧❤！就在這一次擠壓下❤！
あっ❤あぐあっ❤❤❤,啊啊❤！啊咕啊啊❤❤❤！
んふふ、たくさん出てる。谷間の中が白いのでドロドロ❤,嗯哼哼，射了好多出來喔。白色液體都從乳溝中流出來了❤。
あー、この精液、普通の射精3回分ぐらいは魔力が溶けちゃってるんじゃないかな❤ずいぶんエッチなことに魔力使っちゃったみたいだね。すけべ❤,啊～，這個精液含有一般射精三次的能量耶❤。你還真是把能量浪費在這種色情的事情上呢。色鬼❤。
精液に溶けてる魔力はなかなか良質だね。きっとキミ、才能あるよ。さすがはコノハさんのところのお弟子さん。,精液內的能量非常優質。你一定很有才能。真不愧是可羅小姐的徒弟。
まあどれだけ才能があっても、エッチなことに弱いようじゃ、今の時代やってけないんだけどね。次挑んでくるときは少しはおっぱいに勝てるように頑張れー♪くすくす❤,只是不管才能多好，只要喜歡被做色色的事情在現在這個時代只會敗北而以呢。下次挑戰的時候要多少變得有辦法贏過胸部喔，嗯哼哼❤。
導入イベントをスキップしますか？,要跳過劇情嗎？
はい,要
いいえ,不要
からかいパイズリ,柔軟乳交
狩人の手コキ,獵人的手交
なんでも,隨便做就好
