default
巨乳スライム,巨乳史萊姆
おちんちんをこんなおっきいおっぱいでいじめてもらえるなんて、童貞マゾのマスターくんには最高でしょ？幸せでしょ？,自己的小雞雞能被特大號奶子虐待，對你這個童貞被虐狂來說是最幸福的玩法對不對？
気持ちよすぎて喘ぎ声しか出せないよね❤何も考えられなくて、おっぱいのせいで頭の中ぐちゃぐちゃだよね❤,你都爽過頭只能發出嬌喘聲了耶❤，什麼也無法思考，腦袋被特大號奶子攪得一團亂❤。
ぐちゃぐちゃなまま、イケ❤イっちゃえ❤わたしのおっぱいで死んじゃえ、おっぱいマゾのマスターくん❤,就在腦子一團亂的狀況下射吧❤！射到死吧❤！在我的特大號奶子中死吧❤！你這隻被虐卡片玩家❤！
あっ、あぐっ❤❤あっ、ああっっ・・・❤,啊、啊咕❤❤！啊、啊啊啊……❤。
ふふ、動かなくなっちゃった。谷間の中、精液でどろどろ・・・❤,啊哈哈，不動了。乳溝還在滴精液出來……❤。
それじゃあ全部吸収してっと・・・。んー、エナジーおいしい❤,那麼一口氣全部吸收進來。啊哈，能量的味道好棒喔。
カードマスターだけあって魔力が多いんだ❤おいしかったよ。ごちそうさま。,只有卡片玩家的魔力特別多，特別好吃❤。謝謝招待。
こうして主人公は、最初の戦闘で胸の大きなスライムに負け、命が干からびるまで精を吸い取られた。,就這樣主角在第一次戰鬥中就敗給胸部很大的史萊姆，被吸乾了精氣與生命。
妹を探すはずだった冒険は、あっけなく下級モンスターの手によってその幕を閉じ、,就這樣尋找妹妹的冒險、意外的被低階怪獸給迅速拉下帷幕。
その後、彼の行方を知るものは誰もいなかったという・・・。,然後，再也沒有人見過他的身影……。
とどめを刺した,擊倒她
じっとして彼女の動きを待った,不行動等待她的下一步
