default
妖狐,妖狐
くすくす❤魔力ご馳走様❤\n本気を出す前にやられちゃうなんて、Cランクマスターなのにおっぱいに弱いのね❤,くすくす❤魔力ご馳走様❤\n本気を出す前にやられちゃうなんて、Cランクマスターなのにおっぱいに弱いのね❤
決着ー！！勝者はネネコ選手！,決着ー！！勝者はネネコ選手！
にゃはは♪わたしの勝ちだにゃ。\nあれだけ威勢のいい顔してたくせにおっぱいにぼろ負け❤\n男って情けないにゃー❤,にゃはは♪わたしの勝ちだにゃ。\nあれだけ威勢のいい顔してたくせにおっぱいにぼろ負け❤\n男って情けないにゃー❤
く、くそぉ・・・。,く、くそぉ・・・。
悔しがってもおっぱいに負けた事実は消えないにゃ❤\nにゃはは❤これでうちの弟もお前に憧れるのはやめるだろうにゃあ❤\n実にすがすがしい勝利だにゃ♪,悔しがってもおっぱいに負けた事実は消えないにゃ❤\nにゃはは❤これでうちの弟もお前に憧れるのはやめるだろうにゃあ❤\n実にすがすがしい勝利だにゃ♪
せっかくならもっとみじめな方が弟にもわかりやすいかにゃ？\nもっともっと情けなく喘がせてやるのにゃ。\n妖狐、行くのにゃ！,せっかくならもっとみじめな方が弟にもわかりやすいかにゃ？\nもっともっと情けなく喘がせてやるのにゃ。\n妖狐、行くのにゃ！
りょうか～い❤\nそれじゃあお姉さんのとっておきの妖術でたっぷりと搾り取ってあげるわ❤,りょうか～い❤\nそれじゃあお姉さんのとっておきの妖術でたっぷりと搾り取ってあげるわ❤
うふふ❤もうわかっているわよね？\nさっき味わったおっぱいハーレムよ❤\nもう一回味わえるなんてマスター君は幸せ者ね❤,うふふ❤もうわかっているわよね？\nさっき味わったおっぱいハーレムよ❤\nもう一回味わえるなんてマスター君は幸せ者ね❤
コンコン❤どうかしら？わたしの分身❤\nどこも見てもおっぱいだらけのおっぱいハーレム❤\n今から全員で搾り取ってあげるわ❤,コンコン❤どうかしら？わたしの分身❤\nどこも見てもおっぱいだらけのおっぱいハーレム❤\n今から全員で搾り取ってあげるわ❤
いくわよ？せーのっ❤\nむにゅむにゅむにゅ～❤,いくわよ？せーのっ❤\nむにゅむにゅむにゅ～❤
ああぁぁ・・・❤,ああぁぁ・・・❤
ああっと、{主人公}選手！\nネネコ選手のしもべに抑え込まれてしまいました！,ああっと、{主人公}選手！\nネネコ選手のしもべに抑え込まれてしまいました！
幻術で作り出された分身に囲まれ\nその表情は恍惚のひとこと！\nとても反撃に移れそうにはありません！,幻術で作り出された分身に囲まれ\nその表情は恍惚のひとこと！\nとても反撃に移れそうにはありません！
ふふふ❤だらしない顔だにゃあ❤\nおっぱいの事しか考えられないって顔、格好悪いにゃあ・・・♪,ふふふ❤だらしない顔だにゃあ❤\nおっぱいの事しか考えられないって顔、格好悪いにゃあ・・・♪
この妖術はたくさん妖力を使うにゃ。\nだから使った分回収するまでお前からは搾り取るのにゃ❤\nすっからかんになるまで楽しめにゃあ❤,この妖術はたくさん妖力を使うにゃ。\nだから使った分回収するまでお前からは搾り取るのにゃ❤\nすっからかんになるまで楽しめにゃあ❤
そっ❤そんなっ❤\n止め、むぐぅ・・・❤,そっ❤そんなっ❤\n止め、むぐぅ・・・❤
もうよそ見なんて駄目よ❤\nおっぱいでずっしん❤\n目におっぱいを乗せて目隠ししてあげる❤,もうよそ見なんて駄目よ❤\nおっぱいでずっしん❤\n目におっぱいを乗せて目隠ししてあげる❤
情けない声を聞かれて恥ずかしくないようにお口も塞いであげるわ❤\nあんっ❤乳首、ちゅうちゅう吸って赤ちゃんみたい❤,情けない声を聞かれて恥ずかしくないようにお口も塞いであげるわ❤\nあんっ❤乳首、ちゅうちゅう吸って赤ちゃんみたい❤
おっきなおっぱいで全身をむにゅむにゅ❤\nおっぱいに埋もれるおっぱい天国❤\nくすくす❤全身がびくびくして可愛い❤,おっきなおっぱいで全身をむにゅむにゅ❤\nおっぱいに埋もれるおっぱい天国❤\nくすくす❤全身がびくびくして可愛い❤
んんっ❤んふぅ～・・・❤,んんっ❤んふぅ～・・・❤
あらら。すっかり脱力しきちゃって・・・❤\nおちんちんだけかっちかちのまま❤\nそんなに隙だらけなままだと～❤,あらら。すっかり脱力しきちゃって・・・❤\nおちんちんだけかっちかちのまま❤\nそんなに隙だらけなままだと～❤
んんんんんっ❤❤,んんんんんっ❤❤
えいえい❤おちんちんに不意打ち❤\nおっぱいの中で驚いてびくびくしてる❤,えいえい❤おちんちんに不意打ち❤\nおっぱいの中で驚いてびくびくしてる❤
完全に埋もれてるから身動きがとれないでしょう？\n柔らかいおっぱいで抑えられると力が抜けちゃうものね❤,完全に埋もれてるから身動きがとれないでしょう？\n柔らかいおっぱいで抑えられると力が抜けちゃうものね❤
だからこうやって～・・・。パンパン❤パンパン❤\nおっぱいを思いっきり叩きつけても悶える事もできないの❤,だからこうやって～・・・。パンパン❤パンパン❤\nおっぱいを思いっきり叩きつけても悶える事もできないの❤
あ、あぐああっ❤❤,あ、あぐああっ❤❤
それじゃあ先ずは一回目❤\nお姉さんのおっぱいにぜんぶ出しなさい❤\nほらほら❤ほらほらぁ❤,それじゃあ先ずは一回目❤\nお姉さんのおっぱいにぜんぶ出しなさい❤\nほらほら❤ほらほらぁ❤
ううううっ❤,ううううっ❤
あ❤ひぃっ・・・❤,あ❤ひぃっ・・・❤
あぁん❤おっぱいのなかでびゅくびゅく出てる・・・❤\nエナジーたっぷりの精液、ごちそうさま❤,あぁん❤おっぱいのなかでびゅくびゅく出てる・・・❤\nエナジーたっぷりの精液、ごちそうさま❤
連戦連勝のマスターなだけあって濃厚なエナジーだわ❤\nこれなら久しぶりに妖力が全回復するかも・・・❤\nだ・か・ら❤,連戦連勝のマスターなだけあって濃厚なエナジーだわ❤\nこれなら久しぶりに妖力が全回復するかも・・・❤\nだ・か・ら❤
萎えさせてあげないわ❤\nマスターの言う通り、からっぽになるまでエナジーを搾ってあげる❤,萎えさせてあげないわ❤\nマスターの言う通り、からっぽになるまでエナジーを搾ってあげる❤
あああ゛っ❤❤,あああ゛っ❤❤
にゃはは♪妖狐も本気だにゃあ♪\nま、安心するにゃ。干からびて死にそうになったら止めてやるにゃあ。,にゃはは♪妖狐も本気だにゃあ♪\nま、安心するにゃ。干からびて死にそうになったら止めてやるにゃあ。
精液でどろどろになったおっぱいの中でズリズリ❤\nくすくす❤そんな声だして❤直ぐにギンギンになったわね❤,精液でどろどろになったおっぱいの中でズリズリ❤\nくすくす❤そんな声だして❤直ぐにギンギンになったわね❤
でも直ぐに射精したらダメよ？\nエナジーをたくさん精液に貯めた方が天国を長く楽しめるわ❤\nおっぱいハーレムって男の夢なんでしょう？,でも直ぐに射精したらダメよ？\nエナジーをたくさん精液に貯めた方が天国を長く楽しめるわ❤\nおっぱいハーレムって男の夢なんでしょう？
身動きひとつできないままにお漏らしし続けるのが夢なんて❤\n男って浅ましいわね❤\n夢と快楽に溺れてしまいなさいな❤コンコン❤,身動きひとつできないままにお漏らしし続けるのが夢なんて❤\n男って浅ましいわね❤\n夢と快楽に溺れてしまいなさいな❤コンコン❤
あ、あぐああっ❤あひぃっあ❤,あ、あぐああっ❤あひぃっあ❤
お・・・❤あ・・・❤は、ひぃ・・・❤,お・・・❤あ・・・❤は、ひぃ・・・❤
くすくす❤白目向いちゃったわ。\nおちんちんももう空打ちしかしてないし・・・❤,くすくす❤白目向いちゃったわ。\nおちんちんももう空打ちしかしてないし・・・❤
分身を解除してっと。\nうう～ん❤妖力が全快してるなんて久しぶりかも。\nあなたって本当に優秀なマスターだったのね。ご馳走様❤,分身を解除してっと。\nうう～ん❤妖力が全快してるなんて久しぶりかも。\nあなたって本当に優秀なマスターだったのね。ご馳走様❤
にゃはは♪いいざまだにゃあ♪\nこれに懲りたらもう二度と戦おうと思わない事だにゃ。,にゃはは♪いいざまだにゃあ♪\nこれに懲りたらもう二度と戦おうと思わない事だにゃ。
意識を失った僕は、その後闘技場の医務室で目を覚ました。ネネコに好き放題言われてしまったことが悔しくて仕方がなかった。,意識を失った僕は、その後闘技場の医務室で目を覚ました。ネネコに好き放題言われてしまったことが悔しくて仕方がなかった。
男だって戦える。情けない姿を晒してしまったが、再戦して証明しなくては気が収まらない。,男だって戦える。情けない姿を晒してしまったが、再戦して証明しなくては気が収まらない。
そう思っているとき、誰だろうか、医務室のドアを叩く音がする。僕はまだふらふらする足でベッドから立ち上がり、ドアを開けた。,そう思っているとき、誰だろうか、医務室のドアを叩く音がする。僕はまだふらふらする足でベッドから立ち上がり、ドアを開けた。
ドアの向こういたのは獣人の少年だった。\nどこかさっきのマスターの面影がある。\nもしかして、彼女が言っていた弟というのは・・・。,ドアの向こういたのは獣人の少年だった。\nどこかさっきのマスターの面影がある。\nもしかして、彼女が言っていた弟というのは・・・。
あの、はじめまして。\nボク、にいちゃんのファンで・・・。,あの、はじめまして。\nボク、にいちゃんのファンで・・・。
その、うちのおねえちゃんが、\nにいちゃんのことボコボコにしちゃって・・・。でも、ボク・・・。\nにいちゃんのことまだカッコいいって思ってるから・・・。,その、うちのおねえちゃんが、\nにいちゃんのことボコボコにしちゃって・・・。でも、ボク・・・。\nにいちゃんのことまだカッコいいって思ってるから・・・。
その、それだけ伝えたくて・・・。\nがんばってください！応援してます！,その、それだけ伝えたくて・・・。\nがんばってください！応援してます！
そういうと、慌てたように少年はどこかに走っていてしまった。,そういうと、慌てたように少年はどこかに走っていてしまった。
ドアの向こういたのは以前戦ったことのあるタイガだった。\nん・・・？そういえばどこかさっきのマスターの面影がある。\nもしかして、ネネコが言っていた弟というのは・・・。,ドアの向こういたのは以前戦ったことのあるタイガだった。\nん・・・？そういえばどこかさっきのマスターの面影がある。\nもしかして、ネネコが言っていた弟というのは・・・。
あの、兄ちゃん、\n俺、兄ちゃんがどんどんランクを上げるのを見て、\n兄ちゃんのファンになっててさ。,あの、兄ちゃん、\n俺、兄ちゃんがどんどんランクを上げるのを見て、\n兄ちゃんのファンになっててさ。
その、うちのおねえちゃんが、\n兄ちゃんのことボコボコにしちゃって・・・。でも、ボク・・・。\n兄ちゃんのことまだカッコいいって思ってるから・・・。,その、うちのおねえちゃんが、\n兄ちゃんのことボコボコにしちゃって・・・。でも、ボク・・・。\n兄ちゃんのことまだカッコいいって思ってるから・・・。
その、それだけ伝えたくて・・・。\nうちのねえちゃん強いけど、兄ちゃんなら絶対勝てるから！\nがんばって！応援してる！,その、それだけ伝えたくて・・・。\nうちのねえちゃん強いけど、兄ちゃんなら絶対勝てるから！\nがんばって！応援してる！
そういうと、慌てたようにタイガはどこかに走っていてしまった。,そういうと、慌てたようにタイガはどこかに走っていてしまった。
・・・・。,・・・・。
そうだ。僕はこの先、中級以上のサキュバスとだって戦うつもりなんだ。ここで女性のカードマスターに負けて、男の恥をさらしている場合ではない。,そうだ。僕はこの先、中級以上のサキュバスとだって戦うつもりなんだ。ここで女性のカードマスターに負けて、男の恥をさらしている場合ではない。
次は必ず勝たなくては。そう思った僕は厳しい修行を行い、万全の状態でネネコに再戦を申し込んだ。,次は必ず勝たなくては。そう思った僕は厳しい修行を行い、万全の状態でネネコに再戦を申し込んだ。
{主人公}選手！\n今日は一味違うとばかりの猛攻！\nネネコ選手を追い詰めます！,{主人公}選手！\n今日は一味違うとばかりの猛攻！\nネネコ選手を追い詰めます！
よし、いける・・・！,よし、いける・・・！
このままじゃまずいにゃ。\nわたしのターンだにゃ、ドロー！\n妖狐を召喚だにゃ！,このままじゃまずいにゃ。\nわたしのターンだにゃ、ドロー！\n妖狐を召喚だにゃ！
あらぁ♪また会ったわね❤\nもう一回おっぱいハーレムを味わいたくて\nお姉さんに会いに来たのかしら・・・❤,あらぁ♪また会ったわね❤\nもう一回おっぱいハーレムを味わいたくて\nお姉さんに会いに来たのかしら・・・❤
ああっと！{主人公}選手の動きが止まった！\n一体どうしたのでしょうか！,ああっと！{主人公}選手の動きが止まった！\n一体どうしたのでしょうか！
妖狐の姿を目にした僕は鮮明におっぱいハーレムの凄まじい快楽を思い出してしまう。,妖狐の姿を目にした僕は鮮明におっぱいハーレムの凄まじい快楽を思い出してしまう。
すぐに攻撃すれば止められるのに、僕は、僕は・・・。,すぐに攻撃すれば止められるのに、僕は、僕は・・・。
あ、ああっ❤あひぃっ❤またでるぅ❤,あ、ああっ❤あひぃっ❤またでるぅ❤
はぁ～い♪ぴゅっぴゅ～❤\n何回出してもエナジーたっぷり❤\nこんなに溜めて来てくれたなんてお姉さん嬉しいわ❤,はぁ～い♪ぴゅっぴゅ～❤\n何回出してもエナジーたっぷり❤\nこんなに溜めて来てくれたなんてお姉さん嬉しいわ❤
これはなんということでしょう、劇的な逆転劇！\n{主人公}選手、前回敗北したモンスターになすすべもありません！,これはなんということでしょう、劇的な逆転劇！\n{主人公}選手、前回敗北したモンスターになすすべもありません！
にゃはは♪すっかりおっぱいハーレム中毒だにゃあ。\nあと少しまで追い詰めたのに勝ちよりおっぱいを選ぶなんて馬鹿だにゃあ❤,にゃはは♪すっかりおっぱいハーレム中毒だにゃあ。\nあと少しまで追い詰めたのに勝ちよりおっぱいを選ぶなんて馬鹿だにゃあ❤
ま、男なんてそんなものにゃ❤\nチンポ気持ちよくなれれば、\nプライドもエナジーも、ぜーんぶおっぱいに吐き出すのにゃ❤,ま、男なんてそんなものにゃ❤\nチンポ気持ちよくなれれば、\nプライドもエナジーも、ぜーんぶおっぱいに吐き出すのにゃ❤
３度目がないようにもっと徹底的に喘がせてやるにゃ。\nおっぱいには勝てないって身体が覚えるまでにゃあ。,３度目がないようにもっと徹底的に喘がせてやるにゃ。\nおっぱいには勝てないって身体が覚えるまでにゃあ。
ですって❤\n今日は空打ちしても止めてあげない・・・❤\n頭がからっぽになるまでお射精しましょうね❤,ですって❤\n今日は空打ちしても止めてあげない・・・❤\n頭がからっぽになるまでお射精しましょうね❤
も・・・やめ❤ゆるしてぇ❤ああ゛っ❤❤,も・・・やめ❤ゆるしてぇ❤ああ゛っ❤❤
僕はそのまま気絶するまで徹底的に精を搾り取られた。,僕はそのまま気絶するまで徹底的に精を搾り取られた。
この試合以降、僕は女の人の胸を見るだけで射精寸前になってしまう、重度のおっぱい中毒になってしまった。,この試合以降、僕は女の人の胸を見るだけで射精寸前になってしまう、重度のおっぱい中毒になってしまった。
ネネコに勝つどころではない。DランクやEランクのマスター相手にも、ちょっと胸を使って誘惑されれば、それだけで身動きができなくなってしまう。闘技場での勝負も、街での勝負も、全く勝てなくなってしまった。,ネネコに勝つどころではない。DランクやEランクのマスター相手にも、ちょっと胸を使って誘惑されれば、それだけで身動きができなくなってしまう。闘技場での勝負も、街での勝負も、全く勝てなくなってしまった。
ある日のこと、街で買い物をしようとしていると、女の子三人に横から列に割り込まれることがあった。僕は彼女たちに抗議しようとしたが、彼女たちは僕の顔を見るとくすくすと笑い、そして、三人でぎゅっと身を寄せ合って、僕に向かって上目づかいをしてきた。,ある日のこと、街で買い物をしようとしていると、女の子三人に横から列に割り込まれることがあった。僕は彼女たちに抗議しようとしたが、彼女たちは僕の顔を見るとくすくすと笑い、そして、三人でぎゅっと身を寄せ合って、僕に向かって上目づかいをしてきた。
彼女たちが体を寄せたことで、胸がむにゅりとひしゃげる。その光景は僕に妖狐に搾り取られたあのときのパイズリを思い起こさせ、僕は顔を真っ赤にしてしまう。,彼女たちが体を寄せたことで、胸がむにゅりとひしゃげる。その光景は僕に妖狐に搾り取られたあのときのパイズリを思い起こさせ、僕は顔を真っ赤にしてしまう。
少女たちはにやにやと笑いながら、胸を軽く手で持ち上げてみせた。きっと彼女たちは僕の闘技場での話を知っていたのだろう。僕はたったそれだけの挑発でほとんど限界を迎えてしまい、あやうく射精をしてしまいそうになった。醜態をさらさないように慌ててそそくさとその場を後にしたのだった。,少女たちはにやにやと笑いながら、胸を軽く手で持ち上げてみせた。きっと彼女たちは僕の闘技場での話を知っていたのだろう。僕はたったそれだけの挑発でほとんど限界を迎えてしまい、あやうく射精をしてしまいそうになった。醜態をさらさないように慌ててそそくさとその場を後にしたのだった。
もはや僕は、カードマスターですらない普通の女の子にすら負けてしまうのだ。その事実は僕の心を折るには十分すぎるものだった。,もはや僕は、カードマスターですらない普通の女の子にすら負けてしまうのだ。その事実は僕の心を折るには十分すぎるものだった。
こうして妖狐によってすっかり負け癖を植え付けられてしまった僕は、女性マスターには二度と勝てず、時折ただの女の子にすら搾取されて、みじめな人生を送っていくことになるのだった。僕の冒険は何者にもなれないまま、ここで幕を閉じた。,こうして妖狐によってすっかり負け癖を植え付けられてしまった僕は、女性マスターには二度と勝てず、時折ただの女の子にすら搾取されて、みじめな人生を送っていくことになるのだった。僕の冒険は何者にもなれないまま、ここで幕を閉じた。
ってあら？\nおちんちん、びくびくって反応しちゃってるんだけど❤\nあは、{ランク名}ランクにもなったのに案外チョロいんだ～❤,ってあら？\nおちんちん、びくびくって反応しちゃってるんだけど❤\nあは、{ランク名}ランクにもなったのに案外チョロいんだ～❤
ってあら？\nおちんちん、びくびくって反応しちゃってるんだけど❤\nあは、{ランク名}ランクマスターの使い魔なのに案外チョロいんだ～❤,ってあら？\nおちんちん、びくびくって反応しちゃってるんだけど❤\nあは、{ランク名}ランクマスターの使い魔なのに案外チョロいんだ～❤
あ～あ❤全身ふにゃふにゃになっちゃってる❤\n幸せそうでだらしない顔❤\n強いあなたでも分身の前ではたじたじね❤コンコン♪,あ～あ❤全身ふにゃふにゃになっちゃってる❤\n幸せそうでだらしない顔❤\n強いあなたでも分身の前ではたじたじね❤コンコン♪
あ～あ❤全身ふにゃふにゃになっちゃってる❤\n幸せそうでだらしない顔❤\n次は他の人もおっぱい天国、味わってみる？❤コンコン❤,あ～あ❤全身ふにゃふにゃになっちゃってる❤\n幸せそうでだらしない顔❤\n次は他の人もおっぱい天国、味わってみる？❤コンコン❤
ほらあっという間に吸収しちゃった❤\nんふふ、あなたの大事なエナジー、おっぱいに食べられちゃったわね❤\nこんな負け方でよかったの？無敗のルーキーくん❤,ほらあっという間に吸収しちゃった❤\nんふふ、あなたの大事なエナジー、おっぱいに食べられちゃったわね❤\nこんな負け方でよかったの？無敗のルーキーくん❤
{ランク名}ランクマスターなのに谷間見たさにシコシコしながら白状するって❤くすくす❤,{ランク名}ランクマスターなのに谷間見たさにシコシコしながら白状するって❤くすくす❤
{ランク名}ランクマスターの使い魔なのに谷間見たさにシコシコしながら白状するって❤くすくす❤,{ランク名}ランクマスターの使い魔なのに谷間見たさにシコシコしながら白状するって❤くすくす❤
おっぱい天国はどうだったかしら❤\nその様子じゃあまともに話せそうにないわね❤\nまさしく『天国』だったでしょう❤くすくす❤,おっぱい天国はどうだったかしら❤\nその様子じゃあまともに話せそうにないわね❤\nまさしく『天国』だったでしょう❤くすくす❤
くすくす❤魔力ご馳走様❤\n本気を出す前にやられちゃうなんて、{ランク名}ランクマスターなのにおっぱいに弱いのね❤,くすくす❤魔力ご馳走様❤\n本気を出す前にやられちゃうなんて、{ランク名}ランクマスターなのにおっぱいに弱いのね❤
誘惑に抗いとどめを刺した,抗拒誘惑並擊倒她
おっぱいハーレムに魅せられた,被胸部後宮給誘惑了
胸から視線を離してとどめを刺した,從胸部把視線移開並擊倒她
武器から手を放してしまった,自己把武器丟下
