default
酔いどれバニー,飲酒兔女郎
おっぱいセックスごっこはどうだった？\n剣で小突けば倒せる相手に、\nチンポで挑んで返り討ち❤次の挑戦者は誰かな～❤ぷっ、くすくす。,おっぱいセックスごっこはどうだった？\n剣で小突けば倒せる相手に、\nチンポで挑んで返り討ち❤次の挑戦者は誰かな～❤ぷっ、くすくす。
谷間を見ながらのオナニーはどうだった？\n大事な昇格戦なのに、自分から負けちゃったわね。バカみたい❤,谷間を見ながらのオナニーはどうだった？\n大事な昇格戦なのに、自分から負けちゃったわね。バカみたい❤
おっぱいまんこで腰振りできて気持ちよかったでしょ？\nくすくす❤大事な昇格戦なのに、こんな負け方しちゃうなんて、\n恥ずかしい男の子❤,おっぱいまんこで腰振りできて気持ちよかったでしょ？\nくすくす❤大事な昇格戦なのに、こんな負け方しちゃうなんて、\n恥ずかしい男の子❤
あんっ、谷間にたくさん出てる❤\nバニーガールのパイズリサービス、いかがだったかしら？\n昇格戦を捨てちゃうぐらい気持ちよかった？くすくす❤,あんっ、谷間にたくさん出てる❤\nバニーガールのパイズリサービス、いかがだったかしら？\n昇格戦を捨てちゃうぐらい気持ちよかった？くすくす❤
あん、お腹にどぴゅって当たってる❤\n顔を挟まれただけでイっちゃったんだ❤\n期待のルーキーなのに、おっぱいに弱いのねー❤くすくす❤,あん、お腹にどぴゅって当たってる❤\n顔を挟まれただけでイっちゃったんだ❤\n期待のルーキーなのに、おっぱいに弱いのねー❤くすくす❤
お酒を持ったバニーガールに負けた僕は、エナジーを吸われて闘技場の地面に膝をついていた。,お酒を持ったバニーガールに負けた僕は、エナジーを吸われて闘技場の地面に膝をついていた。
決着ー！！勝者は{自分プレイヤー}選手！,決着ー！！勝者は{自分プレイヤー}選手！
バニーガールのおっぱい包囲網を前にして、\n期待のルーキーもついに陥落！\nやはり男は{自分プレイヤー}選手には勝てないのか！,バニーガールのおっぱい包囲網を前にして、\n期待のルーキーもついに陥落！\nやはり男は{自分プレイヤー}選手には勝てないのか！
くす❤何度見ても男がおっぱいに負ける瞬間は無様ねー。,くす❤何度見ても男がおっぱいに負ける瞬間は無様ねー。
わたしのモンスターの前でしこしこオナニーして、気持ちよかった？\n猿みたいに発情して、\nとっても間抜けだったわよ。このマーゾ❤,わたしのモンスターの前でしこしこオナニーして、気持ちよかった？\n猿みたいに発情して、\nとっても間抜けだったわよ。このマーゾ❤
なんだっけ、チンポでおっぱいを攻撃？\nぷぷぷ、チンポに脳みそあるんじゃないかってぐらいバカね❤\nヘコヘコ腰振りして自滅して、とっても間抜けだったわよ。ばーか❤,なんだっけ、チンポでおっぱいを攻撃？\nぷぷぷ、チンポに脳みそあるんじゃないかってぐらいバカね❤\nヘコヘコ腰振りして自滅して、とっても間抜けだったわよ。ばーか❤
おっぱいで挟まれたらすぐふにゃふにゃになって、\nあとはズられるがまま❤\nエナジー搾られるまでアヘアへ言うことしかできなかったわね❤,おっぱいで挟まれたらすぐふにゃふにゃになって、\nあとはズられるがまま❤\nエナジー搾られるまでアヘアへ言うことしかできなかったわね❤
射精したときなんて、あひぃって声が漏れてて、\nぷっ、傑作よ。傑作❤\n期待のルーキーがなっさけなーい❤,射精したときなんて、あひぃって声が漏れてて、\nぷっ、傑作よ。傑作❤\n期待のルーキーがなっさけなーい❤
胸で顔を挟まれただけでどぴゅどぴゅ出して、\nチンポ早漏すぎでしょ❤,胸で顔を挟まれただけでどぴゅどぴゅ出して、\nチンポ早漏すぎでしょ❤
直接触らなくても、倒せちゃうんだもん❤\nぷっ、くすくす❤おっぱいマゾってほんとちょろいわねー❤,直接触らなくても、倒せちゃうんだもん❤\nぷっ、くすくす❤おっぱいマゾってほんとちょろいわねー❤
ううっ…❤くそぉ…❤こんなはずじゃ…❤,ううっ…❤くそぉ…❤こんなはずじゃ…❤
本気で戦えれば…❤僕だってぇ…❤,本気で戦えれば…❤僕だってぇ…❤
あ、そう。\nそんなこと言う男、何人も見てきたけど、みんな口だけよ。,あ、そう。\nそんなこと言う男、何人も見てきたけど、みんな口だけよ。
{自分}、おっぱいで誘惑しなさい。,{自分}、おっぱいで誘惑しなさい。
はぁーい、膝立ちルーキーくんの前で、\n谷間をむぎゅむぎゅう～❤,はぁーい、膝立ちルーキーくんの前で、\n谷間をむぎゅむぎゅう～❤
はひぃっ、あうううっ・・・❤❤❤,はひぃっ、あうううっ・・・❤❤❤
ぷっ、強がりも一瞬で崩壊。\nアンタ理性弱すぎるんじゃない？,ぷっ、強がりも一瞬で崩壊。\nアンタ理性弱すぎるんじゃない？
立てなくなるぐらい、こっぴどく吸われたのにさ、\nほら、チンポもう勃起してる❤\nマゾってバカよねー❤ぷっ、くすくす❤,立てなくなるぐらい、こっぴどく吸われたのにさ、\nほら、チンポもう勃起してる❤\nマゾってバカよねー❤ぷっ、くすくす❤
わたしのエナジー補給ついでに、\nあんたのこと徹底的におっぱいに弱くしてあげる。\nもう二度とわたしに勝てないようにね❤,わたしのエナジー補給ついでに、\nあんたのこと徹底的におっぱいに弱くしてあげる。\nもう二度とわたしに勝てないようにね❤
ほら、行きなさい。{自分}。\nあいつがカラカラになるまで、\nエナジーを搾り取るのよ。,ほら、行きなさい。{自分}。\nあいつがカラカラになるまで、\nエナジーを搾り取るのよ。
だってさ。期待のルーキーくん❤\nよかったわねー、まだわたしと気持ちいいことできるみたいよ❤,だってさ。期待のルーキーくん❤\nよかったわねー、まだわたしと気持ちいいことできるみたいよ❤
ほらぁ、わたしが得意なこれで、\n搾り取ってあげる❤,ほらぁ、わたしが得意なこれで、\n搾り取ってあげる❤
おっぱいで顔を挟んでぇ…❤,おっぱいで顔を挟んでぇ…❤
ぱふ、ぱふ♪ぱふ、ぱふ♪\nあはぁん❤,ぱふ、ぱふ♪ぱふ、ぱふ♪\nあはぁん❤
はぐぅうっ・・・❤❤❤,はぐぅうっ・・・❤❤❤
ぷっ、なにその声。かっこわる❤,ぷっ、なにその声。かっこわる❤
くすくす❤そうだねー。カッコ悪い❤\nでもでもぉ、意外とかわいいかも？,くすくす❤そうだねー。カッコ悪い❤\nでもでもぉ、意外とかわいいかも？
おっぱいに甘やかされて、\n筋肉ふにゃふにゃになっちゃって、\n全身でわたしに溺れちゃってる。ほらぁもっと甘やかしてあげる❤,おっぱいに甘やかされて、\n筋肉ふにゃふにゃになっちゃって、\n全身でわたしに溺れちゃってる。ほらぁもっと甘やかしてあげる❤
ぱふぱふ❤ぱふぱふ❤むぎゅむぎゅ～❤,ぱふぱふ❤ぱふぱふ❤むぎゅむぎゅ～❤
あっ、ああっ、きもちいいよぉ・・・❤❤,あっ、ああっ、きもちいいよぉ・・・❤❤
ふふ、甘やかすって言っても、\n実際やってることはエナジー奪ってるだけだけどね❤,ふふ、甘やかすって言っても、\n実際やってることはエナジー奪ってるだけだけどね❤
男の子って単純だから、\n気持ちいいことしてくれる人のことを\nやさしい女の子って勘違いしちゃうの。,男の子って単純だから、\n気持ちいいことしてくれる人のことを\nやさしい女の子って勘違いしちゃうの。
お金や魔力を貢がされても関係ない。\n本能にわたしのこと好きって感情を刷り込まれて、\nそれに逆らえなくなっちゃう❤,お金や魔力を貢がされても関係ない。\n本能にわたしのこと好きって感情を刷り込まれて、\nそれに逆らえなくなっちゃう❤
ほらぁ、脳みそをおっぱいでシェイク❤\n頭の中、おかしくさせてあげる❤\nずりずりずり～❤,ほらぁ、脳みそをおっぱいでシェイク❤\n頭の中、おかしくさせてあげる❤\nずりずりずり～❤
はぐっ、むぐぅうう❤あっ、ああっ❤❤❤,はぐっ、むぐぅうう❤あっ、ああっ❤❤❤
ねー、頭をむぎゅって潰されながら、\n激しく揺さぶられるとやばいよねー❤,ねー、頭をむぎゅって潰されながら、\n激しく揺さぶられるとやばいよねー❤
頭の中では何も考えられないのに、\n気持ちよさだけがひたすらにやってきて、\n一瞬で脳みそバカになっちゃう❤,頭の中では何も考えられないのに、\n気持ちよさだけがひたすらにやってきて、\n一瞬で脳みそバカになっちゃう❤
甘いおっぱいの匂いが体の中に入ってきて、\n中も外も、\nぜーんぶおっぱいでメロメロ～❤,甘いおっぱいの匂いが体の中に入ってきて、\n中も外も、\nぜーんぶおっぱいでメロメロ～❤
ねーねー、本気出せばこのおっぱいに勝てるの？\nほんとう？\nほらぁ、こんなにつよーいおっぱいだよー❤,ねーねー、本気出せばこのおっぱいに勝てるの？\nほんとう？\nほらぁ、こんなにつよーいおっぱいだよー❤
男の子のことなんて、\n軽くもてあそべちゃうおっぱい❤\nスイカより大きくて、あなたの頭も捕獲できちゃう爆乳おっぱい❤,男の子のことなんて、\n軽くもてあそべちゃうおっぱい❤\nスイカより大きくて、あなたの頭も捕獲できちゃう爆乳おっぱい❤
勝てるって思う？\nほらぁ、答えてよー❤くすくす❤,勝てるって思う？\nほらぁ、答えてよー❤くすくす❤
あひぃっ❤はあっ、ああっ❤むり、むりぃっ❤❤きもちよすぎてぇ❤,あひぃっ❤はあっ、ああっ❤むり、むりぃっ❤❤きもちよすぎてぇ❤
こんなのっ❤❤ああっ❤❤ダメ、出るぅっ❤❤,こんなのっ❤❤ああっ❤❤ダメ、出るぅっ❤❤
はひぃっ・・・❤,はひぃっ・・・❤
くすくす❤その射精が返事だよねー❤,くすくす❤その射精が返事だよねー❤
男の子はおっぱいが大きければ、\nバニーガールの女の子にすら勝てない❤,男の子はおっぱいが大きければ、\nバニーガールの女の子にすら勝てない❤
剣士でも魔術師でもないんだよ？\nただのサービスが上手な女の子❤\nでも、チンポ触られもせず、こうやって負けちゃうの❤,剣士でも魔術師でもないんだよ？\nただのサービスが上手な女の子❤\nでも、チンポ触られもせず、こうやって負けちゃうの❤
ねー、どっちが強いかなんて誰が見ても分かるでしょ？\nぱふぱふに負けて魔力をたっぷり吐き出しちゃったマスターくん❤,ねー、どっちが強いかなんて誰が見ても分かるでしょ？\nぱふぱふに負けて魔力をたっぷり吐き出しちゃったマスターくん❤
うぐっ、ううっ・・・❤❤,うぐっ、ううっ・・・❤❤
もう一回…❤,もう一回…❤
もう一回してぇ…❤おっぱいぃ…❤,もう一回してぇ…❤おっぱいぃ…❤
あは、追い討ちされて壊れちゃったかなー。\n脳みそシェイクされながら射精するの、気持ちよすぎた？,あは、追い討ちされて壊れちゃったかなー。\n脳みそシェイクされながら射精するの、気持ちよすぎた？
でもでも、魔力を搾り取るように言われてるから、\n空っぽになるまでは続けちゃうねー。\nもっともっとおっぱいに弱くなっちゃうと思うけど…。,でもでも、魔力を搾り取るように言われてるから、\n空っぽになるまでは続けちゃうねー。\nもっともっとおっぱいに弱くなっちゃうと思うけど…。
別にいいでしょ？\nおっぱいに弱くなれば、もっと気持ちよくなれるんだから、\nむしろ、あなたにとってもWin-Winかも,別にいいでしょ？\nおっぱいに弱くなれば、もっと気持ちよくなれるんだから、\nむしろ、あなたにとってもWin-Winかも
四つん這いになって、ぜぇぜぇ言ってるあなたの頭を\n膝立ちでむぎゅって捕まえてぇ・・・❤,四つん這いになって、ぜぇぜぇ言ってるあなたの頭を\n膝立ちでむぎゅって捕まえてぇ・・・❤
ほらぁ、桃源郷におかえりなさーい❤\nくすくす❤期待のルーキーくんがこれから通うことになる場所だから、\nよぉーく覚えてね❤,ほらぁ、桃源郷におかえりなさーい❤\nくすくす❤期待のルーキーくんがこれから通うことになる場所だから、\nよぉーく覚えてね❤
ぱふぱふ❤ぱふぱふ❤\n男をメロメロにしちゃうおっぱい攻撃❤,ぱふぱふ❤ぱふぱふ❤\n男をメロメロにしちゃうおっぱい攻撃❤
あぁん❤四つん這いの格好で射精したら、\n地面に向けて無駄撃ちしちゃうね。,あぁん❤四つん這いの格好で射精したら、\n地面に向けて無駄撃ちしちゃうね。
大丈夫、エナジーもったいないから、\nわたしのマスターが地面に落ちる前にちゃんと回収してくれるわ。,大丈夫、エナジーもったいないから、\nわたしのマスターが地面に落ちる前にちゃんと回収してくれるわ。
あなたは動物みたいに、\n何も考えずに欲望に身を任せていればいいの❤,あなたは動物みたいに、\n何も考えずに欲望に身を任せていればいいの❤
人間の尊厳なんていらないでしょ？\nまして闘技場での栄誉なんて、\nおっぱいの快感の前では無用よね❤,人間の尊厳なんていらないでしょ？\nまして闘技場での栄誉なんて、\nおっぱいの快感の前では無用よね❤
ほらぁ、ぱふぱふ❤ぱふぱふ❤\nかっこわるーい格好で、カードを使うための魔力を\nびゅるるるぅって出して❤出して❤あはぁん❤,ほらぁ、ぱふぱふ❤ぱふぱふ❤\nかっこわるーい格好で、カードを使うための魔力を\nびゅるるるぅって出して❤出して❤あはぁん❤
あふぅ❤❤はへぇあ❤❤❤,あふぅ❤❤はへぇあ❤❤❤
ぷぷぷ、最後は人間の言葉すら喋れなくなっちゃったわね❤\nおっぱいで脳みそ馬鹿にされて気絶❤\nみっともなさすぎよ❤,ぷぷぷ、最後は人間の言葉すら喋れなくなっちゃったわね❤\nおっぱいで脳みそ馬鹿にされて気絶❤\nみっともなさすぎよ❤
このマスター、もうわたしたちには勝てないだろうねー。\nせっかく連勝してたのに、おっぱいマゾにされちゃってかわいそー。\nくすくす❤,このマスター、もうわたしたちには勝てないだろうねー。\nせっかく連勝してたのに、おっぱいマゾにされちゃってかわいそー。\nくすくす❤
バニーガールに気絶するまで搾り取られた僕は、そのあと彼女の与えてくれた快楽が忘れられず、寝ても覚めてもおっぱいのことばかり考えるようになってしまった。,バニーガールに気絶するまで搾り取られた僕は、そのあと彼女の与えてくれた快楽が忘れられず、寝ても覚めてもおっぱいのことばかり考えるようになってしまった。
カードにも集中できず、魔法の詠唱やモンスターの召喚にも頻繁に失敗してしまう。このままではいけないと悩んでいたある日、僕の部屋を誰かが訪ねてきた。,カードにも集中できず、魔法の詠唱やモンスターの召喚にも頻繁に失敗してしまう。このままではいけないと悩んでいたある日、僕の部屋を誰かが訪ねてきた。
は～い、ひさしぶりね。マゾマスター❤,は～い、ひさしぶりね。マゾマスター❤
え？マゾとか呼ぶなって？\nぷぷっ、そんなこと言われても、\n事実は事実だからしょうがないじゃない。,え？マゾとか呼ぶなって？\nぷぷっ、そんなこと言われても、\n事実は事実だからしょうがないじゃない。
ま、それはどっちでもいいわ。\n今日は最近悶々として眠れないであろうあなたに、\n特別な提案をしてあげに来たのよ。,ま、それはどっちでもいいわ。\n今日は最近悶々として眠れないであろうあなたに、\n特別な提案をしてあげに来たのよ。
わたしのモンスターであなたのことたっぷり気持ちよくしてあげる。\n代わりにあなたの持っているカードとお金、\nわたしに貢ぎなさい？,わたしのモンスターであなたのことたっぷり気持ちよくしてあげる。\n代わりにあなたの持っているカードとお金、\nわたしに貢ぎなさい？
ん？ふざけるなって？\nそう。＜{自分}＞を召喚。,ん？ふざけるなって？\nそう。＜{自分}＞を召喚。
はろー❤ひさしぶりね❤,はろー❤ひさしぶりね❤
ほらぁ、あなたのだぁい好きなおっぱいだよ～❤\nまたぱふぱふサービスを受けたくなぁい？\nあはぁ～ん❤,ほらぁ、あなたのだぁい好きなおっぱいだよ～❤\nまたぱふぱふサービスを受けたくなぁい？\nあはぁ～ん❤
うぐっ、うううっ…❤❤,うぐっ、うううっ…❤❤
僕は{自分}の巨乳を目にして一瞬で理性が飛んでしまった。お金を渡すなんてとんでもない、まして大事なカードをあげるなんてありえないことのはずなのに…。,僕は{自分}の巨乳を目にして一瞬で理性が飛んでしまった。お金を渡すなんてとんでもない、まして大事なカードをあげるなんてありえないことのはずなのに…。
気が付けば僕は床がどろどろになるぐらい射精させられていて、強力なレアカードも、頑張って貯めたお金も、にやにや笑うキャミーのポケットの中に入れられ、部屋からなくなっていた。,気が付けば僕は床がどろどろになるぐらい射精させられていて、強力なレアカードも、頑張って貯めたお金も、にやにや笑うキャミーのポケットの中に入れられ、部屋からなくなっていた。
くすくす❤ほんと男って弱いわね。\n大事な相棒もぜんぶおっぱいに奪われて、\nそれなのにそんなアヘ顔しちゃってるんだもの❤,くすくす❤ほんと男って弱いわね。\n大事な相棒もぜんぶおっぱいに奪われて、\nそれなのにそんなアヘ顔しちゃってるんだもの❤
最低限のカードは残してあげる。\nクエストでもなんでもやって、\nお金が貯まったら、わたしのところに来なさい。,最低限のカードは残してあげる。\nクエストでもなんでもやって、\nお金が貯まったら、わたしのところに来なさい。
そのときはまたあなたに貢がせてあげるわ。\nぷっ、くすくす❤\nそれじゃあねー❤,そのときはまたあなたに貢がせてあげるわ。\nぷっ、くすくす❤\nそれじゃあねー❤
キャミーはそう言って召喚したバニーガールをカードに戻し部屋をあとにした。,キャミーはそう言って召喚したバニーガールをカードに戻し部屋をあとにした。
{自分}はカードに戻りぎわに、わざとらしく腕で谷間を寄せてアピールし、僕に向かって投げキスをしていった。僕はたったそれだけの動きで、完全に彼女の虜に落ちてしまった。,{自分}はカードに戻りぎわに、わざとらしく腕で谷間を寄せてアピールし、僕に向かって投げキスをしていった。僕はたったそれだけの動きで、完全に彼女の虜に落ちてしまった。
ただ快楽が忘れられないだけじゃない。彼女のことが好きでたまらなくて、カードやお金をあげることが、むしろ幸福にすら思えて…。,ただ快楽が忘れられないだけじゃない。彼女のことが好きでたまらなくて、カードやお金をあげることが、むしろ幸福にすら思えて…。
こうしてバニーガールのおっぱいの前に、昇格戦をふいにした僕は、このあともキャミーの都合のいい貢ぎ奴隷として、その一生を終えることになる。,こうしてバニーガールのおっぱいの前に、昇格戦をふいにした僕は、このあともキャミーの都合のいい貢ぎ奴隷として、その一生を終えることになる。
僕の妹を救うための冒険はここで幕を閉じたのだった。,僕の妹を救うための冒険はここで幕を閉じたのだった。
谷間を見ながらのオナニーはどうだった？\n一回はまぐれ勝ちできても結局男はおっぱいには勝てないのかしら❤\nバカみたい❤くすくす❤,谷間を見ながらのオナニーはどうだった？\n一回はまぐれ勝ちできても結局男はおっぱいには勝てないのかしら❤\nバカみたい❤くすくす❤
あんっ、谷間にたくさん出てる❤\nバニーガールのパイズリサービス、いかがだったかしら？\n上のランクに上がったのにおちんちん弱くなってない？くすくす❤,あんっ、谷間にたくさん出てる❤\nバニーガールのパイズリサービス、いかがだったかしら？\n上のランクに上がったのにおちんちん弱くなってない？くすくす❤
誘惑を振り払って攻撃した,甩開誘惑並攻擊
谷間に突き入れてしまった,插入她的乳溝
