default
ミニキノコズ,迷你蘑菇群
おにいさんはやいねー❤\nさっき出したのにもう出しちゃうの？\nあー、たまたまの中にいっぱい貯まってるからすぐ出しちゃうんだ。,おにいさんはやいねー❤\nさっき出したのにもう出しちゃうの？\nあー、たまたまの中にいっぱい貯まってるからすぐ出しちゃうんだ。
そっかー。それじゃーたまたまから全部びゅーってさせれば、\nすぐには出さなくなるのかなー❤,そっかー。それじゃーたまたまから全部びゅーってさせれば、\nすぐには出さなくなるのかなー❤
やってみよっか♪\nわたしは棒のところを挟んでこしゅこしゅするから、\nふたりで、たまたまを揉んでみて？,やってみよっか♪\nわたしは棒のところを挟んでこしゅこしゅするから、\nふたりで、たまたまを揉んでみて？
おっけー❤\nたまたまのなかを空っぽにしちゃおー❤,おっけー❤\nたまたまのなかを空っぽにしちゃおー❤
うりうりうり～❤\nたまたまグニグニ踏まれてきもちいい？,うりうりうり～❤\nたまたまグニグニ踏まれてきもちいい？
うあっ、ああっ❤❤あぐぅあっ❤❤、,うあっ、ああっ❤❤あぐぅあっ❤❤、
きゃはは❤腰をふりふりしてる～❤\nはやく、びゅーってしたいんだねー❤,きゃはは❤腰をふりふりしてる～❤\nはやく、びゅーってしたいんだねー❤
それじゃあ、棒のところをぎゅって挟んで、\nしゅりしゅりしゅり～❤\n精液さーん、でてきていいよー❤,それじゃあ、棒のところをぎゅって挟んで、\nしゅりしゅりしゅり～❤\n精液さーん、でてきていいよー❤
あー、お尻がきゅってなったよ❤\nもう出しちゃうんだー❤\nしゅこしゅこ足コキされたらすぐイっちゃうんだねー❤,あー、お尻がきゅってなったよ❤\nもう出しちゃうんだー❤\nしゅこしゅこ足コキされたらすぐイっちゃうんだねー❤
たまたまの中身、ぜーんぶ出そ？\nほらほら、むぎゅむぎゅむぎゅ❤\n足コキに合わせて指で揉んであげる～❤,たまたまの中身、ぜーんぶ出そ？\nほらほら、むぎゅむぎゅむぎゅ❤\n足コキに合わせて指で揉んであげる～❤
あひぃ、もうダメっ❤ダメぇっ❤出る、ああっ❤❤❤,あひぃ、もうダメっ❤ダメぇっ❤出る、ああっ❤❤❤
出して出して♪ほらぁ、びゅーってしちゃえ❤\nろりこんさん、足でこしゅこしゅされて、\nびゅーだよ❤びゅ～～～～❤きゃはは❤,出して出して♪ほらぁ、びゅーってしちゃえ❤\nろりこんさん、足でこしゅこしゅされて、\nびゅーだよ❤びゅ～～～～❤きゃはは❤
はへぇ・・・❤あひぃ・・・❤,はへぇ・・・❤あひぃ・・・❤
くすくす❤すっごくきもちよさそうなお顔ー❤\nお射精びゅーってできて、\nうれしいのかなー❤,くすくす❤すっごくきもちよさそうなお顔ー❤\nお射精びゅーってできて、\nうれしいのかなー❤
精液どびゅどぴゅ～って高く飛んだねー。\nたまたまの中身は空っぽになったかな～。つんつん❤,精液どびゅどぴゅ～って高く飛んだねー。\nたまたまの中身は空っぽになったかな～。つんつん❤
あひ・・・❤ああっ・・❤,あひ・・・❤ああっ・・❤
うーん、よくわからないけど、\nおちんちんもずっとギンギンだし、\nきっとまだまだいっぱい入ってるんじゃない？,うーん、よくわからないけど、\nおちんちんもずっとギンギンだし、\nきっとまだまだいっぱい入ってるんじゃない？
おにいさんのエナジーとってもおいしいし、\nもっともっと踏んであげるねー❤,おにいさんのエナジーとってもおいしいし、\nもっともっと踏んであげるねー❤
今度はねー、たまたまマッサージをわたしがして、\nもう一人が棒をしこしこ、\nあと一人で亀さんをすりすりなでてあげるー❤,今度はねー、たまたまマッサージをわたしがして、\nもう一人が棒をしこしこ、\nあと一人で亀さんをすりすりなでてあげるー❤
三人でいろいろしてあげるから、\nおちんちんさん、ずーっと気持ちいいまんまだよ❤\nほらほらぁ、たくさん出してぇ❤,三人でいろいろしてあげるから、\nおちんちんさん、ずーっと気持ちいいまんまだよ❤\nほらほらぁ、たくさん出してぇ❤
あうっ、ああっ❤そこダメっ、出したばっかりだからっ❤❤❤,あうっ、ああっ❤そこダメっ、出したばっかりだからっ❤❤❤
ああっ、さきっぽこすらないでっ❤はひぃっ❤きもちいいっ❤きもちいいぃっ❤❤❤,ああっ、さきっぽこすらないでっ❤はひぃっ❤きもちいいっ❤きもちいいぃっ❤❤❤
あれー、もうおしまいかな～？\nびゅるるぅーって出なくなったよ？,あれー、もうおしまいかな～？\nびゅるるぅーって出なくなったよ？
ほんとだー、おにいさんも、しおしおになっちゃったね。\n体がしなびちゃったのに、\n顔はとってもしあわせそう。くすくす❤,ほんとだー、おにいさんも、しおしおになっちゃったね。\n体がしなびちゃったのに、\n顔はとってもしあわせそう。くすくす❤
マスターに言われた通りカラカラになるまで遊んであげたね❤\nマスターほめてくれるかなぁ♪,マスターに言われた通りカラカラになるまで遊んであげたね❤\nマスターほめてくれるかなぁ♪
こうして主人公は少女たちの足で干からびるまで搾り取られ、森の奥底に打ち捨てられてしまった。,こうして主人公は少女たちの足で干からびるまで搾り取られ、森の奥底に打ち捨てられてしまった。
共に戦っていたDランクマスターもサキュバス二人に挟み撃ちされて、抵抗むなしく敗れてしまったという。,共に戦っていたDランクマスターもサキュバス二人に挟み撃ちされて、抵抗むなしく敗れてしまったという。
その後、彼らの行方を知るものは誰もいない。薄暗い森の中、小さなキノコ少女たちのおもちゃとして使い捨てられ、主人公の冒険は、その幕を閉じたのであった。,その後、彼らの行方を知るものは誰もいない。薄暗い森の中、小さなキノコ少女たちのおもちゃとして使い捨てられ、主人公の冒険は、その幕を閉じたのであった。
トリプル足コキ,トリプル足コキ
トリプルぺろぺろ,トリプルぺろぺろ
なんでも,なんでも
理性を振り絞ってとどめを刺した,以全身理性還擊倒她
舌に見とれてしまった,緊盯著她的舌頭看
