default
ポイズンラミア,Poison Lamia
わたしの毒はただ体を蝕むだけじゃないの。\n肺の中から脳に回って、吸った相手のことをほんの少し発情させる。\nわたしのことを好きにさせる…❤,My poison doesn't just eat away at the body. It travels from the lungs to the brain; making the person who inhaled it feel more aroused. Making them fall in love with me...❤
でも、ふふ、さっきしゃぶってあげたから、\nもうふらふらって感じかしら…。\n目がぼんやりしてきてるわよ。,But; fufu; since I only recently gave you a dose of my breath; you must be feeling lightheaded and weak... No doubt your vision has already begun to blur!
あなたの粘膜を通して、わたしの毒を送ったの。\nフェラをしながらじんわりと流し込むように、ね。,My poison has already entered through the pores of your body; from the blowjob I gave you earlier.
わたしの毒はただ体を蝕むだけじゃないわ。\n肺の中から脳に回って、吸った相手のことをほんの少し発情させる。\nわたしのことを好きにさせる…❤,My poison doesn't just taint the body. It travels through the bloodstream and into the brain; making the person who inhaled it feel more aroused. Making them fall in love with me...❤
でも、ふふ、谷間のフェロモンを受けて、\nもうふらふらって感じかしら…。\n目がぼんやりしてきてるわよ。,But; fufu; I'm sure by now you've started feeling dizzy from the pheromones in my cleavage... No doubt your vision has already begun to blur!
わたしの吐く息と体から出るフェロモンには\n蛇の毒が含まれているわ。\nそれを呼吸で吸い込めば、あなんたの体に毒が回る。,Both my breath and the pheromones that come from my body contain snake venom. If you breathe it in; the poison will spread through you.
わたしの毒はただ体を蝕むだけじゃないのよ。\n肺の中から脳に回って、吸った相手のことをほんの少し発情させる。\nわたしのことを好きにさせる…❤,My poison doesn't just ravage the body! It travels from the lungs to the brain; making the person who inhaled it feel more aroused. Making them fall in love with me...❤
う、ううっ・・・・❤,Oh; ugh...❤
わたしの顔を見ていると、心臓がどくどくするでしょう？\nあなたはわたしのことが好きなの…。\nだから目を合わせているだけで、頭がふわふわしてきちゃう。,When you look at my face; your heart starts racing; doesn't it? You love me; don't you...? Whenever we lock eyes your head feel all fuzzy; doesn't it?
ねえ、おねがい❤攻撃をやめて？\nわたしあなたに倒されたくないわ。\n攻撃をやめてくれれば、そうね、キスをしてあげる。,Hey; could you do something for me?❤ Could you please stop attacking? I don't want to be defeated at your hands. If you stop attacking; I'd be happy to give you a kiss.
ベールをめくって、口と口をぴったりとつけて、\nその状態で甘い毒の息を吹き込むの。\nとっても素敵な甘い夢が見れるわよ…❤,I'll lift my veil; press our lips together so nicely; and; our lips locked; I'll blow sweet poison into your lungs. It will be a sweet dream come true...!❤
ほら、逃げちゃだめ。\nわたしに食べられてくれるわよね？,Come; there's no need to run. You'll let me feast on you; won't you?
理性を振り絞ってとどめを刺した,Summoning all my will; I delivered the final blow.
彼女に見とれて動けなかった,'She's beautiful. I... I love her so much!'
これで形勢逆転❤もう離さないわ❤\nこのままあなたを毒の息でおぼれさせてあげる。\nまずはおっぱいでしっかり頭を固定して…❤,Ah; now the tables have turned~❤ I won't let you go anymore!❤ I'll make sure you drown in my poisonous breath. But first; I'll hold your head firmly between my breasts...❤
むにゅむにゅむにゅ❤\n顔がおっぱいに埋もれて気持ちいいでしょう❤,Squish squish squish~❤ It feels so good having your face buried in my chest; doesn't it?❤
でもそれだけだと逃げられちゃう。\nだから、ふぅ～❤ふぅ～❤\nおっぱいの谷間、わたしの毒息で満たしてあげる❤,But if that's all I did; you may still escape. So; phew~❤ Phew~❤ I'll fill the valley of my breasts with sweet poisonous breath.❤
そうそう❤大きく息を吸って・・・❤\nとろーんとしたいい顔になってきたわね❤\nもっともーっと吸いなさい❤そうしたらとっても素直になれるから❤,That's it.❤ Take a deep breath...❤ You're starting to look so happy and relaxed.❤ Breath in more and more~❤ Don't stop until you'll be completely honest with me~❤
ああ・・・❤気持ちいい・・・❤\nああ、だめなのに、すき、はうぅう・・・❤,Ah...❤ It feels good...❤ Ah; even though I shouldn't; I love it; ahhh...❤
好きな人にエナジーを捧げる自滅オナニー、気持ち良かったわね❤\n必死にオナニーをする姿はとても面白かったわよ、くすくす❤,Throwing the match and masturbating to offer your energy to the person you love felt so good; didn't it?❤ The sight of you desperately stroking yourself was amusing to watch.❤ *Giggle*❤
わたしに抱き着かれたら、みな恍惚としながらイってしまうの❤\nあなたも幸せそうな顔をして倒れてるわね❤くすくす❤,Everyone always finds ecstasy and release when I hold them tight~❤ You've collapsed with such a happy look on your face too; haven't you?❤ *Giggle*❤
わたしのフェラに耐えれるはずがないもの❤エナジーたっぷりの精液、美味しかったわよ❤くすくす,You never had a hope of resisting my blowjob.❤ Your energy-filled semen was so delicious!❤ *Giggle*
ふふふ❤わたしの勝ちよ。\nこれでCランク昇格戦の権利はわたしのものね。,Fufufu~❤ I win! That means I'm the one who'll get to fight in the promotion match.
自分からラミアに興奮して自爆して負けちゃうんですもの❤\nずいぶん楽に勝たせてもらったわ。助かっちゃう。,The sight of my lamia excited you so much you ended up stroking yourself and throwing the match.❤ Thanks to that; I ended up winning rather easily. That really helped me out.
ラミアの胸は気持ちよかったかしら？\n蛇に絡みつかれて逃げられる男はいない。\n期待のルーキーくんも同じだったわね❤,Did you enjoy my lamia's chest? No man can escape once he's ensnared by a snake. And it seems the "Promising Rookie" was no different; was he?
ラミアのフェラは気持ちよかったでしょう？\n蛇の舌に絡めとられて、耐えられる男は少ないの。\nあまり気落ちしないことよ。,My lamia's fellatio felt amazing; didn't it? Few men can withstand being ensnared by a snake's tongue. Don't feel too ashamed!
さて、ただ権利をもらうだけじゃ悪いから、\nちょっとはお礼をあげる。\n行きなさい、ポイズンラミア。,Well; it's hardly fair to just take your right to a promotion match and leave; so I'll treat you to a little something as a thank you. Go ahead; Poison Lamia.
というわけで、マスターの命令よ。\nあなたのエナジー搾り取らせてもらうわね。,If it is my master's wish; then I will happily oblige! I'll be draining your energy now; okay?
大丈夫、マスターもこれは「お礼」だって言っているし、\nふらふらになるまで搾ったりしないわ。\n射精させるのはたった一回だけ。,It's alright. Master says this is a 'thank you;' so I won't drain you until you pass out. I'll only make you climax once.
ほら、とっびきり濃いキスでイかせてあげる❤\nんちゅ、じゅるる…❤,Here; I'll make you come with an incredibly deep kiss~❤ Mmm; slurp...❤
んっ、んむぅ❤あひぃっ・・・・❤,Mmm; mmh...❤ Ahh...❤
ふふ、蛇の舌が口の中に入り込んでくるの、すごいでしょ？\n童貞のあなたには刺激が強すぎるかしら。\nたっぷり蹂躙してあげる❤,Fufu; doesn't it feel amazing having a snake's tongue invade your mouth? Perhaps it's too stimulating for a virgin like you. Oh well. I'm still going to ravage you like this~❤
ほら、あなたもどんどん顔がとろけてきた…❤\nんっちゅ、ちゅっ、ちゅう❤,Oh my; your face is melting more and more...❤ Mmm; chu; chu~❤
あう、あううっ、んむぅ❤はへぇあっ・・・・❤,Ah; ahh; mmm...❤ Hahh...❤
んっちゅ❤ちゅぱ❤ あっという間に骨抜きね❤\nわたしのキス、人間なんかとは全然違うでしょう？,Mmmchuu~❤ Smooch~❤ You've fallen fully under my spell so quickly~❤ My kiss is unlike any mere human's; don't you think?
長い舌がねっとり絡みついてきて、\n舌も歯茎もわけがわからないぐらい気持ちよくされて、\nそのうえ口からは甘い毒の息がほんのりただよってくる❤,The way my long tongue wraps around yours no doubt feels better than anything you could imagine. On top of that; a faint; sweet; poisonous breath wafts from my lips to yours~❤
ここが闘技場でよかったわね。\nもし実戦で魔物にいきなりこんなキスされていたら、\n腰から下が快感でとろけて、立っていられなくなるもの❤,It's a good thing we're safely in the colosseum. If you were suddenly kissed like this by a monster in a real battle; your lower body would melt from the pleasure; and you wouldn't be able to stand anymore~❤
ほら、とどめ・・・❤\nあなたの肺の中に直接わたしの毒の息を吹き込んであげる❤,Now; for the finishing touch...❤ I'll blow my poisonous breath directly into your lungs.❤
キスでとろかされた脳みそに、\nラミアの甘い毒が流し込まれて、\nふふ、きっと理性がどろどろに溶けてしまうわね❤,The sweet poison of a lamia will flow into your kiss-melted brain. Fufu; I'm sure your rationality will dissolve into a gooey mess~❤
さあ、イきなさい。\nんちゅ、ふぅー・・・❤,Here; breathe deep. Mmm; phew...❤
はひ、あっ、あふあぁぁ・・・❤,Hah; ah; ahh...❤
んっちゅ、ぷはぁっ・・・❤\nあらあら、一回の射精でどれだけ出すのかしら❤,Mmm; phew...❤ Oh my; you released so much in just one shot~❤
はう、あううっ・・・❤,Hah; ahh...❤
ポイズンラミアから解放された僕はあまりの快感で立っていることができず、その場にくずれおちてしまった。,After being freed from the Poison Lamia's grip; I was left overwhelmed with pleasure and unable to stand; collapsing where I was.
これでお礼はおしまい❤気持ちよかったでしょ？\nそれじゃ、またいつか戦う機会があれば楽しみましょうね。\nちゅっ❤,This is the end of my thanks~❤ It felt good; didn't it? Well then; make sure you look forward to the next time we get to fight. Mwah~❤
僕に向かって投げキッスをすると、そのままポイズンラミアはパトラと一緒に去っていった。,After blowing me a kiss; the Poison Lamia left with Patra.
その後、僕はしばらく放心状態で身動きできず、闘技場のスタッフに肩をゆさぶられるまで、ボーっとした顔で座りほうけていた。,After that; I sat there with a blank expression; unable to move for a while; until the arena staff shook me by the shoulder.
試合に負けた悔しさはいつの間にかすっかり霧散してしまっており、ポイズンラミアのキスのこと以外、何も頭に残っていなかった。,My frustration over losing the match vanished completely before I knew it; and nothing remained in my mind except for the kiss from Poison Lamia.
それからしばらくして。,After a while...
あら、数日ぶりね。この間の試合は楽しかったわ。,Oh; it's been a few days; hasn't it? The match the other day was so much fun.
わたしはギルドでクエストを受けに来たのだけれど、\nあなたもクエストかしら？,I came to the guild hoping to take on a quest. Are you here for a quest as well?
・・・・。,...
え？あの子とのキスのことが忘れられない？\nそれでわたしを探していた？\nそう・・・❤,Huh? You can't forget about the kiss she gave you? Then you came here to find me? I see...❤
ぷっ、くすくす❤ずいぶん可愛らしいのね。\n期待のルーキーくんなのに、キスでイかされただけで、\n敵のモンスターにすっかり惚れちゃったんだ？,Pfft. *Giggle*❤ You're quite adorable; aren't you? Despite being the rookie everyone was watching; did you really get completely smitten with an enemy monster from just a kiss?
あはは、そんなにウブだとこの先大変よ。\nDランク上位にまで上り詰める実力者なのに、\nその辺はやっぱり年相応って感じかしら。ふふふ❤,Ahaha; despite being a top-tier D-ranker; if you're that inexperienced; it's going to be tough for you from here on out! I suppose in that way your age shows through. Fufufu~❤
受付カウンターの向こうから、受付さんが怪訝そうな目で僕のことを見ている。知り合いもいるなかでバカにされて笑われて、顔が真っ赤になってしまう。,From behind the reception counter; the receptionist was watching me with a confused look on her face. I was being mocked and laughed at in front of people I knew; making my face turn a bright red.
いいわよ。あとであの子を呼び出して、相手させてあげる。\n外でちょっと待ってなさい。,Alright! I'll summon my monster in a moment and let them take care of you. Wait outside for a bit.
ここなら、人目につかないわね。\nそれじゃあ出なさい、ポイズンラミア。,We won't be seen by anyone here. Come out; Poison Lamia.
んふふ。またキスされたくなったの？\nわたしに毒を飲まされたのに、わたしのこと好きになっちゃったんだ。,Nfufu. Are you hoping to be kissed by me again? Even though I forced you to breathe my poison; it seems you ended up falling in love with me.
そういうことみたいね。\nほら、同意もあることだし、彼からエナジーを奪うといいわ。,That seems to be the case. Since he's consenting; I see no reason not to go ahead and take his energy.
わたしからすればクエスト前に魔力の補給ができてラッキーよね。\nあなたのエナジー、かなり高濃度の魔力を含んでいるみたいだから、\n自分から分けてもらえるならけっこうありがたいの。,As far as I'm concerned; this would be a good opportunity to replenish my magic before the quest; right? Your energy seems to contain a quite high concentration of magical power too; so if you could share some with me; I would really appreciate it.
もちろんこうやって吸われていたら、\nあなた自身の修行はできなくなると思うけれど…。\n別にいいのよね？ふふふ❤,Of course; if you're being drained like this; I doubt you'll still be able to fight yourself... But that's fine; isn't it? Fufufu~❤
ほら、おいで・・・❤\nキスだけじゃなくてハグもしてあげる❤,Come here...❤ I'll give you plenty of hugs too; not just kisses~❤
顔をおっぱいに埋められて気持ちいいでしょ？\n谷間に向かって、息をふぅー・・・❤,It feels good to have your face buried between my breasts; doesn't it? Now I'll just blow my breath into my cleavage...❤
ふぐぅ、あふぁ・・・・❤,Fuu; ahh...❤
唇が恋しくなったら顔を上げてね。\nキスでたっぷり甘やかしてあげるから❤,If you start missing my lips; just lift your face. I'll spoil you with plenty of kisses~❤
ああ、ラミアさん、好き、好きぃ・・・❤あひぃ・・・・❤,Ah; Lady Lamia; I love you; I love you...❤ Ahhh...❤
くす❤好きって言いながら顔を上げてキスのおねだりしちゃってる❤\nそれじゃあ蛇舌の濃厚なキス、また楽しませてあげる❤\nんっ、じゅるるぅ❤,*Giggle*❤ You're already lifting your face and begging for a kiss while telling me you love me~❤ In that case; I'll treat you to another intense kiss with my snake-like tongue!❤ Mmm; slurp~❤
こうして僕はポイズンラミアのキスにすっかり骨抜きにされてしまい、彼女に搾り取られることが生きる意味になってしまった。,Thus; I was completely captivated by the Poison Lamia's kiss; and being drained by her became the meaning of my life.
パトラさんと約束をして、闘技場の試合前やクエストの前などに、魔力をポイズンラミアに搾りつくされる日々。,I made a promise with Miss Patra then and there; and now my days are filled with being drained of my magical power by the Poison Lamia before her arena matches or quests.
急ぎのときはカードから出てきた彼女がいきなり僕の頭を押さえ、そのままキスを開始する。何の前戯もなしに、それでも一分も経たずに射精に追い込まれてしまう。Whenever she's in a hurry; she'll summon her Poison Lamia; who immediately grabs my head and kisses me deeply. Despite the lack of foreplay; the sudden pleasure helplessly pushes me to the brink of orgasm.
連日、持てる魔力を全て彼女に捧げていては、冒険者を続けることができるはずもなく、闘技場でもクエストでもまともな活躍はできなくなった。,Day after day; I do nothing but dedicate all my magical power to her. Unable to perform well in the arena or on quests of my own; I couldn't possibly continue being an adventurer.
それでも彼女の息を体に取り込むたび、彼女のことがますます好きになり、もはやポイズンラミアから離れることはできそうになかった。,Even so; every time I took her breath into my body; I fell more and more in love with her; and it seemed impossible to be away from the Poison Lamia any longer.
こうして下級の蛇モンスターの魔力タンクに堕ちた僕の冒険は、終わりを迎えたのだった。,Thus; I became little more than an energy tank for a low-level snake monster; and my adventure came to an end.
勝負なんて忘れてこのまま射精しましょう？とっても気持ちいいはずよ❤,Just forget about the match and cum like this; okay? It'll feel really good!❤
前は勝てた相手なのに、\n誘惑に負けてオナニーしてしまうなんてマスター失格ね。\nわたしのマスターに昇格戦の権利を譲ればよかったのに。くすくす❤,You used to be able to beat me; but giving in to temptation and masturbating makes you unworthy of being a master. You should have given me the right to the promotion battle. Fufu~❤
好きな人にエナジーを捧げる自滅オナニー、気持ち良かったわね❤\nそのままどんどんわたしにはまって、\n毒に蝕まれるみたいに堕落していっていいのよ❤,Stroking yourself to exhaustion and offering your energy to the person you love felt so nice; didn't it?❤ I'll make sure you keep falling deeper and deeper in love with me; until I've poisoned you; body and soul!❤
