default
怪盗サキュバス,Phantom Thief Succubus
それにしても口を出るのは、さっきから手コキの感想ばかりね❤\n憎くて仕方がないサキュバスにまたがられているのに、\nもっと憎まれ口をきいたらどうなのかしら。,You can't say anything but compliment my handjob; can you?❤ You're being straddled by a succubus you should despise; you know. Shouldn't you be saying something more spiteful?
わたしの手が気持ちよすぎて、\nもうチンポがどうなっているかってこと以外何も考えられないの？\nくす、やっぱり人間の男って脳みそ空っぽな生き物❤,Are you feeling so good from my hand that you can't think about anything except how your cock feels? *Giggle* Human men really are empty-headed creatures.❤
自分がどれだけ気持ちいいかを敵のサキュバスに素直に話して、\n無抵抗でシコシコされて❤\nくすくす❤Bランクマスターとして恥ずかしい❤,Honestly; telling the enemy succubus how good you feel while she strokes you without any resistance...❤ *Giggle* For a B-rank cardmaster; that's just embarrassing~❤
まあもし抵抗できたとしても、こうしてあげれば、\nどんな男もわたしのことで頭がいっぱいになるんだけれど。\nちゅっ❤,Well; even if you could resist; any man's mind would flood with thoughts of only me; just as soon as I do... this. Mmchu~❤
どう？わたしにキスマークをべっとり付けられて・・・。\nって、あら・・・❤腰が浮いてきて・・・❤,How's that? I'm marking you all over with my kisses... Oh my...❤ Your hips are starting to lift...❤
あへぇっ、あっ、あああっ・・・❤,Ah; agh! Ah! Aaahh...❤
くすくす❤目にハートを浮かべながら、すぐに射精しちゃったわね❤\nお姉さんにキスをしてもらえて、そんなに嬉しかった？,*Giggle* Your eyes are full of hearts; and you came so quickly~❤ Were you that happy to receive a kiss from me?
わたしもキスマークを付けるのは好きよ。\nなんだか自分の所有物だってマークをつけているみたいで、\nコレクション欲が刺激されちゃうの❤,I do so love leaving lipstick stains! It's like marking my possessions. It really stimulates my thieving desires~❤
ほら、あなたにも顔中にべっとりつけてあげる❤\n何度もキスされて、同時に手でもシコシコされて、\nこの世のものとは思えない快楽に溺れてしまいなさい❤,Look; I'll mark your entire face with them.❤ Drown in pleasure beyond this world as I kiss you over and over repeatedly while stroking your cock~❤
あうっ、あああっ❤❤きもちいぃい・・・❤❤,Ahh! Aaah!❤❤ It feels so good...❤❤
くす❤まあこんなものかしら。\nどうだった、わたしの責めは❤\nルーキーくんはまだサキュバスを倒したいって思えてる？,*Giggle*❤ I think that's enough. How did you like my torture?❤ Does the little rookie still want to defeat us big bad succubi?
それとももうわたしのこと、好きで仕方がないかしら。\nほら、そのキスマークだらけの顔で、\n答えてみなさい❤,Or are you already completely smitten with me? Come on; look at me with that face covered in lip marks and answer me~❤
はうぅ・・❤サキュバスさまぁ・・・❤\nすきです・・・❤すきです・・・❤,Hahh...❤ Lady Succubus...❤ I... I love you...❤ I love you...❤
なんでも命じてください❤サキュバスさまぁ・・・❤\nあへぇ・・❤,Please... I'll do anything you want...❤ Lady Succubus...❤ Aahhh...❤
あら、忠誠を誓った気持ちよさで、もう一回射精しちゃったの？\nくすくす❤わたしのコレクションに加えてもらえたことが\nよほどうれしかったのね❤,Oh my; did you really ejaculate again from the sheer joy of pledging yourself to me? *Giggle* You must have been so happy to be added to my collection; weren't you?❤
あなたのレア度はまあ中ぐらいってところね。\n壊れない程度に、せいぜい大事に使ってあげるわ❤\nうふふふ❤,Your value is about average; I suppose. I'll take good care of you. At least enough not to break you!❤ Ufufufu~❤
こうして僕は彼女に忠誠を誓い、彼女のためにカードを使うようになった。,And so I pledged my loyalty to the phantom thief succubus and began wielding my cards for her sake.
人間をサキュバスから守るために実力を磨いてきたはずなのに、彼女に命じられるまま、サキュバスのために人間を攻撃する日々。モルゲンが陥落したあとも、次の街を攻めるときに僕は捨て石のように使われた。,Even though I had honed my skills to protect humanity from the succubi; I spent the next days attacking humans on their behalf at my new master's command. Even after Morgen fell; I was used like a disposable pawn when the attack on the next town began.
怪盗サキュバスやエルルが傷つかないように、身を盾にして彼女たちをかばい、限界を無視してカードを使い彼女たちを援護する。,I shielded the phantom thief succubus and Elulu with my body to prevent them from being hurt; ignored my limits; and used my cards to support them every step of the way.
守りを突破された街にはサキュバスたちがなだれ込み、街中が嬌声につつまれていく。女は新たなサキュバスに生まれ変わり、男は次々に吸い殺され、街に人間は一人もいなくなる。,When the town's defenses were breached; succubi poured in; and the entire town was enveloped in moans of pleasure. Women were reborn as new succubi; men were drained and killed one after another; until not a single human remained in the town.
…この恐ろしい出来事の一端を僕が担っていることに、わずかに残った良心がチクリと痛む。,...My remaining conscience wept; just knowing I played a part in these horrible events.
しかし、戦いが終わったあと、ご褒美と称して怪盗サキュバスに頬に口づけをされる。たったそれだけで何に悩んでいたかも忘れ、ただただ彼女の言いなりに働く便利な道具という立場にまた堕ちぶれてしまうのだった。,However; after the battle ended; the phantom thief succubus kissed my cheek as a reward. Just that alone made me forget what I had been worrying about; and I fell back in line as a convenient tool that simply obeyed her every command.
無敗でＢランクにまで登りつめた僕の物語は、一匹のサキュバスの奴隷に堕ちて、人間たちの裏切り者になりその幕を閉じたのだった。,And that's how my story—the story of a rookie who had climbed to B-rank undefeated—came to an end; falling from grace and becoming a slave to a succubus and a traitor to humanity.
