default
コブラ娘,Cobra Girl
おぬしも腕っぷしの強さには自信があったのじゃろう？\nしかし、チンポがこれではの❤\n大きすぎるわしの胸が悪いのかもしれんが、それにしてもあまりに脆い❤,You were so confident in your strength; weren't you? Just like your ally. But you could never win with a cock like this.❤ Perhaps it's simply because my chest is so big; but still; it's just too weak~❤
大きな肉の快楽に飲み込まれて、何一つ抵抗できぬ❤\nほれほれ、少しは暴れてみせろ？\n早く逃げぬと、わしにエナジーを食べられてしまうぞ？,Swallowed by the pleasure of my heavy flesh; unable to resist~❤ Come; can't you at least put up a bit of a struggle? Don't you know if you don't escape soon; I'll end up eating your energy?
あひっ、ああっ…これ、だめぇ…❤,Ah; ahh... This... No...❤
ふ、もう駄目じゃな。骨抜きじゃ❤\n男の誇りのかけらもない。\n甘くねだるような声で、だめぇなどと言っておるが、恥ずかしくないのかのう❤,Oh my; I guess it's no use anymore. You're completely helpless~❤ You have no pride as a man whatsoever. Saying "no" with such a sweet; pleading voice... Have you no shame?❤
腰が浮いてきておるぞ❤もう射精しそうなのじゃろう❤\nならばトドメじゃ。左右の胸で交互に亀頭を揉みくちゃにしてやる❤,Oh my; I can feel your hips shaking. You're near your limit. Then it's time to finish you off. I'll crush your tip tight with my breasts; shifting the pressure left and right.
意識が飛ぶような快楽にどうせおぬしは耐えられんじゃろ？\nさぁ、射精しろ❤\nわしの胸に屈服の証を漏らせ❤イケ❤,You won't be able to withstand the mind-numbing pleasure anyway; will you? Now; give in to your release.❤ Let the proof of your submission spill onto my chest~❤ Cum for me~❤
あへぇ…❤,Ah... Ahhh!❤
凄まじい量じゃな❤わしの谷間から溢れるほどに出すとは、この変態め❤,Oh my; what an incredible amount~❤ For you to fill my chest to the point of overflowing like this... You're quite the pervert~❤
毒がまわるまで胸に見惚れるとは・・・❤男の悲しい性じゃのう❤\n次の獲物も同じであれば楽で良いのじゃが、おぬしはどうじゃ？ククク❤,To be so entranced by my chest my poison had time to take effect...❤ Such is the sad nature of men...❤ It would be easier if my next prey was the same; but what about you? Kuhuhu~❤
試合を放棄しての自慰とは・・・❤\n情けないことこのうえないのう❤ククク❤,Abandoning the match to indulge in self-pleasure...❤ How utterly pathetic...❤ Kuhuhu~❤
わしのパイズリに耐えれるはずがなかろう❤\n他愛無いものじゃな❤ククク❤,You never had a chance of resisting my titjob.❤ Defeating you was such a trivial matter~❤ Kuhuhu~❤
踏まれただけで射精するとは・・・❤\n女に踏みつけられて喜ぶ変態め❤,For you to cum from just being stepped on...❤ To enjoy being trampled on like this... Such a pervert~❤
わしの脚さばきはたまらんかったか？\n女の脚にたやすくイかされて、ういやつじゃのう❤\nククク❤,Was my footjob truly that irresistible? Consider yourself lucky I let you cum so quickly; wrapped in a woman's legs~❤ Kuhuhu~❤
決着ー！！勝者はパトラ選手！,The match is over!! The winner is Patra!
{主人公}選手、パトラ選手の切り札を\nあと一歩と言うところまで追い詰めるも、\nしかし、そこでまさかの逆転！,{主人公} managed to corner Patra's trump card; getting so close to victory; but then; out of nowhere; a shocking reversal!
ルーキーの経験の少なさがここで出てしまったか！\n拘束されなすすべなく敗北に追い込まれてしまいました！,Has the rookie's lack of experience finally caught up to him? Bound and helpless; he was led quickly to their defeat!
パトラ選手の切り札を前にして、\n{主人公}選手、手も足も出ず、それどころかまさかの自滅！\nモンスターの出す色気を前に理性を失ってしまったか！,{主人公} couldn't seem to do anything against Patra's trump card; and to make matters worse; he ended up throwing the match! Did he lose his mind in the face of the monster's allure?
パトラ選手の切り札を前にして、\n{主人公}選手、手も足も出ませんでした！\nDランクトップクラスの実力は伊達ではなかった！,Faced with Patra's trump card; {主人公} couldn't even make a move! The top-class D-rank's skill was no joke!
ふふ、上級モンスターには勝てなかったようね。\n昇格戦の権利はわたしがもらったわ。,Fufu; it seems you couldn't defeat my advanced monster. The right to enter the promotion match is now mine alone.
勝たせてくれたお礼に、\n上級モンスターの快楽をもっと楽しませあげる。\nコブラ娘、行きなさい❤,As a thank you for letting me win; I'll let you enjoy the pleasure my advanced monster has to offer even more. Cobra Girl; go ahead~❤
くく、見ろ❤\nおぬしが自分でしごいてかけた精液で、わしの胸がどろどろじゃ❤,Kuhu; look~❤ The semen you stroked out of yourself is making my chest all sticky~❤
くく、見ろ❤\nおぬしがパイズリに負けて出した精液で、わしの胸がどろどろじゃ❤,Kuhu; look~❤ The semen you offered me after losing to my titjob has made my chest all sticky~❤
くく、見ろ❤\nおぬしが足に踏まれて負けた精液で、わしの足がどろどろじゃ❤,Kuhu; look~❤ The semen you offered me when I trampled you has made my feet all sticky~❤
くく、見ろ❤\nおぬしが膝で挟まれて出した精液が飛んで、わしの足がどろどろじゃ❤,Kuhu; look~❤ The semen you offered me when I had you trapped by my legs has made my them all sticky~❤
まずはこれを吸収するところを見せてやろう❤\nほれ…❤,First; allow me to show you how I absorb energy like yours.❤ Here I go...❤
どうじゃ？でかくなったじゃろう？\nわしの乳は栄養をたくわえる袋になっておるからの。\n捕食のあとには一時的に大きくなるわけじゃ。,So; what do you think? My breasts have gotten even bigger; haven't they? My chest acts as a pouch to store nutrients. It enlarges temporarily after I feed.
次の昇格戦の前に、さらにエナジーをたくわえさせてもらうとしよう。\nおぬしの精はなかなかに上質じゃ。きっとよい力になるじゃろうて❤,Before the next promotion battle; let's gather even more energy. Your essence is quite high-quality. It will no doubt be a great source of power for my master~❤
う、あううっ・・・。,Ugh; ahhh...
なんじゃ？\nこんなに観客が多いなかで、搾り取られるのはいやか？\nなに、すぐに周りの視線などどうでもよくなる…❤,What's the matter? You don't wish to be milked in front of all these spectators? Well; you'll stop caring about the gazes around you soon enough...❤
僕は後ずさるが、射精してしまったせいで身体に力が入らず、容易く組み敷かれてしまった。,I try to step back; but after ejaculating just a moment ago my body couldn't find its strength; and I found myself getting pinned easily.
もともと大きな胸なのに、エナジーを吸収して、さらに大きくなったコブラ娘の爆乳。僕のペニスはあっという間に彼女の胸に包まれて見えなくなってしまう。,Cobra Girl's chest had always been large; but after absorbing so much energy; her breasts had become even bigger. They quickly enveloped my penis; making it disappear from sight.
わしの爆乳に埋もれて、この世の極楽を味わうといい❤,Let yourself be buried in my huge breasts and enjoy the peak of bliss this world has to offer~❤
あっ、はうああっ❤,Ah; haaah...❤
とろけるようじゃろう？\nわしの胸はやわらかいからのう❤,It must feel like melting; doesn't it? My chest is extremely soft; after all~❤
エナジーを吸ってパンパンに膨らんでも、\n絹のようになめらかで、触れたものをとろけるように包み込む❤\nそれがわしの乳じゃ❤,The wonderful thing about my breasts is even when they swell up from absorbing so much delicious energy; they;re still as smooth as silk; wrapping around anything they touch~❤
ゆさゆさと揺さぶれば、どこまで行ってもやわらかい胸の中❤\n中にあるいちもつは、\nさながら快楽の底なし沼に沈められたようなものじゃな❤,No matter how much I shake them; the inside will always feel soft and plush.❤ Any cock I trap inside remains submerged in an endless mire of pleasure~❤
ほれほれ、どうじゃ？\nペニスがまるごともみくちゃにされて、極楽じゃろう？\n根元も先端も、全部気持ちいいじゃろう？ククク❤,Here; tell me; how does it feel? The entirety of your cock being kneaded at once... Isn't it pure bliss? Doesn't it feel so wonderful; from the base all the way to the tip? Kuhuhu~❤
ああああっ❤❤❤,Ahhhh!❤❤❤
ククク❤腰が浮いてきておるぞ❤\nへこへこと敵相手に腰をふりおって、\n脳髄まで快楽が染み入って、体はあっというまに降参寸前のようじゃ❤,Kuhuhu~❤ Your hips are starting to lift.❤ Your thrusting your hips deep into the enemy's breasts; letting the pleasure seep into your mind; and leaving your body on the verge of surrender~❤
さっき出したばかりだというのに、全然持たぬのう❤\nまあそれも仕方ないことか。\nなにせ、わしの乳はさっきよりも数段気持ちよくなっておるのじゃからな❤,You can't hold back at all; despite just cumming moments ago~❤ Though; I suppose that's to be expected. After all; my breasts feel even more pleasurable than last time they defeated you~❤
ほれほれほれ❤最高の感触を堪能するとよい❤\n情けなく降参して、\n二度目もあっけなく、上級モンスターの乳に屈するのじゃ❤,That's it; just like that~❤ Enjoy this exquisite sensation to your hearts content~❤ Surrender pathetically; submit so easily to the breasts of an advanced monster a second time!❤
出せ❤イケ❤\n乳なぞに負ける、雑魚マスターが❤ククク❤,Give in to me~❤ Cum~❤ Prove to me what a weakling master you are by losing to mere breasts~❤ Kuhuhu~❤
あひぃっ、あううっ❤❤❤,Ahh; ahh!❤❤❤
ふ、今回も大量じゃなぁ❤谷間が白くなるほど勢いのある射精じゃ❤,Ufu; you came quite a bit again~❤ You let out so much it seems to be staining my chest pure white~❤
さて、この精もまた吸収するとしようか。\nそうじゃ、せっかくじゃから\nおぬしのものを挟んだまま、胸を大きくしてやろう❤,Well then; shall I absorb this essence as well? Yes; for such a special occasion; I'll make my breasts even larger while keeping your cock trapped between them.❤
ペニスが、段々と大きくなる胸に押しつぶされていく感触など、\nなかなか味わえるものではないぞ。ほれ・・・❤,The feeling of having your cock crushed between gradually growing breasts isn't an experience you'll likely have elsewhere. Here...❤
ああぁぁ・・・❤ぎゅって押しつぶされてぇ…❤,Ahhh...❤ It's too tight... They're crushing me...❤
こ、こんなの・・・❤むり❤むりぃ・・・❤,Th-this...❤ I can't...❤ I can't take it...❤
ククク❤そうか無理か❤\nこんな軽い動きですらムリになるとは、\nわしの乳はよっぽど凶悪なようじゃな❤,Kuhuhu~❤ It seems it's too much for you.❤ If even such slight movements is too much for you to bear; my breasts must be quite formidable.❤
じゃが、おぬしがいくら無理と言ったところで、\nわしの動きは止まらんぞ。\nゆらゆら揺らして、ずーっとおぬしを気持ちよくしてやる❤,But no matter how much you beg and plead; I won't stop. I'll keep swaying and bouncing; making you feel good until the very end.
すべてを乳に包まれながら、気絶するまで果て続けるといい❤\nおぬしがイくたびに、どんどんわしは力を増して、\n快感も膨れ上がっていくじゃろう❤,You'll remain enveloped in my breasts; cumming again and again~❤ Each time you climax; I will grow stronger; and the pleasure will increase even more~❤
我慢など不可能な、脳をとろかす強烈な快感・・・❤\n覚悟するがよいぞ❤ククク❤,An intense pleasure that melts your brain; making it impossible to endure...❤ Prepare yourself!❤ Kuhuhu~❤
ああっ❤また大きくなってっ❤,Ahh!❤ Th-they're growing again!❤
だめっ、とまらないっ、でるっ❤でるうぅぅ❤,No; I can't stop; I...❤ I'm cumming!❤
おお、出せ出せ❤雑魚が❤,Yes; let it out; let it all out~❤ You weakling~❤
ふむ、これで終わりか。\n恍惚とした顔のまま気絶しておるわ❤,Hmm; is it over? Oh my; he fainted with such a blissful expression on his face~❤
それにしても、うむ…❤まこと良質なエナジーじゃ。\nこれだけの魔力量、色香にさえ弱くなければ、\nわしらにも勝てたかもしれぬのにの。ククク❤,Be that as it may... Mmm~❤ What truly high-quality energy. With this amount of magical power; if only he weren't weak to my charms; he might have been able to win. Kuhuhu~❤
魔力が尽きるまで搾り取られた僕は、その後闘技場の医務室で目を覚ました。,After being drained of all my magical power; I awoke in the colosseum's infirmary.
すっかり魔力を吸い取られてしまったからか、体が完全にクタクタだ…。こうなってしまったら4、5日はまともに戦えないだろう。,Perhaps due to having all my magic power drained; my body was left utterly exhausted... In this state; there was no way I'd be able to fight properly for the next few days at least.
手足はかろうじて動くが、腰の辺りがまだじんじんとうずいている。コブラ娘に与えられた快感はあまりにも強烈で、しばらくは今日の光景が頭から離れそうにない…。,My arms and legs were left numb; but my waist still tingled. The pleasure the Cobra Girl had given me was so intense... I doubt I'll be able to forget today's events for quite some time...
数日後。,A few days later.
魔力が回復するまで休養することにした僕は、後学のためにパトラさんの昇格戦を観戦しに来ていた。,I decided to rest until my magic power had fully recovered; and came to watch Patra's promotion match; wanting to study for our future fights.
ふふ、Cランク昇格戦にしてはずいぶんぬるい勝負になりそう。,Fufu; for a C-rank promotion match; I doubt this battle will be any trouble at all.
このカードマスター、男相手には強いんでしょうけど、\nわたし相手じゃ、まったく相手にならないわ。,This cardmaster might be strong against men; but against me; they don't stand a chance!
モンスターをコストにして上級召喚よ！\nコブラ娘、行きなさい！,I'll sacrifice one monster to an advanced summon! Cobra Girl; go!
・・・・！,....!
驚いたことに、彼女が召喚したコブラ娘は最初から爆乳を携えていた。たわわに膨らんだ彼女の胸は、僕が搾り取られたときの記憶を鮮明に呼び覚まさせる。,To my surprise; the Cobra Girl she summoned already had huge breasts from the start. Her voluptuous chest vividly brought back memories of when I was drained.
（ああ、なんてエロいんだろう…❤ううっ…❤）,(Oh; she looks so sexy...❤ Ugh...❤)
その先、試合がどんなふうに運んだか、僕は覚えていない。戦術も、戦略も把握できず、ただ彼女の体を見ることしかできなかった。,I don't remember much of the match after that. I couldn't follow any tactics or strategies. All I could look at was the Cobra Girl's body.
ふと気が付くと、いつの間にか僕はズボンの中で射精してしまっていた。あと少し実力があれば、昇格戦で戦っていたのは僕だったかもしれないのに…。ああ、なんて情けないのだろう…。,Suddenly; I realized that I had ejaculated in my pants without even noticing. If I had just been a bit more skilled; it could have been me fighting in the promotion match... Ugh; I'm so pathetic...
あら、君はこの前の新人マスターくんじゃない。\n試合のあと体の調子はどうかしら？,Oh; aren't you that new master from before? How's your body feeling after our match?
うちの子がかなり激しく搾り取ったから…。\nって、ふふふ❤\nそこを見る限り、とっても元気みたいね❤,My girl really drained you quite a bit... Fufufu~❤ But judging by what I see down there; you're feeling quite energetic again; aren't you?❤
パトラは勃起した僕の股間を見てくすくすと笑った。こんなところで勃起を指摘されて、顔から火が出そうになるほど恥ずかしくなる。,Patra giggled as she looked down at my erection. Having my erection called out in public made me feel so embarrassed that I thought my face would catch fire.
ねえ、あの子のパイズリ、とってもよかったでしょ？\nあなたさえよければ、\nたまにあなたの精をわたしたちに分けてくれないかしら。,Hey; my girl's paizuri was really wonderful; wasn't it? If you're okay with it; could you occasionally share your essence with us again?
あなたからもらったエナジー、よっぽど質がいいみたいでね。\nうちの子のパワーが数日は落ちないままだったの。\n今日だってまだ胸にエナジーが残ったままだったし…。,The energy we received from you seems to be of exceptionally high quality. The power you gave my girl didn't diminish for several days. Even today; there was still so much energy left in her chest...
こんなこと今までなかったわ。\nあなたすごく才能があるのね❤\nカードマスターとしてちょっとうらやましくなっちゃう。,I've never seen anything like this before. You have such incredible potential~❤ Honestly; I'm a bit envious of you as a cardmaster.
（ま、男の時点で、その才能も意味ないんだけど…❤）,(Though; being a man; that potential doesn't really mean anything...❤)
うっ、でも・・・。,Ugh; but...
もちろんたまにでいいのよ。毎日のように搾り取ったら、\nあなたの活動にも影響が出ちゃうでしょうし。\nね、おねがい❤,Of course; I'm more than happy if you only can occasionally. If I were to squeeze you dry every day; it would start to affect your own work; wouldn't it? Please; I beg you ❤
僕はその提案を断れなかった。,I couldn't refuse her request.
その後、僕はすっかりコブラ娘の与える快楽に依存してしまい、連日のようにパトラさんのもとを訪れてはコブラ娘に精を貢いでしまうようになった。,After that; I became completly addicted to the pleasure that Cobra Girl provided; and I started visiting Patra almost every day to offer her my magical power.
妹のことや師匠のことを思い出しても、コブラ娘の大きく膨らんだ胸を見るだけで、すべて頭の中から消えてしまった。パイズリで何度も精を搾られ、彼女の大きくなる胸に全て押しつぶされ、彼女のこと以外何も考えられなくなっていった。,````Even when I remembered my sister and my master; just seeing the Cobra Girl's large; swollen breasts made everything else disappear from my mind. I was drained of all my energy through her breast sex; and I was crushed by her ever-growing breasts; to the point where I could think of nothing but her.
そんなありさまでは闘技場でまともな戦績をあげることなど、できるはずもない。こうして僕の物語はその幕を閉じたのだった。,It was impossible for me to achieve any sort of decent record in the arena in the state I was in. And so; my story came to an end.
しかし、当然それは敗北を意味する行為じゃ。\nたかだか胸が大きくなるのを見るためだけに、\nおぬしは自分の勝利を捨てるわけじゃな❤,However; of course; that act would mean your defeat. Though; you're the type of man who would throw away any chance of victory just to see my breasts grow bigger; aren't you?❤
おぬしのその顔、射精することしか頭にない顔じゃ❤\nプライドを投げ打ってする自慰じゃものな、さぞや気持ち良かろう❤,That face you're making is one that only thinks about cumming.❤ Throwing away your pride to indulge in self-pleasure must feel so good; mustn't it?❤
勝負のことなど忘れてしまったか？もう手足が動いておらんぞ？,Have you forgotten about the match? Your arms and legs aren't moving anymore; are they?
一度勝った相手に自慰で負けるとは・・・❤\n情けないことこのうえないのう❤ククク❤,To lose to someone you've already beaten...❤ How utterly pathetic...❤ Kuhuhu~❤
