default
酔いどれバニー,Drunk Bunnygirl
直接触らなくても、倒せちゃうんだもん❤\nぷっ、くすくす❤おっぱいマゾってほんとちょろいわねー❤,She never even touched you; and you still lost~❤ Pfft; hehe~❤ Boob masochists are so easy~❤
ううっ…❤くそぉ…❤こんなはずじゃ…❤,Ugh...❤ Damn it...❤ This wasn't supposed to happen...❤
本気で戦えれば…❤僕だってぇ…❤,If I can fight seriously...❤ I can still...❤
あ、そう。\nそんなこと言う男、何人も見てきたけど、みんな口だけよ。,Yeah right. I've heard a lot of guys say things like that; but they're all just talk.
{自分}、おっぱいで誘惑しなさい。,{自分}; seduce him with your breasts.
はぁーい、膝立ちルーキーくんの前で、\n谷間をむぎゅむぎゅう～❤,Okay! I'll just squeeze my breasts in front of the kneeling rookie~❤
はひぃっ、あうううっ・・・❤❤❤,Ohhhh; ahhhhh... ❤❤❤
ぷっ、強がりも一瞬で崩壊。\nアンタ理性弱すぎるんじゃない？,Pfft; your bravado crumbled in an instant. Aren't you a little too weak-willed?
立てなくなるぐらい、こっぴどく吸われたのにさ、\nほら、チンポもう勃起してる❤\nマゾってバカよねー❤ぷっ、くすくす❤,You were drained so hard that you couldn't stand; but look; your dick's already hard again~❤ Masochists are so stupid~❤ Pfft; hahaha~❤
わたしのエナジー補給ついでに、\nあんたのこと徹底的におっぱいに弱くしてあげる。\nもう二度とわたしに勝てないようにね❤,I think I'll replenish my energy; and make you completely weak to my breasts while I'm at it. I'll make sure you can never beat me~❤
ほら、行きなさい。{自分}。\nあいつがカラカラになるまで、\nエナジーを搾り取るのよ。,Alright; {自分}. Go ahead and squeeze out all his energy. Don't stop until he's completely dry.
だってさ。期待のルーキーくん❤\nよかったわねー、まだわたしと気持ちいいことできるみたいよ❤,What do you know; Mister Promising Rookie~❤ It looks like you and I can still have some fun~❤
ほらぁ、わたしが得意なこれで、\n搾り取ってあげる❤,Here; let me show you my specialty. I'll squeeze you dry~❤
おっぱいで顔を挟んでぇ…❤,I'll squeez your face with between my breasts; and...❤
ぱふ、ぱふ♪ぱふ、ぱふ♪\nあはぁん❤,Puff-puff~♪ Puff-puff~♪ Ahh~❤
はぐぅうっ・・・❤❤❤,Haaah...❤❤❤
ぷっ、なにその声。かっこわる❤,Pfft; what's with that voice? It's so uncool~❤
くすくす❤そうだねー。カッコ悪い❤\nでもでもぉ、意外とかわいいかも？,Giggle~❤ You're right; it's kind of uncool~❤ But don't you think it's cute in its own way?
おっぱいに甘やかされて、\n筋肉ふにゃふにゃになっちゃって、\n全身でわたしに溺れちゃってる。ほらぁもっと甘やかしてあげる❤,Your muscles have turned all mushy from being spoiled by my breasts; and you're drowning in me completely. Here; let me pamper you even more~❤
ぱふぱふ❤ぱふぱふ❤むぎゅむぎゅ～❤,Puff-puff~❤ Puff-Puff~❤ Squeeze; squish~❤
あっ、ああっ、きもちいいよぉ・・・❤❤,Ah; ahh; it feels so good... ❤❤
ふふ、甘やかすって言っても、\n実際やってることはエナジー奪ってるだけだけどね❤,Hehe; I call it pampering; but all I'm really doing is just draining your energy~❤
男の子って単純だから、\n気持ちいいことしてくれる人のことを\nやさしい女の子って勘違いしちゃうの。,Boys are simple; so they mistake someone who makes them feel good as a nice girl.
お金や魔力を貢がされても関係ない。\n本能にわたしのこと好きって感情を刷り込まれて、\nそれに逆らえなくなっちゃう❤,Even if they make you spend money or use magic; it doesn't matter. They instill the feeling of liking them into your instincts; and then you can't resist~❤
ほらぁ、脳みそをおっぱいでシェイク❤\n頭の中、おかしくさせてあげる❤\nずりずりずり～❤,Watch; I'll jumble your mind with my breasts~❤ I'll make your head go crazy~❤ I'll just rub them all over your face~❤
はぐっ、むぐぅうう❤あっ、ああっ❤❤❤,Mmph; mmmm!❤ Oh; ahhh...❤❤❤
ねー、頭をむぎゅって潰されながら、\n激しく揺さぶられるとやばいよねー❤,See? Isn't getting your head squished and jumbled just the best?❤
頭の中では何も考えられないのに、\n気持ちよさだけがひたすらにやってきて、\n一瞬で脳みそバカになっちゃう❤,The pleasure just keeps coming; turning your brain to mush in an instant; and you can't think of anything else~❤
甘いおっぱいの匂いが体の中に入ってきて、\n中も外も、\nぜーんぶおっぱいでメロメロ～❤,The sweet smell of breasts fills your body; inside and out; leaving you completely enchanted by my boob~❤
ねーねー、本気出せばこのおっぱいに勝てるの？\nほんとう？\nほらぁ、こんなにつよーいおっぱいだよー❤,Hey; hey; if you really try; do you honestly think you can beat these boobs? Look; they're so strong! ❤
男の子のことなんて、\n軽くもてあそべちゃうおっぱい❤\nスイカより大きくて、あなたの頭も捕獲できちゃう爆乳おっぱい❤,Against my boobs; boys are nothing but playthings~❤ They're bigger than watermelons and can even capture your whole head~❤
勝てるって思う？\nほらぁ、答えてよー❤くすくす❤,So? Do you think we can win? Come on; answer me~❤ Giggle~❤
あひぃっ❤はあっ、ああっ❤むり、むりぃっ❤❤きもちよすぎてぇ❤,Ahh...❤ Hah; ahh...❤ I can't... I can't!❤❤ It feels too good!❤
こんなのっ❤❤ああっ❤❤ダメ、出るぅっ❤❤,Oh. Oh no.❤❤ Ahh.❤❤ No; I'm about to cum...❤❤
はひぃっ・・・❤,Ahhh...❤
くすくす❤その射精が返事だよねー❤,Giggle~❤ That ejaculation is my answer~❤
男の子はおっぱいが大きければ、\nバニーガールの女の子にすら勝てない❤,If it's against big breasts; a boy can't even beat a bunny girl~❤
剣士でも魔術師でもないんだよ？\nただのサービスが上手な女の子❤\nでも、チンポ触られもせず、こうやって負けちゃうの❤,I'm not a swordsman or a magician; you know? I'm just a girl who's good at serving.❤ But without even touching your penis; I still made you lose like this~❤
ねー、どっちが強いかなんて誰が見ても分かるでしょ？\nぱふぱふに負けて魔力をたっぷり吐き出しちゃったマスターくん❤,Anyone can see who's stronger; right? After all; Master lost to the puff-puff and ended let out a lot of magic power~❤
うぐっ、ううっ・・・❤❤,Ugh; ugh... ❤❤
もう一回…❤,One more time...❤
もう一回してぇ…❤おっぱいぃ…❤,One more time...❤ Your boobs...❤
あは、追い討ちされて壊れちゃったかなー。\n脳みそシェイクされながら射精するの、気持ちよすぎた？,Oh my; I think I think I overwhelmed you too much and broke you. Was it too pleasurable to cum while your brain was all jumbled?
でもでも、魔力を搾り取るように言われてるから、\n空っぽになるまでは続けちゃうねー。\nもっともっとおっぱいに弱くなっちゃうと思うけど…。,But since I've been told to squeeze out all your magic power; I'll keep going until you're empty. Though you'll probably get even weaker to boobs...
別にいいでしょ？\nおっぱいに弱くなれば、もっと気持ちよくなれるんだから、\nむしろ、あなたにとってもWin-Winかも,But that's okay; right? If you become weaker to breasts; you'll feel even better; so it might actually be a win-win for you.
四つん這いになって、ぜぇぜぇ言ってるあなたの頭を\n膝立ちでむぎゅって捕まえてぇ・・・❤,Now; get on all fours. I want to catch your panting and breathless face between my breasts like this...❤
ほらぁ、桃源郷におかえりなさーい❤\nくすくす❤期待のルーキーくんがこれから通うことになる場所だから、\nよぉーく覚えてね❤,Got you! Welcome back to paradise~❤ Giggle~❤ This is the place where the promising rookie will be spending a lot of time; so remember it well~❤
ぱふぱふ❤ぱふぱふ❤\n男をメロメロにしちゃうおっぱい攻撃❤,Puff-puff~❤ Puff-puff~❤ This is my breast attack that makes men crazy for me~❤
あぁん❤四つん這いの格好で射精したら、\n地面に向けて無駄撃ちしちゃうね。,Ahh~❤ If you cum on all fours like that; it'll just end up shooting pointlessly on the ground.
大丈夫、エナジーもったいないから、\nわたしのマスターが地面に落ちる前にちゃんと回収してくれるわ。,It's okay. That'd be a waste of energy; so my master will make sure to collect it before it hits the ground.
あなたは動物みたいに、\n何も考えずに欲望に身を任せていればいいの❤,So go ahead and just give in to your desires without thinking; like an animal~❤
人間の尊厳なんていらないでしょ？\nまして闘技場での栄誉なんて、\nおっぱいの快感の前では無用よね❤,You don't need human dignity; right? You definitely don't need the glory of the arena. It's useless compared to the pleasure of breasts; right?❤
ほらぁ、ぱふぱふ❤ぱふぱふ❤\nかっこわるーい格好で、カードを使うための魔力を\nびゅるるるぅって出して❤出して❤あはぁん❤,Here. Puff-puff~❤ Puff-puff~❤ Release all the magic power you use to play your cards. Shoot it out~ ❤ Come~❤ Aha~❤
あふぅ❤❤はへぇあ❤❤❤,Ahh...❤❤ Hah; hah...❤❤❤
ぷぷぷ、最後は人間の言葉すら喋れなくなっちゃったわね❤\nおっぱいで脳みそ馬鹿にされて気絶❤\nみっともなさすぎよ❤,Hehehe; in the end; you couldn't even speak like a human anymore~❤ My boobs numbed your mind and you ended up fainting~❤ So pathetic~❤
このマスター、もうわたしたちには勝てないだろうねー。\nせっかく連勝してたのに、おっぱいマゾにされちゃってかわいそー。\nくすくす❤,This cardmaster probably can't win against us anymore. It's so sad. He was on a winning streak; but now we've turned him into a boob masochist. Giggle~❤
バニーガールに気絶するまで搾り取られた僕は、そのあと彼女の与えてくれた快楽が忘れられず、寝ても覚めてもおっぱいのことばかり考えるようになってしまった。,I was drained by the bunny girl until I passed out. After that; I couldn't forget the pleasure she gave me. I started thinking about her breasts all the time; day and night.
カードにも集中できず、魔法の詠唱やモンスターの召喚にも頻繁に失敗してしまう。このままではいけないと悩んでいたある日、僕の部屋を誰かが訪ねてきた。,I couldn't concentrate on my cards anymore; and I frequently failed at casting spells and summoning monsters. One day; when I wasn't certain I could go on like this; someone visited my room.
は～い、ひさしぶりね。マゾマスター❤,Hey there. Long time no see; Masochistic Master~❤
え？マゾとか呼ぶなって？\nぷぷっ、そんなこと言われても、\n事実は事実だからしょうがないじゃない。,Huh? Don't call you a masochist? Hehe; you can say that; but the truth is the truth; so there's nothing you can do about it.
ま、それはどっちでもいいわ。\n今日は最近悶々として眠れないであろうあなたに、\n特別な提案をしてあげに来たのよ。,But that doesn't matter. Today; I'm here to make you a special offer; since you've been restless and can't sleep lately.
わたしのモンスターであなたのことたっぷり気持ちよくしてあげる。\n代わりにあなたの持っているカードとお金、\nわたしに貢ぎなさい？,I'll have my monster make you feel really good. In return; why don't you give me the cards and money you have?
ん？ふざけるなって？\nそう。＜{自分}＞を召喚。,Huh? You think I'm joking? Alright. Summon {自分}.
はろー❤ひさしぶりね❤,Hiya~❤ It's been a while~❤
ほらぁ、あなたのだぁい好きなおっぱいだよ～❤\nまたぱふぱふサービスを受けたくなぁい？\nあはぁ～ん❤,Look; it's your favorite boobs~❤ Wouldn't you love another puff-puff service from me? Ahhh~❤
うぐっ、うううっ…❤❤,Ooh; ugh...❤❤
僕は{自分}の巨乳を目にして一瞬で理性が飛んでしまった。お金を渡すなんてとんでもない、まして大事なカードをあげるなんてありえないことのはずなのに…。,The moment I laid my eyes on {自分}'s massive tits; I instantly lost all sense of reason. Giving away money was out of the question; let alone handing over my treasured cards...
気が付けば僕は床がどろどろになるぐらい射精させられていて、強力なレアカードも、頑張って貯めたお金も、にやにや笑うキャミーのポケットの中に入れられ、部屋からなくなっていた。,But the next thing I knew; I had been made to cum so much that the floor was a mess; and both my powerful rare cards and the money I had worked hard to save were taken and shoved into Cammy's pocket; who was smirking the whole time.
くすくす❤ほんと男って弱いわね。\n大事な相棒もぜんぶおっぱいに奪われて、\nそれなのにそんなアヘ顔しちゃってるんだもの❤,Giggle~❤ Men really are pathetic. Even your precious partners have been taken away by her breasts; and yet you're still making a face like that~❤
最低限のカードは残してあげる。\nクエストでもなんでもやって、\nお金が貯まったら、わたしのところに来なさい。,I'll leave you with the bare minimum number of cards. Go do quests or whatever; and when you've saved up some money; come see me.
そのときはまたあなたに貢がせてあげるわ。\nぷっ、くすくす❤\nそれじゃあねー❤,Then; I'll let you spoil me again. Pfft; hehe~❤ I'll see you then~❤
キャミーはそう言って召喚したバニーガールをカードに戻し部屋をあとにした。,Saying that; Cammy returned the summoned bunny girl to the card before leaving the room.
{自分}はカードに戻りぎわに、わざとらしく腕で谷間を寄せてアピールし、僕に向かって投げキスをしていった。僕はたったそれだけの動きで、完全に彼女の虜に落ちてしまった。,As she was returning to her card; {自分} deliberately pushed her arms together; pulling my eyes to her cleavage; and blew me a kiss. With just that one move; I was completely captivated by her.
ただ快楽が忘れられないだけじゃない。彼女のことが好きでたまらなくて、カードやお金をあげることが、むしろ幸福にすら思えて…。,It wasn't just that I couldn't forget the pleasure. I love her so much that giving her cards and money makes me happy...
こうしてバニーガールのおっぱいの前に、昇格戦をふいにした僕は、このあともキャミーの都合のいい貢ぎ奴隷として、その一生を終えることになる。,Thus; having lost my chance in the promotion match to the bunny girl's breasts; I would spend the rest of my life as Cammy's convenient tribute slave.
僕の妹を救うための冒険はここで幕を閉じたのだった。,My adventure to save my sister came to an end.
谷間を見ながらのオナニーはどうだった？\n一回はまぐれ勝ちできても結局男はおっぱいには勝てないのかしら❤\nバカみたい❤くすくす❤,How did it feel; jerking off while staring at my cleavage? I guess even if you get lucky once; in the end; a man really can't win against a pair of breasts~❤ So stupid~❤ Giggle~❤
あんっ、谷間にたくさん出てる❤\nバニーガールのパイズリサービス、いかがだったかしら？\n上のランクに上がったのにおちんちん弱くなってない？くすくす❤,Ahh; there's so much it's leaking from between my cleavage~❤ How was my bunny girl paizuri service? Even though you moved to a higher rank; hasn't your cock gotten weaker? Giggle~❤
