default
巨乳アラクネ,Busty Arachne
ほら、動かしてあげる❤\nあなたが屈服しちゃったおっぱいの感触、\nたっぷり楽しみなさい❤,Here; I'll start moving for you.❤ You surrendered for these divine breasts; you should enjoy them~❤
あひっ、いまっ❤びんかんだからっ❤❤あううっ❤,Ahii; s-stop...❤ It's so sensitive...❤❤ Ahh!~❤
うふふ❤大丈夫よ❤こんなに柔らかいんですもの。\nイったばかりの敏感チンポでも、\nただ気持ちよくなっちゃうだけで済むわ❤,Ufufu~❤ That's alright!❤ They're so soft. Even if your penis is sensitive from cumming; I'll still make you feel good.❤
その証拠に、ドギツイ快感じゃなくて、\n脳をとろけさせるようなあまぁい快感が、\nチンポからどんどんあなたに流れ込んでくるでしょう？,See? Rather than a pleasure that teases you with pain; you instead feel a sweet; divine pleasure flowing into your penis; don't you?
おっぱいに擦られるたび、腰が抜けそうな気持ちよさが押し寄せてきて、\nどんどん、どんどん、あなたのことを快感で埋め尽くしちゃう❤\n気持ちよすぎて顔もだらしなくとろけちゃう❤,Every time I rub my breasts against it; a wave of ecstasy washes over you. More and more; you're getting filled with pleasure.❤ It feels so divine; your expression looks so lewd~❤
脚をぷるぷる震えさせちゃってかわいい❤\nどう？わたしたちに服従してよかったでしょう？,Your legs are trembling. So cute~❤ How is it? Aren't you glad you gave in to us?
はひぃ、{自分}様ぁ・・・❤あうう、きもちいいっ❤❤,Hahiii; Mistress {自分}...❤ Ahh; it feels so good!❤❤
くすくす❤素直にまた「様」付けで呼んじゃって、\nあなたも完全に、快楽にからめとられてしまったわね❤,*Giggle*❤ You wholeheartedly called me "Mistress" again. You're too far gone in ecstasy.❤
もう我慢しなくていいのよ❤\nあなたはわたしたちに服従して、\nすべてを差し出すことを自分で選んだの。,There's no need to keep up appearances anymore.❤ You've chosen to submit and give all of yourself to us.
だから魔力を出してしまうことも、全然こらえなくていいの❤\n貢げるだけ貢いでしまって、それでいいのよ❤,So you don't have to hold back your magic power anymore.❤ It's fine to just share as much of it as you can~❤
ほらほらほら❤わたしの巨乳にチンポを飲み込まれて、\n快楽のうねりで全部吐き出させてあげる❤,Come on; go on.❤ Your penis will be buried in my big breasts; so shoot it all out in a wave of pleasure~❤
根元から先っぽまで、ねっとり絡みつくやわらかぁいおっぱい❤\nこすられるまま、誘われるまま、\nあなたのエナジーを出してしまいなさい❤,From the base to your tip; these soft breasts will wrap around you.❤ Let them rub against you; tempt you; and release all your energy~❤
あふぅ、あへぇっ❤{自分}さまぁ、ああっ、ああっ❤❤,Afuu; aheee!❤ Mistress{自分}; aah; aaaah!❤❤
まだまだ出るでしょう？ほらほらほら❤,You still have more; don't you? Come on; let it all out!❤
はひぃっ・・・❤きもちよすぎるっ・・・❤\nああ、{自分}さまぁ、{自分プレイヤー}さまぁ・・・❤❤,Hahiii...❤ It feels so good...❤ Aaah; Mistress {自分プレイヤー}...❤❤
こうして僕は何度も精を搾り取られ、彼女たちに屈服する気持ちよさをしっかりと刻み込まれてしまった。そしてそのまま気絶し、闘技場で初めての敗北を味わってしまったのだった。,My semen was milked countless times; and the pleasure from succumbing to them was deeply imprinted in my heart. I passed out; tasting defeat for the first time in the arena.
次の日,The next day
うう・・・。,Ugh...
僕はふらふらとした足取りで、ヤツメ様が看守をしているというこの街の牢獄に向かっていた。,With unsteady legs; I staggered towards the city prison where Mistress Yatsume works as a guard.
ふ、誰かと思えば昨日のルーキーか。\n負けた次の日にまた会いに来るとは、\n昨日の快楽がよほど忘れられなかったと見える。,Well well; if it isn't the rookie from yesterday. Coming to see me again the very next day after you lost; are you? Seems you can't forget the pleasure you felt yesterday.
無敗のせいで純朴だった貴様には、\nわたしの与えた快楽は刺激が強すぎたようだな❤,I guess the stimulation was too much for someone like you who'd never had your cherry popped thanks to your winning streak.❤
だがいまわたしは仕事中だ。\n貴様はそこで仕事が終わるのを待っているといい。\n夜になったら、ゆっくりと相手をしてやろう…❤,But I'm working right now. You can sit over there and wait until I'm done. I'll be sure to show you a good time tonight...❤
あうう・・・❤わかりました、{自分プレイヤー}さまぁ・・・❤,Ahh...❤ Understood; Mistress{自分プレイヤー}...❤
ククク❤まだ何も言っていないのに、自分から「様」付けか。\nすっかり調教されてしまったな❤,*Snicker*❤ I haven't even said anything yet; and you're already calling me "Mistress". Looks like you've already been fully tamed.❤
従順な犬は嫌いではない❤\nそこでいい子におすわりしていろ。マゾルーキー❤,I don't dislike obedient dogs.❤ Just be a good boy and sit there; Masochistic Rookie~❤
ふぅ、今日の仕事もこれで終わりか。\nおやどうやらいい子に「待て」ができていたようだな❤,Phew; that's it for today's work. Seems you've been an obedient boy. You've learned 'sit' so quickly~❤
あとでわたしの家に呼んでやるが、\nいまはすぐにでも魔力補給をしたい気分だ。\nお前もそうだろう？そんなにズボンを膨らませて❤まったく。,I'll invite you to my house in a moment; but for now; I feel like I need to replenish my magic. Don't you agree? There's something bulging in your pants.❤ Tsk tsk tsk.
{自分}を召喚。\n一緒にお前を可愛がってやろう❤,Come forth; {自分}. Let's give him plenty of love together.❤
うふふ❤昨日はパイズリで散々してあげたのにまだ足りなかったのね❤,Ufufu~❤ I just gave you a paizuri yesterday; but it seems you're insatiable.❤
今日は少し趣向を変えて、こんなプレイはどうかしら…❤,Today; let's switch things up a little and try doing this...❤
顔を覆う{自分}の胸と、わたしのブーツの足コキ❤\nマゾな貴様にとっては天国だろう？,I'll give you a footjob with my boots as her breasts smother your face...❤ It must feel like heaven for a masochist like you; right?
おや、もう腰が震え出した❤\n試合の時も挟まれてすぐ果てたが、やはり早漏だな❤,Oh my; your hips are already shaking.❤ My paizuri made you cum so quickly during our match; too... Sre you a premature ejaculator?❤
出したければさっさと出せ❤\nほら❤,If you want to cum; then hurry up and do it.❤ Go ahead.❤
わたしも、ぱふぱふ❤,Don't forget about me; naughty boy.❤ Puff-puff~❤
ひあっ、ああっ・・・❤こんな、すごいっ❤はひぃ・・・❤,Hyaaa; aah...❤ This is... Amazing...❤ Hahiii...❤
看守の任務は威圧のためにモンスターを連れながら行うからな。\n一日中モンスターを出しておくのはなかなかに骨が折れる。,We prison guards use monsters in our duty to intimidate the prisoners. Keeping them out all day is exhausting.
貴様の良質な魔力は、いい回復剤だ❤\n従順で、若い男で、魔力の質もいい。\nクク、なかなかいい下僕が手に入ったな❤,Your high-quality magic power is a great replenisher.❤ You're obedient; young; and you have quality magic power. *Giggle* I've acquired a wonderful servant.❤
わたしもけっこうお気に入り❤\n反応がかわいいもの❤,I like him; too!❤ His reactions are so cute~❤
今もおっぱいに甘えてふにゃあってなって、\nくすくす、昨日戦った相手とは思えないわね❤\n少しぱふぱふしてあげれば、ほらまた出しちゃう❤,Even now; he's still being pampered by my soft breasts. *Giggle* It's hard to believe this is the same boy I was fighting yesterday.❤ Watch. If I just give him a bit of Puff-Puff; I bet he'll cum again~❤
あひぃ、{自分プレイヤー}さま、{自分}さまぁ・・・❤\nきもちいいですっ・・・❤あへぇあ・・・❤❤,Ahiii; Mistress {自分プレイヤー}; Mistress {自分}...❤ It feels so good...❤ Aheeaah...❤❤
僕は完全に二人の虜になってしまった。彼女たちの与える快楽はとても甘美で、彼女たちに服従しながら魔力を搾り取られるこの関係に、僕はすっかりはまり込んでしまったのだ。,I was completely lost in their trance. They massaged such sweet pleasure into me; I was completely immersed in this relationship of submitting to them and letting them drain my magical energy. 
{自分プレイヤー}さまは僕が従順である限り、僕を可愛がってくれる。牢屋の看守室だけではなく、{自分プレイヤー}さまの家にも呼んでいただき、そこで複数のアラクネたちに快楽を与えられることもあった。,Mistress {自分プレイヤー} would love me as long as I was obedient. I'd be invited not only to the prison guard's office; but even to Mistress {自分プレイヤー}'s house; where I'd be pleasured by several arachne.
僕は{自分}さまや{自分プレイヤー}さまに魔力をささげるために、日中は魔力をほとんど使わないようになった。当然、修行もバトルもいままで通りにはいかず、戦績はどんどん落ちて行った。,In order to dedicate my magic power to Mistress {自分} and Mistress {自分プレイヤー}; I used very little of it during the day. Naturally; my training and battles didn't go as well as before; and my performance steadily declined.
しかし、そんなことよりも彼女たちに尽くせることの方が僕にとっては大きな喜びだった。ペニスに快楽を与えられることだけではなく、彼女の前で膝をつき、下僕のようにふるまうこと自体に、次第に強い喜びを覚えるようになっていった。,But the joy I felt serving them was far greater. I felt a strong sense of satisfaction; not only from the pleasure being given to my penis; but also from kneeling before them and being their slave.
もはや無敗のルーキーと呼ばれていたころの強い意志に満ちた目は、主人公にはない。女性に負けることを受け入れ、なぐさみものにされて喜んでしまうみじめな奴隷の姿がそこにはあった。,I no longer had the fierce; determined eyes I once had when I was called the Unstoppable Rookie. Now; I was just a pathetic slave who embraced losing to women and enjoyed being used as a plaything.
こうして妹を救うためにAランクを目指していた主人公の物語は、一匹のアラクネに魅了され蜘蛛使いのマスターの魔力補給の道具になって、その幕を閉じたのだった。,Thus; the story of the rookie who strove to achieve A-rank and save his sister; came to an end. Seduced by an arachne; I became a magical power supply to the spider-tamer master.
