default
オクタ,Octa
戦闘時に{使用カード}の効果を発動！相手の属性を水属性に変化するわ。,Activate {使用カード}'s effect during combat! Change the targets's attribute into Water Attribute.
装備魔法カード発動！{使用カード}！\nわたし自身に装備するわ。,Activate magical equipment card; {使用カード}; on myself!
{使用カード}の効果を発動！\n相手フィールド上のカードを１枚水属性に変更よ。,Activate {使用カード}'s effect! Change an opponent's card into Water Attribute.
{使用カード}の効果を発動！\nあなたのフィールド上のカードを１枚水属性に変えてあげる。,Activate {使用カード}'s effect! Change one of your cards into Water Attribute.
ターン終了時、相手フィールド上に水属性カードしか存在しないとき、\n{使用カード}の効果を発動！デッキからカードを１枚ドローするわ。,When the turn ends and there's only Water Attribute cards on the opponent's field; activate {使用カード}'s effect! Draw one card from the deck.
水はいくらでも湧き出るものよ…。\nターン終了時、{使用カード}の効果を発動！,Water can spring forth endlessly... When the turn ends; activate {使用カード}'s effect!
相手フィールド上に水属性カードしか存在しないとき、\nデッキからカードを毎ターン１枚ドローするわ。,When there's only Water Attribute cards on the opponent's field; draw one card from the deck.
魔法カードを発動！{使用カード}！,Activate spell card; {使用カード}!
トラップカードを発動！{使用カード}！,Activate trap card; {使用カード}!
む、そのカード、水属性対策のカードじゃない。\nどこかでわたしのデッキのこと聞いたのかしら。\n厄介だわ。,Ugh; isn't that card a counter against Water Attributes? I wonder where you heard about my deck. That's so annoying.
む、そのカード水属性対策のカードじゃない。\nわたしが水属性ばっかり使うから狙い撃ちってわけ？,Ugh; isn't that card a counter against Water Attributes? Are you deliberately targeting me because I use a Water Attribute deck?
わたしに一回勝ってるくせに、ずいぶんいじわるなことするじゃない。\nでも、簡単には負けないわよ。,You've won once already; but you're still so mean against me. But I won't lose that easily.
カードをセット。,I set this card.
カードを伏せるわ。,I place this card facedown.
気持ちよくしてあげるわ❤{防御カード}を攻撃！,I'll make you feel good.❤ Attack {防御カード}!
いいことしてあげる❤{防御カード}を攻撃！,I'll do something nice for you.❤ Attack {防御カード}!
もう一回行くわ！{使用カード}で{防御カード}を攻撃！,One more time! Attack {防御カード} with {使用カード}!
上級カードの力を見せてあげる。{使用カード}で{防御カード}を攻撃。,Show them the power of a high-class card. Attack {防御カード} with {使用カード}!
行きなさい。{使用カード}で{防御カード}を攻撃。,Go. Attack {防御カード} with {使用カード}!
ううっ、なにもできないわ。ターンエンド。,Ugh; I can't do anything. Turn end.
この手札じゃ…。くっ、ターンエンド。,This hand is... Ugh. Turn end.
ターン終了よ。,Turn end.
わたしのターンはおわりね。ターンエンド,I end my turn. Turn end.
これでおわり。ターンエンド。,I'm done. Turn end.
気持ちよくしてもらえるのに止めるんだ？\nふーん、がんばっちゃって。生意気ね❤,You could be feeling good; but you want me to stop? Hmm; so cheeky~❤ Do your best then.
ほら、手でいじってあげるわ。,Here; I'll tease you with my hand.
指をタコの触手みたいにからめてチンポをしこしこ❤ぐちゅぐちゅ❤,I'll jerk you off with my tentacle-like fingers.❤ Rub; rub~❤ 
ふふ、腰がふるえてる❤射精しそうなぐらい気持ちいいんでしょ？\nそのまま負けちゃいなさい。,Hehe; your hips are shaking.❤ You're feeling so good that you're going to cum; aren't you? Just go ahead and give in to this pleasure.
あなたのチンポ、袖の中に入れながらシコってあげる❤,I'll put your dick inside of my sleeves and jerk it.❤
何されているか見えない方が興奮するでしょ？\nぐにゅぐにゅって指を絡めてあげれば、\nほら腰が抜けそうなぐらい気持ちいい❤,It's hotter when you can't see it; right? My fingers around your dick will feel so good that your hips will give out.❤
すっごいびくびくしてるじゃない❤\n自分の大事なところを見えないところでいじられて喜んで、\n男って変態ばっかりね❤,You're shaking so much; aren't you?❤ To enjoy getting teased in your precious place while not being able to see it. Men really are perverts~❤
手コキでイかせてあげるわ。,I'll make you cum with a handjob.
指を亀頭に絡めて、ぐちゅぐちゅぐちゅ❤\nふふ、敏感なところいじめられて気持ちいい？,My fingers are stroking your glans.❤ Stroke; stroke~❤ Hehe; does it feel good to get teased on your sensitive place?
手でチンポ気持ちよくしてあげる。,I'll make you cum with my hand.
試合前にさんざんシコられてもう限界でしょ？\nさっさと出して無様に負けちゃいなさい。くすくす❤,You've reached your limit from getting jerked before the match; right? Go ahead; just shoot it all out and lose miserably. *Giggle*❤
両手で握ってしこしこ❤しこしこ❤\nどう？わたしの指の動き、かなり気持ちいいでしょ？\nランクアップしたばかりの初心者くんに耐えられるかしら❤,I'll grasp it with both of my hand and jerk it.❤ How is it? My fingers feel so good; don't they? I wonder if a newcomer that just ranked up can endure this.❤
くす❤腰が震えてる❤もう出しちゃうんだ❤,*Giggle*❤ It's already trembling.❤ It's gonna shoot out so soon.❤
試合前にわたしの提案を断っても、\nこうやって手コキで負けたら結局無意味ね❤\nほら、ほら、ほら。さっさとイってしまいなさい！,Even though you refused my proposal before the match; it's meaningless if you lose to a handjob like this in the end~❤ Come on; go ahead and cum!
わたしの手コキは腰が抜けるぐらい気持ちいいわよ❤\nマスターのことなんてすぐに忘れさせてあげるわ❤,My handjob feels so good it'll bring you down on your knees.❤ You'll soon forget about your master.❤
手コキだけじゃなくて足コキもわたし得意なの。,I'm not just good at handjobs; but also at footjobs.
ほら、こうして挟んで上下にごしごし❤\n土踏まずの圧力が気持ちいいでしょ？ふふふ…❤,Look; I'll step on it and rub it up and down like this.❤ Doesn't it feel good to get pleasured by the arch of my foot? Hehe...❤
あなたのチンポなんて足でいじめてあげれば十分よね。,Even my feet would be enough for dicks like yours.
両側からぎゅって押さえつけながら、たくさん擦ってあげる❤\n足の間で射精しちゃいなさい❤,I'll press down with both of my feet and rub your dick.❤ Go ahead and cum between my feet.❤
足コキで負けさせてあげるわ。,Just give in to this footjob.
せっかくの闘技場への初挑戦、\n足なんかでイかされたら屈辱よね？\n期待の新人マスターなら、これぐらい我慢しなきゃダメよ。,It'd be humiliating if you came from a foot at your first colosseum debut fight; wouldn't it? You're the highly anticipated newcomer; so you need to be able to endure this much.
でも、こうやって交互に足裏でしごいてあげれば…❤\nふふふ、腰が動いちゃうのよね❤\n足コキに屈服して無様な姿さらしちゃう？ほらほらほら❤,But if I alternate stroking with the soles of my feet like this...❤ Hehe; your hips started moving like that~❤ Will you yield to this footjob and reveal yourself in such a humiliating state? Come on; do your best~❤
しもべのモンスターなら、\nマスターくんの晴れ舞台、台無しにするわけにいかないわよね。\n足でしごかれたぐらいでイっちゃうなんて論外。,You're just a subordinate monster; so you can't be ruining your master's big moment on the colosseum. It'd outrageous for you to cum from my feet.
でも、激しくチンポごしごしされたら、\n頭のなかまっしろでしょ❤ほらほらほら❤\n足コキに負けて射精して、マスターくんの期待裏切りなさい❤,But when your dick gets rubbed intensely; your head goes blank.❤ Come on; lose to this footjob and betray your master's expectation.❤
ローション垂らしながら足でしごかれるの気持ちいいでしょ？,Does it feel good to be stroked by my feet dripping with lotion?
このローションにはわたしの魔力をしみこませてあるの。\nさらにわたしのモンスターの粘液を混ぜて作った、特製品♪\nサキュバスの体液ほどじゃないけど、快感増幅効果があるはずよ。,This lotion is seeped with my magic and mixed with my monster's mucus; it's a special-made lotion♪ It's not as effective as a real succubus body; but it can amplify the pleasure you take.
これで敏感になった亀頭を、うり、乱暴に足でごしごしごし❤\n強くこすってもローションのせいで気持ちよくなっちゃうわね。\nあは、どんどん腰が浮いてきてる❤,Now for the sensitive glans; I'll rub you roughly with my feet.❤ No matter how rough I do it; the lotion will turn it into pleasure. Ehe; your hips are starting to rise.❤
ローション足コキなんて、\n初心者マスターくんには快感が強すぎたかしら。\nチンポバカになっちゃたら、ごめんね❤うりうりうり~♪,I wonder if that lotion footjob was way too much for Mr. Newcomer.❤ Sorry that your dick turned all weird now~❤ Rub; rub~♪
もうイく？イっちゃう？\nふふふ、あなたの試合はここで終わりみたい❤\n足コキでさっさと射精しなさい❤ザーコ❤,You wanna cum? Hehe; looks like your match is going to end soon,❤ Go ahead and cum to this footjob.❤ Loooser~❤
敏感になった亀頭を、乱暴に足でごしごしごし❤\nあは、どんどん腰が浮いてきてる❤\n下級モンスターじゃ耐えられないかしら。くすくす❤,Now for your sensitive glans; I'll rub you roughly with my feet.❤ Ehe; your hips are starting to rise.❤ Is this too much for a low rank monster? *Giggle*❤
敏感になった亀頭を、乱暴に足でごしごしごし❤\nあは、どんどん腰が浮いてきてる❤\n上級モンスターでも足でこんなに感じちゃうんだ❤くすくす❤,Now for you sensitive glans; I'll rub you roughly with my feet.❤ Ehe; your hips are starting to rise.❤ Is this too much for a high rank monster? *Giggle*❤
両手で握ってしこしこ❤しこしこ❤\nどう？わたしの指の動き、かなり気持ちいいでしょ？\n{主人公}でも我慢するのは大変なんじゃない？,I'll jerk it with both of my hands.❤ How is it? The movement of my fingers feels so good; don't they? Even if it's {主人公}; it'd be hard to endure it.
闘技場では我慢できたのに\n公式試合じゃなければ負けちゃうのね❤\nほら、ほら、ほら❤先っぽぐちゅぐちゅいじめられて出しちゃえ❤,You were able to endure this on the colosseum; but you lost when it's an official match instead~❤ Come on; I'll tease the tip so just cum.❤
わたしに一回勝ってるのに、足なんかでイかされたら屈辱よね？\n期待の新人マスターなら、これぐらい我慢しなきゃダメよ❤,Even though you've won against me once; isn't it humiliating to cum from my feet? If you're the highly anticipated newcomer; you need to be able to endure this much.❤
しもべのモンスターなら、マスターを守るために頑張らなきゃ❤\n足でしごかれたぐらいでイっちゃうなんて論外❤,You're a subordinate monster; so do your best to protect your master.❤ You can't possibly cum from just my feet.❤
でも、激しくチンポごしごしされたら、\n頭のなかまっしろでしょ❤ほらほらほら❤\n足コキに負けて射精して、ご主人を守るのなんてやめちゃいなさい❤,But when your dick gets rubbed intensely; your head will go blank.❤ Come on; lose to this footjob and stop protecting your master.❤
これで敏感になった亀頭を、うり、乱暴に足でごしごしごし❤\n強くこすってもローションのせいで気持ちよくなっちゃうわね❤\nあは、どんどん腰が浮いてきてる❤,Now for your sensitive glans; I'll rub you roughly with my feet.❤ No matter how rough I do it; the lotion will turn it into pleasure. Ehe; your hips are starting to rise.❤
{主人公}みたいに強い相手でも、\nローション足コキはしっかり効果があるみたい❤\n気持ちよすぎてチンポバカになっちゃたら、ごめんね❤うりうりうり~♪,{主人公} looked like a strong opponent; but it seems the lotion footjob was quite effective.❤ Sorry that your dick turned all weird now~❤ Rub; rub~♪
くすくす❤\n気持ちよくしてくださいっておねだりしちゃうんだ❤,*Giggle*❤ You ended up begging to be pleasured.❤
1ターン目からおねだりしてもいいとは言ったけど、\nほんとにしちゃうなんてね。\nあなたにプライドってものはないのかしら❤,I did say that you can just beg on the first turn; but I didn't think you'd actually do it. Do you like not have any pride at all?❤
ふふ、少しは我慢したけれど、結局おねだりして負けちゃうんだ❤\n試合前にされた,Hehe; you endured it a little before the match; but in the end you still lost and begged me.❤
ううっ・・❤だって、はぐううっ・・・❤,Ugh...❤ That's because...❤
ごめんごめん❤ずっと粘液ローションに絡みつかれて\nもう我慢できないのよね❤,Sorry; sorry~❤ The lotion has been coiling on you. I bet you can't endure it any longer~❤
新人相手にかわいそうなことしちゃったわ。\nその分ちゃんと気持ちよくしてあげる❤\nほら、どうやってイキたいか、わたしに教えなさい❤,What a pitiful newcomer. I'll make sure to pleasure you.❤ So; how do you want to lose? Please tell me~❤
あら？その物欲しそうな目は何なのかしら❤\n「快楽には負けない」とか言ってたのに、\nへぇー、わたしに気持ちよくしてって頼んじゃうんだ❤,Oh; I was wondering what's with those longing eyes.❤ Even though you said "I wouldn't lose to pleasure" earlier; now you're asking me to pleasure you.❤
ぷぷっ、情けない❤\nカッコつけるなら最後までちゃんと貫きなさいよ。\n中途半端なのが一番カッコ悪いわよ？,Pfft; so pathetic~❤ If you said that just to look cool; then at least stick with it until the end. People who go back on their words are just the worst; you know?
あら？もうバトルはいいの？\nわたしに近寄ってきて、気持ちよくしてください、って\nそんなカッコ悪いこと言っちゃうんだ❤,Oh; is the battle over already? Approaching me and asking to be pleasured. That's so embarrassing.❤
やっぱり男の子はダメね❤一度ギンギンにさせられちゃったら、\n射精することで頭がいっぱいになっちゃう❤\nそのためなら初試合だって投げ出しちゃう❤,Men really are no good~❤ Once they get hard; their heads are filled with thoughts of cumming.❤ They'll even happily throw away their debut match.❤
まあ、あんまり言ったらかわいそうかしら❤\nだいじょうぶ、試合前にちょっかいかけた分、\nちゃんと気持ちよくしてあげる❤,Well; even though I said that; I do feel bad.❤ I did mess with you before the match; so I'll make sure to pleasure you properly this time.❤
ほらどうしてほしいのか、こびるように言ってみなさい❤\nあなたのしてほしいこと、特別にしてあげるわよ❤,So; how do you want to get pleasured? Please tell me~❤ Just for you; I'll do anything you ask of me.❤
あなたのマスターは初試合を頑張っているのに、\n手下がこれじゃどうしようもないわね❤,Even though your master is giving his best in his debut match; there's no way he can do anything with subordinates like this~❤
ほらどうしてほしいのか、言ってみなさい❤\n裏切ったご褒美に、あなたのしてほしいこと、特別にしてあげるわよ❤,Please tell me how you want to be rewarded~❤ I'm letting you choose as a special reward for betraying your master.❤
からみつく手コキ,Coiling Handjob
恍惚の足踏み,Ecstasy Stomping
なんでも,You decide
あは、手でさっきの続きをしてほしいの？\nいいわよ❤わたしの指の動きで、\nあなたのこと骨抜きにしてあげる❤,Ehe; you wanted to continue the handjob from earlier? Fine by me~❤ My fingers will make you go weak~❤
ふーん、手でいじめてほしいんだ❤\nわたしの手、絡みつくように動いてとっても気持ちいいの❤\nあなたもすぐ骨抜きになるわよ。くすくす❤,Hmm; so you wanted to get teased by my hands?❤ My hands will coil all around your dick.❤  It'll feel so good; you'll go weak from it. *Giggle*❤
あは、足で踏んでほしいの？\nくすくす❤ルーキーくんはマゾなのね❤,Ehe; you want to get stepped on? *Giggle*❤ So Mr. Newcomer is a masochist~❤
いいわよ❤その情けないお願いに応えて、ちゃんと踏んであげる❤\n足でしごかれて、たっぷり喘ぎなさい❤,Fine by me.❤ I'll grant your pathetic request and step on you~❤ Make sure to moan a lot~❤
あは、足で踏んでほしいの？\nくすくす❤主人を裏切ってまで頼むのが足コキとか、\nだいぶ変態じゃない❤このマゾ❤,Ehe; you want to get stepped on? *Giggle*❤ Betraying your master and asking for a footjob. You’re a huge pervert; aren’t you?❤ You pervert.❤
いいわ、やってあげる❤\n足で踏んでしごいて、たっぷり喘がせてあげるわね❤,Fine by me; I'll do it.❤ Make sure to moan a lot~❤
闘技場だと頑張ったのに、今日はもう負けを認めちゃうのね❤\nどうしたの？禁欲でもしてた？,You tried so hard in the colosseum; but you're admitting defeat so easily today~❤ What's wrong? Could it be you were abstinent back then?
いいわよ❤闘技場と比べればたいしてポイント入らないけど、\n勝ちを献上してくれるならありがたくもらっておくわ❤\nほら、どうやって負けたいのか言ってみなさい❤,Fine by me.❤ This doesn't give me many points compared to winning in the colosseum; but I'll happily take any free wins that present themselves to me.❤ So; tell me how you want to lose~❤
あなたのマスターはバトルを頑張っているのに、\n手下がこれじゃどうしようもないわね❤,Even though your master is giving his best in the battle; there's no way he can do anything with subordinates like this~❤
ふーん、手でいじめてほしいんだ❤\n知ってるでしょうけど、わたしの手、絡みつくように動いて\nとっても気持ちいいの❤あなたもすぐ骨抜きにしてあげる❤,Hmm; so you wanted to get teased by my hands.❤ Did you know? My hands coiling around feels really good.❤ You'll soon go weak from it; too.❤
ふーん、手でいじめてほしいんだ❤\nわたしの手、絡みつくように動いてとっても気持ちいいの❤\nあなたもすぐ骨抜きになるわ❤,Hmm; so you wanted to get teased by my hands.❤ My hand coiling around feels really good.❤ You'll soon go weak from it; too.❤
くす❤気持ちよさそうな射精❤\n出したあとも、腰を痙攣させて、そんなに余韻が残ってるんだ❤,*Giggle*❤ Seems you had such a pleasurable ejaculation.❤ Even after ejaculating; your hips are still shaking from the afterglow.❤
ご主人様を裏切ってまで得た快楽だものね❤\nみっともなくそこで震えて、少しでも長く楽しむといいわ❤\nくすくす❤,It's a pleasure you could only get from betraying your master~❤ Just keep shaking pathetically over there and enjoy it for as long as you can.❤ *Giggle*❤
くす❤どろどろに濃いのが出てきた❤\nわたしの足の動き、とても気持ちよかったでしょう？\nあなたのエナジー有効活用させてもらうわね。ふふふ❤,*Giggle*❤ It came out really thick.❤ Was my feet really feel that good? I'll make sure to put your energy to good use~❤ Hehe.❤
あっ、ああっ・・・。,Ah; ahh...
くすくす❤まさかそれがあなたの初動？\n開始早々自分からオナニー始めちゃうなんてどんな戦略なのかしら？,*Giggle*❤ To think that'd be your response. What kind of strategy is masturbating immediately after the match started?
ふふ…。戦略なんてないわよね❤\n頭の中チンポ気持ちよくなることでいっぱいになっちゃって、\nカードの使い方も考えられなくなっちゃったんでしょ？,Hehe... You obviously had no strategy to begin with~❤ The only thing in your dick-for-brains head is pleasuring yourself. You're not even thinking of using a card anymore; are you?
やっぱり試合前にシコシコしてあげたのが効いたみたい❤\nチンポいじられて寸止めされたら、男の知能はサル以下に落ちちゃう❤,As I thought; seems jerking you off before the fight was effective.❤ When a dick is teased and edged right at the end; their intelligence drops even lower than a monkey.❤
サキュバスにだって勝てたのに、\n卑怯なことしてきた相手に自滅敗北しちゃうぐらい頭空っぽ❤\nなんだかちょっとかわいそうかも❤くすくすくす❤,Even though you've beaten a succubus before; your opponent's dirty tricks made you so empty-headed you started losing on your own.❤ I kinda feel bad for you.❤ *Giggle*❤
試合前に服の上から触られただけなのに、\n早くイきたくてすぐに試合放り出しちゃう❤\n男ってチンポに脳みそがあるのかしら❤,I was only touching you over your clothes before the fight; and now you want to ejaculate quickly and threw the match away.❤ Men really only have dicks for brains.❤
ねえねえ、みっともなくシコシコしてないで何か言ったら？くすくす❤,Hey; why don't you stop jerking off and say something? *Giggle*❤
くすくす❤まさか開始早々自分からオナニー始めちゃうなんて。\nこんなみんなに見られている所で、恥ずかしくないの？,*Giggle*❤ To think you'd start jerking off on your own as soon as the match started. Aren't you embarrassed doing it here where everyone can see?
あは、耳まで真っ赤になっているじゃない。\n恥ずかしさはあるのに、チンポムラムラして我慢できなくなっちゃったんだ❤\nかっこわるーい❤,Ehe; you're turning red all the way to the ears. So you really are embarrassed; but you're so horny that you couldn't hold back.❤ That's so uncool~❤
やっぱり試合前にシコシコしてあげたのが効いたのかしら？\nチンポいじられて寸止めされたら、\n男は頭の中サル以下になっちゃうものね❤,Could it really be that jerking you off before the fight was this effective? As I thought; when a dick is teased and edged right at the end; their intelligence drops even lower than a monkey~❤
サキュバスにだって勝てたのに、\nわたしみたいなマスターに卑怯なことされて自滅敗北❤\nくすくす❤ちょっとかわいそうだったかしら❤,Even though you've beaten a succubus before; seeing a cardmaster like me made you so empty-headed that you started losing on your own.❤ *Giggle*❤ I kinda feel bad for you.❤ 
ねえねえ、みっともなくシコシコしてないで何か言い返したら？くすくす❤,Hey; why don't you stop jerking off and respond back? *Giggle*❤
あはは、ちょっとヤバいかもって思ってたのに、\nオナニー始めて自分から負けてくれるんだ❤,Ehehe; I thought this match might be rough; but you started masturbating and losing on your own.❤
バトルでいろいろいじられて、そろそろ限界だった？\nふふ、助かっちゃう❤これでなんとか黒星は回避できそうね❤,After all that teasing during the battle; I suppose you hit your limit? Hehe; thanks.❤ Because of that; I managed to avoid even more losses~❤
ん？耳まで真っ赤になっているじゃない❤\n恥ずかしさはあるのに、チンポムラムラして我慢できなくなっちゃったんだ❤\nせっかく実力もあるのに、もったいない❤,Hmm? You're turning red all the way to the ears. So you really are embarrassed; but you're so horny that you couldn't hold back.❤ Even though you have the strength. What a waste~❤
くすくす❤まさか自分からオナニー始めちゃうなんて。\nこんなみんなに見られている所で、恥ずかしくないの？,*Giggle*❤ To think you'd start jerking off on your own. Aren't you embarrassed doing it here where everyone can see?
あは、耳まで真っ赤になっているじゃない。\n恥ずかしさはあるのに、チンポムラムラして我慢できなくなっちゃったんだ❤\nかっこわるい❤,Ehe; you're turning red all the way to the ears. So you really are embarrassed; but you're so horny that you couldn't hold back.❤ That's so uncool~❤
試合前にシコシコされてここまで我慢できたのにね❤\nでも結局寸止めされたのがずっとうずいてて、\n耐えられなくなっちゃったのよね❤,You've kept enduring since getting jerked before the match up until now~❤ But in the end; you couldn't bear the constant throbbing from getting edged~❤
サキュバスにだって勝てたのに、\nわたしみたいなマスターに卑怯なことされて自滅敗北❤みじめー❤,Even though you've beaten a succubus before; seeing a cardmaster like me made you so empty-headed that you started losing on your own.❤ That’s so pathetic~❤ 
試合前はわたしの誘惑をはねのけたのに、\n結局我慢できなくなっちゃってオナニースタート❤\n強がっていた分、余計に男としてみっともないと思うわ❤,Even though you kept enduring since getting jerked before the match; in the end you couldn't bear it and started masturbating.❤ The fact you were pretending to be strong-willed makes you even more pathetic.❤
ねえねえ、これだけ言われているのに何も言い返さないの？\n「正々堂々戦う」んでしょ？シコシコしてないで何か言ったら？くすくす❤,Hey; why don't you say anything back? You wanted to "fight fair and square"; right? Why don't you stop jerking off and say something? *Giggle*❤
ううっ…❤くそぉ…❤,Ugh...❤ Noo...❤
あはは、悔しいのにチンポ触る手止まらないね❤\nばっかみたい❤,Ehehe; you look so frustrated; yet your hand isn't stopping.❤ Just like a fool.❤
ねえ、こんな負け方したら変な性癖ついちゃうんじゃない？\nわたしみたいな背の低い女の子に見下されながら、\n衆人環視の中でおちんちんをしこしこしこ❤,Say; aren’t you going to get a weird fetish if you lose like this? Getting looked down on by a short girl like me while jerking your dick in front of everyone.❤
はじめての闘技場の試合なのに度胸があるんだかないんだか❤\nわたしに笑われてるだけでも興奮と恥ずかしさで、\n心臓がバクバクいっておかしくなりそうでしょう？,Even if it’s your debut colosseum match; I can’t tell if you have the courage or not.❤ Even having me laugh at you is already getting you both excited and embarrassed. Your heart is pounding like crazy; isn’t it? 
そんな状態で射精したら、絶対もう普通の性癖に戻れないわ❤\n変態マゾがすっかり染みついちゃう❤\nそうしたらこの先の勝負だって勝てなくなるかもね…❤くすくす❤,If you ejaculate like that; you definitely won’t be able to go back to normal.❤ You’ll completely turn into a perverted masochist.❤ If that happens; I don’t think you’ll be able to win any of your matches anymore...❤ *Giggle*❤
あう、ううっ…❤,Ahh; ugh...❤
あはは、かわいい顔するじゃない❤言ってて楽しくなってきちゃった❤\nサキュバスにも勝った期待のルーキーなのに、\nそれがわたしの前で膝まづいてるなんて❤,Ehehe; what a cute face you’re making~❤ I’m having too much fun with you.❤ Even though you’re a highly anticipated newcomer who won against even a succubus; now you’re down on your knees in front of me.❤
つまりあなたには、\nサキュバスよりもわたしの方が魅力的だったってことでしょ？\nおちんちん我慢できなくなるぐらいわたしの方がエロかったのよね？,Which means; you were more charmed by me than by a succubus? Your dick can't hold back like this because I was too lewd; right?
くすくす❤ほらじーってあなたのするところ、見ていてあげる❤\nあなたの大事な初試合、わたしにゆがめられて、\nわたしのことで頭いっぱいになって、それで終わるのよ❤,*Giggle*❤ I'll make sure to watch.❤ As your precious debut match gets distorted by me; your mind will only be thinking of me; and it'll end just like that.❤ 
嫌なら手をとめてみなさい❤\nもう射精寸前だろうけど、ほら我慢して見せたら？,If you don’t like it; then just try stopping your hands~❤ I know you’re about to cum; but how about showing me you can endure it?
あっ、あっ、ああっ…❤,Ah; ah; ahhh...❤
ふふふ、止めるどころか手が早くなった❤\nそれじゃあほら、わたしの名前を呼びながらイキなさい。\n観客にも聞こえるように、オクタ様ぁ❤って言いながら射精するの。,Hehe; you’re going even faster instead of stopping.❤ Now then; say my name as you ejaculate. Say “Master Octa!❤” as you ejaculate so the spectators can hear it.
そうね、言ったら代わりにパンツ見せてあげるわ。\n射精する瞬間に合わせて、スカートをぴらってめくって・・・❤,Right; if you say it then in exchange I’ll show you my panties. Right when you ejaculate; I’ll lift my skirt...❤
あは、想像して扱くの早くなってるし・・・❤\nわかりやす～い❤\nくすくす❤マゾって単純❤,Ehe; you’re imagining it and jerking even faster...❤ So easy~❤ *Giggle*❤ Masochists are so simple-minded~❤
あっ、ああっ、もうダメ…❤イク❤\nお、オクタ…❤さまぁ❤❤,Ah; ahh; I can’t...❤ Cumming!❤ Master...❤ Octaaa!❤
うわぁ、ほんとに言ったわ。\nでもごめんね。パンツとか見せる気ないから。\nそんなことしなくても、ほら、耳元でこう言えば十分でしょ？,Uwah; you actually said it. But too bad; I’m not interested in showing you my panties. But even without that; here; saying this in your ear will be enough.
イ・ケ❤マゾ❤,Cum; you masochist.❤
はぅあ、そ、そんな、ああっ…❤,Haah; I can’t; ahhh...❤
あはは、たっぷり出しちゃった❤\n屈服射精は気持ちよかったかしら？対戦相手のこと様付けで\n呼んじゃうなんて、ぷぷ、期待の新人はずいぶんとお行儀がいいのね❤,Ehehe; you let out so much~❤ Did your submission ejaculation feel good? To even call your opponent "Master!"...❤ Pfft; the highly anticipated newcomer sure is obedient~❤
わたしの足にこんなにかけて・・・❤\n射精が終わった後のその幸せそうな表情…❤\nとっても間抜けな顔よ。くすくす❤,Letting out so much on my thighs...❤ You have such a satisfied look after ejaculating...❤ What a stupid look. *Giggle*❤
ふふ…、わたしでオナニーしちゃうの？\n期待のルーキーなんて言われているけど、\n手下のモンスターはたいしたことのないのね❤,Hehe... You started masturbating to me? Even though your master is the so-called highly anticipated newcomer; his subordinate monsters are no big deal~❤
マスターの大事な大事な初試合なのに、\n自分の快楽を優先して裏切りオナニー❤\nだめな手下を持ってマスターがかわいそう❤,Even though it’s your master’s precious debut match; you chose your own pleasure and betray him.❤ I’m feeling sorry for your master for having such useless subordinates.❤
ううっ…❤,Ugh...❤
いまだってバカにされて興奮している❤\nねえ、マゾモンスターはわたしのどこを見てオナニーしているのかしら,I’m making fun of you; yet you’re getting even more excited.❤ Mr. Masochist Monster. I wonder which part of me you’re masturbating to?
この短いスカートから伸びている脚？それとも器用に動く指先？,Is it my thighs showing from my short skirt? Or is it my dexterous fingertips?
わたし胸は小さいけれど、それ以外の場所を使えば\n結構エロい技での勝率も高いのよ。\n肌がすべすべして気持ちいいらしいわ❤,My boobs might be small; but even without them; I still get a lot of wins with my lewd techniques. My smooth skin apparently feels good~❤
ねえ、正直に言いなさい。\nわたしのどこをオカズにしているのか…。\n言えば近くで見せてあげる…❤,Hey; please tell me honestly. Which part of me are you masturbating to... If you tell me; I’ll let you get closer and see it...❤
ふーん、指が好きなのね。\nほら、じっくり見なさい、あなたがオカズにしている指よ❤,Hmm; so you liked my fingers. Here; look at them as much as you want. They're the fingers you’ve been jerking off to.❤
手コキするときみたいに\nわっかを作って上下に動かすのもいいけれど、\nそうね、せっかくだから…。,I can just make a ring and move it up and down like when I gave you a handjob; but well... since we’ve come this far...
あなたがイくのに合わせて指で裏筋をなでてあげる❤,I’ll stroke the frenulum as you ejaculate.❤
もう射精しそうなんでしょ？\nオナニー始めてから大して時間が経っていないのに、\nよわっちいチンポ❤,You’re about to cum; aren’t you? It hasn’t even been that long since you started masturbating either. What a weak dick~❤
あと５秒ぐらいってところかしら。\nほら、射精する瞬間に指でペニスをつつーっとなでてっと…❤,I’d guess you have around five seconds left. Here; I’ll run my fingers on your dick when you cum...❤
ふーん、脚が好きなのね。\nこのふとももとかで気持ちよくされたいんだ？,Hmm; so you liked my thighs. So you wanted to feel good with these thighs? 
ふふ…、顔の近くに脚が来たら、しごくの早くなった…❤\nほんと分かりやすいのね。変態❤,Hehe... When my thighs came close to your face; you started jerking even faster...❤ You’re so easy to understand; you pervert.❤
触るのはダメよ。あなたは見るだけでイクの。\nオナニーで負けちゃうようなザコモンスターにはそれで十分でしょ？,But you can’t touch them. You’re only permitted to see it. That’s enough for a small fry monster that’s gonna lose from masturbating; no?
好きなだけオカズにしなさい。\nふとももで顔やチンポを挟まれるのを想像して、\nたっぷりシコシコして・・・❤,So jerk off to them as much as you like. Imagine my thighs on your head or even holding your dick; and jerk off a lot...❤
さっさと射精しろ❤ザーコ❤,Go ahead and cum.❤ Looser~❤
へ？胸？あなたわたしの小さい胸が好きなの？\nぷぷっ、変わっている❤,What? My boobs? You like my small boobs? Pfft; you're so strange.❤
