default
シスター,Sister Maria
くすくす❤うわごとでおねだりしちゃってますね❤そんなによかったのですか？,Giggle~❤ Even in your delirious state; you’re still begging for more~❤ Did it really feel that good?
もちろん、"かわいそう"というのはあなたたちの価値観から考えた評価です。わたしたちの教えに基づけばこれ以上の性交も、"かわいそう"ではありません。,Naturally when I said “bad”; that’s based upon your own values. According to our beliefs; it would actually be good to continue our sexual activities.
カードマスターから戦う力である魔力を奪っても、それはむしろ"素晴らしいこと"。なぜなら男の人を戦いから遠ざけ、守ってあげているのですから。,Our faith believes that sexual activities which take away mana from male cardmasters are actually a wonderful thing. That is because it’ll keep men further away from the battlefield; and thus protecting them at the same time.
さて、どうしますか？あなたはわたしたちの教えに帰依しますか？もし帰依するのであれば、このまま続きをいたしましょう。,So; what will it be? Will you become a convert? If you choose to become one; then I shall continue to pleasure you.
さっきから切なげに震えているあなたのペニスは、もう答えが決まっているようですけれど。くすくす❤,But I think I know what your answer is since your dick has been trembling all this time. Giggle~❤
冒険をあきらめますか？,Give up on your adventure?
あきらめる,Give up.
あきらめない,Don’t give up.
彼女に負けたあと、彼女の提案を断ることができなかった僕は、彼女に更なる行為を望んでしまった。その結果、翌朝になるまで延々と彼女に"愛"を与えられ、すっかり彼女から離れられない体になってしまった。,After losing to her; I couldn’t resist her offer and wanted to be pleasured by her even more. I kept receiving her “love;” even after morning came. As a result; I couldn’t imagine being without her anymore.
少しでも長く彼女と触れあいたい…。一時でも離れていると、心が満たされない…。それほどに彼女に依存してしまった僕は、もう戦いの道を選ぶことができなかった。,I want to stay with her; even if just for a little longer... I feel so hollow when I’m separated from her for even an hour...I’ve become so reliant on her that I couldn’t continue fighting anymore.
ただ彼女に会うために神殿への寄付金を稼ぎ、時間を浪費していくだけの日々。,In order to meet with her; my days are spent making donations to the church and idly passing time.
うふふ、わたしに包まれるの、幸せですか…❤,Ufufu; aren’t you happy to finally be embraced by me once more...?❤
あなたが貯めた魔力とお金は、ちゃんとわたしたちの役に立ってますよ。こうして愛を感じるために、よく頑張っていますね❤,The mana and money you have donated has been very useful for us. You’ve worked very hard to be able to feel our love like this~❤
あなたがするべきことは戦いではなく、勤労と奉仕です。それがあなたに幸福をもたらすのです。,What you should be doing is not fighting; but working earnestly and selflessly devoting yourself instead. That is what will truly bring you happiness.
わたしと初めて出会ったときのギラギラとした目、戦いへの意志…、全部なくなってしまいましたね❤今では蕩けた表情でかわいい声をあげている❤,When we first met; you had an unwavering eye filled with such strong determination... and now it’s all gone~❤ Instead; you’re making cute sounds with that blissful expression~❤
悲しいですか？むしろうれしいですよね。あなたはそう、救われたのです❤,Are you feeling regret? No. Far from it. Aren’t you actually happy? You have found salvation; after all~❤
さあ今日もたくさん愛を与えてあげましょう❤愛をその身に受けて、たくさんの感謝を抱きなさい。くすくす❤,I’ll be giving you lots of love now~❤ Do not forget to be grateful when you receive my “love.” Giggle~❤
はひぃっ…❤シスター様ぁ…❤❤,Hahieee...❤ Yes; Sister...❤❤
妹のために強くなるという目的も忘れ、ただただシスターに甘えるだけで時間が過ぎていく…。この退廃から抜け出すことはもうないのだろう。,I’d completely forgotten about becoming stronger to find my sister and spent my days being pampered by Maria instead... There is probably no escaping this indulgence anymore.
こうして僕の物語はむなしくその幕を閉じたのだった。,And thus the curtain closed on my story.
