default
シルヴィア,Sylvia
あら、やる気を取り戻したの？\nそんなにビクビクさせて、\nイクまでおっぱいの中にいれば気持ちよく出せたのに…❤,Oh; did you regain your fighting spirit? But you were twitching so much. If you had just stayed between my breasts until you came; you could have had such a wonderful release...❤
ま、いいわ。１ターン目からこれだけ快感を与えられて、\nこのハンデでわたしを倒すのなんて無理でしょう？\n少しあなたの敗北が遅くなっただけの話よね。くすくす❤,Well; that's fine. After experiencing so much pleasure on the very first turn; there's no way you can beat me with a handicap like that; right? Your defeat was only delayed a moment. *Giggle*❤
くす❤もうイクのね❤\nほら、最後は大きく揺さぶってあげる❤全部出しなさい❤,*Giggle*❤ You're about to cum; aren't you?❤ Here; I'll give you big pumps to finish this.❤ Let it all out~❤
あら、意外と頑張るじゃない❤\n気持ちよすぎて足をぷるぷるさせてるくせに、\nわたしを振り払えるんだ。,Oh; you're surprisingly resilient.❤ Even though your legs are trembling from pleasure; you still managed to shake me off.
いいわよ、せいぜいあがいて見せなさい。\nこの大事な一戦、簡単に終わったらおもしろくないもの。ふふふ♪,That's alright. You can struggle all you want. A battle this important wouldn't be interesting if it ended too easily. Fufufu~♪
わたしのパイズリテクに耐えられるかしら。,I wonder if you can withstand my paizuri technique.
学園一位の技で、あなたを骨抜きにしてあげる❤,I'll melt you into putty with the academy's top technique~❤
くす❤そんな声あげちゃうんだ❤おっぱいにもう負けそうね❤,*Giggle*❤ You're making such pitiful sounds.❤ You're about to lose to my breasts; aren't you?❤
おっぱい使うと、男の子ってすぐ腑抜けになっちゃうわよね❤ふふ❤,When I use my chest; boys become helpless so quickly.❤ Fufu~❤
あは、そんな顔しちゃって。気持ちよくなったら負けちゃうわよ❤,Aha; making a face like that... If you feel too good; you'll lose you know~❤
みっちり包み込むようにしごいてあげると、ほら、気持ちいいでしょ？,When I wrap my breasts tightly around you and stroke like this... See? It feels good; doesn't it?
わたしのパイズリに抵抗できるかしら❤,Can you resist my paizuri?❤
上下に激しく扱いてあげれば、くす、夢心地よね❤,If I stroke you vigorously up and down... *Giggle* You'll be in heaven~❤
腰が抜けるほどの快感を叩きこんであげる❤,I'll pound pleasure into you until your hips give out~❤
無敗のあなたも、このおっぱいに負けちゃうのかしら❤,Even someone 'undefeated' might lose to breasts like these~❤
マスターがそんな調子じゃ、勝負は見えたようなものね❤,With your master in the state he's in; the outcome of this battle is already clear to see; isn't it?❤
くす❤とろけた顔しちゃって、マスターのくせに情けない❤,*Giggle*❤ Making an expression that melted is so pathetic for a master~❤
あなたのマスターのことなんて、忘れさせてあげる❤,I'll make you forget all about your master~❤
快楽攻撃はモンスター相手にも効果的ね。くすくす❤,Pleasure attacks are effective against monsters too; you know. *Giggle*❤
出しちゃいなさい❤あなたが負けてもマスターが頑張ってくれるわ❤,Go ahead and cum~❤ Even if you lose; your master will keep working hard.❤
ううっ、気持ちよくしてください・・・❤\nおねがいします・・・❤,Ugh; please... Make me feel good...❤ Please...❤
はぁ・・・。\nまだ始まったばかりだというのに、もう我慢できないのね・・・。,*Sigh* We've only just started; and you already can't hold back; can you...?
戦闘前からずっとおっぱいを見てたわよね、あなた。\n当然気づいてたわよ、その視線。\n隠してるつもりかもしれないけれどバレバレだもの。,You were staring at my breasts the entire time before the match; weren't you? Of course I noticed your gaze. You might have thought you were hiding it; but you were completely obvious.
仕方ないわね。劣った相手を導くのも実力者のつとめ。\n学園最高のわたしの身体、たっぷりと味合わせてあげる❤\n夢見心地で果てなさい❤,I suppose it can't be helped. Offering instruction to inferior opponents is yet another duty of someone skilled. I'll let you fully taste the academy's finest body.❤ Climax in utter bliss~❤
ふふ、モンスターに指示を出すべきその口で、\nわたしに快楽をねだってしまうの？\nこんな大舞台なのにずいぶん恥ずかしい行為ね。,Fufu; you should be using that mouth of yours to give orders to your monsters; but you're begging me to pleasure you instead? What an embarrassing act on such a big stage.
はあ・・・。\n敵のマスターにおねだり？,*Sigh* Begging the enemy master already?
あなた、自分がなにをしているのか分かっているの？\nマスターの期待を裏切ってまでわたしに甘えたいのかしら？,Do you truly understand what you're doing? Is offering yourself to me really worth disappointing your master?
くす❤大切なエナジーを快楽のためにどぴゅどぴゅお漏らし❤\nプライドを捨ててまで貪った快楽の味はどう？\n聞くまでもないわね❤,*Giggle*❤ You're spurting out your precious energy in exchange for pleasure.❤ Was greedily abandoning your pride worth a taste of paradise? Not that even I need to ask~❤
わたしのおっぱいでペニスを挟み潰せば、\n男は簡単に骨抜きになってしまう❤\n無敗のルーキーのモンスターでも間抜け顔は変わらないみたい❤,If I crush a man's penis between my breasts; they turn to putty so easily.❤ Even the monster of the undefeated rookie ends up making the same stupid face~❤
あら、集中力を乱すだけのつもりだったのに、\n揺れてるおっぱいを見てるだけで射精しちゃったんだ？\nくすくす❤ずいぶん早漏なのね❤,Oh; I had only meant to disrupt your concentration; but you ended up finishing from just watching my bouncing breasts. *Giggle*❤ You're quite the premature ejaculator; aren't you?❤
所詮自分から快楽をねだるような従者だもの。\nそれに見合った薄っぺらな理性だわ❤\nふふ、バカにされてるのにまだビクビク喜んでる。このマゾ❤,After all; you're just a lowly servant who begs for pleasure; and your shallow sense of reason matches that perfectly.❤ Fufu; you're still twitching with joy; even as I ridicule you. You masochist~❤
んふ、ビクンビクンと痙攣しているのが伝わってくるわ。\nわたしのお尻悪くなかったでしょ？\nシンプルな上下運動ですぐ喘がされて男の体って単純よね。くすくす❤,Mmh; I can feel the way you're twitching and convulsing back there. My butt wasn't bad; was it? Men's bodies are so simple. Just a few strokes and they're immediately made to moan. *Giggle*❤
はい❤射精❤\nふとももに捕まえられて少ししか持たなかったわね❤\n脱力した体にストッキングの擦れる感触は荷が重かったかしら❤,That's it.❤ Let it all out~❤ You didn't last long after being caught by my thighs; did you?❤ Was the feeling of my stockings rubbing against your weakened body too much?❤
ちゃんと最後まで出し切れるように、ほらぎゅってハグしてあげる❤\nふとももぴったり閉じてあげるから、\n中身を根こそぎ吐き出してしまいなさい。うふふ❤,To make sure you can cum properly at the end; here; I'll hug you tight.❤ I'll close my thighs snugly around your cock; so spill out everything you have. Ufufu~❤
ふふ、靴の裏でびくびくびく❤\n大事なエナジー吐き出しながら、踏まれる喜びで震えちゃってるわ❤,Fufu; I can feel you twitching under the sole of my shoe.❤ You're trembling with joy from being stepped on; spurting out your precious energy~❤
敵におねだりして、挙句の果てに踏まれて果てて、\nすごく情けない終わり方ね❤ほら、見下ろしながら\nグリグリしてあげるから最後まで喘いでいいわよ。くすくす❤,Begging the enemy and ultimately being trampled to climax... What a pathetic ending~❤ Here; I'll grind your penis while looking down on you; so go ahead and moan all you want while I finish you off. *Giggle*❤
あぅぅ……❤,Ahhh...❤
えっとまさかオナニーしてるの？\nはぁ、無敗のルーキーが何をしているのかしら。,Wait; are you actually masturbating? *Sigh* What is the undefeated rookie doing?
「無敗」対「無敵」、そんな前評判で、\nわたしもこの試合をとても楽しみにしていたのだけれど・・・。,"Undefeated" versus "Unbreakable"... With such over-the-top publicity; I was really looking forward to this match; like everyone else...
ふふ❤始まってみれば、そこらの男よりも軟弱な理性だったわね。\nなに？そんなにわたしのことがタイプだった？\nそれともあなたはおっぱいフェチで、この爆乳に目がくらんだのかしら❤,Fufu~❤ But from the moment we began; your reasoning was even more fragile than an ordinary man's. What? Were you that into me?Or maybe you're just a breast fetishist who can't control themselves around a chest as large as mine~❤
いるのよね。学園の男どもでも、\n人のことおっぱいでしか見てないようなやつ。\nあなたがそんな有象無象の一人だっただなんて、とても残念だわ。,Guys like you are everywhere; you know? Even at the academy. Boys who can't see a girl past her breasts. I'm so disappointed you turned out to be just another among those worthless masses.
ううっ、うぅぅっ…❤,Nngh; uugh...❤
ふふ。ペニスをしごき始めたら、\n何を言われても止められなくなっちゃうのも一緒ね❤\nそんなに気持ちいいの？手を上下に動かして触ってるだけなのに。,Fufu; once you've started touching yourself; you just can't stop; can you? No matter what anyone says.❤ All you're doing is stroking yourself up and down. Does it really feel that good?
本当は赤ちゃんを作るための器官を、\n自分の手で触って、しこしこ❤しこしこ❤\n無意味な上下運動でこすってる❤,That's thing between your legs is meant to make babies; you know; and instead you're gripping it in your hand and just stroking away.❤ Stroking and stroking~❤ Rubbing it up and down so pointlessly.❤
パイズリとかフェラでイっちゃうところもそうだけど、\nペニスってどこか設計を間違ってるわよね。\n女の子の中だけでイくようになってれば、こんな負け方もしないのに。,It's the same as cumming from boobjobs and blowjobs; too. It's all so pointless. But I guess there's just something fundamentally wrong with how penises are designed. If they could only cum inside of girls; you wouldn't lose in such pathetic ways.
目で女の子を感じて、棒にほどよい刺激があって、\nたったそれだけで騙されて気持ちよくなっちゃう❤\n男の脳みそは欠陥だらけだわ❤,The moment your eyes land on a girl and your little rod gets the right stimulation; that's all it takes to trick you into feeling good.❤ Male brains are so deeply flawed~❤
ふふ、そんなことあなたに言われても困るわよね。\nはいはい。どうせ難しい話なんて頭に入ってこないでしょうし、\nさくっと終わらせてあげる❤,Fufu; though it seems me explaining all this to you hasn't helped at all. Fine; fine. More complex topics probably aren't something your head can register anyway; so I'll just finish this quickly~❤
わたしの胸を見なさい。\nあなたの顔のすぐ近くで、\nゆっくり上に持ち上げて・・・❤,Here; look at my breasts. I'll slowly lift them for you; right in front of your eyes...❤
あなたのペニスが挟みつぶされるのを想像しなさい。\n想像だけでイっちゃう欠陥チンポに、\nほら、快楽を叩きつけてあげるわ❤,Now imagine your dick being crushed between them. Since your cock's weak enough to cum from your own imagination; I'll slam this pleasure into you~❤
せーの❤だぷん♪,Ready?❤ Bounce~♪
くす❤あっけない❤\n無敗のルーキーくんに敗北を教えるのなんて、簡単だったわね❤,*Giggle*❤ How anticlimatic~❤ For an undefeated rookie; giving you a lesson in failure was a little too easy; don't you think?❤
うう・・・❤がまんできない・・・❤,Ugh...❤ I can't hold back...❤
あら、なにを始めたのかと思えば、オナニー？\n呆れた。マスターのくせにそんなはしたないことしてしまうのね。,Oh my. I was wondering what you were up to over there. Are you really masturbating? You're unbelievable; doing something so improper. And you call yourself a master?
歴史に残るようなこの試合で取る行動が、\n自分のペニスをいじることだなんて、ふふ、理解に苦しむわ❤\nそうまでしてシコシコ扱きたいものなのかしら❤,This is a once-in-a-lifetime match; and your chosen course of action is to play with yourself... Fufu; I'll never understand boys~❤ Do you really want to touch yourself that badly?❤
わたしのどこを見ながら扱いているの？\n手？脚？それともこの大きな胸かしら❤,What part of me; exactly; are you staring at that made you want to touch yourself? Is it my hands? My legs? Or perhaps these big breasts of mine?❤
男の子ってすぐこの胸にクギ付けになるわよね❤\n無敗の記録を放り出したくなるぐらいの魅力が、\nこの脂肪のかたまりにあるとは思えないのだけれど❤,Boys like you always get so fixated on my chest so quickly.❤ I can't even imagine the sort of appeal you see in these lumps of fat that would make you want to throw away your undefeated record.❤
どうせ、こんな風に揺らされたら簡単にイってしまうのでしょう？\n教科書で読んだわ。オナニーを始めてしまった男は、\n射精するまで手を止めることはできないって❤,Regardless; if I shake them like this; you'll cum without much effort; won't you? I read in a textbook that once a man starts masturbating; he can't stop until he ejaculates.❤
だから放っておいてもあなたは負けるのでしょうけれど、\nせっかくだから早くイかせてあげる❤\nわたしの胸に興奮してさっさと果てなさい❤,So while you'd lose even if I just chose to leave you alone; since we're here; I'll finish you quickly.❤ Lose yourself staring at my breasts and cum~❤
ああ・・・❤すごい、そんなゆさゆさされたら・・・❤❤,Ahh...❤ Amazing... I-if you bounce them like that; I'll...❤❤
やっぱり、扱くのが早くなってきた❤\n男を操るのって簡単だわ❤体を少し上下させるだけで、\n指を触れず魔力も使わずBランクマスターを仕留めれちゃうんですもの❤,Just as I expected; you've started stroking even faster.❤ Manipulating men is so easy~❤ Just a simple bounce of my body and I can take down a B-rank master without ever having to touch him or use my magic.❤
あなたには少し期待していたのよ？\nでも、結局、脳のつくりはほかの男と同じ❤\nいえ1ターン目で自滅するあたり標準以下かしらね。,Can you believe I had such high hopes for you? But in the end; your brain works just like any other man's~❤ No... Seeing as you're throwing the match away on the very first turn; you might actually be worse than that.
あなたには少し期待していたのよ？\nでも、結局、脳のつくりはほかの男と同じ❤\n溜まった性欲を前に自分を抑えることすらできない。,Can you believe I had such high hopes for you? But in the end; your brain works just like any other man's~❤ You can't even manage to control yourself against your pent-up sexual desires.
ほら、わたしのおっぱいで興奮しながら、イッていいわよ❤\n特別にこの谷間にかけることを許してあげる❤,Lose yourself staring at my breasts and cum~❤ I'll even give you the special treatment and allow you to shoot it between my cleavage.❤
わたしにじっと見られながらシコシコ扱くのが気持ちいいんでしょ？\n手をめいっぱい動かして勢いよく射精してしまいなさい❤\nくすくすくす❤,It feels good to stroke yourself while I watch you intently; doesn't it? Move your hand as fast as you can and ejaculate with all your might~❤ *Giggle*❤
ああっ・・・❤イクっ、あうううっ❤,Aahh...❤ I'm cumming! Aaagh!❤
うふふ、あっけない❤\nこれじゃ最強の盾もなにもあったものじゃないわね。\n勝手に負けて勝手にわたしを回復させてるんだもの❤,Ufufu; how pathetic~❤ I didn't even need my secret weapon; did I? You lost all on your own; and even healed me in the process~❤
こんなにあっさり終わるだなんて、\n試合が始まる前は思ってもみなかった。\nもしかして禁欲続きで溜まってたのかしら？くす❤,I never thought I would win this easily. The match never even truly began. Were you perhaps pent-up from abstaining for too long? *Giggle*❤
こんなにあっけなく終わるだなんて、\n試合が始まる前は思ってもみなかった。\n禁欲続きだったにしてもちゃんと戦って負けてほしいものね。くすくす❤,I never thought you would lose this pathetically. The match never even truly began. Even if abstaining for so long had left you pent up; I had hoped you'd at least put up a proper fight first. *Giggle*❤
あら、なにを始めたのかと思えば、オナニー？\nふふ、無敗のルーキーのモンスターなのに\nずいぶんあっけなく性欲に流されてしまうのね❤,Oh my. I was wondering what you were up to over there. Are you really masturbating? Fufu; despite being the undefeated rookie's monster; you're giving in to sexual desires far too easily~❤
男の子ってすぐこの胸にクギ付けになるわよね❤\n自分の主人を裏切りたくなっちゃうぐらいの魅力が、\nこの脂肪のかたまりにあるとは思えないのだけれど❤,Boys like you always get so fixated on my chest so quickly!❤ I can't even imagine the sort of appeal you see in these lumps of fat that would make you want to betray your own master~❤
やっぱり、扱くのが早くなってきた❤\n男を操るのって簡単だわ❤体を少し上下させるだけで、\n指を触れず魔力も使わず男のモンスターを仕留めれちゃうんですもの❤,Just as I expected; you've started stroking even faster.❤ Manipulating men is so easy~❤ Just a simple bounce of my body and I can take down any male monster without ever having to touch him or use my magic.❤
無敗のルーキーの使い魔なのに、脳のつくりは結局ほかの男と同じ❤\nほら、わたしのおっぱいで興奮しながら、\nイッていいわよ❤特別にこの谷間にかけることを許してあげる❤,You might be the undefeated rookie's familiar; but in the end your brain works just like every other man's.❤ Then go ahead. Lose yourself staring at my breasts and cum~❤ I'll even give you a special treatment and allow you to shoot it between my cleavage.❤
他の男の子たちも、この男みたいに情けなく負けちゃうのかしら。\n無敗のルーキーのデッキに限ってそんなことはないと思うけれど。\nくすくす❤,I wonder if you other boys will lose as pathetically as this guy. Though I have my doubts that would happen with the deck of the vaunted undefeated rookie. *Giggle*❤
うう・・・❤だめなのに・・・❤,Ugh...❤ I-I shouldn't...❤
あら、まさかマスター本人がやってくるだなんて。\nくすくす❤あなたも我慢できなくなってしまったの？,Oh my. It seems the master himself is coming over. *Giggle*❤ Have you reached your breaking point as well?
実況でも言っていたように、これは歴史に残る大事な試合。\nその試合に「オナニーで負けました」なんて記録が残るなんて、\nわたしだったら恥ずかしくて耐えられないわ。,Like the announcer said; this is a once-in-a-lifetime match. Going down in history for losing a match like that by masturbating... If it were me; I'd be too embarrassed to bear it.
でも、あなたはその恥よりも自分の性欲を優先してしまったのよね❤\n自分のしもべがわたしの胸を見て扱くのが、\nそんなにうらやましかったのかしら。くすくす❤,But you've decided to prioritize your sexual desire over that shame; haven't you?❤ Were you really that jealous that your servant got to stroke himself while staring at my breasts? *Giggle*❤
笑われて悔しい？それなら手を止めればいいのに。\nほら、もう試合はわたしの勝ちでしょう？\nさっさとイかせてあげる❤,Are you getting frustrated being laughed at? Then you should probably stop moving your hand. Just look at it. My victory is all but decided; isn't it? Then I'll finish you off quickly~❤
男の子が大好きなわたしのおっぱい❤揺らされてうれしい？\n女の身からすれば、無敗の記録を放り出したくなるほどの魅力が、\nこの脂肪のかたまりにあるとは思えないのだけれど❤,All you boys love my breasts so much.❤ Does watching them bounce make you happy? As a woman; I find it incomprehensible that there's enough appeal in theses lumps of fat to make you want to throw away your undefeated record.❤
学園で試合をした下級生の男の子も、\nすぐこの胸にクギ付けになっていたわ❤\nあなたみたいに扱きだしちゃう子もいた。でも・・・。,The underclassmen boys I battled at the academy got fixated on these breasts right away; too.❤ Some of them even started stroking themselves; just like you. But...
まさかこんな重要な公式試合でもそうなっちゃうだなんて。\nくす、思っていた以上に、男の子の体って、単純に出来ているのね❤,I never thought it would happen in such an important official match. *Giggle* Boys' bodies are so much simpler than I thought~❤
例えばほら、あなたの限界を迎えさせるのだって簡単よ。\n両手で弾むように上下に揺らしてあげれば、すぐイっちゃうでしょう？\nわたしの胸に興奮してさっさと果てなさい❤,For example; look; it's so easy to bring you to your limit. If I bounce them up and down with both hands; you'll cum right away; won't you? Lose yourself in my breasts and finish yourself off for me!❤
くす❤とろけた顔で勢いよく扱いちゃって、ほんとに単純❤\nいいわ。特別にこの谷間にかけることを許してあげる❤\n無敗の記録を投げうって、自滅しなさい。ルーキーくん❤,*Giggle*❤ You're stroking so vigorously; and with such a melted expression. You really are so simple~❤ Fine. I'll give you the special treatment and allow you to shoot it between my cleavage.❤ Go ahead and throw away your undefeated record; little rookie~❤
あら、あなたもオナニー？\nふふ、無敗のルーキーのモンスターなのにまたそうやって負けるんだ❤\nずいぶんあっけなく性欲に流されてしまうのね❤,Oh my. Are you going to masturbate as well? Fufu; you're meant to be the monster of the vaunted undefeated rookie; and yet you've decided to lose; just like the last one.❤ You're giving in to your sexual desire far too easily; don't you think?❤
ルーキーくんはよくこんな情けない手下をつれて連勝できたものだわ。\nえ？わたしの体が特別魅力的だった？\nふふ、本当かしら。情けない性根が透けて見える気がするけれど❤,It's amazing that the rookie could keep winning with such pathetic subordinates. Eh? My body was especially attractive? Fufu; do you expect me to believe that? I can see straight through your pathetic nature~❤
まあいいわ。あなたもさっさとイかせてあげる❤\n早く試合を継続したいもの。\nほら・・・❤,Well; fine. I'll make you cum quickly; too.❤ I'd really like to get on with the match. Here...❤
どうせ、こんな風に揺らされたらすぐにイってしまうのでしょう？\nさっきの男もそうだった。\n雑に胸を揺らされるだけで全然耐えることができない❤,If I shake them like this; you'll cum in no time; won't you? The last guy was no different. He couldn't endure watching my breasts bounce this wildly~❤
頭の中で子の胸に挟まれることでも妄想しているのかしら。\nそれとも胸が揺れているのを見たら無条件にペニスが固くなるの？\nふふ、男の子体って単純にできているのね❤,Are you fantasizing about having your penis squeezed between my breasts? Or did your cock get that hard from just seeing them bounce? Fufu; boys' bodies are so simple~❤
ふふ、扱くのが早くなってきた❤\nエナジーを出したらダメだって思っているのに、全然耐えられない❤\n性欲に脳を支配されたらそれでもうおしまい❤,Fufu; your started stroking even faster.❤ Even though you know you shouldn't offer your energy to me; you just can't resist; can you?❤ Once sexual desire takes control of your brain; it's all over~❤
…どうやらこれまでのようね。\nあなたの力、素晴らしかったわ。\nさあ、止めの一撃を。そしてその手に勝利の栄光を掴みなさい。,...It seems this is as far as I go. Your strength was magnificent. Now; deliver the final blow. Grasp victory tight in your hands.
（…あら？固まってどうしたのかしら…？ずいぶんと息が苦しそう…？\nそれによく見ると股間が膨らんでる…❤\nくすくす❤もしかして…。）,(...What's this? Why has he frozen like that...? And why does he seem to be breathing so heavily...? And; looking closer; his crotch is bulging...❤ *Giggle*❤ Could it be...?)
（胸をさり気なく持ち上げて…\nたゆん…たゆん…ぷるん…❤\nくす❤目が釘付け❤その上、ぴくんぴくんってペニスが脈打ってる…❤）,(I'll subtly lift my breasts and... Jiggle... Jiggle... Bounce...❤ *Giggle*❤ His eyes are glued to my chest~❤ And on top of that; his penis is throbbing...❤)
ねえ？無敗のルーキー？\nあなたへの称賛を受け取って欲しいのだけれど…❤,Excuse me? Undefeated rookie? If it's alright; I'd like to offer you my praise...❤
今の私に出来る精一杯のおもてなし❤\nこのおっぱいであなたに極上の賛辞を贈りたいの❤\n受け取ってくれるかしら？,This is the best hospitality I can offer you right now.❤ I'd really like to use my breasts; to show you how much you've impressed me~❤ Will you accept it?
・・・・・・っ。,.........
（くすっ❤近づいただけでペニスが暴発しそう❤\nあとたった一撃で勝てるのに、あちらも限界ということかしら…❤\nあとちょっと押せば大事な勝負すら投げ出してしまいそうね❤）,(*Giggle*❤ Just getting close like this is making his penis look like it's ready to explode.❤ He could end this with just one more attack; but it seems he's at his limit as well...❤ If I push him just a little further; he might just throw away even an important match like this~❤)
（ええと…教科書にはどう書いていたかしら？\n確か、おっぱいを意識させる為には揺らして、たわませて、弾ませる…❤\n…ふふ❤目が惚けてる❤あとひと押し…❤）,(Let's see... What did the textbook say again? To draw someones attention to your breasts; bounce them; sway them; make them jiggle...❤ ...Fufu~❤ His eyes are starting to glaze over~❤ Just one more push...❤)
・・・・・・っ！,.........!
止めを刺す寸前、試合前から見惚れていたおっぱいの存在感に圧倒されてしまう。,Just before delivering the finishing blow; you feel yourself overwhelmed by the presence of the breasts you'd been admiring since before the match.
試合中は彼女の学園一の強さもあって、逆にカードに集中できた。しかし、とどめの為に彼女に近づいた今、改めてその大きなおっぱいの存在感に息を呑んでしまう。そして、学園一のおっぱいに思わず視線が吸い込まれてしまう…！,During the battle; you could actually manage to focus on your cards since your opponent was the academy's best. However; now that you've approached her to deliver the final blow; you're once again breathless at the presence of those large breasts. Your gaze is involuntarily drawn to the largest chest the academy has to offer...!
ねえいいでしょう？無敗のルーキー❤わたし、あなたを尊敬してるの❤\n優れたカードマスターのAランク昇格を祝福したいだけ…❤\n学園一の実力を持つわたしの学園一おっきいこのおっぱいで…❤,Hey; it's alright; isn't it? Little undefeated rookie~❤ I really do admire you; you know.❤ I just want to celebrate such a skilled cardmaster's promotion to A-rank...❤ With these breasts of mine—the biggest in the academy; so befitting of the top student in town...❤
…さすがね。このおっぱいでも惑わせない。\n完敗よ。,...As expected. Even these breasts can't bewitch you. An utter defeat.
くすくす❤捕まえた❤\nこうなってはもうあなたもおしまいよ❤,*Giggle*❤ Caught you~❤ Now that I have you like this; you're finished!❤
うぅ・・・❤❤❤はぅぅぅ・・・❤❤❤,Ugh...❤❤❤ Hahhh...❤❤❤
腰をギュッと抱いて、おっぱいをペニスにむぎゅむぎゅむぎゅ❤\nほら気持ちよすぎて脱力しちゃうでしょ？,With me hugging your waist so tightly; my breasts are squishing against your penis~❤ How is it? It feels so good you're going limp; doesn't it?
これまでえっちな技術にはそこまで重点をおいてなかったけれど、\nその評価を改める必要がありそうね❤\nくす❤まさかこのレベルの強者にも通用するだなんて❤,I haven't focused that much on lewd techniques up until now; but I may need to reconsider that approach; huh?❤ *Giggle*❤ I never thought it would work on someone as strong as you~❤
んぐぅっ❤だめだ、あと少しだからっ❤\nあと一撃でっ・・・❤❤,Nghhh.❤ No... Just a little more!❤ Just one more attack...❤❤
あら？まだこらえようとしているのかしら？\nさすがは無敗のルーキー❤最後まで諦めない心の強さ。素敵だわ❤\nでも、勝つのはわたしよ❤,Oh? You're still trying to hold back? I'd expect nothing less from the undefeated rookie~❤ That mental fortitude to never give up until the very end... It's wonderful.❤ But I'm the one who's going to win today.❤
彼女のおっぱいがズボン越しに僕のペニスにこれでもかと押し付けられる。そのあまりにも甘美な感触に体中が一気に弛緩してしまう。,Her breasts pressed against my penis through my pants; threatening to crush it with their weight.. The sweet sensation overwhelmed my body; causing me to go limp.
あ、ああっ・・・❤,Ah; ahhh...❤
くす❤もう武器を持てないのね❤\nくたぁってわたしに倒れ込んで、\n体中がふにゃふにゃ❤,*Giggle*❤ You can't even hold your weapon anymore; can you?❤ Your whole body's gone limp; collapsing against me so helplessly~❤
わたし、ここまで追い詰められたのは初めてなの❤\nだからあなたには私の初めてをあげる❤\n受け取ってね❤わたしの初めての『本気』パイズリ❤,This is the first time I've ever been pushed this far.❤ So as I reward; I'm going to give something no one else has ever gotten.❤ So please accept this.❤ My very first 'serious' paizuri~❤
ズボンのふくらみから察するに亀頭はここでしょ？\n一番敏感なところを重点的にふわふわおっぱいで磨いてあげる❤\nほら❤ずりずりずりずり♪,Judging from the bulge in your pants; your tip must be right here; right? I'll focus here; attacking your most sensitive spot with my soft; plush breasts.❤ Here I go!❤ Rub rub rub rub~♪
ああっ❤\nそ、そんな、服の上からで、こんなにっ❤はひぃっ❤,Ahhh!❤ N-no! Even through my clothes; i-it's too much...❤ Agh!❤
ふふ、とどめを刺せると思ってあなたのバリアが緩んでいたもの。\nバリアをおっぱいでこじあけながら挟んでしまえば、\n服越しでも途方もない快感でしょう？,Fufu; you thought you could deliver the finishing blow; so you let your barrier drop. Now that my chest has pried past your defenses and I've wrapped my breasts around you like this; even through our clothes; the pleasure must be incredible; right?
ほら、ほら、ほら❤左右交互にもみつぶしてあげる❤\n無敗のルーキーは、わたしの本気の動きに何回耐えられるかしら？,Alright; here I go~❤ I'll knead my breasts left and right.❤ How many times can the undefeated rookie endure my moves now that I'm serious?
はひぃっ、あっ、だめっ❤\n勝てるところだったのにっ❤ああっ❤とまらなっ❤❤,Haah; ah; no!❤ I was so close...❤ Ahhh!❤ I-I can't hold back...❤❤
ふふ、ズボン越しなのに精液がたっぷり染みてきてる❤\nでもまだ終わりじゃないわよ。わたしはとどめはしっかり刺す方なの。,Fufu; even with your pants still on; your cum is soaking through~❤ But I'm not done yet. I'm the type of girl who always makes sure to finish my opponent's off.
念入りに搾りだしてあげるわ❤\nほらほらほら❤柔らかい爆乳に押しつぶされて、\nエナジー全部吐き出してしまいなさい❤,I'll milk you completely~❤ Come now; that's it; take this!❤ Get crushed by my soft; massive breasts and spill out all your energy for me!❤
はひぃ、あぐうぅ・・・❤❤,Haah; aghhh...❤❤
くす❤本気パイズリとはいえ、こんなに連続して出してしまうなんて❤\nさっきまで負けそうだったのが嘘みたいね❤,*Giggle*❤ I know I'd gotten serious; but to cum this many times in a row...❤ It's hard to believe I almost lost just a minute ago.❤
勝負は最後の一瞬まで分からない。\n油断して心のバリアを緩めてしまったのが敗因ね❤\nもっと言えば、おっぱいを前に欲情を我慢できなかったせい❤,I guess battles are unpredictable until the very last moment. Letting your guard down and relaxing your mental barrier was your downfall.❤ Or rather; it's because you couldn't control your lust when faced with my breasts~❤
あなたとのバトル楽しかったわ。\n次はこの胸に負けないように頑張りなさい。くすくす❤,Our battle was fun. But next time; try not to lose to my chest; okay? *Giggle*❤
闘技場のときもおっぱい見てたし、\nあなたもどうせこれが好きなんでしょう？\nパイズリ、パイズリってバカみたい。,You were staring at my breasts during the arena match; too. You really like this sort of thing; don't you? You're so obsessed with paizuri... It's sorta silly.
あなたのペニスもとっても気持ちよさそう❤\n靴でぐりぐりされてうれしい？バトル中なのに、頭真っ白になっちゃう？\nくす❤そのまま射精して、わたしの足に負けていいわよ❤マゾくん❤,Your penis looks like it's feeling good; too.❤ Were you that happy to be ground under my shoe? We're in the middle of a battle; but your mind's still going completely blank; isn't it? *Giggle*❤ Then go ahead and cum; just like that. You're more than welcome to lose to my feet.❤ You masochist~❤
バトル前から胸に見とれているような人は、\nこうしてあげれば、もう戦えなくなるでしょう？,You've been captivated by my breasts since before the match even began; so if I do this; you won't be able to fight anymore; will you?
ふふ、あっけない。\n強いのに今日はおっぱいですぐ負けちゃうわ❤\n１ターン目で終わっちゃう、あんっ❤,Fufu; that was pretty anticlimactic. You might be strong; but today you lost to my breasts so quickly.❤ Looks like it's over on the very first turn. Ahhn~❤
