default
メルティスライム,Melty Slime
ペニスを襲う快感は凄まじく、途中から完全に夢見心地だった。絶頂するたびに、メルティスライムのことがどんどん魅力的に見えて、まるで女神でも見ているかのように思えた。,The pleasure assaulting my penis was intense; and from a certain point onward; I was entirely in a dreamlike state. Each climax made Melty Slime seem even more enchanting; as if I were gazing upon a divine goddess.
快楽が頭のすべてを占めて、僕は何をしようとしていたのか、どこに向かっていたのか、何もかも忘れてエナジーを吐き出し続ける。,The pleasure filled my entire mind; making me forget everything I was trying to do or where I was going; as I continued to expel my life force without a care.
しかし、そんな甘いひと時がいつまでも続くはずもなく、だんだんと体が干からびていき、腕に力が入らなくなっていった。,However; such sweet moments couldn't last forever; and gradually my body began to wither; my arms losing strength.
くすくす❤体はもうボロボロ…❤\nでも、全然苦しくないね❤,*Giggle*❤Your body is falling apart...❤ But it doesn't hurt at all; does it?❤
サキュバスに搾り取られて逝けるなんて、\nとっても幸せなことなんだよ❤\n,Being drained by a succubus is such a happy experience; you know.❤
スライムオナホでぐちゅぐちゅされると\n何度でもおちんちんイっちゃう❤\nかわいい、かわいい素直なチンポ❤,When the slime pussy squishes you; your weenie just keeps cumming over and over~❤ Such a cute; obedient little weenie~❤
ほら、わたしの手にもっとエナジー吐き出して❤\nロリコンチンポ、ぐちゅぐちゅ犯されて、\nあんたの命を、全部全部、射精するの❤,Come on; spill more of that energy into my hand~❤ Such a cute little weenie; teased; squished; and toyed with~ I'll make you spill every last drop of your life~❤
きゃはは❤\n止まらないね。イっちゃうね❤\n逝って終わっちゃうね❤ほら、イケ❤マーゾ❤,Kyahaha~❤ Can't stop; right~? You're gonna cum for me; huh~❤ You're almost there; huh~?❤Go on; cum for me~❤ Masochist~❤
耳をくすぐるようなメルティスライムの笑い声を最後に、僕は完全に意識を手放した。,As Melty Slime's mocking laughter echoed in my ears; I completely lost consciousness.
護衛していた商人がこのあとどうなったかの定かではない。こうして僕の人生は、小さな体をしたスライムのモンスターによって、あっけなくその幕を閉じたのだった。,I don't know what happened to the merchant I was escorting after this. Thus; my life came to an abrupt end at the hands of a tiny slime monster.
