default
魅惑のマーメイド,Seductive Mermaid
ほら、あなたのその固いペニスを胸に押し付けなさい❤\nそうそう、へっぴり腰でヘコヘコしてとってもみじめね❤,Go on; press that erect penis of yours into my chest.❤ Yes; that's it. Your arched posture looks so awkward and pathetic; don't you think?❤
でもそれじゃ気持ちよさも半減でしょう？\n中途半端で時間がかかるのも嫌だし、\nわたしのパイズリでしっかり抜いてあげるわ❤,But won't the pleasure only feel half as good doing it like this? I don't want it to be a tedious and half-hearted experience; so I'll give you a proper ejaculation with my paizuri~❤
人魚の体で天国を味わいなさい❤ほら、ほら❤,Let this mermaid's body help you ascend to heaven.❤ Here I go~❤
うあっ、やわらかい❤おっぱいがゆさゆさってこすれてっ❤\nはひぃ❤きもちいいっ❤,Uwa; they're so soft.❤ Her breasts are shaking and rubbing against me.❤ Haah...❤ It feels so good.❤
くすくす❤わたしのパイズリそんなに気に入っちゃった？\n全身をびくんびくんって跳ねさせて、快感でのけぞっちゃってる❤\nまるで陸に上がった魚みたいね❤,*Giggle*❤ Do you enjoy my paizuri that much? Your whole body is twitching and trembling; and your back is arching from the pleasure~❤ You're like a fish flopping out of water; aren't you?❤
わたしに向かって歩いてきている間、\nずっとこうされたいって妄想していたんでしょう？\n大きな胸でむちゃくちゃに犯してほしいって❤,Were you fantasizing about doing this with me the entire time you walked over here? You wanted me to fuck you wildly with these big breasts of mine~❤
願いが叶ってよかったわね❤\nまあ本当のあなたの願いは、\n勝ってBランクに行くことだったんでしょうけど❤,It's wonderful; isn't it? You got your wish~❤ Well; your true wish was most likely to win and ascend to B-rank.❤
でも今では、こっちの方が大事よね❤ほら、ほら、ほら❤,But now; this matters more; doesn't it?❤ Here; how's this?❤
うふふ❤おっぱいを大きく揺らされるの気持ちいい？\nだぷんだぷんって波打って、ちっぽけなあなたのペニスじゃ、\n荒波にもまれて顔を出すこともできないわね❤,Ufufu~❤ Does it feel good when I jiggle my breasts? They're rippling and surging. Your little penis can't even peek out over these violent waves; can it?❤
パイズリの動きを少し激しくしただけなのに、\n谷間の中で先っぽが膨らんでもう射精しそうになってる❤\nおっぱいをかき分けようとしてる感触、ちょっとだけ感じるわ❤,All I did was increase the force of paizuri a bit; but I can feel the tip of your penis starting to swell within my cleavage. You're already on the verge of ejaculating.❤ I can feel it; the sensation as it tries to part my breasts like the red sea~❤
このぷくぅって膨らんでるところをこすられると気持ちいいのよね？\nほらほらほらぁ❤,It feels good when I rub this bulge; doesn't it? Rub; rub; rub~❤
あはは、大きな喘ぎ声❤\n闘技場の場でみんなに見られているのにいいのかしら❤\nねえねえ、恥ずかしくないの？くすくすくす❤,Ahaha; what a loud moan~❤ Is that really okay to do; here in the arena; where everyone's watching?❤ Hey; aren't you ashamed? *Giggle*❤
よくない、よくないけどっ❤\nああ、きもちよくてっ❤声もきれいでっ、あひぃっ❤,No... I can't... But...❤ Aah; it feels so good...❤ Her voice is so beautiful...❤
歌声もプレゼントして、もっと頭の中を狂わせてあげるわね❤\nささやくような甘い声でラブソングを歌ってあげる❤\n（ら～❤ら～❤）,Let me muddle your mind with my singing voice further.❤ I'll use my honey-like voice to whisper a sweet love song in your ear~❤ (Fa~❤ So~❤ La~❤)
うああっ、耳が、しあわせでぇ❤はひぃ、あひぃっ❤,Uwaa; my ears... It feels so good.❤ Ngh; hnnnnngh!❤
はへぇ、きもちいい、きもちよすぎるぅ❤あぅう❤,Ngh... Too good... It feels too good!❤ Ahhh!❤
うふふ❤出すだけ出したら気絶しちゃったわ❤\n男を眠らせるなら、子守唄を歌うまでもないわね❤,Ufufu~❤ You fainted as soon as it all came out~❤ I don't even need to sing a lullaby to put a man to sleep; do I?❤
それにしても、んっ、やっぱりこの精液おいしい❤\n魔力がこんなに濃く溶けてる精液ははじめてかも❤,Regardless; mmm... This semen truly is truly delectable~❤ This may be the first time I've tasted semen with such strong magical power.❤
あーあ、これだけ魔力が良質なら、\nしっかり頑張ればBランクだって目指せたかもしれないのに。\nもったいないわね❤くすくすくす❤,Awh; what a shame. With magical power this strong; you could very well have achieved B-rank if you worked hard; don't you think?❤ *Giggle*❤
その後、僕は闘技場の医務室で目を覚ました。部屋の外で受付さんと師匠が待っていてくれたが、今日は疲れも残っているだろうから反省会はまた明日しようということで、その日は分かれたのだった。,After the match; I woke up in the arena's infirmary. The receptionist and my master were both waiting for me outside; but since I was still exhausted from today; we decided to hold a review session tomorrow. We parted ways for the day.
翌日,The Next Day
僕は師匠と待ち合わせをして、テラスのあるレストランで食事をしていた。朝食を食べながら、師匠が昨日の反省点を教えてくれる。,I met up with my master for breakfast at a terrace restaurant. As we ate; she went over yesterday's match with me; pointing out what I should work on.
師匠はこのあと僕をカードショップに連れて行って、デッキを強化するカードを見繕ってくれるそうだ。あんなにみっともない負け方をしたのに、師匠は本当に優しい。,My master said she'll take me to a card shop after our meal to help find some cards and strengthen my deck. Despite my humiliating defeat earlier; she still showed me kindness.
ん・・・？あれは昨日の無敗のルーキー？\n横にいるのは、あの男の師匠だというコノハさんでしょうか。,Oh...? Isn't that the Undefeated Rookie from yesterday? And the person standing beside him must be his master; Lady Konoha; right?
（たまたま通りかかっただけですが・・・\nそうだ❤ちょっと面白いことしちゃいましょう。うふふ❤）,(What a coincidence... Oh!❤ Why don't I have a bit of fun? Ufufu~❤)
それでカードを使うときの魔力の込め方だけど、\n少し雑になっているところがあるから\nそこをこう改良して・・・。,The way you infuse magical power into your cards when using them is a little sloppy; so we'll be working on that.
（ふむふむ。さすが師匠。\nん・・・？何か聞こえるような。）,(I see; as expected of my master. Hm...? I think I hear something.)
（これは、歌・・・？\nあ、この声・・・❤もしかして・・・❤）,(Am I hearing a song...? Ah; this voice...❤ Could it be...❤)
それでデッキの中身だけれど、って、\n弟子、あなたちゃんと話を聞いてる？\nおーい、こっちを見なさい。,About the cards in your deck... Are you listening; my disciple? Hey; look at me.
わっ、立ち上がって急にどうしたの。\nえ？用を思い出した？\n師匠を置いてどこに行くのよ、わわっ。,Huh? Why'd you stand up so suddenly? Eh? Did you forget something? Where are you going? You're going to just leave your master here? Wh-...
・・・・。行っちゃったわ。\nなんなのよもう。,... He left. What's going on?
くすくす❤狙い通りこっちに来ましたね❤\nお師匠さんは放っておいていいんですか？,*Giggle*❤ As expected; you couldn't help but come over; could you?❤ Is it really alright to just leave your master like that?
師匠の退屈な話なんかより、わたしの歌を聞いていたいのよね❤,But you'd rather listen to my singing than your master's ramblings; wouldn't you?❤
あは、こくこく必死にうなずいてる❤\n大事な弟子を人魚にかどわかされて、あなたの師匠もかわいそうね❤,Aha; you're nodding your head so eagerly.❤ I feel bad for your master; having her disciple seduced away by a mermaid; don't you?❤
この声を側で聴きたかったのよね？\nら～❤ら～❤ら～❤,You wanted to hear my voice up close; right? Fa~❤ So~❤ La~❤
あううぅ・・・❤,Hnnngh...❤
耳に唇が触れそうな距離で、脳をとろけさせるようなきれいな歌声を聞かされる。さっきまで師匠とまじめな話をしていたのに、その内容は歌に洗い流されるように消えてしまって、いまはもう目の前の彼女のこと以外何も考えられない。,Her lips were so close; almost pressing against my ear. My mind felt hazy as I listened to her beautiful singing voice. I was having a serious discussion with my master just a moment ago; but it felt as if all her advice was being washed away by her song. Now I could only think about the woman in front of me.
くすくす❤恍惚とした顔を浮かべてます❤\n{自分}の歌声にもう夢中ですね❤,*Giggle*❤ You have such a blissful look on your face.❤ You've already become captivated by {自分}'s singing voice; haven't you?❤
別にあなたにちょっかいをかけなくてもよかったんですが、\n何だか面白そうだったのでつい❤\nせっかく呼んだことですし、魔力補給もさせてもらいますね❤,There was no need for me to pick on you; but it seemed like fun; so I couldn't help myself~❤ Since I've taken the trouble to call my monster out anyway; I'll use you to replenish my magical power.❤
{自分}、可愛がってあげていいですよ❤\nまだ朝ですが、一日動けなくなるぐらい搾り取っちゃいなさい❤,{自分}; give him plenty of service!❤ It's only morning; but I want you to milk him until he can't move for the rest of today~❤
それじゃあ、あなたの大好きなこのおっぱいでまたしてあげるわね❤,Well then; I'll be servicing you once again with these breasts you love so much; okay?❤
うふふ❤挟まれただけで腰が震えちゃってる❤\nこのまま置いておいても、\nこの振動だけで勝手に射精するんじゃないかしら❤,Ufufu~❤ Just having that thing between your legs squeezed is already causing your hips to tremble.❤ If I just stay like this; would the trembling alone be enough to make you ejaculate?❤
でも、そんなまだるっこしいことをする必要はないわね❤\n朝ごはん代わりに、さくっと搾り取ってあげる❤,But there's no need for something so troublesome.❤ I'll merely extract a quick meal from you.❤
昨日の今日だけれど、おちんちん、こうやってしてほしかったのよね❤\n負けたことの反省なんてどうでもよくて、\nまたパイズリされたいって考えてたんでしょう？,It's only been a day since our last encounter; but this is what your manhood has been yearning; isn't it?❤ Do you actually care about learning from your defeat; or have you only been thinking about wanting to experience my paizuri again?
違う？今度は勝とうと本気で思ってた？\nふふふ❤本当かしら❤\nそれなら歌につられないで、パイズリだって断ればいいのに❤,I'm wrong?❤ Did you really intend to beat me when you came over? Fufufu~❤ I doubt that.❤ If that's true; you should have refused my paizuri instead of getting lured in by my song~❤
ほらおっぱいの中でもうチンポが膨らんでる❤\nわたしのパイズリを楽しみにしていた証拠だわ❤\n我慢汁もどんどん出てきて、すっかり谷間がベトベト❤,I can feel your dick becoming erect between my breasts already.❤ It seems you were looking forward to this~❤ Your precum is already flowing so freely; it's making a mess in my cleavage~❤
お師匠さんとの反省会を邪魔しちゃったおわびに、\nおっぱいの中でおちんちんに「反省会」してあげるわね❤\n次は勝てるように、しっかりお勉強しましょう❤ぷっ、くす、くすくすくす❤,As an apology for interrupting your master's review session; I'll give your penis a review session from between my breasts; okay?❤ Study hard so you may win next time.❤ Ufu. Ahaha~!*❤
僕はカラカラになるまで搾り取られたあと、路地裏にそのまま放置された。エナジーを失って体を動かすことができず、１時間ほどしてからようやく動けるようになり、這うようにして宿屋に戻ったのだった。,After being drained empty; I was abandoned in the alley they'd lured me to. I had no energy left and couldn't move a muscle. It took about an hour before I finally had the strength to crawl back to the inn.
この出来事以降、僕はすっかり{自分}の与える快楽の虜になってしまい、その後何度彼女と戦っても決して勝つことはできなかった。,After that; I became completely addicted to the pleasure {自分} gave me. No matter how many times I fought her; I could never win.
それどころか、{自分プレイヤー}が魔力を必要としているときに、彼女の歌声で誘い出されて、使い勝手のいい魔力タンクのような扱いを受けるようになってしまった。頻繁に魔力を搾り取られ、当然修行やバトルにも支障が出るようになった。,Worse; {自分プレイヤー} would lure me out with her mermaid's singing voice whenever she needed to replenish her magical energy. I became a convenient magical reservoir. My magical power was drained so often that it naturally began affecting my training and battles.
もはや闘技場で連勝していたときの実力は僕にはない。{自分}以外の女性モンスターが相手でも、快楽攻撃に耐えられなくなり、すぐに射精してしまう。修行が不十分なため、カードの召喚や発動もしばしば失敗するようになってしまった。,I no longer had the skills from when I won battle after battle in the arena. Even when facing other female monsters besides {自分}; I could no longer resist their pleasure attacks and would cum in no time. With insufficient training; my summons and card activations would frequently fail.
こうして僕の戦績はみるみる悪化し、ついにはDランクにまで落ちていくことになる。当然魔族領に行くことなどできず、妹を救うための冒険は、その目的を果たせぬまま終わってしまったのだった。,My battle record rapidly deteriorated; and I ended up falling to D-rank. Naturally; I couldn't go to the Demon Realm; and my quest to save my sister came to an unsuccessful end.
無敗のルーキー敗れる！　Ｂランクの壁は高かったー！,The Undefeated Rookie has been defeated! The B-rank hurdle proves too high to surmount!
く、つ、つよい・・・。,Gah; too strong... She's way too strong...
{主人公}さんもお強かったですよ❤\n今まで戦った男の人の中では一番かもしれません❤\nそれに魔力も・・・❤,You were quite strong; Mister {主人公}!❤ You might be the strongest man I've fought so far.❤ And your magical power was...❤
（エッチな戦法が効かなかったら危なかったかも。\nそうだ、魔力の補給をしなきゃ・・・❤）,(Things might've become dangerous if my erotic attacks hadn't worked. Ah yes; I should replenish my magical power...❤)
{主人公}さんはまだまだ修行が足りないみたいですね❤\nでも魔力の質はピカイチかも・・・❤,Mister {主人公} still has a lot to learn; doesn't he?❤ Though the quality of his magical power was certainly first-rate...❤
（エッチな戦法に弱い時点でわたしの相手じゃありませんでした❤\nそうだ、魔力の補給をしなきゃ・・・❤）,(With how weak he is to erotic attacks; I'm his worst matchup. Ah yes; I should replenish my magical power...❤)
えっと、それじゃあ消耗した分、魔力をいただきたいのですが、\n{主人公}さん、いいですか？\nいやなら無理にとは言いません。マーメイド、お願いします❤,Um; then; I would like to have some magical power to make up for the power I'd spent. Is that alright; Mister {主人公}? I won't force you if you tell me not to. Mermaid; if you'd please~❤
任せて～❤\nそれじゃあ大人しく横になりましょうね～❤,Leave it to me~❤ Now then; lie down like a good little boy; won't you?❤
勝者には魔力をメロディ選手が魔力補充の権利を使うようです。\n{主人公}選手は耐えるしかありません。,It seems Melody will use her right as the winner to replenish her magical power. {主人公} has no choice but to endure it.
く、くそ・・・。,Ugh; damnit...
師匠たちの前で情けない姿を見せる訳にはいかない。\n僕は心を強く持ち、なるべく反応しないように決めた。,I couldn't let my master and everybody else see such a pathetic display. I steeled my will to not react to it.
押し倒して、おっぱいでおちんちんを挟んであげる❤,Now then; I'll press you down and squeeze your penis between my breasts.❤
ぱっふん❤おちんちん、全部埋まっちゃったわね❤\nどうかしら？わたしのおっぱい、気持ちいい？,Pompf~❤ Your dick completely disappeared; didn't it?❤ How are they? Do my breasts feel good?
・・・っ。,...
んふふ❤口は閉じててもチンポは正直ね❤\n嬉しいよ～ってお汁がでちゃっているもの❤,Fufu~❤ Even if you keep your mouth shut; your dick is still being honest.❤ It's already leaking out those happy fluids of yours~❤
パイズリされても声、我慢できるのかしら❤\nむにゅむにゅ❤ずりずり❤,Can you really hold your moans back; even when I give you a paizuri?❤ Rub rub~❤ Rub rub~❤
・・・っ❤・・・ぅっ❤,...❤ ... Nn~❤
直ぐにお汁で谷間がぬるぬるになっちゃった❤\nお陰でパイズリしやすいわ❤くすくす❤,My cleavage instantly became slippery from your juices.❤ Now it's even easier to give you a paizuri~❤ *Giggle*❤
上下にゆっくり、ゆっさ❤ゆっさ❤\nチンポがおっぱいに埋まってるから、\n少し揺らすだけで気持ちいいでしょう？,I'll slowly drag them up and down.❤ Rub rub~❤ Rub rub~❤ Since your dick is so buried under my breasts; just a bit of movement feels amazing; doesn't it?
敏感な先っぽも、カチカチの竿も、\n全部同時にむにゅむにゅ❤\n歯を食いしばって堪えちゃって、可愛い❤,I'm squishing both your sensitive tip and your rock-hard shaft all at once!❤ You're so cute; clenching your teeth and trying to withstand it.❤
パイズリの快楽に腰が浮きそうになるのを僕は必至に堪える。\n声を我慢しなくてはならないほど気持ち良いのが逆に助かった。,I did my best to stop my hips from reacting to the pleasure from the paizuri. It helped that I had to focus on suppressing my moans of pleasure.
このまま直ぐに射精してしまえば魔力補充は終わりだ。\nあと少しの辛抱だ、と羞恥を感じながらも自身を鼓舞する。,If I ejaculated now; then this magic replenishment session would be over. "Just hang in there a little more;" I told myself. It was beyond humiliating; but I swallowed my pride and pushed through.
勝ったはずのメロディの方が戸惑いを覚えてしまうほど\n淡々とした搾精に闘技場の興奮も冷め始めていた。,The excitement in the arena began to die down as the milking process became so monotonous that even Melody; the victor; becomes agitated.
も～うっ、つまらな～い。\nせっかく情けな～い姿が見れると思ったのに～・・・。,Ge-ez; this is bo-ring. I was so excited to see how his pathetic side; too...
（ど、どうしよう・・・。そうだ❤）\nマーメイド、た～っぷり魔力を貰いましょう❤\nアレ、お願いします❤,(Wh-what do I do... Oh; I know!❤) Mermaid; let's extract plenty of magical power.❤ Do "that"; if you would~❤
くすくす❤わかったわ❤\nねぇ、あなた知ってる？\n射精できないのって、と～っても気持ち良くて、苦しいってこと❤,*Giggle*❤ Understood.❤ Say; did you know? Being prevented from ejaculating is as pleasurable as it is painful.❤
言ってる意味が分からないかしら？\nうふふ❤それじゃあ体験させてあげるわ❤,Do you understand what I'm saying? Ufufu~❤ Then; allow me to demonstrate~❤
んんっ❤,Nn~❤
パイズリ、激しくしてあげる❤\nゆっさゆっさ❤ゆっさゆっさ❤\n早漏チンポはもう限界ね❤,I'll give you a vigorous paizuri.❤ Rub rub~❤ Rub rub~❤ Your premature ejaculating dick is already at its limit; right?❤
びくびくして射精するつもり満々❤\nだ・け・ど❤射精したらだ～め❤,You're trembling; fully ready to shoot it all out.❤ How-e-ver~❤ You must not ejaculate~❤
ぅぅっ❤　なっ！？,Nn~❤ Hm!?
間違いなく絶頂したはずなのに射精できず、僕は目を見開いてしまう。,I was sure I'd climaxed; yet I couldn't ejaculate. My eyes widened in surprise.
今、イッたでしょ～❤\nなのに射精できないなんて、不思議ね～❤\nうりうり～❤おっぱいでもっとずっちゃお❤,You climaxed just now; didn't you~❤ Yet you failed to ejaculate. Strange; isn't it?❤ Go on; go on~❤ I'll pleasure you some more with my breasts.❤
んひぃ❤な、なんでぇ❤,Hnghh~❤ Wh-why can't I...❤
あなたが気づかないうちに魅了をかけたの❤\nだから私が許さない限り、イクことはできても射精はできないわよ❤,I've put you under my spell without you realizing it.❤ Now you can reach your climax; but you won't ejaculate unless I let you!❤
そ、そんな❤んあぁ❤,N... No way...❤ Ngaaah!❤
一回イったから亀頭がもっと敏感になったのかしら❤\nおっぱいを浮かしてゆさゆさ❤\n敏感亀さんを集中攻撃よ❤,Did the tip of your penis become more sensitive after climaxing once?❤ What if I push my breasts up and jiggle them?❤ Can your little turtlehead withstand such a concentrated attack?❤
うふふ❤腰が跳ねちゃった❤\nもう声も我慢できないみたいね❤\nアンアンって可愛い声が漏れちゃってる❤,Ufufu~❤ You're actually thrusting your hips~❤ You can't hold back your moans any longer; can you?❤ You're letting out such cute noises~❤
素直に反応してくれるとわたしもやりがいがあるわ❤\n身体を捻って左右にむにゅむにゅ❤これもいいのね❤,It feels rewarding when I hear someone respond so honestly.❤ I'll sway my body and squish your penis left and right.❤ This will feel good too; okay?❤
や、やめ❤ああ、ああぁぁ❤,St-stop!❤ Aah; aaaaaah!❤
やぁ～ん❤情けない声出てるぅ～❤,My~❤ What a pitiful voice~❤
びくびくして面白～い❤もっとやっちゃえ～❤,It sounds so shaky and funny.❤ Let's keep going~❤
声援には応えないと、ね❤\n思いっきりパン、パン❤パン、パン❤\n腰におっぱいを叩きつけましょう❤,You have to respond to the audience's cheers; don't you?❤ Slap; slap; with all my might...❤ Slap; slap~❤ I'll slam my breasts against your hips.❤
おっぱいの中でチンポ、すっごい暴れてる❤\n白いの出したいよ～って言ってるみたい❤\nでもまだダメよ❤,Your dick is pulsing so much inside my cleavage.❤ It's as if it's screaming out its desire to release its white liquid~❤ But not yet!❤
イクと敏感になるのは魔力が溜まっているからなの❤\n何回も射精させるより一回で済ませる方が楽だからーー,The reason you become so sensitive when ejaculating is because you have a lot of magical power built up.❤ It's easier to make you cum out one big load rather than multiple small ones.
あ、またイクの？いいわよ❤\n射精は出来ないけどね～❤,Ah; did you reach your climax again? That's wonderful!❤ But you still can't ejaculate yet; okay?❤
あああぁぁぁ❤,Aaaaaaaaah!❤
えっと、どこまで話したかしら？\nそうそう、一回で済ませる方が楽だから、\nあなたの限界までチンポに魔力を溜めるの❤,Let's see; what was I saying? Ah; yes. It's easier to do it in one go; so I'll let the magical power in your dick build up to its very limit~❤
声を堪えて、直ぐに出して終わろうとしたでしょう？\nそんなつまらない事を考えるからオシオキされてるのよ❤,You tried to hold your moans back and end this right away; didn't you? This is your punishment for having such pointless thoughts!❤
って、あら？どうしたの❤\n腰をへこへこさせておっぱいにチンポすりつけて❤\n射精したくて堪らないって顔をしてるけど❤,Hm? What's this?❤ You're arching your back and rubbing your dick against my breasts.❤ It seems like you're getting eager to cum~❤
お、お願い❤もう、イカせてぇ❤,P... Please...❤ Just; let me cum already...❤
涙まで浮かべちゃって、可愛い❤\nそうね、その顔と声に免じてこれで許してあげる❤,You even have tears in your eyes. How cute~❤ Very well; with that face and that voice; I suppose I'll forgive you.❤
さぁ敏感チンポに意識を集めて❤\n谷間から精液が噴き出すくらい、たくさん出して❤\n少なかったらもう一回よ？,Now; focus on your sensitive dick.❤ Release your semen until it gushes out from my cleavage.❤ If you don't release enough; perhaps we'll have to do this all over again?
はい、びゅっ❤　びゅっ❤　びゅ～っ❤,Go ahead. Swish~❤ Swish~❤ Swiiiish~❤
あ、あああっ❤ひぃっああああ❤,Ah; aaaaaah!❤ Gyyyyaaaaaaaaaaah!❤
お・・・❤う・・・❤ひぃ・・・❤,Ohh...❤ Ugh...❤ Ngh...❤
ああん❤３回分の濃厚な魔力がこもった精液・・・❤\n本当に溢れるくらい出してくれたのね❤\nそんなに射精止め、良かったのかしら❤,Ahn~❤ Three loads of thick; magical semen...❤ You really did let it out until it overflowed; didn't you?❤ It seems edging you proved to be very effective~❤
・・・あら、気を失ってるわ。\nちょっとやり過ぎたかしら、くすくす❤,... Oh dear; he's unconscious. Perhaps I overdid it. *Giggle*❤
わぁ、凄い上質な魔力ですね❤\n流石は期待のルーキーさん。・・・これっきりは惜しいかもしれないです❤,Wow; that's some incredibly high-quality magical power.❤ As expected of such a promising rookie... It'd be a shame if this was the last time~❤
意識を失った僕は、その後闘技場の医務室で目を覚ました。真っ先に芽生えたのは、マーメイドにイカせてと懇願する無様なところを、受付さんと師匠に見られた羞恥心だった。,I passed out and woke up in the arena's infirmary. The first thing that came to mind was the feeling of shame that my master and the receptionist had seen me in such a pathetic state; begging the mermaid to let me ejaculate.
ごっそりと魔力を奪われてしまい、フラつく足で医務室を出る。ここまで魔力を失ったのは初めだ。そのうえ長くパイズリをされ続けたせいでチンコがジンジンして内股になってしまう。,With all my magical power stolen; my legs were wobbly as I left the infirmary. This was the first time I'd been drained of so much power. My penis was tingling from that long paizuri session; and my legs were stumbling over each other like a newborn deer. 
痛むチンコは嫌でも僕に射精止めを思い出させる。どんどん敏感になるチンコを大きくて柔らかなおっぱいでズラれる快楽はこれ以上がないと思えるほど鮮烈なもので。,The aching feeling in my penis told me I shouldn't cum anymore; but the pleasure from having my increasingly sensitive dick rubbed against her big; soft breasts was so intense that I couldn't stop thinking about it.
宿に帰っても、翌朝になっても、受付さんに慰められリベンジ頑張ってくださいと応援されても、師匠と特訓をしても、頭と体にこべりついた記憶をふとした時に思い出してしまう。,Even when I returned to the inn; even when the next morning came; even when the receptionist reassured me and encouraged me to do my best and get my revenge; and even when I was training hard with my master; the memories that had imprinted in my mind and body would resurface.
その反面、強すぎる快楽を知ったせいかイキ難くなり、Ｃランクのマスターには前より楽に勝てるようになった。しかし。,Ironically; after experiencing such intense pleasure; I had a harder time ejaculating. It became easier to defeat C-rank masters than ever before.
は～い❤どっぴゅん❤,Here you go~❤ Plompf~❤
あひっ❤ああああ❤,Uwaaaaa~❤ Aaaaaah~❤
くすくす❤あっという間に出ちゃったわね❤早漏さん❤,*Giggle*❤ It came out in no time; didn't it?❤ You premature ejaculator~❤
あ、あぁ・・・❤,Ah; aah...❤
マーメイドを前にするとたちまち射精してしまう身体になってしまっていた。,My body had changed. Now; the moment I stand in front of a mermaid; I instantly cum.
またも瞬殺！！勝者はメロディ選手！,Another instant kill!! Melody is the winner!
これで何度目でしょう！{主人公}選手、メロディ選手のマーメイドに手も足も出ません！,How many times has it been?! {主人公} is helpless against Melody's mermaids!
今日も私の勝ちですね❤\nそれじゃあ、早速魔力をいただきましょう❤,It's my win again; huh?❤ Now then; without further ado; let's extract some magical power~❤
もうすっかり恒例になっちゃったわね❤\nわたしに射精管理して欲しくて挑戦してるんじゃない❤,This has become routine by now; don't you think?❤ You're just letting me control your ejaculations without putting up a fight~❤
んああ❤おおぉぉ❤❤,Ngaah...❤ Oooooohh!❤
今日もいっぱい溜めて、溜めて❤\nまとめて搾り取ってあげるわ❤くすくす❤,You've saved up a lot this time as well.❤ I'll squeeze it all out at once~❤ *Giggle*❤
こうして僕はメロディ選手に挑んでは返り討ちにあい、マーメイドに魔力を搾られ続ける日々を送るようになる。,And so I started challenging Melody; solely so I could lose. I spent my days getting my magical power drained by mermaids.
それは僕がマーメイドに弱いと公言している事に他ならない。他のマスターがマーメイドを使うようになれば、僕は負けが続きランクも下がっていく。,Which was essentially announcing my weakness against mermaids. If other cardmasters were to start using mermaids; I'd end up losing until my rank dropped.
すっかり落ちぶれた僕はいつしか冒険者ギルドに足を運ぶのを辞めてしまった。こうして僕の冒険は終わってしまったのだ。,Having fallen from grace; I stopped showing up at the adventurer's guild. And so; my adventure came to an end.
