default
カーバンクル,Carbuncle
ああん、この人も強いや。このままじゃ負けちゃいそう。\nでもま、また同じ手でいけばいいよね♪,Aahn; this guy's strong; too. If this keeps up; I'm gonna lose. But maybe... Maybe I can just use the same trick again!♪
さっきは仲間がやられてるのを遠くから見てるだけだったでしょ？\n今度はちゃんとあなたの目の前で生おっぱい見せつけてあげるよ？\nぷるんぷるんゆさゆさって・・・♪,Last time; you had to watch your teammate get taken down from so far away; right? This time I'll give you a good look at my bare boobs; right in front of your eyes~♪ All bouncy and jiggly...♪
服がはち切れそうなぐらい大きなおっぱい❤\nどうせなら、近くで見たいよねー❤\nあは、ごくんってつば飲んじゃってる❤やっぱり興味津々だね❤,My breasts are so big they're about to burst out of my clothing.❤ If you're gonna look anyway; wouldn't you rather see them up close and personal?❤ Aha; you're gulping; too!❤ You're all so obvious~❤
あん！痛たた、ううっ、同じ手は通じないかぁ・・・。,Ahh! Oww ow! Ugh; I guess the same trick would never work twice...
はううぅ・・・❤すごい、えろい・・・❤,Hahhh...❤ Amazing; so sexy...❤
くすくす❤すでにうっとりしちゃってるけど、\nまだまだおっぱい遠いでしょ？ちゃんと側で見ないと損だよ❤,*Giggle*❤ You're already getting entranced; but my breasts are still so far away; aren't they? You have to see them up close or you'll really be missing out!❤
勝負を捨ててまで見たかった、わたしの生おっぱい❤\nほらぁ、顔の近くで揺らしてあげる❤,These are the bare boobies you wanted to see badly enough to abandon the fight.❤ Look; I'll jiggle them right in front of your face for you~❤
仲間が顔の近くでおっぱい揺らされてるの、\nうらやましかったんだもんね。\n自分も近くで見たいよぉって勝負中もそればっかり考えてたんでしょ？,You must have been so jealous watching your teammate get them bounced in front of his face; huh? Even while we were fighting; all you could think about was wanting to see them up close for yourself; right?
みんなで頑張って戦っても最後はおっぱい見せられるだけでぼろ負け❤\n大事なエナジーぴゅっぴゅしちゃって、ぜーんぶ回復されちゃう❤,Even when you all work so hard fighting together; in the end all it takes is getting shown some tits and you lose completely!❤ You'll squirt out all your precious energy and I'll recover completely!❤
ほらぁ、あなたの顔をむぎゅうって捕まえちゃうよ❤\nこんなに揺れてるおっぱいに捕まったら大変❤\n今よりもっと頭おかしくされて、おちんちん暴発しちゃう❤,Now; I'm gonna capture your face in a tight hug!❤ It would be terrible if you got caught by these jiggling breasts; don't you think?❤ Your mind would get even more messy and your cock would just explode~❤
くすくす❤\nやわらかおっぱいで隙間なく密着される感触❤すごかったでしょ❤\nおっぱいに顔をむにゅうって埋められて、すぐ射精しちゃったね❤,*Giggle*❤ The sensation of my pillowy boobs pressing against you; almost smothering you...❤ It felt incredible; didn't it?❤ Your face got buried between my breasts; and you just came right away~❤
あは、武器が地面に転がってる❤\n気持ちよすぎて落としちゃったのかな？\n,Aha; your weapon's clattering on the ground!❤ Did it feel so good that you dropped it?
みんなこの調子じゃ、絶対わたしに勝てないよ。\nだっておっぱい見せるだけで簡単に負けちゃうんだもん❤\nＢランクなのにおっぱいも克服できてなくて、よわいねー❤ふふ♪,At this rate; none of you will ever manage to beat me! I mean; you lose so easily just from me showing you my chest.❤ You're B-rank but you still can't overcome breasts. Pretty sad; don't you think?❤ Fufu~♪
あは、とろーんとした目で動けなくなってる❤\nわたしの宝石の光、脳に焼き付いちゃったかな❤くすくす❤,Aha; your eyes are all glazed-over; and you can't move at all~❤ Did the light from my jewel get burned into your mind?❤ *Giggle*❤
おっぱいをオカズに自滅射精❤\n大事なBランク初試合なのに、みっともなーい❤\nくすくす❤,Using my big boobies as inspiration for a pathetic; self-destructive climax...❤ This is your super important first B-rank match; and you're acting so disgraceful~❤ *Giggle*❤
ふふふ❤おっぱい見れて満足した？\nあと一撃が入れられなくておっぱいに敗北…❤\nかっこわるいね❤,Fufufu~❤ Do you feel happy after seeing my breasts? You couldn't land that final blow and lost to my chest instead...❤ How uncool~❤
あは、谷間がどろどろ～❤\n柔らかいおっぱいでチンポもみほぐされて、\nすっかりふにゃふにゃにされちゃったね❤くすくす❤,Aha; my cleavage is all sticky~❤ Your cock got kneaded by my super soft boobies so much it's gone totally limp; huh?❤ *Giggle*❤
あはは❤おっぱいで顔をぺちんって叩かれて射精しちゃった❤\nBランクの初試合なのに、\nすごく恥ずかしい負け方しちゃったね❤,Ahaha~❤ You came just from getting slapped in the face by my chest!❤ This is your first B-rank match; and you lost in such an embarrassing way~❤
くす❤指を挟まれてずりずりされて、我慢できずに射精しちゃった❤\nチンポが挟まれてるの想像して、勝手に気持ちよくなっちゃったの？\nへんたい❤,*Giggle*❤ You got your fingers caught between my boobs and stroked until you just couldn't hold back and came!❤ Did you imagine your penis getting squeezed between them and make yourself excited? Pervert~❤
くす❤わたしのブーツでぐりぐり踏まれてイっちゃった❤\n突き飛ばされた上に踏みつけられて喜ぶなんて、\nマゾっ気強いんだねー。マスターくん❤,*Giggle*❤ You came from getting ground under my boots.❤ You got knocked down and trampled on... and you actually enjoyed it! You really are a pretty big masochist; aren't you? Mister Master~❤
{自分}に敗れた僕は、エナジーを奪われ闘技場の地面に膝をついていた。,After being defeated by {自分}; I found myself drained of energy and kneeling on the arena floor.
あは、無敗のルーキーって言っても、\nそこまで強くはないんだねー。まあ男の子だし仕方ないのかな？,Aha; they call you the Undefeated Rookie; but it looks like you're not that strong after all. Well; I guess that's just how boys are; huh?
宝石の光を浴びせられたら、もう何にもできないよね❤\n女の子でもこの光で魅了できるけど、\n男の子相手の方がやっぱり効果的なの。,Once you get bathed in the light of my jewel; you just can't do anything anymore!❤ I can charm girls with this light too; but it's definitely more effective against boys like you.
足でチンポを踏みつけられて、\nこすったり、ぐりぐりってされたら戦えなくなっちゃう。\nやっぱりおちんちんがついてる時点で勝つのは厳しいんだね❤くすくす❤,Getting your penis stepped on and rubbed; having it ground under my foot... There's no way you could keep fighting after all. Having something that weak attached to you really makes winning difficult from the start; huh?❤ *Giggle*❤
大きいおっぱいを使ってあげればすぐに戦意を無くしちゃって、\nチンポをギンギンにされちゃう。あとはちょっと気持ちよくしてあげれば\nそれで勝てちゃうもんね。くすくす❤,All I have to do is use my big; soft boobiess and boys like you instantly lose the will to fight; getting their penis all rock hard instead. After that; making them feel good—even just a little—is all it takes to win! *Giggle*❤
ううっ・・・❤くそぉ・・・❤,Nghh...❤ Damn it...❤
んふふ❤悔しがってもカッコ悪いだけだよ❤\nわたしってね、宝石の精霊だから、美しいものが好きなの。\n逆に醜いものはきらーい。,Nfufu~❤ Acting bitter now just makes you look even more pathetic; you know. And you see; as a gem spirit; I love beautiful things. But 'ugly' things? I detest them. Ugly hearts and minds; too.
今のマスターくんは醜いね❤\n負けたのに負けが認められなくて、そんな顔でわたしをにらみつけて。,Right now you're acting really 'ugly'; mister!❤ You lost; but you can't accept defeat; glaring at me with that mean face.
醜いあなたには罰を与えちゃいまーす❤\nほら、わたしの額を見て？幸せになる光を照射～❤,Since you're so 'ugly'; I'll have to punish you~❤ Here; why don't you have a look at my forehead? I'll shine my light of happiness; just for you~❤
はうっ❤あっ、あっ、ああっ・・・❤❤,Hahhh.❤ Ah; ah; ahhh...❤❤
くすくす❤光を浴びた途端、顔がとろーん❤\n何も考えられなくなっちゃったね❤,*Giggle*❤ The moment my light hit your eyes; your face went all slack!❤ You can't think of anything anymore; can you?❤
負けて悔しいよーって思ってたのに、\nその悔しさを宝石の光でとろかされちゃって、\n頭の中、からっぽにされちゃった❤,You were feeling so bitter about losing just a second ago; but now my gem's light has melted away all that frustration; leaving your head completely empty~❤
ねーねー、いいこと教えてあげよっか。\n今のその状態で、女の子に射精させられちゃうとね、\n魅了の力が一段階深く染み込むの。,Hey hey; want me to teach you something neat? If a girl like me makes you cum in a state like this; my charm will sink even deeper into your mind.
そうなったら大変だよー。四六時中うっとりしちゃって、\nわたしのことがずーっと頭の中に浮かんじゃう。\nしばらく後遺症でまともにバトルできなくなるかもね❤,That would just be terrible; don't you think? You'd be in a daze all day long; with thoughts of me constantly floating through your mind. You might not be able to put up a real fight for a while just 'cause of all the aftereffects.❤
いやなら、ほら、射精しちゃダメだよ・・・？くすくす❤,If you don't want that; listen close. You can't cum; okay...? *Giggle*❤
あうぅっ、ずぶって入ってぇ・・・❤,Ahhhh; it's sliding in... So deep...❤
ねえ、カーバンクルさまって言って？\n言えば、おっぱい動かしてあげる❤,Hey; could you be nice and call me "Lady Carbuncle"? If you do; I'll move my breasts for you~❤
このとろふわのおっぱい、ずりずりって動かしてほしいでしょ？\nおちんちんすっごく気持ちよくなれるよ？くすくす❤,You want these soft; fluffy boobies sliding up and down your little penis; don't you? Wouldn't that just make it feel so good? *Giggle*❤
はひぃ、カーバンクル、カーバンクルさまぁ・・・❤,Hah; ahh... Carbuncle... Lady Carbuncle...❤
あは、もうちょっと悩むかと思ったけど、\nすぐ堕ちちゃった❤\nわたしのやわらかおっぱい、そんなによかったんだ❤,Aha; I really thought you'd put up more of a fight; but you gave in so quickly!❤ My soft boobs were really that good; huh?❤
射精したらまずいって教えてあげたのに、\n空っぽの脳みそには難しい話だったねー。\nくすくす❤,I told you it would be bad if you came; but I guess that was too complicated for your empty brain to understand; huh? *Giggle*❤
それじゃあ、ほら、おっぱいをずりずりずり♪,Well then; here; time to start sliding my breasts up and down~♪
あっ、あっ、あっ、きもちいいっ❤すごい、ああっ、\nカーバンクルさまぁ・・・❤,Ah; ah; ah; it feels so good.❤ Amazing; ahhh... Lady Carbuncle...❤
わたしのおっぱいふわふわでしょ？\nとってもやわらかいから、チンポに、もちって吸い付いてきて、\n足腰立たなくされちゃうよね❤,Aren't my breasts just the fluffiest? They're so pillowy and soft; so they cling to your penis tight; making your legs go weak~❤
気持ちよくて気持ちよくて、\n上下に動かされるたびに、腰が踊っちゃう❤\nずりずり、ずりずりってされて、脳みそ溶けちゃいそうになる❤,It feels so good—so incredibly good—every time I move them up and down; your hips start shaking.❤ Being rubbed like this makes all the boys' brains just melt~❤
宝石の光なしでも、男は骨抜きになっちゃう柔らかおっぱい❤\nそのうえわたしに魅了されているあなたは、\nパイズリの快感が何倍にもなってるもんね❤,Even without the light from my gem; these soft boobs make any man putty in my hands.❤ And since you're already charmed by me; the pleasure from this titjob is multiplied several times over~❤
くすくす❤あへぇってよだれ垂らしてみっともなーい❤\n醜いのがもっと醜くなってるよ～❤\nお客さんたちにそんな顔見せちゃっていいのかなー❤,*Giggle*❤ You're drooling and making such a pathetic face!❤ The 'ugly' in you is getting even uglier~❤ Is it really okay to let all these people see an expression like that?❤
あは、醜いって言われたくない？\n別に顔が嫌いとかじゃないの、潔くないのがきらいなだけ❤\nみっともないのが嫌いなだけ❤,Aha; you don't want to be called 'ugly'? It's not that I hate your face or anything; I just hate when people aren't a little more elegant.❤ I guess I just really hate pathetic behavior like this~❤
あなたも素直になって、カッコよく振舞えば、\n「きらい」じゃなくて「好き」って言ってあげるよ❤\nでも今日はもう無理かな❤完全に頭とろとろだし❤,If you become more honest and act a little cool; I might start to 'like' you instead of 'hate' you!❤ But that's probably too much to ask from you today.❤ After all; your head's already completely melted~❤
次わたしたちと試合するときにがんばろうねー。\nそのときちゃんとカッコよく戦えたら、「好き」って言ってあげる❤,Try your best next time we have a match; okay? If you can fight cooly then; I promise to tell you how much I 'like' you~❤
ほら、今日はもう終わりにしよう？\nもっと喘いで❤会場中に響くぐらいに、大きな声で喘いで❤\nあなたのみっともないところ晒しちゃえ❤,Okay then; let's finish this for today; okay? Moan more for me.❤ Moan loud enough for the entire arena to hear~❤ Show everyone just how pathetic you are!❤
わたしの額から、幸せになる光の重ねがけ～❤\nえいや❤,I'll give you another dose of happiness light from my forehead~❤ Eiya!❤
あひっ、あぐぅっあっ❤❤すごいっ、あうぅうっ❤❤,Ahh; aghhh!❤❤ It's so good; ahhhh!❤❤
カーバンクルさま、カーバンクルさまぁ❤❤あっ、あっ、ああああっ❤❤,Lady Carbuncle; Lady Carbuncle!❤❤ Ah; ah; ahhhhhh!❤❤
くすくす❤光をまた浴びせられて快感が跳ね上がったでしょ？\nもともと腰がとけちゃう気持ちよさなのに、\nそれがさらに数倍❤チンポおかしくなっちゃうね❤,*Giggle*❤ The pleasure really surged when I hit you with more light; didn't it? It already felt so good your hips were melting; but now it's so much stronger!❤ Your cock is going completely crazy~❤
こんなにやわらかくてふわふわしてるおっぱいなのに、\n快感は暴力的❤\n腰がガクガクして、気持ちよすぎてどうにかなっちゃう❤,My breasts might be extra soft and fluffy; but the pleasure is super violent.❤ Your hips are shaking so much; and you feel so good you're going insane~❤
射精していいよ❤\nどぴゅって搾り取られて、もっと魅了のかかりを深くしちゃお❤\nほらほらほら❤,Go on and cum!❤ Let me milk you dry and make my charm sink deeper and deeper.❤ Come on; that's it; shoot it out already~❤
あっ、あひいぃっ❤ああああっ❤❤❤,Ah; ahhh!❤ Ahhhhhhh!❤❤❤
くすくす❤ものすごい量射精しちゃったね。\nほら、あなたの大きな喘ぎ声で、何人も観客の人たちが笑っちゃってる。,*Giggle*❤ You spurted out so much. Look; your loud moaning made a bunch of the audience laugh.
わたしのマスターのファンの女の人たちが、\nあなたのことをくすくす、くすくす。\n笑われて恥ずかしいねー❤,My master's female fans are giggling at you; can you hear them? How embarrassing~❤
ふふ、顔が真っ赤になってるのに、\nそれでもわたしのこと蕩けた目で見つめちゃうんだ。\nわたしのこと完全に好きになっちゃったのかな？,Fufu; even though your face is bright red; you're still staring at me with those puppy-dog eyes. Have you completely fallen in love with me?
モンスターのこと好きになるなんて、かわいそう❤\nちゃんと人間の女の子を好きになったほうがいいよ。\nくすくすくす❤,Falling in love with a monster is so sad~❤ You really should fall in love with a human girl instead! *Giggle*❤
カーバンクルに見世物のように搾られた僕は、魅了の影響で体に力が入れられず、闘技場の医務スタッフに運ばれて試合会場を後にしたのだった。,After Carbuncle made a spectacle out of milking me; her charm left me unable to muster any strength in my body; so the arena's medical staff had to carry me away from the match venue.
その後、試合が終わったあとも彼女にかけられた術はなかなか抜けなかった。,Even after the match ended; the spell she cast on me just wouldn't fade.
彼女の愛らしい声、やわらかい胸、宝石のような赤い瞳。その姿が脳裏に焼き付いて、いま自分が何をしていたかも忘れ、うっとりと彼女のことを考えてしまう。,Her lovely voice; her soft chest; her ruby red eyes... Her image had been burned into my mind; making me forget what I was doing at times; and leaving me dreamily thinking about her instead.
道を歩ているときや宿屋にいるときだけではなく、試合中やクエストの途中にも、意識が頻繁に飛んでしまった。当然そんな状態でまともに戦えるわけはなく、大いにバトルに支障が出てしまった。,Not just when walking down the street or staying at inns; but even during matches and in the middle of quests; my mind would frequently drift away. Naturally; I couldn't fight properly like that; and it seriously interfered with my battles.
師匠によれば、２週間もすれば術の影響は抜けるだろうとのことだったが・・・。,According to my mentor; though; the spell's effects should fade within a couple weeks...
数日後,A few days later
あれ～？この間のマスターくん？\nどうしたの、そんな思いつめたような顔をして。\nあ、「お礼」を受けに来たのかな❤,Oh? You're the guy from the other day; right? What's wrong; you look upset. Ah; did you come to receive your "reward"?❤
試合のあと医務室に行っちゃったから\n結局お礼をあげないままになってたよね。\nえ？{自分}に会いたい？,You went to the medical room right after the match; so I ended up not giving it to you after all. Eh? You want to see {自分}?
ふふ、そっか。あの子の宝石の光、癖になっちゃったんだ❤,Fufu; I see. That girl's gem has you hooked; huh?❤
サキュバスのチャームと比べて、\n性欲を煽る力が弱めな分、心を奪う力は強いんだよね～。\nあんまり何回も浴びない方がいいと思うよ？,While it might be weaker at stirring up lust compared to a succubus's charm; it's stronger at stealing people's hearts; you understand? I don't think you should be exposed to it too many times.
宝石に魅入られた人は、そのためにすべてを失ったりするから。\n宝石の精霊のあの子も、そういう危うさがあるの。,People enchanted by gems sometimes lose everything chasing them. That gem spirit girl posses that same kind of danger.
ううっ、それでも・・・。おねがいします・・・❤,Ungh; still... Please...❤
まあ、盗賊を退治してくれた恩もあるから、\nそこまで言うならいいけど・・・。\nえい、{自分}を召喚。,Well ; I do owe you for dealing with those bandits; so if you insist that much... Here; summoning {自分}.
くすくす❤わたしに会いに来ちゃったの？\n次会うときは、闘技場でかっこいい姿を見せてくれると思ったのに。,*Giggle*❤ You came to see me? And here I thought next time we met; you'd be impressing me with your dashing demeanor in the area.
試合もせずにわたしにおねだりに来て、\nあは、まだ何もしてないのに目がとろーんってしてきちゃったね。\nわたしに会えてそんなにうれしいんだ❤,Instead of having a match; you came to beg me; and; aha; even though I haven't done anything yet; your eyes are already drooping. Are you really that happy to see me?❤
そんなんじゃ全然カッコよくないよ❤\n「醜い」のはきらーい❤,That's not cool at all!❤ I hate 'ugly' things.❤
ほら、また光を浴びせてあげる❤\n美しいものの魅力、何度でも脳に焼き付けてあげる❤,Here; let me bathe you in light again.❤ I'll make sure to burn the splendor of beautiful things into your brain over and over again~❤
はうぅっ・・・❤❤❤❤,Hahhh...❤❤❤❤
ほら、こういうお礼がいいんでしょ？\nまたおっぱいで挟んであげる❤\nふふふ❤,There; this is the kind of reward you want; right? I'll squeeze you between my breasts again.❤ Fufufu~❤
「醜い」だけのあなたは\nボロボロに壊しちゃってもいいよね❤くすくす・・・❤,Since you're nothing but 'ugly'; it's fine if I break you completely; right?❤ *Giggle*...❤
その後、彼女から「お礼」をたっぷり受け取った僕は、すっかり彼女の放つ光に依存してしまった。,After receiving plenty of my "reward" from Carbuncle; I became completely dependent on the light she emitted.
まだ魅了が抜けきっていない状態で深く魅了を重ねがけしたのが悪かったのか、数か月は魅了が抜けない体になってしまったのだ。,In hindsight; it was stupid of me to let her layer more of her enchantments while I was still under the previous charm's influence. Now my body won't be freed from her spell for months.
頭の中が常にぼんやりして、{自分}の体がまるで目の前にあるかのような強い妄想に支配される日々。特に、街行く女性が身に着けたアクセサリーの宝石を見たとき、その場にへたりこんでしまうほどの快感と幻覚に襲われるようになった。,My head was constantly hazy; dominated by strong fantasies; as if {自分}'s body was right in front of me. The worst was when I saw gems in accessories worn by women on the street. I would collapse on the spot; overwhelmed by pleasure and hallucinations.
そんな状況で数か月も我慢できるはずもなく、僕は魅了が抜けないうちから数日で音をあげ、{自分プレイヤー}さんのところに行って、何度も{自分}を召喚してもらった。,I couldn't endure something like that for months; so within just a few days after the charm didn't fade; I gave up and went to {自分プレイヤー}; asking her to summon {自分} over and over again.
最初はこころよく召喚してくれた{自分プレイヤー}さんも途中からめんどくさそうな顔をするようになり、それを頼み込んでなんとか召喚してもらう。無敗のルーキーとして活躍していたときの勇姿はすでになく、みじめで情けない姿だけがそこにはあった。,While {自分プレイヤー} was more than happy to summon her at first; she began looking annoyed when I would ask; and I had to beg her just to let me see Carbuncle. The valiant facade I had once had as an undefeated rookie was long gone; leaving only a miserable and pathetic lump behind.
カーバンクルは僕がどんどん「醜く」なっていくのをくすくすと笑い、胸や足で僕からエナジーを奪いながら、何度も魅了の光を僕に浴びせた。,Carbuncle only giggled as I became more and more 'ugly'; stealing energy from me with her chest and feet while bathing me in the light of her charm over and over again.
そんな日々が続き、とうとう来週にはモルゲンの大会が終わるという日になった。大会が終われば{自分プレイヤー}さんは西の村に戻ってしまい、もう{自分}を召喚してあげることもできなくなるという。,Life went on like that; until finally the day came when Morgen's tournament was set to end in a week. Once the tournament ended; {自分プレイヤー} would return to the western village; and would no longer be here to summon {自分} for me.
大会の間中なんども魅了を重ねがけしてもらい、戦績がぼろぼろになった僕に残されたものはなにもなく、{自分}に会えなくなることを深く苦悩し、嘆くことしかできなかった。,With nothing left of my mind after after having charm layered on me so many times throughout the tournament; and my record in shambles; I could only deeply anguish and lament about not being able to see {自分} anymore.
繰り返し光を受けすぎたせいで、僕にかかった魅了はもう数十年は解けることはないという。当然、妹をすくうために魔族領に行くことなどかなわず、マスターとして活躍していくこともできない。,Apparently—because of all the light she'd hit me with—the charm on me wouldn't fade away for decades. Naturally; going to the Monster's Domain to save my sister became impossible; and I could no longer be active as a cardmaster.
ただただ幻覚の中のカーバンクルの姿に恋焦がれながら、残りの人生を歩むだけである。こうして僕の物語はむなしくその幕を閉じたのだった。,I can only walk through the rest of my life yearning for Carbuncle; seeing her beauty in my hallucinations. Thus my story came to an empty end.
くす❤マスターなのに逃げないんだ？\n完全に棒立ちだね。もう勝負のことなんてどうでもよくなっちゃった？,*Giggle*❤ Aren't you the master? You should at least try and escape; right? You're completely frozen in place! Have you stopped caring about the match altogether?
くす❤全然逃げようとしないね❤\nおっぱいが近づいてきても、床にへたりこんで、あうあう言うだけ❤\nもう勝負のことなんてどうでもよくなっちゃった？,*Giggle*❤ You're not trying to escape at all; are you?❤ Even when my chest get close; you just collapse on the floor; moaning~❤ Have you stopped caring about the match altogether?
もう戦うのはおしまいにする？\n頑張って掛けられた術を振り払えば、頭の中少しはすっきりするかもよ？\n頑張って抵抗しなくていいの？,Are you done fighting? If you really try to shake off the spell cast on you; your head might clear up a little. Aren't you even going to try and resist?
闘技場ではわたしのマスターに勝てたのに、\nその勝利をオナニーなんかでふいにしちゃっていいのかな？\nあなたのファンの耳に入ったら、とっても恥ずかしい負け方だよ？,I know you managed to beat my master in the arena; but is it really okay to throw your victory away now by masturbating? If your fans heard about this; it would break their hearts.
Bランクマスター同士の大事な特訓バトルなのに、\nオナニーなんかでふいにしちゃっていいのかな？\n信頼してあなたを召喚したのに、裏切るなんてマスターがかわいそう❤,This is an important training battle between B-rank masters; you know. Is it really okay to just throw it away to masturbate? Your master trusted you enough to summon you; after all. You betraying him like this is so sad~❤
もうおっぱい以外見えないねー❤\n今が勝負の途中だとか、勝たないと恥ずかしいだとか、\nなんにも考えられないねー❤,You can't see anything but my chest now; can you?❤ You can't think about anything else. Not about being in the middle of a match; not about how embarrassing it would be to lose~❤
おっぱいをオカズに自滅射精❤\n一度はわたしたちに勝てたのに、みっともなーい❤\nくすくす❤,You used my chest to stroke yourself to exhaustion.❤ Even though you managed to beat us once before... How pathetic~❤ *Giggle*❤
あはは❤おっぱいで顔をぺちんって叩かれて射精しちゃった❤\n一度は勝てた相手にすごく恥ずかしい負け方しちゃったね❤,Ahaha~❤ You came from just getting your face slapped by boobs!❤ What an embarrassing way to lose to an opponent you managed to beat before; don't you think?❤
