default
フラワー,Flower
{使用カード}を発動！自分の場にほかのモンスターがいないとき地属性の下級モンスターを復活できるよ。,Activate {使用カード}! When there’s no monster on my field; I can resurrect a lower-class earth attribute card.
{使用カード}を発動！自分の場にほかのモンスターがいないとき地属性モンスターを墓地から復活！,Activate {使用カード}! When there’s no monster on my field; I can resurrect a lower-class earth attribute card!
{使用カード}を発動！キノコモンスターのレベル×{$downValue}ポイント相手の攻撃力をダウンさせるよー。,Activate {使用カード}’s effect! Lower the opponent’s attack power by all my mushroom monster levels x {$downValue} point.
{使用カード}を発動！キノコモンスターのレベル×{$downValue}ポイントだけ相手の力をダウン！,Activate {使用カード}’s effect! Lower the opponent’s attack power by all my mushroom monsters levels x {$downValue} point!
植物モンスターが攻撃されたとき、墓地の地属性カード２枚をコストにカードを発動！相手の攻撃力を半分にするよ！,When a plant monster is attacked; use 2 earth attribute cards from the graveyard as tribute to activate this effect! The opponent’s attack power is halved!
レベル４以下の植物モンスターが墓地へ送られたとき、{使用カード}を発動！手札を１枚捨ててそのカードを復活！,When you send a level 4 or below plant monster to the graveyard; activate {使用カード}’s effect! Discard 1 card from my hand and resurrect it on the field!
装備魔法カード発動！{使用カード}！,Activate magic equipment card! {使用カード}!
魔法カードを発動！{使用カード}！,Activate spell card! {使用カード}!
トラップカードを発動するね！{使用カード}！,Activate trap card! {使用カード}!
カードをセット。,Card set.
カードを伏せるね。,Card placed face-down.
いいことしてあげるねー❤{防御カード}を攻撃！,Let’s do something good～❤ Attack {防御カード}!
気持ちよくしてあげる❤{防御カード}を攻撃！,I’ll make you feel good～❤ Attack {防御カード}!
行くよ！{使用カード}で{防御カード}を攻撃！,Forward! Attack {防御カード} with {使用カード}!
むむむ、なにもできないなー。ターンエンド。,Mmm; I can’t do anything. End turn.
手札がきびしいなー。ターンエンド。,My hand isn’t looking good. End turn.
ターン終了。,Turn end.
わたしのターンはおしまい。ターンエンド,My turn is over. Turn end.
これでおしまい。ターンエンド。,I’m done. Turn end.
えー、気持ちよくなろうよぉ❤もったいなーい❤,Ehh～; let’s just feel good together～❤ What a waste～❤
きみの上にまたがってー、スカートの中におちんちんをごしょうたーい❤,I’ll ride on top you and invite your dick inside of my skirt～❤
ほらほら、パンツをたくさんこすりつけちゃうよ？おちんちんすぐに負けたくなっちゃうでしょ？くすくす❤,Hora; hora～❤ My panties is going to rub your dick a lot～❤ Your dick’s gonna lose immediately; no? Teehee～❤
スカートの中に興味ある？ほら、ぴらってめくって見せたりしてぇー❤,Are you curious about what’s under my skirt? Come on; flip it and see what’s underneath～❤
あはは、反応かわいいー❤目が釘付けじゃん❤命がかかった戦いの最中なのにパンツなんかに見とれちゃうんだ❤,Ahaha; your reactions are so cute～❤ You can’t take your eyes off of them～❤ Even though we’re fighting for our lives; you’re getting captivated by my panties～❤
ほら、こっちおいで～❤おちんちん、ここにたくさんこすりつけていいよ❤パンツに向かって腰ふりへこへこしてぇ、気持ちよくなろ？くすくす❤,Come closer～❤ Your dick is going to get rubbed a lot over here～❤ Thrust your hips on my panties; it’ll feel good～❤ Teehee～❤  
騎乗位みたいに上にまたがって搾り取ってあげる❤ほら、上に乗っちゃうよ？,I’m going to ride you like a cowgirl and squeeze you～❤ Here; I’m gonna get on top～❤
あは、押し倒されているのに抵抗よわーい♪サキュバスに気持ちいいことされるって思ったら体動かなくなっちゃったのかなぁ❤,Ehe～❤ Even though I’m pushing you down; you’re barely resisting it～♪ I wonder if your body isn’t moving because you’re thinking of getting pleasured by a succubus～❤
挿入はしないで腰をこすりつけるだけでイかせてあげる❤童貞のまま射精して、死んじゃえ❤死んじゃえ❤くすくす❤,I’m not going to insert it and make you cum from just my legs～❤ If a virgin cums from this; they’re gonna die～❤ Teehee～❤
ほらほら、上にまたがって素股でいじめてあげる❤こうやって腰をくねらせてっと…❤,Hora; hora～❤ I’ll ride you and tease you with my thighs～❤ I’ll move my thighs just like this...❤
あは、仲間のマスターが後ろで戦っているのに、おちんちんガチガチにされちゃうねー❤やってるのはただのエッチのまねごと❤こんなので勃起しちゃうんだー❤,Ehe～❤ Even though your ally is fighting so hard behind you; your dick’s already this hard～❤ What we’re doing is just pretend sex～❤ And yet you’re already so hard～❤
童貞くんにはわたしの腰の動き、気持ちよすぎるもんねー❤ちょうど来てほしいところに刺激が来て、おちんちんとろけちゃいそうだもんね❤くすくす❤,I bet just moving my thighs alone is already too stimulating for a virgin like you～❤ I bet it’s hitting all the spots you wanted and melts your dick away～❤ Teehee～❤
いいよぉ、そのまま夢心地のまま、仲間のマスターも裏切って、気持ちいいお射精しちゃおうね。きゃはは❤,Fine by me; just stay in ecstasy like that～❤ Betray your friend and feel good shooting it all out; kyahaha～❤
あは、あっという間におちんちんガチガチにされちゃったねー❤サキュバス相手にエッチのまねごと❤こんなので勃起しちゃうんだー❤,Ehe～❤ Before I realized it; your dick’s already this hard～❤ What we’re doing is just pretend sex～❤ And yet you’re already so hard～❤
本番なんてしなくてもおちんちんこすってあげれば楽勝みたい❤ほおら、あなたのマスターのことなんて、わたしのテクニックで忘れさせてあげる❤くすくす❤,Looks like your dick’s get satisfied so easily that I didn’t even have to insert it～❤ Here; I’ll make you forget about your master with my techniques～❤ Teehee～❤
おっぱいで挟んであげるね❤好きでしょ？パイズリ❤,I’ll squeeze you with my boobs～❤ You love titjobs; no?❤
ほら、挟まれたとたん、おちんちんすっごく喜んでるじゃん❤悪いサキュバス相手なのにおっぱい１つでガチガチになっちゃうんだもん❤ちょろいなー❤,Look; your dick is so happy from getting squeezed like this～❤ Even though you’re facing a bad succubus; even 1 pair of boobs will make you go rock hard～❤ What a pushover～❤
でも、わたしちょろいの大好きだよ❤ちょろマゾおちんちん、たくさんズリズリしてあげるからぁ、さっさとイっちゃってねー❤,But I do love pushovers～❤ I’ll give this pushover masochistic dick lots of squeezing; so hurry up and cum already～❤
村娘に化けて男の人から精を吸ってたんだけどね、やっぱり胸がおっきいから、ここで吸ってあげると喜ぶ人が多いんだぁ❤,Back when I was disguised as a villager girl and sucked on men; lots of them ends up satisfied since my boobs are huge～❤
みんなね、こんな風に挟んじゃえば、あへぇ❤ってすぐにバカみたいな声しかあげられなくなるの。あなたも顔がとろけてきてるね❤くすくす❤,When I squeeze them like this; everyone just goes “Ahnn～❤” immediately and can only make stupid moans. Your face’s also melting just like them y’know～❤ Teehee～❤
ねえ、後ろで戦っている仲間の女の子が気になる？でも、こっちに集中した方がいいよ。,Hey; aren’t you interested on that girl fighting behind you? But it’d be better if you focus on these.
ほら、わたしのおっぱいに集中して？服の上からでもわかる大きなおっぱい❤これを今からサービスでぇ…❤,Here; how about focusing on my breasts? I bet you can tell how large these are even through my clothes～❤ I’ll service you with these...❤
がっつり谷間見せつけちゃう❤あは、目が釘付けー♪かわいいじゃん❤マスターくんはこのおっぱいでパイズリしてあげたらどんな声で鳴くのかなぁ❤くすくす❤,I’m showing off my cleavages～❤ Ehe; your eyes are completely glued to it～♪ So cute～❤ I wonder what kind of moans you’d make when I give a titjob with these boobs～❤ Teehee～❤
ねえ見て見て？服の上からでもわかる大きなおっぱい❤これを今からサービスでぇ…❤,Hey; are looking at my breasts? I’m sure you know how big they are even through my clothes～❤ I’ll give you a service with these now...❤
がっつり谷間見せつけちゃう❤あは、目が釘付けー♪キミはこのおっぱいでパイズリしてあげたらどんな声で鳴くのかなぁ❤楽しみー❤,I’m showing off my cleavages～❤ Ehe; your eyes are completely glued to it～♪ I wonder what kind of moans you’d make when I give a titjob with these boobs～❤ I can’t wait～❤
パイズリで気持ちよくイかせてあげるね❤,I’ll please you with my boobs and make you cum～❤
わたしのパイズリってさー、叩きつけるみたいにやるから、普通より激しいらしいんだよね。でもおっぱいがとってもやわらかいからこれですっごく気持ちいいの❤,My titjob is pretty intense because I do it as if I’m slapping my boobs. But my boobs are very soft that it’ll feel really good～❤
マスターくんもこすられるたびに喘ぎ声出ちゃってる❤くすくす❤仲間の女の子に届くぐらい大きな喘ぎ声出しちゃって恥ずかしいー❤,You’re also letting out a moan everytime I rub～❤ Teehee～❤ Moaning so loudly that your friend can even hear it; so embarassing～❤
パイズリで気持ちよくイかせてあげるね❤よいっしょっと…❤,I’ll make you feel good with my titjob～❤ Here I go...❤
キミは何回耐えられるかなぁ❤仲間に届くぐらい大きな喘ぎ声出しちゃっていいよー❤ほらほらほらぁ❤,I wonder how many times you’ll be able to endure this～❤ It’s fine even if you moan so loud that your friend hears it～❤ Hora; hora～❤
くすくす❤おねがいきもちよくしてくださいって\nサキュバスに言っちゃうんだ❤\nわたしなんて楽勝なんじゃなかったの？,Teehee～❤ You’re begging for a succubus to pleasure you～❤ Didn’t you say that I’m going to be a piece of cake?
谷間をちょっと見せられただけで頭の中がクラクラ❤\nエッチなことしか考えられなくさせられちゃったね❤,Just showing a little cleavage is enough to overwhelm your head～❤ And now you can only think about naughty things～❤
男の子ってやっぱり弱い❤\nほらほらぁ、なにしてほしいか言っていいよー❤\nあっちの仲間にも聞こえるように大きな声でおねだりしようねー。くすくす❤,Boys really are weaklings～❤ Hora; hora～❤ Tell me what you desire～❤ And beg for it loudly so that your friend over there can hear it too～❤ Teehee～❤
くすくす❤おねがいきもちよくしてくださいって\nサキュバスに言っちゃうんだ❤\nいいのかなー、そんなこと頼んで❤,Teehee～❤ You’re begging for a succubus to pleasure you～❤ Is it really fine to make such a request?❤
向こうではあなたの仲間が一生懸命戦ってるのに、\nおちんちん我慢できなくなっちゃって、みっともなくおねだり❤\nあの女の子がかわいそー❤,Even though your ally is fighting desperately over there; your dick couldn’t hold out any longer that it ended up begging pathetically～❤ I’m starting to feel bad for that girl now～❤
ほら、何をしてほしいか言ってごらん❤\nあの女の子がしてくれないようなこと、たくさんしてあげるよ❤,Come on; tell me what you desire～❤ I’ll do many things even that girl wouldn’t do for you～❤
マスターくんが頑張って戦ってるのに、\n命令を聞かないで敵に向かっておねだり❤\nすっごくカッコ悪いね❤,Even though your master is doing his best; you’re not listening to his commands and are begging the enemy instead～❤ So lame～❤
ほら、何をしてほしいか教えてよ❤\n他の仲間がうらやましくなっちゃうぐらい、\nいっぱい気持ちよくしてあげる❤,Come on; tell me what you desire～❤ I’ll make you feel so good that your allies will be jealous～❤
サキュバスパイズリ,Succubus Titjob
サキュバスグラインド,Succubus Grind
なんでも,Let Her Decide
へぇー、おっぱいでしてほしいんだ❤\nやっぱり谷間ちらっと見せたのが効いちゃったの？\nほら❤,Ohh; you want my boobs?❤ I guess showing my cleavage was effective? Hora; hora～❤
あなたが見惚れたこのおっぱいで挟んであげるね❤\nバカな男の子のエナジー、ぜーんぶ吸い取ってあげる❤,I’ll squeeze you with these breasts you were captivated by～❤ I’m gonna suck all the energy out from you; foolish boy～❤
ふぅーん、おっぱいでしてほしいんだ❤\nサキュバスのおっぱいは気持ちいいよぉ❤\nたくさんズリズリしてエナジー吸いつくしてあげる❤,Hmm; so you want my boobs～❤ A succubus breast feels really good; you know?❤ I’ll squeeze you a lot and suck out your energy～❤
あは、わたしに上からまたがってほしいの？\nいいよ、上で腰を振って、あなたのことアンアン喘がせてあげる❤,Ehe; you wanted me to be on top of you? Fine by me; I’ll ride you and make you moan by shaking my hips～❤
あん❤おっぱいがあなたの精液でいっぱい❤\nわたしのパイズリは気持ちよかった？マスターくんが\n吸い殺されるかもしれないのに、たっぷり楽しんじゃったね❤,Ahn～❤ So much of your sperm is on my boobs～❤ Was my titjob that good? Mr. Cardmaster is going to be drained dry but I'm sure you'll enjoy it～❤
ふふ、エナジーもおいしい～❤\nこれで体力全回復❤他の男の子もみんなわたしがイかせてあげる❤,Fufu; the energy also tastes so good～❤ Now I’m healed back to full～❤ I’ll make all the other boys cum too now～❤
あん❤どぴゅどぴゅうってたくさん出てる❤\nわたしとのエッチ気持ちよかった？\nま、ナカには入ってないんだけど❤,Ahn～❤ You shot out so much～❤ Did sex with me felt that good? Though you didn’t really put it in me～❤
おねだりして勝手に負けちゃうような人、\nエッチのまねで十分だよね❤\nんふふ、エナジーおいしい～❤,For someone who lost and begs their opponent; pretend sex is good enough～❤ Fufu; your energy is so delicious～❤
{使用カード}を守備。,I put {使用カード} in defense position.
むむむ、思ったよりやるなぁ。男の子なのに…。,Mmm; you’re better than I thought boy...
後ろで仲間が戦っているから負ける訳にはいかない？あはは、かっこいいセリフだけど…。,Your ally is fighting behind you so you wouldn’t lose? Ahaha; that’s such a cool-sounding line...
おちんちん、こんなにおっきくしてたら説得力ないなー、えいっ❤,But you’re not persuading anyone when your dick is already this big～ Gotcha～❤
ほら、簡単に捕まえられちゃった❤勃起しているから動きがちぐはぐ♪ズボンの中パンパンだと動きづらいもんね。,Come on; I caught you so easily～❤ You can’t move as good since you’re this hard～♪ Since your dick is pushing wildly against your pants.
パイズリしてほしいからおっきくしてたんでしょ❤うりうりー❤,I bet you got so hard because you were expecting a titjob all this time～❤
ううっ…❤そんなこと…❤,Ugh...❤ No...❤
腰から溶けちゃいそうなぐらい気持ちいいでしょ？このままじっとしてて❤そうすれば望んだ通り、とっても気持ち良いパイズリをしてあげるからね❤,It feels so good that your hips are melting away; doesn’t it? Just stay like that～❤ And I’ll pleasure you with my boobs just like you wanted～❤
そんなー、人間の男に負けるなんて・・・。,To think; I’d lose to a male...
力が抜けちゃったね？なら、はじめるよー❤,You lost your strength? Then; I’m going to start～❤
うはぁっ…❤❤,Uahh...❤❤
なさけない声、出ちゃったねー❤仲間がいるのに欲望に負けて受けるパイズリは気持ちいいー？,You’re letting out such a pathetic moan～❤ Even though your ally is here; does it really feel that good to lose to your desires and get a titjob?
聞くまでもないかー❤こーんなに大きな喘ぎ声、でちゃってるもんねー❤,I guess I didn’t need to ask～❤ You’re moaning this loudly after all～❤
あうっ…❤あっ❤きもち、よすぎて…❤,Hau...❤ Ahh～❤ It’s too good...❤
あはは、もうおっぱいにメロメロだね❤せっかく頑張ってわたしを追い詰めたのに、ざんねんでしたー❤,Ahaha; you’ve already fallen for my boobs～❤ Even though you tried so hard and pushed me into a corner; too bad for you～❤
でもしょうがないよね❤男の子はおっきいおっぱいが大好きだもんね❤パイズリされたいよーって思うのが普通だもん♪,But that’s only natural～❤ Boys love huge breasts after all～❤ It’s only normal that you’d want to get a titjob～♪
仲間の女の子が戦ってるのに欲望に負けちゃった❤わかるように大きな喘ぎ声、聞かせてあげたらー？,Even though you ally is fighting; you lost to your own desires～❤ How about I make you moan so loud that she’ll hear it and understand that you’ve lost?
ちょっと！なにやってるのよ！早く抜け出しなさ・・・きゃあ！,Wait; what are you doing! Break free from her quickly... Kyaa!
隙ありです❤,An opening～❤
ほら、仲間の女の子がピンチだよ？助けてあげなくていいのかなー？,Look; your ally is in huge trouble. Are you sure you don’t need to help her～?
喘ぐばっかりで返事もできない❤なさけなーい❤これからもっと激しくしちゃうけどいつまで我慢できるかな❤,You keep moaning and moaning that you can’t even reply back～❤ So pathetic～❤ I’m going to move even faster; I wonder if you’ll be able to endure it～❤
あうっ❤これっ❤これっ、だめっ❤,Ahh～❤ No more!❤ Noo!❤
くすくす❤ダメなんて言ってるくせに腰が浮いてるよー❤ガチガチのおちんちん、もっと気持ち良くして欲しいんだよね？,Teehee～❤ Even though you’re saying no; your hips is this unsteady～❤ A rock hard dick like this wants to be pleasured even more; no?
気持ちよくしてもらえるなら、後ろで戦ってる仲間のことなんてどうでもいいだ。マスターくん、さいてー❤そんな裏切りおちんちんに…。,As long as you’re getting pleasured; the fact that your ally is fighting behind you doesn’t matter at all. You’re the worst～❤ This traitorous dick...
おもいっきりズリズリしてあげる❤ほら❤パンッ❤パンッ❤って、おっぱいを叩きつけるようなパイズリ❤,I’ll squeeze you with everything I got～❤ Hora; hora～❤ It’s a titjob where I slap my boobs on your dick～❤  Slap～❤ Slap～❤ 
凄くおっきな喘ぎ声がでちゃってるね❤マスターくん、仲間の女の子になさけなーい声を聞かれながら、イっちゃえっ❤,You’re letting such loud moans there～❤ Mr. Cardmaster is gonna cum as your ally listens to your pathetic moans～❤
あっ、あああっ…❤,Ahhh...❤
わー❤すごい量の射精。全然止まる気配がないよ。エナジーたっぷりの精液、たくさんでてるね♪,Wow～❤ What an impressive amount; and it’s not stopping at all. You’re shooting out so much energy-filled semen～♪
パイズリに負けちゃう裏切り射精。そんなに気持ち良かった？これで私の勝ち❤,Betraying your ally and ejaculating from my boobs; does it really feel that good? But now; I’m the winner～❤
最後の最後で誘惑に負けちゃうマスターくんのお陰だよ。ざんねんでした❤,And it’s all because you lost to temptations at the very last step; too bad～❤
マスターとの絆があれば誘惑に負けることはない？あはは、かっこいいセリフだけど…。,You wouldn't lose to temptation because you have a strong bond with your master? Ahaha; you’re saying such cool-sounding lines...
ほら、簡単に捕まえちゃった❤パイズリしてほしいからおっきくしてたんでしょ❤,Look; I caught you so easily～❤ You’re so hard already because you wanted a titjob; right?❤
えー、じゃあなんでおっきくなってるのかなー❤こうやって挟んでるだけで、おちんちんガチガチになってるのに❤本当は期待してるんでしょ？ほら、おっぱいでぎゅ～❤,What? Then why are you so big already～❤ Even though if I squeeze this dick like this; it’ll get rock hard～❤ The truth is; you’re looking forward to it～❤ Here; I’ll push my breast～❤
このままじっとしてて❤そうすれば望んだ通り、とっても気持ち良いパイズリをしてあげるから❤,Just stay like that～❤ And I’ll pleasure you with my boobs just like you wanted～❤
彼女突きを飛ばし、とどめを刺した,Ignore her and deliver the final blow
欲望に負け、体から力を抜いてしまった,Be tempted and lose your strength
そんなー、私のおっぱいから逃れるなんて・・・。,No way; how could you escape my boobs...
なさけない声、出ちゃったねー❤欲望に負けて受けるパイズリは気持ちいいー？,You’re squealing out such pathetic moans～❤ Does it feel good to give in to your desires and get a titjob～?
マスターとの絆があれば誘惑に負けない、なんて嘘ばっかり❤本当はパイズリされたかったって認めたら？,Claiming you wouldn’t lose to temptation because you have a strong bond with your master; what a blatant lie～❤ Why don’t you just admit that you just wanted to get squeezed by my boobs?
喘ぐばっかりで返事もできないね❤なさけなーい❤これからもっと激しくしちゃうけどいつまで我慢できるかな❤,You keep moaning and moaning that you can’t even reply back～❤ So pathetic～❤ I’m going to move even faster; I wonder how long you’ll be able to endure it～❤
あーあ❤何度も頷いちゃってなさけなーい❤マスターとの絆なんてやっぱり嘘だったんだ❤,Aww～❤ How many times are you going to nod? Pathetic; your strong bond is a complete lie after all～❤
なら、おもいっきりズリズリしてあげる❤ほら❤パンッ❤パンッ❤って、おっぱいを叩きつけるようなパイズリ❤,Well then; I’ll squeeze you with everything I got～❤ Hora; hora～❤ It’s a titjob where I slap my boobs on your dick～❤ Slap～❤ Slap～❤
凄くおっきな喘ぎ声がでちゃってるね❤マスターくんとの絆なんて捨てて、イっちゃえっ❤,You’re letting such loud moans there～❤ Throw away your bond with your master and cum～❤
キミのお陰で傷も治ったし、仕切り直しだね❤次は誰の精液を貰っちゃおうかなー♪,Thanks to you; I’m fully healed and ready to go again～❤ I wonder whose semen I should get next～♪
マスターとの絆があれば誘惑に負けることはない？あはは、さっき負けちゃった人も同じこと言ってたけど…。,You have a strong bond with your master so you wouldn't lose to temptations? Ahaha; the guy who lost earlier also said the same thing...
キミもおちんちん、こんなにおっきくしてたら説得力ないなー、えいっ❤,But you’re also not persuading anyone when your dick is already this big～ Got you～❤
ほら、簡単に捕まえちゃった❤パイズリしてほしいからおっきくしてたんでしょ❤それとも仲間がパイズリされてるのを見て羨ましくなっちゃった？,Come on; I caught you so easily～❤ You’re so hard because you wanted a titjob; right?❤ Were you jealous of your ally when he got a titjob?
えー、じゃあなんでおっきくなってるのかなー❤こうやって挟んでるだけで、おちんちんガチガチになってるのに❤キミも本当は期待してるんでしょ？ほら、おっぱいでぎゅ～❤,No? Then why are you so big already～❤ Even though it got rock hard when I squeeze your dick like this～❤ The truth is; you’re also looking forward to it～❤ Here; I’ll squeeze my breast～❤
このままじっとしてて❤そうすればさっきの人と同じように、とっても気持ち良いパイズリをしてあげるから❤,Just stay like that～❤ And I’ll pleasure you with my boobs just like the previous person～❤
気持ちよさそーな声、出ちゃったねー❤やっぱり羨ましかったんだ❤どーお？わたしのパイズリは気持ちいいー？,You’re letting so much moans of pleasure～❤ You really were jealous～❤ So how is my titjob? Does it feel good～?
あはは、もうおっぱいにメロメロだね❤キミもせっかく頑張ってわたしを追い詰めたのに、ざんねんでしたー❤,Ahaha; you’ve already fallen for my boobs～❤ Even though you also tried so hard and pushed me into a corner; too bad for you～❤
マスターとの絆があれば誘惑に負けない、なんてやっぱり嘘なんだよ❤パイズリされたいって素直に言ったら？,Claiming you wouldn’t lose to temptation because you have a strong bond with your master; what a blatant lie～❤ Why don’t you just say that you wanted to get a titjob?
喘ぐばっかりで返事もできないんだ❤なさけないねー❤これからもっと激しくしちゃうけどいつまで我慢できるかな❤,You keep moaning and moaning that you can’t even reply back～❤ So pathetic～❤ I’m going to move even faster; I wonder how long you’ll be able to endure it～❤
あーあ❤何度も頷いちゃって❤素直になれてえらいねー。マスターとの絆なんて嘘だって証明できたね❤,Aww～❤ How many times are you going to nod? It’s great that you’re being honest～❤ You’ve proven that the bond with your master is a complete lie～❤
ほら、おもいっきりズリズリしてあげる❤パンッ❤パンッ❤って、おっぱいを叩きつけるようなパイズリだよ❤,Here; I’ll squeeze you with everything I got～❤ It’s a titjob where I slap my boobs on your dick～❤ Slap～❤ Slap～❤
凄くおっきな喘ぎ声がでちゃってるね❤マスターくんのことなんて忘れて、イっちゃえっ❤,You’re letting such loud moans there～❤ I’ll make Mr. Cardmaster have an ejaculation that you’ll never forget～❤
わー❤キミもすごい量。全然止まる気配がないよ。エナジーたっぷりの精液、たくさんでてるね♪,Wow～❤ What an impressive amount; and it’s not stopping at all. You’re shooting out so much energy-filled semen～♪
キミのお陰でまた傷も治ったし、まだまだ戦えそう❤次は誰の精液を貰っちゃおうかなー♪,Thanks to you; I’m fully healed and ready to fight～❤ I wonder whose semen I should get next～♪
ううっ・・・。,Uuu...
あは❤わたしの大きいおっぱい見てたら我慢できなくなっちゃった？,Aha～❤ Are you unable to control yourself after seeing my huge boobs?
我慢なんてする必要ないんだよー？おっぱい見ながら好きなだけシコシコしていいの❤ ほら、片手だけじゃなくて両手でおちんちん握って、シコシコ❤シコシコ❤,You don’t have to resist; you know? You’re free to rub one out while looking at my breast～❤ Come on; don’t rub it with one hand～ Grasp it firmly with both of your hands～❤ Fap; fap～❤ Fap; fap～❤
あ、ああっ…❤,Ahhh...❤
本当に始めちゃった❤なさけなーい❤ちょろすぎー❤後ろで仲間が戦ってるのにいいのかなー？おーい、そっちのマスターさん聞こえるー？くすくす❤,You really started jerking on your own～❤ So pathetic～❤ What a pushover～❤\nEven though your ally is giving her all behind you～\nHey; the cardmaster over there～! Did you hear what he just said～? Teehee～❤ 
へ！？あんた、ちょっとなにやってるのよ！サキュバス相手に死ぬ気なの！？,Wait; what are you doing!? Are you trying to get yourself killed by a succubus!?
あの子もああ言ってるよ？それでも止められないんだ❤,See? Even she’s telling the same thing. And yet you still can’t stop yourself～❤
サキュバス相手に自滅オナニー。自分だけじゃなくて仲間のことも危険にさらしちゃう裏切りシコシコ❤気持ちいいもんねー❤,Sabotaging yourself by masturbating to your opponent. It’s a backstabbing masturbation that not only puts yourself in danger; but also your ally～❤ I bet that feels really good～❤
人間の男ってほんとおもしろい❤ほらぁ、もっと止められなくしてあげる❤,Human males are so funny～❤ Here; I’ll help out so you’re unable to stop even more～❤
はあ、はぁっ…❤うぅ…❤,Haah; haah...❤ Uuu...❤
わたしの胸の谷間❤チョロマゾマスターくんには刺激が強すぎるかなー❤,Here’s my cleavage～❤ I bet it’s too stimulating for a pushover masochist cardmaster～❤
あは、手のしごく速さあがってるー❤いいよー、その調子でシコシコしようね❤後ろの仲間にぐちゅぐちゅ音が聞こえるくらい激しくして❤,Ehe; your hand is going even faster～❤ It’s fine; keep rubbing it out just like that～❤ Go even faster until even your ally back there can hear it～❤
だめっ、早く正気に戻って！その手を止めるのよ！くっ！,No; snap out of it! Stop your hands! Ugh!
あらら、よそ見しているからスライムちゃんの攻撃をくらっちゃった。お仲間のマスターさん、かわいそー❤,Ara; ara. She looked away and got hit by the slime succubus.\nI feel bad for your cardmaster friend～❤
くすくす❤それでも手止まらないんだ。おっぱい見ながらシコシコ気持ちいい❤夢中になりすぎて仲間の声も聞こえてない❤,Teehee～❤ And yet; your hands are not stopping at all.\nJerking off while staring at my boobs feels too good～❤\nYou’re so absorbed in it that you can’t even listen what your friend is saying～❤
特別サービスだよ❤谷間に集中して、じっと見つめて❤ほらほらほら❤,It’s a special service after all～❤\nLook at my cleavage and focus on them～❤ Hora; hora❤
あっ❤あっ❤もう…❤,Ahh～❤ Ahhh～❤ No more...❤
あはは、よわよわおちんちん気持ちいいね❤早くシコシコしないと谷間が見えなくなっちゃうぞー❤,Ahaha; of course this weakling dick would feel good from that～❤ If you don’t rub it even faster; you won’t get to look at my cleavage as you cum～❤
って、もうどうせ射精しちゃうか❤ほら、谷間にだしていいよー❤マスターくんのエナジー、わたしのおっぱいに捧げちゃお❤,Oh; I think you’re about to cum～❤ Here; you can cum on my cleavage～❤ Offer all your energy into my breast～❤
ほら❤谷間をゆさゆさゆさ❤ちゃ～んと谷間を狙って❤精液、だして❤,Hora; hora～❤ My cleavage is swaying～❤\nMake sure to aim at them～❤ Let out your semen～❤
はひぃっ…❤,Hahieee...❤
あはは❤すごい量❤後ろで仲間が戦ってるのに、裏切りオナニー❤気持ち良かった？マスターくん❤,Ahaha～❤ What a huge load～❤ Even though your friend is fighting back there; you’re masturbating and betraying her～❤ Did it feel good? Mr. Cardmaster～❤
谷間を見せてるだけなのに、勝手にシコシコしてエナジーを捧げてくれるなんて、本当にチョロい❤,Even though I just showed you my cleavage; you jerked off to your opponent and offered your energy～❤ You really are a pushover～❤
我慢なんてする必要ないんだよー？おっぱい見ながら好きなだけシコシコしていいよ❤,You don’t have to resist it; you know? You can jerk off as much as you want while looking at my boobs～❤
本当に始めちゃった❤なさけなーい❤ちょろすぎー❤,This is my first time seeing someone like this～❤ So pathetic～❤ What a pushover～❤
うううっ…。,Uuu...
でも、わたしはちょろいの大好きだからー、サービスしてあげるね❤,But I do love pushovers; so I’ll give you a service～❤
ほらぁ。わたしの胸の谷間❤たくさん見ながらシコシコしていいよ❤,Here; look at my cleavage～❤ You can rub one off while looking at them～❤
手のしごく速さあがってるー❤いいよー、その調子でシコシコしようね❤,Your hand’s going even faster～❤ It’s fine; keep rubbing it like that～❤
おっぱい見ながらシコシコ気持ちいいねー❤ほらほら、もっと見て❤,Jerking off while looking at my boobs feels good; doesn’t it?❤\nCome on; look at it even more～❤
特別サービスだよ❤谷間に集中して、じっと見つめて❤,It’s a special service after all～❤ Make sure to focus on my cleavage～❤
ちょろマゾおちんちん気持ちいいね❤ほらほら、もっと早くシコシコしないと谷間が見えなくなっちゃうぞー❤,Of course a pushover masochistic dick would feel good from that～❤ Come on; if you don’t jerk faster you won’t get to look at my cleavage as you cum～❤
もうでちゃう？なら谷間にだしていいよー❤キミのエナジー、わたしのおっぱいに捧げちゃお❤,You’re about to cum? Then cum on my cleavage～❤ Offer all your energy into my breast～❤
ほら❤ほらほら❤ちゃ～んと谷間を狙って❤精液、だして❤,Hora～❤ Hora; hora～❤ Make sure to aim at them～❤ Let out your semen～❤
あはは❤すごい量❤谷間を見せてるだけなのに、勝手にシコシコしてエナジーを捧げてくれるなんて、本当にちょろい❤,Ahaha～❤ What a huge load～❤ Even though I’m only showing you my cleavage; you jerked off to your opponent and offered your energy～❤ You really are a pushover～❤
くすくす❤他の人もシコシコしたくなったらいつでもしていいからね。その時は谷間、みせてあげる❤,Teehee～❤ If anyone else wants to jerk off; feel free to do the same. And I’ll show you my cleavage when you do～❤
