default
エルル,Eruru
わたしに気持ちいい特訓してもらえるんだから、お金を払うのは当然よね？ふふ、さあ早く決めなさい？,You're getting a fun training session with me; so obviously you should pay for it. Fufu; come. Decide quickly.
格上の相手に気持ちいい特訓してもらえるんだから、お金を払うのは当然よね？ふふ、さあ早く決めなさい？,You're geting a fun training session with a higher rank; so obviously you should pay for it. Fufu; come. Decide quickly.
エルルは手で筒を作ると意味ありげに上下に動かして僕に見せつけてくる。さっき射精させられたばかりだというのに目を逸らすことができない…,Eruru makes a tube shape with her hand and showed it going up and down suggestively. I couldn't look away even though I just came earlier...
僕は・・・・。,I...
手でしてほしいとお願いした,Ask her to do it with her hand
特訓を断った,Refuse the special training
あらそう。残念。,Is that so? Too bad.
せっかくこの雑魚なチンポ、鍛えてあげようと思ったのになぁ…❤,I thought for sure I'd train this weakling of a dick...❤
エルルはそう言うと勃起したペニスに狙いを定め、指でその先端をわしゃわしゃと弄んできた。,As Eruru said that; she aimed at my erect penis and used her fingers on the tip of my penis; toying with it vigorously.
ひあっ❤ああっ❤❤❤,Hyaa❤❤❤ Ahhh❤❤❤
あはは、弱っちくてかわいい❤,Ahaha; you're adorably weak.❤
ま、{&呼び方}は{&呼び方}らしく、せいぜい頑張りなさい。じゃあねー。,Well; {&呼び方} can just stay like that. Do your best. Bye~
あううっ・・・・❤,Auuuu...❤
主人公はエルルの手コキに弱くなってしまった…,The protagonist became weaker to Eruru's handjob...
あは、これぐらいの誘惑でお金払っちゃうんだ。すなおー❤,Aha; you're paying even with just that much seduction. What an honest boy~❤
って、{&呼び方}{$cost}G持っていないじゃん。,That said; you don't have {&呼び方}{$cost}G.
はぁ、それで「手で気持ちよくしてほしい」とか都合よすぎ。,Haah; and yet you're all "I want to get pleasured from your hand".
わたしの手で気持ちよくしてもらいたいなら…。,If you want to get pleasured by my hand that much...
エルルはそう言うとペニスの先端を指先でわしゃわしゃと弄んできた。,Eruru used her fingers on the tip of my penis and toyed with it vigorously.
はい、ここでおしまい。続きはちゃんとお金を持ってくること。いいわね？ふふふ…。,Yep; I'll stop there. If you want me to continue; make sure you bring enough money next time. Okay? Fufu...
はひぃっ・・・・❤,Yeshh...❤
それじゃお金ももらったことだし、"特訓"してあげる。,I got the money so I'll give you your "special training".
さっきから握ってほしそうにビクビクしているチンコ、この手でぎゅって握って…。,Your dick that has been twitching since earlier will be squeezed by these hands...
シコシコスタート❤,Special training start!❤
あっ…❤ああっ…❤,Ah...❤ Aahhh...❤
んふふ、ゆっくりな手コキなのにずいぶん気持ちよさそうね。,Fufu; I'm still moving slowly; yet you're already looking so satisfied.
女モンスターにエッチなことされたことはあっても、普通の女の子に手コキしてもらったことなんてあんまりないでしょ？,Even if you've gotten a handjob from a monster girl before; you've probably never had a normal girl do this to you; right?
精液には魔力がたっぷり溶けだしているから、男のカードマスターと戦う時にはエッチな技は効果抜群❤だから、みんなけっこう練習するのよ。,Semen has a lot of magical power mixed into it; so lewd techniques are very effective for fighting male cardmasters.❤ That's why all the female cardmasters practice it.
基本テクとして、手のひらにゆるーく魔力をまとわせながら、軽くシコシコ❤これだけで男の子は悲鳴をあげちゃう。,The basic technique is to coat the palm of my hand with magical power.❤ Even just this alone will already make boys scream.
悲鳴っていうか喜びの声かな？勝負に負けそうになっているのに、うれしいよぉ、気持ちいいよぉって声をあげてよがっちゃうの。,But those screams are just screams of pleasure; aren't they? Even though they lost the fight; they all start saying "it feels so good".
あなたもそうよね？お金出してまでシコシコしてほしいって思っちゃったんだもんね？,You're just the same; aren't you? You even paid me because you wanted your dick to get squeezed; didn't you?
あうっ…❤それはぁ…❤,Auu... ❤ That's not...❤
別に言い訳しなくてもいいのよ。言い訳されても面倒くさいだけだし。,It's fine; you don't have to make excuses. It's just a bother.
さっさとチンコしこられて、お金を貢いでくれればそれでオッケー。,You'll happily present money just to get your dick squeezed.
ほら、もう金玉がきゅってなって、限界が来てる。射精しちゃうんでしょ？ゆるい手コキに負けてあっという間に敗北しちゃう。,Look; you're at your limit already. Are you going to cum? You're going to lose and surrender to this slow handjob.
男ってそういうものよ。くすくす❤,Boys are just like that. *Giggle*❤
ねえ、どうする？我慢するための特訓なんだし、ここで手コキストップしてあげてもいいわよ。お願いするなら、やめてあげる。,Say; what do you want to do? This special training is to help you control yourself; so if you ask me to stop then I'll stop.
{&呼び方}はこれからの戦いのために、気持ちいいのを我慢しないといけないんでしょ？ほら早く言いなさい？,Wasn't this originally for {&呼び方} to control himself better for the upcoming battles? Come on; tell me what you want?
あっ…❤ううっ…❤手コキを、やめ…❤,Ah...❤ Ugh...❤ Please sto-...❤
はーい、ここでスピードアップ❤,Alright; I'll speed up~❤
あっ❤ああっ❤❤❤だめ、これっ、あああっ…❤,Ah❤ Ahhhh❤❤❤ No more; ahhhhhhh...❤
あはは、口で"ストップ"も言えないなんてなさけなーい❤,Ahaha; your mouth can't even say "stop". So pathetic~❤
この程度の快感でしゃべれなくなるようじゃ、特訓したって意味ないわね。,There's no point in getting a special training when you can't even speak from just this level of pleasure.
{&呼び方}、もういいわよ。ここからは快感に身を任せても。,That's enough; {&呼び方}. Just surrender yourself to pleasure from now on.
もう特訓は終わり。あとはわたしの手で気持ちよくなることだけ考えるの…❤,The special training is now over. So you can just focus on feeling good from my hands...❤
さあ、腰を突き出して。一番気持ちいい格好でわたしにシコられなさい。そしてみっともなく射精する…❤,Now; stick your hips out. I'll give you the best pleasure with my hands. And you'll pathetically cum...❤
ほら、ほら、ほら…❤カリ首をしごいて、とどめをさしてあげる。,Look...❤ I'll stroke the glans and finish you off right away.
思いっきり腰へこらせて、みじめに射精しろ。低級マスター❤,Stick your hips out and ejaculate miserably; you low-rank master~❤
あうっ❤ああっ❤❤❤,Auu❤ Aahhh❤❤❤
あは、こんなに手袋をべとべとにしちゃって出し過ぎよ。よいっしょと…。,Ahaha; you came so much you made my gloves all sticky. There...
はい、魔法で元通り。精液をエナジーに変えられない一般人なら、服に射精されると洗濯するのもけっこう大変なのよ？,And now it's back to normal with magic. If you're a normal person who couldn't turn semen into mana; it sure would be troublesome to clean your outfit; wouldn't you agree?
って、そんなアヘ顔じゃ、わたしの言葉なんて聞こえないか。,What's with that satisfied face; did you not hear what I was just saying?
手コキされただけで蕩け顔しちゃって、ほんと{ランク名}級ってよわいわ。くすくす❤,Such a face just from getting a handjob. You really are {ランク名}-rank. So weak~❤ *Giggle*
手コキされただけで蕩け顔しちゃって、{ランク名}級になってもまだまだよわいままなのね。くすくす❤,Such a face just from getting a handjob; you're still so weak despite being a {ランク名}-rank. *Giggle*❤
まあそれなりに高いお金くれたし、もうちょい搾ってあげるわ。ここからはサービスよ。,Well; you gave me a lot of money; so I'll squeeze out some more. Consider these your extra service.
あっ❤いま敏感でっ❤ひああっ❤,Ahh~❤ I'm still sensitive~❤ Hyaah~❤
敏感な方が気持ちいいでしょ？ほらほらほら…❤,It's even better that you're sensitive; no? Look...❤
冒険をあきらめますか？,Give up on the adventure?
エルルに特訓をつけてもらった僕は、彼女の与える快感が忘れられなくなっていた。,After receiving special training from Eruru; I couldn't forget how pleasurable it was...
彼女に何回戦いを挑んでも、空中で軽く手コキのまねをされるだけで腰砕けになってしまい、もうカードを召喚するどころではない状態にさせられてしまった。,No matter how many times I tried fighting her; my hips would give out immediately from the sight of her hand mimicking a handjob in the air and I couldn't even summon a card against her.
