default
ロリ巨乳バニー,Shortstack Bunny
わたしのロリ巨乳おっぱい、\nそんな、ふにゃあってなっちゃうぐらい気持ちよかったですか？\nくすくす❤とどめをささなくてよかったですね❤,Did my big; loli boobs feel so good that you went all weak and limp? Hehe; I bet you're glad you didn't finish me off~❤
もしとどめをさしてたら、\nこのおっぱいは味わえなかったんです。\nあはん❤ぱふぱふ❤ぱふぱふ❤,If you had, I would have never been able to enjoy my boobs. Ah~❤ Puff-puff~❤ Puff-puff~❤
うっ、ううっ❤きもちいい❤きもちいいぃ・・・❤❤❤,Oh, ugh...❤ It feels so good...❤ So good...❤❤❤
あは、武器も地面にからんって落ちちゃいましたね❤\n大事な武器よりおっぱいを選んじゃって、\nくすくす❤かわいらしいお客さんです❤,Ah, looks like you dropped your weapon~❤ Choosing big boobs over your important weapon... Giggle~❤ What a cute customer~❤
あれあれー、わたしにかわいらしいって言われて、\nおちんちんビクビクさせちゃうんですか？\nこんなにちっちゃい子に言われてるのに悔しくないんですね❤,Oh my; did you get all flustered because I called you cute? Even though it's being said by such a small girl; you're not getting embarrassed at all~❤
それとも悔しいと気持ちよくなっちゃうマゾさんなんでしょうか❤\nかわいい❤よわい❤おっぱいに負けちゃうマーゾ❤,Or maybe you're just a masochist who gets excited being embarrassed~❤ So cute~❤ And so pathetic~❤ A weak masochist who loses to boobs~❤
くすくす❤馬鹿にされるたびに、びくんびくん❤\nいじめる言葉に敏感なおちんちんさんですねー❤,Giggle~❤ You twitch every time I make fun of you~❤ You're penis is so sensitive to teasing words~❤
敏感でよわーいおちんちんさんは、\n触られなくても射精しちゃいそうです❤\nでもわたしは優しいから膝で少し気持ちよくしてあげます❤,Your weak and sensitive little penis seems like it might burst without even being touched~❤ But since I'm so nice; I'll rub you with my knee a little and make you feel really good~❤
ほら、ぱふぱふしながら膝でぐりぐりぐり❤\n優しいおっぱいの気持ちよさと、\nマゾちんちんをいじめる膝のグリグリで頭真っ白になってください❤,Here; I'll grind you with my knee while giving you a puff-puff~❤ Let the gentle pleasure of my boobs mixed with me grinding your masochistic penis with my knee make your mind go blank~❤
はぐぅうっ❤あへぇあっ❤❤❤,Hahh!❤ Ah, ahh!❤❤❤
はひぃ・・・・❤❤,Hahii...❤❤
やん❤脚にどくどくってかかっちゃいました❤\n魔力がたっぷり溶けた、おいしい精液ですね❤,Yay~❤ It dripped all over my legs~❤ Your semen is so delicious; and it's infused with plenty of magical power~❤
って、あはは❤地面でびくんびくんってまだ震えてます❤\nぱふぱふされながらの膝コキ、そんなによかったですか？\n試合を捨ててよかったですねー❤,Oh; hehe; you're still shaking on the ground~❤ My puff-puff kneejob must've been really; really good. I bet you're glad you gave up~❤
って、あはは❤地面でびくんびくんってまだ震えてます❤\nぱふぱふされながらの膝コキ、そんなによかったですか？\n仲間を裏切ってよかったですねー❤,Oh; hehe; you're still shaking on the ground~❤ My puff-puff kneejob must've been really; really good. I bet it was worth betraying your friends for~❤
お客さんもお強いですね。\nわたしのおっぱいに負けずに、そんなに頑張れるなんて、\nあん、みなさんかっこいいです❤,This customer is strong; too. To work so hard without being defeated by my boobs... Oh man; everyone's so cool~❤
んふ、でも、あなたのおちんちんも限界が近そうですね❤\n勃起してヒクヒクしてるの、隠せてませんよ❤,Hehe; but it seems like your little friend is pretty close to his limit~❤ I can see him twitching and standing up; too. You can't hide it~❤
さっきのお仲間さんも、わたしのご奉仕を受けて射精しちゃいました。\nお客さんだけ我慢する必要なんてないんです❤,You know; your friend from before accepted my services and ended up cumming. It doesn't make sense to be the only one holding back~❤
ほら、おっぱいたぷたぷ～❤あは～ん❤\n別にこんな試合ぐらい、一回負けてもいいでしょ？\nわたしと気持ちいいことしましょうよー❤,Look; my boobs are super bouncy~❤ Ahan~❤ Come on; it's okay to lose a match like this just once; right? Let's have some fun together~❤
お客さんのご要望を教えてください❤\nパイズリとぱふぱふ、どっちでヌキヌキしてほしいですか？,Please; dear customer; tell me what you want most~❤ Would you prefer a paizuri or a puff-puff to make you feel good?
男の人ってみんなそうです❤\nわたしより強くて大きな体を持っているのに、\nこのおっぱいをゆさゆさってしたら理性がぐらぁってしちゃって…❤,All men are the same~❤ No matter how much bigger or stronger they are than me; the moment I shake these big boobs of mine, their reason just goes out the window...❤
足も手もかたまっちゃって動けなくなるんです❤\n血液ぜーんぶおちんちんに行っちゃって、\n頭も体も働かなくなるんでしょうか❤,Their arms and legs go all stiff and they can't move~❤ All their blood hurries to their penis; and their head and body stop working~❤
ほら、あなたがとどめをささないおかげで味わえる、\nわたしの爆乳おっぱいですよ。\nあはーん❤ぱふぱふ❤ぱふぱふ❤,Here; since you didn't finish me off; you get to enjoy my big boobs~ Ahh~❤ Puff-puff~❤ Puff-puff~❤
武器が地面にからんって落ちちゃいましたね❤\n大事な武器よりおっぱいを選んじゃって、\nくすくす❤かわいらしいお客さんです❤,Sounds like your weapon just fell to the ground~❤ Choosing big boobs over your important weapon... Giggle~❤ What a cute customer~❤
って、あはは❤地面でびくんびくんってまだ震えてます❤\nぱふぱふされながらの膝コキ、そんなによかったですか？\n仲間を裏切って試合を捨ててよかったですねー❤,Oh; hehe; you're still shaking on the ground~❤ My puff-puff kneejob must've been really; really good. I bet you're glad you betrayed your allies and threw away the match~❤
オナニーで負けちゃいましたね❤\nおっぱいにどぴゅどぴゅエナジー無駄撃ちできて、満足しましたか？\nロリコンのマスターさん❤,You stroked yourself until you lost~❤ Were you satisfied; shooting all your energy on my boobs?❤ Lolicon Master~❤
ぱふぱふされて膝でいじめられて、\nマゾなマスターさんにはぴったりの負け方でしたね❤\n逆転負け、カッコ悪かったですよ❤くすくす❤,Getting bullied by my knee during a puff-puff... It was the perfect way for a masochistic master like you to lose~❤ You lost to my counterattack. That's so uncool~❤ Giggle~❤
パイズリで逆転負けしてどうですか？\n悔しそうには見えない蕩け顔しちゃってます❤\nくすくす❤,How does it feel to lose to a counterattack paizuri? You don't look very upset. Your face is all lewd~❤ Giggle~❤
あん❤おっぱいちゅーちゅーしただけで射精しちゃいました❤\nちっちゃい女の子のおっぱいをちゅーちゅーするの、\nそんなに気に入っちゃいましたか？くすくす❤,Aha~❤ You came from just sucking on my boobs~❤ Do you really like sucking on a small girl's boobs that much? Giggle~❤
あはん❤谷間の中にたくさん出てます❤\nわたしのおっぱいでずりずりずり❤\n気持ちよかったですか？くすくす❤,Ahan~❤ Your shooting so much out in my cleavage~❤ Rubbing you with my boobs made you cum so much~❤ Did it feel good? Giggle~❤
くすくす❤おっぱい見せつけられて暴発しちゃいましたね❤\n触ってないのにどぴゅどぴゅって出しちゃって、\n恥ずかしいマスターさんです❤,Giggle~❤ All I had to do was show you my boobs and you ended up bursting~❤ I never even touched you; but you shot so much~❤ What an embarrassing master~❤
背の低いバニーガールにエナジーを搾り取られた僕は、自分の身体を支えられなくなり地面に膝をついていた。,I was left kneeling on the ground; unable to stand after having my energy drained by the small bunny girl.
はぁい、楽勝楽勝大勝利♪\n男相手だとほんと楽よねー。\nこんな下級モンスターで圧勝できちゃうんだもん。,Yay; what an easy-peasy win~♪ It's really easy when it's against guys. I can totally crush these low-level monsters.
おっぱいがでかければ、力の強さとかなーんにも関係ない。\nちっちゃい体におっきいおっぱい、それがたまらないんでしょ？\nゆさゆさ～ってしてればそれだけで勝てちゃう❤,It has nothing to do with strength when you have amazing breasts. A small body with big boobs is just irresistible; isn't it? Just shaking them back and forth is more than enough to win~❤
ううっ…。くそぉ…。,Ugh... Damn it...
なにか文句あるわけ？\nこのロリコンマゾ❤\n言い訳するなら、そのチンポ小さくしてから言いなさいよ❤,Do you have a problem with that? You lolicon masochist~❤ If you're going to make excuses, wait until our tiny dick isn't hard anymore~❤
さっきからわたしのモンスターのおっぱいチラチラ見ちゃってさ。\n見てるのバレてるわよ。ぷっ、くすくす❤,You've been sneaking glances at my monster's breasts for a while now. I can tell you're still staring. Pfft, giggle~❤
あ～ん、エッチな目で見てくれてうれしいです❤\nほらぁ、もっと見てください❤,Aww; it makes me so happy when you look at me with such naughty eyes~❤ Go on; keep staring~❤
谷間を腕で寄せあげて、むぎゅうってアピールしちゃいます❤\nあはーん❤,I'll push my cleavage together with my arms and squeeze them tight; just for you~❤ Ahan~❤
うぐぅっ❤❤えろすぎるよぉ…❤❤,Ugh …❤❤It's so sexy... ❤❤
ぷっ、くすくす❤\nバカみたいね❤男ってほんとバカばっかり❤,Pfft; giggle~❤ So pathetic~❤ Men really are just a bunch of idiots~❤
ほら、{自分}、\nこのバカな男の間抜けな姿を、観客にもっと見せてあげなさい❤\nいつかまた戦うかもしれないし、おっぱいに弱くしちゃいましょ❤,Go; {自分}; show the audience just how pathetic this stupid man is~❤ You might fight him again someday; so let's make sure he's nice and weak to breasts~❤
期待のルーキーくんの無様な姿。\nこういうのがわたしのファンには人気があるのよ❤\nついでにバトルで使った分の魔力も補充させてもらうわ。,The pathetic state of the promising rookie. This is the kind of thing my fans love to see~❤ And while I'm at it; I'll replenish the magic power I used during our match.
くす❤あんなことわたしのマスターに言われてるのに、\nぜんぜん逃げようともしないんですね❤,Giggle~❤ Even after everything my master said; you're not even trying to run away~❤
さっき谷間をむぎゅって見せられたせいで、\n脳みそしびれちゃいましたか？\nわたしのおっぱいで思い通りに操られて、マスターさん弱すぎです❤,Did your brain go numb just from me showing you my cleavage? You’re way too weak; Master; getting manipulated by my boobs that easily~❤
ほらぁ、そんなぽーっとした顔でわたしのこと見てたら、\nおちんちん、おっぱいで食べられちゃいますよー❤\nずぷずぷずぷ～❤,Hey; if you just keep staring with that spaced-out face; my boobs are gonna swallow your penis up whole. Uh oh; here I go~❤
はへぇっ・・❤❤やわらかいぃ・・・❤❤,Hah...❤❤ So soft...❤❤
くすくす❤挟まれただけでエッチな声が漏れちゃいますね❤,Giggle~❤ Just getting squeezed makes me let out such naughty sounds~❤
さっきもそうでした。強いはずの連勝マスターさんなのに、\nおちんちんはとってもよわくて驚いちゃいます❤,It was the same before; too. Even though the undefeated master is supposed to be super strong; his penis is really weak~❤
って、あれあれ、どうしたんですか？\n腰を細かくふるわせて…。,Hey; hey; what's wrong? Your hips are trembling...
あっ、ああっ・・・❤だめ、きもちよすぎてぇ・・・❤❤,Ah; ahh...❤ No; it feels too good...❤❤
やん❤どろどろの精液がおっぱいにたくさん出ちゃってます❤\nぷぷっ、挟まれただけでもう出しちゃったんですか？,Yay~❤ So much thick semen shot out on my boobs~❤ Hehe; was being squeezed really enough to make you come?
バトル中に射精したばかりなのに、\nこんなにすぐ出すなんて、\nほんとに早漏さんですね❤くすくす❤,You finished so soon; even though you just came during our battle. You really have no endurance~❤ Giggle~❤
マスターさんの出した精液がローション代わりになって\nわたしのパイズリもっと気持ちよくなっちゃいますよ❤\nほら、ほら・・・❤,Master's semen is acting like lotion and making my paizuri feel even better~❤ Come on; come on...❤
あひぃ❤いまっ、びんかんだからぁっ❤❤,Ahii❤ N-no! It's so sensitive!❤❤
うふふ、だいじょうぶですよ。\nわたしのおっぱいはとっても柔らかいので、\nイったばっかりでもやさしーく搾りとっちゃうんです❤,Hehe; it's okay. My boobs are super soft; so even right after you finished; they can squeeze you really gently~❤
敏感おちんちんを、上から押しつぶして、\nずりずり♪ずりずり❤\nいっぱいとろけちゃってください❤,I'll tease your sensitive little penis from above; sliding it in and out~♪ In and out~❤ Please cum a bunch~❤
先っぽからむにゅうって谷間の中に入れられて、\n根元までずぽずぽ❤\nおちんちんさん、気持ちいいですねー❤,First; the tip gets pushed into the cleavage; and then I plunge it all the way to the base~❤ Oh; I'll make Mr. Penis feel really; really good~❤
あうっ❤あううっ❤やわらかくて、ぬるぬるでぇ❤\nきもちいいっ・・・❤❤❤,Aah...❤ Aahh...❤ So soft and slippery...❤ It feels so good...❤❤❤
ですよね❤ですよね❤\nこんなに気持ちいいパイズリされちゃったら、\nもう普通の人間相手じゃ満足できないですよね❤,Right?❤ Right?❤ Once you've experienced such an amazing paizuri; you'll never be satisfied with an ordinary person again~❤
わたしのマスターぐらいパイズリテクがあれば別ですけど、\n世の中の貧乳の女の子じゃ、\nあなたはもう満足できません❤,It would be different if they had my master's kill in paizuri; it would be different; but you'll never be satisfied by any of those flat-chested girls out in the world~❤
わたしみたいな背の小さい子にズリズリしてもらわないと、\nずーっとおちんちんがイライラしちゃう体にされちゃったんです❤,I've made you need a shortstack like me to rub your penis; or it'll get super frustrated and never be satisfied~❤
まともな人生送れなくなっちゃうと思いますけど、\n悔しいですか？\nそれとも・・・❤,I doubt you'll be able to live a normal life when I'm done; but does that really upset you? Or...❤
こんな気持ちいいパイズリに出会えて、\nうれしいですか？\nんふふ❤,Are you just happy to have been able to feel such a pleasurable paizuri? Giggle~❤
あぎぃっ❤あっ❤ああっ、おかしくなるっ、おかしくなるからぁ❤\nダメ、はげしくされるとっ❤❤❤,Agh...❤ Ahh...❤ Aahh; I can't...  I'm going crazy❤ No; stop... If you do it like that...❤❤❤
いいんですよ❤たっぷりおかしくなりましょう？,That's okay~❤ Lay back and go super crazy; okay?❤
わたしのマスターからも、\nあなたをおっぱいに弱くするよう命令されたので、\nたっぷりおかしくなってくれるとわたしも嬉しいんです❤,My master ordered me to make you weak to boobs; so I'd  be really happy if you went super crazy~❤
ほらほらぁ、激しいわたしのパイズリでおちんちんいじめられて、\n頭の中が気持ちよさで壊れちゃう❤\n精液どんどん上ってきて、あん、我慢できない❤,Here; here; your penis is being teased by my intense paizuri; and your mind is breaking from the pleasure~❤ You're getting so close; aha; you can't hold back anymore~❤
出ちゃう❤出ちゃう❤\n三回目なのに、簡単に搾り取られちゃう❤\nあはん、出して、出してくださ～い❤きゃははは❤,It's coming out~❤ So much is coming out~❤ I squeezed it out so easily; even though it was your third time~❤ Ah; please let it out. Let it all out~❤ Kyahaha~❤
はへぇっ❤やばい、これやばい…❤こしがぬけて❤あへぇあ…❤❤,Hah...❤ No; this is bad...❤ My legs are giving out...❤ Ah...❤❤
腰が抜ける前からどうせ逃げなかったじゃないですか。\nだから別におんなじですよ❤,You weren't going to run away before you collapsed anyway. So it doesn't really matter~❤
おっぱいでカラカラに搾られて、\nなんにもできないぐらい魔力を奪われても別にいいんです❤\n誰もあなたが逆転できるなんて思ってませんよ❤,Even if you end up drained dry by my boobs and lose so much magic power that you can't do anything; that's okay~❤ No one thinks you can turn things around; anyway~❤
ほらほら、おっぱい再スタートです❤\nバニーガールのパイズリご奉仕、たくさん楽しんでください❤,Come on; come on; let's get my boobs going again~❤ Enjoy this bunny girl's paizuri service to the fullest~❤
はぐぅっ❤きもちいい、きもちいいぃ・・・❤❤❤,Hahh…❤ It feels so good… So good...❤❤❤
ぬるぬるのおっぱいで、ぱんぱんぱん♪っていっぱいパイズリ❤\nあなたの情けない姿を見て、\nわたしのマスターのファンも、大盛り上がりです❤,I'll give you lots of paizuri with my super slippery boobs~♪ I'm sure my master's fans are getting super excited seeing you in this pathetic state~❤
このまま気絶するまでパイズリで搾りつくしてあげますからね❤\nいっぱい喘いで、みんなを楽しませてください❤\nそれがわたしのサービスへのお代です❤,My boobs will keep milking you until you pass out~❤ So please; moan a lot and entertain everyone~❤ That's your payment for my service~❤
もし試合外でこのサービスを受けたかったら、\nたくさんお金が必要ですから、\nむしろあなたはラッキーかもしれません❤,If you wanted to receive this service outside of the game; it would cost you a lot of money; so you're actually pretty lucky if you think about it~❤
昇格戦はパーになっちゃいましたけど、\nこんなに気持ちいいんですもん、\n別にいいですよね？,I know you lost the promotion match; but doesn't this feel so good you don't care anymore?
よくないっ❤❤かたないと、ぼくは勝たないとっ・・・❤❤❤,No, no... ❤❤ If I don't do something, I won't win...❤❤❤
はいはい❤口先ばっかりの勝利へのプライド、\nおっぱいでどろどろに溶かされちゃってください❤,Come on; come one~❤ Your pride in winning is all talk; so just let it all get squeezed out by my boobs~❤
ほら、またおっぱい早くしちゃいますよ❤\nずりずりずり～❤,Here; I'll bounce super fast again~❤ Up and down; up and down~❤
あひっあぐぅっ❤❤❤うぁっ、ああっ、また、でるっ❤❤でちゃうっ❤,Ahh; ahh; ahh...❤❤❤ Ugh; ahh; I'm cumming again...❤❤ I'm coming...❤
いいですよ❤\nいっぱい出してもっとおっぱいをぬるぬるにしてください❤,That's it~❤ Please cover my boobs in a lot of your semen and make them even more slippery~❤
気持ちよくなって、\nおっぱいに弱くなって、\nもっともっとおかしくなるんです❤ほら、ほら、ほら❤,Keep feeling good; getting weak over breasts; and becoming more and more crazy~❤ Come on; hurry; hurry~❤
あはん❤射精しすぎて、マスターさん気絶しちゃいました❤,Ah; Master~❤ You came so much you fainted~❤
意識はないのにびくんびくんって体が痙攣してる…❤\nふふ、おもしろいですね❤,Even though you're asleep; your body is still twitching...❤ Hehe; that's so funny~❤
これだけ搾り取られたのに、\nまだおっぱいの間におちんちんずぼずぼしたいんでしょうか❤\n空中に向けてヘコヘコヘコ♪ぷぷっ、みなさん笑っていますよ❤,You came so much; do you still want to thrust between my boobs~❤ You're humping the air~♪ Hehe; everyone's laughing at you~❤
闘技場でカラカラになるまで搾り取られ、醜態をさらしてしまった僕は、プライドがすっかりボロボロになってしまった。,After being drained dry in the arena and showing such a disgraceful display; my pride was left completely shattered.
闘技場の医務室で目を覚ましたあとも、恥ずかしさで周りの人に見られるのが耐えられない。僕は顔を隠しながらそそくさと宿屋へ逃げ帰ったのだった。,Even after waking up in the arena's infirmary; I couldn't bear the thought of being seen after what I'd just done. I rushed to cover my face and hurried back to the inn.
キャミーと戦うまでは、連勝記録を持ち、周囲から期待のルーキーなんて呼ばれていたというのに…。,Until I fought Cammy; I was undefeated. I was called the promising rookie...
しかし、こんな状況に陥ってすら、僕は今日の試合を後悔することができなかった。体に深く刻まれた快楽は、宿屋に戻ってからもうずきつづけ、敗北を悔しがるよりも先にムラムラが思考を支配してしまう。,However; even in a situation like this; I couldn't bring myself to regret today's match. The pleasure had been etched deeply into my body and continued to make me tingle; even after returning to the inn; and before I could regret my defeat; my thoughts were overtaken by desire.
カードマスターとしてそんな考え方でいいはずがない。それは分かっているはずなのに…。,As a cardmaster; thinking like that wasn't okay. I know that. But...
試合から数日後,A few days after the match
あら？誰かと思えば、この間のマゾルーキーじゃない。\nわたしの試合のあとに待ち伏せするなんて、\nなにか用？,Oh? If it isn't the masochistic rooking from before. Waiting for me after my match. What do you want?
ううっ・・・。それは・・・。,Ugh... I... That is...
ぷぷっ、だいじょうぶ。だいじょうぶ。\nわかってるわよ。\nわたしと一回やった相手でアンタみたいになっちゃう奴多いんだから。,Hehe; hey. It's okay. I know. There are a lot of guys who end up like you after just one match against me.
この子にまたおっぱいでいじめてほしくなっちゃったんでしょ？\n出なさい、<{自分}>を召喚。,You want that little bunny to bully you with her breasts again; don't you? Summon <{自分}>. Come out.
こんにちはー。今日は観戦ありがとうございました❤\n観客の中にあなたがいて、\nわたしの方をあつい視線で見てたの、気づいてましたよ❤,Hiya! Thanks for watching today~❤ I noticed you in the audience; staring at me so intently~❤
とくにこのおっぱい❤\nわたしがちょっと前かがみになるたびに、\n食い入るように見ちゃってて、くすくす❤おかしかったです❤,Especially my boobs~❤ Every time I leaned forward a bit; you couldn't look away; hehe~❤ It was really silly~❤
あん❤ちょっと言葉でからかってあげただけで、\nおちんちんギンギンになっちゃってますね❤\nこんな人の多いところで勃起して、恥ずかしくないんですか？,Ah~❤ Just a few teasing words; and you've already gotten all hard~❤ Aren't you embarrassed to be getting excited in such a crowded place?
もっともっと勃起しちゃいます？\nほらほらぁ、谷間を腕で強調してぇ、\nあはーん❤ゆさゆさゆさ～❤,Are you getting even more aroused? Come on; come on; look at my boobs while I push them together; ahah~❤ I'll even shake them for you~❤
はぐううっ❤❤えろすぎるぅ・・・❤❤,Hahh...❤❤ So sexy...❤❤
こら、あんまりやりすぎると移動できなくなるでしょ。\nこういうマゾはほんとチンポ弱いんだから。\n加減しなさい。,Hey; don't overdo it or he won't be able to move. People like this masochist are really weak. Take it easy.
さて、それじゃ積もる話もあるでしょうし、\nわたしの控室まで来なさい。\nそこでたっぷりこの子にサービスさせてあげる❤,Anyways; we have a lot to talk about; so come to my waiting room. If you do; I'll let this girl pamper you~❤
代わりにアンタが持ってる色んなもの、\nわたしがたっぷりいただくわよ。\nお金にレアカード、それに・・・。,And in exchange; I'll be taking everything you have. Money; rare cards; and maybe...
奴隷代わりに働いてもらうのもいいかしら♪\nあんた魔力は良質みたいだし、\nこの子を召喚した分の魔力ならお釣りがくるでしょうね。,Maybe I'll make you my slave~♪ Your magical power seems to be pretty high quality; so you should have more than enough magic left after my monster is done with you.
ふふ、いい奴隷が手に入っちゃった❤\nそれじゃ、詳しい話はわたしの部屋で、ね・・・❤,Hehe; I think I found myself a good slave~❤ Well then; let's talk about the details in my room...❤
その後、{自分プレイヤー}の部屋で{自分}のご奉仕を受けた僕は、完全に{自分}に依存するようになってしまった。,After that; I followed {自分プレイヤー} to her room; where I became completely dependent on {自分} after she pampered me.
小さな体に不釣り合いな彼女の胸で挟んでもらうためなら、僕はカードもお金もすべてキャミーにささげてしまった。,In order to keep being squeezed between her huge breasts; which look even bigger on her small body; I dedicated all my cards and money to Cammy.
クエストも闘技場の試合もただただ{自分}に会うためだけにこなし、キャミーのために買い物や色々な小間使いに奔走する日々。,I spend my days completing quests and fighting in the arena. I do anything just for a chance to see {自分} again; even running errands and doing various chores for Cammy.
それだけしても時折しか{自分}を召喚してもらえることはなかったが、僕は{自分}にすっかりメロメロになっていて、何も不満に思うことはなかった。,Despite doing all that; she was only summoned on rare occasions. Even so; I was completely smitten with {自分}; so I didn't care..
こうして妹を探すための主人公の冒険は終わりを迎え、残りの人生を胸が大きいことだけが取り柄のCランクマスターの奴隷として過ごすことになるのであった。,Thus; the protagonist's adventure to find his sister came to an end; and he spent the rest of his days as a slave to a C-rank master; whose only notable trait was her large breasts.
