default
キャミー,Cammy
わたしの攻撃で腰砕けにしてあげる。{防御カード}を攻撃！,My next attack will make your knees weak! I'll attack {防御カード}!
快楽を味合わせてあげる。{防御カード}を攻撃！,I'll let you experience true pleasure. I attack your {防御カード}!
気持ちよくしてあげなさい❤{使用カード}で{防御カード}を攻撃！,Feel the pleasure!❤ {使用カード}; attack {防御カード}!
行きなさい。{使用カード}で{防御カード}を攻撃。,Now; go {使用カード}. Attack {防御カード}!
ううっ、何もできないなんて・・・。ターンエンド。,Ugh; looks like I can't do anything... End turn.
手札に使えるカードがないなんて運が悪いわ。ターンエンドよ。,I can't play any more cards from my hand. That sucks. End turn!
ターン終了ね。,Turn end.
わたしのターンはおわりね。ターンエンド,Guess my turn's over. End turn.
これでおしまい。ターンエンド。,That's everything. End turn.
わたしの得意技をしてあげる。ほら❤,I'll show you my special skill. Look here~❤
この大きさで挟んであげれば、みんなすぐイクのよ？\nアンタのチンポも、ふふ、挟んだだけでもう震えちゃってる❤,Did you know? Anybody I squeeze with these big tits ends up cumming almost instantly. Even just being between them... *Giggle*❤ Your cock's trembling like all the rest.
ここから思いっきりズリズリしてあげれば・・・❤\nさあ、楽しみなさい❤,Starting now; I'll be pumping nice and fast...❤ Come on; let yourself feel good~❤
ふふ、挟まれる前から勃起しちゃってるじゃない❤\nそんなにわたしのおっぱい、楽しみだった？,Fufu; even before your cock was trapped between my breasts you were already hard; weren't you? Were you looking forward to them that much?
やわらかさもハリも最高なのよ？\n全部埋もれるように挟んであげるから、\nそのまま脳みそ天国に行っちゃいなさい❤,Isn't it absolutely divine; so soft; yet so firm? I’m going to bury you completely; so just let your mind slip into bliss~❤
おっぱいが大きいって言えば、やっぱりこれよね。\nよいっしょと・・・❤,When it comes to big boobs; nobody else comes close. Here we go~❤
どう？アンタのチンポ完全に埋もれちゃったわ。\nふふ、どこにあるのか分からないぐらい小さいのね。,Your cock got completely buried. Well? How is it? Hehe; it's so tiny I can't even tell where it is.
ごめんごめん。別にアンタだけが小さいわけじゃないのよ。\nみんな男のチンポなんて同じ。\nわたしのおっぱいに比べれば、小枝みたいなものなんだから。,Sorry; sorry. You're not the only one who's small! All guys' dicks look the same. They're like tiny twigs compared to my massive breasts.
ほら、ほら・・・❤気持ちいいでしょ？\n大きなおっぱいに飲み込まれて、イクまでメロメロになっちゃいなさい❤\nくすくす❤,See?❤ Feels good; doesn't it? Let these huge breasts swallow your tiny dick up; so just lose yourself to the pleasure and cum.❤ *Giggle*❤
胸に目が行っているわね。くすくす❤\nやっぱりこれだけ大きいと気になる？,Your eyes keep wandering; you know. *Giggle*❤ You can't help but stare at these huge breasts; can you?
チンポをここで挟んだら、ぜーんぶ埋まっちゃうの。\n先っぽも全然出てこれないで、敏感な部分ごと\nおっぱいにみっちり押しつぶされちゃうのよ❤,If I wrap my breasts around your cock; it'll be completely buried. The tip won't even come out; with all your most sensitive places being totally smothered between them!❤
あら、今のを聞いてパイズリされること以外頭から飛んじゃったみたいね。\n棒立ちでわたしの前に立っちゃって、ほら挟んであげるわ❤\nやわらかーいおっぱいの感触、楽しみなさい❤,Oh my; from just hearing me say that; it seems the idea of getting a boob job is the only thought left in your head. Standing in front of me; so turned-on... Alright; let me sandwich your hard cock for you.❤ Enjoy the sensation of my soft; squeezable breasts~❤
ふふ、今のを聞いてパイズリされたくなっちゃったんでしょ？\nほら挟んであげるわ❤やわらかーいおっぱいの感触、楽しみなさい❤,Fufu; hearing that made you want a titjob; didn't it? Here; let me wrap my soft; plump breasts around your cock for you.❤ Just sit back and enjoy how they feel~❤
ぷっ、なにアンタ、敵に向かって\n「気持ちよくしてください」って頭下げてるの？\nまだ1ターン目なのに？ぷぷぷっ、バカすぎでしょ❤,Pfft; why are you bowing your head and asking the enemy to "Please make me feel good"? It's only the first turn!? *Giggle*❤ You're way too pathetic!❤
ちょっとハグされただけで、エロいことで頭いっぱいになるとか、\n童貞マスターちょろすぎ❤\nなにが無敗よ、ただのザコじゃない❤ザコ❤,Just a little hug is all it takes to fill your head with dirty thoughts? What a hopeless; virgin cardmaster!❤ Undefeated; huh? You're just a weakling.❤ Pathetic~❤
ぷっ、なにアンタ、わたしのおっぱいで気持ちよくなりたいわけ？,Pfft; what’s this? Do you want my boobs to feel good that badly?
あはは、まじめに戦ってるかと思ったら、チンポ耐えられなくなっちゃったんだ❤\n理性よわ～❤\n昇格戦なのにおっぱいの方が大事とか、すっごいバカじゃん❤,Ahaha; you thought you could seriously fight; but your cock couldn't hold out; could it?❤ Such a weak-willed loser~❤ It's your promotion exam; but you care more about my boobs than winning; is that it? You're such an idiot~❤
ううっ・・❤だって、あううっ・・・❤,Ughh...❤ But; ahh...❤
きゃはは、何が「だって」よ。\nさっさとイかせて試合を終わりにしてあげる❤\nわたしのパイズリで瞬殺されな❤ザーコ❤,Kyahaha; what do you mean "but"? I'm gonna make you cum quickly and end this match!❤ You'll be annihilated by my paizuri skills in no time~❤ Loser!❤.
わたしのおっぱい見てるだけでチンポ限界になっちゃったわけね❤\n童貞マスターちょろすぎ❤\nなにが無敗よ、ただのザコじゃない❤ザコ❤,So; just staring at my breasts made your cock reach its limit?❤ You're such a pathetic virgin master.❤ So much for being undefeated. You're just a weakling.❤ Loser!❤
どうせアンタもわたしのおっぱいでパイズリされたいんでしょ？\nこの爆乳に全部飲み込まれて、ずりずりずりって天国送り❤\nほら、さっさとイかせて試合を終わりにしてあげる❤,You want me to give you a titjob with my big breasts; don't you? I'll wrap your cock between these huge tits of mine and stroke it. I'll send you to heaven~❤ Come on; let me finish you off quickly and end this match.❤
わたしのパイズリで瞬殺されな❤ザーコ❤,My amazing breasts will defeat you in an instant. Get ready for defeat; loser. *Giggle*❤
ぷっ、攻撃しに来たんじゃなくて、\n「おっぱいで挟んでぇ」っておねだりするんだ❤\nさすがはマゾ❤自分から負けに来るとか弱すぎでしょ❤,Pfft; I thought you were coming to attack; but instead you're begging "Please squeeze me with your boobs"? As expected of a masochist~❤ You came here just to lose by yourself! What a weakling!❤
昇格試合で手下に裏切られて、ルーキーくんもかわいそうね❤\nアンタへの忠誠心なんかより、わたしのおっぱいの方が大事だってさ。\nぷっ、くすくす❤,Betrayed by your underlings during your promotion exam... Poor rookie~❤ They decided my boobs are more important than loyalty to you. *Giggle*❤
ほら、裏切ったご褒美にパイズリで天国見せてあげる❤\n他のやつら全員あたしに屈服したくなるような、最強のパイズリ❤\nせいぜい喘いで、仲間たちにアタシがどれだけ強いか教えてあげなさい❤,Here. For betraying your master; I'll reward you with a titjob that'll send you to heaven.❤ A titjob so incredible it'll make all the others want to submit to me.❤ Moan as much as you can and show your allies just how powerful I am~❤
あはは、まじめに戦ってるかと思ったら、チンポ耐えられなくなっちゃったんだ❤\n理性よわ～❤本気出せば勝てるはずなのに\nおっぱいの方が大事とか、すっごいバカじゃん❤,Haha. Here I thought you were fighting seriously; but your cock couldn't hold out; could it?❤ So pathetic~❤ You could win if you really tried; but you're more interested in my boobs than winning. What an idiot❤
どうせアンタもわたしのおっぱいでパイズリされたいんでしょ？\nこの爆乳に全部飲み込まれて、ずりずりずりって天国送り❤\nほら、さっさとイかせてバトルを終わりにしてあげる❤,Well? You want a titjob from my big breasts; don't you? I'll wrap your cock completely in these huge tits and pump until you're sent straight to heaven. Come on; hurry up and cum so I can end this battle.
バトル中に手下に裏切られて、ルーキーくんもかわいそうね❤\nアンタへの忠誠心なんかより、わたしのおっぱいの方が大事だってさ。\nぷっ、くすくす❤,It's so sad that the rookie got betrayed by his own men during the battle.❤ They care more about my big breasts than their loyalty to you. Pfft. *Giggle*❤
はい、楽勝❤\n男のチンポ射精させるのなんて、ほんと簡単よね❤\nズッてやったら全然耐えられない❤,As expected; it's really easy to make a guy cum~❤ I just pump his cock like this; and he can't hold back at all~❤
バカみたいに喘ぎながら、こんなに射精してさ❤\nあはは、見てよ周りのアンタの仲間の顔❤\nうらやましそうにアタシのおっぱいガン見してんじゃん❤,You moaned like an idiot while cumming this much~❤ Haha; look at the faces of your allies all around you.❤ They all seem so jealous; staring at my boobs so intently.❤
お前らも早くアタシのおっぱいで屈服しな❤\nこの谷間でズリ潰されたら最高に気持ちいいよ❤きゃはは❤,You should all just hurry up and surrender to my tits!❤ Being squeezed in my cleavage will feel absolutely incredible.❤ *Giggle*❤
ぷぷっ、もう完全に骨抜きじゃない❤\nわたしのおっぱいから逃げられないみたいね❤,*Giggle*❤ You're already completely helpless; aren't you? Looks like you can't escape from my breasts anymore~❤
そのままじっとしていなさい。\nパイズリで追い討ちして、このまま終わらせてあげる❤,If you stay still just like that. I'll finish you off with a titjob. Let's end this together~❤
あは、すっかり棒立ちね。\nおっぱいフェチのアンタは、もうメロメロみたい❤,Aha; you're completely hard. A boob fetishist like you seems to be totally head over heels for these breasts~❤
そのままじっとしていなさい。\nもっともっとパイズリしてあげる❤,Stay still just like that; and I'll give you an even more pleasurable titjob~❤
あら、もう出ちゃうんだ❤まだ１ターン目なのに、あんっ❤,Oh; you're cumming already?❤ It's only the first turn; you know. Ahh~❤
ん、もう出ちゃう？\nいいわよ、ほらおっぱいぎゅー❤,Oh; are you already about to cum? That's fine; here; let me squeeze my breasts tighter against you!❤
あん、逃げなくていいのに…。\nこのままイっちゃうまで楽しみましょうよ❤,Aah; there's no need to run away... Just enjoy this until you can't hold back anymore!❤
おっぱいの中に出すの、とっても気持ちいいわよ？くすくす❤,Cumming inside my enormous breasts feels amazing; doesn't it? *Giggle*❤
やん、何も突き飛ばさなくてもいいじゃない。\nただパイズリしてあげてるだけなのに…❤,Hey; there's no need to push me away. I'm just giving you a titjob...❤
逃げなければおっぱいの間で気持ちよくイけたのよ？\nああん、もったいない❤,If you hadn't run away; you could've come so nicely between my breasts; you know? Ahhh; what a waste~❤
おっぱいやわらかい？心ゆくまで堪能していいわよ❤,Do my breasts feel soft? Feel free to enjoy them to your heart's content!❤
あは、ずりずりするたび声が漏れちゃっている❤気持ちいいのね❤,Aha... You let out such cute little moans every time I rub you. It feels amazing; doesn't it?❤
ふふ、かわいらしい間抜け顔❤もっとだらしなくしてあげるわ❤,Fufu; what an adorably stupid face you're making.❤ I'm going to make you look even more pathetic~❤
おちんちん全部包み込んであげる。頭まっしろになりなさい❤,I'll completely envelope your cock with my breasts. Lay back and let your mind go blank~❤
パイズリで射精❤谷間に射精❤ほらほらほら❤,Cumming all over my cleavage...❤ Filling my breasts with your load...❤ Look at that; you're making a mess everywhere~❤
わたしの爆乳最高でしょ？イくまでじっとしてていいのよ❤くすくす❤,My massive tits are amazing; right? Just stay still and let me make you cum!❤ *Giggle*❤
逃げなくていいの？ふふ、戦うよりパイズリされている方がいいわよね❤,Aren't you going to try to escape? *Giggle*❤ Getting a titjob is much better than fighting; huh?❤
わたしの一番の得意技❤パイズリされてどれだけ耐えられるかしら❤,Here comes my best technique~❤ Let's see how long you can last against my titjob~❤
おちんちんを両側からずりずり❤ずりずり❤,I'll start rubbing your cock from both sides~❤ Stroke; stroke; stroke~❤
ライフがあといくつかなんて考えなくていいわよ。あっという間に射精させてあげる❤,No need to worry about how much life you have left! I'll make you cum in no time.❤
負けた後もイイことしてあげるわ。だから負けるまでじっとしてなさい。うふふ❤,Even after I win; I'll keep doing nice things for you. So stay still until you lose. alright? *Giggle*❤
降参していいのよ。おっぱいに負けてびゅーってしちゃえ❤,You can surrender anytime! Let these breasts finish you and cover them in your load~❤
マスターの命令なんて聞こえないでしょ？気持ちいいのに負けちゃいましょ？,You can't even hear your master's orders anymore; can you? Why not just surrender to the pleasure?
わたしのおっぱいに勝てる？アンタの腰は射精したくて震えているみたいだけど❤,You really thought you could win against my tits; didn't you? From how much your hips are trembling; though; it looks like you're already eager to cum.❤
気持ちいいのを楽しんでも大丈夫。ほかの仲間が頑張ってくれるわ❤ほら、ほら…❤,It's alright to enjoy yourself; you know.❤ Your allies can handle the rest. Look; see?❤ *Giggle*❤
きゃはは、わたしの勝ちね❤楽勝すぎ❤\n昇格試合の敗因はおっぱいでオナニーだもの❤\nみっともなさすぎてこの先街歩けないんじゃない？,Kyahaha; I won! That was too easy!❤ You lost your promotion match because you were too busy jerking off to my tits!❤ How embarrassing~❤ I bet you'll never be able to walk in public again; huh?
そんなバカみたいな負け方したのに、\nとろけた顔してるんじゃないわよ❤ザーコ❤,Even after lowing in such a pathetic way; you're still making that melted face!❤ What a loser~❤
きゃは❤エナジーで谷間がどろどろ❤\nわたしのパイズリ、エグイぐらい気持ちよかったでしょ？\nイった後も腰をビクビク痙攣させて、芋虫かっての❤ザーコ❤,Haha... My cleavage is all sticky with your energy~❤ My titjob felt insanely good; didn't it?❤ Even after cumming; your hips are still twitching like a worm.❤ Pathetic~❤
きゃはは、わたしの勝ちね❤楽勝すぎ❤\n昇格試合で勝ったのまぐれだったんじゃないの？\nチンポシコって負けるとか、何が上位ランクよ❤,Hahaha; I win!❤ That was way too easy~❤ Guess winning that promotion match was just a fluke; huh? Losing because you were jerking yourself off... How pathetic for someone high-ranked than me!❤
あぅぅ……❤,Ahh...❤
ぷっ、なにそれ？まさかオナニーしてるわけ？\nこれだから童貞は❤,Pfft; what's this? Are you seriously masturbating right now? This is why virgins are so easy.❤
ちょっーとハグしておっぱいを押し付けてあげたら、\nあっという間に頭の中スケベなことでいっぱい❤\nチョロすぎて心配になるレベルだわ❤くすくす❤,When I pressed my breasts against you for a bit during that hug earlier; your mind immediately filled with dirty thoughts; huh?❤ You're so easy; it's almost concerning.❤ *Giggle*❤
でもわたし、チョロい男大好きよ❤\nわたしに勝利をいくらでも献上してくれるしね❤,But you know; I absolutely love naive boys like you!❤ They just keep handing victories over to me like it's nothing.❤
ぷっ、なにそれ？まさかオナニーしてるわけ？\nうわー、昇格試合でそういうことするとか、ほんとありえない❤,Pfft; what’s this? Are you seriously jerking off? Wow; doing something like that during a promotion match... You’ve got to be kidding!❤
わたしのおっぱい、そんなエロかった？\nちょっとおっぱいで可愛がってあげたら、自分からシコり始めるとか。\nくすくす、アンタチョロすぎ❤,Was my chest really that enticing? Just a little tease with my breasts; and you're already stroking yourself. *Giggle*❤ You're so easy~❤
ううっ、くそぉ…❤,Ngh; damn it...❤
はいはい❤悔しいのよねー❤悔しいけどおっぱい大きすぎて、\nおちんちん言うこと聞かなくなっちゃったのよねー❤\nぷっ、あははは❤,Yeah; yeah.❤ You're frustrated; aren't you? You're frustrated; but my breasts are just too big; so your cock won't obey you anymore; will it?❤ It can't resist anymore; and neither can you~❤ *Giggle*❤
ねーねー、自分で言ってて恥ずかしくないの？\nほんとに悔しいなら、チンポさわる手、止めてみせろっての。\n口だけカッコつけて、よく昇格戦まで上がってこれたわね。,Hey; don't you feel embarrassed saying that yourself? If you're really that frustrated; then prove to me you can stop stroking your dick. You always act tough with your words; but it's a wonder you even made it as far as the promotion exams.
アンタみたいなおっぱいマゾは、\nどうせこうされたら、脳みそ猿になるんでしょ？\nうり❤,A boob masochist like you would probably turn into a brainless monkey if someone did something like this; right? Squeeze~❤
あっ、ああっ…❤すごいぃ…❤,Ah; ahh...❤ This feels amazing...❤
きゃはは❤しごけしごけ❤\n雑魚相手にはパイズリもぱふぱふもなしよ❤\nおっぱい見て、自分から負けなさい❤,*Giggle*❤ Stroke it; stroke it~❤ No titjobs or boob pressing for losers like you!❤ Just watch my big tits and surrender on your own~❤
パトラみたいな強いやつにも勝ったんでしょ？\nきっと実力じゃわたしよりアンタの方が上なんでしょうね。\nでも・・・❤,You beat someone as strong as Patra; didn’t you? You must be stronger and more skilled than me. But...❤
わたしはただおっぱいがデカいってだけで\nそんなアンタに圧勝しちゃうの❤\nねえねえ、そんなのでいいの？期待のルーキーくん❤きゃははは❤,Just because my breasts are huge; I can completely overpower someone like you~❤ Hey; hey; is that really okay? Mr. "Promising Rookie?" Kyahaha~❤
う、うぅ……っ❤あうっ、もうっ❤,Ah; ahhh...❤Ooh; please...❤
ぷっ❤バカにされて興奮しているんだ？へんたーい❤\nおっぱい見せつけられたうえに言葉でいじめられたら、\nマゾチンポ降参したくなっちゃうもんね？,Pfft~❤ Getting excited from being mocked? What a pervert~❤ When you're teased with words and shown my breasts; I bet that masochistic cock of yours just wants to surrender; right?
くすくす❤わたしこんなおっぱいマゾと戦えてむっちゃラッキーだわ。\nほら、おちんちんの前でたぷたぷ揺らしてあげるから、\n脳みそ沸騰させながら射精しちゃいなさい❤乳揺れでイケ❤ザーコ❤,*Giggle*❤ I'm so lucky to have a masochist like you to tease with my tits. Here; I'll shake them right in front of your cock; so let your brain boil over and cum. Let these jiggling boobs drive you wild; you pathetic wimp~❤
あ、うぁ……っ！❤,Ah; uhh...!❤
はーい❤楽勝勝利～❤\nエナジー無駄出しできてよかったわね❤きゃはは❤,Yay! An easy victory!❤ I'm so glad you wasted all your energy.❤ Kyahaha~❤
うう……❤くそぉ…❤,Ugh...❤ Damn it...❤
きゃはは❤見てよこれ。\nルーキーくんのしもべ、わたしの前でオナニーしているんだけど❤,*Giggle*❤ Look at this. This rookie's servant is jerking off right in front of me~❤
マスターの命令無視して、敵の前で降参オナニー❤\nボクはこのおっぱいには勝てませ～んって\n武器を捨てておちんちんシコシコ❤うっわー、はずかしいー❤,Disobeying your master's orders and masturbating in front of the enemy~❤ Throwing away your weapon; admitting defeat to my boobs and jerking off~❤ Wow; that's so embarrassing!❤
あうぅ……❤,Aahh...❤
ねえ、アンタ、召喚されてから\n一回も攻撃しないでオナニーし始めたわよね。ぷっ、くすくす❤\nなに？視界に飛び込んできたこの巨乳に我慢できなくなっちゃった？,Hey; you. You got just summoned and immediately started jerking off instead of attacking. Pfft; *Giggle*❤ What is it? Could it be that the sight of my big; bouncing breasts has made you lose control already?
ねえ、アンタ、大事な試合なのにマスターを守らなくていいの？\nおっぱいにメロメロになって、\nチンポしこっている場合じゃないと思うんだけど❤,Hey; do you think it's okay to ignore your master during such an important match? Getting all head-over-heels for my boobs and jerking off isn't helping; you know~❤
アンタがいなくなったら、マスターは不利になって、\nそのうえアンタのエナジーでわたしは回復して…。\nくすくす❤最悪の裏切り行為よねー。,If you disappear; your master will be at a disadvantage; and I'll recover by draining your energy... *Giggle*❤ That's the worst kind of betrayal; you know.
わたしのおっぱいが強すぎてごめんね❤\n男なんてチンポに脳みそついている生き物に、\nこんな爆乳見せちゃダメだったわよね❤ほら・・・❤,Sorry; my breasts are just too overwhelming for you; aren't they?❤ For a guy whose brain is basically attached to his dick; showing you these massive tits would probably be trouble.❤ Look...❤
シコれ❤マーゾ❤,Stroke that cock~❤ You masochist~❤
あひぃ……❤すごいぃ…❤,Ahh...❤ Feels so good...❤
あ～あ～、めっちゃシコってる❤\n観客がいっぱいいるのに、カッコ悪いったらないわ。,Ah ah; you're really jerking off hard~❤ Even though there are so many people watching... How embarrassing.
わたしの最強おっぱいで、理性が蒸発しちゃったみたい❤\n顔もとろとろで幸せそうねー❤\nバーカ❤,It looks like your common sense has evaporated because of my incredible tits~❤ Your face is all melted and you look so happy.❤ Idiot~❤
わたしのおっぱいエロすぎるんだもんね？\n爆乳見ながらシコるの気持ちよすぎるもんね？\nぷぷ、雑魚マゾはさっさとイきなさい。おっぱい揺らしたげる❤,My breasts are just too tempting; aren't they? Watching these huge tits while jerking off must feel amazing too; huh? *Giggle*❤ Pathetic masochists should just hurry up and cum. Here; I'll even shake my boobs for you.❤
ゆさゆさ～❤あはーん❤,Watch them sway~❤ Isn't it nice?❤ Ahn~❤
はううう……っ❤,Ah... Ah...❤
あははっ、乳揺れで無様に射精❤\nしもべがこのレベルじゃ、\nDランクを連勝したとかいうマスターの程度も知れるわね。,Haha! You came pathetically just from my breasts bounce~❤ With a servant at your level; it's no surprise your master is still stuck at D-rank matches.
あら怒った？どうせ、アンタも\nわたしのおっぱいでおちんちんむずむずしちゃってるんでしょ？❤\n意地張ってないでさっさとシコリに来なさい❤くすくす❤,Oh; are you angry? Still; your cock's probably all twitchy because of my breasts; right?❤ Stop being so stubborn and come jerk off already~❤ *Giggle*❤
きゃはは❤しもべの次はマスター自らシコシコ？\nうわー、昇格試合でそういうことするとか、ほんとありえない❤,*Giggle*❤ First the servant; now the master's stroking himself? Wow; doing that during a promotion match... That's unbelievable~❤
まだ試合始まったばっかりよ？\n試合前のハグがよっぽど効いたのかしら。\nアンタらチョロすぎよ❤チョロすぎ❤,You know the match just started; right? I guess the hug I gave you earlier really did a number on you. Guys like you are too easy. Way too easy!❤
わたしのおっぱい、そんなエロかった？\n手下が負けるの見てたらうらやましくなっちゃったのかしら❤\nくすくす、よっわー❤,Were my breasts really that tempting? Or did you get jealous after watching your servants lose to me?❤ Hehe; how pathetic~❤
はーい❤楽勝勝利～❤\n手下と同じように、エナジー無駄出しできてよかったわね❤\nきゃはは❤,Yes~ An easy win for me~❤ Thanks for wasting your energy; just like your servants~❤ *Giggle*❤
きゃはは❤見てよこれ。\nルーキーくんのしもべ、またわたしの前でオナニーしているんだけど❤,Kyahaha~❤ Look at this! Another of the Promising Rookie's servants is masturbating in front of me~❤
期待のルーキーくん、人望なさすぎなんじゃない？\n自分のしもべもコントロールできなくて\n何がカードマスターなのかしら。,I don't think you're very popular with your servants; Mr. Promising Rookie. If you can't even control your monsters; what kind of cardmaster are you?
アンタのしもべはよくわかっているのよね。\n男のマスターに従うのと、エロすぎる爆乳マスターに降参するの、\nどっちが理にかなっているのか。,Or maybe they just know better. Which makes more sense? Obeying a guy like you; or surrendering to a sexy; big-titted master like me?
おっぱいでちょっと挟まれただけで、\nチンポに分からされちゃったのよね❤\n男がこの爆乳に絶対勝てないってこと❤,From just a little squeeze from my breasts; your cock understands; doesn't it? No man couldn't possibly stance a chance against these huge tits of mine.❤
おっぱいが揺れているの見ただけで、\nチンポに分からされちゃったのよね❤\n男がこの爆乳に絶対勝てないってこと❤,From simply watching my boobs bounce; your cock understands; doesn't it? No man couldn't possibly stance a chance against these huge tits of mine.❤
命令無視して降参オナニー、気持ちいい？\nボクはこのおっぱいにメロメロですぅ～って\n武器を捨てておちんちんシコシコ❤シコシコ❤,Doesn't it feel good to ignore orders; surrender; and just stroke your cock? You're completely head-over-heels for these breasts~ Go ahead. Throw down your weapons and start stroking your cock~❤ Stroke; stroke~❤
ねえ、アンタ、召喚されてから\n一回も攻撃しないでオナニーし始めたわよね。\nなに？仲間がシコっているのを見て、我慢できなくなっちゃった？,Hey; you haven't even attacked once since getting summoned and instead just started stroking your cock. What? Did you see your comrades jerking off and couldn't hold back anymore?
ねえ、大事な試合なのにマスターを守らなくていいの？\nおっぱいにメロメロになって、\nチンポしこっている場合じゃないと思うんだけど❤,Hey; isn't this an important match? Shouldn't you be protecting your master; instead of obsessing over these big boobs of mine? It's no time to be stroking your cock~❤
さっきのやつに加えてアンタまでいなくなったら、\nマスターは圧倒的不利。\n昇格試合の勝利も絶望的になっちゃう…❤,If you disappear like the guy before you; your master will be at a huge disadvantage. Winning the promotion match would be hopeless~❤
あ～あ～、めっちゃシコってる❤\n観客がいっぱいいるのに、カッコ悪いったらないわ。\nわたしの最強おっぱいで、理性が蒸発しちゃったみたい❤,Ah; ah~ You're stroking yourself so hard~❤ you look so uncool doing that with all those spectators around. It seems like my unbeatable breasts have made your rationality evaporate~❤
顔もとろとろで幸せそうねー❤\n男ってほんと雑魚すぎ❤おっぱい見せられたら何も考えられない❤\nシコるの気持ちよすぎるんだもんね？,Your face is all dazed and happy~❤ Men are such weaklings.❤ Show them some breasts and they can't think of anything else~❤ I bet stroking it feels too good to stop; right?
さっさと、イきなさい。おっぱい揺らしたげる❤,Here; I'll bounce my boobs for you; so hurry up and come already~❤
たぷ～ん たぷ～んって、目の前でセクシーサービス❤\nあはーん❤ゆさゆさー❤,Bouncy; bouncy~❤ A sexy show; just for you~❤ Ahah; see how they sway?❤
あははっ、乳揺れで無様に射精❤\nこんなにおっぱいドロドロにしちゃってさ、\nこのままオナニーだけでアンタら全滅しちゃうんじゃない？,Hahaha; you came so pathetically from just watching my boobs sway~❤ You made such a mess of my tits. If you all keep up like this; you'll get wiped out just jerking off~❤
違う？ほんとかしら。\nほら、おっぱいゆさゆさー❤,No? We'll see. Look; I'll sway my breasts for you~❤
きゃはは❤ガン見しちゃってるし❤\nアンタらもさっさとシコリなさい❤\n無駄な言い訳しても結局おっぱいに負けるんでしょ？ふふふ❤,Hahaha~❤ You're staring so hard.❤ Just go ahead and jerk off already~❤ No matter how many useless excuses you make; you can't resist my boobs; right? Fufufu~❤
あっ・・・❤あああっ❤がまんできないっ・・・❤,Ahh...❤ Aaah...❤ I can't resist...❤
ぷっ、何が「がまんできない～」よ❤\n勝手にチンポシコって負けるとか間抜けすぎでしょ❤\nそんなにこの爆乳がエロかった？,Pfft; what's this "I can't resist" stuff? You're such an idiot; jerking off on your own and losing to temptation!❤ Were these huge boobs really that irresistible?
一回勝った相手なのに、\nバトルを重ねてるうちにムラムラがたまってついに暴発❤\nおっぱいには結局勝てないんだもの、男ってあわれねー❤きゃははは❤,You might've beaten me once; but as we kept battling; you got so horny you finally lost control~❤ You really can't win against breasts; can you? Men are so pathetic~❤ *Giggle*❤
マスターの命令も聞かずにシコシコしたと思ったらすぐ射精して、\nチンポも理性も弱すぎじゃない？ザーコ❤,You ignored your master's orders and jerked off; cumming right away. Aren't your cock and self-control way too weak? Loser~❤
はいはい❤アンタも爆乳で勝手に負けるのね❤\n何人もオナニーして自滅して、バカしかいないんじゃない？,Yes yes~❤ Another one losing himself to my huge breasts~❤ You're just another idiot; losing to me just to jerk off to my tits~❤
あは、バカって言われてチンポ反応してるし❤\n弱いだけじゃなくてマゾだとか,Aha; your cock's twitching from being called an idiot~❤ You're not just weak; you're a masochist; too!
…………っ。,Oof.....
（くっ、手強い……。\n　えっちなことに興味津々な年頃のくせに、半端じゃない理性だわ。\n　前評判は伊達ではないみたいね…。）,(Damn; he's tough... Even though he's at the age he should be incredibly curious about naughty things; his self-discipline is no joke. It seems the rumors weren't wrong...)
（だけど、わたしだってこれ以上負けるわけにはいかないのよ…！）,(But I can't afford to lose anymore...!)
……ねぇ、ルーキーくん？\n強がってるけどさ、\nほんとはもう限界なんでしょ？❤,Hey; Mr. Rookie? You’re acting tough; but you’ve already reached your limit; haven’t you?❤
そのギンギンのおちんちん 気持ちよくすること以外、\nなんにも考えなくていいのよ❤\nほら、わたしのパンパンのおっぱいで挟み潰してあげる…❤,That hard cock of yours doesn't need to think about anything but feeling good!❤ Come on; I'll squeeze it between my huge breasts~❤
（こうやってチンコの前におっぱい見せつけてやれば、\n　どんな男だって我慢できるはずがないわ…❤）,(No man could resist when I'm showing my boobs in front of his cock like this...❤)
（頭バカになっている間に、\n逆転の一撃を決めてあげる❤）,(While you're acting all stupid; I'll deliver a counterattack that'll make your head spin~❤)
…………っ！,....!
剣を振り下ろそうとした刹那、テントを張ってしまっているズボンの前に爆乳を見せつけられ、試合前に味わった胸の感触を思い出してしまう。,Just as I was about to strike the final blow; she flashed her enormous breasts in front of my tented pants; reminding me of the soft feeling I'd felt before the match.
お腹に触れただけでも惚けてしまうほどの柔らかさに今 ペニスを包まれたら、一体どれだけ気持ちいいのだろう。,If just having them press against my stomach had made me light-headed; I couldn't help but imagine what my cock would feel like wrapped in her plush tits.
ねえ、いいでしょ？パイズリ、させてよ❤\nアンタのチンポすりつぶして、\n最高に気持ちよくしてあげるわよ❤,It's okay; right? Let me give you a paizuri!❤ I'll squeeze your cock between my breasts and it'll feel unbelievably good!❤
男のくせに、なんで我慢できるのよ…！きゃあ！,But you're a man! How can you resist...? Ahh!
あっは❤\n逃げられないんだ？やっぱりチンポの欲求には勝てなかった？,Aha~❤ You can't escape; can you? In the end; you couldn't resist your cock's desires; right?
