default
宝石サキュバス,Gemstone Succubus
ほほほ❤この光を浴びると意識が一瞬で蕩けてしまうであろう？\nこの宝石には、わらわの魔力を集め光に変えて放つ力がある。,Hohoho~❤ This light makes your consciousness melt in a mere moment; does it not? This jewel has the power to gather my magical power; convert it to light; and release it to the world.
わらわほどの上級モンスターの魔力を浴びれば、\n並みの人間は一瞬で廃人になり、二度と妄想の世界から帰ってこれぬ。\nおぬしほどの魔力があっても、無事ではすまぬというわけじゃな❤,If you're bathed in the magical power of a high-level monster like me; an ordinary human like would instantly become helpless; never to return from their world of delusion. Even with your level of magical power; you have no hope of escaping unharmed.❤
多少は抵抗できるであろうが、\n快感は何十倍にもなり途方もない極楽を味わうことになるであろう❤,You may be able to resist to some extent; but any pleasure will be multiplied ten-fold; and you will no doubt experience unimaginable bliss~❤
うぐ、あうぅ・・・❤❤,Ugu; ahhh...❤❤
おっと、そのまま後ろ向きに地面に倒れるところじゃったの。\nほほほ、快楽で力が入らぬとはいえ、後頭部から倒れては危なかろう。,Oh my; you very nearly fell backwards onto the ground. Hohoho; I know you have been left weak from the such a wonderful sensation; but it would be dangerous if you were to collapse and hit your head.
ほれ、わらわがそなたを支えてやろう。\nただし、ただ支えるだけというような甘いことはせぬがの。,Come; I'll support you. Though; you shouldn't expect me to be so sweet as to simply stop at holding you.
うあっ・・・❤尻尾が吸い付いてきてぇ・・❤❤,Uahh...❤ Your tail... I-It's sucking me in...❤❤
ほほ、おおげさじゃの。まだ咥えただけ、\n少し中を動かしただけだというのに。\nおや・・・？,Hoho; how dramatic. I've merely taken your cock into its my mouth. I have hardly moved it at all. Oh...?
あっ、あっ、ああっ❤だめ、あぎぃっきもちよすぎるうっ❤❤,Ahh; ahh; ahhh!❤ No good! Aghh; it feels too good!❤❤
ほほほ❤尻尾で咥えた瞬間に出しおった。\nわらわのような上位のサキュバスの尻尾ははじめてか？,Hohoho~❤ You came the instant you were swallowed by my tail. Is this your first time with a succubus's tail as high-level as mine?
まったくこらえ性のないことよ。\nこれで「無敗」。これで「強者」か。ククク❤\n人類はサキュバス相手に勝ち目などなさそうよの。,You have absolutely no self-control! Is this truly the one they called "undefeated"? The "strongest there is"? Kukuku~❤ It seems humanity has no hope of triumph over succubi after all!
ほれ、まだ本番はこれからぞ？\nさあ、尻尾にしゃぶられて、そなたの精を出し尽くしてしまうがよい❤,Come now; the real fun has only just begun; has it not? My tail will gladly suck you dry until every drop of your cum is mine!❤
うぁっ❤あっ、ああっ❤❤❤はへぇ、こんなのっ❤だめ、だめぇっ❤\n吸い付いてきてぇ❤,Uahh!❤ Ahh; ahhh!❤❤❤ Hah; hah... This is incredible!❤ No; I can't take it!❤ It's sucking me so hard!❤
強すぎる快楽に体が暴れておるわ。\nとはいえ、まったく力が入っておらぬから、\n赤子がもがくほどの威力もないの❤,Your body is thrashing from the overwhelming pleasure. But you have no strength left; so your struggles are as feeble as newborns~❤
赤子のように駄々をこねても\nそなたはこの快楽からは逃れられぬぞ❤\nほれほれほれ・・・❤,No matter how large the tantrum you throw; you simply cannot escape this pleasure!❤ Feel it building; and building; and building...❤
尻尾の中は人間の女性器とは比べものになるまい？\n中では男を敏感にさせる愛液が分泌され、\n性器をぎゅうぎゅうと締め付ける❤,The inside of my tail is incomparable to any human woman's pussy; wouldn't you agree? Inside; special fluids are secreted that make men particularly sensitive as it squeezes their cock's tight~❤
小さなひだがペニスの側面を刺激して、\n手でも口でも、このような快感を再現することは不可能。\nサキュバスだからこその快楽よ❤,The small folds stimulate every part of your weak little penis; creating pleasure that no hand or mouth could ever replicate. This is a pleasure only us succubi can provide!❤
さて、このあたりで交渉と行こうか。\nそなたも早く射精したいであろう？\nそれなら、わらわに、手持ちのカードを差し出せ❤,Now then; shall we begin negotiations? You want to cum so badly; do you not? Then offer me one of your cards~❤
どのようなカードでもよいぞ。１枚出すのだ。\nほら、カードを取り出せるように、一時的に刺激を弱めてやろう。,Any card will do. Just give me one. Here; I will temporarily reduce the stimulation so you can reach for your deck.
はひぃっ、カード？なんでっ❤あっ、ああっ・・・❤❤,Hah; aah! My cards? Why do I need to...!❤ Ahh! Ahhh...❤❤
わらわの命令に従うのに理由がいるか？\nこの尻尾に吸い付かれるため、それだけで説明は十分であろう？,Do you need a reason to obey my commands? Being sucked by this tail should be cause enough; should it not?
ほれ、早くするのだ。\n早くせねば、もう二度とこの尻尾では咥えてやらぬぞ。\nさらに射精もおあずけだ。,Hurry up and do as I say! If you act too slowly; I shall never let this tail pleasure you again. You will be denied your orgasm; as well.
あっ、そんな、それだけはっ❤ああっ、これ、カードっ❤❤あひぃっ❤,Ahh; no; anything but that!❤ Ahhh; here; a card!❤❤ Ahhh!❤
くくく❤緩慢に動かしていても、面白いように喘ぐの。\nでは、そなたから献上されたこのカードを・・・♪,Kukuku~❤ Even with these slower movements; you moan so delightfully. Now then; gaze upon this card you've offered me...♪
{自分}は僕の顔の前にカードを持ってくると、わざと見せつけるようにそれを手で握りつぶして見せた。,{自分} brought the card close to my face; deliberately showing it off as she crushed it in her hand.
驚いた次の瞬間、ぐっと握った手を開くとそこから、ぽとりと一粒の宝石が落ちた。,The next moment; to my surprise; she opened her clenched fist; letting a single jewel drop to the floor with a soft clink.
あっ、あっ、僕のカードは・・・。,Ahh; ahh; my card...
ほほほ❤見ての通り、宝石に変わったというわけじゃ。\nわらわは、ささげられたものをなんでも宝石に変えることができる。\nよりよいものはよりよい宝石に、の。,Hohoho~❤ As you can see; it's been transformed into a gem. I can turn anything offered to me into a jewel. The better the offering; the finer the stone.
そなたの出したカードはそこまでではなかったようじゃの。\nほほ、ずいぶんと小粒な宝石になってしまったわ。,Your card wasn't particularly impressive; it seems. Hoho; it became quite a small stone.
ああ、そんな、デッキのカードなのに・・・。ああ・・・。,Ahh; no way; but that was from my deck... Ahh...
後悔などする必要はないぞ？なにせ・・・❤,There's no need for regret now...❤
そんなちんけなものは、すぐ快楽で塗りつぶされるからの❤,Such trivial things will soon be painted over with pleasure!❤
あぐっ、あへぇあっ、ああああっ❤❤❤,Aghh; ah; ahh; ahhhhh!❤❤❤
ほれ、わらわに捧げたこと、喜びながら果てよ。\nこれがそなたら人間の生きる意味だ❤,Come now; climax with elation at having offered yourself to me. This is the true meaning of human existence!❤
サキュバスに吸われ、サキュバスに捧げ、\nそれだけに思考を支配されて生きる。\nそなたらはただの下僕❤無駄なことなど考える必要もない❤,To be drained by a succubus; to offer yourself to us; and to live with only those thoughts dominating your mind. You're nothing but servants!❤ To be anything besides is a pointless endeavor~❤
魂まで吸い出すような快楽に、我慢などできぬであろう？\nほれほれほれ・・・❤,You never had a hope of resisting a pleasure that sucks out your very soul; did you? Feel it; embrace it; let it consume you...❤
あっ、あっ、出るっ、あひぃっっ❤❤,Ahh; ahh; I'm cumming! Ahhh!!❤❤
ほほほ❤どくどくと繰り返し射精して、\n極上の快楽を前に、人間は実に無力よの❤,Hohoho~❤ Spurting repeatedly in such thick bursts... Humans are truly powerless before supreme pleasure!❤
ほれ、どうじゃ？カードを差し出したこと、後悔しておるか？\nそれとも・・・❤,So tell me; do you regret offering your card card to me? Or perhaps...❤
いまの快感を前にしてみれば、\nあのようなものただの紙切れ同然か？ほほほ❤,Faced with such indescribable pleasure; do you see it now as nothing more than a scrap of paper? Hohoho~❤
あへぇ・・・・❤❤もっと、もっとぉ・・・❤❤,Ah; ah...❤❤ More... I-I want more...❤❤
ほほ、もはやカードを捧げたことなど、頭にないようじゃのう。\n実に愚かなものよ。\nしかし、快楽をねだるということは分かっておるであろうの。,Hoho; it seems you have already forgotten all about the card you offered me. How foolish. But you understand what it means to beg for pleasure; do you not?
次はカードを１０枚差し出すがよい。\nその対価に尻尾でそなたの粗末なものを搾り取ってやろう❤,For your next tribute; offer me ten cards. In exchange; I'll milk that pathetic thing of yours with my tail once more~❤
ちょっと、{自分}、やりすぎ。\nカード１枚を取っちゃったのもどうかと思うし、\nこれ以上は・・・。,Wait; {自分}; this is going too far. It was bad enough taking that first card; but any more than that...
何か言うたか？ん？,Hmmm? Did you say something?
はうぅう・・・❤\nなんで、あなたはわたしのモンスターのはずなのに・・・❤,Hahh...❤ Why... You're supposed to be my monster...❤
余計なことは考えずにおれ。\nそなたは部屋に引っ込んでおればよい。\nわらわの命令じゃ。,Don't think such unnecessary thoughts. You should simply stay in your room. That is my command to you.
はい・・・・❤うう・・・❤,Yes...❤ Uhh...❤
ほほほ、目から光を失い、言われるがまま部屋に戻っていくわ。\nなんの抵抗もできぬとは、\nだいぶわらわの魔力が浸食しておったようじゃの。,Hohoho; the light faded from her eyes as she obediently returned to her room. It would seem she has no resistance left; and that my magic has thoroughly corrupted her.
人間にただサキュバスが使役されると思う方が愚かというもの。\n宝石の趣味は気に入っておるが、\n所詮あやつもわらわたちの作戦のコマでしかない。,Anyone who thinks succubi can simply be enslaved by humans is a fool. While I appreciate her taste in gemstones; she's ultimately just another pawn in our strategy.
さて、話がそれたの。邪魔者はいなくなった。\nそなたはどうする？カードを差し出して快楽をねだるか？,Now; where were we? Ah; yes. The nuisance is gone at last. So what will you do? Will you offer more cards and beg for pleasure?
それとも今見たことを人間どもに話し、\nわらわの封印にでも動くか？\nほほ、どうせ答えは決まっておるがの❤,Or will you tell the other humans what you saw and try to seal me away? Hoho; I suspect the choice has already been made for you~❤
あう、うううっ、おねがいします・・・❤\nまたきもちよくしてぇ・・・❤❤,Ahh; ughh; please...❤ Make me feel good again...❤❤
そのカードの束がおぬしの答えか。\nほほほ❤なかなかレアカード揃いではないか。,That stack of cards is your answer; is it? Hohoho~❤ What an impressive collection of rare cards you have.
さあ、これらのカードを１枚ずつ宝石に変えてみせながら、\nそなたに快楽を味合わせてやろう❤,Now; I'll transform these cards into gems one by one; giving you pleasure as I do~❤
10枚では終わらぬぞ？そなたが貴重なカードをすべて捧げるまで、\nわらわの尻尾からは逃れられぬ❤,I hope you know I have no intention of stopping at ten. You shan't escape my tail until you've offered me every last precious card you own~❤
いや、逃れようとは思えぬと行った方が正確かの。\nわらわの快楽に囚われたあわれな「無敗」のルーキーよ。\nわらわにすべてを吸いつくされてしまうがよい❤,No; I suppose it would be more accurate to say you will not wish to escape. Poor "undefeated" rookie; trapped by my pleasure! Allow me to drain you for everything you have!❤
僕はその日カラカラになるまで搾られ、カードを１００枚ほどささげたところで解放された。,That day I was milked dry; only released after offering around a hundred cards.
一回射精させてもらうために、１０枚も２０枚もカードをささげなければならない。僕は持っているカードをかき集めて、翌日もジェミニさんの家に行ったのだった。,To be allowed just one orgasm; I had to sacrifice anywhere from ten to twenty cards. After that; I gathered every card I owned and went to Gemini's house again the next day.
{自分}のことをギルドや師匠に報告することは、もちろんできた。しかし、とてもそうしたいとは思えなかった。それだけ彼女の与える快楽は強烈で、一日中そのことしか考えられず、食事も修行もなにもかも意識から消えてしまうほどだった。,Of course; I could have just reported {自分} to the guild or my master. But I had no desire to. Her pleasure was so intense that I could think of nothing else all day; making me forget about food; training; everything.
彼女に抱きしめられながら、サキュバスの尻尾でぐちゅぐちゅと搾りとられる。彼女は目の前でカードを宝石に変えていき、床にはコロコロと多くの大小さまざまな宝石が散らばっていった。,Held in her embrace; the succubus pumped me with her tail tail; milking me dry with wet; squishy sounds. As she did; she transformed cards into gems before my eyes; leaving jewels of various sizes scattered across the floor.
最後にブラックナイトのカードを捧げたとき、握りつぶされた手の平からは大きな黒い宝石が落ちた。その輝きは非常に美しく、彼女も思わず息をのむほどだった。,When I finally offered my Black Knight card; a large; black gem fell from her hand. Its brilliance was so beautiful that even she couldn't help but gasp.
その珍しさに満足した{自分}は、美しい顔にほほえみを浮かべ、そしてひときわ強く尻尾を収縮させた。尻尾にはあわい紫色の光がともり、僕のエナジーはぐいぐいと吸い取られていき・・・。,Satisfied with its rarity; {自分} smiled beautifully; then contracted her tail with exceptional force. The tail glowed with a faint purple light as my energy was forcefully drained away...
干からびる寸前、彼女の手の平に顔を覆われたかと思うと、強い恍惚感が僕を包んだ。何も考えられないまま快感に意識が溶けていく。そして・・・,Just before withering completely; her palm covered my face; and an intense ecstasy enveloped me. My consciousness melted in pleasure without thought. And then...
僕の体は光の中に消え、床にぽとりと一つの赤い宝石が落ちて、それだけがその場に残ったのだった。,My body vanished in light; and a single red gem fell to the floor; the sole remnant of what had once been me.
その後、{主人公}がどこに行ったのか誰も知らない。宝石に変えられ、彼女の身に着ける装身具のひとつになったのか。それとも床に無数にある宝石のように、雑にどこかにしまいこまれたのか・・・。,Afterward; no one knew where {主人公} had gone. Had he the gem she'd turned him into become part of her jewelry? Or was he carelessly stored somewhere; like the countless gems scattered on the floor...
こうして妹を助けるため修行してきた{主人公}の物語は、{自分}の手によって、その幕を閉じたのだった。,Thus the tale of {主人公}; the cardmaster who had trained to save his sister; came to its end by {自分}'s hand.
とはいえ、そなたは{ランク名}ランクのカードマスター。\nそれも「無敗」の名を冠する男なのであろう？\n国の中でも有数の強者がこのありさまとは・・・。,Still; you are a {ランク名}-rank cardmaster. One who bears the title of "undefeated"; are you not? For one of the nation's strongest to be brought so low...
とはいえ、そなたは{ランク名}ランクマスターの使い魔。\nそれも「無敗」の名を冠する男のしもべなのであろう？\n国の中でも有数の強者がこのありさまとは・・・。,Still; you are a {ランク名}-rank master's familiar. A proud servant to one who bears the title of "undefeated"; are you not? For one of the nation's strongest to be brought so low...
とはいえ、そなたらは{ランク名}ランクマスターの使い魔。\nそれも「無敗」の名を冠する男のしもべなのであろう？\n国の中でも有数の強者どもがこのありさまとは・・・。,Still; you are all familiars to a {ランク名}-rank master. Proud servants to one who bears the title of "undefeated"; are you not? For so many of the nation's strongest to be brought so low...
