default
生意気キャロル,Cheeky Succubus - Carol
チンポギンギンにさせて、へっぴり腰で攻撃して、\nきゃはは、すっごく間抜け❤\nアンタが追いつけない遠くから、エアパイズリで挑発してあげる❤,Your cock got rock-hard; and you're weak in the knees while you're attacking... Kyahaha; so totally stupid~❤ I'll just move to a safe distance you can't reach me from and provoke you with an air titjob!❤
うりうり～、おっぱいゆさゆさ❤ばるんばるん❤\n攻撃したけりゃここまでおいで～❤\nフル勃起のおっぱいマゾ❤前かがみでまともに歩けないねー❤,Hyup; bounce bounce~❤ Boing boing~❤ If you want to attack; then come over here.❤ You rock-hard tit-masochist!❤ You're so hunched over I bet you can't even walk properly~❤
あう、ううっ❤くそぉ・・・❤このっ❤,Au; ugh...❤ Damn it...❤ Take this!❤
はーい、またはずれ❤おっぱいマゾなんて怖くない❤\nだってめっちゃ遅いんだもん❤\nそのうえ谷間に視線吸われて、狙いもブレブレ❤このへたっぴ❤,Yes; another miss!❤ A tit-masochist like you isn't scary~❤ You're so super slow!❤ Plus your gaze keeps getting sucked into my cleavage; so your aim is all over the place!❤ What a scrub~❤
ねーねー、無駄な抵抗なんてやめてさ、\nわたしで気持ちよくなっちゃえば？\nこのおっぱいで挟まれたら、絶対気持ちいいよ❤,Hey hey; why don't you stop all this pointless resisting and let me make you feel good instead? If I squeeze you with these tits; it'll definitely feel amazing~❤
ギンギンになったそのチンポ、爆乳に全部飲み込まれてさぁ、\nあは、想像したら脚がガクガクしてきちゃうね❤\n期待してるのバレバレ❤,Think about it. That rock-hard cock of yours; completely swallowed up by massive tits... Aha; just imagining it is making your legs shake; huh?❤ Your excitement is totally obvious~❤
それじゃそこでじっとしてな❤\nアタシから近づいて、谷間の中にチンポ迎えに行ってあげる❤,Then just stay right where you are.❤ I'll come to you this time and welcome your cock into my cleavage~❤
目を閉じて集中し全力で攻撃した,Close your eyes; focus; and attack with everything you have
理性が飛んで身動きできなかった,'So big... I... I can't move...'
げふっ、嘘でしょ…。まだそんなスピードが出せるなんて…。,Gah; no way... You can still move that fast...
きゃうっ！ううっ、理性強すぎ…。,Kyah! Ugh; your will is way too strong...
はい、捕まえた❤\n勃起チンポが邪魔すぎて動けなかった？\n違うよね、挟まれたくて足止めちゃったんだよね❤,There; caught you~❤ Were you stuck in place because your hard cock got in the way? No; that's not it; you stopped yourself because you wanted to be milked; didn't you?❤
サキュバスの前で欲望に流された男の末路なんて決まってるの❤\n搾り取られて、干からびて死んじゃうんだよ❤\nほら❤,The fate of men who give in to desire before a succubus is already decided; you know.❤ They get drained dry; withering away into nothing.❤ Now come on~❤
わたしの超デカいおっぱいに挟まれて、\nさっさと死んじゃえ、ザーコ❤,Hurry up and die between my massive tits; you weakling!❤
ぷっ、挟まれたばっかりなのに、もう射精の準備始めちゃってる❤\n焦らしてたからすっごい気持ちいいでしょ？\n気持ちよすぎてチンポ溶けそうなんじゃない？,Pfft; I've just barely squeezed you between them and you're already getting ready to cum.❤ Since I've been teasing you so much; it feels extra nice; huh? Does it feel so good your cock might melt?
我慢なんてさせてあげない❤\nさっさと出してわたしを回復させてよ。ほらほらほら❤,I won't let you hold back!❤ Hurry up and cum so I can restore my energy! Come on~❤
はひぃっ・・・❤❤,Hahhh...❤❤
はい、楽勝❤\nサキュバスのおっぱいでチンポ瞬殺されちゃったね❤\n快感強すぎて腰抜けちゃった？くすくす❤,There; easy peasy~❤ Your cock got destroyed instantly by my succubus tits.❤ Did it feel so good your legs give out? *Giggle*❤
腰が抜けても関係ないよ。どうせもう体動けなくなるし❤\nエナジー吸われてあっという間に干からびて。\n気持ちよく殺してもらえてよかったね❤くすくす❤,Though it doesn't really matter either way. Your body's going to stop working soon anyway.❤ Your energy'll get sucked out and you'll wither away in no time. Hey; at least you got to die feeling good; right?❤ *Giggle*❤
あは、一発出しただけじゃまだ死なないんだ❤\nそれじゃ死ぬまでいじめてあげるね❤\nオナ猿ザコマスター❤きゃはは♪,Aha; but one load isn't enough to kill you.❤ So I'll go ahead and torment you until you drop dead; okay?❤ You stupid little masturbation-fetish master!❤ Kyahaha~♪
おっぱいマゾってあわれだねー。\n勝てそうな勝負でもおっぱいに見惚れて負けちゃうんだもん❤\nぷっ、くすくす❤,Tit masochists are so pathetic. Even in battles they could win easy; they all get mesmerized by tits and end up losing~❤ Pfft. *Giggle*❤
ぷぷっ、おっぱい揺らしてるだけで逆転勝利♪\n男ってチョロすぎでしょ❤,Pfft; all I had to do was bounce my tits and I got a total reversal!♪ Men are way too easy~❤
あんっ、すっごい量が谷間に出てる❤\nわたしのパイズリテクどうだった？\nチンポメロメロにされてすぐ負けちゃったね❤きゃはは♪,Ahh; you're shooting so much out into my cleavage.❤ How'd you like my titfuck skills? Your cock fell totally head-over-heels and you lost so fast!❤ Kyahaha~♪
あはは、どぴゅどぴゅエナジー出しちゃった❤\nおっぱいで顔を挟まれて簡単に昇天❤\nサキュバスおっぱいの力、よく分かった？ザーコ❤,Ahaha; you're spurting out energy like crazy!❤ Looks like getting your face squeezed between tits sent you right to heaven~❤ Do you finally understand the power of a succubus's tits? Weakling~❤
ぷっ、楽勝すぎ❤\n憎いサキュバスが相手だっていうのにこれだもん❤,Pfft; way too easy!❤ Even though your opponent was an evil succubus; look what you let happen.❤
わたしのおっぱいそんなにヤバかった？\nすっごいとろけ顔でびゅくびゅく射精しちゃってさ、\nこのマーゾ❤,Were my tits really that dangerous? They left you spurting cum everywhere with that melted expression on your face! You masochist~❤
あううっ・・・❤くそぉ・・・❤,Agh...❤ Damn it...❤
サキュバス化した生意気キャロルが僕をにやにやと見下ろしている。僕はなんとか体に力を入れようとするが、まったく力が入らない。,The bratty Carol—now transformed into a succubus—looked down at me with a smirk. I tried to somehow force my body to move; but I didn't have any strength left.
彼女の胸が与えたあまりに強烈な快感がまだ腰に残っている。僕の脚はぷるぷると震え、地面に尻もちをついたまま立ち上がることもできなかった。,The intensely powerful pleasure her breasts had given me still lingered in my hips. My legs trembled and shook; unable to hold my weight; leaving me sitting on the ground.
きゃはは、なにその脚の動き。どんだけだよ❤\nサキュバスになって、わたしヤバいぐらい強くなってるじゃん❤,Kyahaha; what's with those sad; shaky legs? So pathetic~❤ Now that I've become a succubus; I guess I've gotten ridiculously strong.❤
元からおっぱいおっきかったけどさー、\n今じゃ超爆乳になって、おっぱいひとつでアンタの頭より大きいよ。\nヤバくないこのデカさ❤,My tits were already big before; but now they're super massive—each ones bigger than your head! Pretty awesome; right?❤
Bランクで、無敗だった男を瞬殺❤\nアタシのマスターがずっとアンタに追いつけないのを悩んでたけど、\nぷぷっ、こんな簡単な話だったんだね❤,Big enough to kill an undefeated B-rank man; even.❤ My master was always worrying about not being able to catch back up to you; but pfft; looks like it was this easy all along~❤
サキュバスになっちゃえば、男なんてみんなザコ❤\nデカちち揺らしてちょっと遊んでやれば、\n簡単に倒せちゃう❤あーん、チョロすぎ❤,Once you become a succubus; all men turn into weaklings.❤ Just bounce your big tits and tease them a little; and deafting any one of them is a cinch~❤ Ahh; it's so pathetically easy!❤
{主人公}さん、ダメです！諦めないで！\nそんなサキュバスの快楽になんか負けちゃダメ！,{主人公}; no! Don't give up! You can't lose to the pleasure from that succubus!
妹さんのためにこれまで頑張ってきたんでしょう！\n憎い仇のサキュバスに、負けてどうするんですか！\n{主人公}さん！,You've worked so hard for your sister's sake up until now! How can you lose to a no-good succubus?! {主人公}!
向こうで受付さんと他のカードマスターたちの声がする。僕に向かって何か励ましの言葉のようなものを投げかけている。,Somewhere nearby; I can hear the voices of the receptionist and the other cardmasters. They're shouting some kind of encouragement; pushing me to get back up.
しかし、受付さんの声すら、僕には夢うつつのようにしか聞こえていなかった。目の前でゆっくりと波打っているキャロルの胸に視線を吸われ、思考はもやがかったように何も考えられない。,But even the receptionist's voice sounds so distant to me. My gaze is absorbed by Carol's breats slowly swaying in front of me; and my thoughts are lost in a haze. I can't think of anything but them.
ああ・・・、見ているだけなのに、また体が気持ちよくなってくる。快感がじんわりとせりあがってきて全身に回り、脳の奥まで痺れるようになってしまう。,Ahh... just watching them makes my body feel good again. Pleasure gradually wells up and spreads through me; making even the deepest parts of my brain tingle.
ぷっ、アンタ、仲間の呼びかけも聞かないでおっぱい見てるの？\nあははは、そんなにあたしのおっぱいが忘れられないんだ❤,Pfft; are you seriously staring at my tits instead of listening to your friends' cries for help? Ahahaha; you really are totally obsessed~❤
いいよ、もっかいやってあげる❤\n最低のおっぱいマゾのアンタを、\nあたしのサキュバスおっぱいで気持ちよくしてあげる❤,In that case; I'll go ahead and make you feel good with my succubus breasts all over again.❤ You pathetic little tit-masochist~❤
いいよ、今度は直接挟んであげる❤\n最低のおっぱいマゾのアンタを、\nあたしのサキュバスおっぱいでバカみたいにアヘらせてあげる❤,In that case; how about I use my succubus breasts and milk you for real this time?❤ You pathetic little tit-masochist~❤
あっちのやつらが見ている前でさぁ、\nカッコ悪ーい喘ぎ声上げながら、\nおっぱいでエナジー搾り取られな？えい❤,Moan pathetically in front of everyone as your energy drained by my tits; okay? Now take this!❤
あひっっ、あっ❤あっ❤ああっ❤,Ahiii; ah...❤ Ah!❤ Ahhh!❤
キャロルの胸を見て限界まで勃起していた僕のペニスは、巨大な胸に丸ごと飲み込まれてしまった。柔らかいのにぎゅうっと圧力たっぷりに包み込んできて、腰が溶けそうに気持ちがいい。ペニスから訳が分からないほどの快感が流れ込んでくる。,My penis—which had gotten fully erect again just staring at Carol's breasts—was swallowed completely by her massive chest. Despite their plush feel; they wrapped around me with intense pressure; feeling so good my hips might melt. Incomprehensible pleasure flowed from my penis into the rest of my body.
うあっ❤ああっ❤これっ、気持ちよすぎてぇっ❤あああっ❤,Uah!❤ Ahh!❤ This... It feels too good!❤ Ahhh!❤
ぷっ、挟んだだけで射精してるし❤\nチンポ弱っ❤,Pfft; you're cumming just from being squeezed!❤ What a weak cock~❤
あー、違うか。あたしのおっぱいが強すぎるんだね❤\nBランクマスターを瞬殺するぐらい強くなって\nアンタのちっぽけなチンポなんて、簡単に蹂躙できちゃうみたい❤,Ah; maybe that's not it. Maybe my tits are just that powerful!❤ Strong enough to finish a B-rank master in an instant; crushing your pathetic little cock so easily~❤
挟んだだけでアンタを天国送りにしちゃったおっぱい、\n本気で動かしてやったら、どうなるのかな？\nほらほらほらぁ❤,If my tits sent you to heaven from just a squeeze... what do you think would happen if I moved them for real? Let's find out~❤
あぐ❤あひっ❤あっ、あああっ❤\nだめっ、これっ❤❤おかしくなるっ❤あああっ❤,Agh!❤ Ahh!❤ Ah; ahhhhh!❤ No; this...❤❤ I'm going crazy!❤ Ahhhhh!❤
くすくす❤めっちゃ大声出すじゃん❤\nこの場所、洞窟みたいになってるから声が響きまくりなんだけど、\n恥ずかしくないの？,*Giggle*❤ You're being so loud!❤ This place echoes like a cave; you know. Aren't you embarrassed?
あっちの仲間に声聞かれちゃうね❤\nみんなを守るはずの、強ーいＢランクマスターさまが、\n女のおっぱいであんあん、あんあん❤喘ぎまくってバカみたい❤,Your friends over there can totally hear everything; you know.❤ They have to listen to the big; strong B-rank master who's supposed to protect everyone moaning so pathetically from a woman's tits~❤ Like a total idiot!❤
あは、何人か絶望して泣き崩れちゃってるよ？\n中には戦おうとしてる子もいるけど、\nぷぷっ、わたしのマスターには勝てないだろうねー❤,Aha; can you hear it? Some of them are crying in despair. Some are trying to fight back; but pfft; I doubt they can beat my master~❤
もしもアンタがおっぱいに耐えてたら、\n結果は違ったかもしれないけど。\n頼みの綱がこれじゃ、あの子たちもみんなやられちゃう❤,If you had managed to endure my tits; things might've gone differently. But with their savior reduced to this; all those kids will all get defeated; too~❤
あーあー、パイズリなんかに負けなければよかったのに❤\nとんでもなく気持ちよくても、\nチンポこらえて射精我慢すればよかったのに❤,Oh well. Guess you shouldn't have lost to a titfuck; huh?❤ No matter how incredibly good it felt; you should have held your cock back and resisted cumming~❤
ほらほらほら❤こんな風に\nだぱんだぱんって激しくパイズリされてもさぁ、\nイクの我慢してみなよ❤,Give it a try~❤ Even getting violently titfucked like this—slap; slap; slap—just try holding your orgasm back!❤
おっぱいでチンポ溶けちゃう？\nぷぷっ、腰をふるわせてアヘアへ言いながらよだれ垂らして、\n少しは抵抗してみせろっての❤,Are my tits making your cock melt? Pfft; you're shaking your hips; moaning and drooling... Show some self-control!❤
ほら、おっぱいで脳みそどろどろになっちゃったマゾは、\nさっさとイケ❤\nサキュバス様にエナジー吸い取られろ❤きゃははは♪,Come on; you masochist; with your brain all melted by tits! Hurry up and cum.❤ Let little miss succubus suck out all your energy~❤ Kyahahaha!♪
あぐぅっ❤あっ、あああっ❤❤とまらないっ❤\nきもちいいっ❤きもちいいっ❤❤,Aghh!❤ Ah; ahh!❤❤ I-I can't stop!❤ It feels good!❤ It feels too good!!❤❤
エナジー吸い取られて、どんどん干からびてんの気づいてる？\nしおしおになって、もうアンタ死にかけだよ❤\nサキュバスに射精してんだから当たり前だよね❤,Do you even realize your energy is getting sucked out; making you wither away more and more? You're getting all shriveled up... You're almost dead!❤ That's just what happens when you start cumming for a succubus~❤
それでも「きもちいい」しか言えないんだ❤\n「死にたくない」でも、「仲間を助けなきゃ」でもなくて、\n最後の言葉は「きもちいい」なんだ❤,Even though you're dying; all you can manage to say is "it feels good!"❤ Not "I don't want to die" or "I have to save my friends"—your last words are a complete and total surrender to me!❤
きゃはは、おっぱいマゾって救えないね❤\nほらぁ、何度でも気持ちいいって言いながら、\nそのまま死んじゃえ❤おっぱいに全部食べられちゃえ❤,Kyaha; tit-masochists are totally hopeless~❤ Come on; keep saying how good it feels over and over; and just die like that!❤ Let my tits devour everything you have~❤
修行して身に着けてきたアンタの魔力、谷間に挟みつぶされちゃえよ❤\nほらほらほらぁ❤,All that magical power you trained so hard to acquire... Let it get crushed between my tits!❤ Come on; let it out~❤
あは、完全に動かなくなっちゃった❤\nもうおしまいかな？干からびて体もかさかさになってる。\nエナジーおいしかったぁ❤,Aha; you've stopped moving completely~❤ Is it over? You're all withered now; and your body looks totally dried out. Your energy was delicious!❤
わたしがルーキーくんと遊んでる間に、\nあっちの連中も片付いたみたい❤,Looks like while I was playing with rookie boy here; those guys over there got taken care of; too~❤
ただでさえ実力差があるのに、\nルーキーくんのせいで魔力がずっと送られてるんだもん。\n勝てるわけないよね。きゃはは♪,My master was already way stronger than them; but thanks to rookie boy; more and more magical power kept getting sent her way. There was no way they could win! Kyahaha~♪
薄暗い地下通路の中、僕はサキュバスに精を吸いつくされて命を落としてしまった。一緒にいた下級のマスターたちは、エルルに敗北し、女性はサキュバスに変えられ、男性はその場で干からびるまで吸い取られた。,And so I lost my life in that dim underground passage; my essence completely drained by a succubus. After that; the lower-ranking masters who were with me were defeated by Elulu with ease. The women were transformed into succubi; and the men were drained dry on the spot.
こうして僕の物語は、サキュバス化した一体のモンスターによって、みじめに吸い殺されてその幕を閉じたのだった。,Thus my story came to a miserable end; drained to death by a single monster that had become a succubus.
