default
爆乳バニー,Bombshell-Bust Bunny
強い相手ばっかりで、さすがは無敗のルーキーくんって感じだわ。\nでも、あなたもさっきの人と同じ末路をたどるのよ❤,You've faced so many strong opponents; no wonder you're undefeated; Mister Rookie. But; you'll meet the same fate as the one before you~❤
ほらぁ、つよーいあなたに特別サービス❤\nVIPルームでしかやっていない、パイズリご奉仕してあげる❤,Here; I'll give you a special service; since you're so strong~❤ I'll give you a paizuri I usually save for the VIP room~❤
くす❤パイズリって聞いて、\nチンポ反応しちゃってる❤,Giggle~❤ Just hearing the word "paizuri" made your penis react~❤
さっきの人の見てたものね。喘ぎ声を抑えられなくなって、\nとろとろの蕩け顔にされちゃう爆乳パイズリ❤\nあなたもされてみたいんでしょ？,You saw what that man just experienced; didn't you? Unable to suppress his moans; lost in ecstasy wrapped in my big; soft breasts~❤ You want to feel that too; don't you?
ほら見てぇん❤\n両手でぎゅって押し上げて、ずりずりずり❤,Look; look~❤ I'll squeeze them with both hands and move them up and down~❤
ほらぁん、そのまま見とれてなさい❤\nゆっくりおっぱいをおろしてチンポを谷間の中に入れてあげる❤\n天国をたっぷり味合うといいわ❤,It's okay; just keep staring~❤ I'll slowly lower my breasts and slide your cock between them❤ I'll be sure to make you taste heaven~❤
パイズリに負けた自分のモンスターがうらやましくて、\n自分も攻撃をやめちゃう、わるぅいマスターくん❤\nずりずりされたくて、ずっとチンポ我慢してたのかしら❤,You were jealous your monster lost to my paizuri; so you stopped attacking; too. You're so naughty Master~❤ Were you holding back your cock all this time; despite wanting to be rubbed off?❤
それでは、VIPルームサービスのお時間で～す❤\n当カジノ最高のご奉仕をお楽しみくださぁい❤\nうふぅん❤,Well then; it's time for VIP room service~❤ Please enjoy the best service our casino has to offer~❤ Ufufu~❤
腰が落ちるのに合わせて、おっぱいも上からだっぱん❤急降下♪\nチンポをずりゅうって、しごいてあげちゃう❤,As your hips drop; I let my breasts bounce down...❤ Dropping from above~♪ I'll stroke down on your cock and give it a squeeze~❤
さっき仲間が喘いでた理由が分かった？\n男が抗えるはずない、圧倒的な気持ちよさでしょ？\nほらほらほらぁ❤,Do you understand now why your friend was moaning the way he was earlier? No man could resist such overwhelming pleasure; right? Come on; come on; come on~❤
あはん❤わたしを追い詰めたくせに、もう出しちゃうの？\nほんと男ってパイズリによわぁい❤,Ahh~❤ You had me cornered; but you're already done; right? Men really are weak against paizuri~❤
マスターなんだからちゃんと強い意志を持たないとダメよ？\nま、このおっぱいに挟まれて耐えられた男っていないんだけど❤\nくすくす❤,Since you're the master; you need to have a strong will; okay? Though; there's never been a man who could withstand being squeezed between these breasts of mine~❤ Giggle~❤
くす❤あなたもあっという間におっぱいで陥落ね❤\n強い強いモンスターくんが、\nアヘアへのとろけがおになっちゃった❤,Giggle~❤ You'll lose to my breasts in no time; just like the rest~❤ The big; strong monster boy has already turned into a pleasured; drooling mess~❤
こんなに何人も仲間がやられてたら、みんなムラムラしちゃうわよね？\nうふふ❤ガチガチに勃起させて前かがみになっちゃってる❤\nそんな状態で勝てるのかしら❤,All of you must be feeling really worked up after watching your allies lose like this; right? Giggle~❤ You're leaning forward and hard as a rock~❤ I wonder if you can even have a chance in such a state~❤
くす❤おっぱいを乗せられただけで負けちゃうなんて、\nとっても恥ずかしい負け方ね❤,Giggle~❤ All I had to do was rest my breasts on your shoulder and you lost right away. How embarrassing~❤
期待のルーキーなんて呼ばれてるのに、\nシコシコして自滅して、結局はただのスケベな男❤\nくすくす❤理性よわぁい❤,You're supposed to be some promising rookie; but you threw the match away jerking off. In the end; you're nothing but a weak-willed pervert~❤ Giggle~❤ How pathetic~❤
くす❤オナニー気持ちよかったかしら？\n勝手に自滅しちゃった、スケベなマスターくん❤\nくすくす❤,Giggle~❤ Did you enjoy stroking yourself like that? You ended up throwing the match away; you naughty master~❤ Giggle~❤
うふふ❤まだ顔がとろーんってしてる❤\nパイズリされてよっぽど幸せだったみたいね❤\nくすくす❤,Giggle~❤ You still have that dazed look on your face~❤ It seems like you were really satisfied with my paizuri~❤ Giggle~❤
あは、ぱふぱふされただけで射精しちゃったんだ～❤\nマスターくん、ちょろーい❤\nくすくす❤,Ah; just a little puff-puff and you came so quickly~❤ Master; you're so easy~❤ Giggle~❤
ふふ、おっぱい乗せて甘くささやかれて、\nそれで射精しちゃうなんて、\nずいぶん早漏なのね❤チンポよわぁい❤,Hehe; all I had to do was rest my boobs on your shoulder and whisper sweet nothings to you and you came so quickly~❤ Your dick is so weak~❤
胸がとびきり大きいバニーガールに負けた僕は、エナジーを吸われて闘技場の地面に膝をついていた。,Defeated by the bunny girl with an impossibly large chest; I was left on my knees on the arena floor; my energy drained from my body.
決着ー！！勝者は{自分プレイヤー}選手！,The match is over! The winner is {自分プレイヤー}!
バニーガールの上級モンスターを前にして、\n期待のルーキーもついに陥落！\n男ではやはりキャミー選手には勝てないのか！,Faced with the advanced-level bunny girl; the promising rookie finally falls! It seems that truly no man can defeat Cammy!
おおっと、ふらふらとしながら\n{主人公}選手立ち上がろうとしています！\nしかし、そこにバニーモンスターが覆いかぶさる！,What's this? Though shaky and unsteady; {主人公} is trying to stand! But wait; the bunny monster looms over him and strikes!
ああ、がっちり膝上パイズリの体勢に持ち込まれてしまいました！\n果たしてルーキーはここから逃げ出すことができるのでしょうか！,Oh no! The bunny has pinned him down; her heavy breasts positioned in his lap! Does the rookie have any chance of escaping this?
うふふ❤盛り上がってるところ悪いけれど、\nわたしのパイズリから逃げられる男の子なんていないわ❤,Giggle~❤ Sorry to disappoint you; but there's no man in this world who can escape from my paizuri~❤
それも一回射精しちゃって魔力のバリアが張れなくなったあなたじゃ、\n絶対にこの快感から逃げられない❤\nね、そうでしょ？ほらほらほら❤,After cumming once and losing your magic barrier; there's no way you can escape this pleasure~❤ Isn't that right? Here; watch~❤
はひぃっ・・・❤❤きもちいいっ❤❤おっぱいぃ・・・❤❤,Hah...❤❤ Your breasts...❤❤ They feel so good...❤❤
くすくす❤チンポだぱんだぱんってしごかれて、\nすっかり夢見心地ね❤,Giggle~❤ Your dick being stroked like this must feel like a dream~❤
すごいでしょう？わたしのおっぱい❤\n大きすぎて柔らかすぎるから、チンポをぱふぱふするだけで\n普通のパイズリよりもずっと気持ちよくできちゃうの❤,Aren't my breasts just amazing?❤ They're so big and soft that just rubbing them against you feels way better than a regular paizuri~❤
昇格戦をしてたことなんて、もう頭の中にない❤\nあるのはわたしのパイズリで気持ちよくなることだけ❤,I bet you can't even think about the promotion match anymore~❤ All you can think about is how good my paizuri feel~❤
ほら、まだ１分もパイズリしていないのに、\nチンポが射精の準備始めちゃってる。\nわたしの気持ちよすぎるパイズリに降参しようとしちゃってる❤,Look; even though we just started; your penis is already so close to cumming. It's so ready to give into how incredibly pleasurable my paizuri is~❤
いいのよ、出しても❤\nもう失うものなんてないわ。\nあってもプライドぐらいかしら。,It's okay; go ahead and let it out~❤ I have nothing left to lose. Nothing left but your pride; I mean.
みんなが見てる前で、\nおねえさんに一方的にパイズリで喘がされちゃえば、\nあなたの誇りはボロボロ❤恥ずかしくて街を歩けなくなっちゃう。,And after moaning helplessly and getting assaulted by a paizuri from a busty bunny before cumming in front of everyone here; your pride will be shattered~❤ You'll be too embarrassed to even walk down the street.
でも別にいいでしょう？\nだって、ほら、こんなに気持ちいいんですもの❤\n爆乳をぎゅって寄せて、小刻みにたぱたぱたぱ♪,But that's okay; right? Because look how good it feels~❤ The way my huge breasts jiggle when I squeeze them like this~♪
あっあっ、それダメぇ…❤でる、でちゃうっ❤❤,Ah; ah; n-no; please...❤ I'm going to... I'm going to come!❤❤
はぁーい、２本目お射精、イッちゃいまぁす❤\n谷間の中で、どぴゅどぴゅ～❤\nくすくす❤,That's it. Cum. Finish for a second time~❤ Pump your load between my breasts~❤ Giggle~❤
あへぇあっ・・・❤,Ah; ahh..❤
うふふ❤まだまだどんどん行くわよ。,Giggle~❤ Don't think we're done yet.
次は乳圧高めにして、\nぱふぅんってしながら搾り取ってあげる❤,Next; I'll press my breasts harder against you and squeeze you dry~❤
チンポの中から強制的に精液搾り取られて、\n全身をつよーい快感が走り回って、\nきっと天国みたいに気持ちいいわ❤,Having all your semen forcefully squeezed from your dick... I'm sure it'll flood your whole body with pleasure. It'll feel like heaven~❤
あぐっ、あぎぃっ❤❤あへぇえっ❤❤❤,Ugh; ughh...❤❤ Aheeeh!❤❤❤
ふふ、変な喘ぎ声❤\n男の子がただのバニーガールにこんなに喘がされて、\nとってもカッコ悪いわ❤,Hehe; what weird moans~❤ A boy being made to moan like this by a little bunny girl like me... That's uncool~❤
魔力の大きさとか、筋力の強さとか何も関係ないのよね。\nおっぱいが大きければ、それが男の子相手には一番強い❤\n新進気鋭のルーキーくんも簡単に骨抜きにできちゃう❤,It doesn't matter how much magical power or physical strength you have. Big breasts are the strongest weapon against any boy~❤ Any boy; even the promising rookie; can easily be made weak in the knees~❤
あは、うそ、もうチンポ膨らんできた❤\nまだ３０秒ぐらいよ？３回目なのに、\nそんなにすぐ出しちゃうんだ❤,Aha; no way! You're getting hard again already~❤ Hasn't it only been; like; thirty seconds? You've already finished three times; and you're already ready to go again so soon~❤
わたしのパイズリ、よっぽど気に行ってくれたみたいね。\nあなたのチンポすっかりわたしのおっぱいにメロメロみたい❤; You must really like my paizuri. Your cock seems completely enchanted by my breasts~❤
ねえ、どうなの？あなたはわたしのおっぱい好き？\n敵のモンスターだけど、\nこのおっぱいでずっとずっといじめてほしい？,Hey; what do you think? Do you like my breasts? Do you want me to keep teasing me with them forever; even though I'm an enemy?
あひぃっ、ああっ、すき、すきだからぁ❤❤,Ahh; ahh; I love you... I love you so much...❤❤
もっと、もっとぉ・・・❤❤ずっと、やめないでぇ❤ああっ・・・❤,More; more...❤❤ Please... Don't stop... Don't ever stop...❤ Ahh...❤
だいじょうぶよ。30秒で射精しても、\nそのあともずっとぱふぱふパイズリしてあげる❤,It's okay. No matter how fast you cum; my super soft paizuri won't stop~❤
あなたのエナジーおいしいから、\nカラカラになるまで搾りとってあげるわ❤,Your energy is delicious; so I'll keep squeezing it out until you're all dried up~❤
それじゃ、愛の告白ももらったところで、\n３発目イっちゃいましょうか。\n根元にぎゅうぅって押し付けてぇ・・・❤,Well then; now that I've heard your confession of love; let's go for a third round. I'll squeeze your cock tight at the base...❤
中身を搾りだすみたいに、\n先っぽまでゆっくりあげて、むぎゅむぎゅう～❤,Before slowly lifting it all the way to the tip; like I'm milking it out~❤
はひぃっ、あっ、ああっ、でるぅ❤❤,Hahh; ah; ahh; I'm coming!❤❤
あはんとっても濃いわ❤\nおっぱいの中がもっともっとぐちゅぐちゅになっちゃう❤,Ah; it's so thick!❤ My chest is getting so messy~❤
すべりがよくなったおっぱいで、ほら、ほら❤\n気絶するまで\nわたしのパイズリサービス楽しんでねー❤,Now that my breasts are nice and slippery...❤ I'll let you enjoy my paizuri service until you pass out~❤
{自分}にカラカラになるまで搾り取られた僕は、そのまま闘技場の医務室のベッドに運び込まれた。,From there; I was drained dry {自分}. After that; I was carried straight to the arena's infirmary.
気絶から目を覚ますと、布団の上に「VIPサービス請求書」と書かれた紙が置かれていた。目が飛び出るほどの金額が書かれたその紙を見て、ふざけるなと僕はふつふつと怒りを覚えたが・・・。,When I woke up from blacking out; there was a piece of paper on the futon beside me that said "VIP Service Invoice." Seeing the outrageous amount written on that paper made my eyes pop out; and I felt my anger seething; but...
それから数日後,A few days later
は～い、ひさしぶりね。マゾマスター❤\nサービス代の徴収に来たわ。,Hey there; Mister Masochist~❤ I've come to collect the service fee.
え？そんなもの払うわけがないって？\nふーん。そう❤,Huh? You say you won't pay for something like that? Hmm. Is that so?❤
＜{自分}＞を召喚。,Summon {自分}.
あはん、会いたかったわ、マスターくん❤,Ah; I've missed you; Master~❤
マスターくぅん❤おねがぁい❤\nお金払ってぇ❤\nぱふぱふってしながら説得してあげるからぁ❤,Master~❤ Please pay~❤ Maybe a puff-puff will convince you~❤
はぐっ、や、やめ…❤❤,Ugh; s-stop...❤❤
ええ～？やめていいの？\nあなたの大好きなおっぱいだよ？\nほらぁ、ぱふぱふ～❤,Huh? You want me to stop? But they're your favorite breasts! Here; puff puff~❤
あっ、ああっ、これダメぇ・・・❤❤あひぃっ・・・❤,Ah; ahh; no; please... ❤❤ Ahh... ❤
バニーガールのぱふぱふサービスを５分間ほど受けた僕は、すっかりふにゃふにゃの骨抜きにされてしまった。,After receiving the bunny girl's puff-puff service for about five minutes; I was left a limp and mushy mess.
谷間から解放された時には、目にハートを浮かべ、バニーガールに向かって好きという言葉をうわごとのように繰り返している始末。,When I was finally freed from her cleavage; I had hearts in his eyes and could only mutter "I love you" to the bunny girl over and over; as if in a trance.
脳はしびれたように何も考えられず、気が付けば彼女に言われるがまま、サービス代と称する高額なお金も払ってしまっていた。,My brain was numb; and I couldn't think of anything. Before I knew it; I had paid the high service fee she demanded without even realizing.
そうそう。払うお金はここに入れるのよ。\n谷間の中にずぼってお金をさしこんじゃうの❤,That's right. Put the money right here. Just slip it in my cleavage~❤
あはぁん❤よくできました～❤\nくすくす❤お金を取られたのにそんな蕩け顔しちゃって、\nおっぱいの感触が気持ちよかった？,Ahh~❤ You did so well~❤ Giggle~❤ You look so happy paying me so much. Did my breasts really feel that good?
それとも、好きな女の子に貢ぐことに幸福感を覚えちゃったのかしら❤\nわたしにはまって、もっともっと貢いでくれると、\nとってもうれしいわ❤,Or maybe; you just like spoiling the girl you love? ❤ If you fell even more in love with me and spoiled me even more; that would make me so happy~❤
チップをもらった分、ちょっとサービスしてあげる❤\nまずはマスターくんのほっぺに、ちゅっ❤,Since you gave me such a nice tip; I'll give you a little extra service~❤ First; a kiss on Master's cheek. Mwah~❤
そして、おちんちんに・・・♪\n３回だけ、ぱふぱふぱふ❤,And then; for your penis...♪ Three little puffs. Puff-puff-puff~❤
あっ、あっ、ああっ❤すき、すきぃっ・・・❤❤❤,Ah; ah; ahh!❤ I love you; I love you...❤❤❤
こうしてバニーガールの与えてくれる快楽にすっかりはまってしまった僕は、それ以降自分からキャミーのもとにお金を貢ぎに行くようになってしまった。,After that; I became completely addicted to the pleasure the bunny girl gave me. I even started going to Cammy to offer her money on my own.
お金を貢いでも毎回{自分}を召喚してもらえるわけではない。レアカードを渡したり、おいしいお菓子を渡したりしてキャミーの機嫌がいいときだけ召喚してもらえる。そんな素っ気ない対応をされても、僕は{自分}の胸の感触が忘れられず、何度も何度も金品を貢ぎ続けた。,Even when I pay; though; she wouldn't summon {自分} every time. Cammy would only summon her when she was in a good mood; which would only happen when I gave her rare cards or delicious sweets. Despite the cold treatment I was given; I couldn't forget the feeling of {自分}'s chest; so I'd just offer money and gifts over and over again.
せいぜい５回に１回だろうか、たまに召喚してもらえたときは、{自分}にたっぷり魔力を搾り取ってもらった。ぱふぱふやパイズリはもちろん、授乳手コキのようなこともしてもらえて、僕はますます彼女にのめりこんでいった。,At best; Cammy would only summon {自分} one time out of five; but on the rare occasions she was summoned; she would thoroughly drain my magical power. Of course; she'd offer me her usual services like puff-puff and paizuri; but she would also do things like giving me a handjob while breastfeeding; and I would just fall in love with her more and more.
彼女が与えてくれる快感はあまりに甘美で、とてもこの先彼女から離れられそうにない。修行もおろそかになり、ただ彼女に貢ぐことだけを考えて有り金も時間もすべて費やしてしまうようになった。,The pleasure she gives me is so exquisite; I feel like I can never break free from her; and I never want to. I started neglecting my training; and now all I can think about is devoting everything to her; spending all my money and time on her.
当然、そんな状態で戦績を残せるはずもなく、無敗だったこれまでとは対照的に、Dランクのふつうのマスターにすら全く勝てなくなってしまった。,Of course; in a state like that; it was impossible to maintain my winning record; and in contrast to my early performance; I couldn't even win against an ordinary D-rank cardmaster.
Aランクになって妹を助けに行くという目的を忘れ、ただただ女性モンスターに入れ込み無為に時間を使う日々。こうして僕の冒険は、バニーガールの貢ぎ奴隷としてその幕を閉じたのだった。,Forgetting my goal of becoming an A-rank and going to help my sister; I spent my days idly obsessing over female monsters. Thus; my adventure came to an end as a devoted slave to bunny girls.
くすくす❤反応がかわいい～❤\n{ランク名}ランクになってもまだ女の子のおっぱいでそんな反応しちゃうんだ❤,Giggle~❤ Your reaction is so cute~ ❤ Even at { ランク名}-rank; you still react like that to a girl's boobs~❤
うふふ❤なぁに？\n勝負の途中なのに、\nわたしにおねだりしちゃうんだ。,Giggle~❤ What's this? Even though we're in the middle of a match; you're asking me for a favor?
昇格戦で勝てた相手なのに、\nただエロいだけのバニーガールの前で、チンポしこしこしこ❤,You might've won the promotion match; but now you can't help but stroke yourself in front of a sexy little bunny girl~❤
あなたのマスターが恥をかくことになるのに、\nただエロいだけのバニーガールの前で、チンポしこしこしこ❤,Even though it means embarrassing your master; you're just stroking your cock in front of a sexy bunny girl~❤
