default
カクテルフェアリー・ライム,Cocktail Fairy - Lime
うひぃっ❤❤やわらかくてぇ❤はぅうっ・・・❤,Uhih...❤ So soft...❤ Hauuu...❤
わたしは体動かすのめんどくさいし、\n裏筋のところぺろぺろしておいてあげる。,It's too much work to keep moving my body like those two; so I'll give your cock a good licking right along the sensitive underside instead.
ここなめられたら、\nきもちよくてすぐイっちゃうよねー。\nエナジーちょうだぁい❤れろれろれろ～❤,If I lick you here; it'll feel so good you'll cum right away; won't you? Give me your energy~❤ Slurp~❤
はひっ❤❤あっ❤ああっ❤きもちいっ❤あぐぅ❤❤,Ah!❤ Oh!❤ Ahhh!❤ Feels so good!❤ Ngh...❤
くす❤体は大きいのに情けないのね❤,Hehe.❤ Despite having a big body; you're actually pretty pitiful.❤
わたしたちにされるがまま❤\n簡単に喘がされちゃう❤,You're succumbing to us so obediently.❤ It's so easy to make you just moan in pleasure.❤
チンポずりずりされて気持ちいいのよね。\nふとももで棒をすりすりされて、\n敏感な先っぽもおっぱいと舌でいじめられて…❤,Your cock must feel so good when it's being stroked... While your shaft is rubbed between their smooth thighs; I'll torment the sensitive tip with my breasts.❤
あん❤先っぽからお汁が出てきた。\nくすくす❤もう出しちゃうの？\n,Ah~❤ I see pre-cum dripping from the tip of your cock. Giggle~❤ Are you about to cum again already?
我慢汁がついちゃったから\nおっぱいの間がとろとろになって、\nぬちゅぬちゅって音がするわ❤きもちよさそー❤,Pre-cum has gotten between my breasts; making them slick and slippery. It's making such lewd; wet sounds~❤ It feels amazing; doesn't it?❤
うぐぅ❤❤だめ、気持ちよすぎてっ、ああっ❤ああっ❤❤,Ugh...❤ No; it feels too good. Ah.❤ Ahh~❤
もう、あうぅっ、イクっ❤あひぃっ❤❤,Ohhh... I'm cumming.❤ Aahhh~❤❤
ふふ、いっぱい出していいんだよー。\nエナジーちょうだぁい❤,Fufu; it's okay. Release as much as you want! Give me all your mana.❤
気持ちよく魔力をびゅってできるように、\nとどめのご奉仕してあげるねー❤,I'll give you a final service to make sure you can release your magical power nice and smoothly~❤
ほらほらぁ、ぱふぱふ加速～❤\nわたしたちの全身ご奉仕で、\nチンポ気持ちよくなっちゃえ❤,Hora horaaa; my breasts are getting faster~❤ While we pleasure you from every angle... let your cock overflow with the sensation.❤
れろれろれろ～❤エナジー三人分出してぇ❤\n早くちょうだぁい❤,My tongue can feel your excitement~❤ Make sure you cum enough for all three of us~❤ Hurry up and give us your mana.❤
ふとももをすりすり♪おっぱいもズリズリ❤\n精液がぐんぐん昇ってきて、\nあん、出る❤出ちゃう❤,Rubbing my thighs over the length of your penis...♪ Sliding my breasts over the tip...❤ I can feel the cum racing up inside you. Ah; it's coming out...❤ It's gonna spill!❤
出して、出してぇ❤\nぱふぱふぱふ～❤,Let it out; let it all out!❤ Squish; squish; squish~❤
あひっ❤あっあああっ❤,Ahi!❤ A-aahhh~❤
きゃはは❤すごい量出したわね❤\n精液が重くて飛びづらーい❤,Kyahaha!❤ You came so much.❤ Your cum is so thick and heavy; I might have some trouble flying now.❤
んふ、すっごくおいしいわ。\nわたしはぺろぺろしてただけだったけど、\nそれでこんなにもらえるの、効率いいね～♪,Mmm; this tastes so delicious. I was only licking it; but if I can get this much out of it; that's pretty efficient~♪
もっと搾っちゃう？\nマスターくんも、もっとしてほしいでしょ？\nねー❤,How about I squeeze you even more? You want more pleasure; don't you?❤
あう、ううっ…❤もっと、おねがい…❤あひぃ…❤,Ohhhhh...❤ More; please...❤ Ah!❤
はーい、おかわりのご注文いただきました～❤,Alright then; I've received your order for a refill~❤
ほらほらぁ、カラカラになるまで出しちゃっていいよー❤,Come on; come on. Cum until you're completely drained~❤
フェアリーモンスターのハーレム責め❤\nちっちゃいモンスターでも\n甘く見ちゃいけないってこと、チンポにたっぷり教えてあげる❤,Let's go! Fairy Monster Harem Torment!❤ We'll thoroughly teach your cock that it shouldn't underestimate monsters just because they're small.❤
あんまり教えすぎて、\nチンポが弱くなっちゃったらごめんねー❤,We might teach your cock too well and make it too weak... Sorry in advance~❤
まあ、もうだいぶ弱いけど。くすくす❤,Though... you’re already quite weak; aren’t you? Giggle~❤
はぐうぅうっ、きもちいいっ❤きもちいいっ❤❤,Ugh... It feels so good...❤ It feels so good!❤❤
カクテルフェアリーたちにたっぷり搾り取られた僕は、自分の力で動くこともできず、ミレーヌさんに肩を貸してもらいながら闘技場を後にすることになった。,I was milked dry by the cocktail fairies until I couldn't move on my own strength. I had to leave the arena with Mylene supporting me by the shoulder.
闘技場から外へ向かっている途中も、フェアリーたちは特に悪びれる様子もなく僕の周りを飛び回り、ときおり耳に息を吹きかけたり、わざとらしい喘ぎ声を聞かせたりして僕をからかってきた。,On the way out of the arena; the fairies nonchalantly flew around me with no sign of guilt. They teased me by occasionally blowing air into my ear or letting out exaggerated moans.
あんなに搾り取られたあとだというのに、彼女たちにちょっかいを出されるだけでまたペニスが反応してしまい、それを見たフェアリーたちはくすくすと小馬鹿にした笑い声をあげるのだった。,Even after being squeezed dry like that; just a little teasing from the fairies made my dick react again. The fairies giggled and mocked me when they saw it happen.
それからしばらくして。,Some time later.
いらっしゃーい♪\nってあれ、この間戦った男の子じゃん。\n今日はどうしたのー。,Welcome~♪ Oh wait; aren't you the boy I fought the other day? What brings you here today?
あ、もしかして、\nわたしたちにまた気持ちいいことしてほしくなったとか？\nえ？その反応、まさかほんとにそうなの？,Oh; could it be that you want us to make you feel good again? Hmm? That reaction... I was right; huh?
ううっ・・・・❤❤,Ugh...❤
くすくす❤そっかー。\nわたしたちのちっちゃい体に、そんなにメロメロになっちゃうなんて、\nあなたもだいぶヘンタイね❤,Giggle~❤ I see~. You're getting so head-over-heels for our tiny bodies. You're quite the pervert; aren't you?❤
あなたの魔力おいしいし、気持ちいいことしてあげてもいんだけど、\nそうだなー、代わりに高い飲み物とか注文してくれたら、\nわたしがイイコトしてあげるよ？,Your magical energy tastes so good... I could give you some pleasure; but... hmm. How about this? If you order a fancy drink; I'll do something really nice for you!
どうする？ほら、お値段はこれだけ。\nけっこう高いけど、払えるかな～。,What do you say? Look; here's the price. It's quite expensive; but I'm sure you can pay it~❤
うっ、ううっ・・・❤おねがいします・・・❤,Uuu...❤ Please...❤
あは、まいどありー♪\nそれじゃ、あなたが飲んでいる間、\nお客さんに見えないように机の下で気持ちよくしてあげる❤,Ahaha; thanks a lot~♪ While you're drinking; I'll make sure to pleasure you under the table where the customers can't see.❤
服の中に入り込んで、あん❤もうギンギンね❤\nおっぱいで先っぽずりずりしてあげる…❤,I'm going to get inside your clothes and; ahh~❤ You've got a hard-on already.❤ Let me rub your tip with my breasts...❤
あっ❤あっ❤これっ…❤ううっ、やっぱりきもちいいぃ…❤❤❤,Ahh~ Ahh~ This...❤ Oh; it feels so good...❤
こら、あんまり大きな声出しちゃダメ。\n他のお客さんにはしてない、特別サービスなんだから❤,Hey; don't be too loud. This is a special service that we don't give to other customers.❤
出すときまで静かにしてないと、やめちゃうよ？\nって、ぷっ、くすくす❤うつ伏せで、口まで手で押さえて\n必死過ぎ❤,I'm going to stop if you don't keep quiet; alright? Pfft. Giggle~❤ You're hiding so low in your seat; with your hand desperately covering your mouth... So eager.❤
すっかりわたしたちの体の虜なのね❤\nほら、たくさん搾ってあげる❤,You've become completely captivated by our bodies; haven't you?❤ Hmm~ I'll milk you plenty.❤
ふぐ、はひぃっ・・・・❤,Guh; haaah...❤
この日以来、僕はすっかり「妖精の酒場」の常連になってしまった。,Since that day; I have become a regular at the "Fairy Tavern."
飲み物を運んできたフェアリーに誘惑され、色々な高い商品を頼まされる日々。彼女たちの機嫌がよければ、闘技場のときのように３人がかりで責めてもらえる日もあった。,Every day; I was seduced by the fairies into ordering various expensive items. Some days; if they were in a good mood; the three of them would gang up on me and tease me; just like in the arena.
しかし、そんな無理な散財が続くはずもなく、あっという間に僕の所持金は底をついてしまった。魔力を頻繁に彼女たちにささげているせいで、バトルの成績も段々と悪くなっていった。,However; such reckless spending couldn't continue for long; and soon my funds were completely depleted. Because I frequently dedicated my magic to them; my battle performance gradually worsened as well.
危険な仕事や怪しい契約に手を出して何とか金を手に入れているが、果たしてこの生活をいつまで維持することができるのだろうか。,Engaging in dangerous jobs and suspicious contracts to somehow get by with some money... I wonder just how long I can keep up this lifestyle.
こうして小さな妖精たちの虜となった僕は、昇格の道を手放し、その場暮らしの生活へと転落した。僕の冒険はフェアリーたちの貢ぎ奴隷としてその幕を閉じたのだった。,Thus; captivated by the little fairies; I gave up my path to promotion and fell into a life of transience. My adventure ended as a tribute slave to the faeries.
冷静にフェアリーを引きはがした,Calmly peel the fairy off
抵抗できなかった,Don't resist
