default
煙猫,Cheshire
おっぱいが吸い付くようで気持ちいいかにゃあ❤\nチンポを籠絡する最高の柔らかさだけじゃないにゃ、\n同時に煙がチンポから入っていって脳をおかしくするのにゃ❤,The way my breasts cling to your penis like they're sucking you in must feel so good; nya.❤ It's not just the purrfect softness that meowsmerizes your cock; my smoke also gets in through your pores and drives your mind crazy~❤
だからこうやってパンパンパンって激しく叩きつければ、\n煙がもわって巻き上がって、\nもっともっとおかしくなれるのにゃ❤,So if I hit them hard like this; slap slap slap... The smoke swirls up; and you'll be driven wild; nya~❤
ほれほれ、たっぷり染みこませてやるのにゃ❤\n煙攻撃をくらうのにゃ❤,Take this! I'll let you soak it all in!❤ Give in to my smoke attack; nya!❤
あふぅっ、ああっ、すごいっ❤\n腰がとけそうでっ、ああっ❤❤,Ahh; ahh; amazing!❤ My waist feels like it's melting! Aaah!❤❤
にゃはは❤下半身が浮き上がりそうなぐらい気持ちいいかにゃ？\n人間の男と女モンスター、どっちが強いか歴然だにゃあ❤,Nyahaha~❤ Does it feel so good your waist feels like it's floating; nya? Between human men and female monsters; it's so obvious who's stronger; nya~❤
マスターが言う通りにゃ❤\n男は快楽には勝てない❤でしゃばるだけ邪魔なのにゃ❤\n男にできることは精気を女モンスターに貢ぐことぐらいだにゃあ❤,It's like Meowster always says; nya!❤ Men can't resist pleasure~❤ In battle they just get in the way.❤ All a man's good for is offering his life force to female monsters; nya~❤
お前だって、アヘアへ喘ぐだけで反論の言葉もないのにゃ❤\nわたしのおっぱいはそんなに気持ちいいかにゃ？にゃははは❤,Even nyow; all you can do is mew and gasp without even arguing; nya~❤ Do my boobs make you feel that good? Nyahaha~❤
どうせ我慢なんてできないにゃあ❤\nうりうりうり❤激しくおっぱいを動かしてやるのにゃ❤\n一往復するごとに意識が飛びそうになるぐらいの快感のはずにゃ❤,You can't resist nyow!❤ Rub rub rub~❤ I'll move my boobs faster and harder; nya!❤ I'll keep going until each stroke feels so good that you almost lose consciousness; nya!❤
谷間をぎゅうってしめてやるから、ここに出すにゃ❤\nずりずりずり、むぎゅうー❤だにゃあ❤,I'll squeeze my cleavage tight around you; so hurry up and cum; nya!❤ Rub rub squeeze~❤ Nya~❤
あひ、はひぃ・・・❤,Ah; hahi...❤
にゃはは、イったあともびくんびくんって痙攣してて、\n面白いのにゃあ❤\n快感がなかなか抜けいないかにゃ？,Nyahaha; you looked so funny; twitching like that; even after cumming so much nya~❤ Is it purrhaps that the pleasure won't go away?
わたしの煙がまだ体の中に残っていて、効果が切れていないのにゃ❤\nだからお前の体は、とんでもなくムラムラしてるのにゃ❤,The effects of my smoke last as long as my pheromones are still in your system; nya.❤ That means your body's stuck all nyice and excited~❤
どうするかにゃ？期待のルーキー❤\nお前がどうしてもって言うなら、まだまだ精気を吸ってやるにゃ。,What are you going to do; Mister Promising Rookie?❤ If you beg; I'll keep sucking your life force a little longer; nya.
あう、うう❤おねがい、もっと・・・❤,Aah; uuh...❤ P-please... More...❤
うあっ、あっ、そんなっ❤体が熱くてっ❤\nううあっ、ああっ❤,Ugh; ah; I-I can't...❤ My body... It feels so hot...❤ Uuuh; aaah!❤
にゃにゃ？余韻だけで射精したのかにゃ？\nにゃはは、地面に無駄撃ちしてみっともないにゃあ❤,Nya-nya? Did you really climax from just the afterglow? Nyahaha; shooting it pointlessly on the ground like that is so embarrassing; nya!❤
せっかくのおいしい精気がもったいないにゃ❤\nおねだりも聞けたから、ちゃんと挟んでやるのにゃ❤\nわたしのパイズリを満喫しろだにゃ❤,It's such a waste of delicious energy; nya.❤ So since you asked so nicely; I'll make sure to milk you purroperly~❤ Enjoy my pawzuri; nya~❤
はひぃっ、きもちいいっ、あああっ❤❤,Hahh... It feels so good... Ahhh!❤❤
お前の精気はうまいにゃあ❤\nほれほれ、もっと出すのにゃあ❤,Your essence is delicious; nya~❤ Come on; come on; give me more!❤
こうして猫の上級モンスターに徹底的に搾り取られた僕は、すっかり女性モンスターの与える快楽に弱くなってしまった。,After being completely drained by the advanced cat monster; I became utterly weak to the pleasure female monsters could give me.
特にネネコの使う妖怪系モンスター相手にはまったく手が出なくなり、彼女たちに精気を吸われるとすぐ抵抗できなくなってしまうのだった。,I couldn't put up any resistance at all; especially against the yokai-type monsters Neneko used; and as soon as they began to drain my life force; I would immediately lose any ability to resist.
僕がこの先、ネネコや他の女性マスターを倒して、上のランクに上がることはないのだろう。まして魔族領に乗り込んで妹を助けることなんて、もう不可能だ。,I will probably never be able to defeat Neneko or any other female master in order to rise to a higher rank from now on. What's worse; it was already beyond impossible for me to storm the demon territory and rescue my sister.
煙猫の濃厚なフェロモンに脳をどろどろに溶かされながら、こうして僕の妹を救うための冒険は幕を閉じたのだった。,And so; as my brain was melted into a gooey mess by the thick pheromones of the Cheshire; my adventure to save my sister came to an end.
にゃははは❤そうか、このふとももで気持ちよくしてほしいかにゃ❤\n連勝中のルーキーさまは、\nむっちりした脚が好きなだけのマゾだったみたいだにゃあ❤,Nyahaha!❤ I gotcha. You want me to make you feel good with my thighs; don't ya?❤ It seems that the undefeated rookie is really just a plump thigh-loving masochist; nya~❤
それなら、やめるかにゃ？\nふとももで挟みながらパンパンって腰を振って、\nたっぷり精気を吸い取ってやろうかと思ったのににゃ❤,Should I stop then; nya? I was thinking of teasing your penis with my thighs and sucking out all your energy; but if that's how you feel...❤
おねがい、します・・・❤\nふとももで気持ちよくして、ください・・・❤,P-please...❤ Please make me feel good with your thighs...❤
挟まれただけでもう幸せそうな顔をしているにゃ❤\nほら、腰を振ってやるにゃ❤,All I've done is squeeze you and you already look so happy; nya.❤ Here; I'll start moving my hips for you nyow~❤
にゃはは、セックスしてるわけでもないのに、\nこんなに興奮してバカみたいだにゃあ❤,Nyahaha; purrety silly getting this excited when you're not even having sex; nya~❤
さっきまでわたしとバトルしていたのを覚えているのかにゃ？\n敵に抱き着かれて腰を振られて喜ぶとか、\nマゾってダメな生き物だにゃあ❤,Did you already forget we were fighting right before nyow? Being so excited and thrusting so much just from a hug from your enemy... You masochists are supurr pawthetic; nya~❤
腰を激しく動かしたらすぐイクんじゃないかにゃ？\nパンパンパンって音がなるぐらい叩きつけてやるのにゃ❤,If I move my hips even faster; are you gonna cum for me; nya? Then I'll slap against you hard enough for you to hear it!❤
にゃはは❤いい声で喘いでいるのにゃ❤\nチンポが何度もふとももの奥にずにゅうって差し込まれて、\nまんこに入れてるみたいな気分かにゃ？,Nyahaha~❤ Your moans sound so nyice~❤ You keep thrusting your penis so deep into my thigh. Does it feel like you're in my pussy; nya?
わたしの煙もオマケしてやるのにゃ❤\nお前の顔めがけて、フェロモンの息をふぅー・・・❤,As a little bonus; I'll give you some of my smoke; nya~❤ I'll blow my pheromone-filled breath right into your face. Phew~~❤
あふっ、はひぃっ、なにこれっ❤\nああああっ❤❤,Ahh; haah what are you...?❤ Ahhhh!❤❤
そうか、それなら吸ってやるのにゃ❤,That's it; let me drain you dry~❤
敵にみっともなくお願いして、与えてもらう刺激は気持ちいいかにゃあ❤\nわたしのマスターがあっちでお前のことクスクス笑ってるけど、\n気が付いてるかにゃ？,Shamelessly begging the enemy and getting a thrill from the pleasure must feel so good; nya~❤ Hey; have you noticed my meowster? She's over there; giggling at the sight of us.
にゃは、笑われてるって聞いて、むしろチンポが固くなったにゃ❤\n女に抱きしめられながら、嘲笑われて興奮するとか、\nマゾはやっぱり救えない存在だにゃあ❤,Nyaha; hearing that you're being laughed at actually made your cock even harder; nya!❤ Getting so excited from a hug while being mocked. Masochists really are irredeemably pawthetic; nya~❤
お前のうまい精気を、ほらほら、もっと寄越すにゃ❤\n気絶するまでたっぷり吸ってやるのにゃ❤,Come on; come on. Hurry up and give me lots of your delicious life force; nya~❤ I'll keep draining you dry until you faint~❤
ふーん、そういう態度を取るのかにゃ。\nせっかく気持ちよくイかせてやろうというのに。,Hmm; so you're gonna be like that; nya? I just wanted to make you feel good.
それならお前にはぶっ壊れてもらうのにゃ❤\nほら、わたしの胸におぼれてしまうのにゃ❤,In that case; I'll just have to break you first; nya!❤ Here; I'll drown in my chest~❤
むぐぅっ❤❤,Gah! Mmf!❤❤
じたばたしても無駄なのにゃ❤\nおっぱい押し付けられただけで脱力して\n全然力が入っていないのにゃ❤,There's nyo point in struggling.❤ Just having my breasts pressed against them makes all men go limp; unable to muster any strength at all; nya~❤
わたしは自分の体から煙を自由に出せるのにゃ❤\n特に一番男をダメにするのが、谷間の煙にゃ❤,I can freely emit smoke from any part of my body; nya.❤ But the smoke from my cleavage makes men especially weak~❤
ここの特濃フェロモンを、何度も吸わせれば、\n男は頭がぐずぐずになって、\n最後には壊れたみたいに精液を延々と垂れ流すのにゃ❤,If I make a man breathe in the supurr concentrated pheromones from my chest over and over again; his mind will turn to mush; and he'll end up broken; cumming nyon-stop~❤
ほら、わたしの煙で狂え❤なのにゃあ❤,So go on. Let my smoke drive you crazy~❤ Nyaaa~❤
はぐっ、あぐぅう❤\nあっ、ふぁっ・・・❤はひぃ・・・❤,Ha; ahh...❤ Ah; fuh...❤ Haaaah...❤
にゃはは❤煙を思いっきり吸わせてやったらすぐに蕩け顔にゃ❤\nおっぱいで顔の逃げ場をなくされて、意識がとろとろかにゃ？,Nyahaha!❤ If you inhale my smoke deeply; you'll be left with a blissful expression purrety quick~❤ Are you feeling all dazed and meowsmerized with your face trapped between my breasts?
ほんの少し吸っただけでそんな顔になるのに、\nこれを何分も吸ったらどうなってしまうのかにゃあ❤,If just a little bit of my smoke has you making that face; what would happen if you breathed it for several minutes?❤
にゃは、チンポがビクンって反応したにゃ❤\nわたしの煙でぶっ壊されるの想像したのかにゃ？\n自分がダメにされる想像で興奮するとか、マゾ男だにゃあ❤,Nyaha; your penis just twitched; nya!❤ Did you just imagine being broken by my smoke? Getting excited by just imagining having your mind ruined... You're such a masochist; nya~❤
ほら、窒息するぐらいむぎゅうっておっぱいで顔をつぶしてやるのにゃ❤,Here; I'll smother your face with my breasts until you can't breathe at all; nya~❤
苦しいかにゃ？それじゃ、顔を出してやるから、\nたっぷりフェロモンを吸い込むにゃ❤,Are you feeling suffocated? Good; then I'll let you out a little; so inhale plenty of pheromones; nya~❤
あふっ、ああっ、はひぃっ❤❤,Ahh; ahh; ha ha...❤❤
ぷぷぷ、深呼吸しながら射精したにゃ❤\n雑魚チンポじゃ全然耐えられないみたいだにゃあ❤,*Giggle* Just taking some deep breaths made you cum so much; nya~❤ It seems like your pawthetic little penis can't handle my pheromones at all; nya.❤
肺の中までわたしに犯されるのはどんな気分かにゃ？\nおっぱいが顔に当たってるだけでも気持ちいいのに、\n脳の奥までどろどろに溶かされて、気持ちよくてしょうがないかにゃ？,How does it feel getting violated all the way down to your lungs? Just having my breasts against your face feels supurr good; but getting melted deep in your mind makes it feel even better; doesn't it; nya?
わたしのフェロモンがお前の全身をむしばんで、\nどんどんお前をわたしの虜にしていくのにゃ❤\n中毒になって依存させていくのにゃ❤,The way my pheromones claw at your entire body; gradually making you my captive~❤ You'll become totally addicted to me in nyo time~❤
これ以上壊れたくなかったら頑張って息を止めるといいにゃ❤\nほれ、もう一回だにゃあ❤,If you don't wannya break any more; you should try hard to hold your breath; nya.❤ Here we go; one more time; nya~❤
ぱふぱふぱふ❤ぱふぱふぱふ❤\n鼻も口もふさぎながら、むにむに押し付けてやるのにゃ❤,Pawff-pawff~❤ Pawff-pawff~❤ I'll smoosh my chest against your face until your nose and mouth are totally covered; nya.❤
苦しいかにゃ？でも気持ちよくて顔の筋肉に力が入らない❤\nそれじゃあ、おまちかねフェロモン時間だにゃ❤\n谷間からほら・・・❤ふわぁっと出すにゃ❤,Is it hard to breathe; nya? But it feels so good you can't help but relax; doesn't it?❤ Well then; it's time for the pheromones you've been waiting for; nya!❤ Here; from my cleavage...❤ I'll let them out in gentle wafts; nya~❤
にゃはは❤息を止めることなんてできないみたいだにゃあ❤\n吸えば吸うほど気持ちよくなって、\nもうすっかり中毒になってるのにゃ❤,Nyahaha!❤ Looks like you can't hold your breath at all!❤ The more you inhale; the better it feels; and it looks like you're already completely addicted; nya~❤
ほら、もう一回❤,Here; again!❤
はひぃっ、あう、あああぁ・・・❤❤❤,Hah; ah; ahhh...❤❤❤
にゃははは❤バカみたいに精液垂れ流してるにゃ❤\nんー、もう意識が持たないかにゃ？,Nyahaha~❤ You're shooting out your seed like such an idiot; nya!❤ What's wrong; can't hold back any longer?
ぼろぼろに搾りつくされて情けないにゃあ❤\nこれがわたしとお前の実力差にゃ❤,You're completely worn out and pawthetic; nya!❤ Now you see the difference in our abilities; nya.❤
もうお前は普通の快楽では満足できないにゃ❤\n一生わたしの煙を求めて生き続けるのにゃ❤くすくす❤,You'll never be satisfied with ordinary pleasures again; nya.❤ Nyow you'll live your life seeking my smoke forever~❤ *Giggle*❤
その後、僕は闘技場の医務室で目を覚ました。,After that; I woke up in the arena's infirmary.
試合で負けたにも関わらずバトル中の記憶はおぼろげで、ただ最後に{自分}の煙を何度も吸い込まされだことだけを、鮮明に覚えていた。,And while I knew I lost the match; my memories of the battle were hazy. The only thing I could remember clearly was being forced to inhale {自分}'s smoke over and over again at the end.
桃色の煙を吸い込むたびに全身がとけてしまいそうなほど気持ちよくて、手も足も感覚があいまいになり、まるで天国にでもいるかのような快感だった。,Every time I inhaled that pink smoke; it felt so good that my whole body seemed to melt away. My limbs had been left numb; and it felt like I was in heaven.
その状態で繰り返し胸を顔に押し付けられて、射精が延々止まらず、終わりのない気持ちよさが何度も何度も押し寄せてきて・・・。,Held like that; her chest pressed against my face; my orgasms just wouldn't stop; and the never-ending pleasure had washed over me again and again...
ああ、だめだ。これは思い出さない方がいい記憶だ。こんな快感を体に刻まれたら、戦えなくなってしまう。,Ah; no. This memory... I have to try and forget it. If the pleasure gets etched into my body; I won't be able to fight anymore.
僕はそう思い、必死に彼女に負けたときのことを記憶の奥に封じ込めようとした。しかし・・・。,I kept telling myself that and desperately tried to bury the memory of my loss to her deep in my mind. However...
試合から１日後,One day after the match
（ううう・・・❤）,(Ugh...❤)
試合からたった１日しか経っていないのに、僕の体はすでにおかしくなっていた。,Only a single day had passed since my match against Neneko; and my body was already feeling strange.
異様に喉が渇いて、体が小刻みに震えてしまう。あのときの煙が、欲しい、欲しくてたまらない。,My throat was unusually dry; and my body was trembling a little. I wanted Cheshire's smoke again. I wanted it so badly.
（ああ、早く吸いたい・・・❤\nまた彼女に会いたい・・・❤）,(Ah; I want to breathe her smoke again...❤ I... I need to see her again...❤)
僕はいつの間にかギルドに来ていた。{自分プレイヤー}に会えれば、また吸わせてもらえるかもしれない。周りのほかのマスターたちに{自分プレイヤー}の居場所を熱心に聞いて回っていた。,I had somehow ended up at the guild. If I could find {自分プレイヤー}; she might let me breathe in that smoke again. I eagerly started asking the other masters about her whereabouts.
にゃにゃ、わたしを探してるやつがいるって、お前のことかにゃ。\n昨日の今日だっていうのにわたしに会いたくなったのかにゃ？,Nya-nya; so you're the one looking for me. It's only been a day; but you already need to see me again; nya?
要件は言わなくてもわかってるのにゃ❤どうせリベンジじゃないにゃ❤,You don't have to say anything. I knyow why you're here~❤ It's not like it's revenge or anything; nya~❤
うう・・・❤{自分}に会わせて・・・❤,Ugh...❤ I... I need to see {自分}...❤
ぷぷ❤わかりやすく虜になってるにゃ❤\nんー、ちょっと待つにゃ。いい考えがあるにゃ❤,*Giggle*❤ It's so obvious you're totally captivated by her; nya.❤ Hmm; wait a moment. I have a supurr good idea; nya.❤
姉ちゃん、なんだよ急にこっちに来いって。\nボク街でバトルしてる途中で・・・。\nって、無敗のルーキーの兄ちゃん！？,Hey sis; why'd you want me to come over here all of a sudden? I was in the middle of a battle in the city... Wait; aren't you the undefeated rookie!?
にゅふふ、そうにゃ。これがお前の憧れてたあのルーキーにゃ❤\n見るにゃ、とろんとした目でわたしに向かって媚びてる顔を❤\nにゃははは、男ってのはあわれなもんだにゃあ❤,Nyufufu; that's right. This is the rookie you admire so much; nya.❤ Look at the face he's making with those dreamy eyes; trying to curry favor with me; nya.❤ Nyahaha; men are such pawthetic creatures.❤
お前にはお情けで煙を吸わせてやるにゃ❤\nでもそのぶん、弟の教材になってもらうにゃ❤\n男は強くなんてなれないってこと、存分に見せつけてやるのにゃ❤,I'll let you have a little pity-pawff; nya~❤ But in return; I'll make you a lesson for my little brother.❤ I'll show him just how weak men really are; nya.❤
にゃはぁん❤また会ったのにゃ❤\nそんなにわたしの谷間で、深呼吸したかったのかにゃ❤,Nya-ha!❤ We meet again; nya.❤ Did you wannya breathe deep between my breasts again that much?❤
お前にあこがれてるファンがそこにいるのに。くすくす❤\n勝手にふらふらこっちに近づいてくるにゃ❤,Even though you have an adoring fan here watching you; you just staggered right up to me anyways; nya~❤ *Giggle*❤
吸いたければ吸うといいにゃ❤\nその分精気をたっぷり寄越すにゃん❤,If you want a taste; go ahead.❤ In return; give me plenty of your life force; nya~❤
あひぃ、あうぅぅ・・・・❤❤,Aah... Ahh; uhh...❤❤
僕はその後、完全に彼女の出す煙の中毒になってしまった。,After that; I became completely addicted to the smoke {自分} produced.
煙を１日摂取しないだけで集中力がなくなり、３日も吸わなければ、何も考えられなくなってその場にへたりこんでしまうほどだった。,Even just a day without her smoke would make me lose focus; and if I didn't have it for three days; I would be unable to think and would collapse wherever I was.
僕は{自分プレイヤー}に{自分}を召喚してもらうため、せっせとクエストを肩代わりしたり、稼いだお金をたくさん貢いだりした。,I diligently took on quests and offered {自分プレイヤー} the money I earned so she would summon {自分} again.
それでも彼女はめったに{自分}を召喚してはくれず、代わりに煙をつめた革袋や{自分}の匂いがしみついた布切れを渡し、僕をにやにやと見下ろすのだった。,Despite all my efforts; she rarely summoned her; instead handing over a leather pouch filled with smoke or a piece of cloth soaked in her scent; looking down at me with a smirk.
ごくまれに{自分}が僕の精気を吸いたいと言ったときにだけ、僕は直接彼女に搾り取ってもらえた。その瞬間は人生で最高の快楽で、僕は彼女から離れられそうになかった。,Only on the rare occasions when she said she wanted to suck my life force would she let me be drained by her directly. Rare as it was; those moments were the greatest pleasure of my life; and I felt like I could never leave her.
こうして、無敗でCランクにまで上がった僕の物語は、{自分}の虜に堕ちて、みじめな貢ぎ奴隷としてその幕を閉じたのだった。,Thus; my story of rising to C-rank undefeated came to an end; having fallen captive to {自分}; ending my adventure as a miserable offering slave.
悔しがるだけ恥の上塗りだにゃん。\nま、その方が弟もあこがれるのをやめるから、\nこっちとしては願ったり叶ったりにゃ。,
ほら、もっともっと情けなく喘がせてやるのにゃ。\nまねき猫、やるにゃ！,
わたしもお兄ちゃんが傷つくの、反対だにゃん❤\n戦いなんてやめておうちでゴロゴロしてるのがいいにゃん。,
気持ちよくしてあげるからわたしと一緒にゴロゴロしようにゃん？\nおっぱい、ゆさゆさ❤、ゆさゆさ❤にゃん、にゃあん❤,
あ、あうぅ・・・❤,
にゃあん❤\nおっぱいじーっと見て、目がとろーんってなっているにゃん❤,
おいで、おいで❤にゃんにゃん❤\nおいで、おいで❤にゃんにゃん❤,
おっぱい手招きでお兄ちゃんをご招待にゃん❤\nおちんちん、おっぱいの中にいらっしゃい、にゃ～ん❤,
ああぁぁ・・・❤,
ふふ・・・❤やっぱり男はおっぱいの誘惑に勝てないにゃ❤\n自分からエナジーを捧げようとするなんて格好悪いにゃあ・・・♪,
好きなだけまねき猫のおっぱいを堪能するにゃ。\n脳みそがバカになって、もう戦おうって思わないくらいににゃあ❤\nほら、腰を振るにゃ。後ろから手でちょんと押してやるにゃ。,
あっ❤うっ❤やめて、そんなことされたらっ❤,
はひぃっ、きもちいい❤腰が止まらないぃ・・・❤,
にゃはは♪\n一回押してやっただけで、あとは勝手に動きだしたにゃ。\nあんなに悔しがってたくせにこれは傑作だにゃ♪,
ますたーのお兄ちゃん、とっても幸せそうだにゃあ❤\nおちんちんぱんぱんが、格好悪いかなんて気にしなくていいにゃ❤,
おっぱいをぎゅって手の平で楽しんで、\nそうしながら腰をヘコヘコすれば、\nもっともっと気持ちよくなれるにゃん❤,
自分の手で押さえた分、\nおっぱいがむにゅうって包み込んでくるのにゃん❤\nおちんちん、気持ちいいお肉で包囲されちゃうのにゃん❤,
そんななかを、ずぷずぷ❤ぱんぱん❤\n腰でいっぱい突けば、すっごく気持ちよくなれるにゃん❤\n脳みそアヘアへに溶けちゃうかもにゃん❤,
お兄ちゃんがカッコ悪くなっても\nわたしは笑わないのにゃん❤\nだからおっぱいむにゅうって押さえていいのにゃん❤ほら、ほら❤,
（うう、そんなやさしい声で言われたら…❤\nだめなのに、試合で負けたばかりなのにっ・・❤）,
ちょっと挑発が効きすぎたにゃん❤\nもうおっぱいにお射精することしか頭になくなっちゃったにゃ❤,
おもいっきり、ぱんぱん❤ぱんぱん❤\n乱暴な腰使いだにゃん。でもふにゃふにゃに力が抜けてるから、\n全然痛くないにゃん❤,
へろへろの腰づかいで、\nへこへこ、ぱんぱん♪へこへこ、ぱんぱん♪\nレベル１のモンスターでもダメージを受けなさそうな腰ふりだにゃーん❤,
あっ、あっ❤\nもっ、もうっ❤,
にゃは♪もうイきそうにゃのか？\nそれならおっぱいの一番奥に出すといいにゃ❤\nそれが一番気持ちよくて幸せだにゃん❤,
両手でぎゅ～っておっぱいを掴みながら乳圧を強くして、\n思いっきり腰を突き出すにゃ❤\n雑魚マスターのお前にはぜいたくな負け方だにゃん♪,
いいにゃん、ますたーのお兄ちゃん❤\nわたしのおっぱいの奥にぜーんぶ出して❤\n頭の中わたしの与えた幸せで、いっぱいにしてほしいにゃん❤,
ううっ❤まねき猫ちゃん…❤好きぃっ・・・❤気持ちいいぃ❤,
あ❤ひぃっ・・・❤,
にゃうん❤たくさ～ん、おっぱいの中で出てるにゃ～あん❤\nエナジーたっぷりの精液、嬉しいにゃあ～ん❤,
ますたーのお兄ちゃんもとっても幸せそうな顔だにゃん❤\nわたしも幸せ、ますたーのお兄ちゃんも幸せ。とっても良い事だにゃあ❤,
にゃん？ますたーのお兄ちゃん。もっと幸せになりたいのかにゃん？,
はぁっ❤はぁっ❤はぁっ❤,
精液でどろどろになったおっぱいの中、おちんちんでずりずり\n気持ちいいにゃん？わたしのますたーの言ったとおり、\n脳みそがバカになっちゃったかにゃん？,
でも少しぐらいおバカになったほうが、\n人生幸せになれるにゃん❤\n今もほら、頭空っぽでおっぱい楽しんで、すごく気持ちいいのにゃん❤,
何度でも射精していいにゃん❤だから、おっぱいの中に❤\nおいで、おいで❤にゃんにゃん❤\nおいで、おいで❤にゃんにゃん❤,
あ、あぐああっ❤あひぃっあ❤,
おっぱいからあふれるくらいたくさんのエナジーだにゃん❤\nお兄ちゃん、幸せになれたかにゃん❤,
わ、にゃにゃ、ますたーのお兄ちゃん、気絶しちゃったにゃ。\nでも、と～っても幸せそうな顔で倒れてるにゃあ❤,
もう危ない事をしたらダメにゃ。\nこれに懲りたら戦いなんて止めるにゃ～ん。,
意識を失った僕は、その後闘技場の医務室で目を覚ました。,
試合に負けたあと夢中で敵の女の子に腰を振って…。ああ、とんでもない失態を晒してしまった。僕は恥ずかしくて、顔を真っ赤にしてしまう。,
（ううっ・・・。きもちよかった・・・。でも・・・。）,
一回の敗北を引きずるわけにはいかない。僕には妹を助けるために強くならないといけないのだ。,
そう思って、脚に力を入れて立ち上がろうとしたとき、自分の膝の上に白い毛玉のような塊が頭を乗せていることに気づいた。,
にゃーん、目が覚めたのかにゃ？\n体は大丈夫かにゃん❤,
周りの看護師の人に聞くと、なんでも僕のことを心配して、目が覚めるまでずっとそばにいてくれたらしい。,
今は僕が目を覚まして安心したのか、ゴロゴロと喉をならして、毛布の上から僕の体に頭をこすりつけている。,
それじゃ、わたしはますたーのカードに戻るにゃん。\nもう危ないことしちゃだめだにゃん。\nでももし、気持ちいいことがしたいなら・・・。,
わたしはいつでもお兄ちゃんのこと、\nおっぱいでむにゅーってしてあげるにゃん❤\nそれじゃバイバイにゃん♪,
そういってまねき猫は姿を消してしまった。カードに戻ったのだろう。,
・・・・❤,
ううっ、だめだ、どれだけ可愛くても彼女は今は敵なのだ。彼女にまた甘えて、気持ちよくしてほしいなんて、考えてはいけない・・・・。,
それからしばらくして。,
懲りない男だにゃ。おっぱいには勝てないって、\nもう一度徹底的に教えてやるにゃ。\nまねき猫、召喚にゃ！,
にゃあ～ん❤ますたーのお兄ちゃん、また会ったにゃ。\nもう一回、幸せになりたくなって、\nわたしに会いに来てくれたのかにゃん？,
うっ、ううっ・・・・❤,
おちんちん、おっきくなったにゃ❤\nおっぱい手招きでご招待だにゃあ～ん❤,
おっぱいの中に❤おいで、おいで❤にゃんにゃん❤\nおいで、おいで❤にゃんにゃん❤,
あっ、あっ❤お、おっぱいぃ・・・❤,
にゃはは❤\nパイズリする前におっぱい近づけられただけで射精しちゃったにゃ❤,
お前はもうおっぱいに勝てないにゃ❤\nそれがわかったらもう闘技場になんて来るんじゃないにゃ～。,
ますたーのお兄ちゃん、負けが決まったあとは、\n好きなだけわたしに甘えていいのにゃん❤\nほら、おっぱいで挟んであげるからもっともっと幸せになるにゃん❤えい❤,
その後、僕はすっかり彼女の虜になってしまった。,
彼女は優しいからか、たまに自分のマスターに頼み込んで宿屋まで僕に会いに来てくれる。そしてベッドでごろごろしながら、時折甘くおっぱいで挟んで、気持ちよくしてくれるようになった。,
相手のマスターも、僕からたっぷり魔力を搾れるなら悪くないということで、こうしてたまに行くことを許可しているらしい。まねき猫が来た日にはカラカラになるまで彼女に搾り取られるのが当たり前になってしまった。,
当然、そんな堕落した日々を過ごせば、失うものも少なくなかった。修行の時間が減って能力は落ち、回復しきらない魔力のせいで格下の相手にすらまともに勝てなくなった。,
しかし、そんな情けない姿すらも、小さな彼女は肯定して、延々と甘やかしてくれる。そして気持ちよくしてくれる。,
邪気など一切ない、善意と好意から与えられる快楽。僕はどんどん彼女のことが好きになってしまい、ずぶずぶと幸福という名の沼にはまり込んで、動けなくなってしまった。,
今日もまた白い毛玉のような彼女が僕の膝の上でごろごろと喉を鳴らしている。僕はそれを振り払おうなどとはとても思えなくなっていた。こうして僕の冒険は、小さな猫のモンスターによって、その幕を閉じたのだった。,
にゃはは、何をやっているのかにゃ❤\nバトルもまだ途中だというのに、シコシコし始めたのにゃ❤,Nyahaha; what are you doing; nya?❤ We're in the middle of a battle you knyow; but you've started jerking off!❤
にゃはは❤自分でしごいて負けるとかバカなのにゃ❤\nそんなんでよく(ランク名)ランクまでこれたものにゃ❤,Nyahaha!❤ Losing by stroking yourself is so silly; nya.❤  It's purrposterous you made it to (ランク名)-rank with that weak penis~❤
