default
パトラ,Patra
わたしに負けなさい❤快楽におぼれて勝敗なんて捨ててしまうの。,Surrender to me~❤ Give in to the pleasure and forget all about winning or losing.
あぅぅ……❤,Aah...❤
あらあら…❤期待のルーキーくんはもう我慢できないの？\n噂で聞くよりずいぶんと理性が弱いわね❤\nわたしの脚を見ながら、はぁはぁしちゃって。くすくす❤,Oh dear...❤ Can the Promising Rookie not hold back any longer? You're self-control is much weaker than the rumors say.❤ You're panting so hard and staring at my legs. *Giggle*❤
少しは熱い試合を楽しめるかと思ったけれど、\nま、いいわ。\n楽に勝たせてくれるなら、昇格戦に魔力を温存できるもの。,I thought I'd get to enjoy at least a somewhat challenging match; but I suppose this is fine. If you want to just give me an easy win; it means I can conserve my magic for the promotion match.
まだほとんど何もされてないのに、\n勝手にわたしの脚にメロメロになって情けない顔…❤\n自滅しやすいように少しだけ手伝ってあげる❤,I've barely done anything to you yet; and you're already making such a pathetic face; so entranced by my legs...❤ I'll help you just a little bit; and make it easier for you to finish yourself off~❤
あらあら…❤まさか我慢できなくなったの？\nＣランクへの挑戦権を賭けた大切な試合なのに、わたしの脚で\nはぁはぁしちゃって。くす❤男って本当にダメね❤,Oh dear...❤ Could it be that you couldn't hold back? You know how important this match is in order to reach C-rank; and yet you're panting so much and staring at my legs. *Giggle*❤ Men really are hopeless; aren't they?❤
まだまだ戦い足りないけど…。\nあなたの顔を見る限り、もう勝負にならないわね❤\nシコシコしごいて気持ちよさそう❤,I wasn't done enjoying our fight; but... judging by the look on your face; it seems like this match is already over.❤ It looks like you're really enjoying yourself~❤
蹴りのスピードじゃ、ゆっくり脚を眺めたりもできないでしょう？\nほら、スリットから脚をゆっくり前に出して、ちらり❤\nわたしのふともも、じーっと見ていいわよ❤,My lightning fast kicks don't give you time to really admire my legs; do they? Here; I'll slowly lift my leg through the slit of my dress for you. Peek-a-boo~❤ Now you can stare at my thigh all you want!❤
ううっ、はぁ、はぁ…❤,Ugh; haah; haah...❤
鍛えているからよく引き締まっているでしょう？\nでも、男にとっては筋肉より脂肪の方が魅力的なのかしら。\nわたしの自慢の脚❤ここにチンポ絡めとられたい？,Due to training; my legs have become quite toned; don't you think? Though; sometimes I wonder if men find softer thighs more attractive than muscle. Still; they're my pride and joy~❤ Do you want to feel what it's like having them tangled around your cock?
ほら、もっと見えるように、ゆっくりと脚を高くあげてあげる❤\nほとんど真上まで上げられるのよ？柔らかいでしょう❤\n格闘技には柔軟性も必要なの❤,Here; I'll slowly lift my leg higher so you can admire it even better.❤ I can almost lift it straight up! Pretty limber; don't you think?❤ Flexibility is as important for martial arts as strength; after all.❤
ああっ…❤きれい…❤,Ahh...❤ Beautiful...❤
ぷっ、試合中に相手の体を褒めるなんて、ピュアな子ね❤\nありがとう❤素直に受け取っておくわ。,Pfft; praising your opponent's body during a match. What a pure child you are.❤ Thank you.❤ I'll gladly accept the compliment.
ほら❤バランス感覚も良いでしょう？\n片足で立ったまま脚を舞うように動かすこともできるわ❤\n例えば、足先で何かを擦るようにすることだって簡単・・・♪,See?❤ My sense of balance is pretty good; don't you think? I can even move my leg just as gracefully while standing on one foot.❤ For example; it's still easy for me to rub something with the tips of my toes...♪
わたしの足でチンポを踏まれるのを想像しちゃう？\nそれともただ脚を見ているだけで頭ボーっとして、\nムラムラが押さえられなくなっちゃう？,Did you just imagine getting your cock stepped on by my foot? Or do you just get so light-headed looking at my legs you can't help but feel aroused?
ふふふ❤手の動き止まらないわね。シコシコ❤シコシコ❤\nわたしの脚を目で追いながら、両手で握って、シコシコシコ♪\nあなたのファンもがっかりの光景よ❤,Fufufu~❤ Your hands just won't stop moving; will they? Rub rub~❤ Stroke stroke stroke~❤ You're just watching my leg move; stroking yourself silly with both hands~♪ Your fans will be so disappointed if they have to watch you lose like this~❤
せっかく無敗で進んできたのに、ほんとにいいのかしら？\n先輩としてちょっと心配になっちゃう。\nほら、よく考えて。昇格の代わりがオナニー。ほんとに、それでいいの？,You’ve come this far undefeated; are you really okay with this? As your senior; I can't help but worry a little. Come on; think it over. You're giving up your chance at promotion just to masturbate. Is that really okay?
うぅ……っ❤ダメ…。ダメだけどぉ…。ううっ❤,Ugh...❤ No... It... It's not; but... Ugh...❤
あん❤そんなうるんだ目でわたしのこと見て…❤\nしょうがないわね。ほら、とどめを刺してあげる。\nそっちの方が結果的に恥をかく時間も短くて済むはずよ。,Ah~❤ You're looking at me so teary-eyed...❤ I suppose it can't be helped. Here; I'll grant you the finishing blow. That way; I save you some embarrassment in the long run.
ほら、亀頭の上に足の裏をかぶせるみたいに、ゆっくり近づけて…❤\n触れるか、触れないかのところで、ゆら、ゆら・・・♪,Look; I'll put the sole of my foot right over the head of your penis; slowly getting closer and closer...❤ Just on the verge of touching you; swaying gently...♪
目の前にはわたしの美脚。チンポの先にはわたしの足裏…❤\n足フェチくんには刺激が強すぎるんじゃない？\nほら、シコシコしてどぴゅって出していいのよ❤,My beautiful legs are right in front of you. The sole of my foot is hovering over the tip of your cock...❤ Is it too stimulating for a foot-fetishist like you? It's okay; stroke yourself silly until you cum!❤
もうふとももしか目に入ってないのね❤\n最後に、ちらり❤ショーツ、見せてあげるわ❤\nさぁ、イキなさい❤,By now you can't focus on anything but my legs; can you?❤ Lastly; I'll give you a little peek~❤ I'll show you my shorts.❤ Come on; let it all out~❤
あ、うぁ……っ！❤,Ah; ohh...!❤
ん❤たっぷり出たわね。\nふふ、放心した顔しちゃって。\nなに、やり遂げたみたいな気分になっているのかしら。,Mm~❤ You came a lot; didn't you? Fufu; you have such a peaceful look on your face. What; do you feel like you've achieved something?
あなたがやり遂げなきゃいけなかったのは、\n試合よ。試合。オナニーじゃないの。くすくす❤\nもう、男の子はダメね❤魔力がよくても性欲に弱すぎるわ。,What you were supposed to 'achieve' was victory. Victory. Not just masturbation. *Giggle*❤ Geez; boys really are hopeless; aren't they?❤ No matter how great their magical power; they're defenseless when it comes to lust.
うう……❤,Ugh...❤
・・・・。,......
はあ、男ってこれだから嫌になっちゃうわ。\n戦いの場で快楽に流されて・・・。\nあげくの果てに自分から敵にひざまづいてオナニーしだすなんて。,*Sigh* This is why I can't stand men. Succumbing to pleasure; even in the heat of battle... In the end; you even chose to kneel before your enemy and start masturbating.
召喚されてから一度も戦ってないわよね。それでシコシコ、シコシコ。\nなに？わたしに一目惚れでもしちゃった？\n信じられないくらい弱いわね。マスターに悪いと思わないのかしら。,You haven't fought at all since you were summoned; have you? You just keep stroking and stroking. What? You just fell in love with me at first sight; is that it? You're so unbelievably weak. I feel bad for your master.
アナタのマスターにとって大事なこの試合。\nそれなのに自分のチンポを触ることを優先とはね。\nシコシコ猿みたいに扱いて、マスターに申し訳ないと思わないのかしら,This match is important to him. And yet; you prioritize rubbing your own cock over victory. Masturbating like a mindless monkey. I feel sorry for your master.
くうぅ……❤それはぁ…❤,Guhh...❤ It feels good...❤
あなたのような軟弱者に何かしてあげるつもりなんて更々無いわ。\n勝手にしごいて、勝手に負けて、\nさっさと退場しなさい？,I have no intention of doing anything for a weakling like you. Why don't you just push yourself as much as you want; lose on your own; and then just get out of our way?
どうせこうやって見下ろしてあげれば、\nそれだけで興奮するんでしょう？この変態マゾ。,Does me looking down on you like this actually excite you? What a perverted masochist.
あひぃ……❤,Ahh...❤
罵倒されてすぐに射精。\nこらえ性がないのは理性だけじゃなくてペニスもそうみたいね。\nどうして彼はあなたみたいな弱いモンスターを使っているのかしら。,You came right after I insulted you. It seems that your penis lacks self-control as well; not just your mind. Why would your master ever use a monster as weak as you?
・・・。さ、仕切りなおしね。\nあなたのしもべが勝手に自滅して不利になった状況だけど。\nまだまだ戦いはこれからよ。楽しませてちょうだい。,... Alright; let's get back to the match. Your servant may have acted on their own and put you at a disadvantage; but the battle is far from over. So please; make it entertaining for me.
はあ…。次はあなたなの？\n少しは楽しめる相手かと思ったのに。,*Sigh* Is it your turn next? I had hoped you would be someone I could enjoy a proper fight with.
しもべが罵倒されているのを見て羨ましくなっちゃったのかしら？\nしもべもマゾならマスターもマゾ。\nさっきのしもべの有様も納得ね。,Did you get jealous watching your servant getting insulted? I suppose it makes sense if the servant is a masochist; it's because their master is a masochist; too. Your servant's condition from earlier is starting to make more sense.
まあいいわ。それならわたしは楽に昇格戦に進ませてもらうだけ。\nほら、あなたのオナニー止まらなくしてあげる・・・❤,Well; fine. I'll just go ahead and advance to the promotion match with an easy win. Here; how about I make sure you can't stop masturbating...❤
私の脚を見なさい……❤\n深いスリットから見える脚を\nこうやってゆっくり動かしてあげるわ❤,Look at my legs...❤ I'll slowly move one like this; peeking it through the deep slit in my dress.❤
ごくっ…❤きれいだ……❤,Gulp...❤ So beautiful...❤
ありがとう❤これも毎日の練習の成果よ❤\nほら❤バランス感覚も良いでしょう？\n片足で立ったまま脚を舞うように動かすこともできるわ❤,Thank you~❤ They've been toned through my daily practices.❤ Look~❤ My sense of balance is impressive; don't you think? I can move my leg gracefully; even while standing on one foot.❤
ふふふ❤どんどん手の動きが早くなっている❤\nわたしの脚を目で追いながら両手でシコシコ❤\nあなたのファンもがっかりの光景ね❤,Fufufu~❤ Your hands are moving faster and faster.❤ You're stroking yourself with both; unable to look away from my legs.❤ Your fans must be so disappointed watching you right now~❤
Cランク目前まで無敗で進んできたのに、\n女の脚なんかにムラムラして、ほんとにそれでいいのかしら？\n,You managed to remain undefeated so close to C-rank; but now you're getting excited from just a woman's legs. Is that really okay?
昇格の代わりがオナニーよ？\nくすくす❤一時の快楽のために、馬鹿みたい❤,Is masturbation truly an acceptable substitute for your promotion? *Giggle*❤ You're acting like such a fool over one moment of pleasure~❤
うぅ……っ❤ダメ、なのにっ❤ああっ❤,Ugh...❤ No; but...❤ Ahh...❤
もうイキそうって顔ね❤私の脚にかけてもいいわよ❤\nかけやすいように近づいてあげるわ。,You look like you're about to finish.❤ Here; I'll let you cum on my legs~❤ I'll get closer so it's easier for you to spill it on them.
ふふ❤このまま膝蹴りされたら避けるのも難しい距離ね❤\nあまりに無防備で笑っちゃう❤\n警戒しなくてもいいのかしら？,Fufu~❤ If I were to try and kick you right now; it'd be pretty hard to dodge; wouldn't it?❤ Thinking of how defenseless you are right now; I can't help but laugh~❤ Is letting your guard down so much right now really okay?
はい、これでおしまい❤たっぷり魔力を出したようね❤\nしもべだけじゃなくてあなたも私の脚にメロメロ❤\nお似合いの主従だわ❤くすくす❤,Alright; looks like it's over.❤ You seem to have let out a lot of magical power~❤ You're completely head-over-heels for my legs; just like your servant.❤ You two really make a perfect pair~❤ *Giggle*❤
はぁ、あなたもなの？\nせっかく仕切りなおすつもりだったのに……。\nマゾの仲間はマゾばかりね。,*Sigh* You too? I was hoping to finally get the match started again... I guess masochists only hang out with other masochists; huh?
よく考えなさい？\nさっきの男もただバカにされながらシコってただけよ？\nあれがうらやましいとかただの変態だわ。,Think carefully; okay? Don't you realize the guy from earlier was just jerking off while getting mocked? Getting jealous of that's pretty perverted; don't you think?
あなたのような裏切り者に何かしてあげるつもりなんて更々無いわよ。\nあなたもさっさと射精して退場しなさい？,I have no intention of doing anything pleasant for a traitor like you. You should hurry up and finish so you can leave; got it?
わ、わかりました❤そうしますぅ❤,I-I understand...❤ I'll be quick...❤
はっ。返事だけは一人前ね。\nあなたがその態度を示すべき相手はあなたのマスター。\nわたしの脚にハァハァしながらいう言葉じゃないわ。,Hah! At least you can manage a proper response. Though you should really be showing that attitude to your master. It's not something you should say while panting over your enemy's legs.
あなたも召喚されてから一度も戦ってないわよね。\nなに？揃いもそろってわたしに一目惚れでもしちゃった？\n次々裏切って、マスターに悪いと思わないのかしら。,You haven't fought once since being summoned; have you? What? Did you all fall in love with me at just a glance? All of you are betraying your master one after another. Don't you feel bad?
アナタのマスターにとって大事なこの試合。\nそれなのに自分のチンポを触ることを優先とはね。\nシコシコ、猿みたいに扱いて、マスターに申し訳ないと思わないのかしら。,This match is important for your master; yet you prioritize touching your cock instead; stroking yourself like a monkey. Don't you feel any sympathy for your poor master?
罵倒されているのにむしろ手が早くなっている。\nはいはい、マゾはこれが気持ちいいのよね。\n呆れて言葉が出ないわ。,Even though I'm insulting you; your hand is moving even faster. That's right; masochists find being demeaned like this pleasurable; don't they? I'm stunned beyond words.
ここで射精したら、あなたは間違いなく役立たず。\nもしかしたらデッキから外されて、もう二度と\n召喚してもらえないかもしれない。それでもシコるのが最優先。,If you ejaculate here; you'll be proving how useless you are. You might even be removed from the deck; never to be summoned again. Yet you still can't think of anything but stroking yourself.
ふふ、ほんとに理性が弱いのね。\nいつまでもシコシコしていないで早く終わらせてくれない？\nほら、命令よ。,Fufu; you truly have such weak willpower; don't you? Instead of stroking yourself forever; can you just hurry up and cum? Actually; that's an order.
イキなさい。マゾ❤,Cum. Masochist.❤
ようやく終わったわね。\nまったく、これじゃあ本当に勝負にならないわ。\n次から次へと自滅するのだもの。,Finally finished; huh? Seriously; this isn't even a real match. You're all just exhausting yourselves one after another.
これ以上は時間の無駄かもしれないわね\n自爆するしもべばかりの相手と楽しい戦いができるはずもないわ。\nさっさと終わらせてしまいましょうか。,This might be a waste of time. There's no way to have a fun battle against an opponent whose servants just throw their lives away. Shall we end this quickly?
あっ・・・❤あああっ❤がまんできないっ・・・❤,Ah...❤ Aaaah!❤ I can't hold back...❤
あらあら、オナニーで負けちゃうの？\n闘技場では強かったのに、今日は全然ダメね❤,My goodness; throwing away the match to masturbate? You were so strong in the arena; but today you're completely useless~❤
昇格試合でわたしに勝てたのはまぐれだったかしら？\nくす、もし今度闘技場で戦うことがあったら、\n次は楽勝かも❤,Was your victory against me in the pre-promotion match just a fluke? *Giggle* If we end up fighting in the arena again; I guess it'll be an easy win for me~❤
モンスターが1体自滅して、そのうえ相手マスターは全回復❤\nだいぶ有利になったことだし、今日は勝たせてもらおうかしら❤,One monster already exhausted himself; and on top of that; he let the opponent's master fully recover.❤ Since I'm already at quite the advantage; maybe I'll let myself have an easy win today.❤
あらあら、あなたもオナニーで負けちゃうのね❤\nくす、みんな仲良く自滅して、\n連帯感があるんだかないんだか❤,Oh my; you're going to lose by masturbating; too?❤ *Giggle* Everyone's throwing their lives away together. Such teamwork... or; rather; lack thereof~❤
でも手下みんなで裏切ったら、マスターくんがかわいそうよ？\nふとももオカズにシコシコして、\nそんな蕩けた顔しちゃったあなたに言っても仕方ないか❤,But if all his underlings betray him; won't your master be defenseless? Though; I suppose it's pointless telling that to someone who's stroked himself slack-jawed using my thighs as masturbation material~❤
大切な試合なのに自滅するなんて、もったいない負け方❤\nまあそれだけ気持ちよさそうな顔になれたなら、\n本人としては満足なのかしら。くすくす❤,Surrendering like this during such an important match... What a wasteful way to lose.❤ Though; judging by that look on your face; maybe it's worth it to you. *Giggle*❤
わたしのお尻に耐えられなかったわね❤\n温かい精液でべっとり……❤そんなに気持ち良かった？,You couldn't resist my ass; could you?❤ You've gotten it so sticky from your hot seed...❤ Did it feel that good?
期待のルーキー君も噂ほどではなかったわね。私の勝ちよ❤,The Promising Rookie wasn't nearly as good as the rumors suggested. I win~❤
ふふ❤ふとももに挟まれただけで出ちゃうなんて……❤\n本当にサキュバスに勝てたのかしら。,Fufu~❤ Ejaculating from just being squeezed between my thighs...❤ I'm starting to wonder if you really defeated a succubus.
うふふ、自滅シコシコ気持ちよかったかしら？\n闘技場でもそうやって負けてくれると楽だったのに❤\nぷっ、くすくすくす❤,Ufufu~❤ Did throwing the match to stroke yourself feel good? It would have been so much easier if you had lost like this in the arena too.❤ Pft. *Giggle*❤
ふふ❤ふとももに挟まれただけで出ちゃうなんて……❤\n今日はわたしが勝っちゃったわね❤,Fufu~❤ Ejaculating from just being squeezed between my thighs...❤ Guess it's my win today~❤
{自分}に敗北した僕は、エナジーを失い、地面に膝をついていた。,Defeated by {自分} and with my energy drained; I was left kneeling on the arena floor.
決着ー！！Cランクへの昇格戦を賭けた戦いを制したのはパトラ選手！\n連勝無敗のルーキーも、Dランク上位マスターには歯が立ちませんでした！,It's over! The match is over! The winner of this battle and the one now qualified to face the C-rank promotion match is Patra! Even our undefeated rookie was no match for a high-ranking D-rank master like her!
私の勝ちね♪\nルーキー君も中々強かったけど、\nまだまだ粗削りな部分が多いわ。,I win~♪ You were quite strong for a rookie; but you still have a lot of rough edges to work out.
私の勝ちね♪\nあんまりあっけなさすぎて、ちょっと気が抜けちゃう。\nお尻とか脚に負けないように、ちゃんと修行しないとダメよ？くすくす❤,I win~♪ It was over so quick; it was actually a bit of a letdown. You need to train properly so you don't lose to a woman's ass and legs so easily; okay? *Giggle*❤
とはいえ、これまで戦ってきた男のマスターの中では、魔力はイチバンかも。\n快楽攻撃に強くなればもっといい勝負ができたかもしれないわね。,That said; among all the male masters I've fought; your magical power might actually be the strongest. If you could become more resistant to pleasure attacks; we could probably have had a much better match.
くうっ・・・。ま、まだやれる・・・。,Ugh... I can... still fight...
観客席に目をやると、受付さんが心配そうにこちらを見ている様子が目に入った。,Looking at the audience; I could see the receptionist watching me with a worried look.
今日はわざわざ応援に来てくれたのだ。知り合いが見ている試合で、あまりに不甲斐ない姿は見せられない。,She had come all this way to cheer me on today. I couldn't let a match like this end in such a pathetic display when an acquaintance had come to watch.
ふーん。そういうこと。,Ahh. So that's it.
パトラさんは僕の視線の先に気づいたのか、にやりと笑った。,Patra seemed to notice where I was looking and grinned.
あの子、ギルドの受付の子よね。\n胸も大きくてかわいくて、男性マスターたちから人気がある女の子。\nあなたも、あの子のこといいなって思っているの？,That girl's the guild receptionist; right? Big-breasted; cute... She's pretty popular among male masters. Do you like her; too?
ふふ、そういうの見ると、ちょっとからかいたくなっちゃうわ。,Fufu; seeing something like that makes me want to tease you a little.
蛇ってね、分け合うことを知らない、強欲な生き物なの…❤\nあなたが誰かに取られるかもって思ったら、\nあなたのことわたしの支配下に置きたいって、変な欲が湧いてきちゃう,You know; snakes are greedy creatures that don't know how to share...❤ When I think you might be taken by someone else; I get this strange desire to place you under my control.
ま、脚を見ただけで自爆オナニーしちゃうような男の子なんて、\n奪うまでもなく、\nあちらから願い下げかもしれないけれど。くすくす❤,Though; a boy who strokes himself silly just from looking at a pair of legs would probably choose me over her anyways; so it's not really like I'm stealing you. *Giggle*❤
ま、お尻を押し付けられただけで、射精しちゃったような男の子なんて、\n奪うまでもなく、\nあちらから願い下げかもしれないけれど。くすくす❤,Though; a boy who cums just from having an ass pressed against him would probably choose me over her anyways; so it's not really like I'm stealing you. *Giggle*❤
ま、ふとももを押し付けられただけで、射精しちゃったような男の子なんて、\n奪うまでもなく、\nあちらから願い下げかもしれないけれど。くすくす❤,Though; a boy who cums just from having thighs pressed against him would probably choose me over her anyways; so it's not really like I'm stealing you. *Giggle*❤
さて、あんまり敗者をいたぶるのは好きじゃないのだけれど・・・♪,Now; I don't particularly enjoy torturing losers; but...♪
や、やめっ・・・ああ❤,S-stop... Aah~❤
わたしのお尻をセクシーにこすりつけてあげる❤\nあら、すでにガチガチなのね❤,I'll teasingly rub my ass against you.❤ My; you're already hard as a rock.❤
わたしが「あなたを支配下に置きたい」なんて言ったから、\nマゾのあなたは興奮しちゃったのかしら❤,Did me saying "I want to place you under my control" get a masochist like you excited?❤
お尻の下でペニスがびくびくしてる❤\n腰をくねらせてあげれば、ふふ❤悶えちゃうのよね❤,I can feel your penis twitching beneath my ass.❤ If I wiggle my hips like this... Fufu~❤ You'll be helpless to do anything but to squirm and moan; won't you?❤
ま、まって・・・降参する、降参するからぁ❤,N-no; wait... I surrender; I surrender!❤
いまさらそんな事言っても遅いわよ❤\nこんなにペニスを大きくして満更でもないのでしょう？,It's too late for that~❤ With your cock this swollen; do you really want me to stop?
私の自慢は脚だけじゃないの。\n大きくて柔らかいお尻もそう❤たっぷり味合わせてあげる❤\nそしてあの子の前で、恥ずかしいところたっぷり晒させてあげる❤,My legs aren't the only feature I'm proud of. I take pride in my big; soft butt; too.❤ I'll let you experience all it has to offer~❤ And I'll make you expose your embarrassing side in front of that girl.❤
お尻の肉でペニスを挟んでズリズリ❤\nふふふ、節操なく震えているわ❤\nかっこわるい姿見せたくないのに、気持ちよくなっちゃうわね❤,I'll start by squeezing your penis between my cheeks and sliding up and down.❤ Fufu; you're trembling so shamelessly~❤ Even though you don't want to show such an uncool side; you're feeling too good to hide it; aren't you?❤
ううう❤み、見ないで・・・❤\nやめてぇ・・・❤,Ughhh...❤ Stop...❤ I... I can't let her see me like this...❤
僕は恥ずかしさから顔を手で覆って必死に隠した。その様子を見たパトラさんはとても楽しそうに、にやにや笑って、むしろ体をくねらせる速度を上げていく。,I desperately tried to cover my face with my hands to hide my embarrassment. Seeing this; Patra smiled mischievously; and actually increased the speed of her body's movements with an amused look on her face.
くすくす❤やめてなんて言わなくても、自分のチンポでしょう？\nあなたが心を強く持って、女の体になんか興奮しないって\n頑張ればいいだけの話よ❤,*Giggle*❤ Why are you telling me to stop? It's your cock; isn't it? You just need to be strong-minded enough to not get excited by a woman's body.❤
かわいいあの子が応援に来ているのに、\nお尻で潰されて、ズリズリされて…❤\nたったそれだけでこんなにチンポを固くして…❤,That cute girl came all this way to cheer you on; yet here you are; crushed by my ass as I rub it against you...❤ And even just that much has gotten your cock so hard...❤
まだ戦えるとか言ってたのに、\n実際は敵のお尻でグリグリされてアンアン喘いでるだけ❤\nきっと受付ちゃんもあなたに幻滅しちゃうでしょうね❤,You said you could still fight; but in reality; all you can do is moan while your opponent grinds her ass against you.❤ That cute receptionist will be so disappointed~❤
ほら、もっとシャキッとしなさい。\n武器を構えて、カードを使って、\nもう一度戦うんでしょう？,Come on; pull yourself together. Pick up your weapon; use your cards; and fight again; okay?
ペニスの根本から先っぽまで丁寧にズリズリされても❤\nお尻でむぎゅって潰されてチンポをぐりぐり圧迫されても❤\nシャキッとしてないとダメ❤,Even if she grinds against you; base to tip~❤ Even if she squeezes your cock with her butt and applies pleasure-filled pressure~❤ You need to stay strong and resist your opponent.❤
そんな心底蕩けたような顔、あの子に見せちゃダメよ。\nくすくす❤,You can't let the receptionist see you with such a lewd look on your face. *Giggle*❤
はあ❤はあ❤うう・・・❤,Hah...❤Ahh...❤Oooh...❤
先走りでお尻がべとべと❤\nもう射精したくて仕方ないって感じね❤\nビクビク跳ねて、もう限界・・・❤,My ass has gotten so sticky from your precum.❤ I can feel how desperate you are to finish~❤ The way you're twitching and throbbing... You're already at your limit...❤
ねえ、蛇ってね、獲物はゆっくり消化するの。\n丸のみにして、もう逃げられなくなったら、あとはじんわり溶かすだけ。\nだから、ね…❤わたしもこういういじわるしちゃう❤,You know; snakes devour their prey slowly. Once they've swallowed it whole and there's no escape; they just gradually let it dissolve in their stomach. You get it; don't you...?❤ That's why I'm being cruel like this to you. I'm playing with my food~❤
あっ❤なんで、はあ❤あぁ・・・❤,Ah!❤ Wh-why... Hah...❤Aah...❤
パトラさんは、激しくくねらせていたお尻の動きを急に緩慢にした。押し付けられる感触はあいかわらず極上なのに、こすりつける速度があまりにゆるやかで、もどかしい快感に頭がどうにかなりそうになってしまう。,Patra suddenly slowed down the intense writhing of her hips. The sensation of her pressing against me was still exquisite; but the grinding had become so maddeningly slow that I worried my mind might break from the frustrating pleasure.
くすくす❤かわいい顔ね❤\n他の女なんて目に入らず。わたしだけを見てる顔❤\n射精をおあずけされたからってダメじゃない❤とっても物欲しそうよ❤,*Giggle*❤Such a cute face~❤ You've completely forgotten about that other woman. Now you only have eyes for me~❤ You really shouldn't be this disappointed just because I denied you your release.❤ You look too desperate~❤
責めがゆっくりになって、あなたにとってうれしいはずでしょう？\nだって、情けなく射精するところを見られなくて済んだのよ。\nほら、あとはわたしを突き飛ばして、逃げるだけ❤,You should be happy I slowed down my tease; don't you think? After all; it means you won't have to be seen cumming so pathetically. Look; all you need to do now is push me away and run.❤
ちゃんと振り払えたら、追い討ちもしないであげる。\nお尻でいじめられる、つらーい時間も終わりよ❤,If you can shake me off now; I promise not to chase you. Your time getting bullied by my ass will all be over~❤
そうすればあとは、あの子と今日の試合の反省会でもして、\n次を頑張ればいいわ。\nあなたはルーキーだし、そこまで幻滅されずに済むかもね…♪,Then afterward; you can sit down with that girl and review today's match. After that; you can just try harder next time. Maybe she won't be too disappointed in you; since you're a rookie and all...♪
でも、そんな終わり方でいいのかしら？,But is that really how you want this to end?
ほらほら…❤\n気持ちいいでしょう？わたしのお尻…❤,Think about it...❤ It feels good; doesn't it? The way my ass is grinding against you...❤
あなたのペニスは射精したくてたまらないって感じね❤\nもっとお尻でズリズリして欲しい❤グリグリって押し潰してほしい…❤\nそう言ってるみたいに震えてる❤,Your penis seems like it's dying to give in.❤ It wants me to keep grinding against it so badly.❤ To be squished and grinded against like this...❤ The way it's trembling is like it's begging for it~❤
ほら、魔力が精液に溶け始めてる❤\nイキたくてイキたくてたまらない、早く出してぇ❤って\nおちんちんがわたしのお尻におねだりしてるのよ❤,You see; the magical energy is starting to already dissolve into your semen.❤ Your cock is so desperate now; saying it wants to cum so badly; pleading for me to allow it to release soon~❤
でも、まだダメ…❤,But; not yet...❤
はうう❤ま、また、寸止め・・・っ。,Hahhh!❤ A-Again... S-so close...
イキたい？ならどうすればいいのか、わかるわね？,You want to cum? Then you know what to do; don't you?
うっ、うううっ…❤パトラさん、パトラさんっ❤❤,Ugh; ohhh...❤ Miss Patra... Miss Patra; please...❤❤
あん❤はげしい❤\nセックスするみたいに、一生懸命腰振っちゃって❤\nルーキーくんは、セックスも「初心者」なのかしら？,Ahn~❤ So intense~❤ You're thrusting your hips so desperately; almost like we're having sex.❤ Are you a 'rookie' in matters like these; too?
ほら、お姉さんがリードしてあげる❤お尻にぴったりチンポを沿わせて\n腰を動かすタイミングを私に合わせなさい❤\nそうそう、上手よ❤息を合わせた方がとっても気持ちいいでしょう❤,Here; 'Miss Patra' will guide you happily~❤ Press your cock firmly against my butt and match your hip movements to mine.❤ That's it; just like that~❤ Doesn't it feel much better when we move in rhythm?❤
き、気持ちいい・・・❤,I-It feels good...❤
ねえ、わたしのこと、どんどん好きになるでしょ？\nそんな顔して腰振り始めちゃったら、もうあの子に言い訳できないわね？,Oh my; it seems you're falling for me more and more; aren't you? If you start moving your hips while making a face like that; you won't be able to make excuses to the receptionist anymore; will you?
気持ちいい事が大好きなあなたは、\nあの子の応援に応えることなんかより、\n私のお尻に精液を出す方が大切だものね❤,You're so desperate to feel good you care more about covering my butt in your seed than accepting her support; don't you?❤
くす❤首を振って否定することもできないのね。\nいいわよ。今度はちゃんとイカせてあげるわ❤\nほら、逃げ場もないくらいぎゅって押し付けて…❤私のお尻でイキなさい❤,*Giggle*❤ You can't even shake your head to deny it anymore. That's okay. This time I'll let you cum for real.❤ Here; I'll press myself against you so tightly there'll be nowhere left to escape...❤ Give in to my hips and cum~❤
あっああっ、もう……でるぅ❤,Ahh ahhh... I-I'm cumming!❤
あは、すごい量…❤\n焦らして搾り取られた気分はどう？\n弄ばれるのも悪くないって思っちゃうでしょ？,Aha; you shot out so much...❤ How does it feel to be teased and milked like this? I bet you're starting to think being toyed with isn't so bad; aren't you?
あら、思った以上に魔力がたっぷり溶けてるわ。\nほんと、才能だけでいえば、あなたすごいものを持っているのね。\nこれのおかげで試合で使った魔力も全快よ。,My; there's much more magic dissolved in your semen than I expected. Truly; when it comes to raw potential; you have something incredible. Thanks to you; I've completely recovered all the mana I used in the match.
ま、才能だけあっても、チンポがこんなに弱くちゃ、\nどうにもならないと思うけれど。くすくす❤,But even with so much potential; if your cock is this weak; I don't know how far you can really get. *Giggle*❤
そうだ。今度から私が稽古をつけてあげましょうか❤\nお尻でズリズリ、ズリズリってね❤\n快楽攻撃は慣れるのが一番だもの・・・❤,I know. Would you want me to help you train from now on?❤ I can let you practice having my butt grind and rub against you.❤ Getting used to pleasure attacks is the best way to handle them after all...❤
