default
クレリック,Cleric
そうそう、言うとおりにできてえらいですね❤\nいいこ、いいこ❤\nよしよし❤,Yes; just like that. You're such a good boy; aren't you? Doing exactly as I asked.❤ Good boy; you're such a sweet child.❤ There; there~❤
頭をなでるだけではなく、\nおちんちんも気持ちよくしてあげますからね。\n優しく握ってしこしこしこ・・・・❤,Not just your head; I'll caress your penis too; okay? I'll place it gently in my hand and stroke...❤ 
あう、ああっ、きもちいい・・・❤,Aah; aaah; it feels so good...❤
バトルの中では無理やり搾り取るような動きで快楽攻撃を受けることが多い。しかし、彼女の手コキはそんな激しさはなく、ただただ僕を甘やかしてくれる。,When battling; I often receive pleasure attacks that are forceful and practically exploitive; yet her handjob is not nearly that intense. She simply pampers me with a gentle hand.
射精させることが目的ではなく、僕を気持ちよくすることが目的の手コキ。そこに感じる愛情のようなもののせいか、緩やかな動きなのに何倍もの快感を感じさせられてしまう。,The handjob's purpose isn't to make me cum; it's to make me feel good. Perhaps because of the affection I can feel in her movements; I feel a pleasure several times more intense despite her slow movements.
よしよし❤よしよし❤これまでずっとよく頑張りましたね❤\nおちんちん、ずっとイキたかったのに我慢して、\n一回も負けずにBランクまで戦ってえらかったですよ❤,There; there.❤ There; there.❤ You've been working hard all this time; haven't you?❤ Your penis has wanted to cum for so long; yet you've held yourself back and fought all the way up to B-rank without losing a single time. That's amazing!❤
今日は負けちゃいましたけど、きっとあなたならだいじょうぶです❤\n我慢していた分、今日はたくさん気持ちよくなって、\n明日からまた頑張りましょうね❤,You may have lost this time; but I'm sure you'll do better.❤ Let's make up for it by having a really enjoyable time today; and then we'll work hard again starting tomorrow; okay?❤
うふふ❤わたしにいい子って言われてうれしいんですか？\nおちんちんがどんどん固くなってます❤\nそれにお顔もとってもうれしそう❤,Fufu~❤ Does hearing me call you a good boy make you happy? Your penis is getting harder again;❤ and your face looks so blissful; too.❤
あら、恥ずかしがらなくていいんですよ。\n今はそんな蕩けた顔をしちゃっても別にいいんです❤,Oh my; no need to feel embarrassed. It's perfectly fine to feel so entranced right now.❤
ここにはあなたとわたしだけ。\nね、何も隠す必要なんてないでしょう？,There's only you and me here. Hey; you don't need to hide anything. Okay?
あなたが気持ちよくなれるように、\nしこしこしこ・・・❤しこしこしこ・・・❤\nそうそう、もっとその気持ちよさそうな顔を見せてください❤,I'll help you to feel really good. Stroke stroke stroke...❤ Stroke stroke stroke...❤ Yes; that's it. Keep showing me more of that blissful expression.❤
うう、きもちいい・・・❤\nクレリックさん、好き・・・❤あうう・・・❤❤,Uwaah; it feels so good...❤ Miss Cleric; I love you...❤ Hwaaah...❤❤
あら、うれしい❤\n今日会ったばかりだけれど、\nわたしのこと好きになってくれたんですね❤,Oh my; that makes me happy!❤ We only just met today; yet you've already fallen in love with me?❤
好きな子にシコシコしてもらえると、\nとっても気持ちいいでしょう？\nどんどん気持ちいいのが増えていきますね❤,Won't it feel amazing if the woman you like strokes your dick for you? The pleasure would only grow more and more; wouldn't it?❤
くす❤おちんちんが、なでるたびに、\nびくんびくんって大きく動くようになりました❤\nもうすぐ出しちゃいそうなんですか？,*Giggle*❤ Your penis twitches and pulses so much every time I stroke it.❤ Are you about to cum?
いいですよ❤マスターさん❤\nわたしに優しく癒してもらいながら、\n気持ちよく射精しましょう❤,Go ahead.❤ Sir Master;❤ let me gently comfort and soothe you; and let's enjoy our time together as you ejaculate.❤
ほら、我慢しないで、体に力も入れないで…❤\nそうそう、だらーんってするの上手ですよ❤\nはい、びゅっ、びゅー❤,Come now; just relax your body; and don't hold back...❤ Yes; just like that. You're doing a wonderful job relaxing.❤ Yes; let it all out~❤
うふふ❤すっごくたくさん出ましたね❤\nおててがどろどろになっちゃいました。\nマスターさん、もうすっきりできましたか？,Fufu~❤ You released a lot; didn't you?❤ My hands are all messy now. Do you feel better now; Sir Master?
あうう、ごめんなさい・・・❤もっと・・・❤\nもっと、おねがい・・・❤,Aah; I'm sorry...❤ More...❤ One more time; please...❤
あらあら。これまで貯めてた分、\nもっともっと、びゅっ、びゅってしないと\n収まらないみたいですね❤,Oh dear~ It seems you'll need a more thorough pampering to release all that pent-up energy; won't you?❤
謝らなくていいんですよ❤\n男の子が女の子に甘えたくなっちゃうのは普通のことなんです❤,There's no need to apologize~❤ It's perfectly normal for a boy to want a woman to coddle him.❤
このまま空っぽになるまで出しちゃいましょうね❤\nほら、精液ですべりがよくなったから、\n手での奉仕ももっと気持ちいいはずです❤,Let's keep going until you've released every last drop; okay?❤ Look; your semen has made it easier to stroke; so my handjob will probably feel even better this time.❤
ああ、{自分}さん、きもちいいよぉ・・・❤❤\nすき、すきぃ・・・❤,Aah~ Miss {自分}; it feels so goooood...❤❤ I; I love youuu...❤
こうして僕は完全に足腰が立たなくなるまで彼女に搾り取ってもらった。ひたすら甘やかされ頭をなでられながら、優しくしごき続けてくれる。闘技場で戦っていたとは思えない幸福感に包まれ、僕は意識を手放したのだった。,And so; I let her drain me completely until I was too weak to stand properly. She pampered me endlessly; caressing my head and gently stroking my dick the whole time. I eventually passed out; surrounded by this feeling of bliss I could've never imagined since fighting in this arena.
その後、僕は医務室で目を覚ました。あとで聞いた話によると、僕が動けなくなったところで、{自分}が結界を中からノックし、結界が解除されたそうだ。そのあと闘技場のスタッフが僕をここまで運んでくれたらしい。,Later; I woke up in the infirmary. I learned that after I'd become too weak to move; someone had knocked on the barrier from the inside; and the spell was deactivated. The arena staff then apparently carried me here.
柔らかいベッドに寝そべりながら、僕は試合の時のことを思い出し、恥ずかしいようなむずがゆいような、言い知れない感覚に顔を赤くして、毛布に顔をうずめてしまった。,Laying on the soft mattress; I recalled the events of the match; and a strange feeling of embarrassment and cringe washed over me. Blushing; I buried my face in my blanket.
あんな風に女の人に甘えたのは初めてだった。カッコよく戦わないといけないのに、昇格戦だってかかっていたのに・・・。いくら人に見えない場所だったにしてもそれでも・・・・。,That was the first time I'd ever acted so clingy towards a woman like that. I'm meant to be cool and composed when fighting; not to mention that was a promotion match... Even though it was in a private place away from prying eyes; I still shouldn't have done that...
僕は試合に負けたことを「悔しい」と思わなければいけないはずだが、頭の中は痺れたように心地よく、悔しさも後悔もなかなか湧いてこなかった。こんな調子でBランクを戦っていけるのだろうか。,I should've felt frustrated about losing the match; but my mind felt pleasantly numb; and I couldn't really muster up any frustration nor regret. Could I really compete in the B-rank matches in this state?
それからしばらくして,Some time later
はぁ、また来たの？{主人公}。\nまったく、あなた、{自分}にはまりすぎよ。,*Sigh*; you're here again; {主人公}? Honestly; you're getting way too addicted to {自分}.
女の子にあまり優しくされたことがなかったのかしら。\nまああなたの精液は良質だから、別にいいといえばいいんだけど、\n無敗のルーキーがこんな風になっちゃったのは少し責任を感じるわ。,Were you treated badly by girls your whole life or something? Well; your semen is high-quality; so I guess it's fine. Still; I can't help but feel a bit guilty for turning the Undefeated Rookie into this.
あのときご褒美だなんて言って、\n甘えさせなければかったのかしら。\n人を育てるのって難しいのね。,Maybe I shouldn't have spoiled you by calling it a reward that time. Child-rearing sure is difficult.
はいはい、わかったわかった。\nあの子がいないと辛くて泣きそうなんでしょう？\nほら、{自分}を召喚。,Yes yes; I know I know. You're feeling lonely and on the verge of tears without her around; right? Here; I summon {自分}.
また会いに来てくれたんですね。{主人公}くん❤\n今日も手でしてほしいんですか？,You're here to see me again; dear {主人公}?❤ Do you want me to do it with my hands again today?
うふふ、それじゃあ、向こうの部屋に行きましょう？\nマスターがお勉強している間に、\nわたしたちはマスターに魔力供給です❤,Fufu; well then; shall we head to the other room? While Master is doing research; we'll be supplying her with magical energy.❤
二人きりのお部屋で、しこしこ、しこしこ…❤しましょうね❤\nくす、もう我慢できないって顔してます❤,With just the two of us in the room... Are you ready?❤ We'll be stroking it; and stroking it...❤ *Giggle*; you look like you're at your limit already.❤
{主人公}くんは確かにあまり試合で勝てなくなってしまいましたけど\nその分、人に甘えることを覚えたんです❤\n暴力に明け暮れるよりとても素敵なことじゃないですか❤,My sweet {主人公} may not have won many matches lately; but in return; you've learned to rely on others more.❤ Isn't that much better than spending all your time engaging in violence?❤
だから、シルヴィア様は後悔する必要なんてありませんよ。\n{主人公}くんは正しく導かれています❤,Therefore; Madam Sylvia doesn't need to feel bad for anything. Little {主人公} has been guided on the right path thanks to you.❤
それじゃ、はい。わたしの手を握ってください。\nお部屋まで一緒に歩いていきましょうね❤,Well then; here. Take my hand. Let's walk to our room together; okay?❤
試合以降、僕はすっかり{自分}のことを好きになってしまった。彼女の優しい声を聞いて、あの華奢な体に包まれていたい。そんな思いが四六時中頭に浮かぶようになってしまった。,Ever since that match; I've fallen completely head over heels for {自分}. I constantly miss her gentle voice and yearn to be embraced by her delicate body.
それからというもの、頻繁にシルヴィアさんのところに通っては彼女を召喚してもらい、二人きりの時間を過ごしている。魔力をたくさん吸われてしまうから修行はもちろんほとんどできていない。,From then on; I'd frequently visit Miss Sylvia and have her summon {自分} so I can spend some alone time with her. Since so much of my energy gets drained by her; I haven't been able to do much training at all.
ランクも日に日に落ちて行って、もうすぐＣランクからも転落しそうな勢いだ。しかし、そんな状況になっても{自分}は優しく甘やかしてくれる。僕はますます彼女から離れられなくなっていった。,My rank dropped day after day; until it looked like I'd fall out of C-rank altogether. But even then; {自分} continued to be kind and indulgent to me. I became even more dependent on her.
こうして無敗でＢランクにまで駆け上がった僕の活躍は終わり、優しい愛に包まれながらその幕を閉じたのだった。,And so; my journey of rising all the way to B-rank without a single loss came to an end; concluding with a gentle embrace.
えっと、気持ちよくしてほしい、ですか？\nあらあら、もう戦いに疲れてしまったんですね。\nいいですよ❤その疲れた体、わたしが癒してあげます❤,Um; you want me to make you feel good; you said? Oh dear; it seems you've been exhausted from all this fighting; haven't you? Alright; then.❤ I'll help soothe your weary soul.❤
あら？うずくまってどうされたのですか？\n暴力的な戦闘はしていないはずですが、\nどこか体をぶつけてしまったとか・・・。,Oh? Why are you bending over like that? I don't think I struck you particularly violently; did you perhaps bump into something...?
そうそう。しこしこ上手ですね❤\nあなたが気持ちよくなれるように、\n頭を後ろからなでてあげますからね❤,Yes yes; you're stroking so well; aren't you!❤ Let me comfort you by caressing the back of your head.❤
うふふ❤たくさん出せましたね❤\n戦いを捨て、快感に身を増せることができて、\nとてもいい子ですよ❤えらい❤えらい❤,Fufu~❤ You let out a lot; didn't you?❤ Giving up the fight and accepting pleasure; you're such a good child!❤ You did so well.❤ Amazing.❤
あなたのエナジーをいただいて、わたしも回復しました。\n快感であなたが癒されて、エナジーでわたしが癒される、\n幸せで素晴らしい結果ですね❤ふふ❤,I've recovered too; thanks to your energy. You were healed through pleasure; and I was healed with your energy. It's an outcome that leaves everyone happy; isn't it~❤
自分で負けてしまいましたが気に病むことはありません。\n男の子が女性に甘えるのは、当然のことですから❤,You may have lost all on your own; but that's okay. It's only natural for a boy to be affectionate to a woman.❤
