default
お嬢様サキュバス,Elegant Succubus
いいわよ。わたしはここから一歩も動かないわ。\nあなたはとどめの前に、好きなだけ女の子のパンツを楽しめばいい❤\nね、悪い話ではないでしょう？,Very well. I will not take a single step from this spot; so you may enjoy the sight of my panties as much as you like before striking the final blow.❤ Well; not a bad offer; don't you think?
じっとして、そこでわたしの脚を見ていなさい❤くすくす❤,Just stand there and stare at my legs.❤ *Giggle*❤
理性を振り絞ってとどめを刺した,Push through and strike her down
彼女の提案に心惹かれてしまった,'So smooth...'
きゃん！あうう、足が止まったからいけると思ったのに・・・。,Kyaa! Agh; I thought that since you'd stopped moving...
ふふ、悩んで一歩も動けなくなるなんて、\nずいぶんとかわいいいじゃない。さっきまで\nあんなに怖い顔をしてたのに、ずいぶんと情けない顔になったわね❤,Fufu; you're so conflicted you can't take another step. That's simply adorable. You looked so terrifying a moment ago; but now you just seem pathetic; don't you?❤
ふふ、コクンって頷いちゃって、\nそれはわたしのパンツを見たいってこと？\n強い戦士であっても結局性欲には流されちゃうのね❤,Fufu; you actually nodded! Does that mean you'd like to see my panties? Even the most valiant heroes are swayed by their sexual desires; aren't they?❤
ほら、お待ちかねのパンチラよ。\nゆっくり片手でスカートをたくし上げてあげる❤\n好きなだけ見るといいわ。くすくすくす❤,Here; the panty peek you've been waiting for. I'll slowly lift my skirt up with one hand.❤ Please look to your heart's content. *Giggle*❤
はうぅうっ・・・❤,Hnnngh...❤
ふふ、こんな刺激ぐらいまだ耐えられるわよね？\nなにせわたしを追い詰めたぐらいだもの。\nちょっとパンツを見せたぐらいで負けたりしないはず。,Fufu; you can still endure this level of stimulation; can't you? After all; I'm on the verge of being slain. Surely you wouldn't be defeated by a mere flash of my underwear.
ううっ、だめ、もうっ・・・❤ああっ❤,Ugh; I... I can't... anymore...❤ Aaaah...❤
え？あは、もうイっちゃうの？\nパンツ見せられただけなのに？\nあんっ❤❤,Hm? Aha; you're already cumming? Even though I only flashed my panties? Ahn~❤❤
はへぇっ・・・❤,Haaah...❤
くすくすくす❤まさかこんなすぐ出しちゃうなんて、\nわたし、平民のおちんちんの弱さを侮っていたみたい。\n本当に弱いのね❤そんなにパンツが気に入った？,*Giggle*❤ To think you would ejaculate so quickly. I've underestimated just how weak a commoner's penis is; it would seem. It's truly pathetic beyond comparison; isn't it?❤ Did you enjoy my panties that much?
なんにしてもこれで体力は回復❤\nこの調子なら多少のダメージは怖がる必要もないのかも。\nだってまたパンツを見せればいいわけだし。ぷっ、くすくす❤,Regardless; now my strength has been restored.❤ If this is how things will keep playing out; then I need not fear a bit of damage. I can just flash my panties again. Pfft. *Giggle*❤
だから、もっとじーって見ていいのよ❤\n強いあなたなら、わたしのパンツを見ても、\n理性を保ってまだまだ戦えるわ❤,If that's the case; feel free to stare for a little longer.❤ If you're strong; you should be able to maintain your composure and fight; even after looking at my panties~❤
ほら、一回わざとスカートを降ろして、\nもういっかいぴらり❤\nくす、こうやってチラチラ見せられるのがいいのよね❤,Here; I'll lower my skirt before flashing it again~❤ *Giggle*~ Glimpsing it this way is so nice; don't you think?❤
あは、ぴら、ぴらってするたびに、\nおちんちんがびくん、びくんって大きく動いちゃってる❤\nとっても分かりやすくて素直なチンポ❤,Aha; each time I flip my skirt up; your cock twitches wildly again!❤ What an honest and obedient penis~❤
「素直」って言われてそんな嬉しそうな顔をしちゃって、\n別に褒めてないのよ❤むしろバカにしてるの❤\nああ、あなた変態だからバカにされた方がうれしいのかしら❤,You look so pleased at being called "honest"; but it wasn't intended as praise.❤ I was actually mocking you~❤ Aah; though as a pervert; I suppose you prefer being mocked; don't you?❤
うぐ、そんなことは・・・❤ううっ・・・❤,Ugh; there's no way...❤ Ohh...❤
ふふ、そうはいってもそんなにおちんちん反応させてたら\n説得力ないわ。\nパンチラと罵倒、どっちもうれしそうじゃない❤,Fufu; it's hardly convincing if your cock keeps twitching in spite of your words. It seems either the peeks at my panties or the mockery are more than enough to please you~❤
ねえ、そろそろおちんちん限界なんじゃない？\nわたしに何度もパンツを見せられて、\nムラムラがどんどん貯まっていって、今にも溢れだしそうなんでしょ❤,Say; aren't you reaching your limit by now? Your excitement has been increasing from watching me flash my panties so many times; hasn't it? You must be ready to burst any moment now~❤
ほらそろそろわたしにとどめを刺さなくていいの？\nわたしのパンツを見るのをやめて、\n攻撃再開しなくいいのかしら。ぴらっ❤ちらっ❤,Hey; isn't it about time to finish me off? You ought to look away from my panties now and resume your attack. Flip~❤ Peek~❤
あひぃ、ううっ❤もうっ・・・❤,Aaah; ooh...❤ I... I can't...❤
くすくす❤武器を振り上げる気配はなさそうね。\nそれどころか、おちんちんが射精の準備始めちゃってる❤\nパンチラに負けて、降参寸前❤,*Giggle*❤ I suppose you won't be picking your weapon up; then? Instead; your penis seems ready to ejaculate.❤ Being driven so close to surrender; all from a few flashes of my panties...❤
小さい女の子にくすくす笑われながら、\nみっともなく負けるの気持ちいいわよ❤\nほら、とどめにもう一回❤ちらっ❤,Doesn't it feel good; losing so shamefully while a young girl laughs at you?❤ Here; I'll give you one more chance to strike me down.❤ Peek~❤
あうう、はへぇ・・・・❤❤,Aaah; haaah...❤❤
んふふ、どろどろの精液にエナジーがたっぷり溶けてる❤\n受けてたダメージもこれで回復ね❤,Mm; there was so much energy imbued in your thick semen~❤ It'll help me recover any damage I received; won't it?❤
それにしても、すごく間抜けな顔❤\nパンチラなんかで逆転されて、少しは悔しがったらどうなのかしら。\nくすくす❤,That said; your face looks truly foolish.❤ Shouldn't you feel more frustrated; being undone by a flash of panties? *Giggle*❤
わたしに臣従して、最後には自らエナジーを差し出して敗北❤\n人間のマスターではサキュバスには勝てないってこと\nよく理解できたかしら❤くすくす❤,You submitted to me; offered up your own energy; and ended up losing.❤ Do you understand? A human cardmaster can't beat a succubus~❤ *Giggle*
わたしにオナニー手伝ってもらえてよかったわね❤\nほら、手に精液がべっとり❤\nあなたの濃い魔力、ありがたくもらっておくわ。,Aren't you glad I aided in your masturbation?❤ Look; your hands are covered in semen now~❤ I shall gratefully accept your potent magical power.
ちゃんと攻撃すれば、か弱いわたしぐらい倒せたでしょうに。\n人間の男はほんの短い時間ですら、欲情を抑ええられないのかしら。\n浅ましいわ❤くすくす❤,If you'd only attacked properly; you could have easily defeated someone as weak as me. But it seems human men are simply incapable of reigning in their lust for even that short of a time. How shameful~❤ *Giggle*❤
ずいぶんカッコ悪い負け方しちゃったわね。\nこんな布切れひとつで射精しゃうなんて、\nほんと人間の男ってバカな生き物❤,That's quite a pathetic way to lose; don't you think? Ejaculating from a mere piece of cloth... Human males are such foolish creatures~❤  
くすくす❤小さいおっぱいに押し付けられながらの手コキ、\nずいぶん気持ちよかったようね❤\nこんなに出して、このロリコン❤,*Giggle*❤ You really enjoyed getting a handjob pressed against my small breasts; didn't you?❤ You released so much. You pervert~❤
くすくす❤遠隔手コキでなすすべなく搾り取られちゃったわね❤\nこんな小さな手にすら勝てないなんて、\nBランクマスターもたいしたことないわ❤,*Giggle*❤ You were helpless to do anything as I milked you dry from here; weren't you?❤ If you can't even withstand a hand as small as mine; then that B-rank title must be nothing special~❤
くす❤踏まれて喜んじゃって、このヘンタイ❤\nロリコンマゾのエナジーで足がドロドロよ❤\nこんなに濃いの出すなんてよっぽど気持ちよかったのね❤,*Giggle*❤ This pervert; getting happy from being trampled~❤ My feet are soaked in the energy of a degenerate masochist!❤ You must've felt immense pleasure to produce such thick semen; huh?❤
くすくす❤ちゅってしてあげたのと同時に射精しちゃった❤\n根元からしこしこしこーって精液押し出されて、\n全然耐えられなかったわね❤人間って弱い❤,*Giggle*❤ You ejaculated from a simple kiss~❤ It seems you couldn't hold back the semen forcing its way from the base of your penis; could you?❤ Humans are so weak~❤
あは、攻撃やめて本当にシコって射精しちゃった❤\nパンチラひとつで脳みそバカにされて、\nくすくす、男ってあわれな生き物ね❤,Aha; you actually stopped attacking to masturbate and shot out all your energy.❤ Becoming so stupid just from a panty shot... *Giggle* Males are such pathetic creatures; aren't they?❤
ふふ❤投げキスされただけで、そんなに出しちゃうんだ。\n平民チンポ弱すぎよ。くすくす❤,Fufu~❤ A mere kiss caused this much semen to shoot out. Commoner penises are so weak! *Giggle*❤
決着ー！！勝者はリュカ・シャルロット選手！,It's over!! Charlotte Lucas has claimed victory!
まさかあの無敗のルーキーが名誉Ｂランクに敗北してしまうとは！！\n衝撃の結末に会場中がどよめています！,Who could have imagined the undefeated rookie would finally meet his match against an honorary B-rank!! The whole stadium is roaring from this unexpected outcome!
レアなサキュバスカードが大量に投入されたシャルロット選手のデッキ、\nこれがその力ということなのでしょうか！,Charlotte's deck was filled to the brim with rare succubus cards; could this be their true power!?
くすくす❤あなたが負けたこと、\n会場のみんなが驚いているわ。\nでも、そんなに驚くことじゃないわよね。だって・・・❤,*Giggle*❤ It seems everyone is shocked by your defeat. But it's not that surprising; is it? After all...❤
サキュバスが人間の男に勝つなんて、当たり前のことですもの。\nほら・・・❤,It's only natural for a succubus to defeat a male human like you. Look...❤
負けたばかりなのに、あなたのチンポはビンビン❤\nまたサキュバスに搾ってもらうことしか頭にないわ。,Despite having just lost; your penis is still fully erect~❤ All you can think about is getting milked by that succubus again.
たとえ、みなの期待を裏切ろうが、\nこうやって扱いてほしいんでしょう？,Even if it means disappointing everyone in this arena; you'd like nothing more than to be treated like that; wouldn't you?
ううっ、やめろ・・・❤,Ugh; stop it...❤
あら、ほんとにやめてほしいの？\nチンポはそう言っていないみたいだけど。くすくす❤,Oh my; are you sure you want me to stop? Your penis doesn't seem to agree. *Giggle*❤
あっ、早く動かされたらっ❤❤あっ、ああっ❤,Ah; if you move like that...❤❤ Ah; aah~❤
気持ちよさそうな声❤\n小さい女の子にいいように喘がされてみっともないわ❤,You sound quite blissful.❤ That's rather embarrassing; being made to moan by a young girl~❤
でもほら、あなたが言うようにちゃんとやめてあげる。\n平民のお願いを聞き入れるなんて、\nわたしって優しいでしょ？,But here; I'll stop just as you asked. Aren't I kind; listening to a commoner's request?
うあっ、あう、ううっ・・❤❤,Uwa; aah; ugh...❤❤
うふふ、変な声をあげて、\nもしかしてもうイキそうだったのかしら。\n手でちょっといじめてあげただけでずいぶんと弱いチンポね❤,Ufufu; what strange sounds you're making. Were you possibly just about to ejaculate? Your penis must be quite weak to be brought so close from just a bit of light teasing by my hand; isn't it?❤
それでどうする？あなたが望むなら、解放してあげてもいいわよ。\nそのヒクヒクさせているものをそのままにして、\n回れ右して会場を立ち去りなさい。,Well then; what should we do now? I could let go; if you'd like; and exit the venue; leaving your cock twitching just as it is.
もしまたしごいて欲しいのなら、\nふふ、そこで棒立ちになっていればいいわ。\n何も選ばずただ流されればいいの。簡単でしょ❤,Or; if you'd like me to stroke it again; all you have to do is stand there. No need to do anything; simply follow my lead. Easy; right?❤
あ、ああ・・・。ぼくは・・・。,Ah; aah... I...
そのとき会場にいるファンの人たちの姿が目に入った。そうだ、僕に期待してくれている人たちがいる。ファン以外にも師匠や他の人だって…。妹を救うためにも、こんなところでみっともなく快楽に流されるわけにはいかない！,In that moment; I noticed the audience all around. That's right; there are people who've placed their hopes in me. And it's not just the fans. It was my master; and everyone else who came here too. For the sake of saving my sister; I can't succumb to some humiliating pleasure now!
ぼくは、お前には屈しないっ、だから・・・。,I... I refuse to give up; so...
はい、時間切れ❤,Okay; time's up~❤
あひぃっ❤あっ、あっ、そんなっ❤ああうぅっ❤❤,Uwaaa!❤ Ah; ah; no wayyy!❤ Aaaaaaghhh!❤
考えてる時間が長いのよ。\n１０秒も２０秒も悩んじゃって、待ちくたびれたわ。\n断るつもりがあるのなら、さっさとしなさい。,You took too long to decide. It must have been ten to twenty seconds; you were standing there thinking; and I grew bored. If you wished to refuse; you should've done so quickly.
戦場でそれだけ棒立ちになっていたら、\n一方的に嬲られて当然でしょう？\n今だって同じよ。逆に２０秒も待ってあげて寛大なぐらいだわ❤,If you just stood there like that during battle; then it'd only be natural that you'd get bullied like this; right? It's the same here. In fact; it was actually quite gracious of me to even wait as long as I did.❤
ああ、そうそう。本気で腰を引けば、\nこの召喚ゲートからは逃げられるから、\nもし脱出する気があるならそうしなさい。といっても・・・❤,Ah; that's right. If you pull back really hard; then you can escape from this summoning gate. If you wish to escape; go right ahead. That said...❤
むしろ快楽をねだって腰を突き出しているようでは、\nとうてい脱出は無理だと思うけど。\nくすくす❤,If; on the contrary; you choose to beg for pleasure by thrusting your hips forward; I doubt there's any hope of you escaping. *Giggle*❤
うっ❤ううっ、みんな見てるのにっ❤ああっ、きもちよくてっ❤❤,Ooh...❤ Ugh; everyone's watching...❤ Aah; but it feels so gooood...❤❤
あら先っぽがパンパンね。もう射精しちゃうの？\nほら、その張り詰めた先っぽをわたしの小さな手で、\nシコシコ扱いていじめてあげる❤,Oh my; your tip is beginning to swell; isn't it? Are you already about to cum? Here; I'll tease that strained tip with these little hands of mine~❤
カリ首の出っ張ったところ、ここが一番弱いのよね❤\n小さな指の強い締め付けで、\n中身を搾りだされてしまいなさい❤ふふふ❤,This protruding part is your weakest point; isn't it?❤ Let my small fingers squeeze out all its contents.❤ Fufufu~❤
あっ、あっ、ああっ❤こんなのむりっ、もうっ❤❤,Ah; aah; aaaah!❤ I... I can't take this... anymore!❤❤
平民のマゾチンポからわたしにエナジー献上なさい❤\nあなたは小さな女の子の小さな手に弄ばれて、\n一方的に負けるのよ。ほら❤ほらほら❤,Give me all the energy inside your masochistic commoner cock.❤ You're about to lose yourself completely; toyed with at the hands of a girl so much smaller than you. Here~❤ Take this~❤
ふふ、なかなか良質な精液ね。\n精液の質だけは、さすがはBランクマスターというところかしら。,Fufu; your semen is actually rather rich; isn't it? I suppose this part of you; at least; is befitting of a B-rank.
あなたのこと、せっかくだからわたしの精液奴隷にしてあげる。\nうれしいでしょう？この手でまた可愛がってもらえるのよ。\nくすくす❤,Since I've done this much already; I'll go ahead and make you into my semen slave as well. Aren't you happy? You'll get to be pampered by these hands all over again! *Giggle*❤
そう言って彼女は、地面に横たわる僕の額に、軽く口づけをした。,Saying that; she laid me on the floor; placing a kiss on my forehead.
唇の当たった箇所がじんじんとうずき、何かがすぅーっと染み込んでいくような感覚がする。脳が奥までしびれるような心地よさの中、僕は気絶し、意識を手放したのだった。,The spots where her lips touched my skin tingled; and I felt something seeping in. It was a comfortable sensation that numbed the recesses of my brain; and I quickly drifted off into unconsciousness.
それから数日後,A few days later
僕は闘技場での初めての敗北のあと、快楽に負けてしまった自分の弱さを反省し、再び修行に励んでいた。,After my first defeat in the arena; I reflected on my weakness in succumbing to pleasure and began training anew.
大量に搾り取られた魔力もようやく元通りになり、カードの使用も問題なくできるようになった。精神力を鍛え直して、いずれあのマスターにもリベンジをしたいところだ。,I'd finally restored the immense amount of magical energy that had been drained from me, and I could use my cards again without any issue. I had planned to train my mental fortitude; and one day get my revenge against that master.
よし、今日は街にバトルをしに行こう。,Alright; I should head into the city today and participate in a few battles.
（ん・・・？なにか体の感じが変なような・・・。）,(Hm...? My body feels strange for some reason...)
下半身に妙な感覚を感じかと思うと、ズボンの中がわずかに発光した。僕は驚いてズボンの中を見ると、なんと自分のペニスが光のゲートのようなものに飲み込まれている。,I felt a strange sensation in my lower body; and the inside of my pants suddenly started to glow. Startled; I checked inside my pants and saw that my penis had been swallowed by what looked like a gate of light.
びっくりしたのも束の間、不意にペニスを誰かに触られている感覚が走った。,I was shocked at first, and then I suddenly felt my penis being touched.
なっ、この感触っ❤もしかしてこの間のっ❤❤,Wh- This feeling...❤ Could it be; from the other day?❤❤
うあっ、指が、からみついてきてっ❤ああっ、きもちいっ❤あっ、あっ❤,Ahh; her fingers... They're wrapping around me.❤ Aah; it feels so goood...❤ Ah; ahh...❤
どこかに召喚されているペニスを、誰かの指がなまめかしく扱き上げてくる。この指の動き、気持ちよさ、おそらく闘技場で戦ったあのサキュバスだ。,With my penis summoned elsewhere; I could feel someone's fingers seductively stroking me. These finger movements; this feeling of pleasure; it was reminiscent of the succubus I'd fought in the arena.
そんなことを考えているのも束の間、みるみるうちに射精感が高められていく。男のツボを知り尽くしたその手の動きに、僕は全く抗うことができない。,As I thought this; I could feel the urge to ejaculate building within me. I was utterly helpless against the movements of her hands as they expertly attacked all my weakest points.
うあっ、指の動きが早くなって❤だめっ、そんな先っぽをっ❤あひぃっ❤❤,Uwa; her fingers are moving faster! No; don't press on the tip like that!❤ Aaaaah!❤❤
はぁ、はぁ・・・❤ううっ・・・❤,Haa; haa...❤ Ugh...❤
ゲートの向こうで何回か射精し、最後に先端に残った精液が、ちゅぱっと唇のような感触に吸い出される。,I felt myself ejaculate several times on the other side of the gate; and the semen that was left at my tip was sucked out by what felt like a pair of lips.
僕は誰もいない宿屋で、床に倒れ伏しながらその快感に喘ぐことしかできなかった。,All I could do was collapse on the floor of the empty inn; moaning in pleasure.
この現象はきっと先日戦ったサキュバスのせいに違いないと思った僕は、リュカ商会の店舗を訪ねていた。,Thinking this phenomenon must've been the work of the succubus I'd fought the other day; I visited the storefront of the Lucas Trading Company.
商会の店頭は多くのお客さんでにぎわっていた。僕をダシにして宣伝したサキュバスのカードが、飛ぶように売れているようだ。,The shop was bustling with customers. Those succubus cards they'd used me to advertise for were flying off the shelves; it seemed.
僕が訪ねてきたというのを聞いて、店の奥からリュカ・シャルロットが出てきた。事情を話すと、ああ、そのことね、と分かっていた風の反応を返す。,Upon hearing of my visit; Charlotte Lucas herself came out from the back of the store. When I explained the situation; she replied, "Oh; I see;" as if she already knew what I was talking about.
あなたが負けたとき、あの子に支配のマークを付けられていたでしょ？\nたぶんあれの効果だと思うわ。,After you'd lost; that girl put a Mark of Submission on you; right? It was likely an effect of that.
といってもわたし自身、\nサキュバスの子たちの力を全部把握しているわけじゃないのよね。\nま、いいじゃない、気持ちよくしてもらえるなら。,That said; I'm personally not too familiar with the powers of a succubus. But since you got to feel good from it; it should be fine; right?
いつでもサキュバスに触ってもらえるのよ。\n男にとって夢のような話じゃない。\nくすくす❤,Now you get to have a succubus touch you anytime you'd like! Isn't that every man's fantasy? *Giggle*❤
え？それじゃ困るって？\nまったく、わがままね。それなら直接交渉しなさい。\nわたしは忙しいの。,Eh? It's bothering you? Goodness; you're quite demanding; aren't you? In that case; please take it up with her. I'm busy.
{自分}を召喚、えい！,{自分}; I summon you!
あら、わざわざ訪ねてきたの？\n朝は精液をごちそうさま❤\nなかなかいい朝食だったわ。,Oh my; did you come all this way just to see me? By the way; thank you for the semen this morning~❤ It made for a delightful breakfast.
ああ、そっか説明しないままだったものね。驚かせちゃったのかしら。\nあなたの体はわたしのものになったの。\nわたしが望めばいつでもあなたの体の一部を召喚できるのよ。,Aah; I never did explain it; did I? It must've alarmed you. You see; your body now belongs to me. I can summon parts of you whenever I please!
わたしがカードの中にいるときでも呼び出せるから、\nふふ、ちょっとお腹が空いたなーって時には便利ね❤\nすぐ射精するから搾るのも楽だし。くすくすくす❤,I can even summon you while still in my card form. Fufu; it's convenient for whenever I'm feeling peckish; wouldn't you agree?❤ You ejaculate so quickly; it makes your semen easy to milk. *Giggle*❤
・・・・。,...
ふーん、修行をしたいからやめてほしいの。\nそんなのわたし知らないわ。\nなんで平民の都合を高貴なわたしが気にしないといけないのかしら。,Oh? You want to train; so you'd like me to refrain from taking your energy? That's none of my concern. Why should a noble like me have to be considerate of some lowly commoner?
ちなみに服従の証はあなたが心から屈服した時にしか刻めないの。\nつまり、闘技場で負けたとき、確かにあなたは\nわたしにすべてを差し出したいって思っていたのよ。,Incidentally; that Mark of Submission can only manifest if you've given yourself over to me wholeheartedly. In other words; back when you'd lost in the arena; your only thought must have been offering all of yourself to me!
もしこの契約を解除してほしいなら、\nわたしを倒してみなさい。そうすれば臣従は解除されるわ。\nま、弱いあなたにそんなことができればだけど❤,If you wish to be freed from my control; then simply defeat me. Then your servitude will be nullified. Well; that's only if a weakling like you can manage such a feat~❤
だって、ほら・・・❤,After all; look...❤
やめてくれっていう話をしているはずなのに、\nさっきからチンポギンギンにしてるじゃない❤,Despite telling me not to drain you anymore; your penis has been fully erect this whole time~❤
わたしの体を見て、わたしの声を聞いて、\nそんなにムラムラしちゃったの？\n節操がないのね。このロリコン❤,Does seeing my body and hearing my voice turn you on that much? You don't have any integrity at all; do you? You pervert~❤
あっ、ああっ、だめっ・・・❤だめなのにっ・・・❤,Ah; aah; no...❤ I-I can't...❤
くすくす❤ロリコンは言うことが口だけね。\nカードを使って下級モンスター１体ぐらい倒せばいいじゃない❤,*Giggle*❤ You perverts are all words and no substance; aren't you? All it'd take to defeat a low-level monster like me would be to summon a single card.❤
チンポ扱かれて気持ちよくて、\n呪文を十分に唱えることもできない。\nただ腰を突きだしてみっともなくチンポ差し出すだけ❤,But having your penis fondled feels too good for you to even cast a spell properly. All you can do is thrust your hips out and shamelessly offer your cock to me~❤
サキュバスに向かってチンポ差し出せば、\nエナジー搾り取られることなんて、分かり切ってることなのに❤\nほら・・・❤,It should go without saying that if anyone offers their penis to a succubus; then she'll drain them of their energy.❤ Like so...❤
さっさと果てなさい❤ロリコン❤,Hurry up and climax.❤ Pervert~❤
あひっ、激しくされたらっ、ああっ❤❤,Aah; if you do it so roughly... Aaah!❤
ふふ、ほんと口ほどにもない❤\n精液の質がいいだけの、ただのマゾ豚ね❤,Fufu; it seems you're all talk in the end after all~❤ You're just a masochistic cow who produces quality semen; aren't you?❤
あなたはもうカードマスターなんてやめてしまえばいいのよ。\n体の中で作られた魔力に生命力、\n全部わたしに捧げるためだけに生きなさい❤それがあなたの人生よ❤,You should just give up being a cardmaster. Just live solely to offer me all the magic and life force within you~❤ That's all your life will ever be good for!❤
分かったなら、射精して返事なさい。\nほらほらほら❤,If you finally get it; then answer with your release. Go on; take this~❤
あぎぃっ❤❤あっ、ああっ❤❤,Aaaaagh!❤❤ Ah; aaah!❤
ふ、他愛もない。\n立場の差が分かったかしら。くすくすくす❤,Hmph; how underwhelming. Do you now understand the difference in our statuses? *Giggle*❤
こうして{自分}に徹底的に搾り取られた僕は、彼女の快楽の前に完全に屈してしまった。,Drained dry by {自分}; I completely succumbed to her pleasure.
彼女に絶対に勝てないと心から分からされただけではない、彼女が与える快楽に対してすっかり虜になってしまったのだ。,I not only realized I could never win against her; but I also became obsessed with the pleasure she gave me.
当然、魔力を好きに搾り取られたら、カードを使った修行などできるはずがない。僕はバトルをほとんどできなくなり、腕前もどんどん落ちて行った。それでも。,Naturally; with my magical power being drained whenever she pleased; I couldn't use my cards in training. I was barely able to battle; and my skills steadily worsened.
彼女の手で時折可愛がってもらえる、そのことが僕にとって一番の生きる意味になっていた。ほかのことなどすべてどうでもよくなってしまった。,Receiving her hands' affection became the greatest joy my life had to offer. Nothing else mattered anymore.
彼女は僕をおもちゃ程度にしか思っていないので、たまに扱くだけ扱いたあとに射精をせずに解放されることがあった。,Since I was merely a toy to her; there were times where she'd jerk me off only to release me before I could cum.
その場合、射精をしたくて悶絶する僕の耳が彼女の口元に召喚され、わざとらしく、くすくす、くすくすと笑い声だけを聞かせて、僕を弄び楽しむのだった。,Whenever that happened; while I agonized with the urge to cum; she would summon my ears right next to her lips; teasing me with nothing but soft giggles.
お嬢さまの遊び道具にされ、ただただ彼女の都合のいい存在として生きるだけの日々。彼女のあっせんでリュカ商会にタダ働き同然の奴隷として雇われて、僕は死ぬまでそこで働くことになった。,I was used as a plaything by milady; and I lived my days as nothing more than a convenient existence for her. Through her recommendation; I was hired as a slave to the Lucas Trading Company; working for peanuts. And I'll likely work here until the day I die.
こうして無敗を誇っていた最強のルーキーは、下級モンスターのサキュバスに魅了され、その下僕として人生を終えた。サキュバスたちから妹を救うはずだった彼の物語は、逆にサキュバスの奴隷となってその幕を閉じたのだった。,And so; the undefeated rookie fell to the seductions of a low-level monster—a succubus; at that—and lived the rest of his life as her servant. His story of saving his sister from the succubi ended instead with him becoming a slave.
わたしを守るモンスターの壁が多くて、もう無理だって思っちゃった？\n平民にふさわしい意志の弱さね。\n勝てない相手にはすぐこびへつらう、それでこそ平民よ❤,Did you see the wall of monsters defending me and realize it was hopeless? Fufu; you have a weak will befitting a commoner; don't you? Being quick to suck up to those they can't defeat is all a commoner amounts to in the end~❤
くすくす❤遠隔手コキでなすすべなく搾り取られちゃったわね❤\nこんな小さな手にすら勝てないなんて、\n{ランク名}ランクマスターもたいしたことないわ❤,*Giggle*❤ You were helpless to do anything as I milked you dry from here; weren't you?❤ If you can't even resist my tiny hands; then that {ランク名} title must be nothing special~❤
