default
鍛冶師ノーム,Blacksmith Gnome
わたしだけじゃなくて、\nさっきのノームちゃんを召喚して気持ちいいことしてあげてもいいよ。\nそれじゃ、また会おうね～。,It doesn't have to be just me; either. I could summon that gnome girl from earlier to make you feel good; too. Either way; I'll see you later~❤
（ううっ・・・。どうしようか・・・。）,(Ugh... What should I do...?)
闘技場からの帰り道、僕は{自分プレイヤー}に手渡された地図を見ていた。,On my way back from the arena; I looked at the map {自分プレイヤー} had given me.
彼女は僕に「お礼」をしてくれるという。何か対価を求められているわけでもなく、ただ気持ちよくしてもらえる。特に悪いことはない・・・。しかし・・・。,She said she'd give me a 'reward.' She wasn't asking for anything in return; either. She just wanted to make me feel good. There was nothing particularly wrong with that... But...
（そんなことにうつつを抜かしている場合なのだろうか。\n今日負けた分、もっと修行するべきじゃ・・・）,(Is this really the time to be indulging in something like that? After losing today; shouldn't I be training more instead...?)
僕は悩んでいた。試合のあとも下半身はうずいていて、本当はすぐにでも{自分プレイヤー}さんのところに行ってしまいたい。でも、僕には、もっと強くなるという目標があるのだ。,Even after the match; my lower body was still aching; making me desperately want to go to {自分プレイヤー}'s place right away; but I had a goal to become stronger.
（・・・よし、今日はこのまま宿に帰って、デッキの見直しでもしよう。\n{自分プレイヤー}さんには今度会った時に、断りを入れればいい。\nそうしよう。）,(...Alright; I'll just go back to the inn for today and review my deck. I'll just have to apologize to {自分プレイヤー} next time I see her. That's what I'll do.)
お、探したぜ、無敗のルーキー。,Oh; undefeated rookie. I found you!
・・・！,...!
僕がきびすを返して宿屋に向かおうとしたとき、後ろから、{自分}が話しかけてきた。,Just as I turned in the direction of the inn; {自分} called out to me from behind.
アンタがなかなか来ないから、\nうちのマスターが「道にでも迷ってるんじゃないか」って、\nあたしをつかいに出したんだよ。,You hadn't shown up yet; so my master said "maybe he got lost" and sent me to find you!
案の定この辺をうろちょろしてたからな。\nどうした？あたしたちの家は、そっちじゃないぜ。\nほらこっちだ。ついて来いよ。,Sure enough; here you are; just wandering around. What's wrong? Our house isn't that way; silly. Come on; it's this way. Follow me!
（うわっ、胸が当たって・・・❤）,(Whoa; her breasts are pressing against me...❤)
（断らないとダメなのに、はぅう気持ちいい・・・❤）,(I need to say no; but... Ahh... It feels so good...❤)
腕に押し当てられるやわらかい感触に、僕は試合中の快感を思い出してしまい、すっかり抗えなくなってしまった。おっぱいに思考をかき乱されているうちに、腕を引かれるまま、ジェミニさんのいる建物へと連れていかれてしまう。,The soft sensation of her chest pressing against my arm reminded me of the pleasure I felt during the match; and I couldn't resist it. The feeling quickly caused my thoughts to vanish; as I let her pull my arm towards the building where Gemini was waiting.
マスター、連れてきたぜー。,Master; I brought him!
ありがと。お疲れ様～。\nって、あれ・・・❤,Thanks. Good work. Hey; wait a second...❤
ルーキーくん、もう勃起しちゃってるね❤\nズボンがパンパンに膨らんでて、遠目からでも分かるよ？,Hey; Rookie; you're already hard; aren't you?❤ Your pants are bulging so much I can see it from here.
あ、もしかして・・・。\nノームちゃんのおっぱいが腕に当たって興奮しちゃった？\nくすくす❤すけべだね～❤,Ah; is it maybe...? Did you get excited from the gnome girl's breasts pressing against your arm? *Giggle*❤ You're a real perv; aren't you?❤
あううっ・・・❤これは・・・❤,Ah; uhh...❤ That's...❤
は、本当だよ。ギンギンじゃねえか❤\nなんだ？あたしのおっぱいのことすっかり好きになっちまったのか？\nまだ一回抜いてやっただけだって言うのによ❤,Ha; it's true! You're rock hard!❤ What's the deal? Have you completely fallen for my tits? I've only gotten you off once!❤
こんなに固くして、\n節操がねえな。くすくす❤,Getting this stiff... You have no self-control at all; do you? *Giggle*❤
あっ、だめ、ズボンの上からさわらないで・・・❤,Ah; no; don't touch it through my pants...❤
んー？いやならやめるぜ？\nもともとこれはうちのマスターからの「お礼」なんだからよ。,Hmm? If you don't like it; I'll stop. After all; this is supposed to be a "reward" from my master.
盗賊退治をしてくれたお礼に、\nあたしやマスターのおっぱいで気持ちよくしてやろうっていうだけの話だ。\nどうする？やっぱりやめとくか？,As thanks for defeating those bandits; my master and I wanted to use our chests to make you feel good. So what's it gonna be? You wanna back out?
{自分}はその小さな手で僕のズボンの膨らみをむぎゅむぎゅとなでる。さっき試合中に射精してからそう経っていないというのに、彼女の手の感触にいつも以上にペニスが固くなってしまう。,{自分} used her small hand to squeeze and massage the bulge in my pants. Even though I'd just ejaculated during the match not that long ago; my penis was getting harder than usual from the sensation of her touch.
本当は断りの言葉を言わないといけないのだ。だが、少し乱暴に服の上から手で揉みこまれて、真上から彼女の大きな胸を見下ろして、たったそれだけで、僕の口はからからになり、断りの言葉は唾液と一緒にごくんと飲み込まれてしまった。,I really should have just said no; but sight of her large breasts below me as she massaged my cock through my clothes made my mouth go dry. Any words of refusal were swallowed down with my saliva.
あう、あうう・・・・❤❤,Ahh; ahhh...❤❤
くすくす❤いいじゃない、無理に言葉にさせなくても。\nこの家まであなたと一緒にやってきて、\nそれだけチンポを固くしてるんだもの。,*Giggle*❤ That's fine; you don't need to say anything. After all; you came all the way to our house with us; and your cock is already so hard.
わたしたちの「お礼」を受ける気、満々なのよね❤\nくすくす❤ほら、挟んであげなさい❤,You're totally ready to receive your "reward"; aren't you?❤ *Giggle*❤ Here; I'll squeeze it between my tits~❤
へへ、それじゃ、マスターのおおせのままにっと・・・♪,Hehe; then just like Master told me to...♪
よいしょっ。どうだ？\nあたしのおっぱい❤まだ挟んだだけだけどよ、張りがあって気持ちいいだろ❤,There we go. How's that? My tits; I mean~❤ I know I've only just squeezed your cock between them; but they're so nice and firm; aren't they?❤
おっぱいに両側から押しつぶされてよ、\nさらしも締め付けを手伝ってるから、\n谷間の中みっちみちだよな❤,Your cock's getting crushed from both sides by my breasts; and my bandages are helping with the pressure too; so inside my cleavage is all nice and tight~❤
ほら、動かすぜ❤,Alright; I'm gonna start moving now~❤
あっ、ああっ、はぐううっ・・・❤,Ahh; ahhh; hngh...❤
な？最高だろ？\n圧力がみちぃってチンポにかかってくるけど、\nおっぱいは柔らかいからまるでチンポを揉みほぐされてるみたいでよ❤,How's that? Pretty amazing; right? The pressure against your cock is probably crazy strong; but my tits are soft enough that it feels like your cock's getting massaged!❤
アンタが負けたおっぱいだぜ。満足するまでパイズリしてやるから、\n何回でも味わいな❤,They're the breasts you lost to; after all. Now; I'll give you a titjob until you're fully satisfied; so savor it as much as you want~❤
はひっ❤ううっ、きもちいいっ❤❤,Ha; ahh...❤ Ugh; it feels so good.❤❤
ふふ、必死にノームちゃんの肩を掴んじゃって、\nパイズリを味わうのに一生懸命ね❤,Fufu; you're grabbing onto her shoulders so desperately; working as hard as you can to savor her boobjob~❤
試合でもそうだったけど、\nノームちゃんのことだいぶ気に入っちゃったみたいね。\nわたしからのパイズリはなしでも十分かしら。,Just like during the match; it seems you've really taken a liking to my gnome. Me joining in might not be necessary.
だって、ほら、もう射精しそうだし・・・❤\nくすくす❤早いのね。ルーキーくん❤,After all; look. You're already about to cum...❤ *Giggle*❤ You're pretty quick; aren't you rookie?❤
はっ、チンポおっぱいの中で震えてるぜ❤\n腰もちょっとだけカクカクって動いてて、\n今にも射精したくてたまらねえんだな❤,Hah; I can feel your cock trembling between my breasts~❤ Your hips are twitching a little; too. You can't wait to cum; can you?❤
いいぜ。ほら、出しな❤\n腰を奥まで突き入れて射精しちまいな❤\nそうだ、そうやって、グイってな❤,That's fine. Go on; cum!❤ Thrust your hips all the way in and shoot it all out!❤ That's right; just like that; push hard~❤
あっ、いく、出るぅ・・・❤❤,Ah; I... I'm gonna... I'm cumming!❤❤
はは、見ろよ。谷間がどろどろだぜ❤\nさっき試合であんだけ出したってのに、またこんなに精子作っちまったのか？\nお盛んだねぇ、まったく❤,Haha; look at that. You made my cleavage all messy~❤ Even though you came so much during the match; you managed to make this much cum again? You're quite virile. Geez...❤
にしても、試合のときも思ったけど、アンタの魔力相当濃いよな。\nこの精液も２回目とは思えない濃さで、\nへへ、魔力補給にはもってこいって感じだ。いい品質してるぜ♪,Though; I thought that during the match; too. Your magical power is pretty concentrated. Even this second load is just thick with the stuff. Hehe; it's actually perfect for replenishing my own magical power. High-quality stuff~♪
こんだけいい魔力だと、\nどっちが「お礼」をもらってるか分からねえぐらいだな・・って、\nはは、アンタの蕩け顔を見る限り、十分「お礼」になってるか❤,With magical power this good; I don't know who's actually receiving the "reward" here... Though; haha; judging by your melted expression; it's definitely serving as proper "thank you"~❤
チンポもまだビンビンだしな❤\nいいぜ、また挟んでやるよ❤,Your cock is still rock hard; too!❤ That's okay; I'll just squeeze it between my tits again~❤
ほら、今度はさっきより少し激しく動かしてやる❤\n気持ちよすぎて腰抜かすなよ？,Now; this time I'm gonna move a little rougher than before.❤ Don't let the pleasure make your legs give out; okay?
あっ、あっ、すごいっ❤❤うぅっ、あひいっ❤❤,Ah; ah; amazing!❤❤ Ugh; ahhh!❤❤
ほらほらほら❤満足するまで気持ちよくなりな❤\nこのきかん坊のチンポ、\nあたしのおっぱいでいくらでも面倒見てやるぜ❤,That's it; come on~❤ Keep feeling good til you're completely satisfied.❤ My tits'll take care of this naughty cock of yours as much as you want~❤
谷間が真っ白になぐるぐらいまで射精していいんだぜ❤\nもう試合も終わって、今はただ気持ちよくなっちまっていい時間だ。\n今までの試合だって何回も負けて射精したいって思ってたんだろ？,Keep cumming til my cleavage is painted pure white!❤ The match is over now; so this is just about feeling good. You've thought about giving in and ejaculating during all your matches before; haven't you?
その栄えある一発目にあたしを選んでくれたんだ❤\nこんなちびで胸が大きいだけの女をよ、そんなに気に入ってくれたんなら、\nあたしとしてもうれしいってもんだぜ❤,You chose me for your special first time~❤ A small little thing with nothing but huge tits. If that's just how much you like me; it makes me really happy!❤
おっと、射精していいって言ったらすぐこれだ。\nチンポの先が膨らんで、お尻がきゅってなってもう出ちまうんだな❤,Oops; the moment I gave you permission to cum; you took it! The tip of your cock is swelling; your butt is clenching... I can tell you're about to cum~❤
うりうり❤気持ちよく出せるように、\n左右交互におっぱいをこねまわしてやるよ❤\nおっぱいでもみくちゃにされながら射精しな❤,Rub rub rub~❤ To make sure you finish extra happy; I'll knead my chest left and right.❤ Get overwhelmed by my tits and shoot it all out!❤
ほら、イケ❤谷間にぜんぶ出せ❤\nあたしに負けた、無敗のルーキー❤,Come on; cum!❤ Shoot it all into my cleavage~❤ You lost to me; undefeated rookie!❤
あらら、空っぽになって気絶しちゃったね❤\nベッドまで運んで、そこに寝かせておこっか。,Awh jeez; you actually passed out after getting totally drained~❤ Let's carry him to the bed and let him sleep there.
はいよっと。\nなあ、マスター、たっぷり魔力をもらったし、\nこの魔力が切れるまで召喚を維持しててもらってもいいか？,There we go. Hey Master; I got plenty of magical power out of him; so can you maintain my summoning until it runs out?
せっかくだから鍛冶打ちがしたくてよ。\nいいって？ありがとよ！さすがはあたしのマスターだぜ。,I want to do some blacksmithing while I have the chance. Is that okay? Thanks! That's my master for you.
それから数時間後、僕はまだ薄暗いなか早朝に目を覚ました。いつの間にか気絶して、客室のベッドに寝かされていたらしい。,Several hours later; I woke up in the early morning; the light outside still dim. At some point I'd passed out; and it seems they'd put me in the guest room bed to recover.
ベッドのある隣の部屋から、カーンカーンと金槌を打つ音が聞こえてくる。こんな朝早くから鍛冶の作業をしているのだろうか。,From the adjoining room; I could hear the clang of a hammer striking metal. Was someone blacksmithing this early in the morning?
のそのそとベッドから起き出し、隣の部屋に様子を見に行くと、そこでは{自分}が真っ赤な炎に顔を照らされながら、熱心な顔で武器を打っている姿があった。,Sluggishly; I got up from the bed and went to check on the next room over. Sure enough; there was {自分}; her face illuminated by bright red flames; earnestly hammering weapons.
・・・よしっと。\nん？おう、ルーキー起きたのか。\nうるさくしちまったかな。ぐっすり眠れたか？,...And; done. Hmm? Oh; rookie; you're awake. Did you sleep OK? I didn't make too much noise; did I?
なんだ？鍛冶に興味があるのか？\nへへ、気になるなら別にそこで見てていいぜ。\nなんなら、ちょっと試しに打ってみるか？,What? You're interested in blacksmithing? Hehe; if you're curious; you're welcome to watch from there. Or; if you want... You wanna try hammering something?
へえー、意外とうまいじゃないか。\nあんた、才能あるかもしれねえぜ。\nはは、カードマスター以外にもこんな才能があるなんて、意外だな。,Wow; you're surprisingly good at this. You might be a natural. Haha; to think you'd have talent for something other than being a cardmaster. Didn't see that coming.
え？子供のころからカードで戦う以外してこなかった？\nはぁ、そりゃもったいないぜ。色んな楽しいことがあるんだ。\n試してみたら、そっちの方が向いてるなんてことも案外あるもんだぜ。,Eh? You've done nothing but fight with cards ever since you were a kid? Hah; that's such a waste. There's lots of fun things out there. If you try them; you might find you're better suited for something else.
まあ、ここまで無敗で勝ち上がってきたんだし、\nあんたのバトルの才能は疑いないだろうけどよ。\n第二の趣味って感じで鍛冶をやるのもいいかもな。,Well; you've won your way as far as you have undefeated; so there's no doubt about your skills in battle. But picking up blacksmithing as a hobby might not be a bad idea.
あんたのこと、個人的に気に入ったし、\n鍛冶のやり方、教えてやってもいいぜ❤\nあたしに弟子入りしてみたらどうだ？なんてな、くすくす♪,Personally; I've really taken a liking to you; so I wouldn't mind teaching you if you want~❤ How about becoming my apprentice? Just kidding! *Giggle*♪
おーい、ごはんできたわよー。\nあら、ルーキーくんもお目覚め？,Hey; food's ready. Oh; rookie; you're awake too?
昨日晩御飯も食べずに気絶しちゃったし、お腹空いてるでしょ？\nわたしたちといっしょにご飯食べましょ。,You passed out yesterday without eating; so you must be hungry; right? Why not join us?
ノームちゃんたちの分は別に作らなくてもいいんだけど、\nこの子たちは、子供のときから一緒にいる家族だから。\nなんとくね。,The gnomes don't really need to eat; but I always make them a plate. These girls have been like family to me since I was a kid. You know how it is.
ほら、冷めないうちに食べましょ。\n西の方の郷土料理を味合わせてあげる❤,Come on; let's eat before it gets cold. I'll let you try some regional cuisine from the west.❤
僕はジェミニさんに朝ご飯をごちそうになり、その後、魔力が回復するまで手持ち無沙汰だったので、{自分}に鍛冶についてあれこれ教えてもらった。,I was treated to breakfast by Gemini; and afterwards; since I had nothing to do until my magical power recovered; I had {自分} teach me various things about blacksmithing.
自分よりだいぶ背が小さい女の子に教えてもらうのはなんだか変な気分だが、鍛冶を習うのは楽しかった。,Being taught by a girl much shorter than myself felt somewhat strange; but learning blacksmithing was fun.
そして・・・。,And then...
まったく、すっかり入り浸るようになっちまったな。無敗のルーキー♪\nもう宿屋に泊ってる日より、\nここに泊ってる日の方が多いんじゃねえか？,Geez; you've really become a regular here; undefeated rookie~♪ You're staying here more days than you're staying at the inn; aren't you?
鍛冶をしたり、うちのマスターとカードについて話したり、\nなかなかいいと思うけどよ。\nその代わりといっちゃなんだが・・・。,Doing blacksmithing; talking about cards with my master... Honestly I think it's pretty great. But in exchange...
すっかりあたしのおっぱいに弱くなっちまったな❤\nすぐ勃起させて、我慢ならねえような顔しやがって。\nほら、鍛冶をしたあとで汗ばんでるけど、またパイズリしてやるよ❤,You've become completely weak to my tits~❤ You get hard right away; making a face like you can't stand it. Here; I know you're sweaty from blacksmithing; but how 'bout I give you another titjob?❤
こんなにおっぱいに弱くちゃ、\nサキュバスとか女マスターと戦うとき苦労するだろ？\nえ？闘技場でも前より勝てなくなった？,If you're this weak to breasts; you'll have trouble fighting succubi or female masters; won't you? Eh? You aren't winning as much in the arena as before?
たく、それならやめときゃいいのに。\nま、あたしとしちゃ、あんたがしょっちゅう来てくれるのは、\nわりとうれしいからいいんだけどよ❤,Jeez; you should just quit then. As far as I'm concerned; I'm pretty happy that you come here as often as you do!❤
おっと、わりぃな、挟んだまま放っておいたら、\n生殺しみたいになってたまらねえよな。\nほら、動かしてやるぜ❤,Oops; sorry about that. Leaving you trapped like this is basically torture; huh? Here; I'll start moving~❤
あたしのおっぱいの虜になっちまったこのチンポ、\nどうせすぐイっちまうんだろ？\nあは、すげぇ声で喘ぎやがって、ほんとパイズリにはまっちまったな❤,Your cock's gotten so obsessed with my chest; you'll probably cum right away anyway; right? Aha; you're moaning with such a cute voice. You've really gotten totally addicted to titjobs!❤
ま、女に勝てなくても、\nマスターとして生きてく道はいくらでもあるさ。\nあたしらと楽しく自由にやっていこうぜ。,Well; even if you can't beat women; there are plenty of ways to live as a cardmaster. Let's just live free and have fun together forever.
ほら、出しな❤谷間をぎゅううって締めてやるからよ、\nおっぱいに全部吐き出しちまいな❤,Come on; cum~❤ I'll squeeze my cleavage tight; so shoot everything you have into my chest~❤
カードが召喚できない時間はまたあたしと鍛治打ちしようぜ。\n激しく上下にゆさぶってから・・・・\nほら、ぎゅううぅってな❤,Once you can't summon any cards; let's do blacksmithing together again. I'll shake my tits up and down nice and hard; and... Here I go! Tight squeeze~❤
はひぃっ・・・❤❤❤,Hahhh...❤❤❤
こうして僕はすっかりジェミニさんの家に入り浸るようになり、{自分}と一緒に過ごして鍛冶をしたり、ジェミニさんと一緒に女性型の敵がからまないクエストを一緒にこなすようになった。,And so I became a regular at Gemini's house; spending time with {自分} blacksmithing; and completing quests together with Gemini that didn't involve female-type enemies.
胸の大きい女性にはすっかり弱くなってしまったが、普通の魔物相手にはむしろ前よりもうまく戦えるようになった。どうも鍛冶を通して以前より観察眼が増したからではないかと、ジェミニさんは言っていた。,I had become completely weak to women with large breasts; but against regular monsters I could actually fight better than before. Gemini said it was probably because my observational skills had improved through blacksmithing.
僕の師匠からは少し呆れられたが、これもひとつの人生よねと言って、師匠は僕をジェミニさんに任せることにしたようだ。僕は西の村の守護者の頼れる補佐官として、その後の人生を過ごすことになる。,My master was a bit exasperated with me at first; but she just shrugged; saying; "there's more than one way to live life;" and permited me to stay with Gemini. From then on; I spent the rest of my life as a reliable assistant to the guardian of the western village.
主人公のそばには、いつも{自分}がいて、和気あいあいと二人で話していたという。その後彼らが鉱山地帯に出現したゴーレムたちと戦ったり、鉱山を開発し業物の武器を作ったりするのは、また別の物語である。,And so the protagonist went on with his life with {自分} always by his side. They happily kept each other company; fought grand battles against golems that appeared in the mining areas; developed mines of their own; and created masterwork weapons. But that’s a story for another time.
谷間にかけていいとは言ったが、はは、すげぇ量だな❤\n今が勝負の最中とかそんなこと全部頭からすっ飛んで、\n敵にエナジー貢ぎやがって。このおっぱいマゾ❤,I know I said you could cum on my cleavage; but haha; that load was huge!❤ You totally forgot we're mid-battle and gave all your energy to the enemy. What a tit-masochist❤
もうこんだけ負けたら勝負も何もねえな。\nおら、全員さっさとしこれよ❤\nこの谷間でどんどん搾り取ってやるぜ❤,After losing so many allies; there's not much point in continuing the match. Come on; everyone! Might as well start stroking yourselves now!❤ I'll use my cleavage to drain every last drop!❤
あはは、ほんとにシコって射精しちまった❤\n胸を揺らすだけで無敗のルーキーに勝てるなんてな❤\n闘技場のときよりおっぱいに弱くなってんじゃねえか？,Ahaha; you really jerked yourself off until you came!❤ Who knew I could beat the undefeated rookie just by bouncing my tits a little?❤ You've gotten a lot weaker to breasts than you were during the arena match; huh?
