default
ツインスネイク,Twinsnake
あん❤凄い量の精液が出た❤あたしの谷間、ドロドロじゃん…❤,Ahh~❤ You came so much~❤ My cleavage is all sticky now...❤
おっぱい見ている隙に逆転されるとか、そろいもそろってみっともなさすぎっしょ。それじゃもらったエナジーで次の獲物もいただきまーす❤,Letting yourselves get counterattacked while you're staring at my breasts is just pathetic; all of you. Now; with the energy you gave me; I'll claim my next prey; too~❤
おっぱいに夢中になってする自滅オナニー気持ち良かった？\nくすくす❤敵に自分から負けに行くとか、ほんとバカみたい❤,Did you enjoy your self-destructive masturbation while being obsessed with breasts? Kuhuhu~❤ It's really stupid to go and lose to the enemy on your own; don't you think?❤
あたしのふとももに挟まれて我慢できなかったんだ❤\nむっちり太もも最高だったっしょ？くすくす❤,You couldn't hold back once you were trapped between my thighs; could you? My plump thighs were the best; huh? Kuhuhu~❤
あたしにパイズリされて我慢できるはずないっしょ❤精液ごちそうさま❤\nくすくす❤,You can't hold back while your getting a titjob from me.❤ Thanks for the semen~❤ Kuhuhu~❤
決着ー！！勝者はパトラ選手！\n下級モンスターで期待のルーキーを仕留めてしまいました！,The match is over! The winner is of this fight is Patra! She took down the promising rookie; and with a low-level monster no less!
これが実力の差か！ここまで連勝でコマを進めてきましたが、\nDランクの壁もそう薄くはないようだ！\nおおっと、負けたルーキーの側に下級モンスターが近づいていきます！,Is the gap in skill between them truly so great? Our rookie has been advancing quickly with back-to-back wins; but it seems the D-rank wall isn't so easy to break! Oh no; Patra's low-level monster is approaching the defeated rookie!
ねえパトラ、こいつ食べちゃっていい？\nバトルしたらお腹すいちゃった。,Hey Patra; can I eat this one? I'm hungry after the battle.
さっき精液もらったときも雑魚のわりにいい魔力してたしさ、\nあたしのご飯にしたいなー。,The semen he gave me earlier had some decent magical power for a weakling; so I want to make him my meal.
頭からかぶっと丸のみにしてぇ、ぜーんぶあたしの栄養に変えるの❤\nふふ、アンタも食べられたいよねー❤,I want to gulp him down; headfirst; and turn him into nourishment.❤ Fufu; you want to be eaten too; don't you?❤
ひ、ひぃ・・・。,A-ahh...!
こら、怖がっているじゃない。人間を丸のみにするなんてダメよ。,Hey; you're scaring him. You can't just swallow a person whole!
でもま、エナジーを搾り取るのはいいわよね。お客さんもきっと\n期待のルーキー君がぼろぼろにされるとこ、見たいと思うし・・・♪,But... well; draining energy is fine; right? I'm sure the audience would love to see the promising rookie get beaten down...♪
おおっと、パトラ選手、{主人公}選手への追撃をツインスネイクに命令した！\nすでに満身創痍の{主人公}選手、これは逃げられない！\nあっという間に組み伏せられてしまいます！,Whoa; Patra has ordered Twinsnake to chase down {主人公}! {主人公}; already battered and bruised from their fight earlier; can't possibly escape this! He'll be pinned down in no time!
にひひ❤\n丸のみはダメって言われたから、\n代わりにおっぱいで死ぬほど搾ったげるね❤,Nehehe~❤ Since I was told not to swallow you whole; I'll just squeeze you to death with my breasts instead; okay?❤
あ、あううっ・・・❤,Ah; aah...❤
あは、さっきまで怖がってたくせに、おっぱいに挟まれた途端それかよ❤\n現金すぎっしょ❤,Aha; you were so scared just a moment ago; but the moment you got caught between my breasts; you ended up reacting like this! You're so easy to read~❤
そんな媚びたような目しなくてもすぐイかせてやるよ❤マーゾ❤,You don't need to look at me with those pleading eyes; I'll happily make you come right away; you masochist!❤
あひぃっ、ううっ❤,Ahh; ohh...❤
気持ちいいっしょ？あたしのおっぱい❤\nふとももだけがあたしの武器じゃないんだよ？,Don't my breasts feel amazing?❤ Did you think my thighs were my only weapon?
気持ちいいっしょ？あたしのおっぱい❤\nあんたが負けたおっぱいだよ？,Don't my breasts feel amazing?❤ They're the reason you lost after all; aren't they?
とってもムチムチしてて、抜群の弾力で、\nチンポをぎゅっと押しつぶしちゃう❤\nアンタのチンポも完全に押しつぶされちゃって見えないね？,They're really plump and bouncy; and they're firm enough to crush your penis nice and tight~❤ They're squeezing your cock so tight you can't even see it; can you?
チンポ全部ズリズリされるのどう？\n気持ちいい？骨抜きになる？,How does it feel to have your entire cock squeezed all at once? Doesn't it feel amazing? Aren't you just about to melt completely?
あうう・・・❤きもちいい・・・❤,Aah...❤ It feels so good...❤
ぷ、そっか、気持ちいいんだね❤\nほんとさっきまで食べられるの怖がってたとは思えない…❤,Mmm; you're feeling good; aren't you?❤ It's hard to believe you were scared of being eaten just a moment ago...❤
男ってさぁ、脳みそバグっているよね。\nどんだけ嫌な女でも、おっぱいでチンポ挟まれるだけですぐにメロメロ❤\n射精するためなら「食べられても」いいってすら考えちゃう❤,Men's brains are just broken; aren't they? No matter how much they hate a woman; they get all mushy just from having their penis squeezed between her breasts.❤ They'd even let themselves get eaten if it means they get to cum~❤
子供を残すわけでもない、おっぱい無駄打ちに命かけちゃってさ、\nバカなんじゃないの？アンタももうおっぱいにメロメロじゃん❤\n強いカードマスターって言ったってほかの男と変わらないね❤,It's not like you're trying to have children. You're risking your life for a pointless session with my breasts. Isn't that pretty stupid? You're already head-over-heels for my boobs; aren't you?❤ Even if they call you a powerful cardmaster; you're no different from any other man; huh?❤
うりうりうり❤そんな雑魚はさっさとイかせてあげる❤\nカードを使うための魔力、干からびる寸前まで搾り取ってあげる❤,Rub rub rub~❤ I'll make a weakling like you come in an instant.❤ All that magical you need to play your cards; I'll squeeze it out of you until you're all dried up~❤
戦ってペコペコになった分のお腹、\nアンタのエナジーで全部埋めてもらうから❤\n搾り取ってもらえることに感謝しな？雑魚マスター❤,Having to fight you was really draining; so I'll fill back up with your energy~❤ You should be grateful I'm draining you like this; got it? You weak master~❤
あっ、ああっ、もうっ❤,Ah; ah... It's too much...❤
はいはい。イクんでしょ？\nチンポこれだけビクビクさせてりゃ言わなくても分かるっての❤,That's it; come on. You're going to cum; right? You don't have to say anything. With how much your cock is twitching; it's pretty obvious~❤
腰もぐいって突き出しちゃって、少しでも奥に出したいって本能？\nおっぱいの奥に射精したって子供はできないよ？\n童貞だから分からないのかなー❤,You're thrusting your hips so hard; like it's instinct to cum as deep as you can. You do know that you won't make a baby no matter how deep you finish; right? Actually; maybe a virgin like you doesn't know that~❤
そんだけ突き出しても先っぽすらおっぱいから出れないし❤\nほら、早漏ザコチンポの先っぽ、おっぱいでもみくちゃにしてやるよ❤,Even with you thrusting that much; the tip can't even escape from the top of my breasts.❤ Here; I'll knead the tip of your pathetic; premature cock with my boobs!❤
あたしにエナジー出しな❤\n３、２、１・・・❤\nイケ、マーゾ❤,Surrender your energy to me~❤ 3; 2; 1...❤ Cum; slave~❤
あひぃっ・・・❤,Ahh...❤
あは、何終わったみたいな顔しているの？\nまだこれからが本番だよ。,Aha; what's with that face? Do you think it's over? The real show is just beginning!
休憩なんてさせないから。イってもやめてなんてあげない♪\n蛇って貪欲なんだよ❤\n死んじゃう一歩手前まで魔力食べつくしてあげる❤,I won't let you take a break. Even if you reach your limit; I won't let you stop~♪ Snakes are greedy!❤ I'll devour your magical power until you're on the brink of death~❤
ああ、そうそう。あんまりおっぱいでイキ癖つけすぎちゃうとさ、\nそのあとの戦いでもチンポ弱くなっちゃう男って多いんだって。\nアンタもそうなっちゃうかな？我慢しないと大変だねー。,Ah; I guess I should warn you. When my breasts force a guy to cum over and over like this; many of them end up with weaker cocks in battles later. Do you think that'll happen to you; too? You better hold back; or things might get tough for you; don't you think?
あう、あうう・・・❤,Ah; ahh...❤
そうだ、徹底的にイかせるために、カリ首のところあたしの蛇を使って舐めてあげるね❤パイズリだけでも悶えちゃうのに、敏感なカリをチロチロされたらどうなっちゃうんだろうね❤,I know; I'll use my snakes to tease the tip of your cock and make you cum a lot~❤ Just a titjob already has you moaning; but what do you think will happen if I lick your sensitive tip?❤
あは、チンポ跳ねてるし❤\nされるところ想像したんでしょ？このスケベ❤,Aha; your cock just twitched!❤ You just imagined it; didn't you? You pervert~❤
ほらほらほら、実際にやったげるよ❤\n想像した気持ちよさと比べてどう？\nあんたの想像、ちゃんと合ってた？,Alright; look. Here I go. I'll start now!❤ How does it compare to the pleasure you imagined? Does it feel the way you thought it would?
違うよね。イったばかりの敏感チンポ、蛇舌で責められたことなんてないもんね❤想像よりもずっとえげつない気持ちよさ。腰の奥までしびれて、体中が痙攣しちゃうぐらいのつよーい快感はどうですかー❤きゃはは❤,It doesn't; does it? You've never had your sensitive cock teased by a snake-like tongue right after cumming; have you?❤ It's way more intense than you could have ever imagined. How does it feel to have mind-numbing pleasure rushing all the way to the depths of your waist making your whole body tremble?❤ Kyahaha~❤
マゾチンポが耐えるのなんてぜったい無理❤カリ首なめられて、おっぱいで全部ズられてさ、ほら速攻射精しちゃえよ❤チンポ膨らんで、限界でしょ？,There's absolutely no way a masochistic cock like yours can endure this~❤ Having your cockhead licked; your entire shaft rubbed with my breasts... Hurry up and cum already!❤ Your throbbing cock is at its limit; isn't it?
亀頭に集まった精液、カリをぺろぺろして吹き出させてあげる❤３、２、１・・・❤どびゅどびゅー❤きゃははは❤,I'll lick around your ridge and help all that gathered semen in your tip burst out.❤ 3; 2; 1...❤ Splurt splurt~❤ Kyahahaha~❤
あ、あぐああっ❤あひぃっあ❤,Ah; aaahh!❤ Ahiiia!❤
あーおいしかった❤\nマゾをいじめて搾りだすエナジーって最高だよね❤\nこいつチンポ弱いくせに味はなかなかいいし♪,Mmm; that was delicious~❤ Energy squeezed from tormenting a masochist is simply the best; you know?❤ Despite having such a weak cock; this guy's flavor is actually pretty good~♪
んじゃ、バイバイー❤\nまた試合であったら、エナジーごちそうしてね❤\nんっちゅ❤,Well then; bye-bye!❤ When we meet in another match; treat me to your energy again; okay?❤ Mwah~❤
カラカラになるまで搾り取られた僕は、その後闘技場の医務室で目を覚ました。医療スタッフの話によると僕は寝ている間も体をビクビクと震わせ、うなされていたらしい。,After being drained completely dry; I woke up in the arena's infirmary. According to the medical staff; I had apparently been twitching and moaning in my sleep.
今も腰のあたりがジンジンとしびれているような気がする。強すぎる快感が残って、まるでうずいているようだ。,Even now; I feel a tingling sensation around my waist. The excessive pleasure lingers; almost like a throbbing ache.
「イキぐせが付く」なんてあのモンスターは言っていたけれど、そんなこと・・・。きっと大丈夫、心を入れ替えて次の試合から頑張れば、勝てないことはないはず・・・。,That monster said something about "getting addicted to cumming"... but surely that can't be true... I'll be fine. I just need to refocus and try harder for the next match. If I do that; there's no reason I can't win...
ふふ、あなた前回はこの子に負けたわよね。\nいきなさい、ツインスネイクを召喚！,Fufu; you lost to this little one last time; didn't you? Go; I summon Twinsnake!
あは、またあったねー。\nわたしのマスターにアンタが勝てるわけないじゃん❤\nほら、見てよ❤,Ah; we meet again. There's no way you can beat my master; right?❤ Look; look!❤
アンタがイきまくったわたしのおっぱい❤\nここでむぎゅーって挟んでゆさゆさ♪\nあの時最高だったでしょ？,These are the breasts that made you cum so much~❤ I squeezed you tightly between them and shook them so much~♪ Wasn't that just the best?
うっ、ううっ・・・・❤,Uuhh; oooh...❤
あは、速攻勃起してるし❤\nんじゃ、服の上からおっぱいを押し当ててっと❤,Aha; you're already getting hard!❤ Well then; I'll just press my breasts against you through your clothes~❤
ほら、イケ❤イケ❤射精しろ、ざーこ❤,Come on; cum~❤ Cum~❤ Let it all out; you loser~❤
あっ、あっ、そんなっ❤はひぃっ・・・❤,Ah; ah; if you do that...❤ Ahh...❤
きゃはは、試合始まってまだ１分経ってないんだけど？\nズボン越しにおっぱい押し当てただけ❤\nこんな刺激で射精するとか、もうチンポダメになっちゃってるね❤,Kyahaha; the match only started less than a minute ago; didn't it? All I did was press my breasts against you through your pants.❤ To finish from that little stimulation; your dick is already done for; isn't it?❤
アンタは一生あたしに勝てない❤\nほら、干からびるまでまた搾り取ってあげる・・・❤,You'll never be able to beat me now.❤ Look; I'll milk you again until you're all dried up...❤
ツインスネイクに刻み付けられた快楽は、僕を徹底的に弱くし、どれだけ強い意志で再戦しても彼女に全く歯が立たなくなってしまった。,The pleasure etched into me by the Twinsnake weakened me so thoroughly I became completely powerless against her; no matter how strong my resolve to fight.
他の女モンスターと戦うときも、その時の快感がフラッシュバックし、あっという間に魔力を搾り取られてしまう。僕は女モンスターに勝てない体になってしまったのだ。,Even when I fight other female monsters; the pleasure from that moment flashes back; and before I know it; my magical power is being drained away. My body just can't win against female monsters.
その後、僕は闘技場でまともな戦績をあげることもできず、上のランクを目指すことはできなかった。こうして蛇の女の子に人生を狂わされ、僕の冒険は幕を閉じたのだった。,After that; I couldn't make any headway in the arena; so I couldn't even aim for a higher rank. And so; my life was turned upside down by the snake girl; and my adventure came to an end.
んふ、エナジーおいしい❤\nこんだけおいしいんだもん、\n街中とかじゃなければ丸呑みしたかったな～。ざんねーん。,Mmm; your energy is delicious~❤ It's so tasty; if we weren't in the middle of the city; I'd be tempted to swallow you whole. What a shame.
このまま谷間にびゅー❤って射精しちゃえば？負けになるけど、きもちいーいよ❤,Why not pour your semen into my cleavage? You'd lose; but it would feel so good!❤
