default
カクテルフェアリー・グレープ,Cocktail Fairy - Grape
幸せしこしこ、とってもよかったでしょ❤\n今度戦うときもまたしてあげる❤\nだからまた自分から負けてね❤くすくす❤,I'm glad you enjoyed it so much.❤ I'll do it again the next time we fight...❤ So make sure to lose on purpose again.❤ Giggle~❤
あん、おっぱいで射精してる❤\nパイズリされておちんちん負けちゃったね。くすくす❤,Mmm; you're cumming all over my breasts.❤ Your cock never had a chance against my boobs; did it? Giggle~❤
あは❤お耳を責めているだけで勝手に射精しちゃった❤\nわたしみたいな小さい子に耳をちょっといじめられただけで負けるなんて、\n弱すぎるんじゃない？くすくす❤,Ah~❤ You came just from me whispering in your ear.❤ Losing to a tiny girl like me just because I teased you a bit... You're way too weak; don't you think? Giggle~❤
ミレーヌさんが使う小さなフェアリーモンスターに敗れた僕は、闘技場の地面に膝をついてうずくまっていた。,Defeated by Mylene's small fairy monster; I collapsed to my knees on the arena floor.
決着ー！！勝者はミレーヌ選手！,It's settled! The winner is Mylene!
妖精モンスターに翻弄され、\n期待のルーキーはあえなく撃沈！\nDランクマスターたち相手に、連勝は難しかったか！,The promising rookie was mercilessly toyed with and swiftly sunk by the fairy monster! It looks like his winning streak was just too difficult to maintain against D-rank masters!
うふふ❤わたしみたいな小さなモンスターに翻弄されて、\nかわいいルーキーね❤,Ufufu.❤ Being toyed with by a small monster like me... You're such a cute little rookie.❤
ねー、マスター、いつもの魔法をかけて？\nこの子をもっとからかってあげたいの❤,Hey; Master; can you cast your usual spell? I want to tease this cutie even more.❤
あんまりいじめちゃかわいそうだけれど、\nルーキーくん自身なんだかもっとしてほしそうな顔してるわね❤,It's a little cruel to tease you; Mister Rookie; but you look like you actually want more; huh?❤
ふふ、それならたっぷり搾り取らせてもらいましょうか❤,Fufu; in that case... I'll just squeeze out everything you have; shall I?❤
その場所から動いちゃダメよ。\n＜ミニマムマジック＞を発動！,Don't move from that spot. Casting <Minimum Magic>!
ふふ、見上げるほどわたしが大きくなって驚いちゃった？\n実際はあなたが蟻みたいに小さくなっているのよ。,Fufu; are you surprised to see me towering over you? You've been shrunk down to the size of an ant.
詠唱に時間がかかるからあまり使えない魔法なのだけれど、\n射精して無防備なあなたには簡単に術がかけられるわね❤,This spell usually takes too long to cast; so I don't use it often; but since you're defenseless after cumming; it was easy to cast on you.❤
それじゃあ、そこの小さいルーキーくんを、\nたっぷり可愛がってあげなさい❤,Alright; make sure to spoil that tiny rookie thoroughly.❤
はーい❤それじゃあさっそく、おっぱいの中にご招待❤\nつまみあげて谷間に入れてあげるねー❤,Okay~❤ Now then; let me invite you into my breasts.❤ I'll pick you up and place you right into my cleavage.❤
おっぱいでむにむにむに～❤,Smother you all over with my soft; squishy breasts~❤
あひ、あっ、全身挟まれてっ、\nあひぃっ、やわらかいっ❤ああっ❤,Ah... My entire body is getting squeezed between them... Oh; so soft.❤ Ahh!❤
くすくす❤いい声を出してくれて楽しい♪\n体ごとおっぱいで擦ってもらった経験なんてないでしょ？,Giggle~❤ Your moans sound so nice~♪ You've never experienced your whole body being smothered in a pair of breasts before; have you?
わたしよりずっと大きかったのに、今じゃサイズは逆転。\nあなたはわたしの谷間の中で、\n大きなおっぱいに溺れそうになってる❤,Even though you were so much bigger than me; now the sizes have reversed. You're drowning in my massive cleavage.❤
ほらほらほら❤\nこうやって体ごとおちんちんもズリズリしてあげたらどう？\nびっくりするぐらい気持ちいいでしょ❤,Look at these wonderful tits smothering you.❤ How about I rub your entire body and cock like this? It feels unbelievably good; doesn’t it?❤
やわらかいおっぱいが腰を全部包んで、\nむにむにむに❤って幸せな感触でいっぱいになっちゃう❤\nおちんちんメロメロにされちゃうね❤,My soft breasts are completely enveloping your hips; rubbing and squishing all around.❤ You're being filled with an overwhelming feeling of happiness.❤ Your cock is becoming absolutely entranced.❤
はひぃっ、とけるっ、ああっ❤,Ahh... I’m melting... Ahh~❤
くすくす❤全身でビクンビクンって反応してる❤\nそれだけ体をくねらせても、おっぱいから抜け出せないんだよ。\nそれどころかずぶずぶもっと深くはまっていっちゃう❤,Giggle~❤ Your whole body is twitching so adorably.❤ No matter how much you squirm; you can't escape from my breasts... In fact; you're just slipping deeper and deeper into them.❤
あなたの手の平ぐらいの大きさの妖精に、\nこんな風にもてあそばれるのはどんな気分？\n悔しい？恥ずかしい？,How does it feel to be toyed with like this by a fairy who’s only the size of your palm? Is it frustrating? Embarrassing?
それともおもちゃみたいに扱われてむしろ興奮しちゃう？\nあは、ちっちゃいおちんちんがびくびく震えて反応してる❤\nやっぱり興奮するんだ❤マゾなんだね❤,Or does being treated like a toy actually turn you on? Ah; your tiny cock is trembling and reacting.❤ So you’re getting excited after all.❤ You’re such a masochist; aren’t you?❤
うひぃっ❤❤やわらかくてぇ❤はぅうっ・・・❤もうっ❤,Ahh!❤ So soft and...❤ Huff...❤ I can’t take it...❤
くすくす❤もう出ちゃうの？\nマゾって言われてイキそうになるなんて、ヘンタイ❤\n2回目なのに簡単にイかされちゃうんだね❤,Giggle~❤ Are you about to cum already? Getting close just from being called a masochist... What a pervert.❤ Even though it's your second time; you're gonna cum super easy; aren't you?❤
出すなら出していいわよ❤\nほらほらほら❤とどめに激しくズリズリしてあげる❤,Just let it out if you need to.❤ I'm overwhelming you with my boobs~❤ Here comes the final rub... I'll squeeze you so intensely.❤
あひぃ、はへぇ・・・❤❤きもちいいっ、あうう・・・❤❤,Ahh... Haa...❤ It feels so good; ohh...❤❤
んふ❤ちっちゃいおちんちんから、たくさんどろどろ出てる❤\n精液の量も小さくなっちゃってるけど、その分魔力が濃縮されてて、\nすっごくおいしい♪,Mmhmhm~❤ So much thick cum is pouring out from your tiny cock.❤ The amount might have shrunk; but the magic power is concentrated; making it so delicious.♪
この味すごく好きだから、ほらもっと食べさせて❤,I love this taste so much; so give me more to savor!❤
ストローをつかってお酒を一滴垂らしてあげるね♪\n肌がぬるぬるになってもっと気持ちいいよ❤,I'll use a straw to drip some alcohol onto your skin~♪ It’ll make everything even slipperier and feel so much better.❤
ぬるぬるの妖精おっぱい、たっぷり楽しんで、\n限界まで魔力を出そうね❤くすくすくす❤,Enjoy my slippery fairy breasts to the fullest; while I extract every last drop of your magical energy.❤ Ahahaha~!❤
{自分}にミニマムの術が溶けるまでたっぷり搾り取られた僕は、谷間から解放されたあと元の体の大きさに戻り、魔力の出し過ぎでそのまま気絶してしまった。,After being thoroughly drained until the Minimum spell wore off; I was released from {自分}'s cleavage. Once my body returned to its original size; I passed out from expending too much magical energy.
目を覚ますとそこは闘技場の医務室のベッドの上だった。下級のサキュバスにだって勝てたのに、あんな小さなモンスターに負けてしまったのだ。僕は悔しさを感じていた。,When I eventually woke up; I found myself on a bed in the arena's infirmary. Even though I had managed to defeat lower-level succubi; I ended up losing to such a tiny monster. I felt a deep sense of frustration.
だがそれと同時に、彼女にされたパイズリの気持ちよさも思い出していた。体中をやわらかいおっぱいでもみくちゃにされて、まるで天国の様な快感で、あんな経験は生まれてはじめてだった。,But at the same time; I also remembered the incredible pleasure of her paizuri. Being smothered by her soft breasts all over my body felt like heaven; it was an experience like no other.
うう・・・❤,Uuu...❤
あまりにも濃密な敗北の記憶で、思わず股間が膨らんできてしまう。こんな心構えじゃだめだ、ちゃんと次の試合に向けて切り替えていかないと・・・。,The memory of that intense defeat was so vivid that I couldn't help but get aroused. I knew I couldn't let myself be distracted like this; I had to focus and prepare for the next match...
それからしばらくして。,Some time later.
うふふ、再戦の申し込みをありがとう❤\nあなたとまた戦えてうれしいわ❤,Ufufu; thank you for requesting a rematch.❤ I'm so happy to fight you again.❤
あなた相手なら勝利は約束されたようなものだしね❤\nくすくす♪,With you as my opponent; victory is practically guaranteed.❤ Giggle~♪
ふ、ふざけないでください。僕は簡単には負け・・・,H-Hey; don’t joke around. I won’t lose so easily... 
あーん、こっち見てぇ❤\nわたしのおっぱい❤,Ahh~ Look over here for a second~❤ My breasts are right here.❤
キミを気持ちよくしちゃった妖精おっぱいだよー❤\n今日もこのおっぱいでズリズリされたいよねぇ❤あはーん❤,These are the fairy breasts that made you feel so good last time~❤ You want to be rubbed by them again today; don’t you? Ahaha~❤
ううっ・・・・❤❤,Ugh...❤
はーい、隙ありね❤\n＜ミニマムマジック＞を発動！,Mm-hmm; you're wide open~❤ Casting <Minimum Magic>!
うあ、しまった、ああ・・・！,Uwa; damn it! Aah...!
くすくす❤棒立ちになっちゃってかわいい❤\n試合中なのに、フェアリーちゃんのおっぱいに見とれちゃうんだもの。\nまだまだ修行が足りないわね❤,Giggle~❤ You’re standing there so adorably stiff.❤ Even during a match; you still get mesmerized by fairy boobs. You’ve got a long way to go in your training; huh?❤
それじゃあ、今日もおっぱいにご招待してあげるね❤\n妖精よりもちっちゃくなっちゃったルーキーくんをつまみあげて…❤,Alright then; let's invite you into my breasts again today.❤ I’ll pick up the tiny rookie who’s even smaller than a fairy...❤
ずりずりタイム、スタート❤\nほらほら、ずりずりずり～♪,Time for some rubbing action to start.❤ Look at this intense rubbing... slide; slide; slide~♪
はひぃっ❤だめなのにっ、あっ、あっ、こんあの無理っ❤❤\n勝てないっ、きもちよすぎてっ、あひぃっ❤,Ah~❤ Even though I shouldn't... ah; this is too much...❤ I can't win; it feels too good... ahh!❤
その後、僕は何度試合を挑んでも{自分プレイヤー}さんに勝てなくなってしまった。{自分}を召喚されるだけで彼女の小さな体に見とれてしまい、その隙に一方的に攻められてしまう。,After that; no matter how many times I challenged Mylene to a match; I couldn't win. Just seeing Grape getting summoned with that small body mesmerized me; leaving an opening for Mylene to attack freely.
彼女たちの攻めは多彩で、ミニマムマジックで体を小さくされることもあれば、見とれている間にモンスターを大量召喚されてフェアリーに囲まれたり、ミレーヌさんのぱふぱふと{自分}のコンビネーションで果てさせられることもあった。,Their attacks were varied; sometimes they'd shrink my body with Minimum Magic; other times I'd get surrounded by a swarm of monsters summoned while I was mesmerized. There were even times when I was brought to climax by the combination of Mylene's paizuri and magic.
ランクポイントを楽に稼げるからか、ミレーヌさんは快く何度も試合を受けてくれる。そのたびに僕は軽くあしらわれ、何度も黒星を重ねてしまうのだった。,Mylene always happily accepted my match requests... Maybe because it was easy for her to earn rank points. She effortlessly defeated me every time; and I stacked up loss after loss.
次第にフェアリーに軽くなでられるだけで射精させられてしまうほど、僕は快感に弱くなってしまい、とてもＡランクを目指せるような状況ではなくなってしまった。,Gradually; I became so sensitive that even a light touch from a fairy would make me cum. I was no longer in any shape to aim for A-rank.
こうして小さな妖精の虜となった僕は、快楽に負け続け、その後もまともな戦績は上げられなかった。僕の冒険はフェアリーの虜になってその幕を閉じたのだった。,And so; having become enslaved by the tiny fairy's charms; I continued to lose to pleasure time and time again. I could never again achieve respectable match results. My adventure came to an end as I remained a captive of the fairy's allure.
くすくす❤\n前もオナニーで負けたのにまたしたくなっちゃったんだ❤\nすっかり癖になっちゃったわね❤,Giggle~❤ Even though you lost by masturbating before; here you are doing it again.❤ It must be a habit for you now~❤
おちんちん触るのでせいいっぱいだからすっごく無防備。\nあなたの耳に近づいても、\nぼっーとしながらおちんちん触るだけ❤,You’re so focused on touching your cock that you’re completely defenseless. Even if I whisper into your ear; you just stare blankly and continue touching yourself.❤
自分ひとりでするオナニーとは全然違う、頭の中がぽわぽわして、\nおちんちん扱くたびに体が幸せになっちゃう。不思議な気持ちよさ❤,It feels completely different from masturbating on your own; your mind goes all fuzzy; and each stroke of your cock fills your body with happiness. It's an extraordinary kind of pleasure.❤
幸せしこしこで何回も負けちゃうわね❤\n今度戦うときもまたしてあげる❤\nだからまた自分から負けてね❤くすくす❤,You end up losing every time from the blissful stroking.❤ Next time we battle; I’ll do it again for you.❤ So make sure to lose on purpose for me; alright?❤ Giggle~❤
