default
細工師ノーム,Craftmaker Gnome
わたしの舌でお兄さんのお口の中、遊びたおしてあげるね❤\nんっ、れるれろれろ・・・❤,I'll play with Mister's mouth using my tongue.❤ Mmph; *swirl* *lick*...❤
むぐ、あう、はうぅ❤はへぇっ❤❤,Gh-; uwaa; haah~❤ Haaaah~❤❤
きゃは、なになに～❤もしかしてキスだけでイっちゃったの？\nくすくす❤さっき射精したばっかりなのに、\nおちんちんよわーい❤,Kyaha; what is it~?❤ Did you cum just from being kissed? *Giggle*❤ You'd only just ejaculated; but your dick is still so weak.❤
膝をついてるのも難しいぐらい力抜けちゃって、\nとろーんとした顔で地面にはいつくばっちゃうね。\nかわいい～❤くすくす❤,You lost all your strength; couldn't even stay standing; and fell to the ground with a blissful look on your face. How cute~❤ *Giggle*❤
それじゃまた明日にでも会おうね～❤\nマスターの家まで来てくれれば、\nキスだけじゃなくてちゃんと続きをしてあげるよ❤,Well then; let's meet up tomorrow; okay~?❤ If you come to my master's house; I'll properly follow up and give you more than just a kiss.❤
こうして僕は闘技場で初めて敗北してしまった。ぼんやりした意識の中で、観客たちのジェミニさんの勝利を称える歓声と、僕のファンらしき人たちのがっかりした顔だけが記憶に残っている。,And so; I suffered my first defeat in the arena. Amidst my hazy consciousness; I only vaguely remember the crowd cheering for Gemini's victory and the disappointed looks on the faces of my fans.
キスの快感がしばらく抜けず、呆然としながら宿屋まで帰った。ベッドに腰を降ろし、少し落ち着いてから、ようやく悔しさがふつふつと湧いてきた。,The pleasure from the kiss lingered for a while; and I returned to the inn all dazed. After sitting down on my bed and calming down a bit; regret finally began welling up inside me.
あんな小さな女の子に手玉に取られて負けてしまったのだ。確かにキスは上手かったがそれにしても負けて射精させられるだなんて・・・。ううっ・・・❤,I got manhandled by a little girl and lost. Certainly; she was an amazing kisser; but still. Losing and being made to ejaculate... Ugh...❤
あんな小さな女の子に手玉に取られて負けてしまったのだ。キスがとびきり上手いあの子に一方的に弄ばれて、それで・・・。ううっ・・・❤,I got manhandled by a little girl and lost. That incredible kisser toyed with me so one-sidedly... Ugh...❤
あんな小さな女の子に手玉に取られて負けてしまったのだ。小さい手で弄ばれて、喘がされて、それで・・・。ううっ・・・❤,I got manhandled by a little girl and lost. She used her small hands to toy with me and make me moan; and then... Ugh...❤
あんな小さな女の子に手玉に取られて負けてしまったのだ。とろけるような口での奉仕に腰砕けにされて、それで・・・。ううっ・・・❤,I got manhandled by a little girl and lost. Her mouth was so soft that my legs gave out beneath me; and then... Ugh...❤
今度戦うときはジェミニさんに勝ってみせる。何より{自分}に勝ってみせる。そう僕は心に誓ったのだった。,Next time we fought; I would beat Gemini. And more importantly; I would beat {自分}. That was the vow I made.
次の日,The next day
僕は地図を頼りに、ジェミニさんの家に向かっていた。この地図は試合の後、「ここに来たら"お礼"をしてあげる」と手渡されたものだ。,Gemini gave me a map after the match; saying; "Come over sometime; and I'll give you a proper 'thank you'~"; so I followed it to her house.
当然、「お礼」をもらいに行くわけではない。僕は彼女に再戦を申し込み、リベンジを果たすために彼女の家に向かっていた。,Naturally; I wasn't there to receive her "gratitude". I planned to challenge her to a rematch; and was heading to her house to get my revenge.
（よし、今日は負けないぞ・・・！）,(Alright; I won't lose this time...!)
家の前にたどり着くと、そこには「ジェミニ鍛冶工房」という看板がかかっていた。どうやらジェミニさんは西の村から仕入れた鉱石を使って、アクセサリーや武器防具を扱うお店をやっているらしい。,When I arrived in front of the house; there was a sign that read "Gemini's Blacksmith Workshop". It seemed Miss Gemini was running a shop that sold accessories; weapons; and ore procured from West Town.
ありゃ、お客さん？って、あ、昨日のマスターくんじゃん。,Hm; a customer? Ah; if it isn't the master from yesterday.
おはよー。\nこんな朝早くから昨日の「続き」をしてもらいに来たの？\nそんなにわたしのこと忘れられなかったんだ❤,Top of the morning to you~* Did you come this early in the morning to "follow up" from yesterday? So you were thinking that much about me.❤
え？違う？再戦を申し込みに来たって？\nふーん・・・❤ま、いいけど、でも勝負になるのかなぁ❤\nなんだかもうズボンのところ膨らんじゃってるみたいだけど❤,Eh? You didn't? You're here to challenge me to a rematch? Oh~?❤ Well; that's fine. But I wonder if it'll even be a fight.❤ It looks like your pants are already bulging.❤
マスターを呼んできてもいいけど、\nそうだ、わたし一人で戦ってあげる❤\nわたしに勝てたら、マスターと再戦ね。それでいい？,We can go get Master if you want; but... I know! I'll fight you myself.❤ If you beat me; then you can challenge Master to a rematch. How about that?❤
え？バカにするなって？\nモンスター１人になんて負けないって？,Eh? Don't make fun of you? How could you possibly lose to just one monster?
くすくす❤そんなこと言って、バカにされてうれしいんじゃない？\nマスターくん、だいぶマゾっぽいし❤,*Giggle*❤ You say that; but don't you actually enjoy getting made fun of? You seem like quite the masochist.❤
ほら、バトルバトル❤\n10秒待ってあげる。カードを構えていいよー❤,Come on; let's battle already.❤ I'll wait ten seconds so you can get your cards out~❤
はう、あうぅうっ・・・・❤❤,Haa; aaaah...❤
くすくす❤やっぱりこうなったね❤\nマスターくん、モンスター1人になんて負けないんじゃなかったの？\nあむっ、ちゅぱ、れるえろ♪,*Giggle*❤ Of course; right?❤ I thought you wouldn't lose to just one monster? Omph; *kiss*; *swirl*♪
ううっ、だって、気持ちよすぎてぇ・・・❤❤,Uu; after all; it feels so good...❤❤
彼女との勝負が始まってすぐ、僕はカードを発動させようとした。しかし、彼女はそんな僕をにんまりとした顔で見つめると、自分の口の前で指を輪っかにし、手をしこしこと動かして見せつけてきたのだ。,The moment our match started; I tried to play a card. But then she smiled; held her fingers in a circle over her mouth; and started doing some pretend movements.
輪っかに向かっていやらしく舌を伸ばし、ちろちろと動かすその動きを見せられて、僕は数秒の間釘付けになてしまった。その瞬間彼女に接近されて、ペニスを両手でわしづかみにされてしまった。,She stuck her tongue out through the circle and swirled it around; distracting me for a few seconds. In that moment; she came up to me and grabbed my penis in both hands.
あとはもうなにもできない。ただ手をもみもみと動かされるだけで、腰がくだけてしまうぐらい気持ちよくて、あれよあれよという間にズボンを脱がされ、先端を口でくわえられてしまったのだった。,There was nothing I could do. The hands alone; massaging and kneading my dick; felt so good that my waist near-instantly gave out. Before I knew it; my pants were off and she'd inserted the tip of my penis inside her mouth.
んっ、ちゅぷ、ちゅぱ❤\nわたしの小さい唇、気持ちいい？\nちゅうーって吸い付いてきて、締め付けがすごいでしょ❤,Mmph; *kiss*; *kiss*❤ Do my tiny lips feel good? The suction when I kiss you is so powerful; isn't it?❤
くす❤それにしても弱すぎ❤\nおててでにぎにぎしてあげたら、\nそれだけでカード使えなくなっちゃうんだもん❤,*Giggle*❤ Well; your dick is just way too weak.❤ When I squeeze it in my hands; you can't even play a card anymore.❤
わたし手先の器用さには自信があるけど、\nだからって「あひぃ❤だめぇ❤」ってなるの早すぎだよ❤,I'm confident in my dexterity; but not to the point of making someone go "Aaah~❤ I can't~❤" so quickly.❤
おちんちんにぎにぎで頭がとろけてるうちに、\n必殺の手コキフェラに持ち込まれて、\nふふ、もうお兄さんは逃げられないよ❤わたしの勝ちでけってーい❤,While your head goes blank from me squeezing your dick; I'll bring in my lethal handjob and blowjob techniques; too. It's over now;❤ I win~❤
ううっ、まだ・・・❤力を込めれば・・・❤,Hnngh; not yet...❤ If I muster my strength...❤
ん～？,Hm~?
あっ、だめっ、先っぽ吸わないで、あひぃっ❤❤,Aah; no; don't suck the tip; uwaaa~❤❤
んふふ❤ほんとこんなよわよわおちんちんで、\nよくBランクまで上がってこれたねー❤,Fufu~❤ It's amazing you got to B-rank with such a weak penis; you know~❤
一回わたしに負けて、\nわたしがどれだけおちんちんを気持ちよくできるか\n体が覚えちゃったってのもあるんだろうけど、,Maybe after you lost to me once; your body learned just how good I can make your penis feel. 
それにしてもよわすぎ❤\nほらほらぁ、根元のごしごし早くしてあげる♪,Well; even so; it's still way too weak.❤ Come on come on; I'll give you vigorous rub at the base.♪
先っぽれろれろされながら、根元の方からしこしこしこってされると、\nあは、腰が浮いてきちゃうでしょ？\nんっ、えるれろえろぉ❤,When I lick the tip and rub the base like this... Aha; your hips start rising; don't they? Mm~ *Swirl* *Lick* *Lick*❤
その腰の感じに身を任せちゃお❤\nそうするとねー、すっごく気持ちよく射精できるよ❤,Just indulge yourself in that feeling in your hips.❤ That way; you'll feel really good when you ejaculate.❤
まあその代わり、無敗のマスターくんは、\n今日で２回目の負けになっちゃうけど❤\nあ、公式戦の記録だから他では負けたことあるのかな？,Well; in exchange; the undefeated master will suffer his second defeat.❤ Ah; but that's only in official matches. Maybe you've lost in other matches?
でも、モンスター1人に負けたことはたぶんないよね❤\nくすくす❤おちんちん我慢して、\nいまさらだけどカード使ってみる？んっ、ちゅぷ、れろれろれろれろ❤,Although; you've probably never lost to just one monster before.❤ *Giggle*❤ Even though it's a bit late to; why not try restraining your penis and playing your cards? Mm; *kiss*; *swirl* *swirl*❤
ううっ・・・❤戦わないといけないけどぉ・・・❤でも、きもちよくてっ❤,Uu...❤ I have to fight back...❤ But; it feels so good~❤
あっ、あっ、ああっ、だめ❤もう出る、出ちゃう❤あひぃ、舌も手も、きもちいいっ❤❤,Aah; aah; aaaah; no good~❤ Coming; it's coming out~❤ Aaah; your tongue and hands feel so goood~❤❤
んふふ❤おっきなお兄さんがわたしの手で喘いでるのは楽しいけど、\nあんまり大きな声出すと、表に聞こえちゃうからね。\nほら、静かになろっか❤,Fufu~❤ It's fun hearing Mister moaning from my hands; but other people will hear you if you're too loud. Come on; let's keep it down.❤ 
おちんちんびゅーってしちゃって、\nすっきりふにゃふにゃになろ？\n手のしこしこをとんとんとんってリズムで、早くして～♪舌もれろれろ～❤,Let's make your dick feel good until it spurts and shrivels up~ I'll increase the rhythm of my hand stroking it. Faster; faster~♪ I'll lick it with my tongue~❤
んっ、ちゅぷ、れる❤える❤れろえろ、んべー❤\nあは、わたしの舌に出していいよ❤お兄さん❤,Mmph; *kiss*; *swirl*❤ *Lick*❤ *Swirl* *lick*; mmph~❤
あっ、あっ、あああっ❤❤,Aah; aah; aaaaahh~❤❤
いひひ❤わたしの勝ち♪\nんっ、ごくん・・・❤おいしいね❤,Heehee~❤ I win~♪ Mm; *gulp*...❤ Yummy~❤
こんなに魔力たくさん出しちゃったら、\nもうカードなんて使えないでしょ？\nくすくす❤モンスター１体に負けちゃうとか、かっこわるーい❤,If you release this much magical power; you won't be able to use any cards; will you? *Giggle*❤ You lost to just one lone monster; so lame~❤
ううっ、うう・・・❤,Uu; uu...❤
ふふ、悔しいのはほんとみたいだけど、\n余計におちんちん固くなっちゃってるね。\nわたしに小馬鹿にされて興奮しちゃうの？へんたい❤,Fufu; even though you look so frustrated; your dick is still hard; isn't it? Do you get aroused when I make fun of you? Pervert~❤
ねえねえ、お兄さんがよければなんだけど\nこの先もたまにお口で気持ちよくしてあげよっか。\nその代わり・・・❤,Hey hey; if Mister is okay with it; I can keep giving you amazing oral pleasure from now on. In return...❤
わたしが使う色んな道具をお兄さんに買ってほしいんだー。\nだめ？,I want Mister to buy my tools for me~ Is that okay?
このお店ってね、実はまだできたばっかりで、\n本店は別のところにある支店なの。,Actually; this store only just opened; right? The main branch is actually somewhere else.
大会がここであるからついでに支店を広げようってことで、\nマスターがここにお店を開いたわけ。\nだからまだまだ道具とか揃い切ってないんだよねー。,Since the tournament is here; the owner decided to take the opportunity and branch out; so we opened a store here. So we still don't have all our equipment and stuff; you see~
いいものを買うと意外と高いしさー。\nおねがーい❤買ってほしいなー❤,Buying good tools is suprisingly expensive~ Pleeeaaase~❤ I want you to buy it for me~❤
あっ、だめ、イったばかっりだから、もまないでっ❤,Ah; no wait. You just ejaculated; so I shouldn't rub it.❤
くすくす❤揉むのはダメなの？\nそれじゃゆーっくりしこしこしながら、\nおねがいしちゃうね❤,*Giggle*❤ You don't mind? Then I'll do it slowly as I beg you; okay~❤
一往復に３秒ぐらいかける感じで、\nし～～こ❤し～～こ❤\nあはは、こんなゆっくりでもお顔蕩けてきてる❤,I'll do three seconds for each stroke. Stro~~ke~❤ Stro~~ke~❤ Ahaha; even at this slow pace; your face looks so blissful.❤
このおねがいは、マスターには内緒だよ？\nマスターけっこうそういうの気にするから。,Don't tell Master I asked you for this; okay? Master is pretty stubborn about these kinds of things.
ね、お兄さんは気持ちよくなれるし、わたしは色んな道具が使える。\nお互い悪い話じゃないでしょ？,Mister gets to feel good; and I get to use all kinds of tools; right? Isn't it a pretty good deal for both sides?
ほらほら、し～～こ、し～～こ、しこしこしこ❤\n緩急つけた手コキでぇ、お兄さんのおちんちんはメロメロ～❤\nさっき出したばっかりだけど、あっという間に精液昇ってきちゃう❤,Come on; stroooke; stroooke; stroke stroke stroke~❤ When I change up my stroking speed like this; Mister's penis just utterly melts.❤ You only just ejaculated; but semen is already coming out again in no time.❤
さらにもう片方の手でタマタマをとんとんとんってしてあげる❤\n試合の時もこれされて負けちゃったもんね❤\nほら、とんとん♪とんとん♪腰が浮いて、射精準備完了～❤,Then I'll tap your balls with my other hand.❤ You lost when I did this to you during the match.❤ Here; tap tap~♪ Tap tap~♪ Your hips are rising; seems you're ready to cum~❤
買うって言って❤わたしにお貢ぎして？\nね？ね？いいでしょ？\nこんなに気持ちいいんだもん❤わたしとこれからも仲良くしようよー❤,Tell me you'll buy them;❤ and that you'll let me have them? Well? Well? You'll do it; right? Doesn't this feel really good?❤ Let's continue our friendship~❤
買うって言って❤わたしにお貢ぎして？\nね？ね？いいでしょ？\nこんなに気持ちいいんだもん❤きゃはは❤,Tell me you'll buy them;❤ and that you'll let me have them? Well? Well? You'll do it; right? Doesn't this feel really good?❤ Kyahaha~❤
あひぃっ、あっ、あっ、ああっ・・・❤❤,Hwaaah; aah; aah; aaaaahhh...❤❤
こうして僕は{自分}のテクニック翻弄され、なすすべもなく何度も快楽を味合わされてしまった。闘技場でのリベンジマッチはあっけなく失敗し、かえって{自分}の与える快楽に深く依存させられてしまったのだった。,And so; helpless against {自分}'s technique; I was at her mercy as she pleasured me over and over again. My revenge for the arena match was a failure; and I instead became utterly addicted to the pleasure {自分} gave me.
{自分}はそこまで強欲というわけでもなく、それなりの値段のものをほしいとねだるぐらいで、僕は破産したりすることはなかった。何かいい道具やいい素材を持っていくたび、ニコニコして「ありがとー」と言いながら手や口で抜いてくれた。,{自分} wasn't greedy; and only asked me for reasonably priced items; so my wallet remained safe. Whenever I brought her some quality tools or materials; she'd smile and thank me as she pulled my dick out into her hands or mouth.
ジェミニさんはだいたい朝の時間帯にはノームたちを召喚して仕事をさせていたので、朝方行けばたいていの日は会えた。僕の朝の日課は彼女の元に通うことになり、段々と修行に支障も出てきてしまった。,Miss Gemini typically summons her gnomes to work in the morning; so I could usually meet her if I visited early. It became part of my routine to visit her in the morning; and it gradually started interfering with my training.
しかし、まったくカードマスターとして仕事ができないというほどでもなく、Ａランクを目指すのは難しくなったが、Ｃランクぐらいの位置でそれなりに活躍することはできた。,Still; it wasn't so bad that I couldn't perform as a cardmaster. Although A-rank became nigh impossible; I was able to perform reasonably well at around C-rank.
それなりにお金を稼ぎ、{自分}の元に通って道具を貢ぎ、たまにご褒美をもらうという生活が続いていく。僕の物語は、ゆるやかに堕落しここで終わったが、案外幸せな日々だったという。,I made a decent amount of money; visited {自分} to supply her with tools; and occasionally received rewards for it. My story ends here; in a state of gradual decline; but it turns out I'm living a surprisingly fulfilling life.
あれあれ、わたしの前に来ておちんちんしこしこ始めちゃった。\nどうしたのー。まだバトル中だよー。\n戦いやめっちゃっていいのー？,What's this? You just walked up to me and started stroking your penis. What's the matter~? The match is still going; you know~ Did you want to stop the fight~?
