default
ミレーヌ,Mylene
やん、そんな振り払わなくてもいいじゃない。\nただパイズリしてあげてるだけなのに…❤,Oh my; you don't have to push me away. I'm just giving you a lovely titjob...❤
逃げなければおっぱいの間で気持ちよくイけたのよ？\nああん、もったいない❤,If you hadn't run away; you could have cum so pleasurably between my breasts; you know? Ahh; what a waste.❤
どう？わたしのおっぱい、とろけるみたいじゃない？,How is it? Doesn't it feel like my breasts are practically melting on your cock?
うふふ、ずりずりってするたびにかわいい声出してる❤,Ufufu; you make such cute noises every time I slide up and down.❤
お姉さんのおっぱいで気持ちよくなっていいのよ？,It’s okay to feel good with onee-san's breasts; you know?
わたしパイズリには自信があるの❤骨抜きにしてあげる❤,I'm confident in my paizuri technique.❤ I'll put you completely under my spell~❤
おっぱいに搾り取られちゃいましょ？ほらほらほら❤,Why don't you just let my breasts milk you dry? Come on; you know you want it...❤
おちんちん耐えられる？無理なら降参しちゃっていいのよ❤,Can your cock handle it? If not; you can go ahead and surrender~❤
逃げる気力なんて、おっぱいで全部奪ってあげる❤,My breasts will drain away all of your will to escape.❤
おっぱい見たらみんな鼻の下を伸ばすの❤あなたももうメロメロね❤,When they see my breasts; everyone starts drooling over them like fools.❤ You're already mesmerized as well; aren't you?❤
おちんちんを丸ごと包んで、ずりずり❤たぷたぷ❤,Wrapping your entire cock with my breasts; sliding up and down~❤ Do you feel how squishy and soft it is~?❤
ねえ、もうバトルは終わりにしましょ？このおっぱいに出しちゃいなさい❤,Hey; let's end this battle already; okay? Go ahead and cum in my breasts.❤
くすくす❤抵抗する力が弱くなってる❤気持ちよくて逃げられないのよね❤,Hmhmhm~❤ Your resistance is getting weaker...❤ It feels so good that you can't escape; can you?❤
イクぎりぎりまでお姉さんのサービスを楽しんでいいわよ❤ほら、ずりずりずり♪,You can enjoy my service until you're right on the brink of cumming.❤ Hora; let me stroke you nice and slow~♪
マスターの命令よりもわたしのパイズリの方が大事よね❤くすくす❤,My titjob is more important than any orders your master gives you; right?❤ Hmhmhm~❤
あはん、強いモンスターのはずなのに、おっぱいに負けそうになってる❤,Ahan; you're supposed to be a strong monster; yet you're about to be defeated by my boobs.❤
あなたがイっても他の人が頑張ってくれるわ❤谷間に出しちゃっていいのよ❤,Even if you cum; the others will keep fighting.❤ So it's okay; you can cum in my cleavage.❤
あっ、ああっ・・・。,Ah. Ahh..
あら、わたしの前に膝をついてどうしたの？\nんふふ、{主人公}くんのおっぱいを見る目がこわいわ❤,Ara; why are you kneeling down in front of me? Nfufu... It's almost scary how fixated you are on my breasts; {主人公}.❤
分かってるわよ❤\nオナニーしたくて我慢できなくなっちゃったのよね。\nまだ{現在ターン}ターン目なのに、ぷっ、くすくす❤,I know~❤ You can't resist the urge to start masturbating; can you? It's only the {現在ターン} turn; and yet... Pfft... Hahaha~❤
ごめんなさい、笑ったらかわいそうよね。\n強いって噂だったから身構えてたのに、\nあまりにもおっぱいに弱くて、ふふふっ。,I'm sorry; it's mean to laugh at you... But you were rumored to be so strong; and yet you're so weak to my breasts; fufufu.
試合前もわたしの谷間に見とれてたし、\nそんなにおっぱい好きなんだ。\n{主人公}くんはまだおっぱい離れできていない赤ちゃんなのかしら。,Your eyes were glued to my tits even before the match started; so it's clear just how much you adore breasts. I wonder if at heart; {主人公} is still just an innocent little baby who hasn't been weaned off of them.
ちょっと露出が高い服を着ているだけで、\nおっぱいにメロメロになって勝手にシコシコ❤\nおちんちんを触る手が忙しくてカードも持てなくなっちゃう❤,Just from wearing a slightly revealing outfit; you go head over heels for my boobs and start rubbing yourself uncontrollably.❤ Your hands are too busy with your dick to even hold your cards properly.❤
そんなにこのおっぱいが良かった？\nわたし、胸には自信があるけれど、谷間見ただけでメロメロになって\n{現在ターン}ターン目に自滅しちゃう人なんてあなたが初めてよ。,Did you like these breasts that much? I know I'm confident about my chest; but you're the first person to go head over heels just by seeing my cleavage and self-destructing in the {現在ターン} turn.
ちょっと露出が高い服を着ているだけなのに…❤\n勝手におっぱいでムラムラして必死にシコシコ❤\n手がふさがってカードも持てなくなっちゃうなんて。くすくす❤,Just from me wearing revealing clothes...❤ You get all worked up over my boobs; desperately stroking yourself...❤ Your hands are too busy to even hold your cards. Hmhmhm~❤
ううっ…❤だめなのにっ…❤,Uuh...❤ Even though I shouldn't...❤
ダメならオナニー止めればいいじゃない❤\nそんな強がり言っていないで、\nおっぱい見てシコリたいですって素直になれば？,If you "shouldn't"; then why don't you stop masturbating?❤ Instead of pretending to be tough; why not just be honest and admit you want to jack off to my boobs?❤
そうだわ。あなたにサービスしてあげる❤\n「おっぱい見せてください」って素直におねがいすれば、\nわたしの生おっぱい、見せてあげてもいいわよ？,I know... I'll give you a special service.❤ I'll show you my bare breasts if you honestly ask me "Please show me your boobs."
え、あっ…❤生おっぱい、ううっ…❤,Oh... Ahh...❤ Bare boobs... Uuh...❤
あは、迷っている、迷っている♪\nかわいい反応するわね❤,Aha; you're wavering~ You're faltering~♪ You make such cute reactions; huh?❤
ほらぁ、このえろーい谷間見なさい？\n服越しに見てるだけでもムラムラしちゃってたまらない\nえろーいおっぱいよ❤,Hora; do you see this sexy décolletage? Just looking at what my clothes reveal will drive you crazy with desire. You won't be able to resist these erotic breasts~❤
おっぱい見てたら、シコシコやめられないんでしょ？\nあん❤早く決めないと、\nおちんちん我慢できなくて射精して負けちゃ～う❤,If you keep staring at my breasts like that; you won't be able to keep yourself from stroking; will you? Ahh~❤ If you don't make up your mind soon; you won't be able to hold back anymore... You'll end up cumming and losing~❤
くすくす❤どうする？期待のルーキーくん❤\n生おっぱい見せてって頼んじゃう？,Hmhmhm~❤ What will you do; Mister Rookie? Will you ask to see my bare boobs?
ほら…❤\nあなたからはっきり敗北を宣言するの。\nおねだり、言えるわよね？,Hora...❤ Declare your defeat loud and clear. You can beg; can't you?
我慢できずおねだりしてしまった,Give in and beg
口をつぐんでこらえた,Clamp your mouth shut and endure
ううっ…❤おっぱい、見せてください…❤,Uuh...❤ Please... Show me your breasts...❤
よく言えました❤\nいいわよ。ほら、見なさい❤,Well said.❤ Alright; here you go~! Look right here.❤
あっ、あっ❤すごいっ、はぅううっ…❤,Ah; Ahh...❤ Amazing; hahh...❤
くすくす❤おっぱい見せられてすぐにイっちゃうんだ❤,Hmhmhm~❤ You came instantly just from seeing my boobs; huh?❤
おっぱいめがけてこんなに飛ばして、\n谷間が濃いのでどろどろになっちゃったわ❤\nよほど気持ちよかったみたいね。,You shot so much on my breasts; my cleavage is all thick and gooey...❤ That must have felt really good; huh?
始まって{現在ターン}で終わるなんて、ふふっ、\nとっても簡単な試合だったわよ。\nくすくす❤,Ending the match in just {現在ターン} turns. Fufu~ It was such an easy game! *Giggle*❤
ふーん、我慢するんだ。えらいわね❤,Ooh? You're holding back. Good boy.❤
それならほら、たくさん褒めてあげる。\nお顔をハグして、えらいえらい❤,If that's the case; then let me praise you a lot. I'll hug your face and tell you what a good boy you are...❤
あうっ、ふぁあ・・・❤,Aah... Faaah...❤
くすくす❤顔をおっぱいに埋められて\n扱くの早くなっちゃうわね❤,Hmhmhm~❤ When I buried your face in my breasts; you started stroking faster; don't you?❤
あと少しでイキそうだったところに\nおっぱいでぱふぱふされるのはどう？\n気持ちいい？蕩けちゃう？,What about getting a soft titjob just when you're about to cum? Does it feel good? Are you completely losing yourself?
強がらずにわたしのおっぱいに甘えていいのよ❤\nほら、シコシコしてるおちんちん気持ちいい❤\nもうびゅっびゅっしちゃう❤我慢なんてできない❤,No need to act tough; you can just depend on my breasts~❤ Hora; all of that stroking feels good; doesn't it?❤ You're about to burst.❤ You can't hold back anymore...❤
イク、イっちゃう❤\nあん、あん❤手が止まらない❤出ちゃう❤出ちゃう❤\nくすくす❤イキなさい、期待のルーキーくん❤びゅーっ❤,Cumming; you're gonna cum...❤ Ahh; ahn~❤ Your hands won't stop...❤ Gonna cum soon~❤ You're cumming.❤ Hmhmhm~❤ Cum for me; Mister Rookie~❤ Pew; pew~❤
あひぃっ・・・・❤,Ahh...❤
うふふ❤ぱふぱふされてすぐにイっちゃったわね。,Ufufu~❤ You came so quickly from being smothered between my breasts; didn't you?
分かったでしょ？\nおっぱいの前で強がっても無意味なの。\n男の子はこうされたらすぐに負けちゃうのよ❤,You get it now; right? There's no point in acting tough in front of these breasts. Boys like you end up losing so quickly once I bury them in my chest.❤
いくつになっても甘えたがりが多くてこまっちゃうわよね。\nあなたももう子供じゃないんだからこれぐらい耐えなくちゃ。\nくすくす❤,There are always so many guys who just want to be coddled; no matter how old they get. You’re not a kid anymore; so you should be able to withstand this... Hmhmhm~❤
んふふ、とうとう我慢の限界になっちゃった？\nあとちょっとでわたしを倒せそうなのに、\nおちんちん触りたいの我慢できなくなっちゃったわね。,Nfufu; have you finally reached your limit? You were so close to defeating me; but you just couldn't resist touching your cock any longer; could you?
勝負を捨ててしこしこ♪しこしこ♪\nふふ、もうこうなったら止まらないわ。,You’ve given up on the match to stroke... Stroke; stroke♪ Fufu; there's no stopping now.
ほら追い討ちに\nおっぱいを顔の近くで見せてあげる❤,Hora; for the final blow; I'll show you my boobs up close to your face~❤
はううっ・・・・❤,Haa...❤
あん❤しごくの早すぎよ❤\nおっぱいを間近で見せられて興奮しちゃう？,Ahh~❤ You're stroking way too fast now.❤ Did seeing my breasts up close get you that excited?
勝てそうな勝負を捨てて、わざわざ負けることを選んだのだもの。\nいいわよ、わたしのおっぱいをたっぷり楽しみなさい❤,You purposely chose to lose the game that you could have won. Fine; you can enjoy my breasts as much as you want~❤
あなたがしごくのに合わせて\nおっぱいたぷたぷ揺らしてあげる❤ほら、ほら、ほら❤,As you stroke your cock harder and faster; I'll jiggle and sway my breasts just for you.❤ Hora; look at them. Can't take your eyes off; can you?❤
くすくす❤気持ちよさそうな射精❤\nわたしのおっぱい最高のオカズだったでしょ？,Hmhmhm~❤ Looks like you had a really satisfying orgasm. My breasts make the best fapping material; don't they?
{主人公}くん、\n強かったけど最後はわたしのおっぱいの方が勝っちゃったわね。\nうぶな男の子相手にこの格好は刺激が強すぎたかしら♪,You were strong {主人公}; but my breasts won in the end; didn't they? This outfit was probably too stimulating for a naive boy like you~♪
あら、もじもじしちゃってどうしたの？\nあ、もしかしてオナニーしたくなっちゃった？,Ara; what's got you fidgeting like that? Could it be that you want to masturbate?
うふふ❤わたしのおっぱい見てたら\nムラムラ抑えられなくなっちゃったのね❤\nかわいい❤,Ufufu~❤ You couldn't stop yourself from getting horny when you saw my boobs; could you?❤ So cute~❤
期待のルーキーなんて言われていても、\n結局は若い男の子。こんなに大きいおっぱい見てたら\n興奮しちゃうのも仕方ないわ。,Even though everyone calls you a promising rookie; you're just a young boy after all. It's only natural that you'd get excited by seeing such big breasts.
ほら、{主人公}くん、\n好きなだけわたしの谷間をオカズにしていいのよ。\nもっと近くで見せてあげる❤,Here; {主人公}; you can use my cleavage as masturbation material if you want. Let me show you from up close...❤
くすくす❤扱くの早すぎよ❤\n顔につきそうな距離でおっぱい見せられて興奮しちゃう？,Hmhmhm~❤ You're stroking way too fast!❤ Did seeing my breasts this close to your face make you get overly excited?
頑張れば勝てたかもしれない試合を捨てて、\nお姉さんのおっぱいでシコシコ❤シコシコ❤\nぞくぞくしちゃうぐらい気持ちいいのよね❤,You might have won if you kept trying; but instead; you gave up to stroke yourself to my breasts.❤ Stroking and stroking...❤ It feels so good it gives you chills; right?❤
わたしからのサービスよ。\nあなたが扱くのに合わせておっぱいたぷたぷ揺らしてあげる❤\nほら、ほら、ほら❤,This is my special service for you~ I'll bounce my breasts in time with your strokes.❤ Look at them bouncing; up and down~❤
くすくす❤気持ちよさそうな射精❤\nエナジーたっぷり溶けた精液をこんなに出して、\nわたしのおっぱいそんなによかったのかしら。,Hmhmhm~❤ That looked like a satisfying orgasm.❤ You released so much creamy; energy-filled cum. Did you enjoy my breasts that much; I wonder?
うふふ…❤マスターの言うこと聞かないででオナニー始めちゃうのね❤\nおっぱいに負けちゃうなんてダメなモンスター❤,Ufufu...❤ So; you couldn't even listen to your master's orders and started masturbating instead; huh?❤ Such a naughty monster; giving in to my breasts like that.❤
ご主人様のことを裏切ってでも、この谷間が見たかったんでしょ？\nほら、もっと近くで見せてあげる❤,You want to see this cleavage so badly that you're willing to betray your master; right? Hora; I'll show you what they look like close up...❤
ううっ…❤,Uuu...❤
わたしに負けちゃう人ってやっぱりおっぱいに弱い人が多いのよね。\nフェアリーたちの攻撃には頑張って耐えるのに、横でカードを使っているわたしのおっぱいを見て、勝手に興奮して負けちゃうの。,I think that most of the people who lose to me have a weakness for boobs. They resist the fairies’ attacks; but the moment they see my breasts while I'm playing my cards; they get aroused on their own and lose.
普段からお客さんによく見られるおっぱいだけれど、みんなほんと好きよね。そんなにいいものかしら？,A lot of customers look at my breasts all the time; and everyone really seems to love them. Are they really are that amazing?
例えばこうやって、飲み物をテーブルに置く時みたいに前かがみになると…❤,For instance; when I lean forward like this to put drinks on the table...❤
あっ…❤すごいっ・・・❤,Ah...❤ Incredible...❤
そうそう、あなたみたいにみーんな目が谷間にくぎ付けになっちゃうのよね。女のお客さんでも見ちゃうし、男のお客さんなんてもう間抜けな顔でとろーんと見とれちゃっているわ。,Exactly; just like you; everyone gets fixated on my cleavage. Even female customers sneak a peek; and as for the male customers; they just stare with dumbfounded and expressions; like they're completely entranced.
お店じゃオナニーはできないけど、勃起している客も多いのよ❤あなたはラッキーよね。そんなみんなが見とれるようなおっぱいをオカズにできるんですもの❤,You can't masturbate in the store; but there are plenty of customers who get erections.❤ You're lucky; aren't you? You get to use these breasts; that everyone else only dreams of; as your fantasy material~❤
いや、ま、ほんとは試合中もオナニーしちゃダメなんだけどね。ふふふ❤,Well; technically; you’re not supposed to be masturbating during a match; but still... Fufufu~❤
うっ…❤もう、あううっ❤,Ungh...❤ Already... Augh...❤
あら。もう射精しちゃう？谷間見てるだけでつよーいはずのモンスターがわたしに負けちゃうんだ❤,Oh; are you about to cum already? Just from looking at my cleavage; even a strong monster like you ends up losing to me.❤
いいわよ。ただおっぱいが大きいだけのお姉さんに負けなさい。観客が見ているところで谷間に向けて情けなく射精しちゃうのよ❤,That's right. Just lose to this big-breasted woman. In front of all these spectators; you’re going to shamelessly cum all over my cleavage~❤
くすくす❤精液で谷間がどろどろ❤これを吸収して体力回復っと。,Hmhmhm~❤ My cleavage is all sticky with your cum.❤ I'll just absorb it and restore my energy...
わたしのおっぱいオカズにしたければ、他の子も来ていいのよ。{主人公}くんもムラムラしているなら、いらっしゃい❤やさしく射精させてあげる❤,If anyone else wants to use my breasts as their fantasy material; you can come as well. If you’re feeling aroused too; {主人公}; you're welcome to join~❤ I'll kindly make you cum...❤
あら、ほんとにオナニーしちゃうんだ。んふふ、{主人公}くんも手下に負けずおっぱい好きなのね❤,Ara; are you really going to masturbate? Nfufu; {主人公}; you love my breasts just as much as your underlings do; don't you?❤
まだ{現在ターン}ターン目なのに、仲間ともども相手マスターの谷間でオナニー。ぷっ、くすくす❤,It's only the {現在ターン} turn; yet you and your comrades are already masturbating to the enemy master's cleavage. Pfft; ahahaha~❤
ごめんなさい、笑ったらかわいそうよね。強いって噂だったから身構えてたのに、あまりにもおっぱいに弱くて、ふふふっ。,I'm sorry; it's not fair to laugh at you; is it? It's just that I heard you were strong; so I was prepared for a tough match... But you turned out to be so weak against my breasts; it's just- Fufufu~
試合前もわたしの谷間に見とれてたし、根っからのおっぱいフェチ❤{主人公}くんはまだおっぱい離れできていない赤ちゃんなのかしら。,Even before the match; you were already captivated by my tits... A true breast fetishist.❤ I wonder if {主人公} is still just a baby who can't wean off his breast obsession~
ちょっと露出が高い服を着ているだけで、おっぱいにメロメロになって勝手にシコシコ❤おちんちんを触る手が忙しくてカードも持てなくなっちゃう。くすくす❤,Just by wearing a slightly revealing outfit; I had you head over heels for my boobs and you started frantically jerking off.❤ You're so busy stroking your cock that you can't even hold your cards~❤ Hmhmhm~❤
そんなにこのおっぱいが良かった？わたし、胸には自信があるけれど、おっぱい見るだけでメロメロになって{現在ターン}ターン目に自滅しちゃう人なんてあなたが初めてよ。,Did you enjoy these breasts that much? I'm confident in my chest; but you're the first person to be so head over heels from just looking at my breasts that you self-destructed on the {現在ターン} turn.
ちょっと露出が高い服を着ているだけなのに…❤勝手におっぱいでムラムラして必死にシコシコ❤おちんちんを触る手が忙しくてカードも持てなくなっちゃうなんて。くすくす❤,Just because I'm wearing a slightly revealing outfit...❤ You got so aroused by my breasts and desperately started stroking your cock.❤ Your hands are so busy pleasuring yourself that you can't even hold your cards! Hmhmhm~❤
ダメならオナニー止めればいいじゃない❤そんな強がり言っていないで、僕もおっぱい見てシコリたいですって素直になれば？,If you "shouldn't"; then why don't you stop masturbating?❤ Instead of pretending to be tough; why not just be honest and admit you want to jack off to my boobs?❤
そうだわ。あなたにサービスしてあげる❤「おっぱい見せてください」って素直におねがいすれば、わたしの生おっぱい、見せてあげてもいいわよ？,I know... I'll give you a special service.❤ If you humbly ask "Please show me your breasts"; I'll let you see my bare breasts... Alright?
そう、生おっぱい❤あなたの手下も見れなかった生おっぱい❤,Yes; my bare breasts...❤ Even your underlings didn't get to see them bare~❤
くすくす❤どうする？早くしないとおちんちん我慢できなくて射精して負けちゃうわよ、期待のルーキーくん❤,Hmhmhm~❤ So; what will you do? If you don't act fast; your eager cock might just give in and you'll end up cumming and losing without seeing them; Mister Promising Rookie~❤
観客の中にはあなたのファンもいるんじゃないかしら。その人たちのこと裏切って、わたしのおっぱい見るためにおねだりしちゃう？,There might be some of your fans among the audience that want to see you win; right? Will you betray them and beg to see my breasts?
生おっぱいが見たいなら、ほら…❤あなたからはっきり敗北を宣言するの。おねだり、言えるわよね？,If you want to see my bare breasts; then...❤ You have to clearly declare your defeat. You can beg; can't you?
よく言えました❤いいわよ。ほら、見なさい❤,Well said!❤ Alright; here you go... Take a close look...❤
くすくす❤おっぱい見せられてすぐにイっちゃうんだ❤ほんとにおっぱいに弱いのね❤谷間が濃いのでどろどろになっちゃった❤,Hmhmhm~❤ You came instantly just from seeing my breasts~❤ You're really weak against them.❤ My cleavage is all coated and sticky with your thick load now.❤
こんなにあっさり終わるなんて始める前は思いもしなかったわ。とっても簡単な試合だったわね。くすくす❤,I never would have thought it would end so quickly before we started. This was such an easy match~ Hmhmhm~❤
それならほら、たくさん褒めてあげる。お顔をハグして、えらいえらい❤,In that case; come here and I'll give you lots of praise. I'll hug your face to my chest... You've been such a good boy~❤
くすくす❤顔をおっぱいに埋められて、シコシコするの早くなっちゃうわね❤あと少しでイキそうだったところにおっぱいでぱふぱふされるのはどう？,Hmhmhm~❤ When I buried your face in my breasts; you started jerking off even faster; don't you? How about I give you a little Puff-Puff right when you're about to cum?
強がらずにわたしのおっぱいに甘えていいのよ❤ほら、おちんちん気持ちいい❤もうびゅっびゅっしちゃう❤我慢なんてできない❤ぱふぱふ❤ぱふぱふ❤,You don't need to act tough; you can just indulge in my breasts!❤ Here; let me make it feel good for your cock...❤ Already on the brink of cumming; huh?❤ You can't resist; can you?❤ Puff-Puff~❤ Puff-Puff~❤
うふふ❤ぱふぱふされてすぐにイっちゃったわね。分かったでしょ？おっぱいの前で強がっても無意味なの。男の子はこうされたらすぐに負けちゃうのよ❤,Ufufu!❤ You came the moment I started Puff-Puffing my breasts on your face; didn't you? Do you understand now? Trying to act tough in front of my breasts is pointless. When guys are treated like this; they lose instantly; you know!❤
いくつになっても甘えたがりが多くてこまっちゃうわよね。あなたも子供じゃないんだからこれぐらい耐えなくちゃ。くすくす❤,So many guys want to be pampered no matter how old they get... It's really troublesome; isn't it?  You're not a child anymore; so you should be able to withstand this much... Hmhmhm~❤
んふふ、とうとう我慢の限界になっちゃった？あとちょっとでわたしを倒せそうなのに、おちんちん触りたいの我慢できなくなっちゃったわね。,Nfufu; have you finally reached your limit? You were so close to defeating me; but you just couldn't resist touching your cock any longer; could you?
仲間がわたしのおっぱいで気持ちよくなっているのを見て、自分もしこしこ♪しこしこ♪ふふ、もうこうなったら止まらないわ。,Watching your comrades enjoy my breasts; you just had to go and start stroking yourself... Pumping up and down~♪ Fufu; now that you've gone this far; there's no stopping anymore.
ほら追い討ちにおっぱいを顔の近くで見せてあげる❤,Here; I'll give you a closer look at my breasts to shatter your willpower~❤
くすくす❤扱くの早すぎよ❤おっぱいを間近で見せられて興奮しちゃう？,Hmhmhm~❤ You're stroking way too fast!❤ Did seeing my breasts up close get you that excited?
あなたが見たかったこの爆乳おっぱい❤仲間がしこっているのを見てうらやましかったのよね？シコシコできてよかったじゃない❤,These huge; busty breasts that you've been dying to see...❤ You were so jealous watching your comrades stroke themselves to these; weren't you? Now you get to have the same experience; isn't that great?❤
期待のルーキーなのに、勝てそうな勝負を捨てて、おちんちんのムラムラに負けちゃった❤いいのよ、今度別の試合を頑張ればいいわ。今はわたしのおっぱいをたっぷり楽しみなさい❤,Even though they call you the "Promising Rookie"; you gave up a winnable match and succumbed to your throbbing cock.❤ It's okay; you can try again in another match. For now; just go ahead and enjoy my breasts to your heart's content.❤
あなたが扱くのに合わせておっぱいたぷたぷ揺らしてあげる❤ほら、ほら、ほら❤,I'll bounce my breasts in rhythm with your strokes...❤ Bounce~ Bounce~ Bounce~!❤
くすくす❤気持ちよさそうな射精❤エアパイズリですぐに出しちゃった❤わたしのおっぱい最高のオカズだったでしょ？,Hmhmhm~❤ That looked like such a satisfying orgasm.❤ You came so quickly from me giving the ~air~ a titfuck.❤ My breasts make the best fapping material; don't they?
{主人公}くん、とっても強かったけど最後はわたしのおっぱいの方が勝っちゃったわね。うぶな男の子相手にこの格好は刺激が強すぎたかしら♪,{主人公}; you were very strong; but in the end; my breasts won. This outfit was probably just too stimulating for an innocent guy like you~♪
あら、もじもじしちゃってどうしたの？あ、もしかしてあなたもオナニーしたくなっちゃった？,Ara; what's got you fidgeting like that? Could it be that you want to masturbate too?
うふふ❤来ていいわよとは言ったけど、ほんとに来ちゃうんだ。おっぱいオナニーしたくて我慢できなくなっちゃったのね❤かわいい❤,Ufufu~❤ I said it's okay to come; but you're actually going to? You just couldn't resist the urge to masturbate to my breasts; could you?❤ How cute~❤
期待のルーキーなんて言われていても、結局は若い男の子。こんなに大きいおっぱい見てたら興奮しちゃうのも仕方ないわ。,Even though you're called the "Promising Rookie"; in the end; you're just a young man. It's no wonder you get excited seeing such big breasts like mine.
ほら、{主人公}くん、好きなだけわたしの谷間をオカズにしていいのよ。もっと近くで見せてあげる❤,Here; {主人公}; you can use my cleavage as masturbation material if you want. Let me show you from up close...❤
くすくす❤扱くの早すぎよ❤顔につきそうな距離でおっぱい見せられて興奮しちゃう？,Hmhmhm~❤ You're stroking way too fast!❤ Did seeing my breasts this close to your face make you get overly excited?
頑張れば勝てたかもしれない試合を捨てて、お姉さんのおっぱいでシコシコ❤シコシコ❤ぞくぞくしちゃうぐらい気持ちいいわよね❤,You might have won the match if you tried hard enough; but instead you gave it all up for onee-san’s breasts. Stroking yourself...❤ More and more...❤ It feels so wonderful that you can't help but shiver; doesn't it?❤
わたしからのサービスよ。あなたが扱くのに合わせておっぱいたぷたぷ揺らしてあげる❤ほら、ほら、ほら❤,This is my special service for you~ I'll bounce my breasts in time with your strokes.❤ Look at them bouncing; up and down~❤
{主人公}くん、けっこう頑張ってたけど最後はわたしのおっぱいの方が勝っちゃったわね。うぶな男の子相手にこの格好は刺激が強すぎたかしら♪,{主人公}; you tried really hard; but in the end; my breasts won. Maybe this outfit was just too stimulating for an innocent boy like you~♪
うふふ…❤あなたもマスターの言うこと聞かないででオナニー始めちゃうのね❤おっぱいに負けちゃうなんてダメなモンスター❤,Ufufu...❤ You couldn't resist and started masturbating instead of listening to your master's orders; huh?❤ What a naughty monster; giving in to my breasts like that~❤
マスターを裏切ってでもこの谷間が見たかったんでしょ？ほら、もっと近くで見せてあげる❤,Even if it means betraying your master; you wanted to see this cleavage; didn't you? Hold on; I'll show it to you up close...❤
くすくす❤シコシコする手が早い❤みんなおっぱいに負けちゃうわね。どれだけ強い力を持っていても、自分でシコって負けちゃうならそんな力は無意味❤,Hmhmhm~❤ Your hand is stroking so fast.❤ Everyone ends up losing to my breasts; don't they? No matter how powerful you are; if you end up stroking yourself and losing; that strength is meaningless...❤
あなたもおっぱいに自分から負けて、敵のマスターに大事なエナジーを提供しちゃっている。,You've lost yourself to my boobs; too; and now you're providing the enemy master with your precious energy~
さっきの子みたいにあなたもわたしの前かがみの谷間見たい？ほらこうやって、飲み物をテーブルに置く時みたいに前かがみになると…❤,Just like the last guy; do you want to see my deep cleavage up close too? Like this... I'll lean forward as if I'm putting a drink on the table...❤
ああっ…❤すごいっ・・・❤,Ahh...❤ It's incredible...❤
ほら、あなたの目も谷間にくぎ付け❤これだけ大きいと女のお客さんでも見ちゃうし、男のお客さんなんてもう間抜けな顔でとろーんと見とれちゃっているのよ。,Look; your eyes are glued to my cleavage~❤ Even the female customers stare at these when they're this big; and as for the male customers; they just gaze at them with dopey expressions on their faces.
あなたはラッキーよね。そんなみんなが見とれるようなおっぱいをオカズにできるんですもの❤,You're so lucky; aren't you? You get to masturbate to these wonderful breasts that everyone seems to be so fascinated by~❤
あはん、わたしの勝ちね❤\nおっぱいでオナニー❤気持ちよく負けれてよかったじゃない❤ふふふ❤,Ahahn; I win~❤ You got to masturbate to my breasts and it felt so good to lose; didn't it?❤ Fufufu~❤
あん、こんなにおっぱいに出して❤\nわたしのパイズリ、最高だったでしょ？\nうぶなルーキーくんじゃ耐えられないわよね❤ふふふ❤,Mmm; you came so much on my breasts.❤ My titjob was the best; wasn't it? An innocent rookie like you had no chance of resisting it; huh? Fufufu~❤
あは、おっぱい見せられただけで射精しちゃったの？\nほんとにうぶなのね❤かわいい❤,Aha; did you cum just from seeing my breasts? You're really innocent; aren't you~❤ So cute.❤
決着ー！！勝者はミレーヌ選手！,It's settled! The winner is Mylene!
期待のルーキーもミレーヌ選手の爆乳には勝てなかった！\nまさかの開始直後のオナニーで自滅してしまいました！,Even the promising rookie couldn't stand a chance against Mylene's enormous breasts! Shockingly; he ended up defeating himself by masturbating right at the beginning!
試合が始まる前からおっぱいに見とれていただけに、\nある意味予想できた結末かもしれません。\nいやー、この負け方はちょっと恥ずかしいですね。,Considering how mesmerized you were by my breasts even before the match started; perhaps this outcome was somewhat predictable. Wow; this way of losing is a bit embarrassing; isn't it?
ミレーヌ選手に負ける男性マスターは多いですが、\n始まってすぐにオナニーとなると珍しい。\nみなの期待はどこへやらおっぱいの前にすべてを忘れてしまったようです！,There are many male masters who lose to Mylene; but it's rare for one to end up masturbating so quickly after the match starts. It seems he forgot all about everyone's expectations the moment he faced those breasts!
期待のルーキーもミレーヌ選手の爆乳には勝てなかった。\n最後には我慢できず自らオナニーして負けてしまいました！,Even the promising rookie couldn't resist Mylene's massive breasts. In the end; he couldn't hold back and ended up losing by masturbating!
ミレーヌ選手の体力も残りわずかというところ、\nふらふらと彼女に近づいたかと思うと、まさかの自滅。試合中に揺れる胸を見て理性が耐え切れなくなったというところでしょうか。,Just as Mylene's stamina was almost depleted; he staggered toward her and ended up self-destructing. Perhaps her heaving chest finally broke his restraint and drove him wild with desire.
{主人公}選手も少しは粘りましたが、\nミレーヌ選手はまだまだ余裕の表情です。うぶなルーキーにはミレーヌ選手の色気は荷が重かったのかもしれません！,{主人公} put up a bit of a fight; but Mylene still looks completely composed. It seems that Mylene's allure was too much for an innocent rookie to handle!
さすがはミレーヌ選手、{主人公}選手を胸で挟んだと思うと\nあっという間にイかせてしまった！\n{主人公}選手はほとんど抵抗もできず搾り取られてしまいました！,As expected of Mylene; she entrapped {主人公} between her breasts and made him climax in no time! {主人公} couldn't resist at all and was completely drained!
